C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:48

dec< 0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2736

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
36  |TYC 4708-79-1                                                                                                                               |Star                                |03 15 13.0701462480 -01 34 42.789339552|182.5149350470834 -47.1220847097006| 32.620 -14.995   |10.652   |~                    |    ~     ~            |    1|  186.598   pc  |  -2.2300     +2.2300  |ST-L    |2020AJ....160...83S
37  |TYC 4708-189-1                                                                                                                              |Star                                |03 16 13.3522326024 -01 30 17.764194996|182.6676235173007 -46.8820426773583| -7.829 -12.775   |10.92    |~                    |    ~     ~            |    1|  987.947   pc  | -14.4454    +14.4454  |paral   |2020yCat.1350....0G
38  |TYC 4708-219-1                                                                                                                              |Star                                |03 16 04.3144392216 -01 20 20.983748892|182.4462317540231 -46.8047999240370|  14.469 13.987   |10.74    |~                    |    ~     ~            |    1|  348.456   pc  |  -2.3920     +2.3920  |paral   |2020yCat.1350....0G
39  |TYC 4708-619-1                                                                                                                              |Star                                |03 17 05.2662239640 -00 09 11.642854968|181.3740981434032 -45.8441744330702| -15.742 -1.938   |9.914    |~                    |    ~     ~            |    1|  258.109   pc  |  -4.2070     +4.2070  |ST-L    |2020AJ....160...83S
40  |TYC 4708-689-1                                                                                                                              |High Proper Motion Star             |03 18 48.0507237024 -00 28 25.670938980|182.1222318125944 -45.7259066817788|  87.370 -3.009   |10.22    |~                    |    ~     ~            |    1|  191.887   pc  |  -0.6517     +0.6517  |paral   |2020yCat.1350....0G
41  |TYC 4708-801-1                                                                                                                              |Star                                |03 15 21.7176402744 -00 47 48.049947528|181.6749758844809 -46.5903791098637|-22.493 -34.008   |10.189   |~                    |    ~     ~            |    1|  228.728   pc  |  -1.1300     +1.1300  |paral   |2020yCat.1350....0G
42  |TYC 4708-986-1                                                                                                                              |Star                                |03 16 28.4868611952 -02 06 10.352059164|183.4038341269642 -47.2134988269049|  36.139 26.845   |10.60    |~                    |    ~     ~            |    1|  274.793   pc  |  -1.4045     +1.4045  |paral   |2020yCat.1350....0G
43  |TYC 4709-549-1                                                                                                                              |High Proper Motion Star             |03 22 10.2169098984 -00 19 40.581314472|182.7324816223727 -44.9863582144020|  59.283 -5.433   |10.750   |~                    |    ~     ~            |    1|  258.669   pc  |  -4.6380     +4.6380  |ST-L    |2020AJ....160...83S
44  |TYC 4709-555-1                                                                                                                              |Star                                |03 21 08.3781882312 -00 18 19.996478388|182.4745293717105 -45.1699600636646| -27.276 -4.404   |10.19    |~                    |    ~     ~            |    1|  156.868   pc  |  -0.5217     +0.5217  |paral   |2020yCat.1350....0G
45  |BD-02 602                                                                                                                                   |High Proper Motion Star             |03 19 32.1570228792 -02 00 42.115201812|184.0043565822140 -46.5617333408639|39.814 -250.803   |10.75    |~                    |    ~     ~            |    1|  106.810   pc  |  -0.1939     +0.1939  |paral   |2020yCat.1350....0G
46  |HD 20431                                                                                                                                    |Star                                |03 17 10.0887462072 -04 08 23.122483152|185.9431233975575 -48.3393338264191| 40.361 -14.647   |7.38     |kA7hA8mF1(II-III)EuBa|    ~     ~            |    1|  142.833   pc  |  -0.6263     +0.6263  |paral   |2020yCat.1350....0G
47  |HD 20549                                                                                                                                    |High Proper Motion Star             |03 18 15.5425935672 -04 13 40.031151276|186.2954865213388 -48.1759432770338|-35.148 -60.098   |9.23     |G3V                  |    ~     ~            |    1|  142.749   pc  |  -0.3811     +0.3811  |paral   |2020yCat.1350....0G
48  |BD-04 571                                                                                                                                   |Star                                |03 20 48.9721438776 -04 19 27.806668068|186.9818192862717 -47.7237917237798| -10.549 -7.313   |9.60     |G2                   |    ~     ~            |    1|  248.800   pc  |  -1.1080     +1.1080  |paral   |2020yCat.1350....0G
49  |BD-04 563                                                                                                                                   |Star                                |03 17 18.1587069624 -04 11 36.586242888|186.0380133258416 -48.3452197870859|   0.952 -3.170   |10.34    |~                    |    ~     ~            |    1|  532.652   pc  |  -7.0646     +7.0646  |paral   |2020yCat.1350....0G
50  |BD-04 564                                                                                                                                   |Star                                |03 17 40.4190936096 -04 11 42.089687736|186.1239966773522 -48.2724968718550|  10.453 -3.477   |10.75    |~                    |    ~     ~            |    1|  185.175   pc  |  -0.7064     +0.7064  |paral   |2020yCat.1350....0G
51  |HD 20267                                                                                                                                    |Spectroscopic Binary                |03 15 25.0234457184 -02 10 31.025592912|183.2398101260026 -47.4639274386476|  29.842 -6.853   |8.76     |F6/7V                |    ~     ~            |    1|  131.098   pc  |  -0.3231     +0.3231  |paral   |2020yCat.1350....0G
52  |HD 20403                                                                                                                                    |Star                                |03 16 47.0656201344 -02 35 02.248571220|184.0274795364306 -47.4559634805422|  15.800 -3.920   |9.18     |F7/8V                |    ~     ~            |    1|  175.362   pc  |  -0.5136     +0.5136  |paral   |2020yCat.1350....0G
53  |HD 20404                                                                                                                                    |Star                                |03 16 44.3897447760 -03 21 50.384593476|184.9253783251472 -47.9493799976575|   -5.746 1.772   |7.71     |B9IV/V               |    ~     ~            |    1|  260.988   pc  |  -2.6497     +2.6497  |paral   |2020yCat.1350....0G
54  |HD 20422                                                                                                                                    |Star                                |03 16 59.2402794192 -03 15 54.665445744|184.8662745793035 -47.8397937988780|-18.331 -20.718   |9.30     |K0/1(III)            |    ~     ~            |    1|  406.747   pc  | -10.6700    +10.6700  |ST-L    |2020AJ....160...83S
55  |HD 20609                                                                                                                                    |High Proper Motion Star             |03 18 53.3663662824 -03 09 41.754579192|185.1791500619392 -47.4019912752895|   8.663 73.600   |9.61     |G2/3V                |    ~     ~            |    1|  139.993   pc  |  -0.3488     +0.3488  |paral   |2020yCat.1350....0G
56  |HD 20619                                                                                                                                    |High Proper Motion Star             |03 19 01.8943387080 -02 50 35.493108792|184.8417376718230 -47.1777960142937|253.735 -100.736  |7.039    |G1.5V                |    ~     ~            |    1|   23.998   pc  |  -0.0126     +0.0126  |paral   |2020yCat.1350....0G
57  |HD 20719                                                                                                                                    |Star                                |03 20 06.8144060952 -03 01 06.587234112|185.2892620093768 -47.0729422655508|  25.619 -8.055   |9.36     |F0IV/V               |    ~     ~            |    1|  256.043   pc  |  -1.4554     +1.4554  |paral   |2020yCat.1350....0G
58  |HD 20792                                                                                                                                    |Star                                |03 20 49.8609678912 -03 06 30.045294432|185.5543992078524 -46.9863936876316|  40.371 26.680   |7.89     |K0III                |    ~     ~            |    1|  302.783   pc  |  -2.1819     +2.1819  |paral   |2020yCat.1350....0G
59  |HD 20935                                                                                                                                    |Star                                |03 22 23.8009471704 -02 56 06.051154380|185.7024699491983 -46.5710108386287| -6.680 -25.897   |9.34     |G3/5V                |    ~     ~            |    1|  218.484   pc  |  -8.6926     +8.6926  |paral   |2020yCat.1350....0G
60  |HD 20385                                                                                                                                    |Double or Multiple Star             |03 16 40.6680551666 -03 31 48.926213542|185.1069157966376 -48.0639698717809| 82.103 -49.082   |7.49     |F6V                  |    ~     ~            |    1|   48.7662  pc  |  -0.1232     +0.1232  |paral   |2018yCat.1345....0G
61  |NGC 1308                           NGC 1308                                                                                                 |Galaxy towards a Group of Galaxies  |03 22 28.5393042168 -02 45 25.756786872|185.5153857243101 -46.4467371995313|            ~ ~   |     ~   |~                    |0.860 0.636            |    1|   85.19    Mpc |                       |redshift|2007ApJ...655..790C
62  |NGC 1305                           NGC 1305                                                                                                 |Galaxy towards a Group of Galaxies  |03 21 22.9782011544 -02 19 00.501650796|184.7683023394698 -46.3907644516097|            ~ ~   |     ~   |~                    |0.927 0.686            |    1|   84.00    Mpc |                       |redshift|2007ApJ...655..790C
63  |NGC 1287                           NGC 1287                                                                                                 |Galaxy towards a Group of Galaxies  |03 18 33.4645189440 -02 43 51.134152728|184.6041455292601 -47.2011476046292|            ~ ~   |     ~   |~                    |0.593 0.487            |    1|  115.36    Mpc |                       |redshift|2007ApJ...655..790C
64  |NGC 1266                           NGC 1266                                                                                                 |Active Galaxy Nucleus               |03 16 00.7739640240 -02 25 37.827013584|183.6679172598493 -47.5075779110267|            ~ ~   |     ~   |~                    | 1.48  1.00            |    1|   30.000   Mpc |  +2.300      +2.300   |Flow    |2010ApJS..190..233M
65  |BD-02 589                                                                                                                                   |Star                                |03 16 16.8360291672 -02 20 16.134534960|183.6275060038955 -47.3993670223869|  15.576 19.065   |10.22    |~                    |    ~     ~            |    1|  191.677   pc  |  -0.7017     +0.7017  |paral   |2020yCat.1350....0G
66  |BD-04 562                                                                                                                                   |Star                                |03 17 12.3826301736 -03 54 05.395666824|185.6676404907028 -48.1869361278527| -4.384 -16.835   |10.721   |~                    |    ~     ~            |    1|  267.375   pc  |  -4.2460     +4.2460  |ST-L    |2020AJ....160...83S
67  |BD-03 531                                                                                                                                   |Star                                |03 17 50.0079201024 -03 06 32.409747396|184.8775121178809 -47.5772236902380|  2.114 -26.749   |10.52    |~                    |    ~     ~            |    1|  611.808   pc  | -20.2875    +20.2875  |paral   |2020yCat.1350....0G
68  |BD-04 568                                                                                                                                   |Star                                |03 19 14.1157275600 -03 58 17.880104136|186.2098704976859 -47.8272444539483| -3.895 -32.097   |9.922    |~                    |    ~     ~            |    1|  134.634   pc  |  -1.0900     +1.0900  |ST-L    |2020AJ....160...83S
69  |BD-03 535                                                                                                                                   |Star                                |03 19 20.4492365904 -03 19 05.881748340|185.4641201683701 -47.4090928595871|   0.225 34.400   |9.989    |~                    |    ~     ~            |    1|  225.114   pc  |  -3.9630     +3.9630  |ST-L    |2020AJ....160...83S
70  |BD-03 537                                                                                                                                   |Star                                |03 20 03.2183469312 -02 28 30.228988836|184.6496880458215 -46.7494400625782|  2.389 -12.793   |9.95     |~                    |    ~     ~            |    1|  644.538   pc  |  -9.0148     +9.0148  |paral   |2020yCat.1350....0G
71  |BD-03 539                                                                                                                                   |Spectroscopic Binary                |03 20 46.5432549816 -03 10 08.236630668|185.6124040227786 -47.0343480232281|  38.505 12.338   |10.43    |~                    |    ~     ~            |    1|  205.546   pc  |  -4.1996     +4.1996  |paral   |2020yCat.1350....0G
72  |BD-04 572                                                                                                                                   |Star                                |03 21 28.2020236272 -03 43 13.043653572|186.4111848836437 -47.2310648197728|   31.691 3.180   |9.68     |~                    |    ~     ~            |    1|  307.305   pc  |  -1.8226     +1.8226  |paral   |2020yCat.1350....0G
73  |BD-04 575                                                                                                                                   |Star                                |03 21 59.3842184328 -03 47 16.574622468|186.6055197784004 -47.1682160078158| 25.314 -31.639   |10.30    |~                    |    ~     ~            |    1|  288.078   pc  |  -5.6220     +5.6220  |ST-L    |2020AJ....160...83S
74  |BD-03 543                                                                                                                                   |Star                                |03 22 27.4283903904 -03 03 52.353965376|185.8653656463168 -46.6379485356826|   3.255 -9.800   |10.65    |~                    |    ~     ~            |    1|  450.430   pc  |  -3.4288     +3.4288  |paral   |2020yCat.1350....0G
75  |BD-02 601                                                                                                                                   |Star                                |03 19 12.8965809528 -02 24 19.640264004|184.3797997654525 -46.8703050989233|  10.260 -2.850   |10.245   |~                    |    ~     ~            |    1|  761.609   pc  | -38.4000    +38.4000  |ST-L    |2020AJ....160...83S
76  |BD-04 557                                                                                                                                   |Spectroscopic Binary                |03 15 27.1849972368 -03 46 50.653481340|185.1215345293571 -48.4589509079606|  -2.346 -7.340   |10.962   |~                    |    ~     ~            |    1|  909.811   pc  | -38.4600    +38.4600  |ST-L    |2020AJ....160...83S
77  |BD-03 523                                                                                                                                   |Star                                |03 16 14.6679677712 -03 07 28.672864644|184.5306041290781 -47.8984013814750|  26.410 -5.711   |10.61    |~                    |    ~     ~            |    1| 1248.907   pc  | -30.5715    +30.5715  |paral   |2020yCat.1350....0G
78  |BD-03 530                                                                                                                                   |Star                                |03 17 41.9758650888 -03 26 03.314090616|185.2276921148452 -47.8038114286267|  15.460 -5.657   |10.609   |~                    |    ~     ~            |    1|  785.629   pc  | -23.9800    +23.9800  |ST-L    |2020AJ....160...83S
79  |TYC 4711-1090-1                                                                                                                             |Star                                |03 18 28.2494874432 -03 54 34.427802708|185.9641009357249 -47.9414255056314| -10.872 -6.057   |10.76    |~                    |    ~     ~            |    1|  382.088   pc  |  -2.9198     +2.9198  |paral   |2020yCat.1350....0G
80  |TYC 4711-1111-1                                                                                                                             |Star                                |03 18 47.5089240024 -04 04 48.328631400|186.2391814742673 -47.9808893586104|   4.648 -4.711   |10.92    |~                    |    ~     ~            |    1|  445.851   pc  |  -3.4588     +3.4588  |paral   |2020yCat.1350....0G
81  |BD-06 631                                                                                                                                   |Star                                |03 15 25.7469455880 -06 14 04.088881788|188.1236551659741 -49.9333137170415| -0.843 -28.630   |9.16     |K0                   |    ~     ~            |    1|  401.252   pc  |  -3.5582     +3.5582  |paral   |2020yCat.1350....0G
82  |BD-06 644                                                                                                                                   |Double or Multiple Star             |03 18 12.6824 -06 24 44.913            |188.9667166 -49.4725106            |      -8.6 20.5   |9.11     |G5                   |    ~     ~            |    0|                |                       |        |                   
83  |BD-06 648                                                                                                                                   |Star                                |03 19 19.1117833272 -06 16 06.890919780|189.0285170304324 -49.1646783201118| 11.048 -17.855   |9.86     |K0                   |    ~     ~            |    1|  492.514   pc  |  -3.7356     +3.7356  |paral   |2020yCat.1350....0G
84  |BD-06 651                                                                                                                                   |Star                                |03 19 33.2189002368 -06 15 55.551520584|189.0758600258684 -49.1150345612823|    5.005 1.656   |10.171   |K0                   |    ~     ~            |    1|  301.165   pc  |  -6.4260     +6.4260  |ST-L    |2020AJ....160...83S
85  |NGC 1299                           NGC 1299                                                                                                 |Galaxy towards a Group of Galaxies  |03 20 09.6888266184 -06 15 43.319030184|189.2037811793229 -48.9893385964099|            ~ ~   |     ~   |~                    |0.877 0.456            |    1|   27.29    Mpc |  -2.95       +2.95    |T-F     |2020ApJ...902..145K
86  |BD-06 645                                                                                                                                   |Star                                |03 18 15.0041303088 -06 16 46.745827788|188.8082122862042 -49.3882024890952|   1.627 -6.505   |10.54    |~                    |    ~     ~            |    1| 1171.234   pc  | -23.1833    +23.1833  |paral   |2020yCat.1350....0G
87  |HD 20355                                                                                                                                    |Star                                |03 16 27.3901899264 -04 17 14.282679264|185.9578522485950 -48.5698880935942|-16.163 -29.819   |7.09     |A2IV                 |    ~     ~            |    1|  138.510   pc  |  -0.7521     +0.7521  |paral   |2020yCat.1350....0G
88  |HD 20763                                                                                                                                    |Star                                |03 20 37.6210986864 -04 21 12.792630672|186.9747807612750 -47.7790382758366|-15.620 -36.615   |8.92     |F8/G0V               |    ~     ~            |    1|  186.675   pc  |  -1.6727     +1.6727  |paral   |2020yCat.1350....0G
89  |HD 20237                                                                                                                                    |Star                                |03 15 07.9970579016 -04 47 12.598538640|186.2598292514245 -49.1345099519449|-26.738 -14.939   |9.09     |F5V                  |    ~     ~            |    1|  120.582   pc  |  -0.2908     +0.2908  |paral   |2020yCat.1350....0G
90  |BD-05 615                                                                                                                                   |Rotating Variable                   |03 18 22.7914785072 -04 29 28.821859980|186.6388908375851 -48.3103490582801|  -5.287 -8.928   |9.92     |G0                   |    ~     ~            |    1|  140.166   pc  |  -1.0550     +1.0550  |paral   |2018yCat.1345....0G
91  |HD 20620                                                                                                                                    |Star                                |03 18 58.9155023952 -04 44 48.769805724|187.0819168946815 -48.3426514184341|   0.074 -6.083   |8.49     |K0III                |    ~     ~            |    1|  418.375   pc  |  -3.8333     +3.8333  |paral   |2020yCat.1350....0G
92  |BD-05 625                                                                                                                                   |Star                                |03 21 44.6023762776 -05 09 34.081637112|188.1900289721295 -48.0304298385796|   13.628 2.554   |8.82     |K2                   |    ~     ~            |    1|  635.405   pc  |  -9.6494     +9.6494  |paral   |2020yCat.1350....0G
93  |BD-05 626                                                                                                                                   |Star                                |03 21 47.5865617104 -05 26 57.010473348|188.5535473066045 -48.1890692667700|   5.036 -0.965   |9.67     |M3e                  |    ~     ~            |    1| 1061.797   pc  | -27.6216    +27.6216  |paral   |2020yCat.1350....0G
94  |BD-05 627                                                                                                                                   |Star                                |03 21 53.9956498728 -05 06 04.801410864|188.1535843782623 -47.9648224096835| -13.287 -6.958   |9.64     |G0                   |    ~     ~            |    1|  300.701   pc  |  -5.2660     +5.2660  |ST-L    |2020AJ....160...83S
