C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:51:32

dec >=0&rah >=17.75&rah< 18.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5314

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
2387|TYC 1019-420-1                                                                                                                                                                 |Star                              |17 52 20.8517789520 +13 12 21.339066384|038.4006571834551 +18.9717040357885| -3.581 -13.744    |9.64     |~                 |    ~     ~    |    1|  485.060   pc  |  -2.9646     +2.9646  |paral   |2020yCat.1350....0G
2388|TYC 1019-489-1                                                                                                                                                                 |Star                              |17 55 23.7005885112 +13 19 47.887280544|038.8444831410580 +18.3484514651668|   -1.421 0.914    |9.57     |~                 |    ~     ~    |    1|  732.440   pc  |  -7.2960     +7.2960  |paral   |2020yCat.1350....0G
2389|TYC 1019-1374-1                                                                                                                                                                |Star                              |17 58 59.9592404136 +13 39 38.419723332|039.5433070264428 +17.6885552322917|   7.352 -2.939    |10.40    |~                 |    ~     ~    |    1|  297.841   pc  |  -2.1911     +2.1911  |paral   |2020yCat.1350....0G
2390|TYC 1019-1406-1                                                                                                                                                                |Star                              |17 55 42.8798854344 +14 01 35.406952788|039.5469171113575 +18.5657790997043|  6.810 -21.108    |10.91    |~                 |    ~     ~    |    1|  244.010   pc  |  -0.8455     +0.8455  |paral   |2020yCat.1350....0G
2391|TYC 1019-1486-1                                                                                                                                                                |Star                              |17 57 15.8827350312 +13 35 20.401341072|039.2911004540641 +18.0422986021131|  9.803 -18.864    |10.51    |~                 |    ~     ~    |    1|  278.816   pc  |  -1.5548     +1.5548  |paral   |2020yCat.1350....0G
2392|TYC 1019-1604-1                                                                                                                                                                |Star                              |17 57 22.2684787512 +13 45 57.635269200|039.4718288502320 +18.0920933723993|   1.496 -1.949    |10.53    |~                 |    ~     ~    |    1|  458.926   pc  |  -3.1171     +3.1171  |paral   |2020yCat.1350....0G
2393|TYC 1019-1673-1                                                                                                                                                                |Star                              |17 56 16.2522891264 +13 37 53.337944100|039.2264913982467 +18.2796803139197|   5.815 -3.515    |10.13    |~                 |    ~     ~    |    1|  398.995   pc  |  -2.2447     +2.2447  |paral   |2020yCat.1350....0G
2394|TYC 1019-1698-1                                                                                                                                                                |Star                              |17 59 13.9440723984 +13 28 49.523121588|039.3959719971019 +17.5621400445962|    7.871 6.092    |10.38    |~                 |    ~     ~    |    1|  375.192   pc  |  -2.7450     +2.7450  |paral   |2020yCat.1350....0G
2395|TYC 1019-1725-1                                                                                                                                                                |Star                              |17 56 53.9266741248 +13 50 19.209157476|039.4915352763660 +18.2265570483836| -3.397 -14.464    |10.75    |~                 |    ~     ~    |    1|  479.386   pc  |  -4.0677     +4.0677  |paral   |2020yCat.1350....0G
2396|TYC 1019-1738-1                                                                                                                                                                |Star                              |17 59 23.0547725520 +13 52 48.882179424|039.7937124782945 +17.6945388215600|   -5.177 5.737    |9.63     |~                 |    ~     ~    |    1|  539.898   pc  |  -4.2266     +4.2266  |paral   |2020yCat.1350....0G
2397|TYC 1019-1774-1                                                                                                                                                                |Star                              |17 59 10.8470089619 +13 12 22.548145323|039.1291370569182 +17.4593476355046|    7.087 9.399    |10.54    |~                 |    ~     ~    |    0|                |                       |        |                   
2398|TYC 1019-1817-1                                                                                                                                                                |Star                              |17 57 32.9491 +13 34 46.050            |039.3121128 +17.9754451            | -4.175 -31.127    |10.96    |~                 |    ~     ~    |    0|                |                       |        |                   
2399|TYC 1019-1820-1                                                                                                                                                                |Star                              |17 56 42.8423546736 +13 14 03.791965020|038.8933714864229 +18.0168209920577|  -6.161 -7.098    |10.53    |~                 |    ~     ~    |    1|  679.163   pc  |  -7.5186     +7.5186  |paral   |2020yCat.1350....0G
2400|TYC 1019-1829-1                                                                                                                                                                |Star                              |17 57 41.6673050664 +13 21 02.699842500|039.1088907481095 +17.8483119687052| 18.840 -11.848    |10.52    |~                 |    ~     ~    |    1|  996.115   pc  | -12.4031    +12.4031  |paral   |2020yCat.1350....0G
2401|TYC 1019-1868-1                                                                                                                                                                |Star                              |17 57 03.5988621864 +13 38 14.855775396|039.3158020441798 +18.1076549545082|    2.094 2.004    |10.91    |~                 |    ~     ~    |    1|  534.960   pc  |  -4.5217     +4.5217  |paral   |2020yCat.1350....0G
2402|TYC 1019-1970-1                                                                                                                                                                |Star                              |17 56 24.9052918464 +13 12 00.956674692|038.8288992043479 +18.0687828471581|  -5.428 -7.192    |10.24    |~                 |    ~     ~    |    1|  600.096   pc  | -12.3880    +12.3880  |paral   |2020yCat.1350....0G
2403|TYC 1019-1979-1                                                                                                                                                                |Star                              |17 58 56.3972298552 +13 24 20.463923664|039.2936451063986 +17.5957052101858|   1.105 -0.389    |10.82    |~                 |    ~     ~    |    1|  380.300   pc  |  -2.0682     +2.0682  |paral   |2020yCat.1350....0G
2404|TYC 1019-1995-1                                                                                                                                                                |Star                              |17 57 51.9097074264 +13 47 32.923440528|039.5493845952757 +17.9938543118238|    1.938 0.435    |10.60    |~                 |    ~     ~    |    1|  591.506   pc  |  -6.3328     +6.3328  |paral   |2020yCat.1350....0G
2405|HD 161586                                                                                                                                                                      |Double or Multiple Star           |17 45 44.393 +16 49 35.18              |041.248889 +21.892540              |      -4.0 12.2    |8.344    |K0                |    ~     ~    |    0|                |                       |        |                   
2406|BD+16 3275                                                                                                                                                                     |Star                              |17 46 31.4771369184 +16 24 42.937185996|040.9182381466548 +21.5566695168891|   5.053 -5.951    |10.53    |F5                |    ~     ~    |    1|  367.498   pc  |  -2.3770     +2.3770  |paral   |2020yCat.1350....0G
2407|BD+16 3277                                                                                                                                                                     |Star                              |17 47 19.9806184704 +16 09 57.190128876|040.7579595566714 +21.2811642370983|  0.175 -16.698    |9.36     |K0                |    ~     ~    |    1|  390.625   pc  | -16.3269    +16.3269  |paral   |2020yCat.1350....0G
2408|BD+16 3282                                                                                                                                                                     |Star                              |17 48 29.9182318536 +16 08 10.429333224|040.8479143627186 +21.0124864439882|   -3.174 0.521    |9.43     |K0                |    ~     ~    |    1|  544.692   pc  |  -6.0821     +6.0821  |paral   |2020yCat.1350....0G
2409|BD+15 3263                                                                                                                                                                     |Star                              |17 45 01.9581674808 +15 30 44.461799532|039.8775192512381 +21.5287037473043|  -1.703 -7.370    |10.45    |F0                |    ~     ~    |    1|  531.350   pc  |  -7.1712     +7.1712  |paral   |2020yCat.1350....0G
2410|BD+15 3266                                                                                                                                                                     |Double or Multiple Star           |17 45 36.022 +15 53 19.77              |040.307283 +21.553307              |     -23.1 -7.0    |8.9      |F8                |    ~     ~    |    0|                |                       |        |                   
2411|BD+15 3267                                                                                                                                                                     |Star                              |17 46 09.9282832680 +15 28 21.123626376|039.9554483641069 +21.2626113534747|   -9.284 3.032    |9.21     |A2                |    ~     ~    |    1|  428.669   pc  |  -3.8038     +3.8038  |paral   |2020yCat.1350....0G
2412|BD+15 3268                                                                                                                                                                     |Star                              |17 46 42.1106525208 +15 30 57.624872472|040.0536290757235 +21.1615661340119|   8.507 -5.208    |9.51     |G5                |    ~     ~    |    0|                |                       |        |                   
2413|BD+15 3269                                                                                                                                                                     |Star                              |17 47 02.4385432728 +15 03 56.442921804|039.6468419923106 +20.9060034147970|  -2.836 11.684    |9.95     |F2                |    ~     ~    |    1|  234.654   pc  |  -0.8810     +0.8810  |paral   |2020yCat.1350....0G
2414|HD 161819                                                                                                                                                                      |Double or Multiple Star           |17 47 09.15376 +15 02 13.9149          |039.63058920 +20.86980085          |    -4.34 -7.59    |8.03     |A0                |    ~     ~    |    0|                |                       |        |                   
2415|BD+15 3271                                                                                                                                                                     |Star                              |17 47 33.4876646736 +15 51 03.934122876|040.4712222212482 +21.1063816214930| -5.144 -13.420    |10.14    |G5                |    ~     ~    |    1|  108.392   pc  |  -0.1692     +0.1692  |paral   |2020yCat.1350....0G
2416|HD 161900                                                                                                                                                                      |Star                              |17 47 37.0905677328 +15 02 06.099677664|039.6769310934381 +20.7660405141693|   12.852 5.462    |7.71     |A0                |    ~     ~    |    1|  325.383   pc  |  -3.1021     +3.1021  |paral   |2020yCat.1350....0G
2417|TYC 1552-1552-1                                                                                                                                                                |Star                              |17 47 41.5351214352 +15 56 30.850157796|040.5742789091719 +21.1129680699108|-12.689 -12.308    |10.21    |K2                |    ~     ~    |    1|  198.878   pc  |  -0.7199     +0.7199  |paral   |2020yCat.1350....0G
2418|TYC 1552-2251-1                                                                                                                                                                |Star                              |17 47 47.6831778912 +15 56 40.247451708|040.5873554846305 +21.0914112896924|   12.578 8.905    |9.94     |K0                |    ~     ~    |    1|  333.634   pc  |  -1.6363     +1.6363  |paral   |2020yCat.1350....0G
2419|BD+15 3273                                                                                                                                                                     |Star                              |17 47 46.1883969624 +15 56 50.696944008|040.5876543645207 +21.0980604138045|   -5.145 1.093    |9.25     |M0                |    ~     ~    |    1|  827.678   pc  | -11.2348    +11.2348  |paral   |2020yCat.1350....0G
2420|BD+15 3276                                                                                                                                                                     |Star                              |17 48 21.0577329864 +15 44 00.128895000|040.4371177900025 +20.8845214877784|  -9.526 -4.941    |8.53     |K2                |    ~     ~    |    1|  390.869   pc  |  -2.7806     +2.7806  |paral   |2020yCat.1350....0G
2421|BD+15 3277                                                                                                                                                                     |Star                              |17 48 42.8122884303 +15 06 10.053831155|039.8571374263118 +20.5513780345592|      -7.8 -7.2    |9.68     |F2                |    ~     ~    |    0|                |                       |        |                   
2422|BD+14 3331                                                                                                                                                                     |Star                              |17 45 35.2334864208 +14 53 53.638564560|039.3311578766320 +21.1598178333705|  -8.935 -3.096    |9.39     |K0                |    ~     ~    |    1|  488.043   pc  |  -3.3108     +3.3108  |paral   |2020yCat.1350....0G
2423|BD+14 3334                                                                                                                                                                     |Star                              |17 46 24.3197010120 +14 29 58.772641452|039.0263605636122 +20.8177411786637|  -1.449 -8.545    |9.20     |K5                |    ~     ~    |    1|  757.978   pc  |  -8.4456     +8.4456  |paral   |2020yCat.1350....0G
2424|HD 161729B                                                                                                                                                                     |Star                              |17 46 39.7131663648 +14 46 46.452110592|039.3271193226177 +20.8743122056885| -11.176 13.211    |8.87     |~                 |    ~     ~    |    1|  154.126   pc  |  -1.7579     +1.7579  |paral   |2020yCat.1350....0G
2425|BD+14 3337                                                                                                                                                                     |Star                              |17 47 30.3450040752 +14 27 39.451015476|039.1041184067869 +20.5585943296594|  -1.705 -8.624    |10.36    |A2                |    ~     ~    |    1|  396.165   pc  |  -2.5425     +2.5425  |paral   |2020yCat.1350....0G
2426|HD 161938                                                                                                                                                                      |Double or Multiple Star           |17 47 53.196 +14 48 31.61              |039.483665 +20.615364              |     -14.5 -6.0    |8.3      |K0                |    ~     ~    |    0|                |                       |        |                   
2427|HD 161960                                                                                                                                                                      |Star                              |17 47 56.1740494728 +14 45 12.913572888|039.4349304486586 +20.5820591513398| -0.700 -17.611    |7.87     |K5                |    ~     ~    |    1|  416.753   pc  |  -8.1979     +8.1979  |paral   |2020yCat.1350....0G
2428|IRAS 17458+1455                                                                                                                                                                |Star                              |17 48 04.6683851640 +14 54 39.863568816|039.6035828042045 +20.6144532465234|   -3.875 8.883    |9.71     |~                 |    ~     ~    |    1| 1495.439   pc  |-142.9020   +142.9020  |paral   |2020yCat.1350....0G
2429|StKM 1-1532                                                                                                                                                                    |Star                              |17 48 13.4975630664 +16 23 48.382878696|041.0763574924863 +21.1761015996555|  -3.808 -7.589    |10.77    |K4                |    ~     ~    |    1| 1329.257   pc  | -33.5716    +33.5716  |paral   |2020yCat.1350....0G
2430|BD+15 3275                                                                                                                                                                     |Star                              |17 48 14.03 +15 46 13.4                |040.46140 +20.92514                |            ~ ~    |10.5     |~                 |    ~     ~    |    0|                |                       |        |                   
2431|TYC 1006-54-1                                                                                                                                                                  |Star                              |17 47 01.6758113928 +14 38 33.580461912|039.2314861756064 +20.7379799779805|  -6.694 -8.610    |10.54    |~                 |    ~     ~    |    1|  886.682   pc  | -10.3779    +10.3779  |paral   |2020yCat.1350....0G
2432|TYC 1006-114-1                                                                                                                                                                 |Star                              |17 46 40.0106663136 +14 37 40.043180604|039.1791113656142 +20.8118167149536|       0.4 -9.9    |10.36    |~                 |    ~     ~    |    0|                |                       |        |                   
2433|TYC 1006-230-1                                                                                                                                                                 |Star                              |17 46 07.3487152464 +14 33 26.652343824|039.0531597234266 +20.9037229312732| -7.205 -13.066    |10.89    |~                 |    ~     ~    |    1|  396.338   pc  |  -1.8065     +1.8065  |paral   |2020yCat.1350....0G
2434|TYC 1006-700-1                                                                                                                                                                 |Star                              |17 47 08.2468585344 +14 56 25.137004596|039.5341396629277 +20.8340833509316|   -3.186 0.262    |10.36    |~                 |    ~     ~    |    1|  729.980   pc  |  -7.1405     +7.1405  |paral   |2020yCat.1350....0G
2435|TYC 1006-890-1                                                                                                                                                                 |Star                              |17 48 36.8874947760 +14 45 34.402581756|039.5116771137968 +20.4344820777613|   1.128 -1.189    |10.91    |~                 |    ~     ~    |    1|  516.289   pc  |  -8.2898     +8.2898  |paral   |2020yCat.1350....0G
2436|TYC 1006-1189-1                                                                                                                                                                |Star                              |17 45 59.2053231216 +14 05 39.866961768|038.5862556333833 +20.7456115795621|   4.403 -2.569    |10.47    |~                 |    ~     ~    |    1|  892.220   pc  | -13.1349    +13.1349  |paral   |2020yCat.1350....0G
2437|TYC 1006-1967-1                                                                                                                                                                |Star                              |17 47 49.5172793568 +14 07 50.755598184|038.8158793489898 +20.3534453945373| -10.842 15.109    |10.93    |~                 |    ~     ~    |    1|  274.514   pc  |  -1.2208     +1.2208  |paral   |2020yCat.1350....0G
2438|TYC 1006-2080-1                                                                                                                                                                |Star                              |17 48 06.8770754184 +14 21 27.956238768|039.0674741513848 +20.3819438001969|  -4.825 -4.747    |10.58    |~                 |    ~     ~    |    1|  819.807   pc  | -13.3744    +13.3744  |paral   |2020yCat.1350....0G
2439|TYC 1006-2137-1                                                                                                                                                                |Star                              |17 46 35.0318685192 +14 14 55.449591972|038.7999653081889 +20.6762884534689|   -0.818 9.592    |10.15    |~                 |    ~     ~    |    1|  165.087   pc  |  -1.9078     +1.9078  |paral   |2020yCat.1350....0G
2440|TYC 1006-2293-1                                                                                                                                                                |Spectroscopic Binary              |17 45 42.2349666792 +14 23 08.170639224|038.8410564591603 +20.9266719846142|    5.782 5.272    |10.12    |~                 |    ~     ~    |    1|  244.996   pc  |  -3.2653     +3.2653  |paral   |2020yCat.1350....0G
2441|TYC 1006-2355-1                                                                                                                                                                |Star                              |17 45 54.9937473408 +14 26 46.784376888|038.9228398287978 +20.9042551052474|   6.872 -0.216    |10.45    |~                 |    ~     ~    |    1|  534.359   pc  |  -4.5401     +4.5401  |paral   |2020yCat.1350....0G
2442|TYC 1006-2445-1                                                                                                                                                                |High Proper Motion Star           |17 46 19.5773627712 +14 02 32.543533608|038.5713646110262 +20.6492114199147| 15.776 -68.035    |10.88    |~                 |    ~     ~    |    1|  159.467   pc  |  -0.3484     +0.3484  |paral   |2020yCat.1350....0G
2443|TYC 1552-147-1                                                                                                                                                                 |Star                              |17 45 47.8881449496 +15 02 43.063581912|039.4975049827881 +21.1723995617634|    0.164 0.989    |10.01    |~                 |    ~     ~    |    1| 1361.100   pc  | -28.5299    +28.5299  |paral   |2020yCat.1350....0G
2444|TYC 1552-167-1                                                                                                                                                                 |Spectroscopic Binary              |17 48 05.1620030640 +15 02 31.161297660|039.7324332542464 +20.6654768876648| 40.574 -93.241    |10.62    |~                 |    ~     ~    |    1|  182.705   pc  |  -0.4840     +0.4840  |paral   |2020yCat.1350....0G
2445|TYC 1552-411-1                                                                                                                                                                 |Star                              |17 48 10.3944239592 +16 30 41.306791572|041.1841032515349 +21.2328442168035| -0.003 -17.500    |9.04     |~                 |    ~     ~    |    1|  406.984   pc  |  -3.3624     +3.3624  |paral   |2020yCat.1350....0G
2446|TYC 1552-547-1                                                                                                                                                                 |Star                              |17 45 13.0503569544 +15 45 34.039167264|040.1402687047699 +21.5863670483890|  -2.338 -9.609    |10.62    |~                 |    ~     ~    |    1|  639.713   pc  |  -6.2203     +6.2203  |paral   |2020yCat.1350....0G
2447|TYC 1552-687-1                                                                                                                                                                 |High Proper Motion Star           |17 45 17.7176322792 +16 24 37.720441224|040.7916642871527 +21.8270080784997|-44.579 -29.789    |10.64    |~                 |    ~     ~    |    1|  236.033   pc  |  -1.9555     +1.9555  |paral   |2020yCat.1350....0G
2448|TYC 1552-1288-1                                                                                                                                                                |Star                              |17 45 09.4951933248 +15 42 09.883865772|040.0782193868139 +21.5768754179994|   -0.195 4.218    |10.83    |~                 |    ~     ~    |    1|  879.662   pc  | -11.4523    +11.4523  |paral   |2020yCat.1350....0G
2449|TYC 1552-1321-1                                                                                                                                                                |Star                              |17 47 04.8463335288 +15 41 46.235165748|040.2698179456019 +21.1499145523046|   9.001 15.459    |10.99    |~                 |    ~     ~    |    1|  161.215   pc  |  -0.3431     +0.3431  |paral   |2020yCat.1350....0G
2450|TYC 1552-1388-1                                                                                                                                                                |High Proper Motion Star           |17 46 10.5142823496 +16 26 06.892392372|040.9057300203266 +21.6428549244899|-12.503 -52.207    |10.31    |~                 |    ~     ~    |    1|  236.368   pc  |  -0.9107     +0.9107  |paral   |2020yCat.1350....0G
2451|TYC 1552-1412-1                                                                                                                                                                |Star                              |17 48 43.6887014640 +16 04 03.743726520|040.8040535960846 +20.9346591176625|   1.469 11.921    |9.60     |~                 |    ~     ~    |    1|  272.539   pc  |  -1.5375     +1.5375  |paral   |2020yCat.1350....0G
2452|TYC 1552-1494-1                                                                                                                                                                |High Proper Motion Star           |17 48 34.3177955592 +15 23 29.277054708|040.1248244844172 +20.6987996997751|-22.591 -55.215    |10.47    |~                 |    ~     ~    |    1|  218.861   pc  |  -0.5461     +0.5461  |paral   |2020yCat.1350....0G
2453|TYC 1552-1525-1                                                                                                                                                                |Star                              |17 48 12.8158366104 +16 00 24.705575064|040.6915843878821 +21.0238704559251| -1.489 -10.499    |10.51    |~                 |    ~     ~    |    1|  276.924   pc  |  -1.4571     +1.4571  |paral   |2020yCat.1350....0G
2454|TYC 1552-1684-1                                                                                                                                                                |Star                              |17 45 08.9615722104 +15 47 41.562887424|040.1682105038106 +21.6154988744363|   -3.884 5.721    |10.880   |~                 |    ~     ~    |    1|  414.439   pc  | -30.3328    +30.3328  |paral   |2020yCat.1350....0G
2455|TYC 1552-1786-1                                                                                                                                                                |Star                              |17 45 03.8608996584 +15 18 42.148572552|039.6831606189089 +21.4414800055696|   0.816 -1.246    |10.16    |~                 |    ~     ~    |    1|  504.286   pc  | -14.1648    +14.1648  |paral   |2020yCat.1350....0G
2456|TYC 1552-1792-1                                                                                                                                                                |High Proper Motion Star           |17 46 43.8914187840 +16 12 45.613371996|040.7426319069508 +21.4322896400957|-31.367 -45.493    |10.77    |~                 |    ~     ~    |    1|  197.562   pc  |  -0.5464     +0.5464  |paral   |2020yCat.1350....0G
2457|TYC 1552-1888-1                                                                                                                                                                |High Proper Motion Star           |17 47 18.8000882400 +15 55 49.689009732|040.5241609818353 +21.1919816158025| -57.181 39.890    |10.61    |~                 |    ~     ~    |    1|  180.734   pc  |  -0.3920     +0.3920  |paral   |2020yCat.1350....0G
2458|TYC 1552-1926-1                                                                                                                                                                |Star                              |17 46 04.6450717032 +15 49 05.546818452|040.2866743773676 +21.4199604163247|   3.088 -2.366    |10.68    |~                 |    ~     ~    |    1| 1649.893   pc  | -54.4429    +54.4429  |paral   |2020yCat.1350....0G
2459|TYC 1552-2048-1                                                                                                                                                                |Star                              |17 45 14.7995923368 +15 18 06.797623428|039.6924059516169 +21.3972654730958|  -0.683 -3.218    |10.91    |~                 |    ~     ~    |    1| 1278.445   pc  | -35.7939    +35.7939  |paral   |2020yCat.1350....0G
2460|TYC 1552-2114-1                                                                                                                                                                |Spectroscopic Binary              |17 48 41.4464939712 +15 16 26.835575052|040.0222927300965 +20.6254066003215|  -6.604 -6.949    |10.14    |~                 |    ~     ~    |    1|  817.795   pc  | -36.9172    +36.9172  |paral   |2020yCat.1350....0G
2461|TYC 1552-2122-1                                                                                                                                                                |Star                              |17 48 42.9977268168 +15 16 20.273013300|040.0231895611002 +20.6189648548200|  4.782 -10.673    |10.31    |~                 |    ~     ~    |    1|  505.791   pc  |  -3.9909     +3.9909  |paral   |2020yCat.1350....0G
2462|TYC 1552-2134-1                                                                                                                                                                |Star                              |17 46 52.3973019552 +15 27 09.432095076|040.0090743428002 +21.0983453408977| -11.986 -5.544    |10.70    |~                 |    ~     ~    |    1| 1723.247   pc  | -42.1680    +42.1680  |paral   |2020yCat.1350....0G
2463|TYC 1552-2165-1                                                                                                                                                                |Star                              |17 46 57.5631220752 +15 28 28.724646972|040.0396094473678 +21.0881542009488| 30.269 -12.962    |10.60    |~                 |    ~     ~    |    1|  269.302   pc  |  -1.1676     +1.1676  |paral   |2020yCat.1350....0G
2464|TYC 1552-2195-1                                                                                                                                                                |High Proper Motion Star           |17 46 49.2013203144 +15 44 37.400388792|040.2897291864466 +21.2264222579614| -0.754 -49.994    |10.78    |~                 |    ~     ~    |    1|  276.205   pc  |  -0.9155     +0.9155  |paral   |2020yCat.1350....0G
2465|TYC 1552-2214-1                                                                                                                                                                |Star                              |17 48 03.8854877880 +16 45 07.464550032|041.4104058304177 +21.3516019913968| -19.063 44.433    |10.60    |~                 |    ~     ~    |    1|  244.517   pc  |  -7.4138     +7.4138  |paral   |2020yCat.1350....0G
2466|TYC 1552-2396-1                                                                                                                                                                |Star                              |17 45 52.4264868672 +15 09 39.894041880|039.6190832033115 +21.2022201301084|    8.348 8.362    |10.56    |~                 |    ~     ~    |    1|  276.893   pc  |  -5.3976     +5.3976  |paral   |2020yCat.1350....0G
2467|TYC 1552-2441-1                                                                                                                                                                |High Proper Motion Star           |17 47 17.8890806568 +15 44 10.474369728|040.3315871776556 +21.1179374684492|-16.255 -50.318    |9.98     |~                 |    ~     ~    |    1|  261.787   pc  |  -6.7710     +6.7710  |paral   |2020yCat.1350....0G
2468|TYC 1552-2480-1                                                                                                                                                                |Star                              |17 45 33.7043148288 +15 18 27.935211420|039.7308632107617 +21.3300036679976|   5.144 -5.295    |10.12    |~                 |    ~     ~    |    1|  844.167   pc  | -11.1168    +11.1168  |paral   |2020yCat.1350....0G
2469|BD+16 3284                                                                                                                                                                     |High Proper Motion Star           |17 48 45.7824561192 +16 41 33.834336324|041.4225607215970 +21.1745568242813| 56.945 -94.167    |9.25     |K0                |    ~     ~    |    1|  118.415   pc  |  -0.1739     +0.1739  |paral   |2020yCat.1350....0G
2470|BD+16 3285                                                                                                                                                                     |Star                              |17 48 46.4196192096 +16 36 59.038905492|041.3484278943366 +21.1421012113478|   6.181 -1.720    |8.24     |M0                |    ~     ~    |    1|  645.953   pc  |  -8.7624     +8.7624  |paral   |2020yCat.1350....0G
2471|BD+16 3289                                                                                                                                                                     |Star                              |17 50 06.3854639640 +16 40 58.119760380|041.5488484466730 +20.8750665044135|  -1.786 -8.943    |9.50     |A2                |    ~     ~    |    1|  308.794   pc  |  -1.6496     +1.6496  |paral   |2020yCat.1350....0G
2472|BD+15 3283                                                                                                                                                                     |Star                              |17 50 02.6463729480 +15 35 49.122754764|040.4779326315490 +20.4564420949212|   -3.848 6.257    |9.21     |G5                |    ~     ~    |    1|  514.245   pc  | -12.5613    +12.5613  |paral   |2020yCat.1350....0G
2473|TYC 1552-2136-1                                                                                                                                                                |Star                              |17 50 00.9586070904 +15 35 19.418742492|040.4669655427142 +20.4593365979293| -13.636 -2.330    |9.82     |G5                |    ~     ~    |    1|  673.310   pc  |  -6.3468     +6.3468  |paral   |2020yCat.1350....0G
2474|HD 162365                                                                                                                                                                      |Star                              |17 50 07.6151463912 +15 29 43.305037944|040.3871640310822 +20.3973802955985|   8.180 11.446    |8.020    |B2IV              |    ~     ~    |    1| 1443.418   pc  | -83.3382    +83.3382  |paral   |2020yCat.1350....0G
2475|BD+14 3345                                                                                                                                                                     |Star                              |17 49 50.9073505488 +14 34 49.854639036|039.4663080497001 +20.0891360276898|  -1.522 -5.408    |10.23    |K0                |    ~     ~    |    1|  716.897   pc  |  -7.6063     +7.6063  |paral   |2020yCat.1350....0G
2476|BD+14 3348                                                                                                                                                                     |Variable Star                     |17 50 22.9317491136 +14 54 57.956970672|039.8486674474059 +20.1073673951727| -22.661 14.642    |8.72     |K2                |    ~     ~    |    1|  445.613   pc  |  -3.8126     +3.8126  |paral   |2020yCat.1350....0G
2477|TYC 1006-930-1                                                                                                                                                                 |Star                              |17 50 20.3001267432 +14 53 54.254298156|039.8268681297981 +20.1098883210564|-11.461 -11.264    |9.77     |K0                |    ~     ~    |    1|  508.440   pc  |  -3.3089     +3.3089  |paral   |2020yCat.1350....0G
2478|BD+14 3349                                                                                                                                                                     |Star                              |17 50 39.0695000280 +14 20 47.936713920|039.3232902951038 +19.8164097474170|  -3.045 -3.755    |9.26     |K5                |    ~     ~    |    1|  594.001   pc  |  -5.3984     +5.3984  |paral   |2020yCat.1350....0G
2479|BD+14 3350                                                                                                                                                                     |Star                              |17 50 41.9099742216 +14 13 33.792504672|039.2112847212980 +19.7566836469284| -8.209 -11.037    |9.24     |K2                |    ~     ~    |    1|  641.478   pc  |  -6.5016     +6.5016  |paral   |2020yCat.1350....0G
2480|IRAS 17470+1511                                                                                                                                                                |Star                              |17 49 20.6144366856 +15 10 59.689907796|040.0011784486941 +20.4446759302987| -3.674 -14.763    |9.29     |~                 |    ~     ~    |    1|  789.952   pc  | -44.8673    +44.8673  |paral   |2020yCat.1350....0G
2481|HD 162772                                                                                                                                                                      |Star                              |17 52 02.4948277008 +16 37 57.177253848|041.6956027745218 +20.4295462626882|   -8.124 6.117    |7.53     |A2                |    ~     ~    |    1|  191.413   pc  |  -1.4362     +1.4362  |paral   |2020yCat.1350....0G
2482|BD+16 3297                                                                                                                                                                     |Star                              |17 52 25.3819431432 +16 38 58.218160884|041.7508706739930 +20.3523966240426|-15.874 -17.810    |10.05    |G5                |    ~     ~    |    1| 2414.293   pc  |-121.8221   +121.8221  |paral   |2020yCat.1350....0G
2483|BD+16 3298                                                                                                                                                                     |Star                              |17 52 25.6705931448 +16 44 47.825421828|041.8464620481859 +20.3898375491284|   -1.938 1.831    |10.54    |K0                |    ~     ~    |    1| 1944.012   pc  | -83.5200    +83.5200  |paral   |2020yCat.1350....0G
2484|BD+16 3299                                                                                                                                                                     |Star                              |17 52 29.4199990872 +16 37 51.447703260|041.7395348312776 +20.3302402567657|    6.473 9.811    |10.19    |K0                |    ~     ~    |    1| 1222.793   pc  | -25.4188    +25.4188  |paral   |2020yCat.1350....0G
2485|BD+16 3302                                                                                                                                                                     |Star                              |17 52 53.9860567944 +16 39 54.608577624|041.8145091007598 +20.2538028445567|    1.332 3.641    |9.62     |K0                |    ~     ~    |    1|  473.934   pc  |  -3.7735     +3.7735  |paral   |2020yCat.1350....0G
2486|BD+16 3304                                                                                                                                                                     |Star                              |17 53 03.9817299360 +16 11 36.775498380|041.3706573175633 +20.0293556937419| -4.198 -12.281    |8.98     |K2                |    ~     ~    |    1|  426.421   pc  |  -8.2553     +8.2553  |paral   |2020yCat.1350....0G
2487|BD+16 3308                                                                                                                                                                     |Star                              |17 53 43.3753909968 +16 45 28.112088348|041.9884434632359 +20.1096597792679|    0.658 0.686    |9.43     |A2                |    ~     ~    |    1|  456.809   pc  |  -4.4656     +4.4656  |paral   |2020yCat.1350....0G
