C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
56   |BD-01 1625                                                                                               |Star                          |07 16 10.3054417464 -02 13 49.234428480|217.7487052736560 +04.4761779693063|  -8.856 -5.812   |10.33    |~               |    ~     ~    
57   |HD 56362                                                                                                 |Star                          |07 16 39.6405811704 -02 05 33.297773424|217.6825103906255 +04.6480578174589|  -5.663 -2.409   |9.38     |A7/8III         |    ~     ~    
58   |BD-01 1639                                                                                               |Star                          |07 17 31.2953343288 -02 07 38.714424960|217.8130059676473 +04.8228749121933| 43.426 -10.788   |9.99     |G0              |    ~     ~    
59   |HD 293745                                                                                                |Star                          |07 15 50.6423991792 -02 24 35.324129268|217.8706182247751 +04.3208224903396|  -2.335 -1.172   |10.05    |A2              |    ~     ~    
60   |BD-01 1622                                                                                               |Star                          |07 16 05.4719012064 -02 15 06.998504796|217.7586339645830 +04.4483640144676|   -0.376 0.666   |9.68     |B8              |    ~     ~    
61   |BD-01 1624                                                                                               |High Proper Motion Star       |07 16 10.4279809728 -02 15 45.645141960|217.7777273354297 +04.4617304467722|-43.369 -64.813   |10.28    |G               |    ~     ~    
62   |TYC 4820-3740-1                                                                                          |Star                          |07 16 11.2272082104 -02 15 53.488536732|217.7812048491435 +04.4636796241834|  -1.600 -1.132   |9.62     |G               |    ~     ~    
63   |BD-02 2030                                                                                               |Long-Period Variable          |07 17 27.1100845920 -02 33 36.818719524|218.1902529359938 +04.6077658923708|   -0.230 5.490   |8.68     |M0              |    ~     ~    
64   |HD 56690                                                                                                 |Star                          |07 18 01.9832651760 -02 32 55.000555368|218.2471451263972 +04.7418975283091|  -3.263 -1.283   |8.94     |B8/9II          |    ~     ~    
65   |HD 293727                                                                                                |Star                          |07 15 39.5652342864 -02 05 59.633017908|217.5734378632482 +04.4226596370266|   0.541 -0.637   |9.88     |K7              |    ~     ~    
66   |HD 293729                                                                                                |Star                          |07 15 32.6365945512 -02 07 49.362941460|217.5872501931843 +04.3830148404655|   -0.280 0.489   |10.20    |K7              |    ~     ~    
67   |HD 293730                                                                                                |Star                          |07 15 09.3293424216 -02 06 12.261574224|217.5184261245314 +04.3092846187085|   1.013 -3.489   |10.72    |A7              |    ~     ~    
68   |TYC 4820-1882-1                                                                                          |Star                          |07 15 58.7493327600 -02 24 54.301634100|217.8909090997626 +04.3483436294324|  -0.908 -0.068   |10.61    |~               |    ~     ~    
69   |HD 293748                                                                                                |Star                          |07 15 41.2046494608 -02 30 49.051333260|217.9448468510577 +04.2381092775175|   -3.699 1.409   |10.18    |A0              |    ~     ~    
70   |G 112-3                                                                                                  |High Proper Motion Star       |07 16 23.9615102016 -02 05 28.299107580|217.6510970406539 +04.5907535243241|64.671 -249.063   |10.71    |~               |    ~     ~    
71   |CCDM J07178-0151B                                                                                        |Star                          |07 17 48.7511862216 -01 50 38.341159944|217.5941714683237 +05.0180262660304|   0.108 -0.800   |10.9     |~               |    ~     ~    
72   |2MASS J07183697-0046394                                                                                  |Star                          |07 18 36.9729095712 -00 46 39.450780624|216.7361623144964 +05.6871327977769|  -0.312 -2.970   |10.7     |~               |    ~     ~    
73   |HD 296656                                                                                                |Star                          |07 15 04.7824336128 -02 35 50.553579192|217.9493112647472 +04.0649636294607|  -3.425 -0.916   |9.79     |B9              |    ~     ~    
74   |HD 293749                                                                                                |Star                          |07 15 59.5258505928 -02 32 29.787253764|218.0050018896344 +04.2928870251692|   -1.148 0.403   |10.33    |G5              |    ~     ~    
