C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
3940 |HD 58483                                                                                                 |Star                          |07 25 02.9909343552 -19 28 09.117385464|234.0083531817471 -01.6823334757448|  5.197 -15.493   |9.29     |K0(III)         |    ~     ~    
3941 |HD 58508                                                                                                 |Star                          |07 25 07.1900872608 -19 55 26.813889624|234.4170578862346 -01.8831865134511|  -10.058 5.760   |9.15     |A0V             |    ~     ~    
3942 |HD 58532                                                                                                 |Star                          |07 25 15.7324239528 -19 49 29.817494688|234.3455231717482 -01.8067511273503|   -2.033 2.142   |9.90     |B7/9IV/V        |    ~     ~    
3943 |HD 58609                                                                                                 |Star                          |07 25 33.7413086304 -19 26 15.875185524|234.0379024079165 -01.5610379833720|   -2.893 2.090   |6.85     |K3III           |    ~     ~    
3944 |HD 58842                                                                                                 |Star                          |07 26 31.1806534368 -19 59 57.408846828|234.6393268930976 -01.6292352596790|   -5.498 1.198   |8.59     |K2II+B/A        |    ~     ~    
3945 |HD 58955                                                                                                 |Star                          |07 27 04.3991115576 -19 56 04.494954912|234.6442626287586 -01.4840284022189|   -2.623 0.017   |9.80     |B9III/IV        |    ~     ~    
3946 |HD 59006                                                                                                 |Star                          |07 27 15.0896025456 -19 59 54.765222864|234.7204686175932 -01.4776487848088|   -8.227 0.195   |8.19     |B8II            |    ~     ~    
3947 |HD 59005                                                                                                 |Star                          |07 27 18.6691318800 -19 30 22.322771064|234.2940781931617 -01.2308820848027|   -2.873 2.186   |9.65     |B8/9II          |    ~     ~    
3948 |HD 59133                                                                                                 |Star                          |07 27 52.7896865712 -19 40 51.581525304|234.5116253703881 -01.1964372280512|   -2.765 2.934   |9.55     |A2/3II/III      |    ~     ~    
3949 |HD 59160                                                                                                 |Star                          |07 28 01.4590653192 -19 34 16.239588204|234.4313211478392 -01.1141493434617|   -4.484 2.862   |10.59    |B8/9V           |    ~     ~    
3950 |HD 59251                                                                                                 |Star                          |07 28 18.2248901256 -20 06 30.032157960|234.9348440436471 -01.3127504120944|   -9.218 4.616   |10.31    |A9V             |    ~     ~    
3951 |HD 59388                                                                                                 |Star                          |07 28 59.1867362736 -19 49 56.768855988|234.7690770131021 -01.0400067386339|   2.918 -1.700   |9.41     |G6/8(III)       |    ~     ~    
3952 |HD 59387                                                                                                 |Star                          |07 29 01.0005008976 -19 06 41.285222892|234.1392864334459 -00.6888650263298|   -7.964 7.398   |10.17    |A5/7IV          |    ~     ~    
3953 |HD 59443                                                                                                 |Star                          |07 29 13.6066096560 -19 33 59.591047140|234.5626368941824 -00.8631236286168|   2.662 -0.147   |10.25    |A1IV            |    ~     ~    
3954 |HD 59496                                                                                                 |Star                          |07 29 27.7926874800 -19 21 50.058675864|234.4113961763140 -00.7171694371736| -3.347 -13.707   |8.78     |K1III           |    ~     ~    
3955 |HD 59521                                                                                                 |Star                          |07 29 33.8677842696 -19 56 58.236229860|234.9369333547115 -00.9767321411274|   -2.029 2.421   |10.46    |B9IV            |    ~     ~    
3956 |HD 59548                                                                                                 |Star                          |07 29 37.6831968336 -19 31 30.012317400|234.5714352686687 -00.7602331886575|   0.955 -0.098   |8.61     |A0IV            |    ~     ~    
3957 |BM IV 9                                                                                                  |Carbon Star                   |07 26 15.0215973240 -19 45 24.898608756|234.3958769733183 -01.5698404568235|   -1.523 5.101   |10.89    |C5,4            |    ~     ~    
3958 |HD 57612                                                                                                 |Star                          |07 21 11.8464148872 -20 13 20.338505364|234.2463462996226 -02.8361431834368|   -0.931 2.824   |9.72     |A0V             |    ~     ~    
3959 |HD 57755                                                                                                 |Pulsating Variable            |07 21 46.5235587840 -20 11 42.308500164|234.2858840290733 -02.7036006742763|   -1.431 4.561   |9.41     |B3III/IV        |    ~     ~    
3960 |HD 58131                                                                                                 |Emission-line Star            |07 23 24.5077190088 -20 13 49.178521416|234.4972812534886 -02.3820018897768|   -2.227 2.937   |7.48     |B9Iab           |    ~     ~    
3961 |HD 58213                                                                                                 |Star                          |07 23 52.1852141208 -20 11 33.979745508|234.5151851584762 -02.2688546032740|   -1.763 2.327   |7.94     |A3/5+K(1/2)III  |    ~     ~    
3962 |HD 58415                                                                                                 |Star                          |07 24 45.4862049768 -20 07 11.981878860|234.5495125765421 -02.0507120872189| -1.254 -19.474   |9.19     |G8/K0III        |    ~     ~    
3963 |BD-19 1871                                                                                               |Be Star                       |07 24 57.4829706720 -20 06 58.509849348|234.5684253665070 -02.0075866249827|   -1.162 2.077   |10.04    |Be              |    ~     ~    
3964 |HD 58699                                                                                                 |Star                          |07 25 57.1847227440 -20 15 26.760461508|234.8034880094202 -01.8688346558845|   -5.218 2.654   |9.37     |K0/1III/IV      |    ~     ~    
3965 |HD 58737                                                                                                 |Star                          |07 26 10.0305926064 -20 10 01.166268936|234.7476723305373 -01.7817107937882|   -1.806 1.659   |10.05    |B8Ib/II         |    ~     ~    
3966 |HD 59049                                                                                                 |Star                          |07 27 26.5682095902 -20 07 57.788019480|234.8598943947299 -01.5020247690433|    0.205 0.884   |9.75     |A2III/IV        |    ~     ~    
3967 |HD 59095                                                                                                 |Star                          |07 27 40.7727586176 -20 08 56.964492672|234.9008307452818 -01.4609984698532|  -4.337 -7.877   |8.77     |A3IV/V          |    ~     ~    
3968 |HD 59135                                                                                                 |Star                          |07 27 49.0416996456 -20 12 29.269928556|234.9681104707815 -01.4606743441677|    3.105 4.898   |8.95     |A9/F0V          |    ~     ~    
3969 |HD 59134                                                                                                 |Star                          |07 27 50.8742871960 -20 10 54.433514388|234.9483624841963 -01.4418169542679|  -14.684 8.520   |8.44     |K0III           |    ~     ~    
3970 |HD 59389                                                                                                 |Star                          |07 28 58.2756312384 -20 09 42.057455724|235.0565848297708 -01.2005903975880|  -4.595 -0.169   |8.87     |B7/8III         |    ~     ~    
3971 |BD-20 1873                                                                                               |Star                          |07 21 12.4249646280 -21 08 32.735415228|235.0617039584225 -03.2647287974979|   -2.572 3.230   |10.35    |OB-             |    ~     ~    
3972 |HD 57613                                                                                                 |Pulsating Variable            |07 21 14.7279518448 -20 46 13.445546052|234.7365876692953 -03.0827772812618|   -2.396 3.268   |9.75     |B2IV            |    ~     ~    
3973 |BD-20 1875                                                                                               |Pulsating Variable            |07 21 15.3447380016 -20 18 34.269037236|234.3299033499351 -02.8648975690180|   -3.735 2.246   |9.93     |~               |    ~     ~    
3974 |HD 57737                                                                                                 |Star                          |07 21 42.2275181448 -20 31 50.001273336|234.5746679544949 -02.8757149798235|-16.084 -14.237   |9.23     |F5V             |    ~     ~    
3975 |HD 57756                                                                                                 |Star                          |07 21 45.9667073760 -20 24 44.160834636|234.4769044991620 -02.8073693085300|   -0.288 1.698   |8.68     |B9II/III        |    ~     ~    
3976 |IDS 07178-2006 AB                                                                                        |Double or Multiple Star       |07 22 09.1 -20 16 18                   |234.3950 -02.6616                  |            ~ ~   |10.1     |A0              |    ~     ~    
3977 |HD 57845                                                                                                 |Star                          |07 22 11.1215166048 -20 16 58.394086788|234.4086778666731 -02.6598833938665|   -5.015 4.304   |9.99     |B9/A0V          |    ~     ~    
3978 |V* GH CMa                                                                                                |Long-Period Variable          |07 22 23.0907515712 -20 30 23.970747348|234.6284396485174 -02.7236800634184|   -6.324 5.661   |7.053    |M4III           |    ~     ~    
3979 |BD-20 1890                                                                                               |Star                          |07 22 27.9490117008 -20 50 51.996110496|234.9388802378904 -02.8671240828252|   -2.581 3.199   |9.95     |~               |    ~     ~    
3980 |HD 58007                                                                                                 |Spectroscopic Binary          |07 22 49.5316818240 -20 45 24.416519508|234.8979884735936 -02.7501674251101|  -0.966 -0.442   |9.03     |F8/G0V          |    ~     ~    
3981 |BD-20 1896                                                                                               |Star                          |07 22 52.3662639792 -20 53 17.417832216|235.0192935065352 -02.8021733165442|   -2.515 3.230   |9.86     |B1V             |    ~     ~    
3982 |BD-20 1899                                                                                               |Star                          |07 23 11.6175990624 -20 47 49.150666860|234.9740136366475 -02.6931369404894|   -2.517 4.783   |9.09     |F5              |    ~     ~    
3983 |HD 58153                                                                                                 |Star                          |07 23 26.4939471144 -20 41 14.606705220|234.9045215996628 -02.5904116307079|   -1.687 2.396   |9.06     |A8IV/V          |    ~     ~    
3984 |HD 58232                                                                                                 |Star                          |07 23 53.8841055144 -20 42 33.593200416|234.9742394665691 -02.5065786065116|  -0.115 -3.633   |8.23     |A3III/IV        |    ~     ~    
3985 |ALS 361                                                                                                  |Star                          |07 24 14.2367835936 -20 49 45.176594556|235.1174850775263 -02.4931924372030|   -2.410 3.372   |10.94    |OB-             |    ~     ~    
3986 |HD 58321                                                                                                 |Star                          |07 24 24.8911308960 -21 06 32.230494180|235.3839508039791 -02.5886221897700|   -1.954 3.191   |9.39     |B2/3II          |    ~     ~    
3987 |TYC 5974-3869-1                                                                                          |Star                          |07 24 23.9678157840 -20 34 16.613912064|234.9077968529506 -02.3380230635681|   -2.604 3.295   |10.62    |OBne            |    ~     ~    
3988 |HD 58391                                                                                                 |Star                          |07 24 31.9554115800 -20 36 00.450582552|234.9479675147211 -02.3241787399851|  -1.513 -1.509   |9.65     |A1/2IV/V        |    ~     ~    
3989 |NGC 2383 8                         BD-20 1909                                                            |Star                          |07 24 31.9664491584 -20 57 09.942768900|235.2591130005216 -02.4906480406072|   -6.512 4.897   |9.88     |M2              |    ~     ~    
3990 |BD-20 1911                                                                                               |Star                          |07 24 40.9466976624 -20 47 23.332007472|235.1318729675650 -02.3828821631370|  -0.769 -0.304   |9.37     |F8              |    ~     ~    
3991 |HD 58416                                                                                                 |Star                          |07 24 43.0420019256 -20 42 42.358738968|235.0668845741827 -02.3388158649972|   -2.431 3.099   |9.61     |B1/2II/III      |    ~     ~    
3992 |NGC 2383 1                         ALS 18711                                                             |Blue Straggler Candidate      |07 24 43.7846370624 -20 56 15.839127168|235.2675894112267 -02.4430129473777|   -2.241 2.361   |9.96     |B0III           |    ~     ~    
3993 |NGC 2383 2                         HD 58440                                                              |Pulsating Variable            |07 24 49.7959693848 -20 56 15.888888888|235.2786627382714 -02.4224010444612|  -0.717 -1.571   |9.74     |A9V             |    ~     ~    
3994 |NGC 2384 2                         HD 58465B                                                             |Star                          |07 25 01.0717551408 -21 01 07.612391928|235.3708909476346 -02.4220347404459|   -2.345 3.273   |9.71     |B2III           |    ~     ~    
3995 |NGC 2384 8                         BD-20 1918                                                            |Emission-line Star            |07 25 05.2411600896 -21 00 45.555899400|235.3731599699749 -02.4048479017756|   -2.320 3.168   |10.29    |OB-             |    ~     ~    
3996 |NGC 2384 10                        HD 58509                                                              |Star                          |07 25 12.2814235464 -21 01 26.268867156|235.3960926530475 -02.3860670728437|   -2.292 3.160   |8.62     |B2III/IV        |    ~     ~    
3997 |Cl* NGC 2384 HG 10025                                                                                    |Star                          |07 25 15.2795062824 -20 49 19.524625068|235.2236057598640 -02.2803003108881|   -2.380 3.311   |10.76    |OB-             |    ~     ~    
3998 |NGC 2384 13                        CPD-20 2379                                                           |Star                          |07 25 16.4561676288 -21 00 40.621538988|235.3925973799758 -02.3657634279180|   -2.299 3.122   |10.8     |B5:             |    ~     ~    
3999 |BD-20 1921                                                                                               |Pulsating Variable            |07 25 19.3995067968 -20 39 40.244842404|235.0893424979050 -02.1900179843988|   -2.231 3.293   |10.77    |OB-             |    ~     ~    
4000 |NGC 2384 14                        CPD-20 2381                                                           |Star                          |07 25 19.0148087208 -21 00 27.035380008|235.3939813799655 -02.3552098403666|    0.510 0.565   |10.35    |K               |    ~     ~    
4001 |HD 58610                                                                                                 |Star                          |07 25 27.3397884000 -20 24 58.933010592|234.8882339393403 -02.0468333033297|  -4.977 -8.693   |9.68     |F5V             |    ~     ~    
4002 |BD-20 1926                                                                                               |Star                          |07 25 35.0558089349 -20 45 11.555474833|235.1993746851391 -02.1798365894600|   -6.212 1.485   |10.57    |OB-             |    ~     ~    
4003 |HD 58763                                                                                                 |Double or Multiple Star       |07 26 11.63459 -20 24 09.6274          |234.95821163 -01.88803454          |     -4.20 1.96   |7.91     |F2IV            |    ~     ~    
4004 |HD 58764                                                                                                 |Star                          |07 26 13.3664189496 -20 54 22.548660048|235.4050004478564 -02.1209980070742|   -2.039 2.105   |7.18     |B9Ia            |    ~     ~    
4005 |BD-20 1937                                                                                               |Star                          |07 26 17.4752164872 -20 53 42.325087128|235.4027493378840 -02.1016183240803|       -1.1 4.5   |10.13    |OB              |    ~     ~    
4006 |HD 58844                                                                                                 |Star                          |07 26 28.5496550136 -20 31 46.444238904|235.1013193509510 -01.8901477126259|   -1.946 2.819   |9.84     |B3/5III         |    ~     ~    
4007 |HD 58843                                                                                                 |Star                          |07 26 33.4099463952 -20 17 44.245154436|234.9043548804443 -01.7623411379805|  -5.028 -8.500   |9.53     |G6/8III/IV      |    ~     ~    
4008 |HD 58905                                                                                                 |Spectroscopic Binary          |07 26 46.3379875752 -20 36 31.559624460|235.2040295984985 -01.8667008590219|   0.735 -3.342   |9.82     |A9V             |    ~     ~    
4009 |BD-20 1946                                                                                               |Star                          |07 26 59.7309121488 -20 54 10.760344308|235.4878602274835 -01.9606147816489|   -2.163 3.031   |9.86     |B3              |    ~     ~    
4010 |BD-20 1949                                                                                               |Star                          |07 27 26.1 -20 47 12                   |235.4343 -01.8150                  |            ~ ~   |9.5      |A2              |    ~     ~    
4011 |BD-20 1950                                                                                               |Star                          |07 27 27.5 -20 46 45                   |235.4303 -01.8066                  |            ~ ~   |9.4      |~               |    ~     ~    
4012 |HD 59161                                                                                                 |Star                          |07 27 54.5002281576 -20 29 51.724825512|235.2329243948808 -01.5799594379162|  -5.252 -2.706   |9.42     |A2IV            |    ~     ~    
4013 |HD 59343                                                                                                 |Star                          |07 28 41.7549060912 -20 38 50.021836152|235.4523690154310 -01.4893091765945|   -2.707 2.623   |9.18     |B8II            |    ~     ~    
4014 |HD 59444                                                                                                 |Star                          |07 29 02.1223362720 -20 52 25.082558040|235.6892554117027 -01.5277846028525| -5.172 -13.221   |9.48     |F3V             |    ~     ~    
4015 |HD 59522                                                                                                 |Star                          |07 29 28.9537759488 -20 18 34.841451924|235.2439659487332 -01.1660854576596|   -7.867 6.454   |9.43     |B9V             |    ~     ~    
4016 |HD 59611                                                                                                 |Star                          |07 29 56.4606905064 -20 47 51.090268776|235.7237200310338 -01.3055648537953|  -5.987 -2.727   |8.94     |K0III           |    ~     ~    
4017 |V* BX CMa                                                                                                |S Star                        |07 25 05.8706031384 -20 33 45.281742084|234.9774308687141 -02.1898482361980|   -1.607 4.135   |10.14    |S               |    ~     ~    
4018 |NGC 2383                           NGC 2383                                                              |Open Cluster                  |07 24 41.8 -20 56 56                   |235.2738 -02.4553                  |   -1.646 1.907   |8.4      |~               | 4.3   4.3     
4019 |NGC 2384                           NGC 2384                                                              |Open Cluster                  |07 25 10.0 -21 01 18                   |235.3899 -02.3928                  |     -3.99 2.28   |7.4      |~               |    ~     ~    
4020 |IRAS 07269-1827                                                                                          |Star                          |07 29 12.4859463672 -18 33 27.007450992|233.6745445986641 -00.3839644912286|  -2.083 -6.131   |10.44    |M3              |    ~     ~    
4021 |BD-19 1865                                                                                               |High Proper Motion Star       |07 24 35.3785080554 -19 33 56.553558454|234.0420821184029 -01.8235320311621|-30.645 -301.671  |9.75     |K0              |    ~     ~    
4022 |BD-19 1855                                                                                               |High Proper Motion Star       |07 23 29.2525715595 -20 01 24.233237031|234.3233627000274 -02.2681316854916|45.201 -335.719   |9.87     |K5V             |    ~     ~    
4023 |TYC 5974-2478-1                                                                                          |Emission-line Star            |07 23 56.1352759176 -19 39 57.818501388|234.0577717396872 -02.0066927543319|   -1.413 1.355   |10.84    |~               |    ~     ~    
4024 |BD-20 1931                                                                                               |Long-Period Variable          |07 25 47.3794505808 -20 57 27.414621360|235.4022764377285 -02.2343889588476|   -1.983 3.542   |8.76     |M2.2Ib-II       |    ~     ~    
4025 |BD-19 1836                                                                                               |Double or Multiple Star       |07 21 05.019480 -19 52 55.79616        |233.932924297 -02.700451177        |       -8.7 0.2   |10.13    |~               |    ~     ~    
4026 |BD-19 1838                                                                                               |Star                          |07 21 19.6080075264 -19 19 05.629689480|233.4611385381734 -02.3855562191954|  -1.324 -3.858   |9.31     |~               |    ~     ~    
4027 |BD-18 1800                                                                                               |Star                          |07 21 36.0595469088 -18 47 39.947251992|233.0286832464170 -02.0825181166154|   -5.513 5.631   |10.28    |~               |    ~     ~    
4028 |BD-19 1842                                                                                               |Star                          |07 21 49.5996450508 -19 36 21.710173410|233.7708469103632 -02.4165506746495|   -5.029 2.573   |10.02    |~               |    ~     ~    
4029 |BD-18 1810                                                                                               |High Proper Motion Star       |07 22 36.1826006280 -18 47 03.260323608|233.1312649450133 -01.8684164926656|  -5.526 66.759   |9.85     |~               |    ~     ~    
4030 |BD-19 1850                                                                                               |Star                          |07 22 44.5301153664 -19 47 37.055374908|234.0379298981303 -02.3145090297459|   -2.112 4.460   |9.95     |~               |    ~     ~    
4031 |TYC 5974-2061-1                                                                                          |Star                          |07 23 39.6744187584 -18 58 14.029129992|233.4137267062855 -01.7354836199223|   -1.759 1.453   |10.38    |~               |    ~     ~    
4032 |BD-19 1866                                                                                               |Star                          |07 24 36.4393311312 -19 37 39.685174500|234.0986941802749 -01.8491708679569|  -8.444 12.703   |9.86     |~               |    ~     ~    
4033 |BD-19 1867                                                                                               |Spectroscopic Binary          |07 24 40.3339828776 -19 58 31.448858772|234.4124811672290 -02.0001201667843|   -2.317 1.101   |9.50     |~               |    ~     ~    
4034 |CPD-19 2160                                                                                              |Star                          |07 25 14.5718227896 -19 47 12.708393900|234.3098066536261 -01.7927218042378|  6.325 -23.274   |9.99     |~               |    ~     ~    
4035 |BD-18 1834                                                                                               |Star                          |07 26 19.0270689072 -19 05 17.118123252|233.8146185523040 -01.2382971587359|   -1.582 1.138   |9.91     |~               |    ~     ~    
4036 |BD-19 1887                                                                                               |Star                          |07 26 42.5638451736 -19 33 56.506630032|234.2789342729772 -01.3838904426619|  -2.474 -1.016   |10.42    |~               |    ~     ~    
4037 |BD-18 1838                                                                                               |Star                          |07 26 53.0439104736 -18 47 20.484853116|233.6152458516141 -00.9781464782175| 18.037 -26.692   |10.07    |~               |    ~     ~    
4038 |BD-18 1843                                                                                               |Star                          |07 27 12.2405992512 -19 05 39.694274160|233.9198255958223 -01.0569762933953|  1.659 -18.266   |9.66     |~               |    ~     ~    
4039 |BD-18 1849                                                                                               |Star                          |07 27 57.8623 -18 52 54.860            |233.8187412 -00.7976884            |       -3.7 5.2   |9.72     |~               |    ~     ~    
4040 |BD-19 1901                                                                                               |Spectroscopic Binary          |07 27 59.9693446368 -19 53 04.739056224|234.7040939164624 -01.2688300272797|   -4.849 1.911   |10.33    |~               |    ~     ~    
4041 |TYC 5987-2660-1                                                                                          |Star                          |07 29 07.1952058680 -19 00 49.519776744|234.0651564664500 -00.6206859980938|  -5.030 -1.719   |10.03    |~               |    ~     ~    
4042 |BD-20 1870                                                                                               |Star                          |07 21 00.9505725552 -20 57 45.132002496|234.8815386853044 -03.2200577913808|  -17.172 1.549   |9.68     |~               |    ~     ~    
4043 |BD-20 1876                                                                                               |Star                          |07 21 17.6330735856 -20 58 43.474500624|234.9262890507802 -03.1702672334158|   0.605 -0.421   |10.02    |M4              |    ~     ~    
4044 |BD-20 1884                                                                                               |High Proper Motion Star       |07 22 03.1400580936 -21 04 27.899484420|235.0939564092617 -03.0586946402737|  5.789 -52.550   |10.11    |~               |    ~     ~    
4045 |BD-20 1893                                                                                               |Star                          |07 22 41.3302731264 -21 09 40.056242328|235.2403752231040 -02.9682863365339|   -1.384 0.860   |10.05    |~               |    ~     ~    
4046 |BD-19 1849                                                                                               |Star                          |07 22 43.6590546000 -20 04 27.861786012|234.2843161666518 -02.4495923531166| 12.597 -16.048   |9.71     |~               |    ~     ~    
4047 |BD-20 1895                                                                                               |Star                          |07 22 53.4106675272 -20 16 59.276208792|234.4866423114568 -02.5141060937551|   -2.359 0.362   |9.70     |~               |    ~     ~    
4048 |BD-20 1902                                                                                               |Star                          |07 23 44.7049807104 -20 47 56.819799456|235.0366354421994 -02.5804358083275| -20.081 40.236   |9.36     |~               |    ~     ~    
4049 |BD-19 1859                                                                                               |Star                          |07 23 50.8378503888 -20 00 36.224257500|234.3514675069170 -02.1873209637307|   3.384 -7.863   |9.58     |~               |    ~     ~    
4050 |BD-19 1880                                                                                               |High Proper Motion Star       |07 25 50.7999157032 -20 03 29.300943708|234.6160907176195 -01.7963082013344| -32.925 45.968   |10.08    |~               |    ~     ~    
4051 |BD-20 1938                                                                                               |Spectroscopic Binary          |07 26 23.5665782544 -20 43 31.428380100|235.2645456512690 -02.0002133304038|-28.454 -22.056   |10.25    |~               |    ~     ~    
4052 |BD-20 1941                                                                                               |Star                          |07 26 28.5585 -20 59 42.257            |235.5112963 -02.1110946            |   -3.444 2.560   |9.74     |~               |    ~     ~    
4053 |BD-20 1945                                                                                               |Star                          |07 26 46.8265597584 -20 55 08.118091560|235.4780068394710 -02.0123796957870|   -2.414 1.961   |10.13    |~               |    ~     ~    
4054 |BD-20 1952                                                                                               |Star                          |07 27 45.6052740720 -20 54 28.041624504|235.5770932956049 -01.8058474798101|   6.673 -5.509   |9.54     |M3              |    ~     ~    
4055 |BD-20 1962                                                                                               |Star                          |07 28 45.4643579688 -20 48 32.668848864|235.6015156351845 -01.5539171616683|  -2.209 -2.058   |9.88     |~               |    ~     ~    
4056 |BD-20 1965                                                                                               |Star                          |07 29 00.4613115240 -20 37 57.205968024|235.4743435530805 -01.4182247983569|   8.687 -8.532   |9.57     |~               |    ~     ~    
4057 |BD-19 1918                                                                                               |Star                          |07 29 48.5572888752 -20 09 44.997114744|235.1514648598363 -01.0283104256208|   -3.490 3.263   |10.06    |~               |    ~     ~    
4058 |HD 57258                                                                                                 |Star                          |07 19 42.4319357664 -18 40 40.877485284|232.7155310828748 -02.4240794899960|   -1.701 1.479   |8.62     |B3II            |    ~     ~    
4059 |TYC 5969-2645-1                                                                                          |Star                          |07 19 53.1462937248 -18 42 59.266727820|232.7693310983191 -02.4046721925214|  8.443 -21.128   |10.78    |B               |    ~     ~    
4060 |BD-18 1790                                                                                               |Star                          |07 20 02.8343627784 -18 37 54.774045120|232.7124126777856 -02.3313083209473|  -8.418 17.040   |9.48     |K0              |    ~     ~    
4061 |HD 57502                                                                                                 |Star                          |07 20 46.6478061000 -18 35 55.608342972|232.7642251353902 -02.1629452567533|   -5.310 2.401   |9.64     |A1IV            |    ~     ~    
4062 |BD-18 1778                                                                                               |Star                          |07 18 51.3324478992 -18 41 26.546742600|232.6324869436144 -02.6083568507836|   -4.854 7.781   |10.26    |~               |    ~     ~    
4063 |2MASS J07191452-1843312                                                                                  |Star                          |07 19 14.5277212272 -18 43 31.315977696|232.7059332823276 -02.5435694354903|  -6.194 -2.234   |9.6      |~               |    ~     ~    
4064 |HD 57611                                                                                                 |Star                          |07 21 19.3485552768 -18 37 11.220741840|232.8433972892256 -02.0587540309891|   0.685 -1.816   |8.50     |G8III/IV        |    ~     ~    
4065 |HD 58212                                                                                                 |Star                          |07 23 55.2094192536 -18 36 03.267917748|233.1166973967069 -01.5069116464548| -1.958 -18.850   |9.78     |G8IV            |    ~     ~    
4066 |HD 58531                                                                                                 |Star                          |07 25 21.4412135568 -18 26 11.791939380|233.1332232104759 -01.1290309960402|   -8.421 2.983   |10.22    |B9IV/V          |    ~     ~    
4067 |HD 59074                                                                                                 |Star                          |07 27 34.4843796312 -18 29 30.793918740|233.4319060231926 -00.6927481564463|  -4.939 -4.545   |6.907    |B9II            |    ~     ~    
4068 |HD 59075                                                                                                 |Pulsating Variable            |07 27 36.9903090480 -18 29 47.782244544|233.4407762217442 -00.6862943218345|   -1.781 2.847   |7.65     |B9Ib            |    ~     ~    
4069 |HD 59386                                                                                                 |Star                          |07 29 02.0875520016 -18 28 53.619073752|233.5882014624966 -00.3836860237862|   -2.937 2.689   |9.80     |B9III/IV        |    ~     ~    
4070 |HD 59460                                                                                                 |Star                          |07 29 16.4283710640 -18 21 52.380528660|233.5126053388430 -00.2778994930060|-17.570 -16.339   |9.84     |G8(IV)          |    ~     ~    
4071 |HD 59519                                                                                                 |Star                          |07 29 35.0648509968 -18 27 56.593945404|233.6367068009514 -00.2616909907929| -1.603 -11.501   |9.02     |A2III/IV        |    ~     ~    
4072 |HD 59547                                                                                                 |Star                          |07 29 43.8275442072 -18 25 50.102440644|233.6224698021188 -00.2144526059478|   -2.209 1.799   |10.08    |K2              |    ~     ~    
4073 |TYC 5970-2371-1                                                                                          |Star                          |07 23 24.5071934352 -18 37 35.191567308|233.0819563861739 -01.6258391531098|  2.553 -11.499   |9.98     |~               |    ~     ~    
4074 |BD-18 1854                                                                                               |Star                          |07 28 32.0083543944 -18 27 43.277723100|233.5141883127939 -00.4787382603037|  2.576 -12.912   |10.28    |~               |    ~     ~    
4075 |BD-19 1819                                                                                               |Star                          |07 19 50.8799131440 -19 59 01.820925132|233.8869548690069 -03.0046986471686|   -6.202 3.467   |9.58     |~               |    ~     ~    
4076 |BD-18 1812                                                                                               |Star                          |07 22 57.9971244384 -19 10 47.440906716|233.5209538456075 -01.9788934381011|   -1.507 2.408   |9.34     |M2/3            |    ~     ~    
4077 |BD-19 1861                                                                                               |Star                          |07 24 10.0364092680 -19 57 23.561947368|234.3397559222538 -02.0957850469974|   -3.209 5.998   |9.39     |~               |    ~     ~    
4078 |TYC 5974-2539-1                                                                                          |Red Supergiant                |07 25 36.7756475400 -19 26 53.904591132|234.0528614737945 -01.5555498035249|   -3.672 2.000   |10.32    |K3Iab           |    ~     ~    
4079 |BD-20 1860                                                                                               |Star                          |07 20 06.6226719504 -21 08 35.155522140|234.9426911437824 -03.4911758437371|   -6.276 4.849   |9.66     |~               |    ~     ~    
4080 |BD-20 1858                                                                                               |Star                          |07 20 06.9645988272 -20 28 59.669425200|234.3586570966097 -03.1821872748433|    1.877 2.403   |9.31     |~               |    ~     ~    
4081 |BD-19 1826                                                                                               |Star                          |07 20 09.2009997624 -20 06 22.031373600|234.0287666926784 -02.9983780216988|   -5.230 3.789   |9.87     |~               |    ~     ~    
4082 |BD-20 1917                                                                                               |Star                          |07 25 05.5783153824 -20 21 51.928266780|234.8021901552955 -02.0971127702625|   -3.017 3.394   |9.07     |~               |    ~     ~    
4083 |IRAS 07266-2040                                                                                          |Star                          |07 28 50.8524432048 -20 46 41.933501868|235.5845137236070 -01.5207839825720|   -1.737 1.665   |10.12    |M3              |    ~     ~    
4084 |CPD-20 2245                                                                                              |Star                          |07 20 35.0 -21 13 48                   |235.0712 -03.4342                  |            ~ ~   |9.51     |~               |    ~     ~    
4085 |CPD-20 2264                                                                                              |Star                          |07 21 15.0 -20 46 12                   |234.7367 -03.0817                  |            ~ ~   |9.30     |~               |    ~     ~    
4086 |CPD-20 2305                                                                                              |Star                          |07 22 36.0 -20 54 42                   |235.0101 -02.8694                  |            ~ ~   |9.66     |~               |    ~     ~    
4087 |CPD-20 2314                                                                                              |Star                          |07 22 52.0 -20 53 18                   |235.0188 -02.8035                  |            ~ ~   |9.70     |~               |    ~     ~    
4088 |CPD-20 2357                                                                                              |Star                          |07 24 43.0 -20 42 36                   |235.0652 -02.3381                  |            ~ ~   |9.34     |~               |    ~     ~    
