C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
46  |HD 11842                                                              |Star                           |01 55 23.0333013504 -39 17 18.146021388|259.3898502783801 -71.9753805828752|   35.900 2.659   |9.59     |F6IV/V          |    ~     ~    
47  |CD-39 590                                                             |Star                           |01 56 31.2640228944 -38 56 20.234699376|258.0575411639691 -72.0087096240601| 17.312 -10.016   |10.38    |F8              |    ~     ~    
48  |HD 12107                                                              |Star                           |01 57 56.1144527952 -38 44 32.160014052|257.0240324917697 -71.8990957201398| -2.602 -37.213   |10.02    |K1IV            |    ~     ~    
49  |HD 12129                                                              |High Proper Motion Star        |01 58 08.1898000080 -39 20 26.884508496|258.5012361857548 -71.5184850473943|  52.117 16.971   |8.49     |K0/1III         |    ~     ~    
50  |HD 12257                                                              |Star                           |01 59 15.2382349272 -38 51 57.881496744|256.8805505786754 -71.6174587333473|  26.878 24.108   |10.16    |A7/9V+K2/3      |    ~     ~    
51  |CD-40 491                                                             |Star                           |01 55 52.8300574824 -39 40 07.326063624|260.1623924871910 -71.6659567066069|   0.641 -9.489   |10.50    |~               |    ~     ~    
52  |HD 12286                                                              |Star                           |01 59 34.5013489536 -39 38 58.708164156|258.7643751991179 -71.1119227381653|  -3.697 -5.673   |9.81     |F3/5V           |    ~     ~    
53  |HD 11818                                                              |Star                           |01 54 58.2495619080 -40 58 07.357648548|263.6200057164492 -70.9632529289551|   22.722 0.142   |8.64     |F2IV            |    ~     ~    
54  |HD 12069                                                              |Star                           |01 57 32.2828157064 -40 38 10.594987944|261.8829931888334 -70.8112983504008|   15.627 9.888   |8.42     |F0V             |    ~     ~    
55  |HD 12268                                                              |High Proper Motion Star        |01 59 26.0244949200 -40 43 37.950206844|261.4093510883155 -70.4754549009096|-77.570 -28.518   |6.92     |G8III           |    ~     ~    
56  |CD-39 586                                                             |Star                           |01 56 11.8867382136 -38 53 13.939035864|258.0423640179228 -72.0899669660830| -0.109 -15.680   |10.348   |~               |    ~     ~    
57  |CD-39 592                                                             |Star                           |01 57 10.4498937984 -38 57 41.051138940|257.8750845253294 -71.8928154630634|   4.170 -1.817   |10.29    |~               |    ~     ~    
58  |CD-41 550                                                             |Star                           |01 59 09.1695646704 -40 26 12.200194824|260.8267007328352 -70.6984452531279|  -6.783 -8.444   |10.13    |~               |    ~     ~    
59  |CD-41 527                                                             |Star                           |01 55 41.5119218784 -40 45 00.131393952|262.8395648280679 -71.0049908276597|   -0.349 4.990   |10.632   |~               |    ~     ~    
60  |CD-40 486                                                             |Star                           |01 54 53.7651288336 -39 40 53.854509540|260.5712407884703 -71.8060629215431|  12.973 -2.667   |10.97    |~               |    ~     ~    
61  |CD-40 489                                                             |Star                           |01 55 24.8477593128 -39 25 47.586970776|259.7389050970348 -71.8840726167074|  3.499 -21.125   |10.45    |~               |    ~     ~    
62  |CD-39 598                                                             |Star                           |01 58 48.5675644656 -39 16 39.028179648|258.0987126679852 -71.4505723704246| 16.454 -16.458   |10.801   |~               |    ~     ~    
63  |CD-41 534                                                             |Star                           |01 56 53.2499487336 -41 04 55.517142252|263.1535156456301 -70.6168795268979|  20.641 -0.396   |10.629   |~               |    ~     ~    
64  |TYC 7543-820-1                                                        |Star                           |01 55 33.3833817768 -39 21 09.369060588|259.4881795363380 -71.9097346669661|  -0.101 -4.837   |10.96    |~               |    ~     ~    
65  |TYC 7543-996-1                                                        |Star                           |01 59 29.7928930704 -38 37 01.766528436|256.1417217868443 -71.7184541276549|  22.473 13.055   |10.99    |~               |    ~     ~    
66  |TYC 7546-247-1                                                        |High Proper Motion Star        |01 55 16.6641355512 -40 58 22.571347764|263.5118638407918 -70.9171341564154|  57.333 13.979   |10.96    |~               |    ~     ~    
67  |TYC 7546-332-1                                                        |Spectroscopic Binary           |01 59 05.8779775632 -40 41 44.698225776|261.4558165394562 -70.5447229851745| 54.820 -15.533   |10.93    |~               |    ~     ~    
68  |HD 11525                                                              |High Proper Motion Star        |01 52 25.1354660856 -38 33 52.633996272|258.6505491495339 -72.8734478318464|   56.731 7.786   |8.91     |G2              |    ~     ~    
69  |CD-39 546                                                             |Star                           |01 48 37.8128884416 -38 48 40.883848776|260.9024023517530 -73.2957167575931|  5.769 -10.898   |10.96    |~               |    ~     ~    
70  |HD 11055                                                              |High Proper Motion Star        |01 47 54.5432709288 -36 19 08.844649644|253.9284786289382 -74.9066738292771| 20.380 -76.213   |9.32     |G0V             |    ~     ~    
71  |HD 11490                                                              |delta Sct Variable             |01 52 09.7440799728 -36 14 29.506336116|251.9627754965751 -74.2231239721640|  37.883 17.352   |9.30     |A7IV            |    ~     ~    
72  |CD-37 681                                                             |Star                           |01 46 32.5801437456 -36 41 52.745649828|255.7253804309643 -74.9183811921051|   -2.089 6.787   |10.34    |K0              |    ~     ~    
73  |HD 11050                                                              |Star                           |01 47 47.7684519072 -37 09 34.141807944|256.5882820848110 -74.4453641868925|   0.576 20.191   |6.320    |K0III           |    ~     ~    
74  |HD 11102                                                              |Star                           |01 48 26.9848591128 -36 51 08.693184096|255.3705397819354 -74.5172704556247| 17.607 -15.903   |9.23     |K0III           |    ~     ~    
75  |HD 11111                                                              |Star                           |01 48 30.7647153984 -36 25 48.865151100|254.0259744661096 -74.7440028427195|   6.077 10.816   |9.65     |K1III           |    ~     ~    
76  |CD-37 713                                                             |High Proper Motion Star        |01 51 13.5932032128 -37 22 20.345303172|255.7757727028915 -73.7659363857002|267.327 -60.503   |10.54    |~               |    ~     ~    
77  |V* WW For                                                             |Long-Period Variable           |01 51 41.8896447144 -36 48 17.586974916|253.8893271732196 -74.0040357630562|    0.219 8.959   |9.30     |K5              |    ~     ~    
