C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1075|BD-09 367                                                             |Star                           |01 58 16.3265436792 -08 26 52.628257824|166.2828177139332 -65.5264366740326| 18.490 -35.586   |9.37     |F5              |    ~     ~    
1076|HD 12144                                                              |Star                           |01 59 04.5736533864 -08 58 54.219880272|167.4690595608099 -65.8190422412328|   10.051 4.764   |8.64     |K1III           |    ~     ~    
1077|HD 12152                                                              |Star                           |01 59 09.9783765264 -08 21 47.140644924|166.5739983387397 -65.3228622524748|  17.878 -0.741   |8.63     |A7IV            |    ~     ~    
1078|BD-09 375                                                             |High Proper Motion Star        |01 59 41.6174770608 -08 45 06.177153420|167.4035743295050 -65.5443862551854|-17.574 -48.759   |10.76    |K2              |    ~     ~    
1079|BD-09 376                                                             |Star                           |01 59 45.1484146440 -08 38 53.853847764|167.2736863212219 -65.4549073231914| -33.186 -5.965   |10.66    |~               |    ~     ~    
1080|HD 12222                                                              |Star                           |01 59 51.5938733112 -09 08 17.065471200|168.0762785623257 -65.8168071047159|  19.767 16.352   |9.19     |F0V             |    ~     ~    
1081|HD 12176                                                              |Star                           |01 59 18.6092170464 -09 34 48.262629612|168.5186540293588 -66.2427831226208|  41.973 -6.657   |8.68     |G8III/IV        |    ~     ~    
1082|BD-08 343                                                             |Star                           |01 55 24.6679017504 -07 29 36.263403312|163.5487585507092 -65.1893485462136|  2.620 -16.146   |10.83    |~               |    ~     ~    
1083|BD-08 345                                                             |Star                           |01 56 10.4358351000 -07 23 30.824986092|163.7715494002036 -64.9963278125392|  25.058 -0.225   |10.68    |~               |    ~     ~    
1084|BD-09 362                                                             |High Proper Motion Star        |01 57 08.3094463272 -08 59 34.985865408|166.5709164822389 -66.1278423262756| -9.877 -67.534   |10.606   |~               |    ~     ~    
1085|BD-08 347                                                             |Star                           |01 57 14.4698749248 -07 41 36.673772820|164.6999892926159 -65.0825619606304| -29.521 17.216   |10.58    |~               |    ~     ~    
1086|BD-08 350                                                             |Star                           |01 57 42.0579284352 -07 49 37.756234956|165.1069459795411 -65.1209828649728|  44.400 -9.342   |10.670   |~               |    ~     ~    
1087|BD-10 407                                                             |Star                           |01 57 50.5277483424 -09 22 38.725194504|167.5044957239322 -66.3181746943183| -11.049 -8.912   |9.82     |~               |    ~     ~    
1088|BD-10 408                                                             |Star                           |01 58 18.4745712264 -09 30 48.158425224|167.9406986939526 -66.3501175885692| 10.346 -22.406   |10.35    |~               |    ~     ~    
1089|BD-09 370                                                             |Star                           |01 58 31.2828885024 -09 15 36.525598524|167.6416497813972 -66.1212588256090| 30.927 -28.816   |10.347   |~               |    ~     ~    
1090|BD-09 371                                                             |Star                           |01 58 52.1745163752 -08 49 36.248431260|167.1344999023085 -65.7308224083825|  19.201 -2.405   |10.300   |~               |    ~     ~    
1091|BD-08 357                                                             |Star                           |01 59 34.7818704072 -07 27 17.025756876|165.4489108986895 -64.5428352124583|   0.216 -5.364   |10.76    |~               |    ~     ~    
1092|BD-09 377                                                             |Star                           |01 59 50.1996196392 -08 35 03.956405640|167.2160371422523 -65.3921674668760|   22.687 0.744   |9.66     |~               |    ~     ~    
1093|BD-08 358                                                             |High Proper Motion Star        |01 59 51.5664603648 -07 27 59.475121560|165.5936402054043 -64.5100804109945|-11.043 -59.346   |10.049   |~               |    ~     ~    
1094|BD-09 369                                                             |Star                           |01 58 20.9648537112 -09 16 58.372298256|167.5961811023990 -66.1657450888959|  -1.051 28.601   |10.44    |~               |    ~     ~    
1095|TYC 5278-2356-1                                                       |Star                           |01 59 42.2551177584 -08 59 35.413217700|167.7790918215799 -65.7296194916178|  11.569 -2.227   |10.72    |~               |    ~     ~    
1096|TYC 5278-1673-1                                                       |Star                           |01 59 54.0653265360 -09 30 16.523632152|168.6734469829210 -66.0910893864656|   8.076 -5.826   |10.84    |~               |    ~     ~    
1097|TYC 5278-2328-1                                                       |Star                           |01 58 11.8403306088 -08 34 49.336391532|166.4458775345666 -65.6419076852668|   3.977 -0.421   |10.77    |~               |    ~     ~    
1098|HD 11194                                                              |High Proper Motion Star        |01 49 54.3063123072 -07 18 30.050480808|160.5829546819482 -65.8101578804546|-36.599 -39.728   |8.16     |K1/2III         |    ~     ~    
1099|BD-08 317                                                             |Star                           |01 48 55.7120279352 -07 22 28.368736248|160.1743838055961 -65.9977506063457|  31.397 34.820   |10.21    |~               |    ~     ~    
1100|BD-08 318                                                             |Star                           |01 49 03.3808824096 -07 26 15.675985968|160.3243023132874 -66.0334879405969|   6.960 -9.489   |9.73     |~               |    ~     ~    
1101|BD-08 319                                                             |Star                           |01 49 05.4387796704 -07 18 56.872861812|160.1789126289733 -65.9265908754699| 29.612 -13.888   |10.91    |~               |    ~     ~    
1102|BD-08 321                                                             |Star                           |01 49 22.9477874688 -07 25 24.130887564|160.4716408971916 -65.9773546415493|  24.378 -0.022   |10.16    |~               |    ~     ~    
1103|BD-05 324                                                             |Star                           |01 49 58.8601196808 -05 11 22.597864836|157.9692475374850 -64.0039390267869|   0.337 -3.548   |8.96     |K5              |    ~     ~    
1104|HD 10824                                                              |Star                           |01 45 59.2598412672 -05 43 59.878345764|156.6139537067970 -64.9748465430255|-10.222 -29.187   |5.34     |K5III           |    ~     ~    
1105|BD-06 340                                                             |Star                           |01 48 24.3092388288 -05 21 14.627036340|157.3866108891605 -64.3452920215435| -12.863 -7.777   |10.08    |F8              |    ~     ~    
1106|HD 11315                                                              |Star                           |01 51 03.5727563400 -05 28 10.916981400|158.8259029360838 -64.1041816742943|   23.017 5.422   |9.31     |F0V             |    ~     ~    
1107|BD-06 335                                                             |Star                           |01 45 59.6804645952 -06 12 36.713520864|157.1855956993329 -65.3869919834470|  17.054 -2.456   |10.858   |~               |    ~     ~    
1108|BD-06 337                                                             |Star                           |01 46 05.7971690184 -05 56 12.015103416|156.9098546689713 -65.1377019929372|   1.750 22.518   |10.699   |~               |    ~     ~    
1109|BD-06 338                                                             |Star                           |01 46 16.8090002808 -05 46 27.086077740|156.8112347056885 -64.9741375576266|  7.205 -28.975   |9.869    |~               |    ~     ~    
1110|BD-06 339                                                             |Star                           |01 47 14.6458325880 -06 15 09.409969368|157.8777898925267 -65.2656606393440| -4.953 -11.011   |9.43     |K0              |    ~     ~    
1111|BD-06 343                                                             |High Proper Motion Star        |01 49 27.0112470168 -05 59 42.469791036|158.6728137459778 -64.7614295261864| 64.424 -62.690   |10.99    |~               |    ~     ~    
1112|HD 11204                                                              |High Proper Motion Star        |01 50 01.3228624248 -06 10 34.664963196|159.1806084298245 -64.8407273494821| 139.592 35.140   |8.55     |G1V             |    ~     ~    
1113|BD-06 347                                                             |Star                           |01 50 26.0887868160 -06 07 51.866599296|159.3285646034436 -64.7479864513969| 35.558 -17.628   |10.60    |~               |    ~     ~    
1114|HD 11259                                                              |High Proper Motion Star        |01 50 27.9209774808 -05 46 56.680604040|158.9141476205602 -64.4479499511659|115.306 120.353   |9.63     |G5V             |    ~     ~    
1115|HD 10837                                                              |Pulsating Variable             |01 46 04.8693796008 -06 26 35.967880140|157.5145905379465 -65.5771778985757|-23.102 -23.956   |9.29     |A3III           |    ~     ~    
1116|BD-07 293                                                             |Star                           |01 46 39.9763157520 -07 15 00.599721156|158.8403814921160 -66.1925850189249|    8.730 6.721   |10.578   |~               |    ~     ~    
1117|BD-07 294                                                             |Star                           |01 47 16.8467484576 -07 10 31.597386312|159.0628500529968 -66.0487021269079|  33.724 16.466   |10.97    |~               |    ~     ~    
1118|BD-07 295                                                             |Star                           |01 47 22.2320532552 -06 51 39.641930136|158.7036972442103 -65.7696456292766| -0.336 -11.220   |10.41    |~               |    ~     ~    
1119|BD-07 296                                                             |Red Giant Branch star Candidate|01 47 38.0175845232 -06 41 49.089419556|158.6303180215237 -65.5956839538278|  13.713 -5.983   |9.42     |K2              |    ~     ~    
1120|BD-07 300                                                             |Star                           |01 48 38.8203091104 -06 41 25.206644328|159.1384180099223 -65.4576626000563| 15.047 -33.765   |9.77     |G5              |    ~     ~    
1121|BD-07 301                                                             |Star                           |01 48 57.6303405360 -06 28 44.487024024|159.0291304961629 -65.2371263831942|  15.154 27.732   |10.86    |~               |    ~     ~    
1122|BD-07 303                                                             |High Proper Motion Star        |01 49 11.7550697736 -07 07 02.434573488|159.9699243004057 -65.7456279105082| 46.513 -69.670   |9.63     |~               |    ~     ~    
1123|BD-07 304                                                             |Star                           |01 49 15.7934567592 -07 01 59.007748908|159.8935251738500 -65.6656601602166|  35.506 10.191   |10.42    |~               |    ~     ~    
1124|BD-07 305                                                             |Star                           |01 49 43.9757091480 -06 19 18.828384528|159.2187550095693 -65.0022843843819|-15.755 -13.126   |10.67    |~               |    ~     ~    
1125|HD 11205                                                              |Star                           |01 50 01.0316546112 -06 42 59.947663428|159.8625953697423 -65.2982802431781|  23.791 32.683   |8.70     |F0V             |    ~     ~    
1126|HD 11226                                                              |High Proper Motion Star        |01 50 15.4484978880 -06 42 14.722037100|159.9665450655250 -65.2555381626266| 226.377 38.761   |7.06     |K4III           |    ~     ~    
1127|HD 11297                                                              |Star                           |01 50 51.8105147016 -07 08 28.311539316|160.8420226358715 -65.5398761390964| -4.037 -41.576   |8.61     |K0III           |    ~     ~    
1128|HD 11365                                                              |Star                           |01 51 37.8001482720 -06 52 26.902290396|160.8696736699873 -65.2122174069849|   4.610 -7.998   |6.41     |K1III           |    ~     ~    
1129|BD-07 311                                                             |Star                           |01 52 15.2 -06 25 13                   |160.5863 -64.7479                  |            ~ ~   |9.7      |~               |    ~     ~    
1130|BD-07 313                                                             |Star                           |01 52 28.9 -06 46 52                   |161.1661 -65.0178                  |            ~ ~   |10.0     |~               |    ~     ~    
1131|BD-06 332                                                             |Star                           |01 45 11.7604615416 -05 45 45.488446776|156.2424983944641 -65.0975687951686|   0.459 -3.642   |10.10    |~               |    ~     ~    
1132|BD-06 334                                                             |Star                           |01 45 50.0842013520 -05 16 40.327321656|156.0102548011730 -64.5970506739878|  -5.221 -7.452   |9.48     |~               |    ~     ~    
1133|BD-07 298                                                             |Star                           |01 48 24.5963339760 -07 03 14.611599324|159.4863069529787 -65.7969967182110|  8.657 -11.987   |10.98    |~               |    ~     ~    
1134|BD-08 322                                                             |Star                           |01 49 35.3089546464 -07 16 38.382629412|160.3810670002613 -65.8271221995959|-24.216 -31.270   |10.09    |~               |    ~     ~    
1135|BD-05 325                                                             |Star                           |01 50 06.4787334672 -05 15 01.966918320|158.1026527832960 -64.0399650959058|-14.313 -13.976   |9.93     |~               |    ~     ~    
1136|BD-06 346                                                             |High Proper Motion Star        |01 50 21.6402874704 -05 18 45.091643940|158.2988830179465 -64.0605884968256|  19.418 46.538   |10.84    |~               |    ~     ~    
1137|BD-06 349                                                             |Star                           |01 50 25.8993229584 -05 51 25.519015908|158.9887987507227 -64.5158668514772|  -7.173 -6.777   |10.54    |~               |    ~     ~    
1138|BD-06 333                                                             |Star                           |01 45 32.3111910312 -05 25 23.275217064|156.0255141479308 -64.7598240511701| 23.944 -29.548   |10.63    |~               |    ~     ~    
1139|TYC 4688-1335-1                                                       |Star                           |01 52 02.3062803168 -05 06 26.980847532|158.8659170764316 -63.6679910598805| -1.189 -10.681   |10.99    |~               |    ~     ~    
1140|HD 11675                                                              |High Proper Motion Star        |01 54 27.0276524400 -07 22 29.988565932|162.9223412833315 -65.2311967473678| 25.767 -63.343   |8.75     |G2V             |    ~     ~    
1141|BD-08 336                                                             |Star                           |01 54 06.2871921744 -07 19 25.541202324|162.6846211321194 -65.2385936222286|  -1.943 -7.504   |10.658   |~               |    ~     ~    
1142|HD 11618                                                              |Star                           |01 53 51.1941791352 -05 16 00.857383716|159.9179666080780 -63.5631070232133| 25.431 -14.330   |9.32     |F3V             |    ~     ~    
1143|HD 11710                                                              |Star                           |01 54 48.4755407712 -05 39 30.394521180|160.8472399909615 -63.7625690196426|    2.670 3.143   |10.17    |A0V             |    ~     ~    
1144|BD-06 356                                                             |Star                           |01 52 36.5344639440 -05 50 36.107704212|160.0308012283962 -64.2155662616622|  25.338 -6.540   |10.94    |~               |    ~     ~    
1145|BD-06 357                                                             |Star                           |01 52 42.4173612768 -05 55 40.624307724|160.1832483679326 -64.2735448654339|  10.734 -2.100   |10.15    |~               |    ~     ~    
1146|HD 11691                                                              |Star                           |01 54 37.3155931824 -06 16 18.367215240|161.5354292319296 -64.2987636755466|  41.503 21.251   |7.95     |K0III           |    ~     ~    
1147|BD-07 315                                                             |Star                           |01 53 09.1717596720 -06 17 05.786505744|160.8490544770739 -64.5121329862535| 28.231 -16.127   |10.67    |~               |    ~     ~    
1148|HD 11700                                                              |Star                           |01 54 42.0568712376 -07 01 37.874465580|162.5690257852803 -64.9107988218869|   34.937 3.119   |8.40     |K0III           |    ~     ~    
1149|HD 11699                                                              |High Proper Motion Star        |01 54 48.4333578720 -06 35 32.044894044|162.0406326394940 -64.5379945680285| 63.628 -43.837   |8.00     |F6V             |    ~     ~    
1150|BD-07 314                                                             |Star                           |01 52 42.9053981376 -07 05 33.572591520|161.6938025078063 -65.2440024533129|  44.841 -7.207   |10.81    |~               |    ~     ~    
1151|BD-05 340                                                             |Star                           |01 54 25.7232552768 -05 10 34.050429372|160.0788292051992 -63.4094462033376|  -2.816 12.249   |9.82     |~               |    ~     ~    
1152|BD-06 362                                                             |Star                           |01 54 59.9724743064 -05 36 00.654895332|160.8648650962026 -63.6876946449549|   20.649 3.227   |10.58    |~               |    ~     ~    
1153|BD-05 346                                                             |Rotating Variable              |01 56 10.0360663152 -05 00 37.243496520|160.6856183890272 -63.0350509451589| 41.612 -17.717   |9.778    |K0              |    ~     ~    
1154|BD-05 348                                                             |Star                           |01 56 19.9530270312 -04 57 03.807701532|160.6900885925808 -62.9629021916932| 22.034 -14.930   |9.970    |K2              |    ~     ~    
1155|HD 11997                                                              |High Proper Motion Star        |01 57 40.0290832296 -05 14 00.347186220|161.6435889707441 -63.0143987448346|195.235 -204.198  |9.23     |K2V             |    ~     ~    
1156|BD-06 368                                                             |Star                           |01 56 33.9730018776 -05 40 48.825894864|161.6944285751015 -63.5380163726395| -3.931 -17.620   |10.383   |~               |    ~     ~    
1157|BD-06 371                                                             |High Proper Motion Star        |01 57 54.2157482112 -05 41 58.427292228|162.3335886195825 -63.3663884132261| 95.628 -10.064   |10.510   |~               |    ~     ~    
1158|BD-06 378                                                             |High Proper Motion Star        |01 59 56.7296483952 -05 25 15.533834880|162.9040144156123 -62.8475650705332|133.509 -19.989   |9.67     |G0              |    ~     ~    
1159|BD-06 379                                                             |Star                           |01 59 59.1606590832 -05 40 35.701911732|163.2461276424696 -63.0506099440635|   -2.463 6.573   |10.581   |~               |    ~     ~    
1160|BD-05 358                                                             |High Proper Motion Star        |01 58 24.0017707320 -05 09 55.873676412|161.8920816176820 -62.8558993391399|246.987 147.527   |10.69    |~               |    ~     ~    
1161|BD-06 367                                                             |Star                           |01 56 13.6601698104 -05 56 30.016857120|161.8680612172800 -63.8016655436772|   7.653 -7.719   |10.27    |~               |    ~     ~    
1162|BD-06 372                                                             |High Proper Motion Star        |01 57 57.9407901000 -06 08 07.525982976|162.9210725909482 -63.7152410567163|  39.643 35.012   |10.507   |~               |    ~     ~    
1163|HD 12038                                                              |Star                           |01 58 07.6809125592 -06 02 10.273674912|162.8669153724280 -63.6108419055656|  -16.548 0.593   |9.29     |F3/5V           |    ~     ~    
1164|BD-06 374                                                             |Star                           |01 58 13.4219480328 -05 58 07.725277452|162.8237503850997 -63.5420209939852|   -0.587 9.338   |10.68    |A0              |    ~     ~    
1165|BD-06 376                                                             |Star                           |01 59 20.4754765872 -06 06 51.198027696|163.5207411633213 -63.5000366402701|-13.511 -30.680   |9.95     |K0              |    ~     ~    
1166|BD-07 322                                                             |Star                           |01 55 37.8757101696 -06 17 00.152839932|162.0278131256795 -64.1674956942903|   30.515 5.071   |10.61    |~               |    ~     ~    
1167|BD-07 323                                                             |High Proper Motion Star        |01 55 50.5172727000 -06 27 35.314248240|162.3569501615286 -64.2831939193061|  57.349 -5.606   |10.10    |F8              |    ~     ~    
1168|BD-07 324                                                             |Star                           |01 56 31.4696906928 -07 07 52.371105852|163.5780915832630 -64.7341041700853|  0.541 -29.656   |10.38    |~               |    ~     ~    
1169|BD-07 325                                                             |Star                           |01 56 42.5991230544 -06 44 56.465521332|163.1478616697332 -64.3963883022328|  8.186 -14.213   |10.357   |~               |    ~     ~    
1170|BD-07 326                                                             |Star                           |01 56 42.3309337848 -06 47 03.090178248|163.1929137129638 -64.4257102069438|    1.543 2.700   |10.389   |~               |    ~     ~    
1171|BD-07 327                                                             |Star                           |01 56 59.5643771448 -06 58 18.769114020|163.5809301049684 -64.5369174416779| -17.810 -4.085   |10.175   |~               |    ~     ~    
1172|BD-07 328                                                             |Star                           |01 57 07.1266860504 -06 44 15.755767944|163.3238432476751 -64.3283402495729|-15.157 -10.548   |9.38     |G5              |    ~     ~    
1173|HD 11982                                                              |High Proper Motion Star        |01 57 31.2402873864 -06 49 40.032676560|163.6322479537914 -64.3434212251468|   66.089 9.661   |7.55     |A5IV            |    ~     ~    
1174|BD-07 333                                                             |High Proper Motion Star        |01 58 22.0368563760 -07 07 27.937319952|164.4297182442467 -64.4592335923177| 142.220 21.648   |9.38     |G0              |    ~     ~    
1175|HD 12076                                                              |Star                           |01 58 27.6788880024 -07 04 42.125609604|164.4097876429472 -64.4083254783249|  15.071 28.204   |6.87     |M2/3III         |    ~     ~    
1176|BD-07 336                                                             |Star                           |01 58 56.5507582608 -06 50 08.625046704|164.2996689658182 -64.1421510231301|  39.543 -3.742   |10.332   |~               |    ~     ~    
1177|HD 12188                                                              |Double or Multiple Star        |01 59 33.7126999704 -06 22 57.432013932|163.9738632487590 -63.6855954036066| 35.449 -21.160   |9.12     |F3/5V           |0.0033  0.0    
1178|HD 12213                                                              |Star                           |01 59 50.4386098752 -07 07 09.096100104|165.0990616562464 -64.2363968936991|   10.123 7.637   |9.18     |F7V             |    ~     ~    
1179|HD 12221                                                              |Star                           |01 59 55.3140630456 -07 01 00.167928744|164.9944991818244 -64.1423971448126|-13.708 -11.070   |8.20     |K1III           |    ~     ~    
1180|BD-07 340                                                             |High Proper Motion Star        |01 59 55.3516087104 -06 52 53.001748848|164.8091101018840 -64.0340016734168|-197.326 59.172   |10.42    |~               |    ~     ~    
1181|BD-06 365                                                             |High Proper Motion Star        |01 55 52.1594566056 -05 23 27.508031952|161.0119019772184 -63.3938838780331| 77.586 -44.378   |10.37    |~               |    ~     ~    
1182|BD-05 349                                                             |Star                           |01 56 37.1099422176 -04 58 17.020175484|160.8456036901047 -62.9408875052521| 14.937 -40.585   |10.194   |~               |    ~     ~    
1183|BD-07 332                                                             |Star                           |01 57 53.0025613752 -06 47 22.165156392|163.7489382754187 -64.2596789235793|  10.327 -3.400   |10.320   |~               |    ~     ~    
1184|BD-05 356                                                             |Star                           |01 57 53.4902356200 -05 09 31.363499376|161.6536066084506 -62.9212210623602|    3.950 3.830   |10.432   |~               |    ~     ~    
1185|BD-06 377                                                             |Star                           |01 59 49.0733542560 -05 20 34.759191624|162.7491279063677 -62.8018742035833|   0.703 -3.214   |10.292   |~               |    ~     ~    
1186|BD-06 364                                                             |Star                           |01 55 48.9730524552 -05 26 38.370566292|161.0526237317251 -63.4453963447102|-18.775 -12.046   |10.69    |~               |    ~     ~    
1187|BD-05 350                                                             |Star                           |01 56 37.9646711664 -05 03 28.066169628|160.9566494104309 -63.0111165429922|   7.432 -9.291   |10.744   |~               |    ~     ~    
1188|TYC 4688-764-1                                                        |Star                           |01 54 23.2646775336 -05 18 37.921927032|160.2222774473863 -63.5280380357073|   3.684 -6.915   |10.680   |~               |    ~     ~    
1189|TYC 4688-1397-1                                                       |Star                           |01 54 07.2349830696 -05 07 16.086356184|159.8682628208355 -63.4044030943952|  10.320 -8.859   |10.919   |~               |    ~     ~    
1190|TYC 4688-1471-1                                                       |High Proper Motion Star        |01 54 07.8464963472 -05 11 05.637645348|159.9496723130802 -63.4568093669415| 122.113 57.137   |10.936   |~               |    ~     ~    
1191|V* AQ Cet                                                             |Long-Period Variable           |01 49 54.6229934040 -04 51 34.450921008|157.5525685893077 -63.7290696208010| 14.141 -19.563   |8.45     |M4III           |    ~     ~    
1192|V* DG Cet                                                             |Eclipsing Binary               |01 50 37.3000256020 -04 57 15.057901092|158.0058125392444 -63.7200033440818|  23.831 25.914   |9.280    |F3/5V           |    ~     ~    
1193|G 271-169                                                             |High Proper Motion Star        |01 51 57.1398210336 -04 57 36.196392960|158.6513161112375 -63.5535333963904|167.707 -86.480   |10.564   |K3:V            |    ~     ~    
1194|BD-05 311                                                             |Star                           |01 45 12.3547427784 -05 01 44.277976632|155.4116828096772 -64.4549625855121| -1.733 -13.479   |10.72    |~               |    ~     ~    
1195|BD-05 313                                                             |Star                           |01 45 41.6655961488 -04 57 18.089724924|155.5762516335757 -64.3316297927448|  -7.513 -1.897   |10.514   |~               |    ~     ~    
1196|BD-05 314                                                             |Star                           |01 46 49.9622766048 -04 58 02.132161968|156.1607326564985 -64.2046207250101|    3.291 2.497   |10.175   |~               |    ~     ~    
1197|BD-05 317                                                             |Star                           |01 47 11.4848172240 -04 56 08.744077932|156.3039696947168 -64.1333535253618|  6.164 -13.517   |10.65    |~               |    ~     ~    
1198|V* DE Cet                                                             |Long-Period Variable           |01 45 21.4375536408 -03 10 08.403846816|153.5324889411497 -62.7922551879280|   29.570 8.267   |7.40     |M1III           |    ~     ~    
1199|HD 10908                                                              |High Proper Motion Star        |01 47 03.8054844432 -03 06 55.614980952|154.3031928823091 -62.5492368864639| 73.976 -29.532   |7.38     |F2IV            |    ~     ~    
1200|HD 10956                                                              |High Proper Motion Star        |01 47 33.5479801200 -02 54 43.472113884|154.3360692111445 -62.3116563505075|134.965 -60.222   |7.83     |F3V             |    ~     ~    
1201|HD 10967                                                              |High Proper Motion Star        |01 47 40.1203010496 -03 14 14.882633880|154.7168409013424 -62.5866289986074|178.881 125.255   |8.19     |F8V             |    ~     ~    
1202|HD 11329                                                              |Star                           |01 51 18.7928589456 -03 07 17.149194660|156.3148450469410 -62.0481022035351|  18.971 39.622   |9.875    |F6V             |    ~     ~    
1203|HD 11351                                                              |High Proper Motion Star        |01 51 36.3783925944 -02 38 16.222339608|155.9504388306590 -61.5902798101160| 70.577 -25.185   |7.17     |F0V             |    ~     ~    
1204|HD 10983                                                              |Star                           |01 47 52.9427270136 -03 20 11.028452352|154.9204412604120 -62.6487856289784|  30.738 14.915   |9.24     |F2V             |    ~     ~    
1205|BD-04 271B                                                            |Star                           |01 47 52.9462389936 -03 20 03.226675380|154.9182417635497 -62.6468684618056|  31.770 12.930   |9.164    |~               |    ~     ~    
1206|BD-04 278                                                             |Star                           |01 49 38.7049022928 -03 44 26.127524760|156.1858678212562 -62.7918001846322| -2.007 -23.687   |9.63     |K0              |    ~     ~    
1207|BD-04 280                                                             |Star                           |01 50 00.0267628056 -03 41 59.359501572|156.3110574023656 -62.7128290910227|   8.019 -9.249   |9.67     |K2              |    ~     ~    
1208|HD 11258                                                              |Star                           |01 50 29.5727560704 -03 41 40.452613872|156.5384424252605 -62.6477956657978|    3.580 5.198   |8.00     |K0III           |    ~     ~    
1209|HD 11388                                                              |High Proper Motion Star        |01 51 50.2332940200 -03 30 13.806479232|156.9637984518165 -62.3157317338646|  81.948 10.891   |9.79     |F6V             |    ~     ~    
1210|BD-04 287                                                             |Star                           |01 51 53.0031259056 -03 40 16.985139780|157.1661820559129 -62.4550351060726|    1.198 1.817   |9.27     |K2              |    ~     ~    
1211|HD 11433                                                              |Star                           |01 52 17.4853684824 -03 20 09.915689292|156.9948630401223 -62.1137978669301|  12.113 -8.613   |9.41     |F5/6+A/F        |    ~     ~    
1212|BD-04 290                                                             |High Proper Motion Star        |01 52 18.4603309920 -03 26 43.120881420|157.1193612987290 -62.2063499141470|-143.017 -145.970 |10.6     |~               |    ~     ~    
1213|HD 10823                                                              |Star                           |01 45 57.7070815416 -04 13 43.204361340|154.9189997188133 -63.6615451480860|-17.224 -36.340   |8.10     |G8IV            |    ~     ~    
1214|BD-04 281                                                             |Double or Multiple Star        |01 50 02.133 -04 07 34.26              |156.789971 -63.079235              |     15.0 -37.0   |9.6      |K2              |    ~     ~    
1215|HD 11339                                                              |Spectroscopic Binary           |01 51 28.9299424032 -04 13 12.403952760|157.5816990568755 -62.9792879821485|154.332 -63.222   |7.19     |A9V             |    ~     ~    
1216|BD-04 266                                                             |Star                           |01 45 10.4344988544 -03 54 11.698729560|154.1870144602567 -63.4658355667540|   -3.921 3.155   |10.8     |~               |    ~     ~    
1217|BD-04 267                                                             |Star                           |01 45 20.1371130936 -03 38 31.190572680|153.9980510093550 -63.2154524685349|   -3.390 1.998   |10.63    |~               |    ~     ~    
1218|BD-03 252                                                             |Star                           |01 45 43.5441106248 -03 01 41.652632208|153.5718517179669 -62.6250774318334|  37.883 -4.292   |10.380   |~               |    ~     ~    
1219|BD-03 255                                                             |Star                           |01 46 35.1402444936 -02 35 02.635162944|153.5495986004495 -62.1318341169622|  7.361 -10.536   |10.182   |~               |    ~     ~    
1220|BD-05 315                                                             |Star                           |01 46 55.5494361264 -04 47 18.026264616|156.0068722545174 -64.0371695175160|   7.101 -9.668   |10.96    |~               |    ~     ~    
1221|BD-05 316                                                             |High Proper Motion Star        |01 47 08.5905659400 -04 41 51.480294936|156.0138763050218 -63.9315721886019|  57.623 -3.380   |10.98    |~               |    ~     ~    
1222|BD-05 319                                                             |Star                           |01 48 09.7722422712 -04 24 43.468568028|156.1997428587379 -63.5582628170623| 20.717 -21.240   |10.75    |~               |    ~     ~    
1223|BD-05 320                                                             |Star                           |01 48 10.0369547952 -04 19 21.059825916|156.1036797914679 -63.4796051220995|   7.938 -8.938   |10.48    |~               |    ~     ~    
1224|BD-04 275                                                             |Star                           |01 49 00.3555044136 -04 02 46.278319200|156.2089636658142 -63.1363207015434|  2.936 -40.956   |10.78    |~               |    ~     ~    
1225|BD-05 321                                                             |Star                           |01 49 00.3386348688 -04 28 59.910524148|156.6886945303185 -63.5167140435515|  3.449 -38.509   |10.8     |~               |    ~     ~    
1226|BD-03 264                                                             |Red Giant Branch star          |01 49 03.8061341880 -02 35 29.661771912|154.7259816685514 -61.8528500425943|  8.291 -21.647   |10.06    |~               |    ~     ~    
1227|BD-04 277                                                             |High Proper Motion Star        |01 49 05.3696270160 -03 57 47.585512692|156.1594360778638 -63.0537608838154|-20.850 -63.172   |9.95     |~               |    ~     ~    
1228|BD-05 322                                                             |Star                           |01 49 39.7872350712 -04 24 20.458489392|156.9202584489972 -63.3678452703758|    2.034 3.796   |10.288   |~               |    ~     ~    
1229|BD-03 265                                                             |Star                           |01 50 28.8894484464 -03 00 55.195442280|155.8176544719432 -62.0565980535683|  32.120 -6.775   |10.58    |~               |    ~     ~    
1230|BD-03 266                                                             |Star                           |01 50 49.3479666864 -03 11 28.433497164|156.1595160788994 -62.1689278996272|   23.305 7.216   |10.69    |~               |    ~     ~    
1231|BD-04 283                                                             |Star                           |01 51 13.0330006440 -03 51 42.420925512|157.0610733460121 -62.7030780153547|  16.617 -5.717   |10.93    |~               |    ~     ~    
1232|BD-03 269                                                             |Star                           |01 52 05.1401459352 -02 38 17.566112544|156.1703923404381 -61.5323158984329|-16.262 -16.693   |10.00    |~               |    ~     ~    
