C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
880 |BD+28 2181                                                                                               |Star                           |13 05 47.2335710112 +27 25 27.546444192|039.0574592964949 +86.7979562590428| -38.167 -8.724  |10.7     |F8                |    ~     ~    
881 |* 41 Com                                                                                                 |High Proper Motion Star        |13 07 10.7299222671 +27 37 29.055438610|041.9200770852537 +86.4705697462775| 34.155 -69.539  |4.69     |K5-III            |    ~     ~    
882 |BD+28 2186                                                                                               |Star                           |13 07 10.9510942344 +27 19 31.953752364|037.0576056131456 +86.4945582452368| -12.159 10.734  |10.58    |G4V               |    ~     ~    
883 |HD 113938                                                                                                |High Proper Motion Star        |13 06 46.9839992064 +27 12 00.744182748|035.0151488657966 +86.5862227913480| -88.924 25.492  |9.16     |G4V               |    ~     ~    
884 |BD+28 2178                                                                                               |Star                           |13 04 10.6520770392 +27 43 30.990831060|045.5877156011984 +87.1108193904480| 13.385 -16.856  |10.31    |F6                |    ~     ~    
885 |TYC 1995-1149-1                                                                                          |Star                           |13 04 33.5845040160 +27 36 32.598723924|043.0551538807648 +87.0474229675490| 19.066 -22.747  |10.97    |~                 |    ~     ~    
886 |HD 113242                                                                                                |High Proper Motion Star        |13 02 04.2845693976 +28 59 29.584512132|072.0104845311205 +87.0043349811903|-84.878 -10.623  |9.05     |F8V               |    ~     ~    
887 |BD+28 2172                                                                                               |Star                           |13 00 07.1258549544 +27 13 28.161518592|036.2809141405355 +88.0669952973947|  -16.939 9.986  |10.26    |G7                |    ~     ~    
888 |BD+27 2205                                                                                               |Star                           |13 02 03.2811163656 +26 44 01.794829272|024.0717667454898 +87.6010532468105|  8.788 -32.941  |10.19    |F6                |    ~     ~    
889 |BD+27 2208                                                                                               |Star                           |13 02 54.1414348776 +26 23 27.785612832|017.5107939519868 +87.3368575432474|  -7.079 12.977  |9.88     |K1IIIbCN1.5Ca1    |    ~     ~    
890 |BD+27 2209                                                                                               |Star                           |13 04 21.4358009424 +26 18 25.660692576|017.7749279160081 +87.0005409883310|    7.111 3.421  |10.25    |G8III             |    ~     ~    
891 |BD+27 2210                                                                                               |Star                           |13 04 35.2717135104 +26 16 04.667040444|017.3489269617402 +86.9397253170209|   -8.536 0.667  |9.35     |G8III             |    ~     ~    
892 |HD 113771                                                                                                |Star                           |13 05 40.8714813144 +26 35 08.497644324|024.0474733228846 +86.7773851781769|  -22.152 1.349  |7.50     |K0III             |    ~     ~    
893 |BD+27 2213                                                                                               |Double or Multiple Star        |13 05 51.0155 +26 13 36.981            |018.1063588 +86.6568492            |   12.20 -35.50  |10.28    |G5                |    ~     ~    
894 |BD+27 2214                                                                                               |Double or Multiple Star        |13 06 19.6288571472 +26 55 30.236209140|030.2725217139150 +86.6780887232518|-13.699 -73.240  |10.27    |G8III             |    ~     ~    
895 |HD 114037                                                                                                |High Proper Motion Star        |13 07 24.6866910816 +26 31 26.220010188|024.2127610541293 +86.3856826267671|-113.634 13.055  |7.60     |K1III             |    ~     ~    
896 |BD+26 2414                                                                                               |Star                           |13 00 37.1527254792 +25 59 04.665669756|004.3306271937265 +87.6499013991561|-32.206 -24.074  |10.48    |G0                |    ~     ~    
897 |BD+26 2426                                                                                               |Star                           |13 05 37.1550009384 +25 55 46.453759248|013.0292682916779 +86.6092163360476|   0.123 -2.917  |10.31    |K0                |    ~     ~    
898 |BD+26 2415                                                                                               |High Proper Motion Star        |13 01 10.1259449784 +25 37 15.558750372|358.8107135535504 +87.3502075541083| 17.765 -46.978  |9.11     |K5                |    ~     ~    
899 |BD+26 2416                                                                                               |Star                           |13 01 20.0619306288 +25 36 02.851593948|358.9176921419138 +87.3080559744462| 14.225 -10.741  |9.05     |K0                |    ~     ~    
900 |BD+26 2417                                                                                               |Star                           |13 01 20.9317475616 +25 20 40.973123724|354.7381439704822 +87.1505164099122|   -7.944 9.671  |10.00    |K2                |    ~     ~    
901 |HD 113268                                                                                                |High Proper Motion Star        |13 02 19.6935690792 +25 26 56.583477204|359.0162294889908 +87.0373645256974| 64.738 -56.221  |9.29     |F4V               |    ~     ~    
902 |HD 113469                                                                                                |Star                           |13 03 45.5514550248 +25 26 08.402742384|002.1197590542159 +86.7609284887391|   11.480 2.766  |9.59     |F4V               |    ~     ~    
903 |BD+26 2425                                                                                               |Star                           |13 05 28.7965263960 +25 41 15.426013956|009.1034432551734 +86.5417029085176|  -0.265 14.692  |10.21    |F8                |    ~     ~    
904 |BD+26 2429                                                                                               |Star                           |13 07 27.3321189936 +25 23 11.017146300|007.9532027971346 +86.0089902631743| -34.122 12.287  |10.41    |F8                |    ~     ~    
905 |BD+25 2582                                                                                               |Star                           |13 00 01.2752105592 +25 06 28.895853276|347.0520795410748 +87.2084380945596|  -1.353 -3.096  |10.26    |K5                |    ~     ~    
906 |BD+25 2584                                                                                               |Star                           |13 01 56.4424569720 +24 47 44.873329668|348.8589844403298 +86.6815875340036|  -41.648 4.999  |10.44    |F8                |    ~     ~    
907 |BD+25 2585                                                                                               |Star                           |13 03 02.7471399768 +25 11 59.903567628|357.0653847799601 +86.7594896895162| 11.980 -15.981  |10.36    |K2                |    ~     ~    
908 |BD+25 2587                                                                                               |Double or Multiple Star        |13 04 55.5408502 +24 37 48.155974      |354.2083852480 +86.0703749570      |   -37.39 11.09  |10.71    |F2                |0.0050  0.0    
909 |BD+25 2591                                                                                               |Star                           |13 05 21.6327620808 +24 58 53.148820944|359.2345727932945 +86.2073738854113|  -5.987 -6.590  |9.44     |K0                |    ~     ~    
910 |BD+25 2595                                                                                               |Star                           |13 06 05.7656470632 +25 10 58.111434048|003.1476768152494 +86.1787789662293| -24.917 -7.768  |9.81     |G0                |    ~     ~    
911 |BD+25 2597                                                                                               |Star                           |13 06 52.1037624384 +24 46 06.726878796|359.5614968023708 +85.8051741977782|-12.729 -23.071  |9.35     |G0                |    ~     ~    
912 |BD+25 2598                                                                                               |Double or Multiple Star        |13 06 56.7591054744 +25 02 17.868377328|002.8240123215392 +85.9391876791194|-48.288 -26.282  |9.30     |F8                |0.0100  0.0    
913 |TYC 1993-1366-1                                                                                          |Star                           |13 05 07.7907187272 +25 08 44.837058624|000.8678785466851 +86.3433513673245|-19.691 -14.814  |10.26    |~                 |    ~     ~    
914 |TYC 1993-1415-1                                                                                          |High Proper Motion Star        |13 04 07.1407053984 +25 19 57.725475240|001.3725536103303 +86.6370078558910| -108.588 6.947  |10.92    |~                 |    ~     ~    
915 |TYC 1993-1660-1                                                                                          |High Proper Motion Star        |13 06 17.2504130280 +25 47 49.820261172|011.9399401705978 +86.4201492415001| -33.848 57.003  |10.87    |~                 |    ~     ~    
916 |TYC 1993-1669-1                                                                                          |Star                           |13 06 02.0373746928 +25 25 40.987268220|006.2907593992026 +86.3129990943483| -3.335 -11.810  |10.85    |~                 |    ~     ~    
917 |TYC 1993-1689-1                                                                                          |High Proper Motion Star        |13 03 26.1614285520 +24 59 01.961786868|355.0867417792347 +86.5564827316597| -50.605 -8.404  |10.72    |~                 |    ~     ~    
918 |TYC 1993-1914-1                                                                                          |Star                           |13 05 01.3343627208 +25 09 52.782248448|000.9036603738061 +86.3740756256731|-17.042 -13.800  |10.60    |~                 |    ~     ~    
919 |BD+25 2594                                                                                               |High Proper Motion Star        |13 05 58.4294241816 +24 25 10.501568616|354.1193548937149 +85.7524360007337| -71.688 10.755  |10.06    |~                 |    ~     ~    
920 |TYC 1995-252-1                                                                                           |High Proper Motion Star        |13 01 17.9254994232 +26 16 18.713210700|012.2403388641408 +87.6370720339940| -75.482 -5.903  |10.96    |~                 |    ~     ~    
921 |TYC 1995-1356-1                                                                                          |Horizontal Branch Star         |13 06 31.3764225648 +26 50 54.018459780|029.0282150565942 +86.6279286205830| -32.962 -5.059  |10.65    |~                 |    ~     ~    
922 |TYC 1993-2186-1                                                                                          |Star                           |13 05 30.2174082864 +24 54 41.569116300|358.6645371211163 +86.1403756830506|   -4.076 3.741  |10.14    |~                 |    ~     ~    
923 |HD 113094                                                                                                |Star                           |13 01 03.5704814208 +24 18 58.747992192|341.0809716481060 +86.4501660980409| 14.420 -34.875  |7.81     |K1III             |    ~     ~    
924 |HD 113393                                                                                                |Spectroscopic Binary           |13 03 09.4583803200 +24 09 41.362745508|345.2544029187745 +86.0281857667680| -18.640 21.596  |9.05     |F5V               |    ~     ~    
925 |HD 113406                                                                                                |Spectroscopic Binary           |13 03 10.4063829816 +23 49 35.599598976|342.3094079669157 +85.7676704406271|  -47.550 7.516  |6.95     |M4                |    ~     ~    
926 |BD+24 2535                                                                                               |Star                           |13 05 03.6346801944 +23 50 24.504306540|346.7527584163307 +85.4990912521714|  -24.267 8.394  |9.72     |G2                |    ~     ~    
927 |BD+24 2536                                                                                               |Star                           |13 05 09.7426783176 +24 12 16.395988428|350.2949086984859 +85.7446547576562|  -3.602 -9.864  |9.81     |K5                |    ~     ~    
928 |BD+24 2537                                                                                               |High Proper Motion Star        |13 05 46.7171823048 +23 50 26.356698528|348.2669189015616 +85.3873247546593|-82.424 -105.635 |9.21     |K0                |    ~     ~    
929 |BD+24 2524                                                                                               |Star                           |13 00 59.0359950624 +24 07 25.232710368|339.0640304833590 +86.3046466870379|-29.263 -12.486  |10.23    |~                 |    ~     ~    
930 |HD 112960                                                                                                |Double or Multiple Star        |13 00 06.742608 +23 42 39.44808        |333.223995859 +86.061434897        |        8.1 1.7  |9.460    |F3V               |    ~     ~    
931 |HD 113037                                                                                                |Star                           |13 00 35.1763697736 +23 39 06.310536840|334.1539289083735 +85.9561341322315| -11.842 -8.763  |8.23     |F5V               |    ~     ~    
932 |BD+24 2525                                                                                               |Spectroscopic Binary           |13 01 10.6203800904 +23 22 09.511961484|333.8235635087484 +85.6438369188737| -34.535 -8.811  |10.29    |K0                |    ~     ~    
933 |BD+24 2529                                                                                               |Double or Multiple Star        |13 02 34.6647587304 +23 17 38.601699180|336.8468321179973 +85.4124460241460|-34.095 -109.588 |9.45     |K0                |    ~     ~    
934 |BD+24 2532                                                                                               |Double or Multiple Star        |13 03 40.2517718736 +23 38 35.219321988|342.0054616646484 +85.5530075062173|  13.981 -5.969  |10.24    |F8                |    ~     ~    
935 |BD+23 2523                                                                                               |High Proper Motion Star        |13 01 19.7444636304 +22 42 04.329856080|330.3285071307180 +85.0377382734655| -40.273 59.763  |9.66     |G5                |    ~     ~    
936 |BD+23 2524                                                                                               |Star                           |13 01 36.4946838408 +23 03 09.024896412|332.9456807453049 +85.3191769626230|   5.750 -1.106  |10.93    |G5                |    ~     ~    
937 |BD+23 2526                                                                                               |Star                           |13 01 45.6079612440 +22 48 46.435154076|331.9487707306512 +85.0918088783619|  2.922 -31.345  |10.32    |F5                |    ~     ~    
938 |HD 113320                                                                                                |Star                           |13 02 35.0689948032 +22 56 48.593886216|334.6567117658341 +85.1159538999328|    9.270 2.564  |8.15     |G9III             |    ~     ~    
939 |HD 113365                                                                                                |Star                           |13 02 59.4546864960 +22 38 15.158650200|333.8135021743841 +84.8013929748671|-37.154 -18.176  |6.912    |A0                |    ~     ~    
940 |HD 113380                                                                                                |Star                           |13 03 02.4850048224 +23 12 08.718565932|337.3340315205900 +85.2776228687578|  -41.629 4.117  |7.47     |K1III             |    ~     ~    
941 |BD+23 2532                                                                                               |Star                           |13 04 02.1368147904 +22 17 26.254961484|334.2055459870374 +84.3803926912247|  9.273 -48.263  |8.99     |K5                |    ~     ~    
942 |BD+23 2535                                                                                               |Star                           |13 05 47.8327962792 +22 54 02.258491176|341.2847922315532 +84.6664325358333| -30.473 12.252  |10.40    |F5                |    ~     ~    
943 |BD+23 2536                                                                                               |Star                           |13 05 58.2710839248 +22 57 08.046702288|341.9646816684861 +84.6833616948131|   16.310 2.592  |9.36     |F8                |    ~     ~    
944 |HD 113867                                                                                                |gamma Dor Variable             |13 06 22.7100385896 +22 16 47.625214980|338.7186064488125 +84.0831510393471|   4.119 24.080  |6.825    |F4VmA6            |    ~     ~    
945 |BD+23 2539                                                                                               |High Proper Motion Star        |13 07 14.1480913344 +22 27 25.018704540|341.2876105524334 +84.1123870632621| -99.871 78.038  |9.75     |G8V               |    ~     ~    
946 |HD 113516                                                                                                |Star                           |13 04 05.9704228776 +21 53 42.019108584|332.4301897047947 +84.0273742793089| -26.701 23.001  |7.98     |F8V               |    ~     ~    
947 |* 40 Com                                                                                                 |Long-Period Variable           |13 06 22.6020265896 +22 36 58.273099308|340.6394197882362 +84.3582974085579| 28.883 -43.940  |5.61     |M5III:            |    ~     ~    
948 |BPM 97843                                                                                                |Star                           |13 06 19.2 +22 16 36                   |338.5923 +84.0881                  |            ~ ~  |10.5     |K4                |    ~     ~    
949 |BD+23 2521                                                                                               |High Proper Motion Star        |13 00 29.9743089624 +22 36 36.572652072|327.8785637532230 +85.0367444188499| -57.452 -6.139  |9.77     |~                 |    ~     ~    
950 |BD+23 2522                                                                                               |High Proper Motion Star        |13 00 45.3287087520 +22 42 38.836518408|328.9898108453734 +85.1037760842634|-60.977 -33.282  |10.40    |~                 |    ~     ~    
951 |TYC 1456-473-1                                                                                           |Star                           |13 01 43.0363347816 +22 06 41.814370224|328.4496140364668 +84.4665810335554|   3.597 -5.813  |10.68    |~                 |    ~     ~    
952 |TYC 1456-484-1                                                                                           |Star                           |13 05 39.7829031576 +21 52 29.828398404|335.3206300305705 +83.8309949626855|-12.004 -20.973  |10.94    |~                 |    ~     ~    
953 |TYC 1456-614-1                                                                                           |Star                           |13 04 12.1894972027 +22 25 15.509213537|335.2297312030854 +84.4731213751083|-24.121 -19.160  |10.53    |~                 |    ~     ~    
954 |TYC 1456-819-1                                                                                           |Spectroscopic Binary           |13 06 26.4130709736 +21 52 16.448796876|336.7210370073740 +83.7334193233791|-45.776 -13.314  |10.72    |~                 |    ~     ~    
955 |TYC 1993-1756-1                                                                                          |Spectroscopic Binary           |13 05 09.5632273224 +24 23 34.272407076|352.1673004258163 +85.8740447576055| -63.706 68.981  |10.88    |~                 |    ~     ~    
956 |TYC 1993-2016-1                                                                                          |Star                           |13 00 44.3743728960 +24 07 09.467006952|338.3115348851548 +86.3328182190728|   6.667 20.093  |10.90    |~                 |    ~     ~    
957 |TYC 1993-2261-1                                                                                          |Spectroscopic Binary           |13 01 15.1837303032 +23 37 47.948836872|335.8299686393541 +85.8587251256881|-54.871 -59.037  |10.55    |~                 |    ~     ~    
958 |TYC 1993-2341-1                                                                                          |Spectroscopic Binary           |13 01 39.3948739968 +23 08 30.684336972|333.6047853538580 +85.3916941783875| 23.453 -10.688  |10.62    |~                 |    ~     ~    
959 |TYC 1993-2554-1                                                                                          |Star                           |13 02 28.5492760368 +23 42 53.941650408|339.6699003232920 +85.7740573648189|-12.045 -15.774  |10.66    |~                 |    ~     ~    
960 |TYC 1993-2652-1                                                                                          |Star                           |13 06 44.9694677520 +22 48 43.790243940|342.5566707929193 +84.4628567560334| -5.199 -26.493  |10.41    |~                 |    ~     ~    
961 |TYC 1994-324-1                                                                                           |Star                           |13 07 27.5874843216 +23 52 41.017765476|351.8534937638775 +85.1392992856353|   -1.923 2.836  |10.72    |~                 |    ~     ~    
962 |BD+22 2533                                                                                               |High Proper Motion Star        |13 00 41.2458951648 +21 47 05.042936796|324.9212342990940 +84.2573091668050|  -99.966 5.221  |9.66     |G5                |    ~     ~    
963 |BD+22 2536                                                                                               |Star                           |13 01 34.2955283592 +21 45 43.468508736|326.7252014827915 +84.1597499378438|  0.964 -11.609  |10.57    |G0                |    ~     ~    
964 |HD 113663                                                                                                |High Proper Motion Star        |13 05 03.5186630208 +21 29 38.226278400|332.4955827794172 +83.5686438128626|  -50.633 7.462  |8.70     |F9IV              |    ~     ~    
965 |BD+22 2542                                                                                               |Star                           |13 05 35.0026666752 +21 37 10.179932772|333.9966443201778 +83.6196462660307|  14.117 -8.889  |10.34    |~                 |    ~     ~    
966 |HD 112974                                                                                                |Star                           |13 00 15.4941956592 +21 33 15.369217416|323.2173997646751 +84.0754406769285|  25.823 25.766  |7.47     |F7V               |    ~     ~    
967 |HD 113170                                                                                                |Star                           |13 01 35.1320160912 +21 16 08.118267960|325.0145823068837 +83.7009006205094|-25.104 -27.650  |7.07     |K5III-IV          |    ~     ~    
968 |BD+22 2538                                                                                               |High Proper Motion Star        |13 01 39.5038837896 +21 26 20.094124128|325.7323821007994 +83.8529936317550| 43.145 -52.401  |10.52    |F5                |    ~     ~    
969 |BD+21 2476                                                                                               |Star                           |13 00 16.3191656496 +20 43 27.375765708|320.8875980910774 +83.2858775864522| -8.545 -13.052  |9.91     |K0                |    ~     ~    
970 |BD+21 2477                                                                                               |Star                           |13 01 16.3353618864 +21 06 10.907075268|323.8735836582829 +83.5710565438194|-26.163 -37.511  |10.06    |G5                |    ~     ~    
971 |HD 113269                                                                                                |Star                           |13 02 23.1651111648 +20 34 46.004818944|324.4194759896851 +82.9898587800903| 14.077 -46.721  |8.67     |K0III             |    ~     ~    
972 |BD+21 2481                                                                                               |High Proper Motion Star        |13 03 08.6904327408 +20 44 56.241078252|326.2910866730393 +83.0834328501005| 10.434 -62.759  |10.03    |K0                |    ~     ~    
973 |BD+21 2483                                                                                               |Star                           |13 03 36.4522620600 +20 32 31.925155704|326.4703362348051 +82.8510905177632|   7.798 -4.752  |9.30     |K0                |    ~     ~    
974 |BD+21 2484                                                                                               |Star                           |13 04 53.0605690176 +20 35 35.432239740|328.8251086083481 +82.7790711943962|  2.026 -19.505  |9.45     |K5                |    ~     ~    
975 |BD+21 2486                                                                                               |Double or Multiple Star        |13 06 15.39818 +20 43 45.2749          |331.59236305 +82.76159621          |  -49.17 101.14  |9.398    |K4V               |    ~     ~    
976 |BD+20 2785                                                                                               |Star                           |13 02 12.4855325400 +20 02 02.883156216|322.6665733519267 +82.4897635881331| -13.703 -5.815  |10.66    |K0                |    ~     ~    
977 |BD+20 2786                                                                                               |High Proper Motion Star        |13 03 01.9334294544 +19 55 37.982587800|323.7850064580804 +82.3251733490263| -78.500 -5.829  |9.78     |G0                |    ~     ~    
978 |BD+20 2789                                                                                               |Star                           |13 04 18.3700933320 +20 10 09.414156756|326.5476427202663 +82.4439230019029|  -0.418 -3.150  |10.09    |G0                |    ~     ~    
979 |BD+20 2792                                                                                               |Star                           |13 06 07.4598726360 +20 05 44.083893912|329.2555074446390 +82.2055497507657|  -20.270 2.123  |10.57    |G0                |    ~     ~    
980 |BD+20 2787                                                                                               |Spectroscopic Binary           |13 04 00.1734666960 +19 26 17.703796704|324.1401659391439 +81.7876901273033|  -4.574 -1.844  |9.97     |F8                |    ~     ~    
981 |HD 113527B                                                                                               |Star                           |13 04 12.0584911872 +19 23 46.092384888|324.3454987647797 +81.7321124926957|-15.135 -19.696  |10.46    |F8                |    ~     ~    
982 |BD+20 2791                                                                                               |Star                           |13 04 36.9063890184 +19 20 24.484658100|324.8440011431113 +81.6456010572151| -3.063 -36.427  |9.94     |G5                |    ~     ~    
983 |BD+19 2623                                                                                               |Star                           |13 00 46.0757927904 +19 07 37.455723120|318.4123984248184 +81.7169783429860| -22.158 -2.924  |9.58     |K5                |    ~     ~    
984 |BD+20 2790                                                                                               |Star                           |13 04 33.2623421280 +19 37 12.247394736|325.4492261312424 +81.9122099606786|   1.632 -4.837  |10.29    |~                 |    ~     ~    
985 |TYC 1453-490-1                                                                                           |Star                           |13 06 50.9350914168 +19 29 05.086582404|328.5610929089766 +81.5789786544138|-17.709 -30.066  |10.40    |~                 |    ~     ~    
986 |TYC 1453-534-1                                                                                           |Star                           |13 07 25.0937972472 +19 13 43.345150392|328.6809085907552 +81.2904140332678|   -5.870 4.245  |10.30    |~                 |    ~     ~    
987 |TYC 1456-179-1                                                                                           |Star                           |13 01 50.8917227592 +20 34 41.698240752|323.4434174929123 +83.0316235498924| 13.177 -40.653  |10.00    |~                 |    ~     ~    
988 |ASAS J130611+2056.3                                                                                      |Eclipsing Binary               |13 06 11.5899 +20 56 19.580            |332.2644988 +82.9543147            |-32.596 -53.882  |10.48    |~                 |    ~     ~    
989 |TYC 1456-576-1                                                                                           |Star                           |13 01 51.2819940960 +20 39 04.978715940|323.6581374981055 +83.1000255911088|    -15.6 -38.4  |10.85    |~                 |    ~     ~    
990 |TYC 1456-732-1                                                                                           |Star                           |13 01 14.7855645216 +21 24 37.917548244|324.8012538570423 +83.8613845622311|  -43.918 1.249  |10.17    |~                 |    ~     ~    
991 |TYC 1456-827-1                                                                                           |Star                           |13 06 50.6704279560 +20 27 42.415013448|331.5959992026411 +82.4608273280400| -32.322 11.505  |10.46    |~                 |    ~     ~    
992 |TYC 1456-988-1                                                                                           |Star                           |13 01 55.1131807752 +20 29 40.977007872|323.3433225164023 +82.9473623787042| -2.326 -10.004  |10.98    |~                 |    ~     ~    
993 |BD+19 2634                                                                                               |Spectroscopic Binary           |13 04 54.0788500416 +18 56 17.395212804|324.3306358237487 +81.2452007951898| -26.698 -4.696  |9.48     |K0                |    ~     ~    
994 |GSC 01453-00102                                                                                          |Double or Multiple Star        |13 00 38.401344 +18 24 42.80904        |317.070699413 +81.029981718        |      6.0 -18.3  |9.517    |G5                |    ~     ~    
995 |BD+19 2624                                                                                               |Star                           |13 00 51.4328006352 +18 40 10.388916012|317.7894651382380 +81.2683329403741| -13.491 42.552  |9.32     |F0                |    ~     ~    
996 |HD 113213                                                                                                |Star                           |13 02 02.1015000384 +18 37 33.796736832|319.4832371752735 +81.1553208013555| -21.052 15.469  |8.69     |K2III             |    ~     ~    
997 |BD+19 2629                                                                                               |Star                           |13 02 27.4920178368 +18 42 07.415023680|320.2474528691790 +81.2010028659990| -25.195 -8.930  |10.87    |F8                |    ~     ~    
998 |BD+19 2631                                                                                               |Star                           |13 03 12.1873125408 +18 24 14.135947344|320.7910839825597 +80.8650316421824|-37.178 -23.509  |10.14    |K0                |    ~     ~    
999 |BD+19 2636                                                                                               |Spectroscopic Binary           |13 05 25.6899496536 +18 34 50.991395052|324.2966380817993 +80.8667646278004|-92.817 -48.961  |9.24     |G0                |    ~     ~    
1000|HD 113761                                                                                                |Spectroscopic Binary           |13 05 43.5655917288 +18 32 19.214354436|324.6216133942120 +80.8028608723570|-22.657 -69.293  |8.43     |F8V               |    ~     ~    
1001|BD+18 2684                                                                                               |Double or Multiple Star        |13 01 15.8792682 +17 47 40.897390      |317.0906676408 +80.3951958075      |   14.56 -21.73  |9.84     |F8                |0.0033  0.0    
1002|BD+18 2689                                                                                               |Star                           |13 04 55.2709700256 +17 51 08.447830740|322.1626261189055 +80.2168671193873| 25.308 -23.029  |10.37    |G5                |    ~     ~    
1003|BD+19 2625                                                                                               |Star                           |13 01 23.6499594288 +18 33 15.955939656|318.4104255793078 +81.1254807436441| -7.197 -14.414  |9.58     |~                 |    ~     ~    
1004|BD+19 2630                                                                                               |Star                           |13 02 37.5040574784 +18 14 17.897364348|319.6776348674259 +80.7442255230682|-15.304 -14.132  |10.27    |~                 |    ~     ~    
1005|BD+18 2687                                                                                               |Star                           |13 04 20.2683553056 +17 19 36.516858636|320.5076731619136 +79.7556152178462|  -8.172 -2.681  |10.34    |K0                |    ~     ~    
1006|HD 113065                                                                                                |Star                           |13 01 02.6947480728 +16 38 38.773822596|315.4003872587315 +79.2825589720433|  1.755 -14.358  |10.22    |G1IV-V            |    ~     ~    
1007|HD 113096                                                                                                |High Proper Motion Star        |13 01 09.4055446032 +16 39 35.209149876|315.5585617869452 +79.2925065247475|-74.262 -48.315  |9.73     |G8V               |    ~     ~    
1008|* 38 Com                                                                                                 |Star                           |13 01 09.6152814960 +17 07 23.327673312|316.0917367827019 +79.7456141597467| -8.140 -23.102  |5.93     |G9III             |    ~     ~    
1009|HD 113154                                                                                                |Star                           |13 01 34.7593228104 +16 45 51.263733240|316.2107390645151 +79.3736021773286|  -6.080 -3.636  |9.45     |F3V               |    ~     ~    
1010|HD 113243                                                                                                |Star                           |13 02 14.8110940872 +16 47 37.908215412|317.0910378525485 +79.3672729293341|  4.182 -36.962  |9.34     |G9III             |    ~     ~    
1011|BD+17 2578                                                                                               |Star                           |13 02 15.5744399952 +17 00 45.209764620|317.3823692668558 +79.5794148265146|-15.488 -10.774  |10.97    |K0                |    ~     ~    
1012|HD 113321                                                                                                |Star                           |13 02 46.5387470112 +16 27 59.278712076|317.3483637833097 +79.0195566169123|-14.076 -10.451  |9.40     |K0III             |    ~     ~    
1013|BD+17 2583                                                                                               |Star                           |13 05 11.0496619800 +16 53 07.879781724|320.8842472660709 +79.2750552810937|  -12.718 0.518  |10.55    |F8                |    ~     ~    
1014|BD+17 2585                                                                                               |Spectroscopic Binary           |13 05 58.8830246400 +17 07 39.978918156|322.2603886281259 +79.4496538537181|-14.666 -26.539  |10.52    |K2                |    ~     ~    
1015|BD+17 2588                                                                                               |Star                           |13 06 56.7423013224 +16 32 58.009719480|322.4752223004702 +78.8283130787086| -3.922 -24.932  |10.35    |G5                |    ~     ~    
1016|HD 113997                                                                                                |Spectroscopic Binary           |13 07 19.4142390552 +16 13 22.775083752|322.3992222851481 +78.4898421034826|   -1.262 3.351  |9.29     |K1II-III          |    ~     ~    
1017|BD+17 2579                                                                                               |Star                           |13 02 38.4699724896 +16 59 02.082968376|317.8341387890661 +79.5300649410473| -15.343 14.444  |9.89     |~                 |    ~     ~    
1018|TYC 1450-295-1                                                                                           |Star                           |13 02 04.6188831816 +17 03 44.096342688|317.2105571165425 +79.6378414469687| -45.277 -2.993  |10.32    |~                 |    ~     ~    
1019|TYC 1450-309-1                                                                                           |Spectroscopic Binary           |13 06 29.9310080352 +17 02 12.655309668|322.7443702003292 +79.3246984366537|-61.314 -38.055  |10.72    |~                 |    ~     ~    
1020|TYC 1450-517-1                                                                                           |Star                           |13 04 43.9483609944 +17 01 41.397555612|320.5429198197957 +79.4425115835525|  -15.692 6.431  |10.84    |~                 |    ~     ~    
1021|TYC 1450-553-1                                                                                           |High Proper Motion Star        |13 03 11.5481794656 +16 43 23.551536432|318.1866578438823 +79.2451942183957|-10.913 -74.172  |10.84    |~                 |    ~     ~    
1022|TYC 1453-378-1                                                                                           |Star                           |13 02 25.3914409704 +18 32 14.180620488|319.9002125524048 +81.0449495652122|-42.736 -16.630  |10.57    |~                 |    ~     ~    
1023|TYC 1453-525-1                                                                                           |Star                           |13 05 26.3242686432 +18 44 33.953774316|324.6664838862562 +81.0178906204857|     -29.5 27.9  |10.04    |~                 |    ~     ~    
1024|TYC 1453-860-1                                                                                           |Star                           |13 02 12.7528879056 +17 47 35.959477308|318.3981500633741 +80.3399419915473| 18.640 -15.367  |10.61    |~                 |    ~     ~    
1025|HD 113495                                                                                                |High Proper Motion Star        |13 04 01.7182434288 +16 07 49.339079688|318.4390363924879 +78.6212439767833|-84.502 -11.581  |9.27     |K2III-IV          |    ~     ~    
1026|HD 113623                                                                                                |Star                           |13 04 55.5282572208 +16 04 46.171468452|319.4243809278475 +78.5170466038316|-10.894 -10.114  |9.26     |K3III             |    ~     ~    
1027|HD 113077                                                                                                |Star                           |13 01 09.6718176096 +15 48 24.437112228|314.6982225580031 +78.4558017510067|  -3.269 19.086  |9.19     |G8III-IV          |    ~     ~    
1028|HD 113097                                                                                                |Star                           |13 01 14.1698046504 +15 51 45.272091852|314.8398924550964 +78.5071540622191|  20.010 -3.181  |9.63     |G0                |    ~     ~    
1029|BD+16 2446B                                                                                              |High Proper Motion Star        |13 01 14.5369564560 +15 51 51.652165176|314.8488413609888 +78.5086126472759| 18.720 -17.417  |9.480    |~                 |    ~     ~    
