C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
74  |HD 114955                                                                                                |Star                           |13 10 45.1645612392 +77 39 13.838846508|121.5968043739338 +39.4242945127086|  -8.075 -5.984  |9.48     |A                 |    ~     ~    
75  |BD+77 498                                                                                                |Double or Multiple Star        |13 00 05.7139103568 +76 26 23.610180732|122.2629448527132 +40.6771134350465|  11.235 -9.273  |9.14     |F8                |    ~     ~    
76  |BD+77 500                                                                                                |Star                           |13 03 20.3721155424 +76 29 14.981761176|122.0163802179240 +40.6195931070473|  4.194 -15.023  |9.85     |F8                |    ~     ~    
77  |BD+77 501                                                                                                |Star                           |13 06 17.2256486688 +76 17 29.227209468|121.7704384781701 +40.8032945915244|  -32.484 9.203  |9.63     |F2                |    ~     ~    
78  |BD+77 502                                                                                                |High Proper Motion Star        |13 06 27.0047842464 +76 17 41.162423748|121.7580564128341 +40.7992499806041| -62.263 16.203  |9.20     |F2                |    ~     ~    
79  |BD+77 503                                                                                                |High Proper Motion Star        |13 06 48.7537602792 +76 35 07.799183628|121.7599152635876 +40.5077457009127|  45.335 27.031  |9.57     |F5                |    ~     ~    
80  |HD 115180                                                                                                |High Proper Motion Star        |13 12 39.8505513192 +76 17 02.849602056|121.2725447202741 +40.7756631028563| -10.315 56.913  |8.84     |F5                |    ~     ~    
81  |HD 115179                                                                                                |Star                           |13 12 23.4522475272 +77 11 40.084107828|121.4210825516185 +39.8722551030016|  15.555 -0.024  |7.75     |A2                |    ~     ~    
82  |BD+76 474                                                                                                |Star                           |13 00 57.3902592096 +76 05 39.321989124|122.1741297421283 +41.0199877855250|    3.914 3.582  |9.29     |F2                |    ~     ~    
83  |BD+76 476                                                                                                |Star                           |13 07 37.5870582960 +76 04 09.405528672|121.6415142148572 +41.0183862775312|  -4.774 -6.915  |9.22     |K2                |    ~     ~    
84  |BD+76 477                                                                                                |Star                           |13 09 11.9307942480 +75 40 44.984824464|121.4690822894216 +41.3986035976446| -10.360 -2.988  |9.70     |~                 |    ~     ~    
85  |HD 114742                                                                                                |Spectroscopic Binary           |13 09 57.8381073840 +75 35 17.488301856|121.3946557191712 +41.4847166999847|    5.150 0.306  |9.03     |F5                |    ~     ~    
86  |BD+76 479                                                                                                |Star                           |13 11 25.8013628640 +75 35 26.548717884|121.2738494844195 +41.4731178013752|  -5.713 -3.259  |9.24     |K0                |    ~     ~    
87  |BD+78 454                                                                                                |Star                           |13 12 20.2340038080 +77 29 57.006438612|121.4666750414606 +39.5695649305686| -17.796 -2.102  |9.11     |K5/8              |    ~     ~    
88  |TYC 4551-88-1                                                                                            |Star                           |13 10 06.9916599480 +75 24 39.123603864|121.3590877032255 +41.6602922944364|    4.102 8.289  |10.24    |~                 |    ~     ~    
89  |TYC 4551-198-1                                                                                           |Star                           |13 00 01.6422758208 +75 55 49.795254552|122.2384221627162 +41.1861855699680|  -22.682 3.696  |10.27    |~                 |    ~     ~    
90  |TYC 4551-657-1                                                                                           |Spectroscopic Binary           |13 01 46.4738764656 +75 44 35.564004780|122.0841952080616 +41.3680215978258|  -23.154 6.448  |10.41    |~                 |    ~     ~    
91  |TYC 4551-872-1                                                                                           |Star                           |13 10 33.4979005296 +76 58 22.720098576|121.5247345674303 +40.1029872743043| -17.061 -4.662  |10.83    |~                 |    ~     ~    
92  |TYC 4551-878-1                                                                                           |Star                           |13 09 58.6742642040 +75 56 00.396494160|121.4375147753231 +41.1409674524824|  -10.495 1.221  |10.58    |~                 |    ~     ~    
93  |TYC 4551-883-1                                                                                           |High Proper Motion Star        |13 00 17.6011617144 +76 02 16.829060064|122.2234797517910 +41.0780608606207| -70.673 32.491  |10.77    |~                 |    ~     ~    
94  |TYC 4551-1288-1                                                                                          |Star                           |13 03 04.5479991264 +76 47 41.944308072|122.0606396109446 +40.3135733264972| -8.806 -11.760  |10.54    |~                 |    ~     ~    
95  |TYC 4551-1412-1                                                                                          |Star                           |13 06 36.2496387072 +76 27 22.872493152|121.7625908141338 +40.6374457917808|  -25.092 3.054  |10.61    |~                 |    ~     ~    
96  |TYC 4551-1718-1                                                                                          |Star                           |13 10 24.3857694696 +77 13 28.681411404|121.5674043637058 +39.8533206194764|  27.811 12.112  |10.64    |~                 |    ~     ~    
97  |TYC 4551-2213-1                                                                                          |Star                           |13 14 39.1953096000 +76 03 16.125939216|121.0817229849427 +40.9902632234527|-25.512 -18.380  |9.80     |~                 |    ~     ~    
98  |TYC 4551-2291-1                                                                                          |Star                           |13 11 58.9392062088 +75 18 21.612746484|121.1876684330926 +41.7525965986558|  5.578 -11.284  |9.88     |~                 |    ~     ~    
99  |TYC 4551-2362-1                                                                                          |Star                           |13 12 40.5577250784 +75 33 50.088736044|121.1670647922059 +41.4914798670905| -7.849 -18.912  |10.90    |~                 |    ~     ~    
100 |TYC 4554-131-1                                                                                           |Star                           |13 00 48.9633434712 +77 32 21.377077692|122.2757603883556 +39.5770303968459|  -5.365 -1.406  |10.03    |~                 |    ~     ~    
101 |TYC 4554-628-1                                                                                           |Star                           |13 00 09.8476110168 +77 41 47.096839464|122.3302805177692 +39.4216410011287| 25.940 -11.918  |10.97    |~                 |    ~     ~    
102 |TYC 4554-955-1                                                                                           |Star                           |13 07 23.4614811312 +77 43 50.415844332|121.8365095154267 +39.3636305068035|   -3.790 3.885  |10.66    |~                 |    ~     ~    
103 |TYC 4554-963-1                                                                                           |High Proper Motion Star        |13 06 45.6581346168 +77 44 24.490733280|121.8806131580384 +39.3568204908043|-63.972 -19.050  |10.89    |~                 |    ~     ~    
104 |TYC 4404-29-1                                                                                            |Star                           |13 14 45.1820917488 +72 22 38.173241784|120.4554244201139 +44.6387006258529|  -0.674 16.350  |10.98    |~                 |    ~     ~    
