C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:22:32

dec< 0&rah >=14.5&rah< 14.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5942

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
24  |BD-01 2968                                                                                               |Star                                  |14 35 40.1461959096 -02 04 20.566785180|347.7654016022295 +51.4909484613609| -6.366 -12.009    |9.91     |G8III          |    ~     ~    |    1|  388.591   pc  |  -2.5519     +2.5519    |paral   |2020yCat.1350....0G
25  |BD-00 2834                                                                                               |High Proper Motion Star               |14 31 51.0050224560 -01 14 00.343623300|347.4081089082417 +52.7425462745394| 8.748 -146.625    |9.96     |~              |    ~     ~    |    1|   65.676   pc  |  -0.0936     +0.0936    |paral   |2020yCat.1350....0G
26  |TYC 4988-41-1                                                                                            |Star                                  |14 32 28.2884449632 -01 58 01.422905664|346.8611805054872 +52.0709703961652| -1.735 -10.457    |10.45    |~              |    ~     ~    |    1| 1304.631   pc  | -44.5941    +44.5941    |paral   |2020yCat.1350....0G
27  |BD-00 2843                                                                                               |Star                                  |14 34 26.0558473752 -01 17 34.358849700|348.1728342854206 +52.2907108752082|  -18.388 0.536    |10.184   |~              |    ~     ~    |    1|  543.313   pc  | -17.0600    +17.0600    |ST-L    |2020AJ....160...83S
28  |TYC 4988-115-1                                                                                           |Star                                  |14 34 58.8125165952 -02 08 35.157434316|347.4786142104613 +51.5436136742067|   -1.661 1.620    |10.25    |~              |    ~     ~    |    1| 1045.260   pc  | -20.6495    +20.6495    |paral   |2020yCat.1350....0G
29  |BD+00 3208                                                                                               |Star                                  |14 36 07.8140827296 -00 36 40.614338844|349.4215348066933 +52.5442792658762|-28.542 -18.095    |9.96     |~              |    ~     ~    |    1|  195.664   pc  |  -2.9747     +2.9747    |paral   |2020yCat.1350....0G
30  |TYC 4984-77-1                                                                                            |Star                                  |14 32 56.4216675504 -00 16 52.625308152|348.7586305968272 +53.3092181728991| -2.079 -12.338    |10.5     |~              |    ~     ~    |    1|  445.474   pc  | -13.9111    +13.9111    |paral   |2020yCat.1350....0G
31  |TYC 4984-94-1                                                                                            |Star                                  |14 31 49.7128954560 -00 26 02.381268624|348.2366769746162 +53.3679514193446| -14.985 -6.269    |10.47    |~              |    ~     ~    |    1|  207.935   pc  |  -0.7523     +0.7523    |paral   |2020yCat.1350....0G
32  |TYC 4984-160-1                                                                                           |Star                                  |14 32 23.1207708504 -01 02 45.739403916|347.7744338357471 +52.8050143917274|-13.749 -33.462    |10.983   |~              |    ~     ~    |    1|  811.404   pc  | -40.0800    +40.0800    |ST-L    |2020AJ....160...83S
33  |TYC 4984-256-1                                                                                           |Star                                  |14 32 50.2194375840 -00 39 20.879557056|348.3279675763270 +53.0366489639645|  -21.889 2.072    |10.28    |~              |    ~     ~    |    1|  319.030   pc  |  -1.6997     +1.6997    |paral   |2020yCat.1350....0G
34  |TYC 4984-524-1                                                                                           |Star                                  |14 37 02.1026885664 -00 20 06.286549344|349.9996190513891 +52.6078103137199| -1.558 -18.751    |10.570   |~              |    ~     ~    |    1|  240.541   pc  |  -3.3910     +3.3910    |ST-L    |2020AJ....160...83S
35  |TYC 4984-621-1                                                                                           |High Proper Motion Star               |14 37 14.4389211024 -00 15 07.259812344|350.1530569335375 +52.6372241417697| 53.641 -56.551    |10.47    |~              |    ~     ~    |    1|  137.666   pc  |  -1.5300     +1.5300    |ST-L    |2020AJ....160...83S
36  |BD-01 2964                                                                                               |High Proper Motion Star               |14 32 30.0642710496 -02 21 58.222036080|346.4722704734148 +51.7519277256412| 76.658 -86.542    |10.23    |G0             |    ~     ~    |    1|  153.386   pc  |  -0.4470     +0.4470    |paral   |2020yCat.1350....0G
37  |BD-01 2969                                                                                               |High Proper Motion Star               |14 35 47.5135032048 -02 18 46.008166968|347.5622305888444 +51.2844101110534|-51.932 -19.043    |10.04    |~              |    ~     ~    |    1|  107.666   pc  |  -0.1785     +0.1785    |paral   |2020yCat.1350....0G
38  |HD 127855                                                                                                |Star                                  |14 33 46.7417660088 -02 38 25.677044052|346.6062128982343 +51.3394025352464| -30.481 -6.738    |8.99     |F5/6V          |    ~     ~    |    1|  186.557   pc  |  -0.8109     +0.8109    |paral   |2020yCat.1350....0G
39  |BD-01 2967                                                                                               |Star                                  |14 34 41.4742382088 -02 28 53.637530448|347.0500528003684 +51.3236388603006|  -7.146 -0.846    |9.52     |F0             |    ~     ~    |    1|  298.294   pc  |  -1.5571     +1.5571    |paral   |2020yCat.1350....0G
40  |BD-02 3853                                                                                               |Star                                  |14 30 08.8540583712 -03 32 55.785985548|344.5752827538811 +51.1629113369667|   6.969 -0.449    |8.90     |G8III          |    ~     ~    |    1|  385.401   pc  |  -3.0449     +3.0449    |paral   |2020yCat.1350....0G
41  |HD 127306                                                                                                |Star                                  |14 30 42.4285504008 -03 06 34.252068564|345.1733056799206 +51.4325069901029| 10.546 -11.232    |7.67     |K0III          |    ~     ~    |    1|  227.480   pc  |  -1.5110     +1.5110    |paral   |2020yCat.1350....0G
42  |BD-02 3856                                                                                               |Star                                  |14 30 59.4718469016 -03 35 06.512220600|344.8105547923965 +51.0086799143605| 18.420 -11.288    |9.32     |F7             |    ~     ~    |    1|  184.274   pc  |  -0.6078     +0.6078    |paral   |2020yCat.1350....0G
43  |BD-02 3857                                                                                               |Star                                  |14 31 40.8895986888 -03 32 13.031591604|345.0757289597035 +50.9445529741618|-25.754 -21.681    |9.932    |G8V            |    ~     ~    |    1| 1144.570   pc  | -81.1800    +81.1800    |ST-L    |2020AJ....160...83S
44  |BD-02 3859                                                                                               |Star                                  |14 33 21.4710129096 -03 17 59.640995472|345.8318089041453 +50.8816439828800|   12.111 0.496    |9.85     |F0             |    ~     ~    |    1|  223.879   pc  |  -0.8370     +0.8370    |paral   |2020yCat.1350....0G
45  |BD-02 3861                                                                                               |Star                                  |14 34 09.1914562200 -03 00 43.948265364|346.3598606247497 +50.9886103188281| -28.833 -2.553    |9.48     |K0III          |    ~     ~    |    1|  494.731   pc  |  -4.6749     +4.6749    |paral   |2020yCat.1350....0G
46  |TYC 4988-228-1                                                                                           |Star                                  |14 34 26.5383351816 -02 37 08.845356900|346.8358284151483 +51.2540817322149| -9.031 -18.649    |10.09    |F8             |    ~     ~    |    1|  189.157   pc  |  -2.3470     +2.3470    |ST-L    |2020AJ....160...83S
47  |HD 127989                                                                                                |High Proper Motion Star               |14 34 32.9281316928 -03 10 17.094039492|346.3290139528572 +50.8022727655793|-61.036 -75.820    |8.73     |F5V            |    ~     ~    |    1|  119.407   pc  |  -0.4762     +0.4762    |paral   |2020yCat.1350....0G
48  |BD-02 3863                                                                                               |Star                                  |14 35 55.3094019624 -03 27 26.979233436|346.4789370115877 +50.3661420309912|  1.889 -15.038    |10.069   |K6             |    ~     ~    |    1|  584.544   pc  | -21.8700    +21.8700    |ST-L    |2020AJ....160...83S
49  |HD 127265                                                                                                |Star                                  |14 30 30.5357344248 -04 03 54.709763112|344.2068854537968 +50.6929687991106| -34.615 -5.487    |7.41     |F2IV           |    ~     ~    |    1|  114.384   pc  |  -0.3297     +0.3297    |paral   |2020yCat.1350....0G
50  |BD-03 3637                                                                                               |Star                                  |14 30 53.4867095856 -03 47 50.764679016|344.5787090029661 +50.8526815735065| -30.270 15.257    |9.51     |K0             |    ~     ~    |    1|  336.214   pc  |  -2.6677     +2.6677    |paral   |2020yCat.1350....0G
51  |BD-03 3639                                                                                               |High Proper Motion Star               |14 31 19.1775756408 -03 42 32.418433476|344.7980409008167 +50.8603757685598| 51.829 -24.229    |9.72     |F9             |    ~     ~    |    1|  202.135   pc  |  -4.0340     +4.0340    |ST-L    |2020AJ....160...83S
52  |BD-03 3641                                                                                               |Star                                  |14 33 23.6543983488 -03 45 39.187486908|345.4032777961344 +50.5089431368843| -43.758 -0.917    |9.12     |G5V            |    ~     ~    |    1|  323.394   pc  |  -2.0080     +2.0080    |paral   |2020yCat.1350....0G
53  |HD 128273                                                                                                |Star                                  |14 36 10.5003553872 -03 46 51.671501868|346.2469477033894 +50.0718204873128| -16.785 -1.540    |8.51     |K0III          |    ~     ~    |    1|  308.928   pc  |  -4.1038     +4.1038    |paral   |2020yCat.1350....0G
54  |BD-03 3646                                                                                               |High Proper Motion Star               |14 36 25.8716984928 -04 10 03.400337640|345.9591849634323 +49.7265984386092|-168.045 27.975    |9.56     |G5V            |    ~     ~    |    1|  117.914   pc  |  -1.1390     +1.1390    |ST-L    |2020AJ....160...83S
55  |HD 128461                                                                                                |Spectroscopic Binary                  |14 37 08.6679422424 -03 53 31.940721888|346.4379697941485 +49.8357386585812| 33.858 -30.530    |7.08     |G1/2V          |    ~     ~    |    1|  165.265   pc  |  -3.3485     +3.3485    |paral   |2020yCat.1350....0G
56  |HD 127168                                                                                                |High Proper Motion Star               |14 30 00.1405683384 -04 14 49.958148912|343.8770938858515 +50.6196857309587|-93.716 -18.248    |7.05     |F2V            |    ~     ~    |    1|   62.796   pc  |  -0.0919     +0.0919    |paral   |2020yCat.1350....0G
57  |HD 128428                                                                                                |High Proper Motion Star               |14 36 53.6889489167 -04 16 44.359906633|345.9959812382473 +49.5678580990853| -354.937 3.615    |7.809    |G6IV           |    ~     ~    |    1|   56.0849  pc  |  -0.3592     +0.3592    |paral   |2020yCat.1350....0G
58  |CCDM J14330-0253B                                                                                        |Star                                  |14 33 00.8342456328 -02 53 05.651111940|346.1251799017457 +51.2632403801742|   5.676 -6.042    |10.9     |~              |    ~     ~    |    1|  572.639   pc  |  -4.8204     +4.8204    |paral   |2020yCat.1350....0G
59  |BD-02 3854                                                                                               |Star                                  |14 30 28.7953339968 -03 31 21.751076712|344.7064093954851 +51.1347374956255| -3.558 -23.924    |10.77    |~              |    ~     ~    |    1| 1240.695   pc  | -24.3213    +24.3213    |paral   |2020yCat.1350....0G
60  |BD-03 3640                                                                                               |RR Lyrae Variable                     |14 33 22.0353489384 -04 18 10.973655180|344.8861137533665 +50.0790225075554|  4.909 -39.467    |10.71    |~              |    ~     ~    |    1|  790.889   pc  | -14.887     +14.887     |paral   |2020yCat.1350....0G
61  |BD-03 3642                                                                                               |Star                                  |14 33 41.2837375008 -04 06 40.686081336|345.1650439208061 +50.1848285481024|-27.378 -29.008    |10.65    |~              |    ~     ~    |    1|  135.801   pc  |  -1.6870     +1.6870    |ST-L    |2020AJ....160...83S
62  |BD-03 3643                                                                                               |Star                                  |14 35 56.1106813800 -04 16 31.582130880|345.7059198314163 +49.7160741386630| -14.010 -7.632    |10.084   |~              |    ~     ~    |    1| 1484.870   pc  |-139.9000   +139.9000    |ST-L    |2020AJ....160...83S
63  |BD-02 3864                                                                                               |Star                                  |14 37 10.6709051184 -03 37 29.398347444|346.7038698306674 +50.0413363045482| 14.830 -30.865    |10.931   |~              |    ~     ~    |    1|  214.798   pc  |  -2.7500     +2.7500    |ST-L    |2020AJ....160...83S
64  |BD-02 3865                                                                                               |High Proper Motion Star               |14 37 11.6213999568 -03 31 27.294532464|346.8054958238952 +50.1180159791146| -56.353 -4.904    |10.762   |~              |    ~     ~    |    1|  101.079   pc  |  -0.7998     +0.7998    |ST-L    |2020AJ....160...83S
65  |BD-03 3650                                                                                               |High Proper Motion Star               |14 37 27.0885332088 -03 46 55.913821860|346.6365841291955 +49.8753543790193|  5.869 -58.722    |10.580   |~              |    ~     ~    |    1|  198.613   pc  |  -2.2480     +2.2480    |ST-L    |2020AJ....160...83S
66  |BD-03 3635                                                                                               |Double or Multiple Star               |14 30 00.482 -03 43 14.39              |344.368736 +51.044933              |    -21.0 -18.0    |9.0      |~              |    ~     ~    |    0|                |                         |        |                   
67  |TYC 4992-183-1                                                                                           |Star                                  |14 33 34.4220557064 -03 51 29.936469240|345.3672842264960 +50.4041980665967|  -24.175 6.887    |10.37    |~              |    ~     ~    |    1|  308.299   pc  | -10.1227    +10.1227    |paral   |2020yCat.1350....0G
68  |TYC 4988-253-1                                                                                           |Star                                  |14 30 49.5757637928 -02 53 55.875151644|345.4147612832887 +51.5830958256480|  -4.358 -5.450    |10.74    |~              |    ~     ~    |    1| 1511.944   pc  | -55.5492    +55.5492    |paral   |2020yCat.1350....0G
69  |TYC 4988-351-1                                                                                           |High Proper Motion Star               |14 32 29.4915930336 -02 47 07.463008176|346.0567283039894 +51.4216209545792|-69.248 -25.304    |10.26    |~              |    ~     ~    |    1|  207.788   pc  |  -6.4721     +6.4721    |paral   |2020yCat.1350....0G
70  |TYC 4988-568-1                                                                                           |Star                                  |14 36 08.8125214416 -02 23 57.186348720|347.5862643836881 +51.1614973262757| 31.215 -18.202    |10.53    |~              |    ~     ~    |    0|                |                         |        |                   
71  |TYC 4988-578-1                                                                                           |Star                                  |14 35 45.4206158328 -02 27 25.770935664|347.4072794954404 +51.1771410524482|  -26.521 8.294    |10.588   |~              |    ~     ~    |    1|  468.487   pc  | -13.9500    +13.9500    |ST-L    |2020AJ....160...83S
72  |TYC 4988-635-1                                                                                           |Star                                  |14 36 09.8283931704 -02 27 13.455210312|347.5371446388876 +51.1163267196896| -38.016 25.719    |10.77    |~              |    ~     ~    |    1|  522.958   pc  |  -4.8954     +4.8954    |paral   |2020yCat.1350....0G
73  |TYC 4992-2-1                                                                                             |Star                                  |14 32 08.4609578232 -04 09 52.436615220|344.6309102862923 +50.3722583223665|  16.231 -3.722    |10.97    |~              |    ~     ~    |    1|  128.927   pc  |  -1.8880     +1.8880    |ST-L    |2020AJ....160...83S
74  |TYC 4992-722-1                                                                                           |Star                                  |14 36 02.2947308160 -03 45 22.244538024|346.2285692431920 +50.1123415504334| -14.114 14.417    |10.53    |~              |    ~     ~    |    1|  546.120   pc  |  -8.7088     +8.7088    |paral   |2020yCat.1350....0G
75  |HD 128027                                                                                                |Star                                  |14 34 49.2362402280 -04 39 06.050838600|345.0134246422400 +49.5830286809192|  9.652 -25.790    |8.34     |F6/7V          |    ~     ~    |    1|  125.346   pc  |  -1.1000     +1.1000    |ST-L    |2020AJ....160...83S
76  |BD-03 3638                                                                                               |Star                                  |14 31 11.7617929152 -04 29 48.651036108|344.0260839351302 +50.2430568555801|    8.593 2.577    |10.938   |~              |    ~     ~    |    1|  227.511   pc  |  -2.8530     +2.8530    |ST-L    |2020AJ....160...83S
77  |BD-03 3647                                                                                               |Star                                  |14 36 51.8804301288 -04 28 28.339432176|345.8036445500863 +49.4172316581916|   1.978 -6.231    |9.72     |~              |    ~     ~    |    1|  359.898   pc  |  -7.7270     +7.7270    |ST-L    |2020AJ....160...83S
78  |BD-04 3701                                                                                               |Star                                  |14 31 51.8675254608 -04 45 51.828285456|343.9916571887742 +49.9286726627623|-19.473 -28.020    |9.42     |K6             |    ~     ~    |    1|  420.327   pc  |  -3.3922     +3.3922    |paral   |2020yCat.1350....0G
79  |BD-04 3704                                                                                               |Star                                  |14 33 07.7193325224 -05 28 44.162742792|343.7402351796184 +49.1650992650940|  2.055 -12.448    |9.26     |F8             |    ~     ~    |    1|  143.606   pc  |  -0.3403     +0.3403    |paral   |2020yCat.1350....0G
80  |BD-04 3708                                                                                               |High Proper Motion Star               |14 33 48.7674241694 -04 56 06.740216810|344.4424059511891 +49.5046507118143|     -28.4 42.4    |9.54     |G0             |    ~     ~    |    0|                |                         |        |                   
81  |BD-04 3709                                                                                               |High Proper Motion Star               |14 33 50.6518387440 -05 05 30.917619240|344.3095902333085 +49.3736456619050| 49.368 -25.303    |9.69     |F5             |    ~     ~    |    1|  159.302   pc  |  -0.6116     +0.6116    |paral   |2020yCat.1350....0G
82  |BD-04 3710                                                                                               |Double or Multiple Star               |14 34 01.680 -05 07 09.93              |344.341329 +49.324415              |      -22.4 2.0    |9.3      |G0             |    ~     ~    |    0|                |                         |        |                   
83  |HD 128200                                                                                                |Star                                  |14 35 43.6962627936 -05 15 57.818928744|344.7291840435954 +48.9551976340584| -41.711 17.933    |7.50     |K1III          |    ~     ~    |    1|  202.184   pc  |  -0.8789     +0.8789    |paral   |2020yCat.1350....0G
84  |BD-04 3716                                                                                               |High Proper Motion Star               |14 36 12.3376161744 -04 59 59.165139300|345.1172765464128 +49.0976109652931| 25.305 -74.626    |9.42     |G2             |    ~     ~    |    1|  151.870   pc  |  -1.3010     +1.3010    |ST-L    |2020AJ....160...83S
85  |HD 128334                                                                                                |Star                                  |14 36 21.2433362832 -05 05 46.596220728|345.0740965623369 +48.9982166426353|-12.503 -19.118    |8.57     |K0III          |    ~     ~    |    1|  279.540   pc  |  -1.8598     +1.8598    |paral   |2020yCat.1350....0G
86  |HD 127352                                                                                                |Double or Multiple Star               |14 31 00.6309336529 -05 48 08.265014882|342.7964123303349 +49.2064697605757| -207.03 -21.23    |7.69     |K0V            |0.0033  0.0    |    1|   41.0610  pc  |  -0.4328     +0.4328    |paral   |2018yCat.1345....0G
87  |BD-05 3903                                                                                               |Star                                  |14 33 11.8835303952 -05 47 30.467429412|343.4834558929364 +48.9008279911119|  12.910 -3.319    |9.36     |K0             |    ~     ~    |    1|  495.197   pc  |  -5.1987     +5.1987    |paral   |2020yCat.1350....0G
88  |HD 128143                                                                                                |Star                                  |14 35 27.1846963200 -05 49 58.570771440|344.1361414625498 +48.5391126290116| -2.794 -19.740    |7.74     |F5V            |    ~     ~    |    1|   76.715   pc  |  -0.7273     +0.7273    |ST-L    |2020AJ....160...83S
89  |HD 127248                                                                                                |Star                                  |14 30 24.8095809048 -06 14 39.964242876|342.2255033661297 +48.9278819843318|   5.956 10.242    |9.22     |K0III          |    ~     ~    |    1|  103.422   pc  |  -0.8147     +0.8147    |ST-L    |2020AJ....160...83S
90  |HD 127288                                                                                                |Star                                  |14 30 39.3469331472 -06 19 58.837721772|342.2245419863546 +48.8207825840084| -36.039 -5.565    |9.86     |F7V            |    ~     ~    |    1|  209.864   pc  |  -0.6386     +0.6386    |paral   |2020yCat.1350....0G
91  |StKM 1-1163                                                                                              |Star                                  |14 33 02.9789992872 -06 31 06.241846044|342.8027547813977 +48.3291604765301| -14.868 -6.541    |10.95    |K5             |    ~     ~    |    1|  993.641   pc  | -15.7971    +15.7971    |paral   |2020yCat.1350....0G
92  |BD-04 3698                                                                                               |High Proper Motion Star               |14 30 00.9320197296 -05 32 40.963165764|342.7113579200457 +49.5593905639500|  -85.387 1.625    |10.764   |~              |    ~     ~    |    1|  195.116   pc  |  -4.4510     +4.4510    |ST-L    |2020AJ....160...83S
93  |BD-04 3699                                                                                               |Red Giant Branch star                 |14 31 14.1882506616 -05 36 12.073034088|343.0421583882967 +49.3369604538810|  -17.988 3.140    |10.962   |~              |    ~     ~    |    1|  953.067   pc  | -40.1700    +40.1700    |ST-L    |2020AJ....160...83S
94  |BD-05 3897                                                                                               |Star                                  |14 31 16.8667237824 -05 55 43.108390236|342.7699760523068 +49.0643691112191| -32.967 -5.822    |10.22    |~              |    ~     ~    |    1|  153.489   pc  |  -1.8750     +1.8750    |ST-L    |2020AJ....160...83S
95  |BD-04 3700                                                                                               |Star                                  |14 31 27.2392235016 -04 56 52.059062472|343.6964528824298 +49.8397361258902| -13.522 -8.817    |10.646   |~              |    ~     ~    |    1|  406.242   pc  |  -9.1220     +9.1220    |ST-L    |2020AJ....160...83S
96  |BD-05 3898                                                                                               |Star                                  |14 31 36.0314108544 -06 36 24.666706872|342.2817385829675 +48.4621241613005| -31.371 29.899    |9.75     |~              |    ~     ~    |    1|  506.714   pc  |  -3.6973     +3.6973    |paral   |2020yCat.1350....0G
97  |BD-05 3899                                                                                               |Star                                  |14 32 03.1338125040 -05 58 51.354466428|342.9633843070883 +48.9114307949803| 39.401 -25.107    |9.98     |~              |    ~     ~    |    1|  241.418   pc  |  -0.9617     +0.9617    |paral   |2020yCat.1350....0G
98  |BD-04 3702                                                                                               |High Proper Motion Star               |14 32 28.0783520928 -05 05 48.612251796|343.8786069691118 +49.5712135651964| -64.211 27.140    |10.55    |~              |    ~     ~    |    1|  126.494   pc  |  -0.3568     +0.3568    |paral   |2020yCat.1350....0G
99  |BD-04 3707                                                                                               |Star                                  |14 33 21.5825086704 -05 09 39.429357480|344.0973965660878 +49.3889867262702|  -8.359 -1.917    |10.70    |~              |    ~     ~    |    1|  774.533   pc  |  -8.6986     +8.6986    |paral   |2020yCat.1350....0G
100 |BD-04 3706                                                                                               |High Proper Motion Star               |14 33 21.8031794784 -05 24 14.205249324|343.8798243451894 +49.1917322857904|-72.915 -70.295    |10.37    |~              |    ~     ~    |    1|   60.642   pc  |  -0.0544     +0.0544    |paral   |2020yCat.1350....0G
101 |BD-05 3905                                                                                               |Star                                  |14 34 52.9501255152 -05 59 08.307922308|343.8273475178697 +48.4989211146593| -23.132 -2.752    |10.136   |~              |    ~     ~    |    1|  913.303   pc  | -58.6900    +58.6900    |ST-L    |2020AJ....160...83S
