C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:31:36

dec >=0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3892

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |    ang. size    |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------|-----|----------------|-----------------------|--------|-------------------
33  |BD+82 248                                                                                                |Star                               |08 39 00.1884460344 +81 42 09.829057824|131.5330014768024 +30.6172940926387|   -4.456 0.576   |10.59    |F0                   |    ~     ~      |    1|  561.010   pc  |  -3.6509     +3.6509  |paral   |2020yCat.1350....0G
34  |BD+82 252                                                                                                |Star                               |08 44 16.5510700968 +81 35 52.657736460|131.5565200406363 +30.8345626196509|    2.551 6.027   |10.45    |G0                   |    ~     ~      |    1|  222.202   pc  |  -2.2070     +2.2070  |paral   |2020yCat.1350....0G
35  |BD+81 266                                                                                                |Star                               |08 38 33.3893238936 +81 20 43.509443316|131.9239699045090 +30.7392677045203|   0.979 -8.160   |10.21    |K0                   |    ~     ~      |    1|  798.594   pc  |  -7.8444     +7.8444  |paral   |2020yCat.1350....0G
36  |TYC 4546-231-1                                                                                           |Star                               |08 42 50.1181808424 +82 28 24.915337032|130.6510592618968 +30.4318031891717|  -0.095 -2.581   |10.42    |~                    |    ~     ~      |    1| 1096.371   pc  | -16.2274    +16.2274  |paral   |2020yCat.1350....0G
37  |TYC 4546-1754-1                                                                                          |Star                               |08 33 44.0319628536 +81 36 04.714920144|131.7254583092084 +30.4780455642332|-19.073 -21.342   |10.85    |~                    |    ~     ~      |    1|  240.240   pc  |  -0.6695     +0.6695  |paral   |2020yCat.1350....0G
38  |HD 70130                                                                                                 |Star                               |08 30 09.8274201072 +79 24 26.871662124|134.1805497817122 +31.0996927963776|   -3.154 6.013   |9.29     |A0                   |    ~     ~      |    1|  236.368   pc  |  -3.7544     +3.7544  |paral   |2020yCat.1350....0G
39  |HD 72129                                                                                                 |Star                               |08 40 13.9824182064 +79 05 51.372792960|134.3291092168776 +31.6476078592201|   12.044 9.683   |8.40     |K2                   |    ~     ~      |    1|  812.414   pc  | -11.0223    +11.0223  |paral   |2020yCat.1350....0G
40  |TYC 4543-752-1                                                                                           |Star                               |08 30 00.4452010464 +79 24 46.254943296|134.1773662896954 +31.0911386626427|   -2.783 6.001   |10.51    |A                    |    ~     ~      |    1|  235.805   pc  |  -0.6950     +0.6950  |paral   |2020yCat.1350....0G
41  |BD+80 254                                                                                                |Star                               |08 32 09.2221804968 +80 22 38.105107176|133.0814146615823 +30.8546534597331|  2.037 -14.375   |9.59     |G0                   |    ~     ~      |    1|  131.716   pc  |  -0.6454     +0.6454  |paral   |2020yCat.1350....0G
42  |BD+80 255                                                                                                |Star                               |08 34 43.9392038568 +79 58 27.963593256|133.4767341091781 +31.0985317600794|    7.376 1.396   |10.02    |M0                   |    ~     ~      |    1| 1644.466   pc  | -34.3442    +34.3442  |paral   |2020yCat.1350....0G
43  |BD+80 264                                                                                                |Star                               |08 44 54.0277461840 +80 25 48.931109256|132.7927201173863 +31.3277587680510| 12.720 -23.801   |10.39    |G5                   |    ~     ~      |    1|  221.205   pc  |  -0.6508     +0.6508  |paral   |2020yCat.1350....0G
