C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
2892|HD 255259                                                             |Star                           |06 19 51.4915186920 +12 17 34.757660940|198.4101913556664 -01.2811952365496|  9.004 -29.470   |10.44    |G8V            |    ~     ~    
2893|HD 255260                                                             |Star                           |06 19 53.2521259920 +12 18 04.304800332|198.4063338327681 -01.2710038481167|   -0.148 0.075   |10.65    |B8             |    ~     ~    
2894|HD 255258                                                             |Star                           |06 19 54.8503133256 +12 37 48.549067464|198.1192759304516 -01.1101057322853|  -1.110 -0.162   |10.93    |B9             |    ~     ~    
2895|HD 255290                                                             |Star                           |06 19 59.9199494976 +12 06 49.976509140|198.5843630192759 -01.3353908092865|  -0.075 -2.613   |10.99    |B8             |    ~     ~    
2896|TYC 739-1370-1                                                        |Star                           |06 20 22.9928929200 +12 08 55.675551516|198.5978733831114 -01.2360383761955|  -0.699 -1.576   |10.91    |G0:            |    ~     ~    
2897|HD 255393                                                             |Star                           |06 20 26.8654177464 +12 29 58.578500940|198.2958210645283 -01.0568329092885|  -0.945 -3.535   |10.64    |A5             |    ~     ~    
2898|TYC 739-1210-1                                                        |Star                           |06 20 31.0709363232 +12 15 22.113833436|198.5186721728611 -01.1564462122835|  -23.862 3.000   |10.80    |G5V            |    ~     ~    
2899|HD 255414                                                             |Star                           |06 20 34.4711805840 +12 36 46.168928244|198.2105188498673 -00.9762021030320|  -0.410 -0.310   |10.54    |A2             |    ~     ~    
2900|HD 255804                                                             |Star                           |06 21 40.0476660456 +12 02 57.409771092|198.8334707563061 -01.0058842523059|  -2.142 -4.838   |10.91    |A3             |    ~     ~    
2901|HD 254136                                                             |Star                           |06 15 46.3213918920 +13 24 12.466837980|196.9599737476873 -01.6323346040350|  -2.435 -4.992   |10.82    |G5V            |    ~     ~    
2902|TYC 743-425-1                                                         |Star                           |06 16 14.0721045792 +13 28 08.955536268|196.9556627605337 -01.5021627063461| 11.498 -11.308   |10.17    |K0III          |    ~     ~    
2903|HD 254328                                                             |Star                           |06 16 29.2774010640 +13 44 01.088685780|196.7521613588101 -01.3222885477503|  -0.023 -4.228   |10.89    |B9             |    ~     ~    
2904|TYC 743-1325-1                                                        |Star                           |06 16 53.8624228512 +13 31 56.371266624|196.9766592101985 -01.3302930443759|   0.346 -8.046   |10.74    |A0             |    ~     ~    
2905|HD 254550                                                             |Star                           |06 17 23.4686703488 +13 17 16.066507422|197.2489198823120 -01.3406797854325|   -4.179 2.726   |10.33    |A0             |    ~     ~    
2906|HD 254645                                                             |Star                           |06 17 37.3319603544 +13 01 32.504617884|197.5064387787009 -01.4153981777081|   0.416 -0.482   |10.31    |B8             |    ~     ~    
2907|TYC 743-1573-1                                                        |Star                           |06 17 41.2628192256 +13 39 45.436893480|196.9530132167573 -01.0994921037723| -1.291 -13.602   |10.98    |G8III          |    ~     ~    
2908|TYC 743-955-1                                                         |Star                           |06 18 30.3563900184 +13 28 08.464042020|197.2177485044379 -01.0160499048684|   1.521 -7.390   |10.81    |G0             |    ~     ~    
2909|HD 254897                                                             |Star                           |06 18 45.7951351464 +13 45 48.418727220|196.9879032729425 -00.8216696592026|  -0.290 -1.983   |10.17    |A0             |    ~     ~    
2910|LF 8 +13 265                                                          |High Proper Motion Star        |06 19 29.4971469624 +13 57 02.965251204|196.9063479734460 -00.5773048146338|106.168 -44.273   |10.708   |M0.5V          |    ~     ~    
2911|HD 255109                                                             |Star                           |06 19 25.3743368712 +13 09 18.230673672|197.5999221088368 -00.9678896067354|   4.650 -4.759   |10.95    |A2             |    ~     ~    
2912|TYC 743-1783-1                                                        |Star                           |06 20 23.6201203704 +13 44 34.100477052|197.1930898316900 -00.4824337073552|   0.821 -3.908   |10.82    |G8III          |    ~     ~    
2913|BD+13 1203                                                            |Star                           |06 20 25.2461852232 +13 45 13.437042336|197.1865564560483 -00.4714781142719|   4.705 -3.888   |10.46    |G8III          |    ~     ~    
2914|TYC 743-1459-1                                                        |Star                           |06 20 32.5431859392 +13 21 53.702632692|197.5434106952119 -00.6286966217766|   0.884 -4.784   |10.95    |B9             |    ~     ~    
2915|TYC 743-493-1                                                         |Star                           |06 20 32.0079918216 +13 13 05.881201176|197.6717083959454 -00.6997120252965|  -1.560 -7.673   |10.99    |F5             |    ~     ~    
2916|HD 255467                                                             |Star                           |06 20 40.0245808992 +13 16 11.904857724|197.6414522225462 -00.6466839514668|  -1.669 -0.581   |10.02    |kB9hA9mA8Si    |    ~     ~    
2917|HD 255566                                                             |Star                           |06 20 54.2734665072 +13 41 03.847095960|197.3030792533801 -00.4005178763678|   3.262 -7.911   |10.52    |G5V            |    ~     ~    
2918|TYC 743-1259-1                                                        |Star                           |06 21 13.8862345896 +13 14 25.717346448|197.7321512876257 -00.5394248880077|   0.187 -2.730   |10.67    |G8             |    ~     ~    
2919|HD 255107                                                             |Star                           |06 19 29.4102303528 +13 59 42.775845504|196.8670531446808 -00.5566450499158|   -2.982 1.615   |10.71    |B5             |    ~     ~    
2920|HD 254184                                                             |Star                           |06 15 51.6792360528 +11 12 03.086399988|198.9097798005221 -02.6597768571463|  -6.669 -5.929   |9.68     |G0             |    ~     ~    
2921|HD 254404                                                             |Star                           |06 16 42.1143501504 +11 06 37.815509556|199.0872722670163 -02.5210943620027|   0.416 -4.132   |9.36     |G5             |    ~     ~    
2922|HD 254647                                                             |Be Star                        |06 17 34.6135591152 +11 11 27.309147360|199.1180802755260 -02.2939828890015|  -0.200 -0.617   |10.043   |Bpe            |    ~     ~    
2923|HD 43650                                                              |Star                           |06 17 43.9781552616 +11 02 19.101638652|199.2704817478827 -02.3322803846544| -1.908 -22.835   |8.32     |F2             |    ~     ~    
2924|HD 254963                                                             |Star                           |06 18 43.8588285624 +11 10 13.907187660|199.2699380871282 -02.0541847433703|  -0.713 -1.220   |10.5     |OB-:           |    ~     ~    
2925|HD 43841                                                              |Double or Multiple Star        |06 18 49.4762362896 +11 09 54.129248604|199.2856324884181 -02.0365363501520|  9.352 -19.077   |7.09     |A0             |0.0033  0.0    
2926|HD 43842                                                              |Star                           |06 18 49.3726764696 +11 03 56.187551952|199.3731412983813 -02.0838466155061|   1.958 -2.528   |8.73     |A              |    ~     ~    
2927|HD 255199                                                             |Star                           |06 19 31.6510736760 +11 11 28.607668188|199.3438655637146 -01.8721539996998|  8.910 -12.952   |9.33     |K2             |    ~     ~    
2928|HD 43984                                                              |Star                           |06 19 42.0002476128 +11 00 28.070541216|199.5257277526410 -01.9213350085148|  -0.164 -0.498   |8.25     |B8             |    ~     ~    
2929|HD 255394                                                             |Star                           |06 20 13.7431066728 +11 03 45.734131800|199.5384620132984 -01.7809604479037|-14.338 -13.252   |9.41     |F0             |    ~     ~    
2930|HD 255650                                                             |Star                           |06 21 09.9392545272 +11 00 56.412969624|199.6881675438461 -01.6003053853054|   0.980 -9.429   |9.17     |A3             |    ~     ~    
2931|BD+11 1138B                                                           |Variable Star                  |06 21 57.7701879000 +10 58 13.220376708|199.8201497901609 -01.4489039278356|  -1.531 -1.791   |9.64     |~              |    ~     ~    
2932|HD 255963                                                             |Star                           |06 22 09.4153617240 +10 58 18.878768652|199.8411305193173 -01.4061064849401|  -1.136 -4.226   |10.27    |A0             |    ~     ~    
2933|HD 254005                                                             |Star                           |06 15 05.7824662200 +10 02 14.774189568|199.8460462233404 -03.3772180336052| -1.136 -18.808   |9.21     |F0             |    ~     ~    
2934|HD 43231                                                              |Star                           |06 15 29.1265499424 +10 34 42.300612660|199.4145307367035 -03.0363450651147| -0.500 -14.392   |8.30     |G5             |    ~     ~    
2935|BD+10 1067a                                                           |Star                           |06 15 29.4323899512 +10 34 45.490636056|199.4143447280725 -03.0348219453921| -0.260 -17.771   |8.592    |G5             |    ~     ~    
2936|HD 43299                                                              |Star                           |06 15 56.4791816256 +10 16 54.165589716|199.7293564430583 -03.0783375268218| -6.497 -32.452   |6.84     |K3III-IV       |    ~     ~    
2937|HD 254354                                                             |Eclipsing Binary               |06 16 29.6828181528 +10 55 43.093934256|199.2234768039465 -02.6520400226455|   1.359 -2.610   |10.23    |A0             |    ~     ~    
2938|HD 254556                                                             |Star                           |06 17 12.3343191408 +10 22 58.406366208|199.7875047172626 -02.7565506030904|   0.977 -1.670   |10.37    |A0             |    ~     ~    
2939|HD 254588                                                             |Star                           |06 17 19.9593020640 +10 55 10.368793632|199.3289842486026 -02.4751751742430|   0.206 -3.111   |9.39     |A2             |    ~     ~    
2940|HD 254966                                                             |Star                           |06 18 40.8023697456 +10 01 45.056630100|200.2711402639140 -02.6038099440535| -1.190 -11.348   |10.48    |F8             |    ~     ~    
2941|V* V1395 Ori                                                          |Long-Period Variable Candidate |06 18 58.9253151672 +10 19 33.600858708|200.0442272147457 -02.3983021391231| -0.713 -15.860   |8.90     |M2             |    ~     ~    
2942|HD 43874                                                              |Eclipsing Binary               |06 19 03.6014501304 +10 26 42.098905032|199.9482183394940 -02.3252766729898|  -2.646 -4.638   |9.13     |A0             |    ~     ~    
2943|HD 255076                                                             |Double or Multiple Star        |06 19 06.7118 +10 37 08.479            |199.8006760 -02.2319917            |      -0.6 -1.3   |8.90     |F8             |    ~     ~    
2944|HD 43932                                                              |Star                           |06 19 21.0988302528 +10 43 07.212130320|199.7405343884081 -02.1330556693840|  -0.073 -6.961   |8.75     |A0             |    ~     ~    
2945|HD 255571                                                             |Star                           |06 20 51.9065927592 +10 54 53.009668008|199.7425888565124 -01.7128750824983|  -0.650 -0.993   |8.48     |G0             |    ~     ~    
2946|HD 255805                                                             |Star                           |06 21 38.9869886664 +10 52 59.653870680|199.8609744561237 -01.5576526489079| -7.618 -14.700   |8.88     |G0             |    ~     ~    
2947|HD 255836                                                             |Star                           |06 21 43.5053905152 +10 14 58.091852328|200.4294614193074 -01.8389185294984|    0.017 0.246   |10.03    |B              |    ~     ~    
2948|V* V1028 Ori                                                          |Eclipsing Binary               |06 22 04.1776445088 +10 53 40.497242172|199.8993706880307 -01.4613242646805|  -0.726 -1.166   |9.86     |B2IV           |    ~     ~    
2949|HD 255964                                                             |Star                           |06 22 04.6164148584 +10 01 27.000902784|200.6691764978108 -01.8681759504625|  -0.109 -1.547   |9.69     |~              |    ~     ~    
2950|HD 44454                                                              |Star                           |06 22 19.8771737808 +10 45 38.841667524|200.0477163669352 -01.4673764346932|  -4.140 -5.161   |8.97     |F5             |    ~     ~    
2951|BD+10 1081                                                            |Star                           |06 17 47.5886274336 +10 47 21.843464856|199.4972816145180 -02.4371081382933|  -1.183 -4.278   |9.55     |~              |    ~     ~    
2952|BD+10 1091                                                            |Star                           |06 19 56.0359697280 +10 49 30.663782652|199.7139638248722 -01.9567292572297|  -0.059 -1.325   |10.27    |~              |    ~     ~    
2953|BD+10 1100                                                            |Star                           |06 21 10.2424701336 +10 18 23.047163712|200.3150908598731 -01.9325774984779|  -4.258 -4.445   |9.79     |~              |    ~     ~    
2954|BD+11 1121                                                            |Star                           |06 19 59.3184726456 +11 07 00.352874172|199.4629555996332 -01.8075239283777|  -1.888 -2.880   |9.72     |~              |    ~     ~    
2955|HD 43211                                                              |Star                           |06 15 24.0898561224 +09 45 32.923208340|200.1271989213329 -03.4429908154471|  -2.979 -3.796   |8.59     |A2             |    ~     ~    
2956|HD 43262                                                              |High Proper Motion Star        |06 15 36.2964219816 +09 01 01.178494536|200.8059869027580 -03.7501840236135|-18.668 -79.372   |9.09     |G5             |    ~     ~    
2957|V* V1392 Ori                                                          |Eclipsing Binary               |06 16 17.8922722320 +09 01 39.775575072|200.8776231587019 -03.5942866818253|  -3.119 -9.015   |7.77     |B9             |    ~     ~    
2958|HD 43404                                                              |Star                           |06 16 22.4363240616 +09 48 50.531911704|200.1924029383735 -03.2059871088405|  -0.500 -1.850   |9.45     |A0             |    ~     ~    
2959|HD 254459                                                             |Star                           |06 16 43.7639795112 +09 31 54.769536840|200.4829029801002 -03.2622411722072|   1.644 -3.462   |10.25    |K0             |    ~     ~    
2960|HD 254485                                                             |Star                           |06 16 47.3783809944 +08 59 47.213556972|200.9626671100106 -03.5021086900695|   2.929 -5.462   |10.60    |K2             |    ~     ~    
2961|HD 254484                                                             |Star                           |06 16 51.2079924432 +09 00 07.726559760|200.9650907565246 -03.4855254943028|  -4.734 -4.605   |10.66    |K0             |    ~     ~    
2962|* l Ori                                                               |Double or Multiple Star        |06 17 06.6198800712 +09 56 32.614989288|200.1650453163370 -02.9854791778749|  7.773 -60.906   |5.386    |A2V            |    ~     ~    
2963|HD 254709                                                             |Star                           |06 17 43.6706532744 +09 40 19.075355004|200.4756790491032 -02.9791441467049|  -0.315 -8.818   |10.19    |A0             |    ~     ~    
2964|HD 43694                                                              |Star                           |06 17 56.8869775344 +09 30 59.824392480|200.6384859798523 -03.0045842723234|  -1.219 -3.683   |9.19     |A2             |    ~     ~    
2965|HD 43705                                                              |Star                           |06 18 05.5613321376 +09 19 15.294327204|200.8281363770031 -03.0654487343376| -2.391 -11.800   |8.09     |F5             |    ~     ~    
2966|HD 43821                                                              |Spectroscopic Binary           |06 18 40.3593841200 +09 02 49.812626868|201.1374738462747 -03.0682008633801| -4.423 -37.722   |6.225    |K0             |    ~     ~    
2967|HD 43985                                                              |Star                           |06 19 30.5537870688 +09 01 04.340700696|201.2606984856202 -02.8997430348016|  -7.824 -4.867   |8.60     |A3             |    ~     ~    
2968|HD 255265                                                             |Star                           |06 19 41.2211052792 +09 08 24.304135704|201.1733791246574 -02.8035331063189|  -2.521 -4.032   |9.41     |F0             |    ~     ~    
2969|HD 255295                                                             |Star                           |06 19 47.7084395736 +09 37 04.275872760|200.7638655722126 -02.5552575748368|   0.936 -1.120   |10.37    |A2             |    ~     ~    
2970|HD 255324                                                             |Star                           |06 19 54.5816423040 +09 40 09.571104264|200.7316991718784 -02.5061278244084|   0.616 -3.828   |9.72     |A0             |    ~     ~    
2971|HD 255441                                                             |Star                           |06 20 20.0570060016 +09 07 11.002081692|201.2665553217117 -02.6720878642669| -1.048 -21.159   |9.74     |A5             |    ~     ~    
2972|HD 44174                                                              |Star                           |06 20 41.4004191288 +08 57 31.025411136|201.4502342222242 -02.6702112277767|   3.953 -4.772   |8.30     |A0             |    ~     ~    
2973|HD 44212                                                              |Star                           |06 21 01.1669385288 +09 43 45.433470288|200.8073917677551 -02.2365665640307|  -1.639 -7.259   |8.07     |K2             |    ~     ~    
2974|HD 44235                                                              |Star                           |06 21 03.9305926272 +09 45 42.921248508|200.7838926472608 -02.2112189951815|  -0.458 -1.101   |7.95     |B8             |    ~     ~    
2975|LS VI +09 2                                                           |Star                           |06 21 40.8874531776 +09 46 27.041019996|200.8443552760326 -02.0714727732110|  -0.281 -0.842   |10.11    |OB-            |    ~     ~    
2976|HD 255966                                                             |Star                           |06 22 10.1696282808 +09 34 05.411101944|201.0828656546839 -02.0618663307031|   0.631 -0.350   |10.96    |A2             |    ~     ~    
2977|HD 255996                                                             |Double or Multiple Star        |06 22 08.0711 +09 20 08.884            |201.2842203 -02.1784055            | -12.542 -7.212   |10.74    |F2             |    ~     ~    
2978|HD 44436                                                              |Star                           |06 22 08.8443720696 +09 09 29.969042220|201.4426099693199 -02.2587690328619|  -8.383 -6.048   |7.94     |K0             |    ~     ~    
2979|HD 43188                                                              |Star                           |06 15 12.0665264712 +08 26 46.794599700|201.2626652898951 -04.1080074674330|   22.012 7.603   |7.48     |K0             |    ~     ~    
2980|HD 43187                                                              |Star                           |06 15 16.3723775016 +08 51 40.002493968|200.9047369525338 -03.8961855708287|  -2.465 -8.023   |8.97     |A0             |    ~     ~    
2981|HD 43263                                                              |Star                           |06 15 34.9106956464 +08 34 39.841990716|201.1912024230685 -03.9629338519748| 15.022 -16.050   |8.71     |K0             |    ~     ~    
2982|HD 43300                                                              |Star                           |06 15 45.7280152368 +08 27 26.740325556|201.3185979225833 -03.9805042819075|  -4.758 -3.948   |8.03     |B9             |    ~     ~    
2983|HD 254216                                                             |Star                           |06 15 49.8200543016 +08 51 02.509845444|200.9792105930615 -03.7797838727939|   -3.035 9.471   |9.14     |K0             |    ~     ~    
2984|HD 254356                                                             |Star                           |06 16 15.8811403896 +08 28 02.562970512|201.3686357074459 -03.8662675489997|  -5.115 10.792   |9.20     |K0             |    ~     ~    
2985|HD 43651                                                              |Star                           |06 17 35.5479058584 +08 53 04.720871220|201.1551466362775 -03.3800625824042|  4.059 -19.718   |8.80     |K5             |    ~     ~    
2986|TYC 731-3051-1                                                        |Star                           |06 18 15.1045592304 +08 31 38.616477348|201.5477078385524 -03.4046935365247|   0.506 -9.206   |10.12    |G0             |    ~     ~    
2987|HD 43774                                                              |Star                           |06 18 22.7790394320 +08 31 46.443188568|201.5606999661127 -03.3757701638660|  -2.528 -5.241   |9.38     |A0             |    ~     ~    
2988|HD 255376                                                             |High Proper Motion Star        |06 19 59.6191168296 +08 39 11.007162576|201.6394463186230 -02.9655910658875|-57.533 -25.678   |9.52     |K0             |    ~     ~    
2989|HD 255605                                                             |Star                           |06 20 49.1389538856 +08 48 50.387750460|201.5930449293425 -02.7099640448404|  2.884 -16.750   |10.58    |F0             |    ~     ~    
2990|HD 44319                                                              |Star                           |06 21 28.4477670864 +08 42 22.833220716|201.7642332481310 -02.6174918610203| -11.097 -1.321   |7.84     |K0             |    ~     ~    
2991|HD 44331                                                              |Star                           |06 21 35.0947899888 +08 48 15.940999296|201.6903494409957 -02.5473326049084|  3.533 -14.158   |8.94     |A2             |    ~     ~    
2992|HD 44437                                                              |Star                           |06 22 04.1463285864 +08 53 15.834182100|201.6727951687348 -02.4026327627758|   -2.066 0.844   |9.14     |A0             |    ~     ~    
2993|HD 256088                                                             |High Proper Motion Star        |06 22 27.3183800712 +08 55 10.178985108|201.6894226129149 -02.3034789051749|  5.159 -70.579   |9.62     |G0             |    ~     ~    
2994|HD 44514                                                              |Star                           |06 22 26.1963925368 +08 41 24.606349260|201.8900678171835 -02.4149300924227|   3.416 26.346   |8.75     |A0             |    ~     ~    
2995|V* GK Ori                                                             |Carbon Star                    |06 17 42.0948428976 +08 31 11.394748236|201.4902068697962 -03.5282439626237|   3.568 -2.858   |9.50     |C-N5-          |0.0033  0.0    
2996|BD+09 1183                                                            |Star                           |06 18 33.6122463312 +09 14 47.516202564|200.9482748586038 -02.9987774142036|   -6.343 5.832   |9.94     |~              |    ~     ~    
2997|BD+09 1165                                                            |Star                           |06 16 03.0974 +09 08 53.960            |200.7423019 -03.5909121            |    6.30 -21.70   |9.96     |~              |    ~     ~    
2998|IRAS 06129+0951                                                       |Long-Period Variable Candidate |06 15 41.0759879472 +09 50 56.538996540|200.0809979149086 -03.3389827805200|  -4.210 -4.810   |10.15    |~              |    ~     ~    
2999|IRAS 06134+1044                                                       |Star                           |06 16 13.2447178008 +10 43 38.635285224|199.3689687300968 -02.8066448391343|   6.894 -3.741   |10.43    |~              |    ~     ~    
3000|IRAS 06135+1015                                                       |Star                           |06 16 15.3766383888 +10 13 56.754872436|199.8095746748399 -03.0334462291822|  -1.169 -0.680   |10.21    |~              |    ~     ~    
3001|IRAS 06146+1021                                                       |Star                           |06 17 24.2089025256 +10 20 15.512113212|199.8504610876417 -02.7350598336027|   -1.859 1.432   |10.55    |~              |    ~     ~    
3002|IRAS 06151+1047                                                       |Star                           |06 17 53.4937700448 +10 46 16.205003832|199.5247987083083 -02.4244264644418|   0.884 -0.435   |10.72    |~              |    ~     ~    
3003|IRAS 06155+1047                                                       |Star                           |06 18 21.4305478656 +10 45 53.804734452|199.5843598360762 -02.3265795357281|   0.329 -1.536   |10.03    |~              |    ~     ~    
3004|IRAS 06186+0914                                                       |Star                           |06 21 24.3064080216 +09 13 19.308115020|201.3003316525349 -02.3907089458679|   -3.501 3.451   |10.14    |~              |    ~     ~    
3005|[SC93] 137                                                            |Star                           |06 18 54.0 +11 07 00                   |199.3370 -02.0431                  |            ~ ~   |6.90     |A0             |    ~     ~    
3006|[SC93] 151                                                            |Star                           |06 20 48.0 +08 57 00                   |201.4706 -02.6503                  |            ~ ~   |8.04     |A0             |    ~     ~    
3007|[SC93] 157                                                            |Star                           |06 21 54.0 +08 45 00                   |201.7750 -02.5041                  |            ~ ~   |7.74     |A0             |    ~     ~    
3008|ASAS J062104+1040.0                                                   |Rotating Variable              |06 21 04.1227713528 +10 40 05.987643780|199.9836674103351 -01.7846094094822| -7.632 -34.429   |10.287   |~              |    ~     ~    
3009|HD 43336                                                              |Star                           |06 16 11.8888628064 +11 12 53.328646620|198.9367083173839 -02.5804418499411| 15.943 -11.095   |7.98     |K5             |    ~     ~    
3010|TYC 730-894-1                                                         |Star                           |06 15 06.9006967920 +09 11 47.698789344|200.5900807409226 -03.7717097023566|  4.140 -21.675   |10.34    |~              |    ~     ~    
3011|TYC 730-1056-1                                                        |Star                           |06 15 18.2094724656 +09 03 37.724846184|200.7322996981231 -03.7951724258683|   -4.080 6.072   |9.68     |~              |    ~     ~    
3012|TYC 730-1671-1                                                        |Star                           |06 15 07.2501975168 +08 34 43.735466856|201.1362264143158 -04.0628394028091|  -4.294 -4.337   |10.45    |~              |    ~     ~    
3013|TYC 731-78-1                                                          |Star                           |06 22 09.0142738056 +09 01 23.622607704|201.5623820210671 -02.3214511152048|       0.7 -6.9   |10.13    |~              |    ~     ~    
3014|TYC 731-147-1                                                         |Star                           |06 21 00.4693856232 +08 25 39.617487732|201.9565500320360 -02.8499665552286|  -0.805 -2.026   |9.86     |~              |    ~     ~    
3015|TYC 731-166-1                                                         |Star                           |06 20 03.3298290840 +08 55 43.548579048|201.4029390260071 -02.8225730235017|   0.622 -0.203   |9.89     |~              |    ~     ~    
3016|TYC 731-190-1                                                         |Star                           |06 21 55.0338284208 +08 59 18.100700736|201.5662282621640 -02.3886157327533|  -1.294 -5.111   |10.88    |~              |    ~     ~    
3017|TYC 731-208-1                                                         |Star                           |06 19 04.2550473120 +08 37 46.442193060|201.5528560779096 -03.1779329866018|   25.50 -16.60   |10.72    |~              |    ~     ~    
3018|TYC 731-268-1                                                         |Star                           |06 18 59.5580990664 +08 53 21.192524736|201.3142787869196 -03.0728433703167|  -3.514 -2.241   |10.72    |~              |    ~     ~    
3019|TYC 731-334-1                                                         |Star                           |06 21 46.3646343600 +08 45 00.236449620|201.7601905660851 -02.5318167312172|  -3.394 -1.124   |9.73     |~              |    ~     ~    
3020|TYC 731-360-1                                                         |Star                           |06 19 04.2021808008 +08 44 20.613685992|201.4559844358559 -03.1266219215853| -5.540 -45.983   |10.51    |~              |    ~     ~    
3021|TYC 731-380-1                                                         |Star                           |06 19 37.3371462192 +08 54 54.035885592|201.3647411379843 -02.9234746208824|   1.637 -4.610   |10.43    |~              |    ~     ~    
3022|TYC 731-500-1                                                         |Star                           |06 21 44.6918079024 +08 35 04.431363792|201.9033146889490 -02.6154527815198|  -1.665 -2.027   |10.97    |~              |    ~     ~    
3023|TYC 731-510-1                                                         |Star                           |06 19 04.6786458960 +08 31 52.002820092|201.6407012886755 -03.2226965639395|  -1.123 -5.695   |9.26     |~              |    ~     ~    
3024|TYC 731-578-1                                                         |High Proper Motion Star        |06 22 01.0241032896 +08 59 08.316657096|201.5801940605214 -02.3681107903482| 74.447 -16.956   |10.99    |~              |    ~     ~    
3025|TYC 731-750-1                                                         |Star                           |06 22 07.8221279568 +08 35 20.814980964|201.9439716150266 -02.5291255690569|   0.521 -4.259   |10.49    |~              |    ~     ~    
3026|TYC 731-752-1                                                         |Star                           |06 19 36.4744296672 +08 38 13.095916332|201.6088074381319 -03.0573104409599|   1.469 -7.706   |10.92    |~              |    ~     ~    
3027|TYC 731-812-1                                                         |Star                           |06 21 07.6120224000 +08 37 24.990299616|201.7971046683922 -02.7320895940124|   11.823 3.103   |10.32    |~              |    ~     ~    
3028|TYC 731-868-1                                                         |Star                           |06 19 46.5298096824 +08 43 04.504769256|201.5567487670898 -02.9827098026607|  -0.624 -1.300   |10.15    |~              |    ~     ~    
3029|TYC 731-916-1                                                         |High Proper Motion Star        |06 18 50.9375486928 +08 29 09.831839244|201.6538450419668 -03.2938541378010| 11.457 -73.237   |10.71    |~              |    ~     ~    
3030|TYC 731-924-1                                                         |Star                           |06 19 46.2181006728 +08 45 23.879139228|201.5219249241782 -02.9656489747257|   3.185 -2.356   |10.47    |~              |    ~     ~    
3031|TYC 731-962-1                                                         |Star                           |06 21 37.6922985960 +08 45 18.323196300|201.7389937807456 -02.5610110734063|   4.981 -1.721   |10.96    |~              |    ~     ~    
3032|TYC 731-1008-1                                                        |Star                           |06 19 07.7636534112 +08 58 03.621848952|201.2608736935095 -03.0061237310298|  -1.402 -4.753   |10.3     |~              |    ~     ~    
3033|TYC 731-1020-1                                                        |Star                           |06 22 20.6833389600 +08 32 36.360495456|202.0092099787316 -02.5036896389991|    5.028 0.751   |9.93     |~              |    ~     ~    
3034|TYC 731-1120-1                                                        |Star                           |06 21 53.5255631712 +08 49 02.970159312|201.7143991123437 -02.4741720419222|   3.165 -8.032   |9.62     |~              |    ~     ~    
3035|TYC 731-1524-1                                                        |Star                           |06 20 37.3943064936 +09 20 31.870373064|201.1034995525769 -02.5046328734713|   0.531 -0.330   |10.97    |~              |    ~     ~    
3036|TYC 731-1686-1                                                        |Star                           |06 20 48.9272959872 +09 21 37.042802460|201.1097936771109 -02.4542699420286|   0.332 -1.397   |10.26    |~              |    ~     ~    
3037|TYC 731-1824-1                                                        |Star                           |06 19 25.6069433880 +09 15 32.273523828|201.0381006572897 -02.8042831457413|  0.881 -17.380   |9.94     |~              |    ~     ~    
3038|TYC 731-1890-1                                                        |Star                           |06 19 48.6369873168 +09 11 44.398505688|201.1386307571768 -02.7504740774804|  2.219 -17.864   |10.18    |~              |    ~     ~    
3039|TYC 731-1963-1                                                        |Star                           |06 15 39.7617548880 +08 47 27.165680520|201.0124128754218 -03.8445585992935|  -0.262 -4.058   |10.05    |~              |    ~     ~    
3040|TYC 731-2051-1                                                        |Star                           |06 18 44.8853636448 +08 56 03.092172360|201.2460719706492 -03.1049649181689|  -1.346 -3.479   |10.35    |~              |    ~     ~    
3041|TYC 731-2242-1                                                        |Star                           |06 17 52.6373293296 +08 42 46.704121452|201.3400420127771 -03.3989275465414|   0.517 -2.037   |10.35    |~              |    ~     ~    
3042|TYC 731-2247-1                                                        |Star                           |06 17 07.5703767504 +08 57 14.424420960|201.0394541154695 -03.4488842849716|  -5.278 -8.177   |10.38    |~              |    ~     ~    
3043|TYC 731-2404-1                                                        |Star                           |06 21 54.5524735560 +09 20 44.134339524|201.2494906932097 -02.2229109302302|   0.159 -2.372   |10.21    |~              |    ~     ~    
3044|TYC 731-2412-1                                                        |Star                           |06 21 31.1549205312 +09 07 28.348979952|201.3997310776082 -02.4115586723025|  -0.875 -2.474   |10.89    |~              |    ~     ~    
3045|TYC 731-2550-1                                                        |Star                           |06 18 05.0835672792 +08 30 12.067733628|201.5494766384211 -03.4524433941783|   1.621 -5.420   |10.13    |~              |    ~     ~    
3046|TYC 731-3042-1                                                        |Star                           |06 16 47.0776105680 +08 26 10.721313096|201.4568990108806 -03.7675738072873|-27.041 -10.671   |9.89     |~              |    ~     ~    
3047|TYC 731-3065-1                                                        |Star                           |06 17 23.7952943664 +08 36 47.915693316|201.3720007743532 -03.5506825993766|  -2.767 -8.562   |10.87    |~              |    ~     ~    
3048|TYC 731-3570-1                                                        |Star                           |06 18 14.1362512056 +08 39 12.872744388|201.4343143266107 -03.3487971270337| 27.200 -38.870   |10.12    |~              |    ~     ~    
