C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
70  |TYC 4533-573-1                                                        |Star                           |06 20 23.7983662176 +80 15 27.060878376|133.6295534613171 +25.4086673829928| -4.876 -12.543   |9.56     |~              |    ~     ~    
71  |TYC 4533-765-1                                                        |Spectroscopic Binary           |06 20 02.9431911312 +80 36 51.327536148|133.2403688497578 +25.4715744691228|   0.045 58.069   |9.70     |~              |    ~     ~    
72  |TYC 4533-982-1                                                        |Star                           |06 18 48.5958205848 +78 53 58.863300900|135.0740827777653 +25.0330728044642| -6.941 -19.140   |10.82    |~              |    ~     ~    
73  |TYC 4533-1007-1                                                       |Spectroscopic Binary           |06 16 46.2694281792 +80 20 59.715507876|133.4921234297125 +25.2805459208857|   10.072 0.300   |10.39    |~              |    ~     ~    
74  |TYC 4533-1097-1                                                       |Star                           |06 18 48.9387176064 +80 16 32.055364488|133.5938079525964 +25.3474451616363|   6.903 12.489   |10.46    |~              |    ~     ~    
75  |TYC 4533-1308-1                                                       |Star                           |06 26 02.0878226328 +79 00 35.772403932|135.0387291885487 +25.3948244128781|   0.097 -9.143   |9.84     |~              |    ~     ~    
76  |GSC 04533-01351                                                       |Double or Multiple Star        |06 24 27.609048 +79 05 25.35324        |134.934561578 +25.338234736        |       6.3 -5.3   |10.516   |~              |    ~     ~    
77  |TYC 4533-1367-1                                                       |Star                           |06 20 25.2386487576 +79 35 08.208356280|134.3551448597036 +25.2624462562895| -16.016 -0.804   |10.82    |~              |    ~     ~    
78  |TYC 4533-1411-1                                                       |Star                           |06 15 27.5128520520 +79 44 23.803500840|134.1323626825158 +25.0815809465532|  16.593 -9.187   |10.53    |~              |    ~     ~    
79  |TYC 4533-1496-1                                                       |Star                           |06 19 30.9735266736 +79 05 56.331798180|134.8686368178097 +25.1119775786511|  3.801 -23.324   |10.24    |~              |    ~     ~    
80  |TYC 4533-1544-1                                                       |Star                           |06 20 19.7470286520 +78 50 08.139601680|135.1616066471902 +25.0896303919857|    8.537 3.394   |10.85    |~              |    ~     ~    
81  |TYC 4537-114-1                                                        |Spectroscopic Binary           |06 18 55.4477793480 +80 42 34.202336760|133.1264254602233 +25.4477082927148|  0.709 -12.259   |9.84     |~              |    ~     ~    
82  |TYC 4537-154-1                                                        |Star                           |06 24 52.0797329352 +80 38 15.216784548|133.2596998599626 +25.6684058143339|   -1.524 4.796   |9.04     |~              |    ~     ~    
83  |TYC 4537-261-1                                                        |Star                           |06 26 51.1117024368 +80 59 26.193218640|132.8915093865821 +25.8130278108804|    3.414 0.477   |10.92    |~              |    ~     ~    
84  |TYC 4537-281-1                                                        |Spectroscopic Binary           |06 25 07.1171258208 +80 40 26.872935024|133.2220887969327 +25.6854918278252|   -2.227 3.531   |10.70    |~              |    ~     ~    
85  |TYC 4537-553-1                                                        |Star                           |06 17 32.2579641408 +81 15 49.080901608|132.5143630485109 +25.5164892763273|   4.388 -1.251   |10.98    |~              |    ~     ~    
