C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:17:23

dec< 0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5506

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
33  |HD 184441                                                                                                |Star                              |19 36 08.5839716232 -40 02 59.734260456|359.0118081809011 -25.1794534738896| 11.904 -39.889   |10.14    |G8IV           |    ~     ~          |    1|   85.460   pc  |  -0.1081     +0.1081    |paral   |2020yCat.1350....0G
34  |HD 184990                                                                                                |Star                              |19 38 45.2445529224 -40 14 00.661731468|358.9587459200703 -25.7089881724509|    2.872 1.943   |10.04    |F0V            |    ~     ~          |    1|  367.809   pc  | -32.0217    +32.0217    |paral   |2020yCat.1350....0G
35  |HD 185166                                                                                                |Star                              |19 39 30.9126797904 -40 17 07.215787752|358.9441282484320 -25.8626053353265| 15.772 -15.041   |9.28     |A8III          |    ~     ~          |    1|  288.176   pc  |  -1.4450     +1.4450    |paral   |2020yCat.1350....0G
36  |HD 183903                                                                                                |Double or Multiple Star           |19 33 33.2369738248 -40 57 21.568464040|357.9040058393180 -24.9425045945644|  -1.543 -6.326   |9.98     |A9V            |    ~     ~          |    0|                |                         |        |                   
37  |HD 183978                                                                                                |Star                              |19 33 59.9639908128 -41 05 28.898869092|357.7840374216248 -25.0589602950063|  9.089 -14.077   |9.97     |G8/K0III       |    ~     ~          |    1|  543.272   pc  | -11.2155    +11.2155    |paral   |2020yCat.1350....0G
38  |HD 184050                                                                                                |Star                              |19 34 24.7901046768 -41 37 35.614832952|357.2347645143190 -25.2718464111226|   7.423 -2.407   |10.11    |A9V            |    ~     ~          |    1|  428.321   pc  |  -5.6872     +5.6872    |paral   |2020yCat.1350....0G
39  |HD 184082                                                                                                |Star                              |19 34 37.9379089416 -41 34 02.967927420|357.3094855917190 -25.2963972865908| -0.296 -22.745   |9.97     |G2/3           |    ~     ~          |    1|  180.796   pc  |  -1.5821     +1.5821    |paral   |2020yCat.1350....0G
40  |HD 184142                                                                                                |Star                              |19 34 51.4858330344 -41 09 18.427611636|357.7622505473113 -25.2316662325592| -3.304 -19.684   |8.06     |A5V            |    ~     ~          |    1|  219.655   pc  |  -1.2448     +1.2448    |paral   |2020yCat.1350....0G
41  |HD 184213                                                                                                |Double or Multiple Star           |19 35 10.31150 -41 25 23.8827          |357.49222976 -25.35734407          |   25.77 -13.33   |9.108    |A8/9V          |    ~     ~          |    0|                |                         |        |                   
42  |HD 184287                                                                                                |Star                              |19 35 31.8852194736 -41 07 16.096205352|357.8345952907375 -25.3454542255208|  11.657 -8.687   |7.23     |G8III          |    ~     ~          |    1|  270.783   pc  |  -1.3638     +1.3638    |paral   |2020yCat.1350....0G
43  |HD 184347                                                                                                |Star                              |19 35 53.0288216088 -41 26 45.888097056|357.5053375499487 -25.4921958724669|   3.184 -3.431   |9.48     |K3             |    ~     ~          |    1| 3709.199   pc  |-243.5194   +243.5194    |paral   |2020yCat.1350....0G
44  |HD 184712                                                                                                |Star                              |19 37 36.7102061592 -41 30 32.051507004|357.5278312768615 -25.8212776562384| 12.701 -16.991   |8.78     |G8/K0III       |    ~     ~          |    1|  372.135   pc  |  -2.3958     +2.3958    |paral   |2020yCat.1350....0G
45  |HD 184732                                                                                                |Double or Multiple Star           |19 37 39.3903566200 -41 27 29.793241331|357.5846189396480 -25.8168075280377| 13.034 -31.297   |7.63     |F3IV           |0.0033  0.0          |    1|  176.2301  pc  | -11.5750    +11.5750    |paral   |2018yCat.1345....0G
46  |HD 185032                                                                                                |High Proper Motion Star           |19 39 01.1550866112 -41 07 41.556413388|358.0106784526234 -25.9828560112051|-31.403 -62.169   |8.40     |K2III          |    ~     ~          |    1|  159.780   pc  |  -0.6842     +0.6842    |paral   |2020yCat.1350....0G
47  |HD 185107                                                                                                |Star                              |19 39 24.8657779128 -41 32 41.559635040|357.5813275743465 -26.1571403231224|   9.566 -8.894   |8.04     |A3V            |    ~     ~          |    1|  174.948   pc  |  -0.8019     +0.8019    |paral   |2020yCat.1350....0G
48  |HD 185137                                                                                                |Star                              |19 39 28.8249313968 -41 11 09.010872996|357.9724022891254 -26.0812062556517| 10.420 -35.632   |7.81     |K3III          |    ~     ~          |    1|  417.763   pc  |  -4.0141     +4.0141    |paral   |2020yCat.1350....0G
49  |HD 185186                                                                                                |Star                              |19 39 33.4926740616 -40 49 03.051192828|358.3736216128194 -26.0042046460612| 19.193 -15.714   |9.49     |F3V            |    ~     ~          |    1|  146.064   pc  |  -0.3606     +0.3606    |paral   |2020yCat.1350....0G
50  |HD 185258                                                                                                |Star                              |19 40 04.3144307232 -41 19 03.609794172|357.8603621110579 -26.2212955421155|   6.538 -8.008   |8.32     |A0V            |    ~     ~          |    1|  354.698   pc  | -10.9329    +10.9329    |paral   |2020yCat.1350....0G
51  |HD 185280                                                                                                |Star                              |19 40 11.3015832360 -40 52 32.017981728|358.3439318668234 -26.1340502819724|   7.044 -0.404   |9.44     |A1V            |    ~     ~          |    1|  354.007   pc  |  -3.0077     +3.0077    |paral   |2020yCat.1350....0G
52  |HD 185369                                                                                                |Star                              |19 40 30.5846378880 -40 54 36.091109448|358.3234026208166 -26.2014094049816|  3.742 -44.001   |9.63     |G0III          |    ~     ~          |    1|  243.849   pc  |  -0.9811     +0.9811    |paral   |2020yCat.1350....0G
53  |HD 185387                                                                                                |Star                              |19 40 36.9398767104 -41 14 53.551178916|357.9632172437223 -26.3034671124830|   25.915 3.355   |9.60     |F3V            |    ~     ~          |    1|  257.872   pc  |  -1.2036     +1.2036    |paral   |2020yCat.1350....0G
