C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:05:06

dec >=0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8634

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |HD 45618                                                                                                                                    |High Proper Motion Star           |06 44 30.3549214800 +82 06 55.203742728|131.7540242114888 +26.6142117131152| 13.740 -54.267  |6.630    |A5V                |    ~     ~    |    1|   73.174   pc  |  -0.1526     +0.1526  |paral   |2020yCat.1350....0G
33  |BD+82 170                                                                                                                                   |Star                              |06 35 07.6430847312 +81 56 28.255366428|131.9033090947600 +26.2704570567407| 11.408 -23.431  |10.38    |K0                 |    ~     ~    |    1|  280.222   pc  |  -1.2799     +1.2799  |paral   |2020yCat.1350....0G
34  |BD+81 220                                                                                                                                   |Star                              |06 44 35.5759882872 +81 48 09.657724032|132.1022432974907 +26.5856763818750|  -2.975 -9.098  |10.71    |F2                 |    ~     ~    |    1|  390.854   pc  |  -1.5124     +1.5124  |paral   |2020yCat.1350....0G
35  |BD+81 221                                                                                                                                   |Star                              |06 44 20.1142003704 +81 37 27.380623836|132.2995799897697 +26.5579867258684|   -0.914 1.634  |9.53     |F0                 |    ~     ~    |    1|  392.357   pc  |  -1.8781     +1.8781  |paral   |2020yCat.1350....0G
36  |TYC 4537-699-1                                                                                                                              |Star                              |06 39 53.7523340592 +82 01 10.548053976|131.8408146073580 +26.4455921770866|  1.306 -16.521  |10.959   |~                  |    ~     ~    |    1|  448.994   pc  |  -2.9836     +2.9836  |paral   |2020yCat.1350....0G
37  |TYC 4537-805-1                                                                                                                              |Star                              |06 38 38.1957157176 +81 33 41.976146376|132.3417741169675 +26.3438002296384|  3.132 -15.968  |10.91    |~                  |    ~     ~    |    1|  387.387   pc  |  -4.1119     +4.1119  |paral   |2020yCat.1350....0G
38  |TYC 4537-883-1                                                                                                                              |Spectroscopic Binary              |06 34 29.9869682208 +81 37 07.261687092|132.2555098104174 +26.2018655409435|  2.004 -15.174  |10.89    |~                  |    ~     ~    |    1|  487.591   pc  |  -3.0194     +3.0194  |paral   |2020yCat.1350....0G
39  |GSC 04538-00556                                                                                                                             |Double or Multiple Star           |06 40 38.1704611056 +81 53 34.888548948|131.9846260466935 +26.4562140530965| -9.974 -14.496  |10.710   |~                  |    ~     ~    |    1|  404.040   pc  |  -1.9753     +1.9753  |paral   |2020yCat.1350....0G
40  |TYC 4618-39-1                                                                                                                               |Star                              |06 35 02.3941487856 +83 39 20.288664288|130.0063559524193 +26.4976117447542| -16.516 -6.549  |10.70    |~                  |    ~     ~    |    1|  269.636   pc  |  -0.9451     +0.9451  |paral   |2020yCat.1350....0G
41  |TYC 4618-45-1                                                                                                                               |Star                              |06 34 03.3177307056 +83 45 21.464066628|129.8913131073483 +26.4837546597529| -2.388 -39.238  |10.98    |~                  |    ~     ~    |    1|  161.870   pc  |  -0.3328     +0.3328  |paral   |2020yCat.1350....0G
