C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:05:06

dec >=0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8634

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
4308|HD 47358                                                                                                                                    |Star                              |06 39 05.3008778112 +22 01 51.177774396|191.8625115501132 +07.2736555103550| 14.830 -23.476  |6.080    |G9III              |    ~     ~    |    1|  114.528   pc  |  -0.9824     +0.9824  |paral   |2020yCat.1350....0G
4309|HD 47429                                                                                                                                    |Star                              |06 39 30.5547006192 +22 00 09.857911212|191.9316042720257 +07.3485670896151|   1.807 -7.649  |8.55     |A0                 |    ~     ~    |    1|  364.737   pc  |  -7.7957     +7.7957  |paral   |2020yCat.1350....0G
4310|HD 48075                                                                                                                                    |Star                              |06 42 33.2229949176 +22 07 49.874223432|192.1303383732073 +08.0378265748313| -9.901 -23.666  |8.87     |F5                 |    ~     ~    |    1|  204.507   pc  |  -0.7612     +0.7612  |paral   |2020yCat.1350....0G
4311|HD 48549                                                                                                                                    |Star                              |06 44 55.6256664984 +22 02 01.394267820|192.4617850716681 +08.4895844727026|   1.833 -2.885  |8.64     |B8                 |    ~     ~    |    1|  862.143   pc  | -41.3270    +41.3270  |paral   |2020yCat.1350....0G
4312|HD 47052                                                                                                                                    |Star                              |06 37 37.4286529320 +21 42 36.736611336|191.9992976760360 +06.8266009039718|  3.414 -12.289  |8.08     |G5                 |    ~     ~    |    1|  474.271   pc  |  -4.9935     +4.9935  |paral   |2020yCat.1350....0G
4313|HD 260690                                                                                                                                   |Chemically Peculiar Star          |06 37 35.3120704392 +21 04 43.754480400|192.5642010122767 +06.5369142650866|  -1.646 -5.289  |10.68    |B9III-IVHgMn       |    ~     ~    |    1|  952.472   pc  | -31.2985    +31.2985  |paral   |2020yCat.1350....0G
4314|HD 260749                                                                                                                                   |Star                              |06 37 44.6837547048 +21 27 07.416125172|192.2445202764184 +06.7364166413425| -14.670 -8.082  |8.95     |K0                 |    ~     ~    |    1|  412.524   pc  |  -2.9781     +2.9781  |paral   |2020yCat.1350....0G
4315|HD 47197                                                                                                                                    |Star                              |06 38 20.9463374016 +21 51 14.743386936|191.9452263810125 +07.0414832045273|  -9.785 -8.051  |7.62     |K5                 |    ~     ~    |    1|  626.213   pc  | -10.9408    +10.9408  |paral   |2020yCat.1350....0G
4316|HD 260945                                                                                                                                   |Star                              |06 38 22.5017208672 +21 33 34.412179464|192.2135588200849 +06.9155920617508|  2.996 -10.146  |8.59     |K7                 |    ~     ~    |    1|  565.643   pc  |  -6.9430     +6.9430  |paral   |2020yCat.1350....0G
4317|HD 261192                                                                                                                                   |Star                              |06 39 10.7166526920 +21 15 14.288029092|192.5731079844067 +06.9468136212214|  -0.109 -2.216  |10.01    |B9                 |    ~     ~    |    1|  895.736   pc  | -20.8609    +20.8609  |paral   |2020yCat.1350....0G
4318|HD 261221                                                                                                                                   |Spectroscopic Binary              |06 39 14.7057888408 +21 16 44.257600272|192.5575171877727 +06.9718136013575|-18.710 -18.485  |8.63     |K0                 |    ~     ~    |    1|  285.046   pc  |  -2.3319     +2.3319  |paral   |2020yCat.1350....0G
4319|HD 261222                                                                                                                                   |Star                              |06 39 16.7362013040 +20 53 25.048223088|192.9115257926784 +06.8056600576260|  -7.998 -4.597  |10.25    |F8                 |    ~     ~    |    1|  453.947   pc  | -23.4093    +23.4093  |paral   |2020yCat.1350....0G
4320|HD 261250                                                                                                                                   |Star                              |06 39 22.6068219408 +21 17 11.613497532|192.5644237757292 +07.0026640617560|  -0.361 -3.843  |9.40     |A2                 |    ~     ~    |    1|  678.979   pc  | -10.1884    +10.1884  |paral   |2020yCat.1350....0G
4321|HD 261612                                                                                                                                   |Star                              |06 40 26.7809871024 +21 10 23.093130108|192.7785283492565 +07.1754591690614|  -1.422 11.158  |9.38     |G5                 |    ~     ~    |    1|  673.446   pc  |  -6.3948     +6.3948  |paral   |2020yCat.1350....0G
4322|HD 47680                                                                                                                                    |Star                              |06 40 42.6176356680 +20 56 23.231448024|193.0167540614281 +07.1270172669562|  -0.283 -2.770  |8.46     |A0                 |    ~     ~    |    1|  664.894   pc  | -13.3951    +13.3951  |paral   |2020yCat.1350....0G
4323|HD 261729                                                                                                                                   |Star                              |06 40 52.3067798736 +20 58 20.529115392|193.0042039119303 +07.1752659553093|  -0.573 -2.610  |9.66     |A2                 |    ~     ~    |    1|  674.673   pc  | -10.5603    +10.5603  |paral   |2020yCat.1350....0G
4324|HD 261895                                                                                                                                   |Star                              |06 41 32.0596693848 +21 40 46.292353536|192.4337690500655 +07.6267988667746|  -1.875 -2.628  |9.80     |K0                 |    ~     ~    |    1| 1404.297   pc  |-111.8153   +111.8153  |paral   |2020yCat.1350....0G
4325|HD 261926                                                                                                                                   |Variable Star                     |06 41 33.9844646880 +21 22 48.441219168|192.7080077579468 +07.5011240478917| -4.388 -12.180  |10.50    |F8                 |    ~     ~    |    1|  455.228   pc  |  -4.3933     +4.3933  |paral   |2020yCat.1350....0G
4326|HD 47915                                                                                                                                    |Star                              |06 41 48.0695498952 +21 11 13.230267180|192.9070841867516 +07.4647336920207|  -0.497 -2.349  |9.07     |A0                 |    ~     ~    |    1|  637.024   pc  | -15.9479    +15.9479  |paral   |2020yCat.1350....0G
4327|HD 262279                                                                                                                                   |Star                              |06 42 38.4765631608 +21 04 58.853309592|193.0885244831652 +07.5944898883457|  -1.706 -7.884  |10.21    |A2                 |    ~     ~    |    1|  796.115   pc  | -15.8450    +15.8450  |paral   |2020yCat.1350....0G
4328|HD 48177                                                                                                                                    |Star                              |06 42 58.9131005280 +21 35 34.237199220|192.6620156182106 +07.8904772627403|   2.921 -2.333  |8.99     |B8                 |    ~     ~    |    1| 1063.377   pc  | -42.2908    +42.2908  |paral   |2020yCat.1350....0G
4329|HD 48274                                                                                                                                    |Star                              |06 43 27.4459136112 +21 33 42.687947304|192.7392217167126 +07.9761241241002|  -8.311 -4.239  |9.17     |A                  |    ~     ~    |    1|  415.628   pc  |  -4.3705     +4.3705  |paral   |2020yCat.1350....0G
4330|HD 48275                                                                                                                                    |Star                              |06 43 28.6977051840 +21 33 59.942687940|192.7370285387607 +07.9825882457595|  -1.273 -6.286  |8.87     |A                  |    ~     ~    |    1|  486.902   pc  |  -5.2630     +5.2630  |paral   |2020yCat.1350....0G
4331|HD 262645                                                                                                                                   |Star                              |06 43 50.1940315800 +20 57 28.996373232|193.3258294726903 +07.7897230436400|-10.877 -10.940  |9.48     |F0                 |    ~     ~    |    1|  240.541   pc  |  -1.0125     +1.0125  |paral   |2020yCat.1350....0G
4332|HD 262700                                                                                                                                   |Star                              |06 44 01.5388170960 +20 55 17.026199652|193.3786723319271 +07.8132171655400|   7.664 -9.835  |8.90     |K5                 |    ~     ~    |    1|  398.311   pc  |  -3.5221     +3.5221  |paral   |2020yCat.1350....0G
4333|HD 262731                                                                                                                                   |Star                              |06 44 12.5773311648 +21 08 04.504880184|193.2044698948574 +07.9455660782074|  -3.644 -1.718  |10.32    |K5                 |    ~     ~    |    1| 1536.334   pc  | -35.4048    +35.4048  |paral   |2020yCat.1350....0G
4334|HD 260720                                                                                                                                   |Rotating Variable                 |06 37 40.0645628520 +20 32 46.775854500|193.0516018669374 +06.3148583022986|  -0.833 -3.536  |9.688    |A2                 |    ~     ~    |    1|  898.796   pc  | -13.7332    +13.7332  |paral   |2020yCat.1350....0G
4335|TYC 1337-1608-1                                                                                                                             |Star                              |06 37 47.1453333360 +20 06 37.332533124|193.4560064776225 +06.1439604102880|   1.271 -2.988  |10.47    |A2                 |    ~     ~    |    1| 1084.599   pc  | -19.6451    +19.6451  |paral   |2020yCat.1350....0G
4336|HD 260752                                                                                                                                   |Star                              |06 37 42.5952526008 +20 05 48.400927260|193.4601807087180 +06.1219493369087|   1.284 -7.697  |9.35     |K0                 |    ~     ~    |    1|  551.755   pc  |  -4.5056     +4.5056  |paral   |2020yCat.1350....0G
4337|HD 261350                                                                                                                                   |Star                              |06 39 37.3857514680 +20 47 08.078860392|193.0420308417507 +06.8309489858756|  -0.301 -2.712  |10.35    |A2                 |    ~     ~    |    1|  674.354   pc  | -17.7809    +17.7809  |paral   |2020yCat.1350....0G
4338|HD 261378                                                                                                                                   |Star                              |06 39 41.6552566296 +20 47 10.022091576|193.0490100860558 +06.8460779937154|  -0.497 -2.362  |10.09    |A2                 |    ~     ~    |    1|  644.247   pc  | -10.3764    +10.3764  |paral   |2020yCat.1350....0G
4339|AG+20 713                                                                                                                                   |Long-Period Variable Candidate    |06 39 59.2015586952 +20 29 11.378795172|193.3498410200905 +06.7737708437792| -2.419 -23.886  |7.98     |~                  |    ~     ~    |    1|  498.753   pc  |  -8.5820     +8.5820  |paral   |2020yCat.1350....0G
4340|HD 261511                                                                                                                                   |Star                              |06 40 07.0777896576 +20 00 08.592947496|193.7998918600352 +06.5853495468323|   1.097 -8.282  |9.92     |K0                 |    ~     ~    |    1|  787.650   pc  | -12.5319    +12.5319  |paral   |2020yCat.1350....0G
4341|HD 261730                                                                                                                                   |Star                              |06 40 51.6480743160 +20 45 08.787449808|193.2016366756196 +07.0752906856338|   3.220 18.988  |9.42     |G5                 |    ~     ~    |    1|  271.503   pc  |  -1.0099     +1.0099  |paral   |2020yCat.1350....0G
4342|HD 47753                                                                                                                                    |Star                              |06 41 03.2536652328 +20 38 43.715695308|193.3184502803079 +07.0682902937535|    0.411 1.236  |7.41     |G5                 |    ~     ~    |    1|  235.527   pc  |  -1.2759     +1.2759  |paral   |2020yCat.1350....0G
4343|HD 47813                                                                                                                                    |Star                              |06 41 19.1844724968 +19 58 00.650852544|193.9586619197935 +06.8222501787116|    2.742 5.086  |8.23     |A0                 |    ~     ~    |    1|  286.148   pc  |  -2.2026     +2.2026  |paral   |2020yCat.1350....0G
4344|HD 262059                                                                                                                                   |Star                              |06 41 53.9443930848 +20 29 34.431858888|193.5447016546358 +07.1777494686936|-21.596 -30.558  |9.23     |G0                 |    ~     ~    |    1|  127.436   pc  |  -0.2680     +0.2680  |paral   |2020yCat.1350....0G
4345|HD 262095                                                                                                                                   |Star                              |06 42 00.0631068024 +20 12 31.027947228|193.8121298157184 +07.0730192103274| -4.652 -11.401  |9.59     |F0                 |    ~     ~    |    1|  342.877   pc  |  -1.9868     +1.9868  |paral   |2020yCat.1350....0G
4346|HD 262096                                                                                                                                   |Star                              |06 41 56.7334915224 +20 07 22.088638920|193.8837799132297 +07.0232434917710|  -4.644 10.184  |8.69     |F8                 |    ~     ~    |    1|   94.834   pc  |  -0.1448     +0.1448  |paral   |2020yCat.1350....0G
4347|HD 48076                                                                                                                                    |Star                              |06 42 24.2993955456 +20 42 41.977742112|193.3998731469654 +07.3808131077109|  0.188 -24.598  |9.05     |A3                 |    ~     ~    |    1|  245.489   pc  |  -1.2595     +1.2595  |paral   |2020yCat.1350....0G
4348|HD 262253                                                                                                                                   |Star                              |06 42 30.7918225368 +20 10 32.485932804|193.8955993879382 +07.1661014110357| -4.575 -43.472  |9.00     |F5                 |    ~     ~    |    1|  155.410   pc  |  -0.3889     +0.3889  |paral   |2020yCat.1350....0G
4349|TYC 1338-1857-1                                                                                                                             |Star                              |06 42 33.1339719024 +20 09 15.605691264|193.9189854493001 +07.1648429571716|  2.372 -16.911  |10.08    |K0                 |    ~     ~    |    1|  734.592   pc  |  -9.6053     +9.6053  |paral   |2020yCat.1350....0G
4350|HD 262281                                                                                                                                   |Star                              |06 42 34.2403173792 +20 10 55.597972008|193.8958264578172 +07.1810365693441|   -5.237 0.470  |9.71     |K0                 |    ~     ~    |    1|  945.805   pc  | -17.8015    +17.8015  |paral   |2020yCat.1350....0G
4351|HD 262280                                                                                                                                   |Star                              |06 42 34.9540423200 +20 17 44.865260700|193.7943531314644 +07.2339269509921| -6.508 -18.208  |9.66     |F2                 |    ~     ~    |    1|  167.569   pc  |  -0.4352     +0.4352  |paral   |2020yCat.1350....0G
4352|HD 262336                                                                                                                                   |Star                              |06 42 50.8020628368 +20 30 23.594341392|193.6314627405673 +07.3827409784588| 20.630 -13.795  |9.30     |F8                 |    ~     ~    |    1|  156.292   pc  |  -0.4714     +0.4714  |paral   |2020yCat.1350....0G
4353|HD 48197                                                                                                                                    |Star                              |06 43 00.0316643424 +19 58 11.251608276|194.1327446420682 +07.1773947689211|  -0.845 -2.202  |8.68     |B9                 |    ~     ~    |    1|  739.208   pc  | -16.9393    +16.9393  |paral   |2020yCat.1350....0G
4354|HD 262560                                                                                                                                   |Star                              |06 43 31.1857652544 +20 23 46.947651000|193.8014234667157 +07.4754357482122|   0.017 -0.365  |9.38     |G5                 |    ~     ~    |    1|  454.380   pc  |  -3.6131     +3.6131  |paral   |2020yCat.1350....0G
4355|HD 48494                                                                                                                                    |Star                              |06 44 30.0674374224 +20 41 34.847926836|193.6350304166224 +07.8124470136743|  -8.259 -4.762  |7.05     |A0                 |    ~     ~    |    1|  184.512   pc  |  -1.1439     +1.1439  |paral   |2020yCat.1350....0G
4356|HD 48532                                                                                                                                    |Star                              |06 44 38.5242028224 +19 59 15.423914112|194.2886241439486 +07.5311927956754|   0.404 -0.724  |8.65     |B2V:               |    ~     ~    |    1|  798.467   pc  | -28.4985    +28.4985  |paral   |2020yCat.1350....0G
4357|HD 263027                                                                                                                                   |Star                              |06 44 57.6040290504 +20 00 18.860824116|194.3059175977014 +07.6060106399507|  -0.303 -2.466  |9.08     |G5                 |    ~     ~    |    1|  875.733   pc  | -14.7247    +14.7247  |paral   |2020yCat.1350....0G
4358|V* DI Gem                                                                                                                                   |Long-Period Variable              |06 41 37.9442198232 +21 51 28.259313804|192.2824753894574 +07.7259787833874|   -0.214 2.427  |9.91     |M5                 |    ~     ~    |    1| 1079.331   pc  | -57.1993    +57.1993  |paral   |2020yCat.1350....0G
4359|V* AX Gem                                                                                                                                   |Long-Period Variable              |06 37 06.7577146680 +21 07 03.496585188|192.4792256333518 +06.4550633378831| -17.902 -1.434  |9.45     |M5                 |    ~     ~    |    1|  782.473   pc  | -32.8173    +32.8173  |paral   |2020yCat.1350....0G
4360|V* AD Gem                                                                                                                                   |Classical Cepheid Variable        |06 43 07.5117403056 +20 56 20.799066228|193.2690955828573 +07.6322961712417|  -0.525 -1.102  |9.80     |F5                 |    ~     ~    |    1| 2979.738   pc  |-174.9131   +174.9131  |paral   |2020yCat.1350....0G
4361|HD 47103                                                                                                                                    |Star                              |06 37 44.0721500952 +19 56 55.155035652|193.5958836069045 +06.0605800832283|  -1.394 -5.501  |9.16     |kA1hA7mF4SrCrSi    |    ~     ~    |    1|  359.635   pc  |  -2.8454     +2.8454  |paral   |2020yCat.1350....0G
4362|HD 261575                                                                                                                                   |Star                              |06 40 16.6424587968 +19 56 45.403744956|193.8675648378039 +06.5936698973731|  10.703 -2.450  |9.60     |F5                 |    ~     ~    |    1|  196.437   pc  |  -1.0148     +1.0148  |paral   |2020yCat.1350....0G
4363|HD 261871                                                                                                                                   |High Proper Motion Star           |06 41 16.8249727056 +19 54 44.529087492|194.0036456936910 +06.7897206056117|  6.315 -71.669  |10.39    |K0                 |    ~     ~    |    1|  169.601   pc  |  -0.8572     +0.8572  |paral   |2020yCat.1350....0G
4364|HD 46899                                                                                                                                    |Star                              |06 36 42.5377036488 +19 42 12.914959500|193.7067661762883 +05.7348992309788|  -6.189 -8.735  |8.85     |A2                 |    ~     ~    |    1|  489.860   pc  |  -9.9345     +9.9345  |paral   |2020yCat.1350....0G
4365|HD 260564                                                                                                                                   |Star                              |06 37 05.2991508600 +19 45 10.374670296|193.7029622367950 +05.8368071592776| 10.338 -34.272  |10.2     |K5                 |    ~     ~    |    1|   31.603   pc  |  -0.0157     +0.0157  |paral   |2020yCat.1350....0G
4366|HD 47177                                                                                                                                    |Double or Multiple Star           |06 38 07.0983 +19 52 38.686            |193.7006388 +06.1091816            |   14.10 -28.30  |8.87     |G                  |    ~     ~    |    0|                |                       |        |                   
4367|HD 47379                                                                                                                                    |Pulsating Variable                |06 39 03.2447897256 +19 35 43.890627264|194.0533808706867 +06.1795194558127|  -5.910 -4.137  |8.43     |F0                 |    ~     ~    |    1|  238.641   pc  |  -1.7256     +1.7256  |paral   |2020yCat.1350....0G
4368|TYC 1337-711-1                                                                                                                              |Star                              |06 39 24.0363181488 +19 25 51.931341012|194.2380439894058 +06.1788091449882| -10.990 -8.997  |10.29    |G0                 |    ~     ~    |    1|  157.309   pc  |  -9.0522     +9.0522  |paral   |2020yCat.1350....0G
4369|HD 47526                                                                                                                                    |Star                              |06 39 54.5261300496 +19 52 19.187893740|193.8952099649771 +06.4831201029550|  -5.422 -8.257  |9.44     |A                  |    ~     ~    |    1|  414.113   pc  |  -4.9903     +4.9903  |paral   |2020yCat.1350....0G
4370|HD 47574                                                                                                                                    |High Proper Motion Star           |06 40 02.0872955280 +19 39 27.957885048|194.1014040754955 +06.4138809684280|-10.164 -73.815  |7.25     |K0                 |    ~     ~    |    1|  186.425   pc  |  -0.8167     +0.8167  |paral   |2020yCat.1350....0G
4371|HD 261512                                                                                                                                   |Star                              |06 40 05.5973024136 +19 35 05.225172324|194.1732918884030 +06.3935715332073|   1.821 -4.832  |10.03    |M0                 |    ~     ~    |    1| 1114.082   pc  | -21.7206    +21.7206  |paral   |2020yCat.1350....0G
4372|HD 261541                                                                                                                                   |Star                              |06 40 11.5392727464 +19 46 25.912458120|194.0135572479375 +06.4989332535286|  0.607 -24.994  |8.80     |K0                 |    ~     ~    |    1|  428.835   pc  |  -3.4757     +3.4757  |paral   |2020yCat.1350....0G
4373|HD 47630                                                                                                                                    |Star                              |06 40 23.3967818568 +19 25 24.264787620|194.3499953239141 +06.3839506029693|  -2.096 -5.526  |8.71     |A2                 |    ~     ~    |    1|  713.267   pc  | -12.7696    +12.7696  |paral   |2020yCat.1350....0G
4374|TYC 1338-1549-1                                                                                                                             |Hot Subdwarf Candidate            |06 40 23.5166130360 +19 25 05.739510612|194.3548388826040 +06.3820712343072|  -0.377 -2.813  |10.70    |~                  |    ~     ~    |    1| 1425.110   pc  |-127.3399   +127.3399  |paral   |2020yCat.1350....0G
4375|HD 47775                                                                                                                                    |Star                              |06 41 02.3034295272 +19 47 05.280450720|194.0931171159821 +06.6819345691518|  -3.549 -5.058  |9.19     |A2                 |    ~     ~    |    1|  988.045   pc  | -65.7981    +65.7981  |paral   |2020yCat.1350....0G
4376|HD 261805                                                                                                                                   |Star                              |06 41 06.5079408936 +19 47 06.666544176|194.1001679973371 +06.6968627875561|   1.059 -4.641  |9.91     |A0                 |    ~     ~    |    1|  835.003   pc  | -66.0277    +66.0277  |paral   |2020yCat.1350....0G
4377|HD 261872                                                                                                                                   |Rotating Variable                 |06 41 14.3595172680 +19 47 36.098655972|194.1066099579246 +06.7280636692464|       2.5 -8.4  |9.590    |F8                 |    ~     ~    |    0|                |                       |        |                   
4378|HD 47814                                                                                                                                    |Star                              |06 41 14.4597484488 +19 24 35.225849376|194.4524523057270 +06.5574055061473|  -1.381 -7.488  |9.12     |F8                 |    ~     ~    |    1|  374.925   pc  |  -2.0664     +2.0664  |paral   |2020yCat.1350....0G
4379|HD 262062                                                                                                                                   |Star                              |06 41 53.9888221488 +19 44 39.174203940|194.2205935152975 +06.8453272198534|  -23.021 8.332  |9.27     |F5                 |    ~     ~    |    1|  200.509   pc  |  -0.8081     +0.8081  |paral   |2020yCat.1350....0G
4380|HD 262309                                                                                                                                   |Star                              |06 42 36.9259949904 +19 36 44.577996552|194.4149762992492 +06.9376130165579|   0.144 -0.977  |9.38     |A0                 |    ~     ~    |    1|  691.754   pc  | -16.9876    +16.9876  |paral   |2020yCat.1350....0G
4381|HD 262337                                                                                                                                   |Star                              |06 42 44.4326804472 +19 35 16.341909576|194.4502837136926 +06.9531234223383|  -1.213 -0.932  |8.39     |K0                 |    ~     ~    |    1|  742.832   pc  | -18.3197    +18.3197  |paral   |2020yCat.1350....0G
4382|HD 262394                                                                                                                                   |Star                              |06 42 54.9749250456 +19 29 18.484372644|194.5585272076109 +06.9460598565418|  -2.290 -3.197  |9.43     |K8                 |    ~     ~    |    1| 1230.012   pc  | -32.8306    +32.8306  |paral   |2020yCat.1350....0G
4383|HD 262617                                                                                                                                   |Star                              |06 43 41.5807853448 +19 43 51.183595092|194.4213427263095 +07.2175278566646| -1.573 -17.891  |9.32     |A0                 |    ~     ~    |    1|  377.544   pc  |  -3.2071     +3.2071  |paral   |2020yCat.1350....0G
4384|HD 48566                                                                                                                                    |Star                              |06 44 52.5201721464 +19 31 39.496239588|194.7292776402096 +07.3772886247147|   -7.150 2.557  |8.150    |F0                 |    ~     ~    |    1|  312.266   pc  |  -2.6328     +2.6328  |paral   |2020yCat.1350....0G
4385|IRAS 06338+1951                                                                                                                             |Long-Period Variable Candidate    |06 36 49.9886913480 +19 48 52.312511304|193.6204570789097 +05.8109801946899|   3.648 -6.237  |10.26    |~                  |    ~     ~    |    1| 1617.86    pc  | -72.5041    +72.5041  |paral   |2020yCat.1350....0G
4386|IRAS 06356+1929                                                                                                                             |Variable Star                     |06 38 38.3513987808 +19 26 49.081527816|194.1427957269408 +06.0255002827323|   0.227 -1.249  |10.47    |~                  |    ~     ~    |    1| 1519.757   pc  | -43.4216    +43.4216  |paral   |2020yCat.1350....0G
4387|IRAS 06364+2211                                                                                                                             |Star                              |06 39 26.2754822232 +22 08 52.279764792|191.7930758704543 +07.3981447451885|  -0.680 -9.834  |8.93     |~                  |    ~     ~    |    1| 1234.568   pc  | -46.9441    +46.9441  |paral   |2020yCat.1350....0G
4388|HD 48565                                                                                                                                    |Spectroscopic Binary              |06 44 54.9126657408 +20 51 38.338708500|193.5260060052301 +07.9730956769148|   91.436 9.080  |7.183    |hF8gF8mF3          |    ~     ~    |    1|   49.951   pc  |  -0.2108     +0.2108  |paral   |2020yCat.1350....0G
4389|TYC 1337-41-1                                                                                                                               |Star                              |06 37 18.9822539952 +19 52 10.583815800|193.6224469349554 +05.9372424727099|   3.957 -7.549  |9.32     |~                  |    ~     ~    |    1|  570.907   pc  |  -5.6713     +5.6713  |paral   |2020yCat.1350....0G
4390|HD 261041                                                                                                                                   |Star                              |06 38 40.6315147728 +20 33 56.805001128|193.1405903289681 +06.5348436357934|  -0.138 -2.895  |10.99    |A0IV-VCr           |    ~     ~    |    1|  779.910   pc  | -17.7612    +17.7612  |paral   |2020yCat.1350....0G
4391|TYC 1337-85-1                                                                                                                               |Star                              |06 33 57.7172342280 +20 36 48.828489408|192.5983072450050 +05.5708832986471|    1.779 1.506  |9.74     |~                  |    ~     ~    |    1| 1263.424   pc  | -26.0187    +26.0187  |paral   |2020yCat.1350....0G
4392|TYC 1337-325-1                                                                                                                              |Star                              |06 34 54.4391311656 +19 47 49.279748892|193.4305887461256 +05.3989263171889|  -3.469 -7.074  |9.74     |~                  |    ~     ~    |    1|  668.941   pc  | -16.3331    +16.3331  |paral   |2020yCat.1350....0G
4393|TYC 1337-415-1                                                                                                                              |High Proper Motion Star           |06 35 20.4081430800 +20 35 40.634842380|192.7617824265783 +05.8500063230461|-15.409 -85.298  |10.65    |~                  |    ~     ~    |    1|  133.364   pc  |  -0.7861     +0.7861  |paral   |2020yCat.1350....0G
4394|TYC 1337-428-1                                                                                                                              |High Proper Motion Star           |06 38 08.0164559016 +20 18 48.377749896|193.3102718259801 +06.3079961612335| 12.988 -91.204  |10.33    |~                  |    ~     ~    |    1|   96.620   pc  |  -0.1774     +0.1774  |paral   |2020yCat.1350....0G
4395|TYC 1337-470-1                                                                                                                              |Star                              |06 34 04.3036673232 +19 57 39.689116452|193.1943417525985 +05.2981206820793|   1.422 -2.150  |10.39    |~                  |    ~     ~    |    1|  536.538   pc  |  -6.5347     +6.5347  |paral   |2020yCat.1350....0G
4396|TYC 1337-496-1                                                                                                                              |Star                              |06 36 48.6320501520 +20 20 57.051700440|193.1380676824198 +06.0469086991933|    2.275 1.020  |10.28    |~                  |    ~     ~    |    0|                |                       |        |                   
4397|TYC 1337-520-1                                                                                                                              |Star                              |06 35 09.5571257928 +19 43 30.210411252|193.5219994201179 +05.4192113865504|   -4.323 9.469  |9.92     |~                  |    ~     ~    |    1|  582.072   pc  | -31.3059    +31.3059  |paral   |2020yCat.1350....0G
4398|TYC 1337-541-1                                                                                                                              |Star                              |06 36 02.9745471840 +20 32 10.832248752|192.8893372987836 +05.9719639124533|    0.802 1.748  |10.35    |~                  |    ~     ~    |    1|  653.552   pc  |  -6.1507     +6.1507  |paral   |2020yCat.1350....0G
4399|TYC 1337-550-1                                                                                                                              |Star                              |06 38 49.9965749256 +19 37 26.922288936|194.0041986427904 +06.1458741834695|   2.415 -2.591  |10.35    |~                  |    ~     ~    |    1| 1046.792   pc  | -13.6972    +13.6972  |paral   |2020yCat.1350....0G
4400|TYC 1337-590-1                                                                                                                              |Star                              |06 35 02.2178959104 +19 55 58.895733108|193.3226214705593 +05.4876640155560|  3.390 -14.646  |10.69    |~                  |    ~     ~    |    1|  389.772   pc  |  -3.6765     +3.6765  |paral   |2020yCat.1350....0G
4401|TYC 1337-595-1                                                                                                                              |Star                              |06 37 58.4360515848 +19 47 44.761456968|193.7586671979171 +06.0421806230448|   0.876 -3.914  |9.76     |~                  |    ~     ~    |    1|  836.470   pc  | -43.5202    +43.5202  |paral   |2020yCat.1350....0G
4402|TYC 1337-607-1                                                                                                                              |Star                              |06 39 36.0217850376 +20 31 46.266053412|193.2704375777853 +06.7119942543986| -10.495 -5.131  |10.24    |~                  |    ~     ~    |    1|  125.337   pc  |  -0.5938     +0.5938  |paral   |2020yCat.1350....0G
4403|TYC 1337-632-1                                                                                                                              |Star                              |06 38 21.3957630168 +19 51 18.528901524|193.7459414489158 +06.1492554395466|  -0.710 -4.866  |10.75    |~                  |    ~     ~    |    1| 1151.410   pc  | -23.4657    +23.4657  |paral   |2020yCat.1350....0G
4404|TYC 1337-750-1                                                                                                                              |Star                              |06 36 34.2944917464 +20 20 06.589680252|193.1253139285870 +05.9905776532729|   0.626 -7.448  |10.78    |~                  |    ~     ~    |    1|  766.460   pc  |  -9.3994     +9.3994  |paral   |2020yCat.1350....0G
4405|TYC 1337-803-1                                                                                                                              |Star                              |06 37 54.1314373008 +20 20 03.828905484|193.2669515113855 +06.2689006156366|  -2.683 -7.355  |10.65    |~                  |    ~     ~    |    1|  813.471   pc  | -68.4234    +68.4234  |paral   |2020yCat.1350....0G
4406|TYC 1337-813-1                                                                                                                              |Star                              |06 39 57.3326806320 +20 10 11.038256976|193.6320077268265 +06.6259306254075|   1.089 -8.011  |10.66    |~                  |    ~     ~    |    1|  709.572   pc  | -15.7090    +15.7090  |paral   |2020yCat.1350....0G
4407|TYC 1337-956-1                                                                                                                              |Star                              |06 35 23.0701990200 +19 57 22.601912796|193.3388928824015 +05.5710240719036|   0.400 -1.708  |10.01    |~                  |    ~     ~    |    1|  361.781   pc  |  -3.0758     +3.0758  |paral   |2020yCat.1350....0G
4408|TYC 1337-957-1                                                                                                                              |Star                              |06 38 32.9557172256 +20 22 45.267864960|193.2949924698038 +06.4245811804805| -3.371 -28.713  |10.31    |~                  |    ~     ~    |    1|  320.523   pc  |  -1.9109     +1.9109  |paral   |2020yCat.1350....0G
