C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
51  |TYC 3117-1753-1                                                       |Star                           |18 33 54.7149844248 +44 45 55.733678496|073.3091496553490 +21.6774554859337|  11.450 -0.177   |10.80    |~               |    ~     ~    
52  |TYC 3117-1945-1                                                       |Star                           |18 36 40.6735196328 +44 52 02.088457536|073.5716323282294 +21.2400850803573|    5.722 3.867   |10.58    |~               |    ~     ~    
53  |TYC 3117-1953-1                                                       |Star                           |18 38 12.6767094984 +44 43 20.013289032|073.5128071768913 +20.9367335594565| -6.604 -11.960   |10.10    |~               |    ~     ~    
54  |TYC 3130-372-1                                                        |Star                           |18 43 18.4513761192 +44 57 50.645637936|074.0609821204672 +20.1550376745177|    0.703 4.303   |10.97    |~               |    ~     ~    
55  |TYC 3130-736-1                                                        |Star                           |18 40 00.9978017400 +44 53 58.786421640|073.7994693358945 +20.6873198423346|   5.318 12.309   |10.77    |~               |    ~     ~    
56  |TYC 3527-58-1                                                         |High Proper Motion Star        |18 39 39.3721610904 +45 13 20.231845608|074.1063446607589 +20.8479579162156|-25.585 -85.023   |9.56     |~               |    ~     ~    
57  |TYC 3527-77-1                                                         |Star                           |18 39 18.9351678432 +45 09 51.391639476|074.0274692676087 +20.8871307462350|   -4.135 8.439   |10.82    |~               |    ~     ~    
58  |TYC 3527-121-1                                                        |Star                           |18 36 14.6857858032 +45 00 56.758825728|073.6987057081005 +21.3580487322260|   7.277 -4.802   |9.84     |~               |    ~     ~    
59  |TYC 3527-134-1                                                        |Star                           |18 39 26.5471984344 +45 08 45.105916920|074.0161128638555 +20.8601735993281| -5.608 -21.084   |10.79    |~               |    ~     ~    
60  |TYC 3527-154-1                                                        |Star                           |18 44 17.2957146744 +45 00 18.489269304|074.1616738964421 +20.0039856570243|  -4.981 -3.270   |10.77    |~               |    ~     ~    
