C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
3664|HD 349036                                                             |Star                           |18 38 09.7054073112 +21 00 16.246975896|050.4603919055798 +12.2129804445926|  -1.505 -5.760   |10.82    |A0              |    ~     ~    
3665|HD 349070                                                             |Star                           |18 38 14.8485562200 +20 09 44.750511900|049.6868016466214 +11.8427731135276|  -2.962 -2.686   |10.41    |K2              |    ~     ~    
3666|HD 349069                                                             |Star                           |18 38 18.2911935840 +20 10 50.277917136|049.7094541094036 +11.8381820726515|   12.121 4.347   |10.62    |F2              |    ~     ~    
3667|HD 349071                                                             |Star                           |18 38 20.7401618664 +20 10 01.129068624|049.7008950640510 +11.8237615905507|   0.167 -7.319   |10.27    |M0              |    ~     ~    
3668|HD 349056                                                             |Star                           |18 39 55.6205895840 +20 30 09.537528024|050.1709683884853 +11.6281922523357|  -8.174 -0.213   |10.67    |G5              |    ~     ~    
3669|HD 349055                                                             |Spectroscopic Binary           |18 40 02.7072812760 +20 37 35.998812408|050.2977375118919 +11.6551830917164|  7.967 -13.651   |10.89    |G5              |    ~     ~    
3670|HD 349078                                                             |Star                           |18 40 20.5727126208 +20 09 59.801264208|049.9017320135784 +11.3983554407775|   2.228 -9.048   |10.09    |K0              |    ~     ~    
3671|HD 349179                                                             |Star                           |18 40 44.3541567360 +20 10 33.697531092|049.9504456331234 +11.3179883547419|  -2.262 -3.088   |10.74    |A3              |    ~     ~    
3672|HD 349165                                                             |Star                           |18 41 23.1784070520 +20 24 15.449256792|050.2267685480744 +11.2767279168506| -2.420 -16.662   |10.45    |K7              |    ~     ~    
3673|HD 349177                                                             |Star                           |18 41 26.5217062056 +20 12 18.178102764|050.0482569239409 +11.1807592272791|   7.551 -6.591   |10.81    |K2              |    ~     ~    
3674|HD 349154                                                             |Star                           |18 41 44.9672885808 +20 56 06.660753792|050.7543425684622 +11.4233833266317|   7.156 -4.736   |9.95     |K0              |    ~     ~    
3675|HD 349175                                                             |Star                           |18 41 48.5680613016 +20 10 45.382382076|050.0615973058608 +11.0917312435805|  -0.021 -8.831   |10.07    |A2              |    ~     ~    
3676|HD 349172                                                             |Star                           |18 42 41.4525606048 +20 12 26.485947936|050.1767248740245 +10.9162697363797|  -5.297 38.592   |10.61    |G5              |    ~     ~    
3677|HD 349159                                                             |Star                           |18 42 42.5752916232 +20 43 06.710971764|050.6504716479492 +11.1286049199724| -3.394 -24.355   |10.33    |K0              |    ~     ~    
3678|HD 349157                                                             |Spectroscopic Binary           |18 43 08.4775582296 +20 57 10.090588896|050.9103144525586 +11.1361214472412| -7.143 -32.750   |10.54    |K0              |    ~     ~    
3679|HD 349267                                                             |Star                           |18 43 24.9839479392 +20 30 40.665648528|050.5304732648343 +10.8910653615197|   12.414 6.936   |10.92    |K0              |    ~     ~    
3680|HD 349250                                                             |Star                           |18 43 40.5434383824 +20 42 09.862432128|050.7332567387281 +10.9172073575680|   1.981 -4.865   |9.91     |A0              |    ~     ~    
3681|HD 349269                                                             |Star                           |18 43 52.4255160456 +20 20 41.570151108|050.4233384061060 +10.7234327497183|  -10.096 9.986   |10.53    |F8              |    ~     ~    
3682|HD 349240                                                             |Star                           |18 44 07.0460630736 +21 06 10.720425420|051.1470825501219 +10.9931398888898|   4.226 -2.637   |9.79     |K5              |    ~     ~    
3683|HD 349261                                                             |Star                           |18 44 39.276 +20 25 53.61              |050.582316 +10.594646              |       7.6 -5.3   |10.63    |F5              |    ~     ~    
3684|HD 342629                                                             |Spectroscopic Binary           |18 36 08.3563507032 +21 37 47.968587372|050.8435051916014 +12.9009122974877|    0.517 8.548   |10.65    |K5              |    ~     ~    
3685|HD 342643                                                             |Star                           |18 37 00.9319463640 +21 09 27.033853392|050.4890311258559 +12.5197638347387|   0.078 -1.548   |10.51    |A0              |    ~     ~    
3686|HD 342641                                                             |Star                           |18 36 58.4169800568 +21 22 03.284251212|050.6807451764999 +12.6157353351087|   0.740 -6.680   |10.46    |A7              |    ~     ~    
3687|HD 342724                                                             |High Proper Motion Star        |18 37 43.3042665552 +21 58 11.620266744|051.3164736732913 +12.7066234706802|-34.309 -90.088   |10.49    |F8              |    ~     ~    
3688|HD 342739                                                             |Star                           |18 37 42.0218976432 +21 08 03.266107188|050.5352687173745 +12.3648431619970|  -0.666 -6.120   |10.70    |F5              |    ~     ~    
3689|HD 342729                                                             |Star                           |18 39 11.4451875960 +21 58 00.355282608|051.4579823745121 +12.3952864148310|  7.094 -15.742   |10.79    |G0              |    ~     ~    
3690|HD 342823                                                             |Star                           |18 39 58.9179121344 +21 59 46.263201288|051.5633239878903 +12.2406322182505|  1.960 -14.995   |10.71    |K0              |    ~     ~    
3691|HD 342837                                                             |Star                           |18 40 02.2501263384 +21 36 57.214938888|051.2150945575002 +12.0706303874288|  -3.072 -7.851   |10.46    |F0              |    ~     ~    
3692|HD 342824                                                             |Star                           |18 40 36.3129205752 +21 53 17.265284484|051.5243333828646 +12.0642500857957|  -11.261 7.998   |10.64    |K2              |    ~     ~    
3693|HD 342839                                                             |Star                           |18 41 04.0698705192 +21 29 21.474742236|051.1997832384820 +11.8000816853041|   0.973 -7.810   |9.30     |K2              |    ~     ~    
3694|HD 342846                                                             |Star                           |18 41 34.6329388392 +21 25 14.828116620|051.1869321823974 +11.6637619085647|  -1.980 -6.821   |10.87    |K7              |    ~     ~    
3695|HD 342820                                                             |Star                           |18 42 02.5461260592 +21 54 07.791062544|051.6796042306554 +11.7671591632128| 29.508 -13.281   |10.70    |F8              |    ~     ~    
3696|HD 342949                                                             |Star                           |18 42 34.7576369952 +21 37 31.161914112|051.4762669006798 +11.5379891019496|    5.116 7.100   |10.49    |F0              |    ~     ~    
3697|HD 342959                                                             |Star                           |18 42 43.788648 +21 29 01.44924        |051.360143131 +11.446762813        |        4.5 3.6   |9.83     |G0              |    ~     ~    
3698|HD 342937                                                             |Spectroscopic Binary           |18 43 08.9992590288 +22 02 31.970290524|051.9192596758661 +11.5926105776760|    0.695 1.284   |10.37    |A5              |    ~     ~    
3699|HD 342951                                                             |Star                           |18 43 20.9424248280 +21 41 16.519891128|051.6108909550814 +11.4019740465673|   3.602 -9.844   |10.51    |A5              |    ~     ~    
3700|HD 342966                                                             |High Proper Motion Star        |18 43 41.7247369344 +21 16 05.747478420|051.2573876947355 +11.1521317155789|-18.699 -73.132   |10.23    |F5              |    ~     ~    
3701|HD 342969                                                             |Spectroscopic Binary           |18 44 14.6911369896 +21 22 04.457559036|051.4044948427086 +11.0781971343043|   0.966 -3.398   |10.55    |G0              |    ~     ~    
3702|HD 342956                                                             |High Proper Motion Star        |18 44 41.9755719192 +21 31 50.755844640|051.6004494893271 +11.0510734229247|  2.103 -67.322   |10.00    |F2              |    ~     ~    
3703|HD 171781                                                             |Star                           |18 35 57.9192264240 +19 53 00.166369776|049.1982701644390 +12.2128045343793|   3.415 22.271   |8.60     |G0              |    ~     ~    
3704|HD 171873                                                             |Star                           |18 36 20.4750988488 +20 00 24.409182708|049.3507390656659 +12.1841017821538|   5.687 -2.729   |7.79     |A0              |    ~     ~    
3705|HD 348981                                                             |Variable Star                  |18 37 09.5800522968 +19 37 26.355554652|049.0777805730160 +11.8489816020511|  -2.439 -2.565   |9.78     |A0              |    ~     ~    
3706|HD 349088                                                             |Star                           |18 40 05.4018744816 +19 41 48.041518380|049.4416614233462 +11.2538984349341|   0.577 -1.150   |8.81     |A0              |    ~     ~    
3707|HD 172571                                                             |Star                           |18 40 19.6720192104 +19 42 44.469126180|049.4802667295221 +11.2097927465714|  -4.950 -8.673   |8.35     |A0              |    ~     ~    
3708|HD 349079                                                             |Star                           |18 40 37.0310818776 +19 58 49.485155448|049.7572768514214 +11.2613996997411|   8.080 -7.750   |8.91     |A2              |    ~     ~    
3709|HD 349204                                                             |Star                           |18 40 48.2990273880 +19 46 55.940978820|049.5931854391972 +11.1376054175213|  0.006 -18.361   |9.18     |F0              |    ~     ~    
3710|HD 349183                                                             |Star                           |18 40 51.0947974368 +19 56 19.261340664|049.7424421390089 +11.1938477393071|  -2.410 -6.298   |8.72     |M0              |    ~     ~    
3711|HD 349185                                                             |Star                           |18 41 07.0746493080 +19 55 12.352417932|049.7522531583531 +11.1292648070888|    0.368 1.595   |9.96     |G5              |    ~     ~    
3712|HD 349190                                                             |Star                           |18 42 13.8803597664 +19 58 05.275686612|049.9094858243502 +10.9125712082358|   1.403 -4.674   |8.59     |K0              |    ~     ~    
3713|HD 349189                                                             |Star                           |18 42 11.7858096624 +19 57 00.960088572|049.8894656451843 +10.9124246359464|-14.538 -29.008   |10.04    |F5              |    ~     ~    
3714|HD 349195                                                             |Star                           |18 42 30.0902870712 +19 56 42.434298996|049.9156898726264 +10.8453192204489|    1.594 0.735   |10.15    |F5              |    ~     ~    
3715|HD 349196                                                             |Star                           |18 42 31.8982600776 +19 54 38.620717308|049.8870441556242 +10.8243089700189|-17.500 -21.921   |8.75     |F5              |    ~     ~    
3716|HD 349194                                                             |Star                           |18 43 02.1515554128 +19 53 50.514675396|049.9259804192404 +10.7113323773965|   4.218 -0.846   |9.39     |A0              |    ~     ~    
3717|GSC 01591-00948                                                       |Double or Multiple Star        |18 43 00.5780077464 +19 54 39.191672952|049.9357701628367 +10.7226596741045|   1.052 -4.384   |10.23    |A2              |    ~     ~    
3718|HD 173171                                                             |Star                           |18 43 14.4901845336 +19 27 59.284209852|049.5502883920170 +10.4840758774905|    9.008 5.823   |7.29     |B9.5IV-V        |    ~     ~    
3719|HD 349287                                                             |Star                           |18 43 49.6628948232 +19 49 02.150321952|049.9328548844746 +10.5087528414443|  8.616 -13.683   |9.47     |A2              |    ~     ~    
3720|HD 349282                                                             |Star                           |18 44 15.1025536056 +20 01 31.310958792|050.1675167730325 +10.5072571036420| 23.710 -10.450   |9.45     |K0              |    ~     ~    
3721|HD 349293                                                             |Star                           |18 44 21.6081841728 +19 26 17.762777448|049.6388407815542 +10.2335916358228|  -3.109 -2.376   |10.90    |K5              |    ~     ~    
3722|HD 349288                                                             |Star                           |18 43 47.1833828808 +19 37 30.187911936|049.7518257459861 +10.4356019870663|  -2.169 -6.712   |10.45    |K5              |    ~     ~    
3723|HD 349286                                                             |Star                           |18 43 40.8465149928 +19 51 34.034543676|049.9567080614145 +10.5579877725137|  -1.988 -8.871   |10.97    |F5              |    ~     ~    
3724|HD 349198                                                             |Star                           |18 42 42.2166024456 +19 46 47.716162176|049.7839843050242 +10.7321356396345| -6.296 -10.188   |10.78    |K2              |    ~     ~    
3725|HD 349197                                                             |Star                           |18 42 43.9707915552 +19 50 46.262440356|049.8480105356798 +10.7540704110292|   1.290 -4.114   |10.40    |A7              |    ~     ~    
3726|HD 349188                                                             |Star                           |18 41 59.5462698528 +19 50 53.045414700|049.7744972602126 +10.9125117565971|   2.437 -0.428   |10.94    |K7              |    ~     ~    
3727|HD 349187                                                             |Star                           |18 41 49.8814478136 +19 53 44.693017980|049.8021254460011 +10.9670264352442|    4.377 0.197   |10.51    |A7              |    ~     ~    
3728|HD 349073                                                             |Star                           |18 38 06.7227047064 +20 00 23.590749528|049.5286057104915 +11.8062503989559| -5.018 -34.646   |10.94    |K0              |    ~     ~    
3729|HD 348979                                                             |Star                           |18 37 48.1665346896 +19 37 00.224181876|049.1360518288544 +11.7085062506138|   2.487 -4.867   |10.94    |K1              |    ~     ~    
3730|HD 348973                                                             |Star                           |18 37 33.3188915424 +19 57 39.622872996|049.4302991378465 +11.9058871937218| -9.059 -10.785   |10.92    |M0              |    ~     ~    
3731|HD 348968                                                             |Star                           |18 35 57.5452028592 +20 01 23.090376756|049.3275337921869 +12.2724770240027|  9.354 -10.006   |10.64    |K5              |    ~     ~    
3732|HD 348984                                                             |Star                           |18 36 18.8670870192 +19 42 20.387970036|049.0682943457568 +12.0638720303279|  16.274 15.296   |10.91    |K5              |    ~     ~    
3733|HD 348977                                                             |Star                           |18 37 41.4628177281 +19 41 45.024415666|049.1980754617893 +11.7656268146507|-13.031 -19.346   |10.99    |G5              |    ~     ~    
3734|HD 348976                                                             |Star                           |18 37 42.2503074960 +19 44 01.144792068|049.2344509933353 +11.7787083437821| -2.579 -10.513   |10.57    |M0              |    ~     ~    
3735|HD 348980                                                             |Star                           |18 37 44.7148428504 +19 35 42.444389796|049.1102145271936 +11.7117131948879|  0.718 -35.435   |10.58    |F8              |    ~     ~    
3736|HD 349094                                                             |Star                           |18 38 47.0431061568 +19 36 22.315297068|049.2256208160913 +11.4944630799059|   -9.314 3.855   |10.15    |K5              |    ~     ~    
3737|HD 349081                                                             |Star                           |18 40 00.8140695624 +19 54 44.142639228|049.6332092212758 +11.3612288679843|  -2.879 -7.159   |10.19    |M0              |    ~     ~    
3738|HD 349208                                                             |Star                           |18 40 41.6979304656 +19 30 15.899893272|049.3255592444050 +11.0434548469476|  -4.108 -3.326   |10.52    |K2              |    ~     ~    
3739|HD 349182                                                             |Star                           |18 40 46.8793244016 +19 58 04.199756160|049.7622616446530 +11.2211297227444|    5.779 5.512   |10.69    |F0              |    ~     ~    
3740|HD 349186                                                             |Star                           |18 41 46.9543098408 +19 55 44.700301956|049.8279332035418 +10.9915389283216|   8.400 -2.080   |10.94    |G5              |    ~     ~    
3741|HD 349201                                                             |Spectroscopic Binary           |18 42 29.3263131024 +19 37 18.590196036|049.6164705377783 +10.7106928899282|    0.732 4.106   |9.81     |K5              |    ~     ~    
3742|HD 349285                                                             |Star                           |18 43 38.7765979704 +20 01 39.107286012|050.1079303967969 +10.6368575759869|  7.277 -29.600   |9.99     |K5              |    ~     ~    
3743|HD 349284                                                             |Star                           |18 44 02.0854138872 +19 59 12.652367208|050.1099937229960 +10.5369622280339|    0.285 1.390   |10.37    |M0              |    ~     ~    
3744|IRAS 18392+2006                                                       |Long-Period Variable Candidate |18 41 23.3444420712 +20 09 47.693862720|050.0042865138073 +11.1743568901710|  -4.951 -8.809   |10.58    |~               |    ~     ~    
3745|IRAS 18399+2107                                                       |Long-Period Variable           |18 42 03.3549155760 +21 10 40.417756392|051.0096880304836 +11.4605985524865|   3.090 -1.266   |10.96    |~               |    ~     ~    
3746|IRAS 18409+2056                                                       |Star                           |18 43 08.2018536264 +20 59 37.340419704|050.9476439577389 +11.1543631021011|  -0.484 -3.568   |10.33    |~               |    ~     ~    
3747|HD 349090                                                             |Pulsating Variable             |18 39 50.7044307888 +19 24 55.916183952|049.1570461195172 +11.1873067839077|  -2.157 -3.557   |8.98     |A3              |    ~     ~    
3748|HD 349209                                                             |Star                           |18 40 53.6975364168 +19 26 19.228321284|049.2852592354829 +10.9728912763079|  -9.558 -7.151   |10.03    |K5              |    ~     ~    
3749|HD 229302                                                             |Star                           |18 43 10.1618923368 +19 22 46.641096372|049.4630304161582 +10.4624190731298|   1.256 -8.592   |8.964    |M0              |    ~     ~    
3750|HD 349211                                                             |Star                           |18 42 05.5671030216 +19 24 12.561507324|049.3749713149142 +10.7022735555239|   0.169 -5.430   |10.66    |K5              |    ~     ~    
3751|HD 349092                                                             |Star                           |18 39 10.7886666792 +19 25 47.445199104|049.1026567337967 +11.3355014973975|   2.106 13.568   |10.91    |K5              |    ~     ~    
3752|HD 348964                                                             |Star                           |18 37 13.2986218920 +20 12 00.986350572|049.6188996022565 +12.0772131347964|   0.011 -2.421   |10.20    |K0              |    ~     ~    
3753|TYC 1578-1821-1                                                       |Star                           |18 35 00.4037822472 +19 42 41.337914400|048.9420522368397 +12.3458949442805|-20.405 -11.043   |10.30    |~               |    ~     ~    
3754|TYC 1578-1859-1                                                       |Star                           |18 35 30.6960510888 +19 38 09.362925240|048.9226221902514 +12.2063513521032|  -2.286 -2.943   |10.92    |~               |    ~     ~    
3755|IRAS 18328+1938                                                       |Star                           |18 35 00.8191353336 +19 40 56.414434116|048.9156380325164 +12.3322471798779|  -5.865 -0.275   |9.75     |~               |    ~     ~    
3756|HD 229343                                                             |Star                           |18 44 29.0022253944 +19 36 30.641807412|049.8078588018361 +10.2801200147093| -1.068 -11.262   |9.760    |~               |    ~     ~    
3757|TYC 1591-714-1                                                        |Star                           |18 43 14.8789492296 +19 37 49.179518904|049.7017143709207 +10.5525351012220|   1.561 -6.357   |10.25    |~               |    ~     ~    
3758|TYC 1595-1149-1                                                       |Star                           |18 41 41.2467706008 +22 02 09.682429272|051.7687206216684 +11.8978654190573|   0.929 -3.378   |10.79    |~               |    ~     ~    
3759|TYC 1595-1235-1                                                       |Star                           |18 41 03.0546115896 +21 56 34.820940912|051.6193894169663 +11.9931591662464| -1.509 -40.741   |10.53    |~               |    ~     ~    
3760|TYC 1595-1337-1                                                       |Star                           |18 44 15.6696642528 +21 18 37.631623212|051.3530690853390 +11.0504860077659|  -1.707 -5.765   |10.32    |~               |    ~     ~    
3761|HD 342845                                                             |Star                           |18 42 17.7310354896 +21 21 00.863001360|051.1932002997415 +11.4823821498044|   0.623 -1.575   |9.79     |K5              |    ~     ~    
3762|HD 342508                                                             |Star                           |18 33 45.1068832752 +22 06 34.658383032|051.0594268412608 +13.6028386401409|   -1.229 1.767   |10.57    |M0              |    ~     ~    
3763|HD 342843                                                             |Star                           |18 42 06.7475983728 +21 29 07.413045144|051.3001319051389 +11.5777962140926|    0.911 1.518   |10.86    |K0              |    ~     ~    
3764|HD 349301                                                             |Star                           |18 44 08.3578766352 +19 21 08.171815500|049.5372150225233 +10.2438891944388|    0.321 2.332   |10.74    |K7              |    ~     ~    
3765|HD 170851                                                             |Star                           |18 30 33.3501740376 +24 22 52.209293736|052.9021382607137 +15.1881734080409|   4.931 13.355   |9.22     |F5              |    ~     ~    
3766|HD 170952                                                             |Star                           |18 31 07.7238971064 +24 35 35.736260820|053.1573871898010 +15.1523819602321|    7.773 3.052   |9.01     |A2              |    ~     ~    
3767|HD 171027                                                             |Star                           |18 31 33.0879078480 +25 03 02.894024844|053.6322260499501 +15.2449676801117|  10.869 -1.918   |8.91     |F0              |    ~     ~    
3768|HD 336410                                                             |Star                           |18 31 35.4477613512 +24 56 44.411994960|053.5357531364631 +15.1952989689958|   25.556 4.732   |9.00     |M0              |    ~     ~    
3769|HD 171260                                                             |Star                           |18 32 48.2989647024 +24 08 30.695371584|052.8858287082558 +14.6226610670734|  -1.243 26.950   |8.20     |F0              |    ~     ~    
3770|V* V1136 Her                                                          |gamma Dor Variable             |18 32 47.8634484432 +24 40 45.340557996|053.3948007958484 +14.8382992235388|  22.587 18.322   |7.723    |F0              |    ~     ~    
3771|HD 171276                                                             |Star                           |18 32 58.0192931328 +24 50 38.444080092|053.5670157145012 +14.8684712143229|   10.188 8.636   |9.29     |G               |    ~     ~    
3772|HD 171165                                                             |Star                           |18 32 09.7687256280 +24 04 38.392801392|052.7641980092038 +14.7312564374403|   0.265 -4.976   |9.44     |F               |    ~     ~    
3773|HD 342320                                                             |Star                           |18 30 05.8901476944 +24 17 39.500135160|052.7767216763638 +15.2495549099631|   -8.969 0.877   |10.27    |K0              |    ~     ~    
3774|HD 336430                                                             |Star                           |18 33 35.0013734400 +24 29 20.638615560|053.2879674487714 +14.5987228803622|  -2.449 -2.154   |10.99    |K5              |    ~     ~    
3775|HD 336429                                                             |Star                           |18 33 29.1812898408 +24 28 54.427020168|053.2719665155057 +14.6160528262471|   2.699 -3.454   |10.83    |K7              |    ~     ~    
3776|HD 336425                                                             |Star                           |18 32 35.5626156960 +24 34 14.182864140|053.2725000810154 +14.8378651768768|    0.796 3.625   |9.47     |M0              |    ~     ~    
3777|HD 336424                                                             |Star                           |18 31 38.9443691736 +24 32 02.180444388|053.1495018310000 +15.0202498399986|   1.908 39.078   |10.23    |F5              |    ~     ~    
3778|HD 336423                                                             |Star                           |18 31 23.3081216064 +24 32 52.848820176|053.1385618552948 +15.0802405752435|   4.478 -1.932   |10.72    |G5              |    ~     ~    
3779|HD 336417                                                             |Star                           |18 31 41.2563918864 +24 39 55.383736788|053.2780630514076 +15.0642939987767|  -6.280 13.821   |10.05    |G5              |    ~     ~    
3780|HD 336416                                                             |Star                           |18 31 57.4798258176 +24 41 01.941619848|053.3208381820041 +15.0152185260834|-14.035 -24.720   |10.46    |G5              |    ~     ~    
3781|HD 336414                                                             |Star                           |18 33 11.4964716912 +24 41 49.290105948|053.4484549231269 +14.7632688202576|   -1.455 5.091   |10.52    |K0              |    ~     ~    
3782|HD 336413                                                             |Star                           |18 32 49.3792050168 +24 52 13.510001064|053.5786839946164 +14.9089335045223|  0.764 -15.438   |10.73    |F8              |    ~     ~    
3783|HD 336412                                                             |Star                           |18 32 32.9670608712 +24 54 07.699072320|053.5833696485209 +14.9784593600751|   -1.437 0.715   |10.48    |F2              |    ~     ~    
3784|HD 336407                                                             |Star                           |18 30 50.4037707984 +25 05 46.531213044|053.6097806815229 +15.4109429022818|    0.077 4.154   |10.10    |K7              |    ~     ~    
3785|HD 336403                                                             |Star                           |18 31 38.4087765576 +25 03 10.549369188|053.6424605380194 +15.2273494269772| -0.835 -10.199   |10.88    |F5              |    ~     ~    
3786|HD 342426                                                             |Star                           |18 33 11.9729093304 +24 06 36.374668164|052.8929409133005 +14.5274478985104|  -0.815 -6.456   |10.40    |A2              |    ~     ~    
3787|HD 342424                                                             |Star                           |18 33 44.2499829480 +24 05 35.485144728|052.9277077117220 +14.4081848925730|    4.625 1.543   |10.54    |A7              |    ~     ~    
3788|HD 336298                                                             |Star                           |18 30 02.2969221600 +24 34 06.497006916|053.0322920631163 +15.3703447377509| -1.052 -12.375   |10.24    |K7              |    ~     ~    
3789|HD 342322                                                             |Star                           |18 30 14.5499849832 +24 19 29.919559008|052.8193994900716 +15.2314840635847|   -0.913 0.437   |10.51    |F0              |    ~     ~    
3790|HD 336419                                                             |Star                           |18 30 31.1607458712 +24 35 46.463907876|053.1034902000395 +15.2808078443578|   2.640 -0.140   |10.18    |A0              |    ~     ~    
3791|HD 342428                                                             |Star                           |18 32 28.3485376248 +24 07 22.746222192|052.8366316169025 +14.6846755977557| -1.074 -12.499   |10.35    |K5              |    ~     ~    
3792|HD 336426                                                             |Star                           |18 32 31.2235823544 +24 30 19.200741012|053.2037798841767 +14.8270007245689|   0.094 -0.810   |10.41    |K0              |    ~     ~    
3793|HD 342427                                                             |Star                           |18 33 02.4422028624 +24 13 36.751066356|052.9885651648973 +14.6073392483186|  6.259 -18.074   |10.11    |K5              |    ~     ~    
3794|HD 170828                                                             |Star                           |18 30 32.4216709992 +23 15 08.504065620|051.8287344580673 +14.7422320221315| -5.523 -11.809   |8.41     |K0              |    ~     ~    
3795|HD 342351                                                             |Star                           |18 30 59.4430798536 +23 20 44.141642052|051.9598601455802 +14.6847799127536|  -0.467 -7.755   |9.92     |K0              |    ~     ~    
3796|HD 170932                                                             |Star                           |18 31 00.5250873312 +23 51 11.810210220|052.4429523910149 +14.8837294878923|    1.163 7.530   |8.59     |F0              |    ~     ~    
3797|HD 342464                                                             |High Proper Motion Star        |18 31 41.8182830736 +23 09 40.211616852|051.8525289649687 +14.4622096629873|-73.123 -131.664  |9.51     |G5              |    ~     ~    
3798|HD 342463                                                             |High Proper Motion Star        |18 31 58.1727370560 +23 14 50.203867308|051.9599462420143 +14.4394610340501|-138.248 -11.688  |9.66     |G5              |    ~     ~    
3799|HD 171215                                                             |Star                           |18 32 29.5166284632 +23 07 47.316280512|051.8988023044701 +14.2822921282948| 10.959 -37.296   |7.62     |G5              |    ~     ~    
3800|HD 171245                                                             |Star                           |18 32 46.1547923088 +23 37 00.469708284|052.3854488205011 +14.4198819464298|   12.608 8.313   |5.84     |K5III           |    ~     ~    
3801|HD 171302                                                             |Star                           |18 33 09.9837145944 +23 43 20.084147508|052.5228502138318 +14.3789322039854|   0.960 -7.119   |8.91     |F0              |    ~     ~    
3802|HD 342436                                                             |Star                           |18 33 11.3142309744 +23 51 57.904493220|052.6609797373118 +14.4320030875673|   0.779 -3.761   |9.99     |G5              |    ~     ~    
3803|HD 342453                                                             |Star                           |18 33 37.5980741088 +23 18 27.229689576|052.1750306709845 +14.1154148027019|   1.356 11.281   |9.27     |K0              |    ~     ~    
3804|HD 170916                                                             |Star                           |18 30 59.0141760720 +22 47 53.592791748|051.4411507119118 +14.4665991385536|   1.806 -4.163   |9.21     |A0              |    ~     ~    
3805|HD 171010                                                             |Star                           |18 31 27.3544372296 +22 59 09.553156620|051.6638663971381 +14.4425458877455|  20.689 41.279   |7.390    |G5              |    ~     ~    
3806|HD 342500                                                             |Star                           |18 31 57.1312356216 +22 24 42.472545624|051.1694466418297 +14.1060860795793|  -2.350 12.504   |8.83     |M2              |    ~     ~    
3807|HD 342501                                                             |Star                           |18 32 13.0274673456 +22 22 25.338059508|051.1591224857146 +14.0346640892560|  -3.133 -5.400   |10.45    |K2              |    ~     ~    
3808|HD 171166                                                             |Star                           |18 32 17.2136247936 +22 41 59.001208656|051.4732068122479 +14.1519127704671|  -5.927 -2.896   |8.60     |G5              |    ~     ~    
3809|HD 342482                                                             |Spectroscopic Binary           |18 32 33.0758708352 +22 44 23.808914052|051.5365644315252 +14.1124191600853|  -2.983 -7.577   |9.34     |M0              |    ~     ~    
3810|HD 342498                                                             |Star                           |18 32 06.8998175568 +22 26 25.977538320|051.2122607076927 +14.0833290011212|   -2.019 7.342   |10.40    |K0              |    ~     ~    
3811|HD 342491                                                             |Star                           |18 33 09.8369545344 +22 38 35.292734556|051.5043130008780 +13.9440057946293|   4.679 -3.408   |10.66    |K7              |    ~     ~    
3812|HD 342486                                                             |Star                           |18 33 40.2132210072 +22 40 14.439367524|051.5790632685815 +13.8484260640853|  -0.386 -9.469   |10.73    |F5              |    ~     ~    
3813|HD 342481                                                             |Star                           |18 32 05.1764101200 +22 39 24.404719212|051.4134034413881 +14.1768816679833| -7.679 -20.165   |10.99    |G5              |    ~     ~    
3814|HD 342479                                                             |Star                           |18 31 34.4380680744 +22 49 22.267428636|051.5209958817815 +14.3519801338028|    0.442 2.542   |10.07    |K0              |    ~     ~    
3815|HD 342474                                                             |Star                           |18 32 55.3210311096 +22 55 50.357439840|051.7520301605979 +14.1113904258019|  21.645 10.450   |10.39    |G0              |    ~     ~    
3816|HD 342473                                                             |Star                           |18 33 22.1135592984 +22 57 15.438945060|051.8171719651369 +14.0269233374935|    9.968 9.093   |10.94    |G0              |    ~     ~    
3817|HD 342466                                                             |Star                           |18 32 00.9618485136 +23 10 11.853399252|051.8912813037291 +14.3985968957530|   -6.307 1.802   |10.40    |A7              |    ~     ~    
3818|HD 342457                                                             |Star                           |18 32 50.3751666936 +23 22 03.528674472|052.1566412141545 +14.3049715766511|   0.354 -4.669   |10.81    |G5              |    ~     ~    
3819|HD 342455                                                             |Star                           |18 33 11.4936020664 +23 25 00.656486220|052.2366641136987 +14.2508508825765|   -6.548 4.058   |10.69    |K0              |    ~     ~    
3820|HD 342446                                                             |Star                           |18 33 02.4969951504 +23 37 01.053664176|052.4114691161612 +14.3628097729738| 28.268 -11.164   |10.61    |F8              |    ~     ~    
3821|HD 342434                                                             |Star                           |18 32 34.0972316520 +23 58 47.243374140|052.7099802109585 +14.6074212040503|  -2.217 -0.548   |10.78    |G5              |    ~     ~    
3822|HD 342433                                                             |Star                           |18 31 44.4400799760 +23 58 03.551345940|052.6204331715297 +14.7759038129345|  3.873 -20.803   |10.26    |K2              |    ~     ~    
3823|HD 342372                                                             |Star                           |18 30 33.3450714096 +22 54 53.115719652|051.5104661951473 +14.6036816123959|   -4.096 3.290   |10.78    |K7              |    ~     ~    
