C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:00:10

dec< 0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5768

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2850|HD 42774                                                              |Double or Multiple Star           |06 12 28.3069 -02 57 02.886            |211.1142086 -10.0125031            |     -2.4 -20.1   |8.73     |F8IV             |    ~     ~    |    0|                |                       |        |                   
2851|HD 42563                                                              |Double or Multiple Star           |06 11 18.0621339696 -03 25 04.063294308|211.4022059024337 -10.4849090586992|  -1.922 -1.656   |8.90     |B9III            |0.0067  0.0    |    1|  659.587   pc  | -39.5900    +39.5900  |paral   |2020yCat.1350....0G
2852|HD 294751                                                             |Star                              |06 11 38.3900016576 -03 30 34.606111680|211.5244086811814 -10.4511793520981| -6.437 -12.137   |9.25     |K0               |    ~     ~    |    1|  533.248   pc  |  -5.0331     +5.0331  |paral   |2020yCat.1350....0G
2853|HD 294754                                                             |Star                              |06 12 01.4003834976 -03 38 38.714228880|211.6903901108523 -10.4267963799553|  -1.601 -3.935   |9.54     |A2               |    ~     ~    |    1|  392.480   pc  |  -8.5339     +8.5339  |paral   |2020yCat.1350....0G
2854|HD 294755                                                             |High Proper Motion Star           |06 12 06.6289796184 -03 46 10.798502484|211.8142589815456 -10.4642604624196| 13.098 -54.689   |8.62     |K0               |    ~     ~    |    1|  271.680   pc  |  -1.5131     +1.5131  |paral   |2020yCat.1350....0G
2855|HD 42710                                                              |Star                              |06 12 12.1154005800 -03 22 17.022227412|211.4638219754664 -10.2634894583906|   2.241 -3.210   |8.74     |A1mA8-F0         |    ~     ~    |    1|  327.075   pc  |  -2.1610     +2.1610  |paral   |2020yCat.1350....0G
2856|HD 42761                                                              |Spectroscopic Binary              |06 12 27.2427586008 -03 38 12.048870912|211.7331487497887 -10.3276329541302|  -4.244 14.767   |7.81     |G8/K0V           |    ~     ~    |    1|   79.777   pc  |  -1.4714     +1.4714  |paral   |2020yCat.1350....0G
2857|HD 294756                                                             |Star                              |06 12 35.1526532208 -03 42 47.795611428|211.8177065891441 -10.3329853691251|  -5.615 19.286   |8.36     |G                |    ~     ~    |    1|  256.325   pc  |  -1.5177     +1.5177  |paral   |2020yCat.1350....0G
2858|HD 42790                                                              |Star                              |06 12 35.6373972168 -03 44 43.305026856|211.8477175644560 -10.3457103035766|   1.151 -4.138   |9.02     |A0               |    ~     ~    |    1|  778.210   pc  | -11.0827    +11.0827  |paral   |2020yCat.1350....0G
2859|HD 294745                                                             |Star                              |06 12 32.5193881968 -03 04 34.910579820|211.2358850912586 -10.0539439282491|  6.737 -19.606   |10.94    |F5               |    ~     ~    |    1|  178.167   pc  |  -0.7587     +0.7587  |paral   |2020yCat.1350....0G
2860|HD 294746                                                             |Star                              |06 12 36.3526125696 -03 09 46.120467708|211.3214640344932 -10.0789930146035|    -12.40 3.70   |10.41    |G0               |    ~     ~    |    0|                |                       |        |                   
2861|HD 294750                                                             |Star                              |06 11 40.2343599288 -03 24 47.893937832|211.4406605835249 -10.4006798887516|   1.234 -2.293   |10.77    |F0               |    ~     ~    |    1|  603.318   pc  |  -6.3335     +6.3335  |paral   |2020yCat.1350....0G
2862|HD 294765                                                             |Star                              |06 11 55.1509498920 -03 56 32.875476720|211.9490559423935 -10.5849769192239|  -3.373 -5.305   |10.54    |G0               |    ~     ~    |    1|  315.219   pc  |  -1.4706     +1.4706  |paral   |2020yCat.1350....0G
2863|HD 42603                                                              |Star                              |06 11 26.8317657768 -04 59 31.195081104|212.8490817645183 -11.1630325793550| 12.927 -19.996   |9.37     |A9V              |    ~     ~    |    1|  354.572   pc  |  -1.9864     +1.9864  |paral   |2020yCat.1350....0G
2864|HD 42657                                                              |alpha2 CVn Variable               |06 11 43.7171543332 -04 39 55.602985022|212.5840288490890 -10.9535484376271| -10.722 -5.902   |6.18     |B8II/III         |    ~     ~    |    1|  287.546   pc  | -12.8985    +12.8985  |paral   |2020yCat.1350....0G
2865|HD 42826                                                              |Double or Multiple Star           |06 12 44.7661116262 -04 16 10.330101318|212.3406373804663 -10.5487300496825|   3.817 -7.488   |9.33     |F5               |    ~     ~    |    0|                |                       |        |                   
2866|HD 42825                                                              |Star                              |06 12 47.3315772360 -04 03 30.915499032|212.1541041970974 -10.4439777556870|  -0.351 -3.621   |9.31     |A1/2IV           |    ~     ~    |    1|  549.360   pc  | -13.0980    +13.0980  |paral   |2020yCat.1350....0G
2867|HD 42847                                                              |Star                              |06 12 52.8618626376 -04 13 54.896436840|212.3219304242027 -10.5017338538231| 16.841 -45.135   |9.18     |F2V              |    ~     ~    |    1|  204.228   pc  |  -0.8092     +0.8092  |paral   |2020yCat.1350....0G
2868|HD 42879                                                              |Star                              |06 13 02.8239239664 -04 56 06.960402096|212.9798573170918 -10.7815720651972|  9.907 -49.051   |6.94     |K0III            |    ~     ~    |    1|  193.577   pc  |  -5.8119     +5.8119  |paral   |2020yCat.1350....0G
2869|HD 42911                                                              |Red Giant Branch star             |06 13 12.5728603704 -05 00 35.102519100|213.0661042540652 -10.7788906297260|  -5.914 -1.552   |7.38     |K0III            |    ~     ~    |    1|  216.713   pc  |  -1.2352     +1.2352  |paral   |2020yCat.1350....0G
2870|HD 42960                                                              |Star                              |06 13 31.8821582923 -04 36 00.809272839|212.7306271302474 -10.5230801423994|  -5.339 -3.866   |8.23     |A0V              |    ~     ~    |    1|  306.0537  pc  | -28.1381    +28.1381  |paral   |2018yCat.1345....0G
2871|HD 294788                                                             |Star                              |06 11 17.9027296296 -05 03 44.993500380|212.8963182985936 -11.2278133041362| -29.396 13.880   |8.29     |A0               |    ~     ~    |    1|  302.142   pc  |  -2.5379     +2.5379  |paral   |2020yCat.1350....0G
2872|HD 42575                                                              |Star                              |06 11 19.1351435544 -05 11 28.237925328|213.0158966500077 -11.2810120667951|  -2.897 -1.012   |9.34     |A0               |    ~     ~    |    1|  299.796   pc  |  -1.8335     +1.8335  |paral   |2020yCat.1350....0G
2873|HD 294766                                                             |Star                              |06 11 15.8691696456 -04 00 53.967825648|211.9397824824100 -10.7634066001467|   0.224 -3.962   |10.92    |B9               |    ~     ~    |    1| 1427.959   pc  | -43.0243    +43.0243  |paral   |2020yCat.1350....0G
2874|HD 294772                                                             |Star                              |06 12 35.0426702112 -04 03 43.546367556|212.1338234424169 -10.4911292070808|  -6.756 -5.061   |10.69    |A7               |    ~     ~    |    1|  401.800   pc  |  -2.5347     +2.5347  |paral   |2020yCat.1350....0G
2875|HD 294775                                                             |Star                              |06 13 30.4364325816 -04 08 17.566480860|212.3085830381722 -10.3201062665712|  14.758 40.700   |10.63    |G0               |    ~     ~    |    1|  211.578   pc  |  -1.0206     +1.0206  |paral   |2020yCat.1350....0G
2876|TYC 4791-970-1                                                        |Star                              |06 13 31.0585964928 -04 53 35.690916444|212.9952807373123 -10.6579815130248|    0.560 0.581   |10.91    |~                |    ~     ~    |    1| 1182.313   pc  | -40.6778    +40.6778  |paral   |2020yCat.1350....0G
2877|HD 294776                                                             |Star                              |06 13 36.6704248392 -04 14 07.042102908|212.4085205141773 -10.3408097883419|   7.551 -4.701   |9.88     |F8               |    ~     ~    |    1|  329.772   pc  |  -1.6747     +1.6747  |paral   |2020yCat.1350....0G
2878|HD 294767                                                             |Star                              |06 11 20.7249548208 -04 06 57.393277380|212.0407416334337 -10.7910136048577|   -8.673 1.757   |10.52    |A2               |    ~     ~    |    1|  435.540   pc  |  -3.5283     +3.5283  |paral   |2020yCat.1350....0G
2879|HD 294734                                                             |Star                              |06 11 25.5042046728 -02 52 02.871636564|210.9181052085557 -10.2073684473163|  -0.593 -2.967   |9.89     |A7               |    ~     ~    |    1| 1547.748   pc  | -47.1918    +47.1918  |paral   |2020yCat.1350....0G
2880|HD 294753                                                             |Star                              |06 11 45.3827441904 -03 35 25.479290076|211.6110518952433 -10.4618673710009| -0.981 -13.828   |9.69     |K5               |    ~     ~    |    1|  581.125   pc  |  -5.0656     +5.0656  |paral   |2020yCat.1350....0G
2881|TYC 4787-848-1                                                        |Star                              |06 11 53.5507745112 -03 39 15.679282104|211.6846689483237 -10.4605480027952|   -2.357 0.027   |10.960   |~                |    ~     ~    |    1|  829.232   pc  | -31.1700    +31.1700  |ST-L    |2020AJ....160...83S
2882|HD 294771                                                             |Star                              |06 12 43.0823694096 -04 09 45.733626972|212.2404616096409 -10.5067547031482|   -1.847 3.097   |9.63     |K0               |    ~     ~    |    1|  520.671   pc  |  -4.7984     +4.7984  |paral   |2020yCat.1350....0G
2883|HD 294747                                                             |Star                              |06 13 01.5643872360 -03 17 06.236750040|211.4804475315308 -10.0410186397738|   -4.462 0.142   |10.77    |F5               |    ~     ~    |    1|  586.717   pc  |  -5.3701     +5.3701  |paral   |2020yCat.1350....0G
2884|BD-05 1543                                                            |Star                              |06 13 18.9012 -05 15 56.030            |213.3108354 -10.8702646            |     -4.0 -43.2   |10.46    |~                |    ~     ~    |    0|                |                       |        |                   
2885|HD 294759                                                             |High Proper Motion Star           |06 13 27.6385185192 -03 36 51.461862120|211.8284274365077 -10.0935766624781|52.515 -173.964   |9.52     |G0               |    ~     ~    |    1|  111.843   pc  |  -0.1839     +0.1839  |paral   |2020yCat.1350....0G
2886|HD 294742                                                             |Star                              |06 13 38.6152001568 -02 50 43.536469344|211.1539481833535 -09.7040035657701|   1.567 -8.717   |9.64     |K0               |    ~     ~    |    1|  598.946   pc  | -11.6589    +11.6589  |paral   |2020yCat.1350....0G
2887|HD 294749                                                             |Star                              |06 11 22.7252964528 -03 21 58.236006816|211.3643699744525 -10.4442107295616|   -2.755 0.763   |9.64     |G5               |    ~     ~    |    1|  603.464   pc  |  -5.4989     +5.4989  |paral   |2020yCat.1350....0G
2888|HD 294752                                                             |Star                              |06 11 16.5056440512 -03 31 16.739868540|211.4930666683833 -10.5376123079707|  2.259 -12.499   |10.04    |G0               |    ~     ~    |    1|  233.187   pc  |  -0.9625     +0.9625  |paral   |2020yCat.1350....0G
2889|HD 294757                                                             |Star                              |06 13 10.6082690088 -03 29 43.918499400|211.6882963791302 -10.1029186480373|    3.467 7.806   |10.11    |F5               |    ~     ~    |    1|  338.146   pc  |  -9.7306     +9.7306  |paral   |2020yCat.1350....0G
2890|HD 294764                                                             |Star                              |06 11 59.8221617592 -03 55 20.903382948|211.9398465263518 -10.5586183715316| -1.328 -10.433   |10.35    |F5               |    ~     ~    |    1|  348.105   pc  |  -2.2660     +2.2660  |paral   |2020yCat.1350....0G
2891|HD 294768                                                             |Star                              |06 11 59.1017132232 -04 16 22.420065180|212.2565759844491 -10.7195715771885|   1.861 -6.345   |10.73    |F8               |    ~     ~    |    1|  548.366   pc  | -15.1555    +15.1555  |paral   |2020yCat.1350....0G
2892|HD 294770                                                             |Star                              |06 12 57.8481670224 -04 10 58.220277240|212.2869053072802 -10.4610928331600|    2.818 2.378   |10.36    |F0               |    ~     ~    |    1|  435.787   pc  |  -3.9121     +3.9121  |paral   |2020yCat.1350....0G
2893|HD 294774                                                             |Star                              |06 13 32.2037245656 -04 05 09.353577516|212.2645424921928 -10.2899436235839|   -4.189 0.849   |10.00    |A5               |    ~     ~    |    1|  304.581   pc  |  -1.7255     +1.7255  |paral   |2020yCat.1350....0G
2894|HD 294781                                                             |Star                              |06 13 21.1421688864 -04 31 10.378444152|212.6369299951726 -10.5265671682452|  -2.133 -2.786   |10.51    |G0               |    ~     ~    |    1|  253.968   pc  |  -4.3795     +4.3795  |paral   |2020yCat.1350....0G
2895|HD 294782                                                             |Star                              |06 13 07.7583189480 -04 38 42.316735416|212.7254842775562 -10.6327386502938|  -2.708 -3.501   |10.66    |F5               |    ~     ~    |    1|  538.155   pc  |  -4.8944     +4.8944  |paral   |2020yCat.1350....0G
2896|HD 294784                                                             |Star                              |06 11 46.5680960520 -04 43 50.263104288|212.6487458288663 -10.9723159657900|  3.998 -12.147   |10.50    |F5               |    ~     ~    |    1|  342.771   pc  |  -4.0065     +4.0065  |paral   |2020yCat.1350....0G
2897|HD 294785                                                             |Star                              |06 12 17.4066496248 -04 46 46.925486508|212.7520601152293 -10.8800390755258|   -3.793 1.858   |10.54    |A2               |    ~     ~    |    1|  426.858   pc  |  -3.3162     +3.3162  |paral   |2020yCat.1350....0G
2898|HD 294787                                                             |Star                              |06 11 36.5957648664 -04 54 17.583572124|212.7883356940114 -11.0876732706665|  -0.175 -1.421   |10.744   |A2               |    ~     ~    |    1|  840.336   pc  | -16.3124    +16.3124  |paral   |2020yCat.1350....0G
2899|HD 43193                                                              |Star                              |06 14 46.3613393040 -02 58 05.582743968|211.3948242243534 -09.5086917999599|   0.195 -4.745   |8.77     |B9V              |    ~     ~    |    1|  518.861   pc  |  -6.1112     +6.1112  |paral   |2020yCat.1350....0G
2900|HD 43023                                                              |Red Giant Branch star             |06 13 54.2339540784 -03 44 28.935892248|211.9943546416032 -10.0524912012724| -18.239 21.218   |5.833    |K0III            |    ~     ~    |    1|  101.685   pc  |  -0.8499     +0.8499  |paral   |2020yCat.1350....0G
2901|HD 294762                                                             |High Proper Motion Star           |06 14 00.2400557496 -03 58 04.438700076|212.2110424739966 -10.1326592032735|  3.979 152.313   |9.19     |G0               |    ~     ~    |    1|   81.018   pc  |  -0.1227     +0.1227  |paral   |2020yCat.1350....0G
2902|HD 43064                                                              |Star                              |06 14 08.1038541216 -03 56 42.412298928|212.2054027875726 -10.0932025947715|   3.706 -7.545   |8.72     |A2III            |    ~     ~    |    1|  543.833   pc  |  -7.6600     +7.6600  |paral   |2020yCat.1350....0G
2903|HD 43156                                                              |Star                              |06 14 39.2286041016 -03 53 33.699460992|212.2173104446897 -09.9540968745121|  -2.070 -8.071   |9.96     |A5II             |    ~     ~    |    1|  451.121   pc  |  -4.1516     +4.1516  |paral   |2020yCat.1350....0G
2904|HD 43175                                                              |Star                              |06 14 44.8322795952 -03 57 57.886378740|212.2944631845265 -09.9664877028006|   0.715 -4.144   |10.26    |B9III/IV         |    ~     ~    |    1|  829.463   pc  | -14.7234    +14.7234  |paral   |2020yCat.1350....0G
2905|HD 294760                                                             |Star                              |06 13 45.5482003920 -03 48 47.404793700|212.0427951690309 -10.1171776695035|  -4.031 -1.256   |10.51    |F5               |    ~     ~    |    1|  300.689   pc  |  -1.3924     +1.3924  |paral   |2020yCat.1350....0G
2906|HD 294807                                                             |Star                              |06 14 30.9151 -02 54 39.131            |211.3134121 -09.5398931            |    3.921 4.873   |10.94    |G0               |    ~     ~    |    0|                |                       |        |                   
2907|HD 43003                                                              |Star                              |06 13 47.1039650664 -04 56 02.584614084|213.0628330361313 -10.6168230053769|   -1.765 2.267   |9.83     |B9.5V            |    ~     ~    |    1|  407.664   pc  |  -3.9387     +3.9387  |paral   |2020yCat.1350....0G
2908|HD 43048                                                              |Star                              |06 13 57.4523768688 -04 16 18.234775776|212.4811794966119 -10.2801906671688|   -6.666 2.517   |9.40     |B9.5V            |    ~     ~    |    1|  362.043   pc  |  -3.3817     +3.3817  |paral   |2020yCat.1350....0G
2909|HD 43115                                                              |Double or Multiple Star           |06 14 22.2585 -04 56 45.924            |213.1404917 -10.4918715            |   -6.628 1.345   |9.36     |F6/7V            |    ~     ~    |    0|                |                       |        |                   
2910|HD 43157                                                              |Star                              |06 14 36.7027034832 -04 34 06.441226500|212.8250625449794 -10.2684002596783|   -6.461 1.997   |5.819    |B5II/III         |    ~     ~    |    1|  349.797   pc  |  -8.4794     +8.4794  |paral   |2020yCat.1350....0G
2911|HD 43195                                                              |Star                              |06 14 43.9974885246 -04 26 56.181819354|212.7305142828670 -10.1875002175826|  -0.055 -3.052   |7.24     |K0III            |    ~     ~    |    1|  499.276   pc  |  -4.5866     +4.5866  |paral   |2020yCat.1350....0G
2912|HD 43194                                                              |Star                              |06 14 44.7672156960 -04 09 40.942392336|212.4712717721260 -10.0549350544868| 10.290 -18.977   |8.06     |K2III            |    ~     ~    |    1|  413.702   pc  |  -3.9878     +3.9878  |paral   |2020yCat.1350....0G
2913|HD 43249                                                              |Star                              |06 14 58.5542675328 -05 18 06.591609900|213.5325604506062 -10.5170045270653|  -4.400 -0.751   |8.93     |A0V              |    ~     ~    |    1|  400.240   pc  |  -3.9407     +3.9407  |paral   |2020yCat.1350....0G
2914|HD 294840                                                             |High Proper Motion Star           |06 14 44.2787732256 -04 33 06.827165604|212.8244417636650 -10.2328472505685| -25.686 61.494   |10.34    |G0               |    ~     ~    |    1|  105.222   pc  |  -0.4429     +0.4429  |paral   |2020yCat.1350....0G
2915|BD-05 1550                                                            |Star                              |06 14 32.1042979728 -05 33 13.937737572|213.7117647557097 -10.7280465155946|  -4.136 -5.734   |9.54     |~                |    ~     ~    |    1|  572.344   pc  |  -5.0119     +5.0119  |paral   |2020yCat.1350....0G
2916|HD 294761                                                             |Star                              |06 14 04.4792322504 -03 54 01.915847064|212.1580927117963 -10.0864899139387|  5.691 -26.877   |10.23    |F2               |    ~     ~    |    1|  324.559   pc  |  -1.8750     +1.8750  |paral   |2020yCat.1350....0G
2917|HD 294758                                                             |Star                              |06 14 05.6232131256 -03 29 32.052512760|211.7905861685399 -09.8974583276282|    6.261 5.471   |10.45    |G5               |    ~     ~    |    1|  651.084   pc  |  -6.3587     +6.3587  |paral   |2020yCat.1350....0G
2918|HD 294851                                                             |Star                              |06 14 11.8932083184 -05 01 49.902797532|213.1975543892102 -10.5682496496311|  -4.247 -2.513   |10.16    |K0               |    ~     ~    |    1|  302.398   pc  |  -1.3442     +1.3442  |paral   |2020yCat.1350....0G
2919|HD 294838                                                             |Star                              |06 14 13.5355380648 -04 17 22.506342540|212.5280086761407 -10.2286057135693|  -1.134 -5.824   |9.52     |M0               |    ~     ~    |    1|  709.019   pc  |  -7.4401     +7.4401  |paral   |2020yCat.1350....0G
2920|HD 294816                                                             |Star                              |06 14 35.5308526128 -03 25 21.015523452|211.7847049020568 -09.7549749920759| -6.792 -13.849   |10.15    |F8               |    ~     ~    |    1|  246.920   pc  |  -0.9755     +0.9755  |paral   |2020yCat.1350....0G
2921|HD 294743                                                             |Star                              |06 13 57.1208258304 -02 59 07.506718692|211.3159619447484 -09.6990347677566|   1.193 -1.649   |10.38    |A3               |    ~     ~    |    1| 1476.233   pc  | -43.5853    +43.5853  |paral   |2020yCat.1350....0G
2922|HD 294780                                                             |Star                              |06 13 55.0596789744 -04 38 01.455278892|212.8051397514148 -10.4522221931267|  -5.167 -3.550   |10.86    |F0               |    ~     ~    |    1|  451.753   pc  |  -3.9796     +3.9796  |paral   |2020yCat.1350....0G
2923|HD 294808                                                             |Star                              |06 14 09.9564696000 -02 53 26.099147004|211.2548893582089 -09.6083618383875|  7.961 -13.229   |10.25    |F2               |    ~     ~    |    1|  248.102   pc  |  -1.1080     +1.1080  |paral   |2020yCat.1350....0G
2924|HD 294809                                                             |Star                              |06 14 41.9761754568 -03 07 52.058813232|211.5336100719094 -09.5989230194331|    3.554 0.551   |10.68    |G5               |    ~     ~    |    1|  849.690   pc  |  -9.8910     +9.8910  |paral   |2020yCat.1350....0G
2925|HD 294849                                                             |Star                              |06 14 13.1067659424 -04 54 32.710351968|213.0895061470360 -10.5091756702945|   -4.023 4.027   |10.20    |F0               |    ~     ~    |    1|  332.513   pc  |  -1.9681     +1.9681  |paral   |2020yCat.1350....0G
2926|HD 294850                                                             |Star                              |06 14 07.7060767752 -04 56 46.347226296|213.1129839111498 -10.5458885143952|  6.692 -16.567   |10.22    |G0               |    ~     ~    |    1|  485.272   pc  |  -4.8511     +4.8511  |paral   |2020yCat.1350....0G
2927|TYC 4791-377-1                                                        |Star                              |06 12 57.6342925344 -05 03 18.386744472|213.0790040241071 -10.8546613174239|  -0.058 12.008   |10.72    |~                |    ~     ~    |    1|  116.085   pc  |  -0.2048     +0.2048  |paral   |2020yCat.1350....0G
2928|TYC 4791-540-1                                                        |Star                              |06 12 10.9123723632 -04 02 12.400035000|212.0647617684833 -10.5691629760258|  -2.606 -2.799   |10.37    |~                |    ~     ~    |    1| 1042.644   pc  | -15.9805    +15.9805  |paral   |2020yCat.1350....0G
2929|TYC 4791-741-1                                                        |Star                              |06 11 25.2874053432 -05 16 59.224665612|213.1113655551641 -11.2994453624926|  -0.096 -2.501   |10.50    |~                |    ~     ~    |    0|                |                       |        |                   
2930|TYC 4791-817-1                                                        |Star                              |06 13 33.9960463608 -05 03 48.235885092|213.1555472208488 -10.7235463017582|   -4.358 1.776   |10.62    |~                |    ~     ~    |    1|  394.867   pc  |  -2.8845     +2.8845  |paral   |2020yCat.1350....0G
2931|TYC 4791-893-1                                                        |Star                              |06 13 42.1410299472 -05 06 51.208284996|213.2172161385376 -10.7161665168582|   0.565 -4.156   |10.67    |A3/7             |    ~     ~    |    1|  478.629   pc  |  -4.3755     +4.3755  |paral   |2020yCat.1350....0G
2932|TYC 4791-911-1                                                        |Star                              |06 14 04.3622477592 -05 30 12.765882420|213.6135049363109 -10.8083718394289|   1.098 -3.434   |10.83    |~                |    ~     ~    |    1|  790.576   pc  |  -9.4377     +9.4377  |paral   |2020yCat.1350....0G
2933|GSC 04791-00936                                                       |Double or Multiple Star           |06 14 39.615336 -05 36 21.89916        |213.773474875 -10.723576335        |     -0.4 -12.6   |10.597   |~                |    ~     ~    |    0|                |                       |        |                   
2934|TYC 4791-2174-1                                                       |Star                              |06 13 25.3927918488 -05 12 54.329385348|213.2772117696978 -10.8235478383393| -0.216 -14.673   |10.79    |~                |    ~     ~    |    1|  384.749   pc  |  -2.3981     +2.3981  |paral   |2020yCat.1350....0G
2935|HD 42791                                                              |Star                              |06 12 30.1701206904 -05 49 35.581606572|213.7297477526921 -11.3021790370396|  12.452 -8.587   |9.86     |F0V              |    ~     ~    |    1|  287.795   pc  |  -1.4329     +1.4329  |paral   |2020yCat.1350....0G
2936|HD 42640                                                              |Star                              |06 11 32.6683300512 -06 58 17.499348444|214.6682590593414 -12.0252774003446|  -1.837 -4.092   |8.37     |F3III            |    ~     ~    |    1|  270.008   pc  |  -2.1653     +2.1653  |paral   |2020yCat.1350....0G
2937|HD 42678                                                              |Star                              |06 11 44.8782810936 -06 48 02.021619096|214.5345772321344 -11.9041261113395|  -6.117 -0.177   |9.99     |A0IV             |    ~     ~    |    1|  421.550   pc  |  -3.9273     +3.9273  |paral   |2020yCat.1350....0G
2938|BD-06 1444                                                            |Star                              |06 11 48.7972145808 -06 09 27.749073924|213.9539644570937 -11.6034560596408|   -2.228 0.755   |10.9     |B4V              |    ~     ~    |    1|  821.895   pc  | -13.3076    +13.3076  |paral   |2020yCat.1350....0G
2939|BD-06 1445                                                            |Star                              |06 11 52.6221291720 -06 28 37.158866616|214.2530344430358 -11.7315425621344|   -3.510 0.362   |9.81     |~                |    ~     ~    |    0|                |                       |        |                   
2940|HD 42827                                                              |Rotating Variable                 |06 12 36.1118807424 -06 44 17.482981560|214.5737116184117 -11.6865015815123|-18.001 -28.689   |9.352    |G8III+G8III      |    ~     ~    |    1|  136.724   pc  |  -0.3215     +0.3215  |paral   |2020yCat.1350....0G
2941|HD 42880                                                              |Star                              |06 12 53.1281175648 -06 52 11.839978164|214.7261966880913 -11.6819672843837|  -15.532 5.573   |10.00    |F3V              |    ~     ~    |    1|  407.947   pc  |  -6.0078     +6.0078  |paral   |2020yCat.1350....0G
2942|HD 42912                                                              |Star                              |06 13 07.3611261864 -06 21 24.660369108|214.2839141629954 -11.4009606551681|   -1.750 2.621   |9.11     |A1(III)          |    ~     ~    |    1|  494.389   pc  |  -4.1307     +4.1307  |paral   |2020yCat.1350....0G
2943|HD 42925                                                              |Star                              |06 13 14.7702814608 -06 46 34.698532404|214.6811470111028 -11.5601471195725| -2.521 -10.647   |9.66     |G2V              |    ~     ~    |    1|  135.556   pc  |  -0.3326     +0.3326  |paral   |2020yCat.1350....0G
2944|HD 42924                                                              |Double or Multiple Star           |06 13 17.4927 -06 24 18.425            |214.3470624 -11.3849049            |      -0.0 -7.9   |8.41     |K2/3III+A/F      |    ~     ~    |    0|                |                       |        |                   
2945|BD-06 1457                                                            |Star                              |06 13 17.9467719504 -06 42 53.806344156|214.6310111198390 -11.5210999972960| 17.101 -18.340   |9.95     |~                |    ~     ~    |    1|  248.262   pc  |  -1.0231     +1.0231  |paral   |2020yCat.1350....0G
2946|BD-06 1458                                                            |Star                              |06 13 19.5806906544 -06 52 42.226434084|214.7835336145990 -11.5876717759854|    4.462 5.158   |9.99     |~                |    ~     ~    |    1|  492.296   pc  |  -3.9261     +3.9261  |paral   |2020yCat.1350....0G
2947|HD 42945                                                              |Star                              |06 13 24.1271620104 -06 05 52.798801452|214.0792207229576 -11.2233681468377|-15.092 -15.948   |10.09    |A5/7II           |    ~     ~    |    1|  388.742   pc  |  -2.7353     +2.7353  |paral   |2020yCat.1350....0G
2948|HD 43004                                                              |Star                              |06 13 39.1929877176 -06 11 12.513972012|214.1886382377832 -11.2071396045143|   8.833 -3.026   |8.77     |G6IV             |    ~     ~    |    1|  434.631   pc  |  -4.4204     +4.4204  |paral   |2020yCat.1350....0G
2949|HD 42619                                                              |Star                              |06 11 23.4339531480 -07 15 01.849819068|214.9067266726121 -12.1831531702648|  -1.049 -2.428   |7.91     |M3III            |    ~     ~    |    1|  742.832   pc  | -13.6294    +13.6294  |paral   |2020yCat.1350....0G
2950|HD 42775                                                              |Star                              |06 12 18.3221956368 -07 19 24.991556016|215.0764723773292 -12.0121048910149|   2.809 -0.085   |7.56     |K3III            |    ~     ~    |    1|  380.503   pc  | -15.6800    +15.6800  |paral   |2020yCat.1350....0G
2951|HD 42792                                                              |Star                              |06 12 26.1727331016 -07 28 26.480412804|215.2290655819314 -12.0495672974417|  3.250 -15.506   |9.03     |A8IV/V           |    ~     ~    |    1|  432.751   pc  |  -4.5507     +4.5507  |paral   |2020yCat.1350....0G
2952|BD-07 1324                                                            |Star                              |06 12 42.3 -07 07 18                   |214.9363 -11.8338                  |            ~ ~   |9.5      |~                |    ~     ~    |    0|                |                       |        |                   
2953|HD 42863                                                              |Star                              |06 12 50.8736387880 -07 17 57.920282376|215.1151868469830 -11.8807723829401|    1.528 5.232   |8.17     |M3/4III          |    ~     ~    |    1|  421.212   pc  |  -5.8549     +5.8549  |paral   |2020yCat.1350....0G
2954|HD 42913                                                              |Star                              |06 13 09.5701342296 -07 27 22.203704952|215.2937628988953 -11.8808728451520|   3.106 -1.771   |8.27     |K0/1III          |    ~     ~    |    1|  627.746   pc  |  -9.1029     +9.1029  |paral   |2020yCat.1350....0G
2955|HD 42961                                                              |High Proper Motion Star           |06 13 24.6959847576 -07 42 41.874258492|215.5561764602255 -11.9377620944531|-16.297 -82.185   |9.09     |F8V              |    ~     ~    |    1|  155.436   pc  |  -0.4228     +0.4228  |paral   |2020yCat.1350....0G
2956|HD 42984                                                              |Star                              |06 13 28.7698719696 -07 30 33.109399116|215.3782099247972 -11.8331950375912|  -2.185 -2.519   |9.88     |B9IV/V           |    ~     ~    |    1|  536.452   pc  |  -6.9355     +6.9355  |paral   |2020yCat.1350....0G
2957|HD 42985                                                              |Star                              |06 13 31.7836230768 -07 44 44.339382204|215.6005807159088 -11.9265311463343|    2.743 6.031   |9.55     |A8/9V            |    ~     ~    |    1|  626.802   pc  | -22.7478    +22.7478  |paral   |2020yCat.1350....0G
