C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:00:10

dec< 0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5768

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
50  |HD 41661                                                              |Double or Multiple Star           |06 06 24.4255012416 -00 57 48.122803800|208.6139803005240 -10.4505824801486| -12.337 -9.308   |7.44     |F3V              |    ~     ~    |    1|  143.837   pc  |  -0.4365     +0.4365  |paral   |2020yCat.1350....0G
51  |HD 41605                                                              |Star                              |06 06 12.7075969056 -00 43 49.086513156|208.3808049288389 -10.3864716381261|   -3.864 1.849   |9.56     |A0V              |    ~     ~    |    1|  280.481   pc  | -10.2035    +10.2035  |paral   |2020yCat.1350....0G
52  |HD 41482                                                              |Star                              |06 05 34.0753622544 -00 32 26.860091388|208.1343363306373 -10.4417755843883| 25.996 -16.983   |8.26     |G8/K0III         |    ~     ~    |    1|  311.023   pc  |  -2.1088     +2.1088  |paral   |2020yCat.1350....0G
53  |HD 41262                                                              |Star                              |06 04 02.7125271024 -00 13 24.977373528|207.6691893236418 -10.6325444765237| -14.840 25.788   |8.45     |K0III            |    ~     ~    |    1|  309.598   pc  |  -2.0895     +2.0895  |paral   |2020yCat.1350....0G
54  |HD 41143                                                              |Star                              |06 03 14.6569666704 -00 36 06.292922364|207.9160937139725 -10.9850569859170|  -3.029 -3.935   |7.73     |K0III            |    ~     ~    |    1|  360.750   pc  |  -3.4487     +3.4487  |paral   |2020yCat.1350....0G
55  |HD 41060                                                              |Star                              |06 02 47.8241884824 -00 56 20.582663280|208.1682935475878 -11.2400646484465|   5.757 -3.056   |8.77     |B9.5V            |    ~     ~    |    1|  302.380   pc  |  -1.9201     +1.9201  |paral   |2020yCat.1350....0G
56  |HD 291092                                                             |High Proper Motion Star           |06 02 37.9663941096 -00 27 58.414063824|207.7216266857915 -11.0578607834374| 84.350 -40.588   |9.671    |G5               |    ~     ~    |    1|   92.034   pc  |  -0.1211     +0.1211  |paral   |2020yCat.1350....0G
57  |V* V1355 Ori                                                          |RS CVn Variable                   |06 02 40.3603759560 -00 51 37.225252080|208.0824743380671 -11.2312942919383|  11.859 11.693   |9.194    |K0-2IV           |    ~     ~    |    1|  127.527   pc  |  -0.3740     +0.3740  |paral   |2020yCat.1350....0G
58  |HD 291093                                                             |Star                              |06 02 41.4499114536 -00 28 17.770105308|207.7333297003559 -11.0474856699799|  -3.715 -3.812   |10.8     |A2               |    ~     ~    |    1|  644.912   pc  |  -6.8625     +6.8625  |paral   |2020yCat.1350....0G
59  |HD 291108                                                             |Star                              |06 03 41.8508200248 -01 35 24.760704696|208.8633702143264 -11.3402971705387|   -2.776 2.746   |9.90     |A2               |    ~     ~    |    1|  374.266   pc  |  -2.7034     +2.7034  |paral   |2020yCat.1350....0G
