C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:42:58

dec< 0&rah >=21.75&rah< 22.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3324

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
37  |HD 207835                                                                                                |Star                                  |21 52 57.4065106128 -39 51 31.443537960|002.1451300323487 -51.1243437147206|   5.516 -1.726   |9.90     |G8III            |    ~     ~    |    1|  664.466   pc  | -24.8800    +24.8800  |ST-L    |2020AJ....160...83S
38  |HD 208000                                                                                                |Star                                  |21 54 16.9951783584 -39 56 32.895094344|001.9744656952354 -51.3699470473095|   5.208 -6.167   |8.96     |G8(IV)           |    ~     ~    |    1|  531.463   pc  | -14.6593    +14.6593  |paral   |2020yCat.1350....0G
39  |HD 207999                                                                                                |Star                                  |21 54 19.5232019280 -39 56 14.135151984|001.9815442567607 -51.3784825977505|  12.830 18.978   |9.15     |K1/2IIICNII      |    ~     ~    |    1|  329.217   pc  |  -6.1230     +6.1230  |ST-L    |2020AJ....160...83S
40  |CD-39 14443                                                                                              |Star                                  |21 49 11.6280121224 -39 22 57.733242312|002.9854106547902 -50.4391827137150| 10.127 -13.064   |10.214   |~                |    ~     ~    |    1| 1032.410   pc  | -69.5500    +69.5500  |ST-L    |2020AJ....160...83S
41  |CD-38 14744                                                                                              |Star                                  |21 49 26.5203867792 -38 05 47.376509820|005.0003936627802 -50.5572395859028|  -1.307 -2.239   |9.83     |~                |    ~     ~    |    1|  586.098   pc  |  -6.1145     +6.1145  |paral   |2020yCat.1350....0G
42  |CD-38 14745                                                                                              |Star                                  |21 49 41.0207529552 -38 02 52.553896152|005.0737511827485 -50.6067452810970| -5.041 -15.746   |10.184   |~                |    ~     ~    |    1|  285.376   pc  |  -7.4500     +7.4500  |ST-L    |2020AJ....160...83S
43  |CD-40 14512                                                                                              |Star                                  |21 50 24.6482312136 -39 37 15.460472856|002.5849076315825 -50.6562373341463|  27.658 -2.693   |10.82    |~                |    ~     ~    |    1|  153.151   pc  |  -1.4420     +1.4420  |ST-L    |2020AJ....160...83S
44  |CD-38 14771                                                                                              |High Proper Motion Star               |21 53 00.7358134776 -37 47 08.066960988|005.4453478049022 -51.2738080370468| 24.631 -83.943   |10.03    |~                |    ~     ~    |    1|  175.090   pc  |  -2.9940     +2.9940  |ST-L    |2020AJ....160...83S
45  |CD-40 14538                                                                                              |Star                                  |21 53 38.8706207520 -39 53 53.037922092|002.0634511462599 -51.2528132984974| -14.961 -8.973   |10.91    |~                |    ~     ~    |    1|  232.639   pc  |  -0.7360     +0.7360  |paral   |2020yCat.1350....0G
46  |CD-39 14472                                                                                              |Star                                  |21 54 01.3522966512 -38 56 19.776288588|003.5838515633077 -51.4039853767741| 12.092 -12.456   |10.47    |~                |    ~     ~    |    1|  276.916   pc  |  -2.1088     +2.1088  |paral   |2020yCat.1350....0G
47  |CD-39 14479                                                                                              |Star                                  |21 54 52.2043454622 -39 10 59.714161985|003.1723380805428 -51.5493144172991| -1.252 -15.970   |10.606   |~                |    ~     ~    |    1|  121.942   pc  | -10.0200    +10.0200  |ST-L    |2020AJ....160...83S
48  |CD-38 14791                                                                                              |Star                                  |21 55 17.7173206440 -37 58 21.883326636|005.1090019229762 -51.7144144985159| 25.496 -17.448   |10.40    |~                |    ~     ~    |    1|  307.088   pc  |  -3.3572     +3.3572  |paral   |2020yCat.1350....0G
49  |CD-38 14793                                                                                              |Star                                  |21 55 22.2584058264 -38 14 52.593800496|004.6641954441635 -51.7132129798997|-12.547 -21.881   |10.55    |~                |    ~     ~    |    1|  418.035   pc  | -11.5900    +11.5900  |ST-L    |2020AJ....160...83S
50  |CD-39 14484                                                                                              |Star                                  |21 55 35.6330198880 -38 30 36.547659468|004.2371997909069 -51.7398332006330|  -0.010 -1.558   |10.79    |~                |    ~     ~    |    1|  381.709   pc  |  -2.7246     +2.7246  |paral   |2020yCat.1350....0G
51  |CD-38 14795                                                                                              |High Proper Motion Star               |21 55 48.6889899984 -38 15 11.133086904|004.6471984181353 -51.7992092576731| 72.562 -36.701   |10.97    |~                |    ~     ~    |    1|  270.599   pc  |  -1.2448     +1.2448  |paral   |2020yCat.1350....0G
52  |CD-38 14734                                                                                              |High Proper Motion Star               |21 48 18.2062378080 -37 33 12.159280440|005.8648160809395 -50.3508008476319|30.064 -138.202   |10.669   |~                |    ~     ~    |    1|   93.300   pc  |  -0.6382     +0.6382  |ST-L    |2020AJ....160...83S
53  |CD-38 14749                                                                                              |High Proper Motion Star               |21 49 53.9244068856 -37 50 09.833572860|005.4049315579604 -50.6573143408190| 91.810 -92.768   |9.79     |~                |    ~     ~    |    1|   95.631   pc  |  -0.7447     +0.7447  |ST-L    |2020AJ....160...83S
54  |CD-38 14756                                                                                              |High Proper Motion Star               |21 50 30.3834481440 -37 26 57.566011056|006.0091362783471 -50.7904892570550| 85.171 -45.899   |10.287   |~                |    ~     ~    |    1|  158.467   pc  |  -2.3830     +2.3830  |ST-L    |2020AJ....160...83S
55  |CD-38 14757                                                                                              |Star                                  |21 50 32.9880361872 -38 18 36.999133992|004.6480855750202 -50.7650643563217| -0.327 -22.020   |10.46    |~                |    ~     ~    |    1|  812.282   pc  | -21.3776    +21.3776  |paral   |2020yCat.1350....0G
56  |CD-39 14452                                                                                              |Star                                  |21 50 37.0774705920 -38 56 59.486603244|003.6375230470968 -50.7427712440817|  -3.734 18.048   |10.45    |~                |    ~     ~    |    1|  328.440   pc  |  -1.9633     +1.9633  |paral   |2020yCat.1350....0G
57  |CD-38 14760                                                                                              |Star                                  |21 50 51.0193996392 -37 56 54.161037204|005.2158972898744 -50.8404943052106|   2.389 -8.721   |10.03    |~                |    ~     ~    |    1| 1126.634   pc  | -21.1974    +21.1974  |paral   |2020yCat.1350....0G
58  |CPD-39 9034                                                                                              |Star                                  |21 51 19.3045666056 -38 32 00.113632080|004.2828302264752 -50.9044015133227|  33.323 24.599   |10.44    |~                |    ~     ~    |    1|  279.783   pc  |  -1.2994     +1.2994  |paral   |2020yCat.1350....0G
59  |CD-38 14766                                                                                              |Double or Multiple Star               |21 51 58.1018610504 -38 01 17.194757664|005.0845652282645 -51.0573480940329| 40.197 -73.377   |10.543   |~                |    ~     ~    |    1|  220.274   pc  |  -4.1500     +4.1500  |ST-L    |2020AJ....160...83S
60  |CD-38 14778                                                                                              |Star                                  |21 53 48.8015652984 -37 41 01.018120596|005.5971480760650 -51.4365821605836|   4.649 -2.047   |10.9     |~                |    ~     ~    |    1| 1762.115   pc  | -55.8909    +55.8909  |paral   |2020yCat.1350....0G
61  |HD 206801                                                                                                |Star                                  |21 45 32.9180823024 -39 36 33.210055008|002.7035472367066 -49.7228690087313| 36.467 -23.481   |10.12    |G8/K2            |    ~     ~    |    1|  315.050   pc  |  -1.3697     +1.3697  |paral   |2020yCat.1350....0G
62  |HD 206818                                                                                                |Star                                  |21 45 35.9868133152 -39 43 50.970144612|002.5148653989016 -49.7251042364245|   13.297 2.823   |9.66     |G8(III)          |    ~     ~    |    1|  578.905   pc  |  -4.6583     +4.6583  |paral   |2020yCat.1350....0G
63  |HD 207114                                                                                                |Star                                  |21 47 50.2281052584 -39 30 42.801298812|002.8109513529948 -50.1692421740292|  23.839 -6.472   |7.49     |A3IV             |    ~     ~    |    1|  230.123   pc  |  -1.4034     +1.4034  |paral   |2020yCat.1350....0G
64  |HD 207010                                                                                                |Star                                  |21 46 59.8082744928 -39 49 50.059308252|002.3326536795762 -49.9862350737478|  11.327 -4.724   |9.71     |G8/K0(III)       |    ~     ~    |    1|  613.409   pc  | -17.9000    +17.9000  |ST-L    |2020AJ....160...83S
65  |HD 207105                                                                                                |Star                                  |21 47 38.9092366704 -39 47 17.717810964|002.3846309076642 -50.1140625643690|  -17.982 3.713   |10.24    |F7/G0V           |    ~     ~    |    1|  278.816   pc  |  -1.7880     +1.7880  |paral   |2020yCat.1350....0G
66  |HD 207510                                                                                                |Star                                  |21 50 30.6280041480 -39 46 21.785103696|002.3438856202224 -50.6635256790187|  -0.591 -1.123   |9.86     |F0V              |    ~     ~    |    1|  320.441   pc  |  -7.4980     +7.4980  |ST-L    |2020AJ....160...83S
67  |HD 207613                                                                                                |Star                                  |21 51 12.1954073808 -40 09 54.649728612|001.7085186821695 -50.7624566023944|-32.650 -13.080   |9.68     |G8III            |    ~     ~    |    1|  566.958   pc  |  -4.1466     +4.1466  |paral   |2020yCat.1350....0G
68  |CD-40 14518                                                                                              |Star                                  |21 51 19.9192405608 -39 46 36.076757268|002.3174287591364 -50.8205336610979|-36.453 -13.726   |10.99    |~                |    ~     ~    |    1|  167.570   pc  |  -1.8370     +1.8370  |ST-L    |2020AJ....160...83S
69  |HD 207645                                                                                                |Star                                  |21 51 29.0096366256 -40 02 41.152293348|001.8906847273836 -50.8265850228750|  12.816 -4.321   |9.38     |A4/5III/IV       |    ~     ~    |    1|  292.957   pc  |  -4.9510     +4.9510  |ST-L    |2020AJ....160...83S
70  |HD 208195                                                                                                |Spectroscopic Binary                  |21 55 42.4096098504 -40 13 32.157280848|001.4780750384403 -51.6123972097382| 69.671 -19.174   |9.48     |G0/2V            |    ~     ~    |    1|  122.204   pc  |  -0.9502     +0.9502  |ST-L    |2020AJ....160...83S
71  |CD-40 14507                                                                                              |Star                                  |21 49 10.5029078136 -39 41 23.017954020|002.5050802203156 -50.4138998686337|  23.011 -6.026   |10.66    |~                |    ~     ~    |    1|  349.261   pc  |  -7.0430     +7.0430  |ST-L    |2020AJ....160...83S
72  |CD-40 14514                                                                                              |Star                                  |21 50 36.1889379432 -39 58 52.507720488|002.0137069919803 -50.6641418735101| 11.561 -10.086   |10.57    |~                |    ~     ~    |    1|  309.483   pc  | -10.1430    +10.1430  |paral   |2020yCat.1350....0G
73  |CD-40 14523                                                                                              |Star                                  |21 51 40.0086307776 -40 16 02.140671432|001.5348047274721 -50.8411856814805|  11.297 -4.977   |10.785   |~                |    ~     ~    |    1|  446.925   pc  | -12.9800    +12.9800  |ST-L    |2020AJ....160...83S
74  |CD-40 14528                                                                                              |Star                                  |21 52 55.2255348888 -40 17 54.823852392|001.4488484881027 -51.0761522387444|  14.684 -5.621   |10.751   |~                |    ~     ~    |    1|  184.785   pc  |  -2.2460     +2.2460  |ST-L    |2020AJ....160...83S
75  |TYC 7493-319-1                                                                                           |High Proper Motion Star               |21 45 24.3068845104 -37 19 14.645578296|006.2450183347137 -49.7802162478535| -57.830 -1.786   |10.30    |~                |    ~     ~    |    1|  242.854   pc  |  -1.0203     +1.0203  |paral   |2020yCat.1350....0G
76  |TYC 7493-452-1                                                                                           |Star                                  |21 45 30.5405464704 -37 13 12.120606660|006.4005882912127 -49.8021568665816|   6.364 -8.275   |10.721   |~                |    ~     ~    |    1| 1553.120   pc  |-155.8000   +155.8000  |ST-L    |2020AJ....160...83S
77  |TYC 7981-235-1                                                                                           |Star                                  |21 48 11.6051455584 -38 11 55.506450480|004.8555116879028 -50.3078409416359| -1.710 -10.257   |10.909   |~                |    ~     ~    |    1|  967.334   pc  | -44.0100    +44.0100  |ST-L    |2020AJ....160...83S
78  |TYC 7981-246-1                                                                                           |Star                                  |21 48 28.6223952000 -38 16 51.461410908|004.7232634827832 -50.3601279035241|  -6.052 -9.040   |10.82    |~                |    ~     ~    |    1|  913.826   pc  | -14.6139    +14.6139  |paral   |2020yCat.1350....0G
79  |TYC 7981-250-1                                                                                           |Star                                  |21 46 51.4560517368 -37 58 59.335461696|005.2065210739326 -50.0528088096501|  11.455 -9.768   |10.50    |~                |    ~     ~    |    1|  574.944   pc  |  -5.8840     +5.8840  |paral   |2020yCat.1350....0G
80  |TYC 7981-702-1                                                                                           |Star                                  |21 47 52.9573414536 -38 24 52.257533760|004.5221590152349 -50.2379925513327|   9.549 -0.383   |10.79    |~                |    ~     ~    |    1|  349.138   pc  |  -1.9016     +1.9016  |paral   |2020yCat.1350....0G
81  |TYC 7981-714-1                                                                                           |Star                                  |21 49 18.3723844056 -39 13 12.440305956|003.2379652717398 -50.4715893604891| -7.483 -18.477   |10.664   |~                |    ~     ~    |    1|  332.362   pc  |  -8.2950     +8.2950  |ST-L    |2020AJ....160...83S
82  |TYC 7982-86-1                                                                                            |Star                                  |21 53 53.8474380384 -38 18 29.365911180|004.5954117869549 -51.4209388007404|    6.646 2.779   |10.71    |~                |    ~     ~    |    1|  761.963   pc  |  -9.8700     +9.8700  |paral   |2020yCat.1350....0G
83  |TYC 7982-431-1                                                                                           |Star                                  |21 54 25.6085249880 -37 59 01.179859128|005.1063536908528 -51.5429309432042|  4.430 -30.271   |10.487   |~                |    ~     ~    |    1|  382.417   pc  |  -9.7260     +9.7260  |ST-L    |2020AJ....160...83S
84  |TYC 7982-760-1                                                                                           |Star                                  |21 50 32.5149826704 -38 31 50.546053236|004.3002075530463 -50.7522670928995|   20.942 9.143   |10.99    |~                |    ~     ~    |    1|  258.973   pc  |  -1.4218     +1.4218  |paral   |2020yCat.1350....0G
85  |TYC 7982-1071-1                                                                                          |Spectroscopic Binary                  |21 51 33.8454572808 -39 22 18.395020812|002.9513647246911 -50.8968539866568| -9.035 -43.483   |10.915   |~                |    ~     ~    |    1|  572.205   pc  | -19.3700    +19.3700  |ST-L    |2020AJ....160...83S
86  |TYC 7982-1106-1                                                                                          |Star                                  |21 50 21.6464074632 -38 31 45.327873072|004.3054675453770 -50.7169678666300|  0.270 -11.556   |10.826   |~                |    ~     ~    |    1|  976.879   pc  | -57.0800    +57.0800  |ST-L    |2020AJ....160...83S
87  |TYC 7985-243-1                                                                                           |High Proper Motion Star               |21 47 45.6275051496 -39 40 17.238993384|002.5640246429425 -50.1437279571260| -69.300 -5.991   |10.98    |~                |    ~     ~    |    1|  120.517   pc  |  -0.2353     +0.2353  |paral   |2020yCat.1350....0G
88  |TYC 7985-282-1                                                                                           |Star                                  |21 49 31.9857880512 -39 34 02.843734512|002.6886896563620 -50.4915907997103|   4.222 -8.865   |10.83    |~                |    ~     ~    |    1|  963.763   pc  | -14.4899    +14.4899  |paral   |2020yCat.1350....0G
89  |TYC 7985-486-1                                                                                           |Star                                  |21 46 51.4200 -39 29 58.599            |002.8490082 -49.9813664            |    9.916 6.255   |10.924   |~                |    ~     ~    |    1|  387.887   pc  | -13.5400    +13.5400  |ST-L    |2020AJ....160...83S
90  |TYC 7985-518-1                                                                                           |High Proper Motion Star               |21 47 06.6208056744 -39 45 26.238954816|002.4440296622646 -50.0130824802856| 22.330 -79.459   |10.86    |~                |    ~     ~    |    1|   74.856   pc  |  -0.3592     +0.3592  |ST-L    |2020AJ....160...83S
91  |TYC 7985-524-1                                                                                           |Star                                  |21 49 56.4300109848 -40 07 32.728616040|001.8038398485257 -50.5255311302022|  -1.166 -9.445   |10.95    |~                |    ~     ~    |    1|  618.543   pc  | -21.5900    +21.5900  |ST-L    |2020AJ....160...83S
92  |TYC 7985-936-1                                                                                           |High Proper Motion Star               |21 48 17.1766799328 -39 55 47.110215432|002.1502493465085 -50.2257095589386| 67.884 -25.044   |10.912   |~                |    ~     ~    |    1|  154.050   pc  |  -1.3730     +1.3730  |ST-L    |2020AJ....160...83S
93  |TYC 7986-678-1                                                                                           |Star                                  |21 51 07.5456521928 -39 30 47.987453412|002.7378822195498 -50.8018165261801| -22.782 -0.225   |10.847   |~                |    ~     ~    |    1|  653.975   pc  | -22.3700    +22.3700  |ST-L    |2020AJ....160...83S
94  |TYC 7986-733-1                                                                                           |Star                                  |21 52 11.6480667864 -39 57 06.385692096|002.0184211551363 -50.9703898731862|   7.535 -8.194   |10.46    |~                |    ~     ~    |    1| 1239.760   pc  | -75.7900    +75.7900  |ST-L    |2020AJ....160...83S
95  |TYC 7986-897-1                                                                                           |Star                                  |21 52 18.8553642696 -39 47 13.010333604|002.2760820507404 -51.0077208845021|-29.254 -16.513   |10.983   |~                |    ~     ~    |    1|  243.781   pc  |  -3.6520     +3.6520  |ST-L    |2020AJ....160...83S
96  |HD 208322                                                                                                |High Proper Motion Star               |21 56 27.5251127904 -38 24 42.151709448|004.3774410409671 -51.9154550197944| 33.092 -45.875   |8.94     |F5V              |    ~     ~    |    1|  115.144   pc  |  -0.2347     +0.2347  |paral   |2020yCat.1350....0G
97  |HD 208522                                                                                                |High Proper Motion Star               |21 57 40.8044610456 -38 19 30.192191040|004.4910244624412 -52.1602713221520| 36.489 -35.159   |8.75     |K3III            |    ~     ~    |    1|  502.664   pc  |  -5.2808     +5.2808  |paral   |2020yCat.1350....0G
98  |HD 208624                                                                                                |Star                                  |21 58 24.9811669008 -38 08 21.783611832|004.7771703507598 -52.3173514128952| 16.108 -18.251   |8.17     |K1III            |    ~     ~    |    1|  276.182   pc  |  -1.9984     +1.9984  |paral   |2020yCat.1350....0G
