C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:42:58

dec< 0&rah >=21.75&rah< 22.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3324

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1374|HD 208028                                                                                                |Star                                  |21 53 37.8545521680 -08 23 53.953059624|048.4236925899031 -44.0347941771268|   11.321 9.357   |9.08     |K0III            |    ~     ~    |    1|  444.543   pc  | -12.9440    +12.9440  |paral   |2020yCat.1350....0G
1375|HD 208126                                                                                                |Star                                  |21 54 17.7045529656 -08 31 44.663230884|048.3796563970964 -44.2423276584745|  12.121 13.427   |9.75     |A9V              |    ~     ~    |    1|  346.395   pc  | -13.2700    +13.2700  |ST-L    |2020AJ....160...83S
1376|BD-09 5870                                                                                               |Star                                  |21 55 11.4432662592 -08 39 19.246178376|048.3804300332340 -44.4972036124983|  2.903 -15.480   |10.272   |~                |    ~     ~    |    1|  678.724   pc  | -29.9400    +29.9400  |ST-L    |2020AJ....160...83S
1377|BD-09 5871                                                                                               |High Proper Motion Star               |21 55 36.6129275064 -08 43 53.377705488|048.3599692820546 -44.6250047810929|-30.034 -45.791   |10.290   |~                |    ~     ~    |    1|  188.254   pc  |  -3.0980     +3.0980  |ST-L    |2020AJ....160...83S
1378|IRAS 21483-0743                                                                                          |Long-Period Variable                  |21 50 57.2796216504 -07 29 14.961284268|049.0506895365491 -43.0042578404244|  -8.805 -5.385   |10.82    |M4/5             |    ~     ~    |    1| 1476.451   pc  | -79.5666    +79.5666  |paral   |2020yCat.1350....0G
1379|BD-08 5741                                                                                               |Star                                  |21 48 06.3492950592 -08 18 51.291019476|047.5917818743860 -42.8061242875664|  4.655 -16.435   |10.29    |~                |    ~     ~    |    1|  698.080   pc  |  -9.6489     +9.6489  |paral   |2020yCat.1350....0G
1380|BD-08 5747                                                                                               |Star                                  |21 49 43.6260705984 -07 37 00.801390432|048.6885399264751 -42.8069430972943|    5.036 0.148   |10.674   |~                |    ~     ~    |    1|  311.722   pc  |  -7.2850     +7.2850  |ST-L    |2020AJ....160...83S
1381|BD-08 5750                                                                                               |Star                                  |21 50 42.5973892224 -08 07 01.869446064|048.2628123871199 -43.2681563898873| 12.008 -11.778   |10.70    |~                |    ~     ~    |    1| 1022.599   pc  | -16.4176    +16.4176  |paral   |2020yCat.1350....0G
1382|BD-08 5752                                                                                               |High Proper Motion Star               |21 50 52.9234838184 -07 47 20.739973992|048.6817629801208 -43.1408629327244| 86.970 -31.192   |10.57    |~                |    ~     ~    |    1|  140.146   pc  |  -0.4341     +0.4341  |paral   |2020yCat.1350....0G
1383|BD-08 5758                                                                                               |High Proper Motion Star               |21 52 20.2803019464 -07 59 28.599980532|048.6903326574780 -43.5541773864850| 24.484 -47.394   |10.751   |~                |    ~     ~    |    1| 1262.300   pc  |-120.9000   +120.9000  |ST-L    |2020AJ....160...83S
1384|BD-08 5765                                                                                               |Star                                  |21 55 13.5581371968 -07 22 38.717115096|049.9243832348259 -43.8591060875318| -5.411 -13.905   |10.31    |~                |    ~     ~    |    1| 1055.743   pc  | -23.6294    +23.6294  |paral   |2020yCat.1350....0G
1385|BD-09 5858                                                                                               |Star                                  |21 51 47.3874227376 -09 02 46.967112924|047.3281075971531 -43.9585965171746|  -7.787 -5.254   |10.469   |~                |    ~     ~    |    1| 1105.800   pc  | -70.0100    +70.0100  |ST-L    |2020AJ....160...83S
1386|BD-08 5768                                                                                               |Star                                  |21 56 09.3067972560 -08 14 13.118107092|049.0555430957166 -44.4943448718015|   1.847 -9.956   |10.81    |~                |    ~     ~    |    1|  815.993   pc  | -13.1172    +13.1172  |paral   |2020yCat.1350....0G
1387|TYC 5222-418-1                                                                                           |Star                                  |21 45 37.3828636152 -07 24 56.897280576|048.2333172122575 -41.8262143854767| 16.979 -12.810   |10.72    |~                |    ~     ~    |    1|  238.073   pc  |  -1.1449     +1.1449  |paral   |2020yCat.1350....0G
1388|TYC 5788-6-1                                                                                             |Star                                  |21 48 22.7827923768 -07 46 56.067089340|048.2661079393884 -42.6010230807251| -1.178 -13.722   |10.776   |~                |    ~     ~    |    1|  133.581   pc  |  -1.3900     +1.3900  |ST-L    |2020AJ....160...83S
1389|TYC 5788-46-1                                                                                            |Star                                  |21 46 38.1825631704 -08 13 43.016427876|047.4497662249756 -42.4475499281727|-35.124 -15.787   |10.92    |~                |    ~     ~    |    1|  297.725   pc  |  -2.6858     +2.6858  |paral   |2020yCat.1350....0G
1390|TYC 5788-160-1                                                                                           |Star                                  |21 47 10.4961213432 -07 43 30.597622860|048.1312193558933 -42.3139331323309| -9.751 -26.548   |10.47    |~                |    ~     ~    |    1|  171.424   pc  |  -0.7405     +0.7405  |paral   |2020yCat.1350....0G
1391|TYC 5788-331-1                                                                                           |Star                                  |21 48 12.3600747888 -07 40 14.399143716|048.3680535295528 -42.5079572252571|  -5.051 -9.017   |10.574   |~                |    ~     ~    |    1| 1228.690   pc  |-103.7000   +103.7000  |ST-L    |2020AJ....160...83S
1392|TYC 5788-333-1                                                                                           |Star                                  |21 46 03.2259376536 -07 57 49.565368836|047.6651100455191 -42.1914534267693|  11.932 17.891   |10.94    |~                |    ~     ~    |    1|  385.299   pc  | -13.1600    +13.1600  |ST-L    |2020AJ....160...83S
1393|TYC 5788-433-1                                                                                           |Star                                  |21 45 33.3561814728 -08 01 58.329985044|047.5019466650369 -42.1184205339478| 10.691 -15.926   |10.58    |~                |    ~     ~    |    1|  439.001   pc  |  -2.9486     +2.9486  |paral   |2020yCat.1350....0G
1394|TYC 5788-690-1                                                                                           |High Proper Motion Star               |21 48 01.5917445120 -08 33 25.599506040|047.2900652610827 -42.9083470972088|-54.695 -96.219   |10.99    |~                |    ~     ~    |    1|  102.990   pc  |  -0.1920     +0.1920  |paral   |2020yCat.1350....0G
1395|TYC 5788-1087-1                                                                                          |Star                                  |21 45 42.2624687520 -09 09 01.402042932|046.2038430921488 -42.6942065198326|    9.414 1.354   |10.78    |~                |    ~     ~    |    1|  389.628   pc  |  -9.0430     +9.0430  |ST-L    |2020AJ....160...83S
1396|TYC 5789-59-1                                                                                            |Star                                  |21 51 10.6203448824 -09 09 43.700752584|047.0854951243298 -43.8828152509128| -3.585 -15.145   |10.922   |~                |    ~     ~    |    1|  315.498   pc  |  -6.1340     +6.1340  |ST-L    |2020AJ....160...83S
1397|TYC 5789-246-1                                                                                           |Star                                  |21 50 39.9121779288 -08 56 55.268395044|047.2585453392645 -43.6685365621219| -4.895 -36.822   |10.5     |~                |    ~     ~    |    1|  274.507   pc  |  -1.5146     +1.5146  |paral   |2020yCat.1350....0G
1398|TYC 5789-544-1                                                                                           |Star                                  |21 50 40.2730880112 -08 17 17.776885020|048.0522787953703 -43.3449066931325| 11.761 -14.987   |10.93    |~                |    ~     ~    |    1|  497.686   pc  |  -5.5483     +5.5483  |paral   |2020yCat.1350....0G
1399|HD 208421                                                                                                |Star                                  |21 56 17.5429299336 -09 30 20.653706988|047.5254381163778 -45.1524948412853|   16.310 2.838   |9.22     |G8/K0III         |    ~     ~    |    1|  646.245   pc  |  -8.2691     +8.2691  |paral   |2020yCat.1350....0G
1400|V* BV Cap                                                                                                |Long-Period Variable                  |21 56 24.8942182560 -09 35 09.095169696|047.4469991192241 -45.2178829296893|   17.259 0.545   |8.08     |M4III            |    ~     ~    |    1|  570.646   pc  |  -9.9319     +9.9319  |paral   |2020yCat.1350....0G
1401|BD-10 5805                                                                                               |Star                                  |21 59 15.5163119976 -09 30 25.616004336|048.0337939344536 -45.7911086981580|   12.716 6.361   |10.39    |~                |    ~     ~    |    1|  788.146   pc  | -10.6842    +10.6842  |paral   |2020yCat.1350....0G
1402|BD-08 5769                                                                                               |Star                                  |21 56 21.1675000976 -07 36 31.514198229|049.8472215368178 -44.2175001662899| 24.866 -20.864   |10.87    |~                |    ~     ~    |    0|                |                       |        |                   
1403|HD 208461                                                                                                |Star                                  |21 56 28.2810765264 -07 33 58.915687392|049.9190180249229 -44.2210200701969|   33.846 4.157   |9.52     |F3/5V            |    ~     ~    |    1|  226.619   pc  |  -2.5421     +2.5421  |paral   |2020yCat.1350....0G
1404|HD 208721                                                                                                |Star                                  |21 58 20.7653409768 -07 34 02.446017348|050.2521149223374 -44.6200929140793|   18.407 1.541   |9.37     |K0III/IV         |    ~     ~    |    1|  449.944   pc  |  -3.4416     +3.4416  |paral   |2020yCat.1350....0G
1405|BD-08 5771                                                                                               |High Proper Motion Star               |21 56 40.1888746176 -08 04 44.628562704|049.3368682805433 -44.5245309170471| 40.920 -84.541   |10.523   |~                |    ~     ~    |    1|  183.411   pc  |  -2.7510     +2.7510  |ST-L    |2020AJ....160...83S
1406|BD-08 5773                                                                                               |Eclipsing Binary                      |21 57 51.4013466720 -07 53 47.991246144|049.7672860618091 -44.6848548932701| 61.273 -63.065   |10.804   |K2IV             |    ~     ~    |    1|   84.902   pc  |  -0.5598     +0.5598  |ST-L    |2020AJ....160...83S
1407|BD-08 5775                                                                                               |High Proper Motion Star               |21 58 25.2348197040 -07 52 18.007064832|049.8979611736401 -44.7921314567369|  67.428 21.292   |10.60    |~                |    ~     ~    |    1|  220.682   pc  |  -1.0276     +1.0276  |paral   |2020yCat.1350....0G
1408|BD-08 5778                                                                                               |Star                                  |21 58 46.7833009584 -08 13 57.964113120|049.5230240060204 -45.0525483329540|  2.026 -17.811   |10.761   |~                |    ~     ~    |    1|  417.076   pc  | -20.9700    +20.9700  |ST-L    |2020AJ....160...83S
1409|BD-09 5873                                                                                               |Star                                  |21 56 37.1269298280 -08 21 47.610774864|048.9834033218069 -44.6569939572795|-11.321 -25.064   |10.253   |~                |    ~     ~    |    1|  637.242   pc  | -19.0600    +19.0600  |ST-L    |2020AJ....160...83S
1410|BD-09 5874                                                                                               |Star                                  |21 57 00.3000927096 -09 04 45.411573612|048.1743744718691 -45.0965182903827| -4.695 -37.584   |10.71    |~                |    ~     ~    |    1|  250.708   pc  |  -1.1000     +1.1000  |paral   |2020yCat.1350....0G
1411|BD-09 5875                                                                                               |Star                                  |21 57 33.7057204728 -08 57 49.476170340|048.4131040675514 -45.1587883101870| 11.338 -11.407   |10.120   |~                |    ~     ~    |    1|  386.451   pc  | -30.4700    +30.4700  |ST-L    |2020AJ....160...83S
1412|HD 208612                                                                                                |Be Star                               |21 57 39.3549104664 -08 33 51.546622536|048.9197343728498 -44.9797480134346|    8.185 4.697   |6.80     |B7Ve             |    ~     ~    |    1|  256.614   pc  |  -3.6416     +3.6416  |paral   |2020yCat.1350....0G
1413|HD 208619                                                                                                |Star                                  |21 57 41.6257604256 -08 34 54.321800664|048.9050329045413 -44.9965853091535|    8.152 4.887   |8.51     |B9/9.5V          |    ~     ~    |    1|  264.145   pc  |  -5.2400     +5.2400  |ST-L    |2020AJ....160...83S
1414|HD 208752                                                                                                |Star                                  |21 58 34.2187606056 -08 19 06.898450224|049.3811436770599 -45.0513459911404|    7.596 1.174   |9.82     |A3III            |    ~     ~    |    1|  421.905   pc  |  -3.9161     +3.9161  |paral   |2020yCat.1350....0G
1415|HD 208767                                                                                                |Star                                  |21 58 40.3398220032 -08 28 30.977110344|049.2075732208232 -45.1522324947004| -0.956 -10.642   |8.61     |K2II             |    ~     ~    |    1|  417.153   pc  |  -4.4374     +4.4374  |paral   |2020yCat.1350....0G
1416|LP 759-9                                                                                                 |High Proper Motion Star               |21 57 57.1552973400 -08 29 21.720399000|049.0634664771999 -45.0055482278971| 220.865 69.662   |10.71    |~                |    ~     ~    |    1|  109.731   pc  |  -0.7941     +0.7941  |ST-L    |2020AJ....160...83S
1417|BD-08 5779                                                                                               |High Proper Motion Star               |21 59 07.2549127128 -07 27 15.237968940|050.5277861927441 -44.7261350785076|-32.129 -41.779   |10.59    |~                |    ~     ~    |    1|  296.331   pc  |  -1.9846     +1.9846  |paral   |2020yCat.1350....0G
1418|HD 208842                                                                                                |Star                                  |21 59 10.4138381496 -07 50 48.282651240|050.0628921885708 -44.9395435985223| 28.652 -12.043   |10.23    |A8/9III          |    ~     ~    |    1|  557.445   pc  | -14.1078    +14.1078  |paral   |2020yCat.1350....0G
1419|BD-09 5880                                                                                               |Star                                  |21 59 00.7975320696 -09 04 17.720712588|048.5329326765250 -45.5234599949608|    4.723 2.456   |9.96     |~                |    ~     ~    |    1| 1199.904   pc  | -22.8923    +22.8923  |paral   |2020yCat.1350....0G
1420|HD 208843                                                                                                |Long-Period Variable                  |21 59 14.0838921768 -08 58 11.020456596|048.6978719366726 -45.5202406320839| 33.791 -28.853   |8.20     |M2/3III          |    ~     ~    |    1|  711.642   pc  | -17.4214    +17.4214  |paral   |2020yCat.1350....0G
1421|BD-09 5882                                                                                               |Star                                  |21 59 53.3508146160 -08 40 13.264594212|049.1832317749696 -45.5103554272501|   1.886 -3.639   |10.45    |~                |    ~     ~    |    1|  627.392   pc  |  -6.8490     +6.8490  |paral   |2020yCat.1350....0G
1422|TYC 5789-978-1                                                                                           |Star                                  |21 56 55.2284951328 -07 33 48.856297284|050.0020918987986 -44.3151345080932|  31.745 -4.933   |10.920   |~                |    ~     ~    |    1|  424.260   pc  |-102.0000   +102.0000  |ST-L    |2020AJ....160...83S
1423|TYC 5789-1148-1                                                                                          |Star                                  |21 56 50.3811919344 -08 00 12.453071400|049.4581739807401 -44.5224479503729|-35.694 -26.789   |10.95    |~                |    ~     ~    |    1|  269.070   pc  |  -1.5276     +1.5276  |paral   |2020yCat.1350....0G
1424|TYC 5802-244-1                                                                                           |Star                                  |21 58 26.3472561624 -07 36 47.440019700|050.2135814318099 -44.6634557958435|   1.962 -5.456   |10.63    |~                |    ~     ~    |    1|   77.248   pc  |  -0.3377     +0.3377  |ST-L    |2020AJ....160...83S
1425|HD 206877                                                                                                |Star                                  |21 45 09.4254707040 -06 53 10.262190804|048.7678292774787 -41.4597352284565| -10.741 -3.487   |9.38     |K2/3             |    ~     ~    |    1| 1127.650   pc  | -24.9233    +24.9233  |paral   |2020yCat.1350....0G
1426|BD-07 5630                                                                                               |Star                                  |21 45 15.3 -06 51 55                   |048.8083 -41.4701                  |            ~ ~   |9.4      |~                |    ~     ~    |    0|                |                       |        |                   
1427|BD-07 5638                                                                                               |Star                                  |21 48 16.7605361496 -06 59 15.226039680|049.1782964834699 -42.1788297458538| -3.866 -22.780   |10.176   |~                |    ~     ~    |    1|  213.205   pc  |  -6.0910     +6.0910  |ST-L    |2020AJ....160...83S
1428|BD-07 5642                                                                                               |Star                                  |21 48 39.3486410160 -06 55 44.244775596|049.3106279550377 -42.2293638967868|       29.8 1.4   |10.68    |~                |    ~     ~    |    0|                |                       |        |                   
1429|BD-07 5644                                                                                               |Star                                  |21 49 16.6899858456 -06 49 57.550495512|049.5291695175430 -42.3129310065490|  1.275 -11.249   |10.50    |~                |    ~     ~    |    1|  786.125   pc  | -39.6100    +39.6100  |ST-L    |2020AJ....160...83S
1430|BD-07 5645                                                                                               |Star                                  |21 49 34.7225619840 -07 02 15.451206720|049.3421828465550 -42.4817763767864|   41.817 7.392   |10.103   |K0               |    ~     ~    |    1|  327.059   pc  |  -8.3700     +8.3700  |ST-L    |2020AJ....160...83S
1431|HD 207666                                                                                                |Star                                  |21 50 46.0473866712 -07 08 04.989381036|049.4331604976263 -42.7849647534013|   33.729 9.704   |9.95     |F3/5V            |    ~     ~    |    1|  418.796   pc  |  -5.5423     +5.5423  |paral   |2020yCat.1350....0G
1432|HD 207746                                                                                                |Star                                  |21 51 23.7727220904 -06 59 08.382318684|049.7165467433268 -42.8427416151737|  14.309 -9.219   |9.51     |K1III            |    ~     ~    |    1|  811.688   pc  | -10.4096    +10.4096  |paral   |2020yCat.1350....0G
1433|HD 207843                                                                                                |Star                                  |21 52 06.5921990736 -06 58 17.974048332|049.8571132398384 -42.9875176131448| -4.708 -14.547   |9.72     |K2(III)          |    ~     ~    |    1|  884.486   pc  | -16.4286    +16.4286  |paral   |2020yCat.1350....0G
1434|HD 207957                                                                                                |High Proper Motion Star               |21 53 01.7565951504 -07 00 27.978967548|049.9754209661141 -43.2017372962286| 46.708 -43.074   |9.698    |F6V              |    ~     ~    |    1|  178.747   pc  |  -1.9510     +1.9510  |ST-L    |2020AJ....160...83S
1435|HD 208041                                                                                                |Star                                  |21 53 40.2495027552 -07 08 17.647423188|049.9342073491052 -43.4053427040181|  -13.616 3.891   |10.22    |A0V              |    ~     ~    |    1|  657.765   pc  | -13.7584    +13.7584  |paral   |2020yCat.1350....0G
1436|BD-07 5668                                                                                               |Star                                  |21 55 55.0283132616 -07 12 13.722328512|050.2533302596131 -43.9166729725055|  8.821 -34.724   |10.29    |~                |    ~     ~    |    1|  256.115   pc  |  -1.4365     +1.4365  |paral   |2020yCat.1350....0G
1437|HD 208420                                                                                                |Double or Multiple Star               |21 56 13.82394 -06 58 47.9902          |050.57485698 -43.86723328          |     16.72 0.60   |7.63     |B9IV             |    ~     ~    |    0|                |                       |        |                   
1438|HD 207167                                                                                                |Star                                  |21 47 09.3225616896 -05 10 41.843202312|051.0532632829112 -41.0018093346144|    7.233 4.654   |9.48     |A9V              |    ~     ~    |    1|  224.850   pc  |  -1.1022     +1.1022  |paral   |2020yCat.1350....0G
1439|HD 207168                                                                                                |Star                                  |21 47 14.3044662816 -05 14 13.999591464|051.0013626015544 -41.0504641838726| -18.248 -6.589   |9.39     |K1III            |    ~     ~    |    1|  459.137   pc  |  -3.6470     +3.6470  |paral   |2020yCat.1350....0G
1440|HD 206904                                                                                                |Star                                  |21 45 21.6766492008 -05 29 25.460074464|050.3916967342820 -40.7855723214207| 26.061 -18.488   |9.72     |K0(III)          |    ~     ~    |    1|  520.833   pc  |  -5.0998     +5.0998  |paral   |2020yCat.1350....0G
1441|HD 207004                                                                                                |Star                                  |21 46 07.4943730272 -06 17 56.216907888|049.6048014477315 -41.3668993899303|  28.939 -3.707   |8.42     |K2III            |    ~     ~    |    1|  484.238   pc  |  -7.0111     +7.0111  |paral   |2020yCat.1350....0G
1442|HD 207092                                                                                                |Star                                  |21 46 42.1214539584 -06 06 36.404011332|049.9189940394318 -41.3924603126979|   0.826 17.114   |8.36     |K0III            |    ~     ~    |    1|  457.206   pc  |  -7.3372     +7.3372  |paral   |2020yCat.1350....0G
1443|HD 207091                                                                                                |Star                                  |21 46 42.0458304624 -06 05 25.701380124|049.9411845775700 -41.3820374614344|    2.659 6.251   |8.83     |K                |    ~     ~    |    1|  451.304   pc  |  -4.9901     +4.9901  |paral   |2020yCat.1350....0G
1444|BD-07 5631                                                                                               |Star                                  |21 45 42.4117410336 -06 32 49.612077096|049.2498287478582 -41.4048733616693|   -0.771 7.491   |10.450   |~                |    ~     ~    |    1|  190.855   pc  |  -2.8210     +2.8210  |ST-L    |2020AJ....160...83S
1445|BD-07 5634                                                                                               |Star                                  |21 46 28.0935286848 -06 40 06.582668880|049.2393491089578 -41.6294208329387|    2.371 1.073   |10.59    |K2               |    ~     ~    |    1|  775.916   pc  | -12.0409    +12.0409  |paral   |2020yCat.1350....0G
1446|BD-05 5634                                                                                               |Star                                  |21 46 20.9581740360 -05 06 35.727788700|050.9899640125245 -40.7952476255889|-10.051 -16.812   |10.72    |~                |    ~     ~    |    1|  360.075   pc  |  -2.5542     +2.5542  |paral   |2020yCat.1350....0G
1447|TYC 5218-397-1                                                                                           |Chemically Peculiar Star              |21 46 22.1866538160 -05 12 32.414813316|050.8822415942486 -40.8517972070504|  11.755 -9.069   |10.79    |~                |    ~     ~    |    1| 2433.060   pc  |-358.2000   +358.2000  |ST-L    |2020AJ....160...83S
1448|CCDM J21468-0613A                                                                                        |Star                                  |21 46 46.1968207704 -06 12 39.981933108|049.8152795090951 -41.4590722388643|  2.817 -13.615   |10.7     |~                |    ~     ~    |    1|  442.126   pc  |  -4.1441     +4.1441  |paral   |2020yCat.1350....0G
1449|CCDM J21471-0609A                                                                                        |Star                                  |21 47 03.8100395976 -06 08 49.415496144|049.9387679210444 -41.4884753656002|  14.834 -7.986   |10.8     |~                |    ~     ~    |    1|  786.535   pc  | -11.6922    +11.6922  |paral   |2020yCat.1350....0G
1450|BD-06 5814                                                                                               |High Proper Motion Star               |21 45 09.2172858600 -06 16 25.544740692|049.4686535412942 -41.1468676754833|-47.525 -78.407   |10.75    |~                |    ~     ~    |    1|  149.598   pc  |  -0.4051     +0.4051  |paral   |2020yCat.1350....0G
1451|BD-06 5817                                                                                               |Star                                  |21 45 49.4619369096 -05 44 05.975635524|050.1949278761438 -41.0113531572851|  26.329 -3.600   |10.673   |~                |    ~     ~    |    1|  364.670   pc  |  -9.8330     +9.8330  |ST-L    |2020AJ....160...83S
1452|BD-06 5818                                                                                               |Star                                  |21 45 54.9157478160 -05 58 27.148211004|049.9391572343491 -41.1547654902729|   17.119 5.553   |10.081   |~                |    ~     ~    |    1|  563.739   pc  | -25.7700    +25.7700  |ST-L    |2020AJ....160...83S
1453|BD-05 5633                                                                                               |Star                                  |21 46 02.5443555528 -04 49 17.774627520|051.2593427262185 -40.5778849866091|  38.381 -4.765   |10.182   |~                |    ~     ~    |    1|  203.691   pc  |  -2.6840     +2.6840  |ST-L    |2020AJ....160...83S
1454|BD-06 5824                                                                                               |Star                                  |21 46 42.9200142840 -05 19 51.825002304|050.8047547078925 -40.9891659764356|  -3.059 -6.595   |9.93     |~                |    ~     ~    |    1| 1287.996   pc  | -36.1647    +36.1647  |paral   |2020yCat.1350....0G
1455|BD-06 5825                                                                                               |Star                                  |21 46 55.9884011400 -05 56 38.215320540|050.1480632106067 -41.3555322225625|   1.429 -4.530   |10.38    |~                |    ~     ~    |    1| 1807.338   pc  | -66.3093    +66.3093  |paral   |2020yCat.1350....0G
1456|BD-06 5815                                                                                               |Star                                  |21 45 10.6211252904 -05 27 33.081647724|050.3952365317846 -40.7301656152693|   -1.491 6.643   |10.49    |~                |    ~     ~    |    1|  313.067   pc  |  -7.7331     +7.7331  |paral   |2020yCat.1350....0G
1457|BD-06 5821                                                                                               |Spectroscopic Binary                  |21 46 12.2508753864 -05 29 47.691956436|050.5297098655216 -40.9676347978247|-33.716 -41.545   |10.825   |~                |    ~     ~    |    1|  192.094   pc  |  -7.8400     +7.8400  |ST-L    |2020AJ....160...83S
1458|TYC 5222-1204-1                                                                                          |Star                                  |21 46 13.5400893480 -06 11 39.728261148|049.7414132283498 -41.3345386376602| -0.917 -10.050   |10.41    |~                |    ~     ~    |    1|  992.297   pc  | -72.7000    +72.7000  |ST-L    |2020AJ....160...83S
1459|HD 207982                                                                                                |Star                                  |21 53 10.4052075816 -05 09 06.852440952|052.1501754354155 -42.2563083800287|-28.833 -33.806   |10.15    |G6/8(III)        |    ~     ~    |    1|  333.422   pc  | -27.6592    +27.6592  |paral   |2020yCat.1350....0G
1460|HD 208099                                                                                                |Star                                  |21 53 57.1536503016 -04 49 06.982204836|052.6707213890020 -42.2400594977150|  10.275 -9.593   |10.08    |F5V              |    ~     ~    |    1|  292.637   pc  |  -1.7213     +1.7213  |paral   |2020yCat.1350....0G
1461|HD 208207                                                                                                |Star                                  |21 54 45.6026828472 -05 15 58.036664484|052.3071967471184 -42.6508497425633|  -0.967 -4.056   |8.06     |K0III            |    ~     ~    |    1|  253.826   pc  | -10.3213    +10.3213  |paral   |2020yCat.1350....0G
1462|BD-06 5835                                                                                               |Star                                  |21 48 34.8316039776 -05 20 46.113101196|051.1127387248746 -41.3917386210670|  7.744 -42.021   |10.34    |G5               |    ~     ~    |    1|  928.936   pc  | -14.9286    +14.9286  |paral   |2020yCat.1350....0G
1463|HD 207435                                                                                                |High Proper Motion Star               |21 49 01.8988164600 -05 24 13.497552396|051.1265625176628 -41.5175119526082|-51.312 -43.324   |6.651    |K0III            |    ~     ~    |    1|  121.117   pc  |  -0.3521     +0.3521  |paral   |2020yCat.1350....0G
1464|HD 207785                                                                                                |Chemically Peculiar Star              |21 51 35.9489467320 -05 43 39.728427564|051.2100056672600 -42.2311034059913| -5.891 -33.594   |9.973    |Fwp              |    ~     ~    |    1| 1804.490   pc  |-198.2000   +198.2000  |ST-L    |2020AJ....160...83S
1465|HD 207911                                                                                                |Star                                  |21 52 36.6312826608 -05 21 54.764329176|051.8054087681490 -42.2520511632364|  7.153 -25.382   |9.04     |F8V              |    ~     ~    |    1|  101.043   pc  |  -0.1828     +0.1828  |paral   |2020yCat.1350....0G
1466|HD 207934                                                                                                |Star                                  |21 52 46.7768848944 -05 42 23.284442088|051.4445125749577 -42.4691033171241|  13.677 -5.717   |9.87     |G8/K0(III)       |    ~     ~    |    1|  655.437   pc  | -12.1146    +12.1146  |paral   |2020yCat.1350....0G
1467|HD 208125                                                                                                |High Proper Motion Star               |21 54 12.0127548576 -05 21 10.644365736|052.1059922888026 -42.5798824233526| 103.433 69.159   |7.43     |F3V              |    ~     ~    |    1|  102.054   pc  |  -0.3135     +0.3135  |paral   |2020yCat.1350....0G
1468|HD 208192                                                                                                |Star                                  |21 54 42.168 -05 26 49.93              |052.088898 -42.735996              |     -25.4 -1.2   |10.52    |G3/5V            |    ~     ~    |    1|  240.612   pc  | +49.890      +8       |ST-L    |2017AJ....153...75K
1469|HD 208419                                                                                                |High Proper Motion Star               |21 56 10.7075948232 -05 41 14.369398296|052.0802718131136 -43.1746715371758|-17.785 -50.713   |10.07    |K0IV             |    ~     ~    |    1|  675.904   pc  | -16.4921    +16.4921  |paral   |2020yCat.1350....0G
1470|V* SY Aqr                                                                                                |Long-Period Variable                  |21 50 44.5531295136 -05 07 05.017738620|051.7528702414187 -41.7268650044253| -5.347 -14.962   |10.12    |M3III            |    ~     ~    |    1|  899.604   pc  | -41.2737    +41.2737  |paral   |2020yCat.1350....0G
1471|HD 207235                                                                                                |High Proper Motion Star               |21 47 38.2387779720 -05 55 00.508746720|050.3003508738694 -41.4910212545321|  65.373 18.983   |6.168    |A5V              |    ~     ~    |    1|   68.280   pc  |  -1.0098     +1.0098  |paral   |2020yCat.1350....0G
1472|BD-06 5829                                                                                               |Star                                  |21 47 55.4352736416 -05 48 04.105679220|050.4817319297281 -41.4915691351364|  8.306 -12.250   |9.95     |K0               |    ~     ~    |    1|  596.324   pc  | -42.7600    +42.7600  |ST-L    |2020AJ....160...83S
1473|HD 207299                                                                                                |Star                                  |21 48 00.5454492264 -06 07 37.724255796|050.1242320437118 -41.6792560539374|  0.491 -14.037   |9.40     |K2/3             |    ~     ~    |    1| 1022.660   pc  | -64.6400    +64.6400  |ST-L    |2020AJ....160...83S
1474|HD 207373                                                                                                |Star                                  |21 48 34.6776700032 -06 14 56.783076648|050.0825925320002 -41.8633778485437|  14.052 -7.407   |7.68     |A3IV             |    ~     ~    |    1|  131.365   pc  |  -0.6696     +0.6696  |paral   |2020yCat.1350....0G
1475|HD 207396                                                                                                |Star                                  |21 48 41.4089929272 -05 52 22.111305420|050.5330438910080 -41.6915147590565|    4.588 2.222   |10.23    |F3V              |    ~     ~    |    1|  321.275   pc  |  -2.0850     +2.0850  |paral   |2020yCat.1350....0G
1476|HD 207458                                                                                                |High Proper Motion Star               |21 49 12.2785168512 -06 11 47.268981996|050.2516129257045 -41.9692547674978|  49.294 35.032   |10.20    |F5/6V            |    ~     ~    |    1|  194.822   pc  |  -2.8640     +2.8640  |ST-L    |2020AJ....160...83S
