C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:12:37

Vmag< 11&dec >=0&rah >=17.0&rah< 17.25
--------------------------------------

Number of objects : 3887

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
2472|HD 154733                                                             |High Proper Motion Star        |17 06 18.0468410496 +22 05 02.953974156|042.9990107082629 +32.4545057222577|-98.351 -37.904    |5.565    |K3III                |    ~     ~    
2473|BD+22 3076                                                            |Star                           |17 06 49.0323051288 +22 00 08.337463668|042.9535458870148 +32.3147061294987|   5.904 -2.397    |9.52     |G5                   |    ~     ~    
2474|HD 154843                                                             |Star                           |17 07 01.7909479296 +22 05 05.395576056|043.0648453600725 +32.2950247049682|-13.134 -20.470    |8.21     |K2                   |    ~     ~    
2475|BD+22 3078                                                            |Star                           |17 07 06.2558044104 +22 43 29.453020104|043.7888430332833 +32.4851805771130|  -2.519 -4.409    |10.09    |F5                   |    ~     ~    
2476|HD 154918                                                             |Star                           |17 07 32.1556628136 +22 04 08.709656556|043.0924274193282 +32.1790522604056|  0.483 -12.629    |8.81     |G5                   |    ~     ~    
2477|HD 155209                                                             |Star                           |17 09 21.4532966256 +22 28 28.120245456|043.7063052351201 +31.9122271983110| -25.440 16.425    |8.50     |K2                   |    ~     ~    
2478|HD 155228                                                             |High Proper Motion Star        |17 09 27.2024625360 +22 05 30.567137316|043.2889145475699 +31.7666786679797| 62.140 -53.621    |7.04     |F6V                  |    ~     ~    
2479|BD+22 3091                                                            |Spectroscopic Binary           |17 09 56.5417959984 +22 09 12.695629032|043.4010437741284 +31.6798719853674| -6.357 -17.653    |10.31    |F8                   |    ~     ~    
2480|HD 155345                                                             |Star                           |17 10 09.0780358896 +22 24 14.265429732|043.6978199854824 +31.7158594784571|   8.305 -3.002    |8.29     |K5                   |    ~     ~    
2481|BD+22 3096                                                            |Star                           |17 11 33.1610798952 +22 43 29.879332968|044.1775366604860 +31.5138139747543|    5.854 9.236    |8.86     |K5                   |    ~     ~    
2482|BD+22 3100                                                            |Star                           |17 12 25.7025778752 +22 19 56.184028212|043.8197408927849 +31.1948440716002|  19.618 -0.315    |9.25     |K2                   |    ~     ~    
2483|HD 155904                                                             |Pulsating Variable             |17 13 30.1392918624 +22 44 44.521035288|044.3708671333966 +31.0952117404603| 24.833 -19.157    |7.67     |A2                   |    ~     ~    
2484|BD+22 3105                                                            |Star                           |17 14 03.4014540240 +22 34 11.990611740|044.2256297159713 +30.9170756764703| -10.165 -9.127    |8.62     |K0                   |    ~     ~    
2485|BD+22 3074                                                            |Star                           |17 06 27.8512935840 +22 07 56.770971744|043.0676923614558 +32.4344015253663| 24.513 -14.004    |9.94     |~                    |    ~     ~    
2486|IRAS 17122+2354                                                       |Star                           |17 14 20.3642106264 +23 51 14.867427996|045.6703100744989 +31.2674305047626|-15.097 -10.750    |9.55     |~                    |    ~     ~    
2487|TYC 2061-228-1                                                        |Star                           |17 12 50.0623821144 +23 17 14.446199364|044.9129577050951 +31.4149775583331|    8.834 5.367    |10.15    |~                    |    ~     ~    
2488|V* V934 Her                                                           |Long-Period Variable           |17 06 34.5128222328 +23 58 18.639373836|045.1517432725172 +32.9906815717332|  -8.734 -5.570    |7.62     |M2III                |    ~     ~    
2489|TYC 1534-318-1                                                        |Star                           |17 03 56.3299356696 +22 04 08.081454396|042.7709581522868 +32.9671790738328|   -4.470 0.443    |9.86     |~                    |    ~     ~    
2490|TYC 1534-687-1                                                        |Star                           |17 03 46.3489299724 +22 28 35.737794774|043.2167881883142 +33.1346400417418|      -0.8 -6.3    |10.55    |~                    |    ~     ~    
2491|TYC 1534-859-1                                                        |Star                           |17 03 51.2417987496 +21 59 00.050270460|042.6668884707705 +32.9580576010989| -34.944 -3.238    |9.63     |~                    |    ~     ~    
2492|TYC 1547-254-1                                                        |Pulsating Variable             |17 11 01.8689550768 +22 25 31.347323076|043.7992751554429 +31.5305387126896| -8.599 -18.136    |10.91    |~                    |    ~     ~    
2493|TYC 1547-306-1                                                        |Red Giant Branch star Candidate|17 06 10.6004255400 +22 14 44.956319892|043.1692798821771 +32.5341133614669|  -15.005 0.291    |10.06    |~                    |    ~     ~    
2494|TYC 1547-1079-1                                                       |Star                           |17 05 44.2680089544 +22 10 05.319955956|043.0430573718985 +32.6050856244785| -17.945 -6.738    |10.39    |~                    |    ~     ~    
2495|TYC 1548-3-1                                                          |Star                           |17 13 23.6938281120 +22 06 13.321154880|043.6536960475087 +30.9084051025394|  -2.749 19.722    |10.63    |~                    |    ~     ~    
2496|TYC 1548-126-1                                                        |Star                           |17 12 54.1214898840 +22 16 53.615700804|043.8057474837813 +31.0747202805158|  -7.774 12.917    |9.99     |~                    |    ~     ~    
2497|TYC 1548-154-1                                                        |Star                           |17 12 50.8107235104 +22 05 02.155309260|043.5830284297183 +31.0216998280069|  -18.040 6.179    |10.36    |~                    |    ~     ~    
2498|TYC 1548-220-1                                                        |Star                           |17 12 58.2575997096 +22 26 21.165987516|043.9857838234618 +31.1113249415113|    4.926 1.532    |10.43    |~                    |    ~     ~    
2499|TYC 1548-235-1                                                        |Star                           |17 12 26.8848681408 +22 18 49.380470784|043.8009916982412 +31.1844586185333| 30.374 -12.738    |10.88    |~                    |    ~     ~    
2500|TYC 1548-820-1                                                        |Horizontal Branch Star         |17 14 35.5835262000 +22 10 04.860790680|043.8311461760458 +30.6678151166415|  2.234 -24.820    |10.54    |~                    |    ~     ~    
2501|TYC 1548-1500-1                                                       |Star                           |17 14 56.5015875528 +22 18 17.494970148|044.0122640969360 +30.6368724364523|-15.257 -32.421    |9.95     |~                    |    ~     ~    
2502|TYC 2060-9-1                                                          |Star                           |17 03 55.4969744760 +23 44 30.639236136|044.6680454292160 +33.4970731287883|  -1.124 -1.137    |10.45    |~                    |    ~     ~    
2503|TYC 2060-22-1                                                         |Star                           |17 07 14.9773025664 +24 16 01.157351160|045.5426981326076 +32.9341891395151| -2.064 -12.872    |9.69     |~                    |    ~     ~    
2504|IRAS 17073+2334                                                       |Long-Period Variable           |17 09 28.4900955744 +23 31 12.440960688|044.8860411082480 +32.2198192028242|  3.373 -11.695    |10.19    |~                    |    ~     ~    
2505|TYC 2060-45-1                                                         |Star                           |17 07 09.0901774872 +23 29 13.162429716|044.6513544567719 +32.7154020969919|  3.738 -45.610    |10.71    |~                    |    ~     ~    
2506|TYC 2060-50-1                                                         |Star                           |17 04 30.0145341144 +24 04 58.648646928|045.1056335530116 +33.4757994583854| -4.684 -13.019    |10.66    |~                    |    ~     ~    
2507|TYC 2060-69-1                                                         |Star                           |17 06 12.1422351648 +23 21 00.083941920|044.4157198106366 +32.8795259913941|   -3.863 9.494    |10.87    |~                    |    ~     ~    
2508|TYC 2060-124-1                                                        |High Proper Motion Star        |17 06 15.0568862352 +23 50 37.890962484|044.9793734463405 +33.0219498558407|  7.081 -52.805    |10.08    |F1V                  |    ~     ~    
2509|TYC 2060-151-1                                                        |Star                           |17 05 54.9690399912 +23 25 58.854636192|044.4852687567060 +32.9678018281985|  -11.385 7.007    |10.10    |~                    |    ~     ~    
2510|TYC 2060-227-1                                                        |Star                           |17 08 19.6045086504 +24 02 30.012669780|045.3768217973265 +32.6313853342473|   19.748 1.608    |10.16    |~                    |    ~     ~    
2511|TYC 2060-228-1                                                        |Star                           |17 05 06.1492909872 +24 18 34.504067124|045.4142799899911 +33.4134041575429| -22.553 27.743    |10.19    |~                    |    ~     ~    
2512|TYC 2060-297-1                                                        |Star                           |17 09 05.2191536304 +24 06 09.624029112|045.5089658450049 +32.4849958965131|  -1.549 -2.127    |10.76    |~                    |    ~     ~    
2513|TYC 2060-335-1                                                        |Star                           |17 04 59.8006324104 +24 15 01.235707488|045.3378981787221 +33.4185221318149|   -0.565 2.356    |9.74     |~                    |    ~     ~    
2514|TYC 2060-346-1                                                        |Star                           |17 05 14.4269950416 +23 25 47.528819724|044.4242081242780 +33.1141348579335|   -8.111 2.232    |9.91     |~                    |    ~     ~    
2515|TYC 2060-395-1                                                        |Star                           |17 05 45.7470125208 +24 15 50.410590696|045.4166247593639 +33.2562719077061|   -7.575 9.715    |10.58    |~                    |    ~     ~    
2516|TYC 2060-501-1                                                        |Spectroscopic Binary           |17 09 32.3318931600 +22 37 02.688877776|043.8816003436817 +31.9187886478470|  -5.669 -6.143    |10.25    |~                    |    ~     ~    
2517|TYC 2060-506-1                                                        |Star                           |17 08 12.7110060192 +22 38 27.593001168|043.7916703673576 +32.2163034862777| 10.654 -22.184    |10.24    |~                    |    ~     ~    
2518|TYC 2060-614-1                                                        |Star                           |17 07 40.3298512560 +23 15 59.178319884|044.4470757688577 +32.5328705795126|  7.299 -15.739    |10.17    |~                    |    ~     ~    
2519|TYC 2060-642-1                                                        |Star                           |17 04 53.7711547392 +24 15 58.871518164|045.3479046014828 +33.4451904761050| -3.932 -37.884    |9.77     |~                    |    ~     ~    
2520|LSPM J1705+2326                                                       |High Proper Motion Star        |17 05 35.4205342776 +23 26 58.700649948|044.4763949460398 +33.0439956735297|-11.550 -153.380   |10.72    |~                    |    ~     ~    
2521|TYC 2060-737-1                                                        |Star                           |17 04 19.4274943992 +22 54 13.363160004|043.7487201073260 +33.1495579545705|    2.793 6.972    |10.20    |~                    |    ~     ~    
2522|TYC 2060-784-1                                                        |Star                           |17 09 34.2330947232 +23 52 05.176121232|045.2851216239460 +32.3075159221658|  7.145 -16.281    |10.41    |~                    |    ~     ~    
2523|TYC 2060-792-1                                                        |Star                           |17 06 51.7375260288 +22 34 50.864094516|043.6058642479149 +32.4919717230242|  -6.461 -4.107    |10.78    |~                    |    ~     ~    
2524|TYC 2060-794-1                                                        |Star                           |17 08 12.2521428864 +23 40 03.523607184|044.9443719853416 +32.5424298801834|  5.790 -28.532    |10.30    |~                    |    ~     ~    
2525|TYC 2060-806-1                                                        |Star                           |17 05 00.3524364888 +23 36 46.107677448|044.6121255278091 +33.2219059750514| -5.372 -19.355    |9.74     |~                    |    ~     ~    
2526|TYC 2060-867-1                                                        |Star                           |17 09 17.5439081784 +23 40 05.606310180|045.0369429226611 +32.3058323080096|  -4.907 -2.394    |10.78    |~                    |    ~     ~    
2527|TYC 2060-963-1                                                        |Star                           |17 04 51.6455670504 +23 53 28.886521776|044.9170273810367 +33.3390406828435|  -14.912 1.962    |10.22    |~                    |    ~     ~    
2528|TYC 2060-1008-1                                                       |Star                           |17 06 37.1059894008 +22 34 38.687283372|043.5806649592114 +32.5442087412462| -26.726 -5.824    |10.46    |~                    |    ~     ~    
2529|TYC 2060-1016-1                                                       |High Proper Motion Star        |17 09 45.5084262000 +23 45 36.628206768|045.1795937086398 +32.2331210654082| -3.630 -49.532    |10.76    |~                    |    ~     ~    
2530|TYC 2060-1021-1                                                       |Star                           |17 04 32.6211336192 +22 36 18.700723476|043.4299994608600 +33.0068718883133|  -7.052 -8.169    |10.57    |~                    |    ~     ~    
2531|TYC 2060-1106-1                                                       |Star                           |17 08 20.2069510656 +23 42 30.400206840|045.0015574746206 +32.5262588559681|  -8.673 -4.141    |10.35    |~                    |    ~     ~    
2532|TYC 2060-1153-1                                                       |Star                           |17 05 32.3783234280 +23 02 53.896749756|044.0175973235256 +32.9295178901374|  -2.011 19.542    |10.49    |~                    |    ~     ~    
2533|TYC 2060-1169-1                                                       |Star                           |17 04 20.4328745040 +22 44 14.982189072|043.5618927348471 +33.0933445401134|   -4.638 0.523    |9.96     |~                    |    ~     ~    
2534|TYC 2060-1175-1                                                       |Star                           |17 04 01.7208740328 +22 57 57.093322716|043.7936431136084 +33.2336149691954|   -4.022 2.593    |10.25    |~                    |    ~     ~    
2535|TYC 2060-1184-1                                                       |High Proper Motion Star        |17 08 23.5559126112 +23 22 51.878783244|044.6376750888127 +32.4118757055261|  3.159 -55.287    |10.54    |~                    |    ~     ~    
2536|TYC 2060-1241-1                                                       |Red Giant Branch star Candidate|17 07 18.4119514680 +22 34 05.929558824|043.6308769605209 +32.3907657777783|  -6.370 -9.432    |10.08    |~                    |    ~     ~    
2537|TYC 2060-1266-1                                                       |Star                           |17 05 53.6300183832 +23 06 27.651608136|044.1152542629216 +32.8708786003754|-14.357 -11.395    |10.27    |~                    |    ~     ~    
2538|TYC 2060-1316-1                                                       |Red Giant Branch star Candidate|17 07 50.7814204008 +22 34 13.351930896|043.6805500115076 +32.2734894545343|   -8.217 2.205    |10.03    |~                    |    ~     ~    
2539|TYC 2060-1339-1                                                       |High Proper Motion Star        |17 09 14.1239896488 +23 02 00.521501964|044.3200474226116 +32.1182941497703|  13.465 56.819    |10.54    |~                    |    ~     ~    
2540|TYC 2060-1340-1                                                       |Star                           |17 05 54.5386937280 +23 08 49.734880944|044.1611688874628 +32.8799792571363|   -3.922 7.553    |9.79     |~                    |    ~     ~    
2541|TYC 2061-144-1                                                        |Star                           |17 12 52.9925213520 +24 17 51.642525588|046.0429307484315 +31.7215877875644| -19.619 36.073    |10.12    |~                    |    ~     ~    
2542|TYC 2061-159-1                                                        |Spectroscopic Binary           |17 13 19.2193759584 +23 02 11.774576364|044.6767650032919 +31.2288691016265|   8.561 -1.658    |10.82    |~                    |    ~     ~    
2543|TYC 2061-312-1                                                        |Star                           |17 12 37.5499438536 +23 06 31.023422820|044.6965814402015 +31.4032663809965|    4.687 0.750    |10.75    |~                    |    ~     ~    
2544|TYC 2061-481-1                                                        |Star                           |17 13 23.3089150296 +23 43 46.529927184|045.4516816917809 +31.4346673918615|-27.669 -10.647    |10.10    |~                    |    ~     ~    
2545|TYC 2061-512-1                                                        |Star                           |17 10 58.2790324512 +22 46 58.822921020|044.1912752569573 +31.6594018648650|  23.905 -5.385    |10.21    |~                    |    ~     ~    
2546|TYC 2061-536-1                                                        |Star                           |17 10 31.5705344688 +23 32 54.549278196|045.0071265617910 +31.9999255354407| -20.393 19.177    |10.34    |~                    |    ~     ~    
2547|TYC 2061-543-1                                                        |Star                           |17 09 48.1793788296 +22 46 03.256295052|044.0721832505979 +31.9094362877271|   0.686 13.111    |10.09    |~                    |    ~     ~    
2548|TYC 2061-562-1                                                        |Star                           |17 12 43.9221325728 +22 56 57.834722832|044.5291792873211 +31.3289926891796| -4.819 -15.214    |10.59    |~                    |    ~     ~    
2549|TYC 2061-592-1                                                        |Star                           |17 10 27.0206154960 +23 50 49.885684188|045.3354856469871 +32.1098180215231|   -1.369 3.385    |10.74    |~                    |    ~     ~    
2550|TYC 2061-598-1                                                        |Star                           |17 11 13.7187787008 +23 29 12.748866504|044.9979584013029 +31.8276869078774|  7.716 -11.941    |10.54    |~                    |    ~     ~    
2551|TYC 2061-614-1                                                        |Star                           |17 13 39.8318376216 +23 19 47.840499192|045.0313577623188 +31.2480702695626|   9.625 -5.740    |10.89    |~                    |    ~     ~    
2552|TYC 2061-620-1                                                        |Star                           |17 12 40.9574367432 +23 49 44.921482536|045.5030187422741 +31.6192557856773|    3.289 5.961    |10.23    |~                    |    ~     ~    
2553|TYC 2061-652-1                                                        |Star                           |17 12 57.0518502864 +22 47 23.804706840|044.3716346279102 +31.2298120372162|  4.516 -12.714    |10.39    |~                    |    ~     ~    
2554|TYC 2061-653-1                                                        |Star                           |17 12 16.9254584712 +22 41 50.151566580|044.2105972832856 +31.3456857810644| -8.536 -12.289    |10.77    |~                    |    ~     ~    
2555|TYC 2061-711-1                                                        |Star                           |17 13 10.1517449520 +23 04 45.265143756|044.7109244994167 +31.2754904225038|   5.531 -0.963    |10.64    |~                    |    ~     ~    
2556|TYC 2061-740-1                                                        |Star                           |17 12 04.9213658424 +22 40 32.120136120|044.1690720443424 +31.3823212055679|   2.936 -1.133    |9.67     |~                    |    ~     ~    
2557|TYC 2061-858-1                                                        |High Proper Motion Star        |17 14 38.7557481576 +23 11 43.400236560|044.9668214021655 +30.9912988039138| 59.433 -23.703    |9.93     |~                    |    ~     ~    
2558|TYC 2061-1399-1                                                       |Star                           |17 14 01.5396932328 +24 19 30.236081916|046.1681000831614 +31.4825618615306|   2.998 -5.422    |10.96    |~                    |    ~     ~    
2559|TYC 2061-1858-1                                                       |Horizontal Branch Star         |17 14 41.3427996336 +22 37 10.936475256|044.3359001500816 +30.7953685234424|  -4.162 -6.487    |10.83    |~                    |    ~     ~    
2560|TYC 2061-2171-1                                                       |Star                           |17 14 58.3270489752 +24 11 02.161345308|046.0896230794516 +31.2336324088424|  -7.814 -2.065    |9.94     |~                    |    ~     ~    
2561|TYC 2061-2188-1                                                       |Star                           |17 14 18.5941510872 +23 37 44.776487172|045.4181149122128 +31.2027625583210| -14.420 29.340    |9.71     |~                    |    ~     ~    
2562|TYC 2064-590-1                                                        |Star                           |17 09 10.3608780888 +24 32 40.706259756|046.0153127404396 +32.6012763132800|    0.425 3.434    |10.63    |~                    |    ~     ~    
2563|TYC 2064-838-1                                                        |Star                           |17 09 30.1479921312 +24 27 12.356545356|045.9392346236055 +32.5021035475350|  10.911 -9.956    |10.93    |~                    |    ~     ~    
2564|TYC 2064-1038-1                                                       |Star                           |17 08 47.5219365936 +24 39 17.333115264|046.1089973946562 +32.7170521216848|    2.178 5.790    |10.63    |~                    |    ~     ~    
2565|TYC 2064-1244-1                                                       |Star                           |17 09 07.9950767976 +24 27 59.769652824|045.9238223096466 +32.5861508531870|  -1.635 -2.448    |10.32    |~                    |    ~     ~    
2566|TYC 2065-374-1                                                        |Star                           |17 11 26.3129010240 +24 48 40.787477892|046.5009040158085 +32.1914479159941|   -2.683 2.948    |10.81    |~                    |    ~     ~    
2567|TYC 2065-458-1                                                        |Star                           |17 13 51.5199424296 +24 48 18.577383588|046.6905996127370 +31.6663440622156|  3.364 -12.019    |10.76    |~                    |    ~     ~    
2568|TYC 2065-570-1                                                        |Star                           |17 10 43.1142621768 +24 36 15.176954052|046.2089494281450 +32.2844586831861| -0.433 -22.043    |10.41    |~                    |    ~     ~    
2569|TYC 2065-576-1                                                        |Spectroscopic Binary           |17 12 39.2848599216 +24 39 51.201569160|046.4345839523068 +31.8836533689077|    3.639 5.458    |9.76     |~                    |    ~     ~    
2570|TYC 2065-763-1                                                        |Star                           |17 14 55.6750419840 +24 32 22.188877620|046.4814943273769 +31.3536122532150|  -3.691 -9.482    |10.57    |~                    |    ~     ~    
2571|TYC 2065-1530-1                                                       |Star                           |17 14 55.2577185864 +24 46 31.198831356|046.7437973820932 +31.4276725773218| -9.652 -13.365    |10.37    |~                    |    ~     ~    
2572|TYC 2065-1815-1                                                       |Star                           |17 14 33.3076714176 +24 38 33.440779212|046.5658541862073 +31.4660079975376|    2.708 0.309    |10.23    |~                    |    ~     ~    
2573|ROTSE1 J171330.93+232026.3                                            |BY Dra Variable                |17 13 30.9686285112 +23 20 26.471712552|045.0305993499283 +31.2836310472151| -0.313 -32.011    |10.64    |~                    |    ~     ~    
2574|BD+27 2734                                                            |Star                           |17 00 11.7992281032 +27 02 05.009188668|048.1983410382601 +35.2474022774017|  -11.526 5.274    |10.40    |G5                   |    ~     ~    
2575|HD 153897                                                             |High Proper Motion Star        |17 01 09.6274826184 +27 11 47.492366532|048.4588978380814 +35.0836777249388| -5.168 -60.446    |6.562    |F5V                  |    ~     ~    
2576|BD+27 2739                                                            |Spectroscopic Binary           |17 01 27.4033112688 +27 02 40.316849844|048.3014588716476 +34.9796189728261| -3.055 -11.649    |10.52    |F8                   |    ~     ~    
2577|BD+27 2743                                                            |Star                           |17 03 03.1839669264 +26 48 08.621693100|048.1345686591557 +34.5716314918694|   -2.408 3.938    |9.38     |K0                   |    ~     ~    
2578|V* V928 Her                                                           |Long-Period Variable Candidate |17 00 18.3664856952 +26 14 39.171062868|047.2759962119195 +35.0097781257596|   6.386 -1.044    |8.14     |~                    |    ~     ~    
2579|BD+26 2933                                                            |Star                           |17 00 35.1434717760 +26 10 13.063892448|047.2104130919867 +34.9290981055621|  4.136 -18.485    |9.58     |K2                   |    ~     ~    
2580|HD 153819                                                             |Star                           |17 00 41.7742926216 +26 29 01.765997736|047.5865496925751 +34.9914482533032|  9.736 -21.896    |7.96     |K5                   |    ~     ~    
2581|BD+26 2937                                                            |Star                           |17 02 41.5442623032 +26 35 48.155884620|047.8675164820558 +34.5929212432532| -16.095 18.274    |8.92     |K0                   |    ~     ~    
2582|BD+26 2938                                                            |Spectroscopic Binary           |17 02 43.2134931432 +26 45 48.959609436|048.0646431776287 +34.6325437853964| -7.160 -41.882    |10.12    |F8                   |    ~     ~    
2583|HD 153833                                                             |Star                           |17 00 49.4990581488 +25 39 47.216381616|046.6354638981363 +34.7356926230048|  -2.991 19.728    |8.84     |F8                   |    ~     ~    
2584|BD+25 3179                                                            |Star                           |17 01 09.2467312632 +24 58 02.163967212|045.8514138697965 +34.4650840104750|   4.982 -0.853    |8.34     |M0                   |    ~     ~    
2585|BD+25 3180                                                            |Star                           |17 01 37.1487836136 +25 37 57.290785752|046.6614438288583 +34.5553903939911|  -1.310 13.748    |8.59     |K7                   |    ~     ~    
2586|HD 154049                                                             |Star                           |17 02 02.1666338856 +25 02 16.454918580|046.0036598556863 +34.2943913771636| -22.785 30.462    |7.79     |K3III                |    ~     ~    
2587|HD 154084                                                             |High Proper Motion Star        |17 02 18.6961863888 +25 30 20.226210012|046.5677540259637 +34.3695453254304|  54.999 98.758    |5.762    |G7III:               |    ~     ~    
2588|BD+25 3184                                                            |Star                           |17 02 20.8454002608 +25 42 49.115783448|046.8122126474790 +34.4210200465814| -27.174 14.218    |9.75     |G5                   |    ~     ~    
2589|BD+25 3185                                                            |High Proper Motion Star        |17 02 28.3349379528 +25 40 27.632343000|046.7762123443920 +34.3829013106036| -20.537 47.737    |9.87     |G0                   |    ~     ~    
2590|BD+25 3186                                                            |Star                           |17 02 47.8242810696 +24 57 02.217450204|045.9634677679257 +34.1040120951014|  4.506 -22.527    |8.80     |K2                   |    ~     ~    
2591|HD 154183                                                             |High Proper Motion Star        |17 02 55.2113826456 +25 38 19.806945288|046.7697738075914 +34.2760267141510|-36.272 -122.210   |8.66     |G0V                  |    ~     ~    
2592|BD+25 3189                                                            |Star                           |17 02 59.4057115176 +25 22 26.049156168|046.4682282257886 +34.1850230911277| -7.816 -15.627    |8.79     |K0                   |    ~     ~    
2593|BD+25 3190                                                            |Star                           |17 03 09.4322141184 +24 50 56.568343776|045.8751471911317 +33.9961681360007| -11.604 28.330    |8.37     |K1III                |    ~     ~    
2594|TYC 2063-2-1                                                          |Star                           |17 00 10.0994279136 +24 36 49.244960952|045.3616811093690 +34.5758484254037| -2.728 -16.129    |10.49    |~                    |    ~     ~    
2595|TYC 2063-61-1                                                         |Star                           |17 00 12.4386179040 +26 05 32.071257960|047.0902150897212 +34.9891145168645|  -11.316 5.172    |10.41    |~                    |    ~     ~    
2596|TYC 2063-328-1                                                        |High Proper Motion Star        |17 00 16.6172139552 +24 50 13.750332000|045.6300682228835 +34.6175601344357|-131.232 -47.817   |10.67    |~                    |    ~     ~    
2597|TYC 2063-559-1                                                        |Spectroscopic Binary           |17 00 32.0204963544 +26 01 29.863322940|047.0361772532898 +34.9000247415579|  -0.827 52.573    |10.94    |~                    |    ~     ~    
2598|TYC 2063-756-1                                                        |Star                           |17 00 44.7353131728 +25 29 46.486964832|046.4345928217473 +34.7055819932399|  -4.473 12.112    |10.82    |~                    |    ~     ~    
2599|TYC 2063-960-1                                                        |Star                           |17 00 14.5129291416 +24 58 23.571598548|045.7855203465404 +34.6646648876375|-29.381 -12.237    |10.80    |~                    |    ~     ~    
2600|TYC 2064-569-1                                                        |Star                           |17 02 37.3555771584 +25 37 04.584795852|046.7223893829107 +34.3343723000730|  2.039 -28.384    |10.93    |~                    |    ~     ~    
2601|TYC 2064-687-1                                                        |Star                           |17 01 53.1490547616 +25 51 16.314924492|046.9405692665075 +34.5605012409930|   -2.131 6.413    |9.74     |~                    |    ~     ~    
2602|TYC 2064-795-1                                                        |High Proper Motion Star        |17 02 58.7109543240 +25 32 19.124735712|046.6581482998088 +34.2348136487429|  1.388 -90.089    |10.84    |~                    |    ~     ~    
2603|TYC 2064-855-1                                                        |Star                           |17 01 42.0915878328 +25 28 48.348119676|046.4904300661006 +34.4941921948058| -11.753 14.137    |10.02    |~                    |    ~     ~    
2604|TYC 2064-999-1                                                        |Star                           |17 03 31.3324884000 +25 42 37.342444068|046.8994421563365 +34.1663850602731|   0.484 -5.476    |10.30    |~                    |    ~     ~    
2605|TYC 2064-1240-1                                                       |Star                           |17 02 40.8762837600 +24 39 02.772839232|045.6081401735439 +34.0410113183580|  22.820 -8.898    |10.80    |~                    |    ~     ~    
2606|RX J1703.2+2453                                                       |BY Dra Variable                |17 03 13.5168545712 +24 53 21.042805992|045.9268866549830 +33.9931902569506|  -6.582 -6.493    |10.00    |~                    |    ~     ~    
2607|TYC 2067-15-1                                                         |Star                           |17 00 43.8955668864 +26 15 06.235569216|047.3168943435225 +34.9201403336437|-10.402 -21.568    |10.67    |~                    |    ~     ~    
2608|TYC 2067-289-1                                                        |Star                           |17 00 40.9656687912 +26 41 36.361829652|047.8318595806941 +35.0513416973654|   0.470 -9.177    |10.84    |~                    |    ~     ~    
2609|TYC 2067-685-1                                                        |Star                           |17 00 58.3753121592 +27 08 37.445541324|048.3831481110125 +35.1098594688087|  -5.600 -7.937    |9.92     |~                    |    ~     ~    
2610|TYC 2067-995-1                                                        |Star                           |17 00 50.0272563528 +27 03 56.518742232|048.2811158681716 +35.1189245257483|  29.563 -0.696    |10.80    |~                    |    ~     ~    
2611|TYC 2067-1135-1                                                       |Star                           |17 00 42.8695650912 +27 00 54.328268700|048.2128164040457 +35.1310187274000|  3.015 -10.496    |10.75    |~                    |    ~     ~    
2612|TYC 2068-55-1                                                         |Star                           |17 03 22.9987829784 +26 46 25.700739492|048.1255713517106 +34.4929278563279|-18.445 -35.692    |10.22    |~                    |    ~     ~    
2613|TYC 2068-91-1                                                         |Star                           |17 03 16.2224883840 +26 58 46.008877800|048.3574911547848 +34.5730550848936|   -3.939 9.840    |10.86    |~                    |    ~     ~    
2614|GSC 02068-00329                                                       |Double or Multiple Star        |17 03 03.330936 +26 40 30.05112        |047.985960074 +34.536330853        |      -0.7 12.0    |10.201   |~                    |    ~     ~    
2615|TYC 2068-380-1                                                        |High Proper Motion Star        |17 03 30.7349784504 +26 18 14.847425280|047.5879369397333 +34.3357300732551|   8.507 89.846    |10.80    |~                    |    ~     ~    
2616|GSC 02068-00610                                                       |Double or Multiple Star        |17 03 33.4383614784 +27 04 19.822788660|048.4868574245622 +34.5365902471990|  3.572 -12.415    |10.573   |~                    |    ~     ~    
2617|TYC 2068-1439-1                                                       |Star                           |17 01 48.7200705456 +27 10 22.072333296|048.4780458941518 +34.9376945531486|  -9.156 -4.210    |10.94    |~                    |    ~     ~    
2618|BD+27 2744                                                            |Star                           |17 04 01.8092777616 +26 59 39.390940788|048.4304542333562 +34.4141424469813|    5.098 5.632    |10.53    |F0                   |    ~     ~    
2619|HD 154461                                                             |Star                           |17 04 30.8484205080 +27 03 31.922537688|048.5411982108460 +34.3279222286389|   -6.059 9.807    |8.29     |F0                   |    ~     ~    
2620|BD+27 2751                                                            |Star                           |17 05 03.5606206152 +27 10 27.740609544|048.7155426621002 +34.2424299018905|   7.638 -7.139    |9.33     |K0                   |    ~     ~    
2621|HD 154557                                                             |Star                           |17 05 06.6390281808 +26 52 31.056779640|048.3713726502833 +34.1500051682371|   -8.000 4.845    |8.13     |K2                   |    ~     ~    
2622|BD+26 2941                                                            |Star                           |17 04 14.2452523392 +26 30 41.010087816|047.8834936080510 +34.2372780729270| -1.974 -17.190    |10.55    |G0                   |    ~     ~    
