C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:12:37

Vmag< 11&dec >=0&rah >=17.0&rah< 17.25
--------------------------------------

Number of objects : 3887

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
77  |TYC 4647-2387-1                                                       |Star                           |17 13 14.9894438472 +82 36 57.218570424|115.1753261592849 +29.9815431268397|  -7.391 27.243    |10.89    |~                    |    ~     ~    
78  |BD+87 165                                                             |Star                           |17 11 51.7544545680 +87 07 17.660116416|119.9661803268803 +28.3086594532031| -17.740 41.738    |10.17    |G0                   |    ~     ~    
79  |BD+87 164                                                             |High Proper Motion Star        |17 09 02.4979341864 +86 58 53.801687064|119.8373652707627 +28.3983993823046|-37.043 -36.392    |9.89     |G0                   |    ~     ~    
80  |BD+86 261                                                             |Star                           |17 07 59.1689294496 +85 59 09.112597728|118.8090571198532 +28.8188751788621| -15.937 25.889    |10.76    |G8                   |    ~     ~    
81  |BD+86 265                                                             |Star                           |17 12 53.2485958920 +86 09 32.340948588|118.9523840523550 +28.6732062447784|   -7.305 5.084    |10.60    |G5                   |    ~     ~    
82  |BD+86 262                                                             |Star                           |17 10 07.7997915384 +85 55 06.612119616|118.7213145054280 +28.8112275766655|  -2.127 12.926    |9.91     |K0                   |    ~     ~    
83  |BD+85 282                                                             |Star                           |17 01 28.3040893104 +84 53 41.028375444|117.7340070482418 +29.3887927929847|   0.423 11.894    |10.34    |G8                   |    ~     ~    
84  |BD+85 283                                                             |Star                           |17 12 46.7818746192 +85 17 06.921471732|118.0321747210129 +29.0103630990656|  -1.363 24.633    |10.17    |G5                   |    ~     ~    
85  |BD+85 284                                                             |Star                           |17 09 12.0323187840 +85 46 07.482795780|118.5720827119388 +28.8862310690379|   2.011 -3.718    |10.65    |G8                   |    ~     ~    
86  |BD+84 379                                                             |Star                           |17 00 50.6681435520 +84 20 11.107080852|117.1595304819374 +29.6377819457952|  -2.405 -2.603    |10.56    |K0                   |    ~     ~    
87  |BD+84 381                                                             |Star                           |17 06 58.7330182776 +84 23 57.589467468|117.1547712230195 +29.4747121995542|  -7.971 -4.876    |10.77    |G0                   |    ~     ~    
88  |HD 159251                                                             |Star                           |17 10 20.7906630696 +84 35 55.608848088|117.3293098448152 +29.3224997833168| 29.431 -21.313    |7.23     |G5                   |    ~     ~    
89  |TYC 4651-855-1                                                        |Star                           |17 14 20.6504848296 +85 29 39.144924528|118.2396719283445 +28.9022655246521|  -0.883 -0.196    |10.64    |~                    |    ~     ~    
90  |TYC 4651-857-1                                                        |Star                           |17 13 15.8578075032 +85 22 47.552135268|118.1279606461672 +28.9653082854672|   -1.478 8.101    |10.85    |~                    |    ~     ~    
91  |TYC 4651-1515-1                                                       |Star                           |17 13 39.1528910904 +85 13 33.766969476|117.9616933008916 +29.0160586428346|  -2.177 17.589    |10.94    |~                    |    ~     ~    
92  |BD+88 108                                                             |Star                           |17 03 09.8441572992 +88 33 39.225419640|121.4835731669817 +27.7756834473183|  -7.507 18.733    |10.15    |G0                   |    ~     ~    
93  |BD+87 172                                                             |Star                           |17 09 06.3539143200 +87 56 28.135927464|120.8286885336157 +28.0016042481196|  -1.387 -2.431    |10.28    |G8                   |    ~     ~    
94  |BD+87 167                                                             |High Proper Motion Star        |17 10 11.6620579320 +87 20 01.072106880|120.1957654306956 +28.2416233848145|  -4.212 70.029    |10.58    |G2                   |    ~     ~    
95  |TYC 4655-1003-1                                                       |Star                           |17 01 57.4346622840 +87 58 31.105484400|120.8946764055476 +28.0443503365724|  -3.238 -3.105    |10.84    |~                    |    ~     ~    
96  |BD+63 1339                                                            |Star                           |17 14 50.0073422112 +63 21 36.478770516|093.0441554034253 +34.8094118059957|   4.056 29.574    |9.14     |K0                   |    ~     ~    
97  |TYC 4206-1158-1                                                       |Star                           |17 13 42.6808365912 +64 06 12.326647032|093.9619772235188 +34.8175498503255|   -7.094 4.656    |10.36    |~                    |    ~     ~    
98  |BD+67 993                                                             |High Proper Motion Star        |17 10 19.2203287728 +66 49 12.803814444|097.2906607205631 +34.6645056087033| -12.367 48.492    |8.56     |K0                   |    ~     ~    
99  |BD+66 997                                                             |Star                           |17 08 55.9452605040 +66 37 27.224001228|097.0921156509644 +34.8394475234367|  -6.554 12.763    |8.90     |G5                   |    ~     ~    
100 |BD+66 998                                                             |Star                           |17 09 34.7520779880 +66 41 32.048708460|097.1567896012768 +34.7625768765709|  -2.895 -4.897    |9.85     |K0                   |    ~     ~    
101 |HD 156142                                                             |Pulsating Variable             |17 10 56.8405047168 +66 15 26.355200292|096.6048405065854 +34.7170872602511|    0.807 8.143    |7.63     |A2                   |    ~     ~    
102 |BD+66 1000                                                            |Star                           |17 11 19.2186648624 +66 09 28.429191864|096.4772714510233 +34.6996955952549| -4.120 -15.283    |9.91     |G0                   |    ~     ~    
103 |BD+66 1002                                                            |Star                           |17 12 59.2507158480 +66 23 41.698484556|096.7205631236983 +34.4894887308541|  -0.935 24.359    |8.95     |G5                   |    ~     ~    
104 |BD+66 1001                                                            |Star                           |17 12 18.5044559952 +65 55 15.522603204|096.1711795423361 +34.6465515177913| -18.366 12.509    |10.10    |F8                   |    ~     ~    
105 |BD+65 1171                                                            |Star                           |17 10 31.4269223640 +65 41 19.955053968|095.9361616430398 +34.8702160245773| -25.461 16.332    |9.72     |F8                   |    ~     ~    
106 |BD+65 1172                                                            |High Proper Motion Star        |17 11 47.1763580064 +65 20 57.087263004|095.4997268425763 +34.8055996110464| -12.939 81.543    |9.04     |F8                   |    ~     ~    
107 |BD+65 1173                                                            |Star                           |17 14 50.4211678656 +65 30 27.256107168|095.6204639193234 +34.4649876512907| -0.325 -13.926    |10.02    |G5                   |    ~     ~    
108 |BD+64 1180                                                            |Star                           |17 11 53.7623449344 +64 47 10.010208660|094.8222355906593 +34.8954709586691| -23.246 19.278    |9.83     |F8                   |    ~     ~    
109 |BD+64 1182                                                            |Star                           |17 13 34.0979415912 +64 34 41.552323608|094.5353525828955 +34.7550230363936|   6.408 -7.015    |10.03    |A0                   |    ~     ~    
110 |IRAS 17139+6503                                                       |Star                           |17 14 10.3291914312 +65 00 42.867945360|095.0421139292454 +34.6186721609012|   -1.137 2.222    |10.29    |~                    |    ~     ~    
111 |TYC 4197-495-1                                                        |High Proper Motion Star        |17 07 26.3343454608 +66 50 20.193601236|097.3863442705200 +34.9374765489378|   4.259 43.467    |10.92    |~                    |    ~     ~    
112 |TYC 4206-129-1                                                        |Star                           |17 12 43.5856632672 +65 30 52.755651900|095.6760217979952 +34.6793385014985|  -0.305 -0.821    |10.74    |~                    |    ~     ~    
113 |TYC 4206-453-1                                                        |Star                           |17 13 49.2294779256 +65 23 27.548736000|095.5034895214252 +34.5895978476388|   6.882 11.013    |10.45    |~                    |    ~     ~    
114 |TYC 4206-935-1                                                        |Star                           |17 12 13.1082456000 +64 40 52.973842800|094.6891862215848 +34.8799241548625|  29.079 -0.854    |10.86    |~                    |    ~     ~    
115 |TYC 4210-28-1                                                         |Star                           |17 13 28.1921909784 +65 46 45.177878352|095.9752678740685 +34.5559739971188|   1.882 -5.744    |10.34    |~                    |    ~     ~    
116 |TYC 4210-309-1                                                        |Star                           |17 09 26.2502040456 +66 58 07.209041628|097.4892463056838 +34.7181375348794|-22.396 -30.245    |10.90    |~                    |    ~     ~    
117 |TYC 4210-528-1                                                        |Star                           |17 09 09.0307436712 +66 16 39.426031668|096.6733703118088 +34.8900929781535|    6.997 8.935    |10.90    |~                    |    ~     ~    
118 |TYC 4210-581-1                                                        |Star                           |17 13 53.3170460664 +66 05 01.163684544|096.3290720633266 +34.4584898287889|-16.198 -35.922    |9.77     |~                    |    ~     ~    
119 |TYC 4210-837-1                                                        |Star                           |17 13 45.3886554792 +65 53 55.765144248|096.1115800479506 +34.5054227191978| 10.447 -37.514    |10.47    |~                    |    ~     ~    
120 |TYC 4210-846-1                                                        |Star                           |17 10 32.3963897064 +65 56 06.482615856|096.2301322836241 +34.8208292836291|   -6.223 7.014    |10.23    |~                    |    ~     ~    
121 |RX J1713.0+6600                                                       |Double or Multiple Star        |17 13 04.483200 +66 00 33.37920        |096.258848734 +34.553403563        |       -7.1 0.9    |10.464   |~                    |    ~     ~    
122 |TYC 4210-957-1                                                        |High Proper Motion Star        |17 10 37.5233944680 +66 07 10.677147420|096.4483673709003 +34.7761087254122|  8.811 -67.300    |10.76    |~                    |    ~     ~    
123 |BD+69 885                                                             |Star                           |17 00 45.2947547424 +69 39 21.335919588|100.9001694050130 +34.8358695926590|   -6.736 5.694    |9.30     |F2                   |    ~     ~    
124 |BD+69 887                                                             |High Proper Motion Star        |17 01 04.8822905328 +69 29 19.063752072|100.6946919573264 +34.8549045483957| -12.463 59.664    |9.77     |G5                   |    ~     ~    
125 |BD+69 888                                                             |Star                           |17 01 50.2077542352 +69 01 01.159698612|100.1191737535273 +34.9185645935875|  -5.071 48.787    |9.96     |K0                   |    ~     ~    
126 |BD+69 890                                                             |Star                           |17 02 42.8006538120 +69 27 33.243821280|100.6128453624204 +34.7252474807349|   2.573 15.559    |9.18     |A5                   |    ~     ~    
127 |BD+69 892                                                             |Star                           |17 06 32.5200545424 +69 06 36.482152428|100.0967851025568 +34.4884385395427|  3.262 -46.882    |9.42     |F5                   |    ~     ~    
128 |BD+69 893                                                             |Star                           |17 07 21.0352214088 +69 24 55.986224472|100.4338301867598 +34.3432059895187| -0.145 -14.273    |9.43     |K0                   |    ~     ~    
129 |TYC 4421-901-1                                                        |Star                           |17 07 08.8991154552 +69 23 46.617479844|100.4165852840752 +34.3652282424675| -2.174 -13.905    |10.54    |F2                   |    ~     ~    
130 |BD+69 894                                                             |Spectroscopic Binary           |17 08 51.8638067136 +69 25 10.420726224|100.3990271223019 +34.2132427997788|-15.410 -112.821   |9.91     |G5                   |    ~     ~    
131 |HD 155952                                                             |High Proper Motion Star        |17 09 02.1151693176 +69 06 15.181476588|100.0243190471930 +34.2742677722560| -72.417 22.443    |8.37     |G0                   |    ~     ~    
132 |BD+69 899                                                             |Star                           |17 11 38.7449292048 +69 20 07.106398368|100.2303784065383 +33.9951237859861| 10.492 -19.096    |9.05     |K5                   |    ~     ~    
133 |BD+69 901                                                             |Star                           |17 13 17.4682347504 +69 39 03.011415696|100.5609248580014 +33.7829164156110|  -1.632 12.959    |9.21     |F2                   |    ~     ~    
134 |BD+68 914                                                             |Star                           |17 05 15.9933809160 +68 05 32.590876956|098.9318765295547 +34.8510006553645|  -7.632 16.427    |9.50     |F0                   |    ~     ~    
135 |BD+68 916                                                             |Double or Multiple Star        |17 09 58.105632 +68 12 02.90628        |098.936061575 +34.400240677        |      11.1 -8.4    |9.52     |F0                   |    ~     ~    
136 |BD+68 917                                                             |Star                           |17 10 17.0106430512 +68 47 28.167682452|099.6243534448116 +34.2383907412180|  -4.915 14.079    |8.89     |K5                   |    ~     ~    
137 |BD+68 918                                                             |Spectroscopic Binary           |17 10 36.4052328072 +68 40 53.010041736|099.4869957696577 +34.2348699345164|  12.114 24.891    |9.89     |G5                   |    ~     ~    
138 |BD+68 920                                                             |Star                           |17 11 23.3657573664 +68 50 35.255552316|099.6580990755107 +34.1292926434302|   -0.578 0.684    |8.67     |K2                   |    ~     ~    
139 |BD+68 921                                                             |Star                           |17 12 56.2495946472 +68 26 32.252643600|099.1484455436903 +34.0798248538350|   3.971 -5.872    |10.99    |F8                   |    ~     ~    
