C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:12

dec< 0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7147

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
33  |BD-00 2120                                                            |Star                              |09 04 18.3949529040 -00 44 59.626321440|230.2863046417930 +28.7859176759876| -9.137 -12.490   |10.36    |K0             |    ~     ~    |    1|  576.136   pc  |  -6.3399     +6.3399    |paral   |2020yCat.1350....0G
34  |BD-00 2121                                                            |Double or Multiple Star           |09 04 28.737 -01 28 42.51              |231.016035 +28.436220              |    -40.5 -21.0   |9.5      |G0             |    ~     ~    |    0|                |                         |        |                   
35  |BD-00 2122                                                            |Star                              |09 04 44.6584978680 -01 07 44.960753100|230.7193420149907 +28.6781116656206| -13.260 -5.871   |9.74     |G5             |    ~     ~    |    1|  597.657   pc  |  -6.2866     +6.2866    |paral   |2020yCat.1350....0G
36  |BD-00 2124                                                            |Star                              |09 05 20.0535545688 -00 55 43.384279404|230.6146523425407 +28.9094150028844| -0.218 -23.719   |9.64     |F5             |    ~     ~    |    1|  315.756   pc  |  -2.4926     +2.4926    |paral   |2020yCat.1350....0G
37  |BD-00 2126                                                            |Star                              |09 05 42.9771292248 -00 49 30.973442124|230.5721948162652 +29.0452191979942|-20.074 -17.507   |10.64    |G0             |    ~     ~    |    1|  204.286   pc  |  -0.8597     +0.8597    |paral   |2020yCat.1350....0G
38  |HD 78070                                                              |Star                              |09 06 11.2068483816 -01 33 03.202327728|231.3453257958356 +28.7584306012097| -13.582 -0.822   |9.956    |F0V            |    ~     ~    |    1|  464.190   pc  | -20.1100    +20.1100    |ST-L    |2020AJ....160...83S
39  |BD-00 2129                                                            |High Proper Motion Star           |09 07 08.6499426072 -01 12 06.270920388|231.1542772131959 +29.1472898462658| -4.598 -87.859   |10.459   |K0             |    ~     ~    |    1|  487.561   pc  | -13.8800    +13.8800    |ST-L    |2020AJ....160...83S
40  |HD 78537                                                              |High Proper Motion Star           |09 08 49.3746723384 -00 46 27.286950576|230.9960699841412 +29.7302589512488| 40.428 -96.679   |8.09     |F8V            |    ~     ~    |    1|   65.178   pc  |  -0.1032     +0.1032    |paral   |2020yCat.1350....0G
41  |HD 78575                                                              |Star                              |09 08 59.3578284768 -00 42 47.078993880|230.9619634716713 +29.7980456017749|   3.764 -3.970   |9.51     |F6V            |    ~     ~    |    1|  264.201   pc  |  -1.3821     +1.3821    |paral   |2020yCat.1350....0G
42  |HD 78576                                                              |Star                              |09 09 02.0851868328 -01 07 04.820464092|231.3630386967111 +29.5913808009205| -5.668 -22.623   |9.51     |F8/G0V         |    ~     ~    |    1|  199.960   pc  |  -0.8077     +0.8077    |paral   |2020yCat.1350....0G
43  |BD-00 2134                                                            |Star                              |09 09 03.2495245560 -01 21 01.725979932|231.5915238908298 +29.4707771270949|   -3.709 4.258   |10.41    |K0             |    ~     ~    |    1| 1453.066   pc  | -35.4715    +35.4715    |paral   |2020yCat.1350....0G
44  |HD 78623                                                              |Star                              |09 09 16.1432061744 -01 13 55.306619004|231.5098261640986 +29.5796879868748|  -24.189 1.515   |9.31     |F2V            |    ~     ~    |    1|  423.882   pc  | -11.2100    +11.2100    |ST-L    |2020AJ....160...83S
45  |HD 78664                                                              |Star                              |09 09 29.4110468016 -01 06 44.884886328|231.4278374712845 +29.6904639809233|  -18.382 0.215   |8.17     |K1III          |    ~     ~    |    1|  358.526   pc  |  -3.7020     +3.7020    |paral   |2020yCat.1350....0G
