C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:12

dec< 0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7147

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
3791|TYC 7689-1310-1                                                       |Star                              |09 00 30.1796170152 -44 29 49.321022676|265.8288463684229 +01.1066453450102|  -8.268 38.625   |10.60    |~              |    ~     ~    |    1|  172.087   pc  |  -0.3761     +0.3761    |paral   |2020yCat.1350....0G
3792|TYC 7689-1480-1                                                       |Star                              |09 04 23.5846828560 -44 11 35.046371364|266.0623519256963 +01.8288679958588|   -8.958 5.678   |10.54    |~              |    ~     ~    |    1|  942.329   pc  | -26.2843    +26.2843    |paral   |2020yCat.1350....0G
3793|TYC 7689-1503-1                                                       |Star                              |09 00 36.2270403312 -43 59 44.287238328|265.4632689081830 +01.4503691984699|   29.762 8.345   |10.39    |~              |    ~     ~    |    1|  697.156   pc  |  -6.2211     +6.2211    |paral   |2020yCat.1350....0G
3794|TYC 7689-1699-1                                                       |Star                              |09 01 07.6506870480 -44 06 53.764880328|265.6150558769206 +01.4425013012177|   -5.397 2.757   |9.68     |~              |    ~     ~    |    1|  776.277   pc  |  -6.9902     +6.9902    |paral   |2020yCat.1350....0G
3795|TYC 7689-1703-1                                                       |Star                              |09 00 34.1843334336 -43 58 12.625614228|265.4400659364029 +01.4625251717144|  -3.627 -6.029   |10.82    |~              |    ~     ~    |    1|  585.309   pc  | -16.8210    +16.8210    |paral   |2020yCat.1350....0G
3796|TYC 7689-1723-1                                                       |Star                              |09 00 19.0773041808 -44 07 10.220939328|265.5227449023465 +01.3301792616774| -12.148 13.423   |10.32    |~              |    ~     ~    |    1|  519.373   pc  |  -3.0751     +3.0751    |paral   |2020yCat.1350....0G
3797|TYC 7689-1757-1                                                       |Star                              |09 01 08.7806269584 -44 11 57.882397416|265.6807860686226 +01.3893038616144|   -7.540 1.808   |10.66    |~              |    ~     ~    |    1|  912.575   pc  | -27.3156    +27.3156    |paral   |2020yCat.1350....0G
3798|TYC 8165-147-1                                                        |Star                              |09 03 38.4583638048 -45 18 49.553010576|266.8089537313928 +00.9822758195119|   -5.865 5.377   |10.62    |~              |    ~     ~    |    1|  917.852   pc  |  -9.9409     +9.9409    |paral   |2020yCat.1350....0G
3799|TYC 8165-191-1                                                        |Star                              |09 03 47.8894469304 -45 03 02.265689196|266.6310851057997 +01.1781876049635|  -12.000 9.412   |10.78    |~              |    ~     ~    |    1|  503.880   pc  |  -4.2654     +4.2654    |paral   |2020yCat.1350....0G
3800|TYC 8165-263-1                                                        |Spectroscopic Binary              |09 09 56.8390151472 -45 02 29.723374752|267.3560207363362 +01.9872935741898|   -5.457 9.818   |10.89    |~              |    ~     ~    |    1|  597.122   pc  |  -3.7795     +3.7795    |paral   |2020yCat.1350....0G
3801|TYC 8165-275-1                                                        |Star                              |09 02 50.5823612952 -45 02 05.348687100|266.5070490660872 +01.0627051066589|   -7.042 0.311   |10.67    |~              |    ~     ~    |    1|  431.760   pc  |  -2.1065     +2.1065    |paral   |2020yCat.1350....0G
3802|TYC 8165-279-1                                                        |Star                              |09 07 59.3455371624 -45 00 59.866630740|267.1028939650962 +01.7499572129197| -10.043 10.289   |10.29    |~              |    ~     ~    |    1|  511.666   pc  |  -3.2987     +3.2987    |paral   |2020yCat.1350....0G
3803|TYC 8165-321-1                                                        |Star                              |09 04 17.8996756584 -45 27 25.769305836|266.9928071248555 +00.9727186889464| -12.831 11.331   |10.53    |~              |    ~     ~    |    1|  676.773   pc  |  -5.8627     +5.8627    |paral   |2020yCat.1350....0G
3804|IRAS 09052-4501                                                       |Star                              |09 06 58.6227139584 -45 13 06.486196188|267.1313957149977 +01.4819960780175|   -3.381 6.804   |10.46    |M3             |    ~     ~    |    1| 1356.852   pc  | -23.7495    +23.7495    |paral   |2020yCat.1350....0G
3805|TYC 8165-383-1                                                        |Star                              |09 06 04.4105950440 -45 14 03.140961936|267.0360128573821 +01.3536780020398|   -3.889 5.072   |10.55    |~              |    ~     ~    |    1|  784.929   pc  |  -9.0569     +9.0569    |paral   |2020yCat.1350....0G
3806|TYC 8165-477-1                                                        |Star                              |09 05 11.3917432368 -45 51 08.684553852|267.3909599820720 +00.8243618327850|  -13.654 9.347   |10.58    |~              |    ~     ~    |    1|  795.735   pc  |  -9.7512     +9.7512    |paral   |2020yCat.1350....0G
3807|TYC 8165-541-1                                                        |Star                              |09 05 41.1673583472 -45 05 42.148187664|266.8869695440654 +01.3964375739587| -12.087 10.669   |10.80    |~              |    ~     ~    |    1|  824.878   pc  |  -7.8249     +7.8249    |paral   |2020yCat.1350....0G
3808|TYC 8165-599-1                                                        |Star                              |09 04 44.3413101552 -45 07 36.761304468|266.7987246201723 +01.2509960377636|    4.102 2.041   |10.65    |~              |    ~     ~    |    1|  804.764   pc  |  -7.5775     +7.5775    |paral   |2020yCat.1350....0G
3809|IRAS 09066-4503                                                       |Star                              |09 08 27.8212919784 -45 15 27.854698428|267.3371793284530 +01.6484847677440|  -4.514 -1.426   |9.64     |M3             |    ~     ~    |    1|  836.330   pc  | -13.0797    +13.0797    |paral   |2020yCat.1350....0G
3810|TYC 8165-603-1                                                        |Star                              |09 06 33.2062636296 -45 11 08.403863316|267.0568863736664 +01.4488913801094|  -3.009 -0.391   |10.52    |~              |    ~     ~    |    1|  887.311   pc  | -26.9264    +26.9264    |paral   |2020yCat.1350....0G
3811|TYC 8165-693-1                                                        |Star                              |09 04 09.7049744232 -45 34 35.275335456|267.0657152004056 +00.8752896302171| -14.184 18.556   |10.45    |~              |    ~     ~    |    1|  901.632   pc  |  -9.2675     +9.2675    |paral   |2020yCat.1350....0G
3812|TYC 8165-702-1                                                        |Star                              |09 07 32.7855292128 -45 14 07.491499224|267.2115370894547 +01.5446044244874|   -0.773 5.016   |10.78    |~              |    ~     ~    |    1|  811.425   pc  |  -7.9668     +7.9668    |paral   |2020yCat.1350....0G
3813|TYC 8165-708-1                                                        |Star                              |09 03 01.2073202088 -45 44 40.346072736|267.0583174363088 +00.6145522267783|   -1.022 2.062   |10.35    |~              |    ~     ~    |    1|  494.267   pc  |  -3.5668     +3.5668    |paral   |2020yCat.1350....0G
3814|TYC 8165-742-1                                                        |Star                              |09 00 32.9530031304 -45 44 00.781385100|266.7648569644114 +00.2985174890066|   -8.708 8.031   |10.54    |~              |    ~     ~    |    1|  640.656   pc  |  -7.8805     +7.8805    |paral   |2020yCat.1350....0G
3815|TYC 8165-759-1                                                        |Star                              |09 02 57.0518791008 -45 48 10.489689360|267.0939242074489 +00.5667445755932|   -1.948 1.451   |10.63    |~              |    ~     ~    |    1|  595.699   pc  |  -3.8679     +3.8679    |paral   |2020yCat.1350....0G
3816|TYC 8165-773-1                                                        |Star                              |09 01 29.7453311520 -45 21 53.465762880|266.5971001424384 +00.6662937865866|  -21.973 5.080   |10.35    |~              |    ~     ~    |    1|  755.002   pc  |  -6.6123     +6.6123    |paral   |2020yCat.1350....0G
3817|TYC 8165-832-1                                                        |Star                              |09 03 53.7508184664 -45 18 30.712154976|266.8349047389282 +01.0191827348773|   -6.810 5.278   |10.67    |~              |    ~     ~    |    1| 1177.302   pc  | -14.8306    +14.8306    |paral   |2020yCat.1350....0G
3818|TYC 8165-839-1                                                        |Star                              |09 00 20.5081779312 -46 08 45.631829400|267.0515642397858 -00.0001829159144| -25.872 22.975   |10.22    |~              |    ~     ~    |    1|  251.743   pc  |  -3.1117     +3.1117    |paral   |2020yCat.1350....0G
3819|TYC 8165-938-1                                                        |Star                              |09 00 17.5263803832 -45 20 21.154540740|266.4383713349570 +00.5242264175989| -13.211 13.438   |10.87    |~              |    ~     ~    |    1|  668.360   pc  |  -5.5391     +5.5391    |paral   |2020yCat.1350....0G
3820|TYC 8165-1019-1                                                       |Star                              |09 10 08.4521628504 -45 11 49.118519112|267.4931714428201 +01.9065314995663| -18.143 15.167   |10.77    |~              |    ~     ~    |    1|  400.673   pc  |  -3.8529     +3.8529    |paral   |2020yCat.1350....0G
3821|TYC 8165-1022-1                                                       |Star                              |09 02 24.6770872944 -45 02 24.149062644|266.4603463882945 +01.0021691337394|  -13.292 6.077   |10.88    |~              |    ~     ~    |    1|  426.257   pc  |  -2.6528     +2.6528    |paral   |2020yCat.1350....0G
3822|TYC 8165-1068-1                                                       |Star                              |09 02 59.3683240416 -46 06 08.475420744|267.3221979076021 +00.3728262876090|   -0.675 2.178   |10.83    |~              |    ~     ~    |    1|  672.405   pc  |  -8.7713     +8.7713    |paral   |2020yCat.1350....0G
3823|TYC 8165-1084-1                                                       |Star                              |09 02 34.4013290400 -46 13 57.583012764|267.3718104388219 +00.2324364134896| -13.789 10.838   |10.70    |~              |    ~     ~    |    1|  466.135   pc  |  -8.1046     +8.1046    |paral   |2020yCat.1350....0G
3824|TYC 8165-1113-1                                                       |Star                              |09 06 52.9601025216 -45 40 01.023971916|267.4518201445617 +01.1676807736491|  -16.235 9.897   |10.89    |~              |    ~     ~    |    1|  194.753   pc  |  -0.4324     +0.4324    |paral   |2020yCat.1350....0G
3825|TYC 8165-1119-1                                                       |Star                              |09 03 27.6220896744 -45 59 50.464212612|267.2981026719632 +00.5036723246299|  -0.564 10.751   |10.65    |~              |    ~     ~    |    1|  147.453   pc  |  -0.2761     +0.2761    |paral   |2020yCat.1350....0G
3826|TYC 8165-1212-1                                                       |Spectroscopic Binary              |09 02 49.4158257048 -46 12 21.820786992|267.3806437259272 +00.2824684165199|  -13.159 7.250   |10.64    |~              |    ~     ~    |    1|  420.822   pc  |  -2.4084     +2.4084    |paral   |2020yCat.1350....0G
3827|GSC 08165-01281                                                       |Double or Multiple Star           |09 02 00.3089296248 -46 11 47.783235084|267.2796650685134 +00.1827269768421|  -16.317 8.680   |10.971   |~              |    ~     ~    |    1|  614.968   pc  | -14.4089    +14.4089    |paral   |2020yCat.1350....0G
3828|TYC 8165-1311-1                                                       |Star                              |09 02 21.8333562048 -46 11 26.937966444|267.3164581243246 +00.2330657949297|  -28.208 0.912   |10.43    |~              |    ~     ~    |    1|  174.158   pc  |  -0.3882     +0.3882    |paral   |2020yCat.1350....0G
3829|TYC 8165-1499-1                                                       |Star                              |09 03 23.1029505384 -46 01 12.813606048|267.3064757602399 +00.4786884737803| -11.006 -3.933   |10.83    |~              |    ~     ~    |    1|  309.186   pc  |  -1.0229     +1.0229    |paral   |2020yCat.1350....0G
3830|TYC 8165-1511-1                                                       |Pulsating Variable                |09 02 03.7732479720 -46 12 05.373920952|267.2899423676067 +00.1869784151180| -12.167 11.965   |10.99    |~              |    ~     ~    |    1|  626.292   pc  |  -7.7272     +7.7272    |paral   |2020yCat.1350....0G
3831|WRAY 15-332                                                           |Emission-line Star                |09 08 24.2917707552 -45 20 24.100744668|267.3907593266277 +01.5851584927115|  -12.301 2.211   |10.28    |~              |    ~     ~    |    1|  887.469   pc  | -14.2556    +14.2556    |paral   |2020yCat.1350....0G
3832|TYC 8165-1589-1                                                       |Star                              |09 00 36.9756555720 -46 06 50.267800080|267.0587581663900 +00.0567056888820|  -16.796 2.844   |10.63    |~              |    ~     ~    |    1|  412.882   pc  |  -1.8581     +1.8581    |paral   |2020yCat.1350....0G
3833|TYC 8165-1637-1                                                       |Star                              |09 01 29.8555326024 -45 56 07.093744800|267.0254598289042 +00.2895481933923| -29.938 20.872   |10.97    |~              |    ~     ~    |    1|  310.270   pc  |  -1.1167     +1.1167    |paral   |2020yCat.1350....0G
3834|TYC 8165-1640-1                                                       |Star                              |09 02 47.0440899936 -46 02 59.335543464|267.2592601442005 +00.3810899782883|   -6.785 9.308   |10.85    |~              |    ~     ~    |    1|  506.740   pc  | -13.5583    +13.5583    |paral   |2020yCat.1350....0G
3835|CD-44 5241                                                            |High Proper Motion Star           |09 13 04.2837965880 -45 01 07.317674724|267.7171809400063 +02.4055664588132| -57.045 30.858   |10.04    |F5             |    ~     ~    |    1|  161.145   pc  |  -0.3012     +0.3012    |paral   |2020yCat.1350....0G
3836|HD 79646                                                              |Star                              |09 13 47.8603125816 -45 14 33.043390656|267.9679023340813 +02.3443517901817|   -4.508 4.702   |10.10    |B9/A0V         |    ~     ~    |    1| 1122.839   pc  | -18.1550    +18.1550    |paral   |2020yCat.1350....0G
3837|HD 79696                                                              |Double or Multiple Star           |09 14 05.1760 -45 02 19.959            |267.8554570 +02.5216532            |   -7.694 3.215   |9.30     |G8/K0III+F     |    ~     ~    |    0|                |                         |        |                   
3838|HD 79736                                                              |High Proper Motion Star           |09 14 10.8851155776 -45 03 58.601968272|267.8869146795598 +02.5149044962096|-154.712 88.024   |8.52     |F6/7V          |    ~     ~    |    1|  105.056   pc  |  -0.1468     +0.1468    |paral   |2020yCat.1350....0G
3839|HD 79818                                                              |Star                              |09 14 48.2831750520 -44 49 44.082312456|267.7914122991604 +02.7586346556741| -13.507 12.860   |10.25    |A2/3V          |    ~     ~    |    1|  435.426   pc  |  -3.2990     +3.2990    |paral   |2020yCat.1350....0G
3840|CD-44 5245                                                            |Star                              |09 13 11.7428506776 -45 03 29.627519040|267.7610194452727 +02.3943177921350|  -4.260 -4.034   |9.39     |~              |    ~     ~    |    1|  963.113   pc  | -11.4093    +11.4093    |paral   |2020yCat.1350....0G
3841|CD-44 5256                                                            |Star                              |09 13 48.3129595128 -45 03 21.902956632|267.8336573725974 +02.4738402868935|  -5.421 -0.905   |9.88     |~              |    ~     ~    |    1|  919.540   pc  |  -9.3011     +9.3011    |paral   |2020yCat.1350....0G
3842|TYC 8166-410-1                                                        |Star                              |09 14 09.9604022688 -45 00 21.643338096|267.8413822650480 +02.5545314152523|   -7.743 7.647   |10.40    |~              |    ~     ~    |    1| 1213.298   pc  | -26.6449    +26.6449    |paral   |2020yCat.1350....0G
3843|TYC 8166-1049-1                                                       |Star                              |09 14 56.3652866832 -45 13 34.891487832|268.0951812189082 +02.5008567935065| -16.799 19.755   |10.78    |~              |    ~     ~    |    1|  316.646   pc  | -12.8038    +12.8038    |paral   |2020yCat.1350....0G
3844|TYC 8166-1162-1                                                       |Spectroscopic Binary              |09 13 44.2562511264 -45 04 51.589537536|267.8434861958788 +02.4480189783330| -42.716 35.126   |10.67    |~              |    ~     ~    |    1|   97.837   pc  |  -0.6844     +0.6844    |paral   |2020yCat.1350....0G
3845|CD-44 5247                                                            |Star                              |09 13 13.1468224368 -45 24 32.454864864|268.0186029116065 +02.1559425299596|  -15.298 0.645   |10.23    |A8V            |    ~     ~    |    1|  267.437   pc  |  -0.8869     +0.8869    |paral   |2020yCat.1350....0G
3846|HD 79619                                                              |Star                              |09 13 41.7663559872 -45 24 01.745574408|268.0701167026020 +02.2225200528957| -14.849 11.140   |9.59     |A5III/IV       |    ~     ~    |    1|  329.630   pc  |  -1.5647     +1.5647    |paral   |2020yCat.1350....0G
3847|HD 79089                                                              |Star                              |09 10 24.1557203208 -45 53 40.615901088|268.0352610576709 +01.4647245996952|  -1.944 -1.412   |9.14     |G2IV           |    ~     ~    |    1|  654.664   pc  |  -5.8288     +5.8288    |paral   |2020yCat.1350....0G
3848|CD-45 4926                                                            |High Proper Motion Star           |09 11 19.6167569352 -45 41 52.979855748|268.0016519069689 +01.7166528335969|-107.099 29.589   |10.62    |~              |    ~     ~    |    1|   58.853   pc  |  -0.0398     +0.0398    |paral   |2020yCat.1350....0G
3849|HD 79242                                                              |Star                              |09 11 21.3329721552 -45 59 48.314478336|268.2230638668766 +01.5159921124298| -19.378 19.816   |9.18     |A3IV           |    ~     ~    |    1|  337.200   pc  |  -1.8306     +1.8306    |paral   |2020yCat.1350....0G
3850|HD 79274                                                              |Star                              |09 11 31.7523198720 -46 04 20.838143496|268.2989185179905 +01.4861756210772|   -9.850 0.416   |10.06    |A1V            |    ~     ~    |    1|  470.921   pc  |  -3.1491     +3.1491    |paral   |2020yCat.1350....0G
3851|HD 79403                                                              |High Proper Motion Star           |09 12 13.8336599832 -45 50 54.550464612|268.2192822455034 +01.7284184669543|  -62.849 5.034   |6.659    |F3/5V          |    ~     ~    |    1|   83.025   pc  |  -0.6087     +0.6087    |paral   |2020yCat.1350....0G
3852|CD-45 4941                                                            |Star                              |09 12 39.4702086480 -45 37 56.817677208|268.1133114935444 +01.9309308511374|  -8.498 -1.024   |9.64     |K0IV:          |    ~     ~    |    1|  506.971   pc  |  -3.9067     +3.9067    |paral   |2020yCat.1350....0G
3853|HD 79473                                                              |Star                              |09 12 46.4303038512 -45 58 32.712389868|268.3767616178100 +01.7097283356256| -17.133 12.332   |9.54     |A5V            |    ~     ~    |    1|  552.914   pc  |  -4.7386     +4.7386    |paral   |2020yCat.1350....0G
3854|HD 79620                                                              |Star                              |09 13 47.4365080992 -45 30 51.514422084|268.1640635195384 +02.1560552995393| -12.772 11.408   |10.04    |A5III/IV       |    ~     ~    |    1|  676.544   pc  |  -6.5453     +6.5453    |paral   |2020yCat.1350....0G
3855|HD 79647                                                              |Star                              |09 13 45.8366144400 -46 11 17.816655804|268.6492246762118 +01.6879253120057|   0.864 -2.771   |9.14     |G8IVCNIII      |    ~     ~    |    1|  547.735   pc  |  -3.3302     +3.3302    |paral   |2020yCat.1350....0G
3856|HD 79811                                                              |Be Star                           |09 14 38.6207962872 -45 34 33.659152824|268.3119412594467 +02.2214818953172|   -2.129 1.551   |9.32     |B5V            |    ~     ~    |    1| 1409.245   pc  | -23.0373    +23.0373    |paral   |2020yCat.1350....0G
3857|HD 79832                                                              |Star                              |09 14 47.6509188144 -45 56 44.704978260|268.5972921072334 +01.9846747348506|  -11.724 5.730   |9.72     |A0V            |    ~     ~    |    1|  477.669   pc  |  -4.7687     +4.7687    |paral   |2020yCat.1350....0G
3858|HD 78149                                                              |Star                              |09 04 57.7714213104 -46 28 43.932075744|267.8301136671182 +00.3758530261896|   -7.464 3.883   |10.56    |A0/1V          |    ~     ~    |    1|  701.361   pc  |  -7.7229     +7.7229    |paral   |2020yCat.1350....0G
3859|HD 78472                                                              |Star                              |09 06 44.7316881120 -46 14 56.853091284|267.8662265942866 +00.7580321101317|  -11.413 5.661   |9.72     |B9/A0V         |    ~     ~    |    1|  466.114   pc  |  -5.5185     +5.5185    |paral   |2020yCat.1350....0G
3860|HD 78473                                                              |Star                              |09 06 45.0005329536 -46 24 33.401109204|267.9851705171599 +00.6507762487855| -14.594 11.496   |9.46     |A5III/IV(m)    |    ~     ~    |    1|  535.045   pc  |  -4.2082     +4.2082    |paral   |2020yCat.1350....0G
3861|HD 78628                                                              |Star                              |09 07 42.8608871496 -46 27 46.162096452|268.1367707827285 +00.7373357068197|  -10.067 6.374   |9.53     |F2V            |    ~     ~    |    1|  192.905   pc  |  -0.4912     +0.4912    |paral   |2020yCat.1350....0G
3862|IDS 09045-4551 AB                                                     |Double or Multiple Star           |09 08 01.3 -46 15 06                   |268.0170 +00.9191                  |            ~ ~   |10.3     |A0V            |    ~     ~    |    0|                |                         |        |                   
3863|CD-45 4885B                                                           |Star                              |09 08 01.2 -46 15 07                   |268.0170 +00.9187                  |            ~ ~   |10.515   |~              |    ~     ~    |    0|                |                         |        |                   
3864|HD 78785                                                              |Star                              |09 08 24.0914984616 -46 15 13.238099388|268.0629051676015 +00.9661240872903|   -5.496 4.400   |8.60     |B2II           |    ~     ~    |    1| 1581.028   pc  | -34.7451    +34.7451    |paral   |2020yCat.1350....0G
3865|CD-45 4899                                                            |Star                              |09 08 58.0429964400 -46 18 09.409821300|268.1651734507531 +01.0048398281046|   -5.243 5.390   |10.68    |B              |    ~     ~    |    1| 1652.346   pc  | -67.1641    +67.1641    |paral   |2020yCat.1350....0G
3866|HD 79061                                                              |Star                              |09 10 06.8777356584 -46 23 11.181325596|268.3612833972516 +01.0930506511244| -20.171 11.840   |9.10     |A1V            |    ~     ~    |    1|  286.952   pc  |  -1.2845     +1.2845    |paral   |2020yCat.1350....0G
3867|HD 79135                                                              |Star                              |09 10 35.7235569288 -46 21 09.502388640|268.3931016345708 +01.1767655029676| -26.989 16.427   |10.08    |F2III          |    ~     ~    |    1|  615.688   pc  | -19.3705    +19.3705    |paral   |2020yCat.1350....0G
3868|HD 79296                                                              |Star                              |09 11 41.5043002824 -46 14 03.482176488|268.4361993498093 +01.3958861770721|   5.020 -2.599   |9.40     |Fm_dD          |    ~     ~    |    1|  387.057   pc  |  -2.8914     +2.8914    |paral   |2020yCat.1350....0G
3869|HD 79791                                                              |Star                              |09 14 26.7928125192 -46 20 37.689128376|268.8432613227284 +01.6658785073527|   -8.744 5.693   |9.40     |B5III          |    ~     ~    |    1|  919.709   pc  |  -9.5583     +9.5583    |paral   |2020yCat.1350....0G
3870|HD 79819                                                              |Star                              |09 14 42.4033714416 -46 12 50.323828248|268.7805504019572 +01.7881325884897| 14.758 -26.413   |9.68     |F3/5V          |    ~     ~    |    1|  199.645   pc  |  -0.4384     +0.4384    |paral   |2020yCat.1350....0G
3871|CD-46 4866                                                            |Star                              |09 02 58.6151849208 -46 56 19.202530020|267.9458027233991 -00.1844397083559|  -7.017 12.137   |10.36    |F2V            |    ~     ~    |    1|  592.347   pc  |  -4.4561     +4.4561    |paral   |2020yCat.1350....0G
3872|HD 77924                                                              |Star                              |09 03 37.0010856192 -46 52 40.510985196|267.9731212513313 -00.0624430107123| 17.225 -11.348   |9.56     |K0III          |    ~     ~    |    1|  472.277   pc  |  -2.7435     +2.7435    |paral   |2020yCat.1350....0G
3873|HD 78003                                                              |Star                              |09 04 09.2367571032 -46 44 50.486724744|267.9370641252264 +00.0931086459655|   -4.147 6.061   |10.23    |A2III          |    ~     ~    |    1|  782.411   pc  |  -8.4479     +8.4479    |paral   |2020yCat.1350....0G
3874|* c Vel                                                               |High Proper Motion Star           |09 04 09.2798814 -47 05 51.854750      |268.1981402669 -00.1405695918      |   -47.45 -9.75   |3.75     |K2III          |    ~     ~    |    1|   77.2917  pc  |  -2.1040     +2.1040    |paral   |2018yCat.1345....0G
3875|HD 78022                                                              |Star                              |09 04 15.2379348192 -46 32 59.589830760|267.8014440248303 +00.2376663499671|  -13.934 6.607   |10.22    |A2V            |    ~     ~    |    1|  397.599   pc  |  -2.4503     +2.4503    |paral   |2020yCat.1350....0G
3876|HD 78099                                                              |Star                              |09 04 42.0316600979 -46 34 58.676502415|267.8773307738047 +00.2726920939445|   -6.283 3.129   |9.69     |A1V            |    ~     ~    |    1|  671.5466  pc  | -42.5269    +42.5269    |paral   |2018yCat.1345....0G
3877|HD 78133                                                              |Spectroscopic Binary              |09 04 49.9880604816 -46 48 57.515498928|268.0657984649454 +00.1337986978783| -42.920 37.594   |6.88     |A2V            |    ~     ~    |    1|  148.911   pc  |  -0.8360     +0.8360    |paral   |2020yCat.1350....0G
3878|HD 78186                                                              |Star                              |09 05 07.9172336520 -47 02 44.601804960|268.2706650538691 +00.0179731899855|  -12.839 9.961   |8.84     |B8V            |    ~     ~    |    1|  509.814   pc  |  -6.1339     +6.1339    |paral   |2020yCat.1350....0G
3879|BM IV 96                                                              |Carbon Star                       |09 05 44.4165757920 -47 14 59.232347340|268.4914345947603 -00.0420349646762|   -3.482 1.342   |10.9     |C              |    ~     ~    |    1| 1802.78    pc  |-118.625    +118.625     |paral   |2020yCat.1350....0G
3880|HD 78385                                                              |Star                              |09 06 14.8394314560 -46 35 29.225866020|268.0617710670082 +00.4642197114276| -15.184 13.063   |9.50     |A1V            |    ~     ~    |    0|                |                         |        |                   
3881|CD-46 4917                                                            |High Proper Motion Star           |09 06 34.8011948280 -47 02 02.209091460|268.4275351391544 +00.2087519589501| -38.532 49.479   |10.39    |G2             |    ~     ~    |    1|  165.563   pc  |  -0.3947     +0.3947    |paral   |2020yCat.1350....0G
3882|HD 78458                                                              |Star                              |09 06 37.0731175464 -47 11 00.675534876|268.5425045140736 +00.1128559437701| -17.271 13.913   |9.53     |A0V            |    ~     ~    |    1|  456.204   pc  |  -3.8503     +3.8503    |paral   |2020yCat.1350....0G
3883|HD 78580                                                              |Star                              |09 07 20.7394904976 -47 06 55.098559548|268.5754912763199 +00.2502468163181|  -3.353 -8.188   |9.72     |A1IV/V         |    ~     ~    |    1|  403.877   pc  |  -2.6914     +2.6914    |paral   |2020yCat.1350....0G
3884|HD 78597                                                              |Star                              |09 07 26.0448537576 -46 52 18.927517332|268.4060604703384 +00.4256201280544|  -13.476 6.692   |9.86     |A1/2V          |    ~     ~    |    1|  414.302   pc  |  -3.1754     +3.1754    |paral   |2020yCat.1350....0G
3885|CD-46 4927                                                            |Star                              |09 07 32.6830295664 -46 46 22.292704092|268.3457500424997 +00.5064595218199| -14.182 18.079   |9.42     |K0III          |    ~     ~    |    1|  577.501   pc  |  -3.7353     +3.7353    |paral   |2020yCat.1350....0G
3886|HD 78617                                                              |High Proper Motion Star           |09 07 34.8219631104 -47 17 12.000960492|268.7288318103687 +00.1639843745430| -42.318 33.804   |10.68    |F5/7(V)        |    ~     ~    |    1|  408.047   pc  |  -1.9481     +1.9481    |paral   |2020yCat.1350....0G
3887|HD 78648                                                              |Star                              |09 07 43.8402602568 -46 46 01.282969056|268.3629534648100 +00.5338820558206|  -14.660 6.555   |9.26     |B9/9.5V        |    ~     ~    |    1|  404.416   pc  |  -4.7430     +4.7430    |paral   |2020yCat.1350....0G
3888|HD 78649                                                              |Star                              |09 07 44.9287210176 -47 12 17.114396364|268.6877448018658 +00.2403968054310|   -8.148 7.408   |10.34    |A2V            |    ~     ~    |    1|  594.036   pc  |  -9.1396     +9.1396    |paral   |2020yCat.1350....0G
3889|HD 78710                                                              |Star                              |09 07 55.9049163048 -46 54 46.365954264|268.4936966050432 +00.4606426207484| 11.277 -18.340   |9.75     |F3V            |    ~     ~    |    1|  209.174   pc  |  -0.5207     +0.5207    |paral   |2020yCat.1350....0G
3890|HD 78759                                                              |Star                              |09 08 16.0206966336 -47 00 29.299861908|268.6025509860934 +00.4383232472231| -12.431 10.869   |10.16    |G8/K0(III)     |    ~     ~    |    1|  702.346   pc  |  -5.9688     +5.9688    |paral   |2020yCat.1350....0G
3891|HD 78814                                                              |High Proper Motion Star           |09 08 33.1576061400 -47 14 18.601057428|268.8049449081141 +00.3180512274456| -18.999 47.445   |10.18    |F2V            |    ~     ~    |    1|  351.395   pc  |  -1.6546     +1.6546    |paral   |2020yCat.1350....0G
3892|HD 78894                                                              |Star                              |09 08 56.4591995520 -46 46 22.069311672|268.5075301803179 +00.6824884211880| 10.989 -10.019   |9.60     |G8/K0III       |    ~     ~    |    1|  359.208   pc  |  -1.6516     +1.6516    |paral   |2020yCat.1350....0G
3893|HD 78944                                                              |Star                              |09 09 16.9770354000 -46 49 05.282445720|268.5805575807222 +00.6946819596569|  -5.727 -2.752   |9.88     |F8V            |    ~     ~    |    1|  304.683   pc  |  -1.5317     +1.5317    |paral   |2020yCat.1350....0G
3894|HD 78961                                                              |Star                              |09 09 22.8554052456 -46 39 09.113445648|268.4704406738697 +00.8195113461567| -22.345 20.051   |9.71     |K1/2III        |    ~     ~    |    1|  518.296   pc  |  -3.0624     +3.0624    |paral   |2020yCat.1350....0G
3895|CD-46 4964                                                            |High Proper Motion Star           |09 09 46.1909116824 -47 04 31.250693892|268.8256886910930 +00.5807422238231| -58.006 32.203   |10.20    |G8III          |    ~     ~    |    1|  180.248   pc  |  -0.3184     +0.3184    |paral   |2020yCat.1350....0G
