C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:15:01

dec< 0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5671

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
2161|TYC 9250-2045-1                                                                                                                             |Star                               |13 34 36.4960667088 -71 16 46.117069824|306.4176193101254 -08.7004797561121|  -2.164 -2.166   |10.54    |~                 |    ~     ~    |    1|  956.663   pc  |  -9.9757     +9.9757    |paral   |2020yCat.1350....0G
2162|TYC 9251-1337-1                                                                                                                             |Star                               |13 36 26.2963984248 -71 33 35.580419388|306.5140812547925 -09.0017975301949|   8.604 -2.522   |10.35    |~                 |    ~     ~    |    1|  280.836   pc  |  -0.9228     +0.9228    |paral   |2020yCat.1350....0G
2163|TYC 9251-1389-1                                                                                                                             |Star                               |13 37 42.1396432032 -71 15 07.405159068|306.6699351483730 -08.7168490718049| -12.958 -9.192   |10.63    |~                 |    ~     ~    |    1|  361.768   pc  |  -1.4135     +1.4135    |paral   |2020yCat.1350....0G
2164|HD 117573                                                                                                                                   |Star                               |13 33 43.9311966408 -71 52 09.211979172|306.2487862988642 -09.2703793098351|-29.870 -13.253   |8.79     |K3III             |    ~     ~    |    1|  347.608   pc  |  -2.3925     +2.3925    |paral   |2020yCat.1350....0G
2165|CD-71 962                                                                                                                                   |Star                               |13 40 42.9613794216 -71 47 21.285424212|306.8060601534118 -09.2891361223460| -26.194 -0.214   |9.10     |~                 |    ~     ~    |    1|  154.715   pc  |  -0.3208     +0.3208    |paral   |2020yCat.1350....0G
2166|IRAS 13409-7118                                                                                                                             |High Proper Motion Star            |13 44 56.7199859304 -71 33 58.528794708|307.1812347670959 -09.1373222749196|-53.079 -19.109   |9.03     |~                 |    ~     ~    |    1|  447.487   pc  |  -3.3241     +3.3241    |paral   |2020yCat.1350....0G
2167|CD-71 964                                                                                                                                   |Eclipsing Binary                   |13 41 33.4969928256 -71 48 37.128625992|306.8672956007595 -09.3225648912281| -8.039 -18.614   |9.22     |~                 |    ~     ~    |    1|  594.001   pc  |  -5.4337     +5.4337    |paral   |2020yCat.1350....0G
2168|CD-71 958                                                                                                                                   |Star                               |13 36 29.4861848184 -72 05 01.563007992|306.4247819624707 -09.5182313283875|    2.914 3.297   |9.31     |~                 |    ~     ~    |    1|  570.386   pc  |  -5.4332     +5.4332    |paral   |2020yCat.1350....0G
2169|CPD-71 1493                                                                                                                                 |Star                               |13 38 02.2777495320 -72 02 31.983819216|306.5511076832979 -09.4986967340790|  -8.091 -1.795   |10.63    |~                 |    ~     ~    |    1|  616.865   pc  |  -5.7839     +5.7839    |paral   |2020yCat.1350....0G
2170|V* LY Mus                                                                                                                                   |Symbiotic Star                     |13 41 13.5903837744 -71 52 05.761119720|306.8301427300748 -09.3743628861698| -32.258 36.210   |6.97     |S6,2              |    ~     ~    |    1|  307.654   pc  |  -4.8177     +4.8177    |paral   |2020yCat.1350....0G
2171|CD-71 966                                                                                                                                   |Star                               |13 43 20.3751144072 -72 04 54.450889572|306.9495918306794 -09.6160905833681|  12.027 -2.741   |9.18     |~                 |    ~     ~    |    1|  259.242   pc  |  -0.9073     +0.9073    |paral   |2020yCat.1350....0G
2172|CD-73 863                                                                                                                                   |Long-Period Variable Candidate     |13 30 25.4092836744 -73 58 31.507736592|305.6635265167280 -11.3107908668964| -30.267 -7.317   |8.92     |M6III             |    ~     ~    |    1|  513.505   pc  |  -7.3832     +7.3832    |paral   |2020yCat.1350....0G
2173|HD 117075                                                                                                                                   |Star                               |13 30 34.5767577408 -73 46 47.971007976|305.7048720020931 -11.1193244632283|-22.902 -11.561   |9.26     |F5IV              |    ~     ~    |    1|  199.549   pc  |  -1.5570     +1.5570    |paral   |2020yCat.1350....0G
2174|HD 117279                                                                                                                                   |Star                               |13 32 04.7298769896 -73 49 22.249764588|305.8034906382928 -11.1781086797933|-18.717 -14.101   |8.05     |K2III             |    ~     ~    |    1|  331.631   pc  |  -1.9136     +1.9136    |paral   |2020yCat.1350....0G
2175|HD 117871                                                                                                                                   |Spectroscopic Binary               |13 35 49.9288415640 -72 26 50.381840328|306.3100634297560 -09.8673868381174|-34.003 -13.027   |9.85     |A1/2IV/V          |    ~     ~    |    1|  271.946   pc  |  -0.9318     +0.9318    |paral   |2020yCat.1350....0G
2176|HD 118064                                                                                                                                   |Star                               |13 37 09.9795033312 -72 21 37.433991312|306.4263611619011 -09.7996134473369|  -3.154 -2.746   |8.63     |F3III             |    ~     ~    |    1|  932.662   pc  | -12.8739    +12.8739    |paral   |2020yCat.1350....0G
2177|HD 118386                                                                                                                                   |Star                               |13 39 32.3713984599 -72 30 15.390989373|306.5782251242625 -09.9739279398395| 10.892 -16.292   |7.98     |A3mA5-A8          |    ~     ~    |    1|  184.805   pc  |  -1.7213     +1.7213    |paral   |2020yCat.1350....0G
2178|CD-72 908                                                                                                                                   |Star                               |13 34 12.7865002128 -73 32 31.090837920|306.0011309125346 -10.9256449512445|  -8.004 -4.743   |10.28    |~                 |    ~     ~    |    1|  886.682   pc  | -26.2592    +26.2592    |paral   |2020yCat.1350....0G
2179|HD 117872                                                                                                                                   |Be Star                            |13 35 58.9570794864 -73 19 38.773604640|306.1651152235118 -10.7359352478193| -15.160 -9.026   |7.11     |B9IIIe            |    ~     ~    |    1|  317.299   pc  |  -2.4163     +2.4163    |paral   |2020yCat.1350....0G
2180|HD 118155                                                                                                                                   |Star                               |13 37 50.4947172216 -72 48 30.044221452|306.3947462905398 -10.2493244985129| -16.203 -7.909   |8.78     |B9V               |    ~     ~    |    1|  382.790   pc  |  -2.6375     +2.6375    |paral   |2020yCat.1350....0G
2181|HD 118213                                                                                                                                   |Star                               |13 38 13.7644576512 -73 26 05.710129764|306.3063838486956 -10.8704858252546|  -7.640 -3.321   |10.12    |A0V               |    ~     ~    |    1|  557.880   pc  |  -4.7929     +4.7929    |paral   |2020yCat.1350....0G
2182|HD 118276                                                                                                                                   |Star                               |13 38 39.2116001856 -72 54 20.891559132|306.4363522813268 -10.3561051014261|-17.322 -11.985   |9.02     |B9.5V             |    ~     ~    |    1|  351.099   pc  |  -2.1079     +2.1079    |paral   |2020yCat.1350....0G
2183|CPD-72 1425                                                                                                                                 |Pulsating Variable                 |13 39 41.9429851416 -73 19 53.991957288|306.4310909203906 -10.7886455881032|   0.305 -3.329   |10.53    |~                 |    ~     ~    |    1|  485.743   pc  |  -2.9493     +2.9493    |paral   |2020yCat.1350....0G
2184|CD-72 919                                                                                                                                   |Star                               |13 40 27.8706439944 -73 33 27.549911304|306.4416580011772 -11.0208872837459|-18.218 -12.161   |9.980    |~                 |    ~     ~    |    1|  495.809   pc  | -14.2000    +14.2000    |ST-L    |2020AJ....160...83S
2185|HD 118476                                                                                                                                   |Star                               |13 40 40.3226611200 -73 33 10.323644364|306.4572809318366 -11.0190251346406|-15.530 -10.890   |9.71     |A0V               |    ~     ~    |    1|  307.437   pc  |  -2.2779     +2.2779    |paral   |2020yCat.1350....0G
2186|CD-72 923                                                                                                                                   |Star                               |13 41 00.5027181864 -73 00 31.940504748|306.5887283855753 -10.4900268293003| -11.873 -7.877   |10.41    |~                 |    ~     ~    |    1|  386.937   pc  |  -2.2458     +2.2458    |paral   |2020yCat.1350....0G
2187|HD 118622                                                                                                                                   |Star                               |13 41 02.1867790680 -73 05 41.972598528|306.5737469747439 -10.5749026179568|-32.394 -25.021   |9.23     |F7V               |    ~     ~    |    1|  144.440   pc  |  -0.7511     +0.7511    |paral   |2020yCat.1350....0G
2188|HD 118655                                                                                                                                   |Be Star                            |13 41 10.3939297992 -72 42 23.413944852|306.6606144817206 -10.1957935398085|  -4.014 -2.721   |9.65     |B9.5Vn            |    ~     ~    |    1|  656.901   pc  |  -9.0187     +9.0187    |paral   |2020yCat.1350....0G
2189|HD 118995                                                                                                                                   |Star                               |13 43 27.8212751040 -72 50 18.704977548|306.8027923767759 -10.3589479702929|-38.875 -14.232   |9.75     |F3III             |    ~     ~    |    1|  328.299   pc  |  -1.5844     +1.5844    |paral   |2020yCat.1350....0G
2190|HD 119006                                                                                                                                   |Star                               |13 43 38.2964831256 -72 59 22.805428308|306.7842057983355 -10.5095245757573| -17.257 -7.528   |7.79     |B9IV              |    ~     ~    |    1|  442.126   pc  |  -4.5155     +4.5155    |paral   |2020yCat.1350....0G
2191|V* LX Mus                                                                                                                                   |Spectroscopic Binary               |13 40 11.5292231136 -74 04 44.976937512|306.3205013929415 -11.5290332900548|-57.659 -21.178   |8.79     |F5V               |    ~     ~    |    1|  143.550   pc  |  -0.3256     +0.3256    |paral   |2020yCat.1350....0G
2192|HD 119109                                                                                                                                   |Spectroscopic Binary               |13 44 21.8253457920 -73 38 12.572605788|306.7003538736776 -11.1535286944251|  -2.670 -4.249   |7.464    |B3V               |    ~     ~    |    1|  418.253   pc  |  -4.8457     +4.8457    |paral   |2020yCat.1350....0G
2193|CD-72 920                                                                                                                                   |RR Lyrae Variable                  |13 40 33.8956633944 -73 33 44.800977996|306.4478200038097 -11.0269584141088|   2.621 44.557   |10.60    |A5Ib              |    ~     ~    |    1|  739.317   pc  |  -7.4336     +7.4336    |paral   |2020yCat.1350....0G
2194|V* V350 Mus                                                                                                                                 |RR Lyrae Variable                  |13 32 25.2606374400 -74 36 35.833519260|305.6976431805434 -11.9587013780521|  -5.730 23.600   |8.23     |F2IV              |    ~     ~    |    1|  162.999   pc  |  -0.4889     +0.4889    |paral   |2020yCat.1350....0G
2195|HD 117565                                                                                                                                   |Spectroscopic Binary               |13 34 12.2060521080 -74 33 56.633776956|305.8244953980018 -11.9346617998457| 28.380 -49.648   |7.25     |K1/2III           |    ~     ~    |    1|  151.037   pc  |  -3.2576     +3.2576    |paral   |2020yCat.1350....0G
2196|HD 117726                                                                                                                                   |Star                               |13 35 12.0744668376 -74 35 57.874876728|305.8854106498707 -11.9791667756298| -24.514 -8.423   |9.27     |F0IV/V            |    ~     ~    |    1|  236.194   pc  |  -0.7531     +0.7531    |paral   |2020yCat.1350....0G
2197|HD 117759                                                                                                                                   |Star                               |13 35 21.6465535920 -74 38 15.346394340|305.8893090081208 -12.0186076771985|  -8.169 -2.970   |9.30     |A0/1V             |    ~     ~    |    1|  574.383   pc  | -28.3727    +28.3727    |paral   |2020yCat.1350....0G
2198|CD-73 887                                                                                                                                   |High Proper Motion Star            |13 43 21.4180299504 -74 19 58.833239196|306.4847197383729 -11.8204903403742|-117.311 -30.662  |10.08    |~                 |    ~     ~    |    1|   89.503   pc  |  -0.1146     +0.1146    |paral   |2020yCat.1350....0G
2199|CD-73 864                                                                                                                                   |Star                               |13 30 37.5352377936 -74 22 20.777391624|305.6149638985260 -11.7051888184327|-25.051 -15.205   |10.60    |~                 |    ~     ~    |    1|  459.960   pc  |  -2.7926     +2.7926    |paral   |2020yCat.1350....0G
2200|CD-73 865                                                                                                                                   |Star                               |13 30 40.2760197432 -74 25 47.646863328|305.6089796558043 -11.7624354904750| -38.068 -8.504   |9.88     |~                 |    ~     ~    |    1|  275.141   pc  |  -1.0447     +1.0447    |paral   |2020yCat.1350....0G
2201|CD-73 867                                                                                                                                   |Star                               |13 31 24.1123470024 -74 05 22.707817584|305.7131966449591 -11.4340909635110|  -9.538 -3.396   |10.83    |~                 |    ~     ~    |    1|  755.344   pc  |  -9.2428     +9.2428    |paral   |2020yCat.1350....0G
2202|CD-73 871                                                                                                                                   |Double or Multiple Star            |13 33 00.0775578984 -73 57 03.335625072|305.8467492094872 -11.3148588813072|  11.520 -7.505   |10.372   |~                 |    ~     ~    |    1|  249.476   pc  | -17.3396    +17.3396    |paral   |2020yCat.1350....0G
2203|CD-73 872                                                                                                                                   |Star                               |13 33 15.8725013520 -74 06 46.445387004|305.8378261851822 -11.4776076235795|    7.451 1.037   |10.51    |~                 |    ~     ~    |    1|  284.374   pc  |  -1.1969     +1.1969    |paral   |2020yCat.1350....0G
2204|CD-73 873                                                                                                                                   |Star                               |13 33 45.3765240120 -73 58 01.842641832|305.8964718181427 -11.3395024835643|  -6.703 -2.941   |10.97    |~                 |    ~     ~    |    1| 1028.278   pc  | -24.9536    +24.9536    |paral   |2020yCat.1350....0G
2205|CD-73 879                                                                                                                                   |Star                               |13 36 12.7798985856 -74 18 24.929727372|306.0057807917622 -11.7030071576332| -18.053 -3.203   |9.59     |~                 |    ~     ~    |    1|  523.059   pc  | -13.9900    +13.9900    |ST-L    |2020AJ....160...83S
2206|CD-73 880                                                                                                                                   |Star                               |13 36 43.2005995176 -74 08 00.498072696|306.0718230655722 -11.5384182273257|-25.880 -39.474   |10.23    |~                 |    ~     ~    |    1|  251.218   pc  |  -1.4831     +1.4831    |paral   |2020yCat.1350....0G
2207|CD-72 911                                                                                                                                   |Star                               |13 37 05.7578518416 -73 14 21.449740488|306.2611903306520 -10.6633612730051|  -2.032 -3.666   |10.91    |~                 |    ~     ~    |    1|  532.510   pc  |  -4.1968     +4.1968    |paral   |2020yCat.1350....0G
2208|CD-72 918                                                                                                                                   |Star                               |13 39 14.0267883000 -73 26 06.153381312|306.3779898113975 -10.8838999616917| -15.822 -6.575   |10.085   |~                 |    ~     ~    |    1|  640.308   pc  | -17.4100    +17.4100    |ST-L    |2020AJ....160...83S
2209|CD-73 884                                                                                                                                   |Star                               |13 39 51.0649118400 -73 44 35.906563464|306.3622728174574 -11.1948501831229|  -6.320 -7.575   |10.86    |~                 |    ~     ~    |    1|  518.403   pc  |  -3.2518     +3.2518    |paral   |2020yCat.1350....0G
2210|CPD-73 1178                                                                                                                                 |Star                               |13 40 58.1879044464 -73 55 57.020320164|306.4030443173709 -11.3954938845734|  -4.897 -3.499   |10.89    |~                 |    ~     ~    |    1|  699.888   pc  |  -6.3680     +6.3680    |paral   |2020yCat.1350....0G
2211|CD-71 967                                                                                                                                   |Star                               |13 43 42.4263886704 -72 32 00.584581596|306.8840339900080 -10.0640231803364|  -8.297 -4.309   |10.54    |~                 |    ~     ~    |    1|  574.647   pc  |  -4.9863     +4.9863    |paral   |2020yCat.1350....0G
2212|CD-72 907                                                                                                                                   |Star                               |13 30 57.7300045872 -73 01 12.924875028|305.8522168816247 -10.3729993676459|-35.367 -18.113   |10.22    |~                 |    ~     ~    |    1|  308.062   pc  |  -3.5683     +3.5683    |paral   |2020yCat.1350....0G
2213|TYC 9250-523-1                                                                                                                              |Star                               |13 32 49.0296402600 -72 16 28.591820364|306.1110468853088 -09.6587533672579|  -9.928 -5.019   |10.91    |~                 |    ~     ~    |    1|  513.690   pc  |  -2.7179     +2.7179    |paral   |2020yCat.1350....0G
2214|CPD-72 1411                                                                                                                                 |Star                               |13 34 17.3310715032 -72 51 57.332768400|306.1222718066236 -10.2601479379224|  13.359 20.793   |10.09    |~                 |    ~     ~    |    1|  475.376   pc  |  -4.6552     +4.6552    |paral   |2020yCat.1350....0G
2215|TYC 9255-913-1                                                                                                                              |Star                               |13 37 51.9575926200 -73 32 59.371894068|306.2591095397553 -10.9787233350801| -22.665 -3.173   |10.144   |~                 |    ~     ~    |    1|  606.983   pc  | -21.2800    +21.2800    |ST-L    |2020AJ....160...83S
2216|CD-73 886                                                                                                                                   |Star                               |13 41 18.5385290160 -74 01 26.492349288|306.4082182974025 -11.4898226153279|-21.769 -11.568   |10.149   |~                 |    ~     ~    |    1|  583.143   pc  | -15.2200    +15.2200    |ST-L    |2020AJ....160...83S
2217|CPD-72 1432                                                                                                                                 |Star                               |13 41 38.7006838608 -73 15 47.227865112|306.5842118543750 -10.7483934318098| -25.236 -1.873   |10.247   |~                 |    ~     ~    |    1|  402.012   pc  |  -8.9560     +8.9560    |ST-L    |2020AJ....160...83S
2218|TYC 9255-557-1                                                                                                                              |Star                               |13 42 02.9280041712 -73 41 28.569877548|306.5266196996630 -11.1737639230188|   -8.513 1.403   |10.344   |~                 |    ~     ~    |    1|  615.567   pc  | -16.1100    +16.1100    |ST-L    |2020AJ....160...83S
2219|CD-71 965                                                                                                                                   |Star                               |13 42 27.3182185248 -71 52 52.262255892|306.9225382749974 -09.4058344242919|  -7.215 -4.446   |10.38    |~                 |    ~     ~    |    1|  818.666   pc  | -13.2702    +13.2702    |paral   |2020yCat.1350....0G
2220|CD-72 926                                                                                                                                   |Star                               |13 42 53.3611548576 -73 22 11.699839020|306.6516384990658 -10.8708479041941| -17.052 -8.369   |9.84     |~                 |    ~     ~    |    1|  483.980   pc  |  -2.6469     +2.6469    |paral   |2020yCat.1350....0G
2221|CPD-73 1181                                                                                                                                 |Star                               |13 43 16.6107975336 -73 40 32.807734140|306.6159182373985 -11.1759347320445|  -0.901 -2.753   |10.09    |~                 |    ~     ~    |    1|  470.832   pc  |  -2.7710     +2.7710    |paral   |2020yCat.1350....0G
2222|CD-72 929                                                                                                                                   |Star                               |13 43 52.3542367104 -73 05 18.504053160|306.7806272386239 -10.6097346316912|-34.608 -34.692   |9.51     |~                 |    ~     ~    |    1|  237.130   pc  |  -0.7141     +0.7141    |paral   |2020yCat.1350....0G
2223|TYC 9255-1032-1                                                                                                                             |Star                               |13 44 43.0543680720 -74 20 36.899700360|306.5742759165444 -11.8498315243051|  -8.123 -2.458   |10.842   |~                 |    ~     ~    |    1| 1882.370   pc  |-196.1000   +196.1000    |ST-L    |2020AJ....160...83S
2224|IRAS 13270-7226                                                                                                                             |Star                               |13 30 58.5780188064 -72 42 02.059765884|305.9036805051204 -10.0573504694373|   2.912 -6.915   |10.33    |~                 |    ~     ~    |    1| 1290.822   pc  | -26.9928    +26.9928    |paral   |2020yCat.1350....0G
2225|TYC 9254-1305-1                                                                                                                             |Star                               |13 34 22.7737878096 -73 32 02.064030108|306.0143530579913 -10.9196844967510| -11.085 -3.757   |10.38    |~                 |    ~     ~    |    1|  825.241   pc  | -37.6900    +37.6900    |ST-L    |2020AJ....160...83S
2226|CD-70 1068                                                                                                                                  |Star                               |13 39 04.8718897536 -71 33 41.119878672|306.7219146140841 -09.0411163249163|    0.491 1.539   |9.99     |~                 |    ~     ~    |    1|  849.401   pc  | -15.5840    +15.5840    |paral   |2020yCat.1350....0G
2227|TYC 9250-42-1                                                                                                                               |Star                               |13 35 47.6262103584 -72 34 31.324579248|306.2845824286516 -09.9929754215897| -10.277 -2.040   |10.10    |~                 |    ~     ~    |    1|  421.852   pc  |  -2.2245     +2.2245    |paral   |2020yCat.1350....0G
2228|TYC 9250-57-1                                                                                                                               |Star                               |13 33 55.0316550456 -72 05 12.129155880|306.2265245398325 -09.4872169775101|-15.633 -10.110   |10.90    |~                 |    ~     ~    |    1|  387.582   pc  |  -1.8477     +1.8477    |paral   |2020yCat.1350....0G
2229|TYC 9250-428-1                                                                                                                              |Star                               |13 32 54.5209842408 -72 27 05.786218440|306.0888337479009 -09.8345294324088| -25.297 -7.659   |10.67    |~                 |    ~     ~    |    1|  394.726   pc  |  -1.8541     +1.8541    |paral   |2020yCat.1350....0G
2230|TYC 9250-570-1                                                                                                                              |Star                               |13 32 02.3031405408 -72 18 20.487497616|306.0466840775979 -09.6799197573063|  -6.034 -2.536   |10.86    |~                 |    ~     ~    |    1|  828.981   pc  |  -9.6897     +9.6897    |paral   |2020yCat.1350....0G
2231|TYC 9250-571-1                                                                                                                              |Star                               |13 30 02.5001058312 -72 07 16.670691408|305.9229375599309 -09.4740980986067| -25.178 -4.353   |10.94    |~                 |    ~     ~    |    1|  666.267   pc  |  -5.1494     +5.1494    |paral   |2020yCat.1350....0G
2232|TYC 9250-1039-1                                                                                                                             |Star                               |13 34 18.1689225480 -72 20 18.884302944|306.2132863030905 -09.7404730858523|  -7.142 -1.563   |10.97    |~                 |    ~     ~    |    1|  718.701   pc  | -12.9649    +12.9649    |paral   |2020yCat.1350....0G
2233|TYC 9250-1199-1                                                                                                                             |Star                               |13 33 16.3207858368 -72 52 09.928605216|306.0466380834237 -10.2511560499083| -15.361 -5.113   |10.50    |~                 |    ~     ~    |    1|  722.961   pc  |  -7.3174     +7.3174    |paral   |2020yCat.1350....0G
2234|TYC 9250-1936-1                                                                                                                             |Star                               |13 33 25.6460110584 -71 48 54.364873212|306.2341010211691 -09.2130813005885| -14.268 -4.652   |10.69    |~                 |    ~     ~    |    1|  806.712   pc  |  -9.2411     +9.2411    |paral   |2020yCat.1350....0G
2235|TYC 9250-2245-1                                                                                                                             |Star                               |13 31 06.6735316896 -71 57 06.128907516|306.0318902433543 -09.3191508624810|    9.660 3.236   |10.88    |~                 |    ~     ~    |    1|  714.541   pc  |  -6.3311     +6.3311    |paral   |2020yCat.1350....0G
2236|TYC 9251-258-1                                                                                                                              |High Proper Motion Star            |13 41 08.7668366880 -72 21 58.004191980|306.7258374539662 -09.8615098889998|-76.774 -20.920   |10.94    |~                 |    ~     ~    |    1|  175.534   pc  |  -0.3636     +0.3636    |paral   |2020yCat.1350....0G
2237|TYC 9251-423-1                                                                                                                              |Star                               |13 41 59.0598496296 -73 03 47.270312172|306.6489034415553 -10.5571945835314|  -9.785 -1.680   |10.42    |~                 |    ~     ~    |    1|  494.462   pc  |  -3.4473     +3.4473    |paral   |2020yCat.1350....0G
2238|TYC 9251-506-1                                                                                                                              |Star                               |13 36 09.2033987256 -72 32 45.397817340|306.3167342798080 -09.9687045355057| -42.807 -6.065   |10.78    |~                 |    ~     ~    |    1|  222.697   pc  |  -0.5356     +0.5356    |paral   |2020yCat.1350....0G
2239|TYC 9251-708-1                                                                                                                              |Star                               |13 37 46.8715956816 -72 45 21.865450644|306.3999344573352 -10.1971110082131|-27.750 -25.287   |10.27    |~                 |    ~     ~    |    1|  373.093   pc  |  -1.8235     +1.8235    |paral   |2020yCat.1350....0G
2240|TYC 9251-782-1                                                                                                                              |Star                               |13 43 23.3812569816 -73 01 56.303847732|306.7572804593373 -10.5475640579374| -14.771 -5.296   |10.505   |~                 |    ~     ~    |    1|  731.604   pc  | -23.9500    +23.9500    |ST-L    |2020AJ....160...83S
2241|TYC 9251-987-1                                                                                                                              |Star                               |13 37 40.2605351736 -72 38 26.291294772|306.4130186002019 -10.0821023743835|-15.606 -16.683   |10.80    |~                 |    ~     ~    |    1|  227.682   pc  |  -4.2404     +4.2404    |paral   |2020yCat.1350....0G
2242|TYC 9251-1366-1                                                                                                                             |Star                               |13 42 40.9296011640 -71 43 30.819202644|306.9716646344277 -09.2565490742811|    0.148 0.878   |10.69    |~                 |    ~     ~    |    1|  747.719   pc  |  -7.1004     +7.1004    |paral   |2020yCat.1350....0G
2243|TYC 9251-1375-1                                                                                                                             |Spectroscopic Binary               |13 36 06.5257737384 -71 44 14.996268420|306.4567080439299 -09.1721217846032|-61.304 -42.653   |10.41    |~                 |    ~     ~    |    1|   45.841   pc  |  -0.3217     +0.3217    |paral   |2020yCat.1350....0G
2244|TYC 9254-1027-1                                                                                                                             |Star                               |13 33 42.2495642520 -73 28 57.927436716|305.9749560624512 -10.8612290099922|   -6.961 0.452   |10.93    |~                 |    ~     ~    |    1|  378.387   pc  |  -1.7754     +1.7754    |paral   |2020yCat.1350....0G
2245|TYC 9254-1115-1                                                                                                                             |Star                               |13 35 10.0416619152 -73 35 32.341736328|306.0601485655132 -10.9867362599798| -29.924 -1.785   |10.25    |~                 |    ~     ~    |    1|  216.948   pc  |  -0.5413     +0.5413    |paral   |2020yCat.1350....0G
2246|TYC 9254-2826-1                                                                                                                             |Star                               |13 32 33.7354047336 -74 20 11.544983016|305.7524293725011 -11.6904313842224| -15.650 -1.805   |10.959   |~                 |    ~     ~    |    1| 2001.540   pc  |-199.7000   +199.7000    |ST-L    |2020AJ....160...83S
2247|TYC 9255-4-1                                                                                                                                |Spectroscopic Binary               |13 36 45.1258529928 -74 16 08.910228504|306.0493067221514 -11.6723012447602|  -3.780 -3.012   |10.91    |~                 |    ~     ~    |    1| 1447.710   pc  | -98.3100    +98.3100    |ST-L    |2020AJ....160...83S
2248|TYC 9255-16-1                                                                                                                               |Star                               |13 40 38.0227750584 -74 10 32.330764344|306.3317671474561 -11.6295295118365|   6.289 -3.439   |10.572   |~                 |    ~     ~    |    1|  675.576   pc  | -21.9100    +21.9100    |ST-L    |2020AJ....160...83S
2249|TYC 9255-493-1                                                                                                                              |Star                               |13 41 47.0466118104 -73 19 42.790364184|306.5810544040476 -10.8145137532168| -13.539 -6.725   |10.384   |~                 |    ~     ~    |    1|  890.127   pc  | -44.9800    +44.9800    |ST-L    |2020AJ....160...83S
2250|TYC 9255-636-1                                                                                                                              |Star                               |13 39 51.1935640440 -74 11 32.838696240|306.2751870570361 -11.6358115999554| -15.025 -3.686   |10.80    |~                 |    ~     ~    |    1|  459.812   pc  | -37.5072    +37.5072    |paral   |2020yCat.1350....0G
2251|TYC 9255-691-1                                                                                                                              |Star                               |13 44 46.7986086048 -73 31 49.809340776|306.7522443808243 -11.0556682676333|-20.429 -19.769   |10.968   |~                 |    ~     ~    |    1|  314.873   pc  |  -4.2570     +4.2570    |ST-L    |2020AJ....160...83S
2252|TYC 9255-840-1                                                                                                                              |Star                               |13 40 38.6710728168 -74 13 57.977335812|306.3212120331594 -11.6857152385437| -19.494 -9.277   |10.763   |~                 |    ~     ~    |    1| 1408.840   pc  | -96.9100    +96.9100    |ST-L    |2020AJ....160...83S
2253|TYC 9255-1193-1                                                                                                                             |Star                               |13 37 13.2730144488 -73 34 35.251328856|306.2085027940990 -10.9966533994550|  -1.221 -6.673   |10.606   |~                 |    ~     ~    |    1|  623.523   pc  | -18.3100    +18.3100    |ST-L    |2020AJ....160...83S
2254|TYC 9255-1741-1                                                                                                                             |High Proper Motion Star            |13 38 51.6294842256 -73 56 21.126968592|306.2556244227726 -11.3742551722327| -54.045 -8.331   |10.49    |~                 |    ~     ~    |    1|  252.589   pc  |  -6.1696     +6.1696    |paral   |2020yCat.1350....0G
2255|TYC 9255-2330-1                                                                                                                             |Star                               |13 38 20.2352727768 -73 56 08.365486272|306.2200181725959 -11.3640583432788|  -9.406 -4.338   |10.86    |~                 |    ~     ~    |    1|  578.001   pc  |  -5.1449     +5.1449    |paral   |2020yCat.1350....0G
2256|HD 117154                                                                                                                                   |Star                               |13 31 24.4993122960 -74 47 58.256588760|305.5992414914701 -12.1351460749131|  -0.229 -7.181   |8.70     |K3III             |    ~     ~    |    1|  537.519   pc  |  -5.4607     +5.4607    |paral   |2020yCat.1350....0G
2257|HD 117727                                                                                                                                   |Star                               |13 35 13.7010562560 -74 47 28.948640100|305.8532926106275 -12.1685534250741|   -7.788 5.540   |9.31     |G8/K0             |    ~     ~    |    1|  532.807   pc  | -14.6000    +14.6000    |ST-L    |2020AJ....160...83S
2258|HD 118573                                                                                                                                   |Star                               |13 41 05.5924932600 -74 46 42.086650332|306.2426773683967 -12.2266946835647| -2.375 -10.192   |9.68     |F2/3IV/V          |    ~     ~    |    1|  228.123   pc  |  -0.7650     +0.7650    |paral   |2020yCat.1350....0G
2259|HD 118739                                                                                                                                   |Star                               |13 42 02.0055420600 -74 46 34.326903144|306.3050203593767 -12.2367766556542| -22.452 -9.047   |7.95     |K2III             |    ~     ~    |    1|  357.232   pc  |  -2.4247     +2.4247    |paral   |2020yCat.1350....0G
2260|CD-74 818                                                                                                                                   |Star                               |13 42 35.2450770120 -74 44 30.073787412|306.3485970755804 -12.2102618226195|  11.854 -4.842   |9.78     |~                 |    ~     ~    |    1|  530.701   pc  |  -3.6895     +3.6895    |paral   |2020yCat.1350....0G
