C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:05

dec >=0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5410

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
37  |TYC 3638-2366-1                                                                                          |Star                                  |23 48 11.3577666552 +45 12 50.480699796|111.3991380460556 -16.2366900045079|   31.103 4.023  |10.82    |~                |    ~     ~    |    1|  674.855   pc  |  -7.1047     +7.1047  |paral   |2020yCat.1350....0G
38  |TYC 3638-2489-1                                                                                          |Star                                  |23 46 19.3763209680 +45 09 58.689374760|111.0553766258891 -16.1985748776970| -12.092 -3.460  |10.80    |~                |    ~     ~    |    1|  543.449   pc  | -11.4000    +11.4000  |paral   |2020yCat.1350....0G
39  |TYC 3642-992-1                                                                                           |Star                                  |23 45 08.2605385896 +47 01 04.779170148|111.3505725895543 -14.3574087170534| -0.713 -11.602  |10.02    |~                |    ~     ~    |    1|  344.792   pc  | -10.7231    +10.7231  |paral   |2020yCat.1350....0G
40  |TYC 3642-1388-1                                                                                          |Star                                  |23 45 43.1464935888 +47 00 06.634621728|111.4449956227614 -14.3988674346743|  15.153 -4.195  |10.74    |~                |    ~     ~    |    1|  826.583   pc  |  -9.2237     +9.2237  |paral   |2020yCat.1350....0G
41  |TYC 3642-1400-1                                                                                          |Star                                  |23 46 02.8474421712 +47 11 47.262286068|111.5527466548693 -14.2253791090249|   0.283 -4.024  |10.94    |~                |    ~     ~    |    1|  641.890   pc  | -11.6602    +11.6602  |paral   |2020yCat.1350....0G
42  |TYC 3642-2170-1                                                                                          |Star                                  |23 46 34.4734285752 +47 42 32.041933488|111.7772879608124 -13.7530857034521|  -7.330 -3.163  |10.74    |~                |    ~     ~    |    1|  607.460   pc  |  -9.6680     +9.6680  |paral   |2020yCat.1350....0G
43  |TYC 3642-2634-1                                                                                          |Star                                  |23 46 57.2480022144 +47 40 22.229990148|111.8314056800966 -13.8042501510628|    4.106 0.004  |10.76    |~                |    ~     ~    |    1| 1319.609   pc  | -19.8516    +19.8516  |paral   |2020yCat.1350....0G
44  |BD+46 4185                                                                                               |Double or Multiple Star               |23 50 35.9553552096 +47 05 13.695461088|112.2982447665745 -14.5246011153739|   8.230 -7.000  |8.98     |F5               |0.0017  0.0    |    1|  184.935   pc  |  -3.1328     +3.1328  |paral   |2020yCat.1350....0G
45  |V* V396 And                                                                                              |delta Sct Variable                    |23 51 33.4394559072 +47 29 15.960373260|112.5599785194965 -14.1744540868241|  19.871 -9.938  |7.85     |F0               |    ~     ~    |    1|  216.732   pc  |  -1.6628     +1.6628  |paral   |2020yCat.1350....0G
46  |BD+46 4198                                                                                               |Star                                  |23 53 01.8541074048 +47 09 26.817795108|112.7306294220385 -14.5541133678399|  -8.330 -5.340  |9.61     |F8               |    ~     ~    |    1|  219.1589  pc  | -14.3900    +14.3900  |paral   |2018yCat.1345....0G
47  |BD+46 4203                                                                                               |Star                                  |23 53 42.1838556216 +47 29 42.205435440|112.9253539495790 -14.2518206826762|   0.637 -9.107  |9.00     |K0               |    ~     ~    |    1|  612.632   pc  |  -4.5789     +4.5789  |paral   |2020yCat.1350....0G
48  |BD+46 4205                                                                                               |Star                                  |23 54 12.6694086192 +47 30 55.170171684|113.0163217333427 -14.2516411914708|  31.806 19.639  |10.07    |F8               |    ~     ~    |    1|  325.330   pc  |  -1.3442     +1.3442  |paral   |2020yCat.1350....0G
49  |HD 223999                                                                                                |Star                                  |23 54 23.9831466960 +46 57 59.518004976|112.9199350542791 -14.7933893640328|  15.914 -4.009  |8.32     |G5               |    ~     ~    |    1|  395.883   pc  |  -3.7143     +3.7143  |paral   |2020yCat.1350....0G
50  |TYC 3643-1759-1                                                                                          |Star                                  |23 54 55.6032484080 +46 53 24.346414536|112.9927596374587 -14.8881647846333|  -2.414 -4.048  |9.89     |B8               |    ~     ~    |    1| 1135.718   pc  | -38.9537    +38.9537  |paral   |2020yCat.1350....0G
51  |BD+46 4210                                                                                               |Star                                  |23 54 49.8734177976 +47 28 53.862736404|113.1137532360144 -14.3081092995255|   0.310 -5.877  |9.88     |~                |    ~     ~    |    1|  750.807   pc  | -11.8943    +11.8943  |paral   |2020yCat.1350....0G
52  |HD 224100                                                                                                |Star                                  |23 55 07.3585307496 +47 43 42.721230000|113.2201524398980 -14.0784685743423|  36.752 -9.085  |6.95     |K0               |    ~     ~    |    1|  284.819   pc  |  -1.6062     +1.6062  |paral   |2020yCat.1350....0G
