C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:14:34

dec >=0&rah >=0.0&rah< 0.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4977

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
34  |BD+45 4413                                                                                               |Star                              |00 06 00.7782510120 +45 56 06.213082812|114.7326812571259 -16.2122656770933|   -2.984 3.821   |9.15     |K0              |    ~     ~          |    1|  444.563   pc  |  -2.7867     +2.7867  |paral   |2020yCat.1350....0G
35  |BD+45 4414                                                                                               |Star                              |00 06 10.4933511768 +46 01 44.017250448|114.7792735312040 -16.1251242608479|  5.683 -24.906   |9.58     |F8              |    ~     ~          |    1|  262.833   pc  |  -4.2139     +4.2139  |paral   |2020yCat.1350....0G
36  |BD+45 4417                                                                                               |Star                              |00 06 59.8767219360 +46 07 34.386149820|114.9436430906280 -16.0551006472810|  24.461 -1.251   |9.70     |F0              |    ~     ~          |    1|  300.788   pc  |  -1.5561     +1.5561  |paral   |2020yCat.1350....0G
37  |BD+44 9                                                                                                  |Star                              |00 08 50.5715281200 +45 43 36.128034912|115.1998764694231 -16.5045915143249|  -0.754 -3.582   |9.90     |A0              |    ~     ~          |    1|  530.420   pc  |  -8.2997     +8.2997  |paral   |2020yCat.1350....0G
38  |HD 444                                                                                                   |Star                              |00 09 07.8619649280 +45 31 27.842489040|115.2155692542468 -16.7125295537225|   45.660 1.722   |8.69     |K0              |    ~     ~          |    1|   77.980   pc  |  -1.6680     +1.6680  |paral   |2020yCat.1350....0G
39  |BD+44 18                                                                                                 |Star                              |00 11 00.4821270672 +45 47 23.266700880|115.5992179049034 -16.5055358411868|  11.887 -6.290   |9.47     |K2              |    ~     ~          |    1|  461.255   pc  |  -3.7445     +3.7445  |paral   |2020yCat.1350....0G
40  |HD 225291B                                                                                               |High Proper Motion Star           |00 04 57.3773884728 +45 40 29.305866252|114.4940058314681 -16.4340256394875| 18.376 -68.195   |9.31     |G5V             |    ~     ~          |    1|   73.226   pc  |  -0.0928     +0.0928  |paral   |2020yCat.1350....0G
41  |BD+44 4553                                                                                               |Star                              |00 06 27.2525462112 +45 46 39.463856220|114.7815873152702 -16.3810350226845|  -8.584 -6.623   |9.33     |K0              |    ~     ~          |    1|  522.248   pc  | -30.3017    +30.3017  |paral   |2020yCat.1350....0G
42  |IRAS 00017+4608                                                                                          |Star                              |00 04 16.6999530336 +46 25 24.923559396|114.5201745487413 -15.6764771844519|   -3.204 5.941   |9.98     |~               |    ~     ~          |    1| 1171.646   pc  | -23.4741    +23.4741  |paral   |2020yCat.1350....0G
43  |IRAS 00048+4649                                                                                          |Star                              |00 07 23.8242250800 +47 05 52.165727844|115.1924703920736 -15.1110299484222|  14.117 -6.704   |9.15     |~               |    ~     ~          |    1|  800.705   pc  | -13.5278    +13.5278  |paral   |2020yCat.1350....0G
44  |IRAS 00081+4623                                                                                          |Star                              |00 10 43.8188668464 +46 40 33.702968136|115.7003179744345 -15.6233364608656|   0.801 -4.313   |10.25    |~               |    ~     ~          |    1| 1705.321   pc  | -62.8154    +62.8154  |paral   |2020yCat.1350....0G
45  |IRAS 00089+4720                                                                                          |Long-Period Variable Candidate    |00 11 36.3710221488 +47 36 52.427760012|116.0093651837023 -14.7210841761714|   5.187 -0.212   |10.49    |~               |    ~     ~          |    1| 1405.28    pc  | -69.7112    +69.7112  |paral   |2020yCat.1350....0G
