C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:04

dec >=0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5048

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
3072|HD 9521                                                                                                                                                                                                                                              |Star                              |01 33 47.1548524632 +17 41 06.955528560|137.0217953120648 -44.0248475313229|  22.780 -2.937   |7.70     |K0                |    ~     ~    |    1|  289.662   pc  |  -5.3699     +5.3699  |paral   |2020yCat.1350....0G
3073|BD+16 178                                                                                                                                                                                                                                            |Star                              |01 37 02.4534043200 +16 47 39.087663180|138.3738434516591 -44.7058862358397|  -4.276 -1.094   |10.18    |G5                |    ~     ~    |    1| 1016.157   pc  | -22.5101    +22.5101  |paral   |2020yCat.1350....0G
3074|BD+16 179                                                                                                                                                                                                                                            |Star                              |01 37 03.5125151808 +16 50 09.415451832|138.3650646691113 -44.6643820840115|  25.784 -9.780   |10.17    |K0                |    ~     ~    |    1|  639.591   pc  |  -9.2860     +9.2860  |paral   |2020yCat.1350....0G
3075|BD+16 181                                                                                                                                                                                                                                            |Star                              |01 37 40.0792040952 +17 20 45.618732204|138.3855279172756 -44.1341438522234|  16.077 -5.425   |9.40     |K2                |    ~     ~    |    1|  463.156   pc  |  -3.6896     +3.6896  |paral   |2020yCat.1350....0G
3076|HD 10089                                                                                                                                                                                                                                             |Star                              |01 38 56.2032306720 +17 13 36.077911572|138.8359230894107 -44.1733267048506|  9.115 -18.550   |8.58     |F5                |    ~     ~    |    1|  222.133   pc  |  -1.0411     +1.0411  |paral   |2020yCat.1350....0G
3077|BD+16 184                                                                                                                                                                                                                                            |Star                              |01 39 08.3769837936 +17 35 30.839216676|138.7714846808909 -43.8078506538330| -6.534 -10.727   |9.84     |K0                |    ~     ~    |    1|  553.955   pc  |  -6.0453     +6.0453  |paral   |2020yCat.1350....0G
3078|BD+16 186                                                                                                                                                                                                                                            |Star                              |01 40 25.5314519256 +17 05 31.291026036|139.3636610336683 -44.2111434369614|   6.090 -0.933   |9.76     |K0                |    ~     ~    |    1|  454.194   pc  |  -3.1563     +3.1563  |paral   |2020yCat.1350....0G
3079|BD+16 187                                                                                                                                                                                                                                            |High Proper Motion Star           |01 40 48.1333351392 +17 27 42.609376368|139.3487655835068 -43.8307071948783| 44.260 -32.054   |9.15     |K0                |    ~     ~    |    1|  318.481   pc  |  -2.2720     +2.2720  |paral   |2020yCat.1350....0G
3080|BD+15 229                                                                                                                                                                                                                                            |Star                              |01 33 19.1459275032 +16 43 03.004741668|137.1790602525425 -44.9925347758166|   8.179 -8.548   |9.79     |G5                |    ~     ~    |    1|  365.684   pc  |  -2.4338     +2.4338  |paral   |2020yCat.1350....0G
3081|BD+15 236                                                                                                                                                                                                                                            |Star                              |01 35 26.3025593088 +16 20 14.608094424|138.0052707931571 -45.2426720611201|  -2.663 -4.414   |9.43     |F2                |    ~     ~    |    1|  262.075   pc  |  -1.3187     +1.3187  |paral   |2020yCat.1350....0G
3082|BD+15 240                                                                                                                                                                                                                                            |Star                              |01 37 47.6092940136 +16 36 10.722694248|138.6869640779713 -44.8460083025143|  15.914 -1.283   |9.78     |K0                |    ~     ~    |    1|  575.076   pc  |  -5.3906     +5.3906  |paral   |2020yCat.1350....0G
3083|BD+15 242                                                                                                                                                                                                                                            |Star                              |01 38 00.0851453928 +16 21 42.347246688|138.8414216115200 -45.0667409034408|    3.692 3.539   |9.14     |K0                |    ~     ~    |    1|  271.702   pc  |  -1.6389     +1.6389  |paral   |2020yCat.1350....0G
3084|* 105 Psc                                                                                                                                                                                                                                            |High Proper Motion Star           |01 39 40.8183464136 +16 24 21.078490104|139.3753719853939 -44.9200766327426| 82.980 -12.383   |5.979    |K2III             |    ~     ~    |    1|  115.471   pc  |  -0.4760     +0.4760  |paral   |2020yCat.1350....0G
3085|HD 10324                                                                                                                                                                                                                                             |Star                              |01 41 12.9875156256 +16 30 51.788032092|139.8351040157635 -44.7173985502110|   22.908 0.255   |8.50     |A5                |    ~     ~    |    1|  381.010   pc  |  -7.9262     +7.9262  |paral   |2020yCat.1350....0G
3086|BD+15 228                                                                                                                                                                                                                                            |Star                              |01 33 16.8136346568 +16 14 12.598434312|137.3228388555832 -45.4625083378877|  27.690 -1.666   |8.88     |K0                |    ~     ~    |    1|  323.929   pc  |  -2.3714     +2.3714  |paral   |2020yCat.1350....0G
3087|HD 9510                                                                                                                                                                                                                                              |Star                              |01 33 36.1969511928 +16 07 49.346582808|137.4656615879481 -45.5481255453247|-19.151 -28.365   |8.77     |A2                |    ~     ~    |    1|  203.058   pc  |  -1.2741     +1.2741  |paral   |2020yCat.1350....0G
3088|BD+15 239                                                                                                                                                                                                                                            |Star                              |01 37 19.7287169736 +16 06 45.861085188|138.7091810082192 -45.3485154026622|  40.187 20.119   |10.03    |F8                |    ~     ~    |    1|  191.600   pc  |  -0.7489     +0.7489  |paral   |2020yCat.1350....0G
3089|BD+15 241                                                                                                                                                                                                                                            |Star                              |01 37 56.2163257728 +15 47 08.864444292|139.0293762372551 -45.6275702692388|-31.101 -17.169   |10.48    |F8                |    ~     ~    |    1|  256.654   pc  |  -1.8049     +1.8049  |paral   |2020yCat.1350....0G
3090|BD+15 246                                                                                                                                                                                                                                            |Star                              |01 40 00.0098581032 +15 48 16.419801960|139.7064608603293 -45.4795683613469|  -7.475 -6.229   |9.99     |K2                |    ~     ~    |    1| 1302.762   pc  | -34.2832    +34.2832  |paral   |2020yCat.1350....0G
3091|BD+16 180                                                                                                                                                                                                                                            |Star                              |01 37 16.1812506456 +17 26 08.451883428|138.2264330475535 -44.0707473283875|   5.257 -6.660   |10.55    |~                 |    ~     ~    |    1|  603.391   pc  | -12.3059    +12.3059  |paral   |2020yCat.1350....0G
3092|TYC 1198-12-1                                                                                                                                                                                                                                        |Star                              |01 30 46.8364636536 +17 26 06.637526268|136.1235430347995 -44.4265051721140|  12.811 -2.621   |10.75    |~                 |    ~     ~    |    1|  313.391   pc  |  -1.9741     +1.9741  |paral   |2020yCat.1350....0G
3093|TYC 1198-37-1                                                                                                                                                                                                                                        |Star                              |01 31 48.0278159112 +17 21 53.536213188|136.4774871750592 -44.4426909898938|  -2.737 -5.204   |9.95     |~                 |    ~     ~    |    1| 1185.536   pc  | -41.1811    +41.1811  |paral   |2020yCat.1350....0G
3094|TYC 1198-45-1                                                                                                                                                                                                                                        |Star                              |01 34 34.7243264016 +16 20 48.214353228|137.7175930231397 -45.2828835954295|   9.949 -7.285   |10.54    |~                 |    ~     ~    |    1| 1391.788   pc  | -50.3640    +50.3640  |paral   |2020yCat.1350....0G
3095|TYC 1198-73-1                                                                                                                                                                                                                                        |Star                              |01 31 19.6131641136 +16 35 14.584131276|136.5613518483684 -45.2261262674499|-14.435 -25.057   |9.86     |~                 |    ~     ~    |    1|  170.221   pc  |  -0.6635     +0.6635  |paral   |2020yCat.1350....0G
3096|TYC 1198-119-1                                                                                                                                                                                                                                       |Star                              |01 33 45.3188262120 +17 09 18.389385144|137.1809623359621 -44.5426666221186|-21.064 -14.974   |10.40    |~                 |    ~     ~    |    1|  270.482   pc  |  -1.7705     +1.7705  |paral   |2020yCat.1350....0G
3097|TYC 1198-139-1                                                                                                                                                                                                                                       |Star                              |01 35 49.4557875384 +16 53 07.439229528|137.9453682780767 -44.6885391055039|-35.421 -31.165   |10.68    |~                 |    ~     ~    |    1|  129.752   pc  |  -3.0590     +3.0590  |paral   |2020yCat.1350....0G
3098|TYC 1198-164-1                                                                                                                                                                                                                                       |Star                              |01 35 11.6602286832 +17 15 32.147078004|137.6153102701989 -44.3617117187280|  29.031 -1.180   |10.66    |~                 |    ~     ~    |    1|  299.321   pc  |  -1.9621     +1.9621  |paral   |2020yCat.1350....0G
3099|TYC 1198-199-1                                                                                                                                                                                                                                       |Star                              |01 35 52.5185945616 +16 43 28.098359652|138.0167798338171 -44.8417591222513|  5.629 -10.231   |10.49    |~                 |    ~     ~    |    1|  698.080   pc  | -14.2784    +14.2784  |paral   |2020yCat.1350....0G
3100|TYC 1198-251-1                                                                                                                                                                                                                                       |Star                              |01 34 17.8126861344 +16 55 51.118726188|137.4307758019750 -44.7309261537850|  -1.769 -4.934   |10.34    |~                 |    ~     ~    |    1|  118.413   pc  |  -0.2959     +0.2959  |paral   |2020yCat.1350....0G
3101|2MASS J01304156+1652469                                                                                                                                                                                                                              |Red Giant Branch star             |01 30 41.5783092048 +16 52 47.042478264|136.2617301933625 -44.9735953923597| 18.619 -11.684   |10.35    |~                 |    ~     ~    |    1|  713.318   pc  |  -8.8535     +8.8535  |paral   |2020yCat.1350....0G
3102|TYC 1198-355-1                                                                                                                                                                                                                                       |Star                              |01 34 11.5130488176 +17 23 09.676356612|137.2486333467850 -44.2939763940132|-13.105 -16.446   |9.89     |~                 |    ~     ~    |    1|  354.572   pc  |  -2.8036     +2.8036  |paral   |2020yCat.1350....0G
3103|TYC 1198-379-1                                                                                                                                                                                                                                       |High Proper Motion Star           |01 31 36.8112531912 +16 20 42.678964644|136.7325285363521 -45.4472659800175|  60.352 -6.140   |9.71     |~                 |    ~     ~    |    1|  224.250   pc  | -12.3156    +12.3156  |paral   |2020yCat.1350....0G
3104|TYC 1198-446-1                                                                                                                                                                                                                                       |Star                              |01 35 31.9632787992 +17 12 33.936405984|137.7415530331340 -44.3906376474601|  28.886 -1.445   |10.49    |~                 |    ~     ~    |    1|  296.340   pc  |  -1.6510     +1.6510  |paral   |2020yCat.1350....0G
3105|TYC 1198-982-1                                                                                                                                                                                                                                       |Star                              |01 30 56.7492879240 +17 02 06.665416440|136.2979515106415 -44.8087852858514|  3.804 -16.866   |10.36    |~                 |    ~     ~    |    1|  218.302   pc  |  -0.9436     +0.9436  |paral   |2020yCat.1350....0G
3106|TYC 1201-48-1                                                                                                                                                                                                                                        |Star                              |01 31 28.1703020376 +18 10 47.154618156|136.1254156668186 -43.6640773141761| -7.849 -29.119   |10.52    |~                 |    ~     ~    |    1|  221.410   pc  |  -1.0197     +1.0197  |paral   |2020yCat.1350....0G
3107|TYC 1201-175-1                                                                                                                                                                                                                                       |Star                              |01 34 50.9053120320 +17 30 45.387526428|137.4201515210114 -44.1345108866442|  -1.339 -1.009   |9.94     |~                 |    ~     ~    |    1|  612.820   pc  |  -7.3608     +7.3608  |paral   |2020yCat.1350....0G
3108|TYC 1201-410-1                                                                                                                                                                                                                                       |High Proper Motion Star           |01 33 13.5166073064 +17 55 00.767106012|136.7687467240477 -43.8293012555858| 85.198 -21.973   |9.89     |~                 |    ~     ~    |    1|   81.948   pc  |  -0.1222     +0.1222  |paral   |2020yCat.1350....0G
3109|TYC 1205-126-1                                                                                                                                                                                                                                       |Star                              |01 37 06.9522782472 +17 20 00.235123044|138.2119153286921 -44.1789129516412|   -2.962 0.055   |10.49    |~                 |    ~     ~    |    1|  803.277   pc  | -11.1629    +11.1629  |paral   |2020yCat.1350....0G
3110|TYC 1205-224-1                                                                                                                                                                                                                                       |Star                              |01 38 13.9297617888 +16 52 31.332938196|138.7330780446440 -44.5559179604833| 38.561 -17.837   |10.02    |~                 |    ~     ~    |    1|  285.217   pc  |  -2.0744     +2.0744  |paral   |2020yCat.1350....0G
3111|TYC 1205-337-1                                                                                                                                                                                                                                       |Star                              |01 37 34.2372060888 +17 04 11.187334020|138.4500414769800 -44.4074756005097|  4.315 -10.242   |10.44    |~                 |    ~     ~    |    1|  234.060   pc  |  -1.2984     +1.2984  |paral   |2020yCat.1350....0G
3112|TYC 1205-499-1                                                                                                                                                                                                                                       |Star                              |01 36 26.1268695000 +17 17 25.743883380|138.0067798420661 -44.2601653532933|   2.301 -0.721   |10.16    |~                 |    ~     ~    |    1|  417.659   pc  |  -4.2737     +4.2737  |paral   |2020yCat.1350....0G
3113|TYC 1205-544-1                                                                                                                                                                                                                                       |Star                              |01 36 32.0827383264 +15 58 11.763844608|138.4968083991515 -45.5345057964060|  47.283 -8.671   |10.76    |~                 |    ~     ~    |    1|  323.039   pc  |  -2.6610     +2.6610  |paral   |2020yCat.1350....0G
3114|TYC 1205-641-1                                                                                                                                                                                                                                       |Star                              |01 36 53.8913274912 +16 33 48.914938296|138.4076754613226 -44.9377698685140| 15.250 -45.068   |10.26    |~                 |    ~     ~    |    1|  174.255   pc  |  -0.5101     +0.5101  |paral   |2020yCat.1350....0G
3115|TYC 1205-707-1                                                                                                                                                                                                                                       |Star                              |01 38 43.8961574928 +16 49 28.523639928|138.9134279252375 -44.5745974147506|    8.064 2.566   |10.91    |~                 |    ~     ~    |    1|  276.763   pc  |  -1.4400     +1.4400  |paral   |2020yCat.1350....0G
3116|TYC 1205-758-1                                                                                                                                                                                                                                       |Star                              |01 36 58.9480427208 +17 22 07.969159200|138.1567604193997 -44.1523237637150|  0.356 -10.597   |10.05    |~                 |    ~     ~    |    1|  601.142   pc  |  -7.1190     +7.1190  |paral   |2020yCat.1350....0G
3117|TYC 1205-838-1                                                                                                                                                                                                                                       |High Proper Motion Star           |01 37 33.4582133328 +17 26 52.258160508|138.3148631347879 -44.0420076833221|105.962 -93.567   |10.930   |~                 |    ~     ~    |    1|  121.809   pc  |  -0.1899     +0.1899  |paral   |2020yCat.1350....0G
3118|TYC 1205-1200-1                                                                                                                                                                                                                                      |Star                              |01 38 35.3364980856 +16 16 35.597180712|139.0653270132906 -45.1130322392754|   6.318 -8.143   |10.58    |~                 |    ~     ~    |    1|  828.363   pc  | -11.8024    +11.8024  |paral   |2020yCat.1350....0G
3119|TYC 1208-682-1                                                                                                                                                                                                                                       |Star                              |01 38 33.4418289672 +17 55 27.404203764|138.4699596960293 -43.5212902362026|-13.451 -12.810   |10.47    |~                 |    ~     ~    |    1|  662.471   pc  | -11.4106    +11.4106  |paral   |2020yCat.1350....0G
3120|TYC 1208-980-1                                                                                                                                                                                                                                       |Star                              |01 36 23.5639513800 +17 33 16.365465684|137.9040460788125 -44.0064024563448|  -0.724 -6.727   |10.93    |~                 |    ~     ~    |    1|  298.721   pc  |  -2.8020     +2.8020  |paral   |2020yCat.1350....0G
3121|TYC 1208-1452-1                                                                                                                                                                                                                                      |Star                              |01 41 08.6065887096 +17 52 25.764182904|139.3070229510857 -43.4118669055275|-15.118 -12.008   |9.94     |~                 |    ~     ~    |    1|  297.912   pc  |  -1.7662     +1.7662  |paral   |2020yCat.1350....0G
3122|TYC 1198-1522-1                                                                                                                                                                                                                                      |Star                              |01 34 09.1222655256 +16 08 04.739847252|137.6471391948470 -45.5131410060291| 26.461 -14.351   |10.27    |~                 |    ~     ~    |    1|  229.368   pc  | -15.4199    +15.4199  |paral   |2020yCat.1350....0G
3123|TYC 1198-312-1                                                                                                                                                                                                                                       |High Proper Motion Star           |01 35 55.3912426416 +16 03 35.847767484|138.2619176699041 -45.4835038952202| 95.647 -48.424   |10.46    |~                 |    ~     ~    |    1|  179.798   pc  |  -0.8146     +0.8146  |paral   |2020yCat.1350....0G
3124|TYC 1205-785-1                                                                                                                                                                                                                                       |Star                              |01 37 32.9850079920 +16 04 34.903846092|138.7953337608905 -45.3703118675735| 22.540 -18.778   |10.80    |~                 |    ~     ~    |    1|  347.464   pc  |  -2.4629     +2.4629  |paral   |2020yCat.1350....0G
3125|M 74                               NGC 628                            M 74                                                                                                                                                                           |Galaxy                            |01 36 41.7451236624 +15 47 01.107512304|138.6168076727335 -45.7052708002080|   0.344 -0.229   |9.46     |~                 | 9.33  8.71    |    1|    7.30    Mpc |                       |T-F     |2011ApJS..192....6L
3126|BD+17 256                                                                                                                                                                                                                                            |Star                              |01 43 43.6939689312 +17 44 46.682339820|140.1695605352664 -43.3683576104070|   8.665 -4.514   |10.05    |F5                |    ~     ~    |    1|  427.991   pc  |  -3.6635     +3.6635  |paral   |2020yCat.1350....0G
3127|AG+16 158                                                                                                                                                                                                                                            |Long-Period Variable Candidate    |01 41 23.0008768584 +16 15 36.108516672|139.9866032684658 -44.9513998140927|   2.695 -6.096   |10.46    |G5                |    ~     ~    |    1| 1279.1     pc  | -59.063     +59.063   |paral   |2020yCat.1350....0G
3128|BD+16 190                                                                                                                                                                                                                                            |Star                              |01 43 46.9313274984 +17 07 19.872377976|140.4268755945820 -43.9642088812105|   22.080 4.258   |9.22     |G5                |    ~     ~    |    1|  424.052   pc  |  -3.6863     +3.6863  |paral   |2020yCat.1350....0G
3129|BD+16 192                                                                                                                                                                                                                                            |Star                              |01 43 56.0385093576 +17 42 49.755323592|140.2467172421154 -43.3859670376680|    9.582 9.162   |9.39     |F8                |    ~     ~    |    1|  177.274   pc  |  -0.6254     +0.6254  |paral   |2020yCat.1350....0G
3130|BD+15 248                                                                                                                                                                                                                                            |Star                              |01 41 52.0152976296 +16 32 56.237809776|140.0329180452897 -44.6418083197444|  0.530 -19.263   |9.09     |M0                |    ~     ~    |    1|  709.119   pc  | -15.6889    +15.6889  |paral   |2020yCat.1350....0G
3131|BD+15 252                                                                                                                                                                                                                                            |High Proper Motion Star           |01 42 30.2934240432 +16 24 19.443156012|140.2952768735746 -44.7377792848308| 36.029 -75.618   |9.74     |G5                |    ~     ~    |    1|  152.807   pc  |  -6.5964     +6.5964  |paral   |2020yCat.1350....0G
3132|BD+15 253                                                                                                                                                                                                                                            |Star                              |01 43 26.7610418184 +16 39 42.466459500|140.4991167817635 -44.4286911025599|-14.344 -10.528   |10.29    |K0                |    ~     ~    |    1|  710.985   pc  |  -8.6440     +8.6440  |paral   |2020yCat.1350....0G
3133|HD 10452                                                                                                                                                                                                                                             |Star                              |01 42 10.0520857368 +15 54 51.643543644|140.3776600799458 -45.2320487152495|   -8.658 4.974   |9.19     |K0                |    ~     ~    |    1|  322.570   pc  | -28.5413    +28.5413  |paral   |2020yCat.1350....0G
3134|HD 10477                                                                                                                                                                                                                                             |Star                              |01 42 26.9163859488 +15 46 42.726341604|140.5236984383924 -45.3436615788310|  30.194 -4.814   |7.550    |K0                |    ~     ~    |    1|  223.894   pc  |  -1.0778     +1.0778  |paral   |2020yCat.1350....0G
3135|BD+16 194                                                                                                                                                                                                                                            |Star                              |01 44 24.2873298024 +17 03 49.636441656|140.6480821884396 -43.9783449390918| 13.700 -14.110   |9.58     |K0                |    ~     ~    |    1|  501.681   pc  |  -4.0773     +4.0773  |paral   |2020yCat.1350....0G
3136|TYC 1205-359-1                                                                                                                                                                                                                                       |Star                              |01 43 46.0968953184 +17 11 23.999890380|140.3961025926707 -43.9000330926231|-25.996 -12.787   |10.99    |~                 |    ~     ~    |    1|  163.212   pc  |  -0.4901     +0.4901  |paral   |2020yCat.1350....0G
3137|TYC 1205-363-1                                                                                                                                                                                                                                       |Star                              |01 43 53.4413733672 +17 25 07.542736032|140.3464357707994 -43.6722173857998|  0.735 -48.264   |9.80     |~                 |    ~     ~    |    1|  223.999   pc  |  -3.7130     +3.7130  |paral   |2020yCat.1350....0G
3138|TYC 1205-386-1                                                                                                                                                                                                                                       |Star                              |01 42 00.4655273184 +16 11 40.389403488|140.2156684073171 -44.9733673649155|   3.564 -9.272   |10.85    |~                 |    ~     ~    |    1|  290.596   pc  |  -1.5116     +1.5116  |paral   |2020yCat.1350....0G
3139|TYC 1205-500-1                                                                                                                                                                                                                                       |Star                              |01 41 19.2522297192 +17 17 06.969993396|139.5793689496831 -43.9681073953950|  21.832 -7.835   |10.78    |~                 |    ~     ~    |    1|  355.063   pc  | -19.4400    +19.4400  |paral   |2020yCat.1350....0G
3140|TYC 1205-966-1                                                                                                                                                                                                                                       |Star                              |01 42 52.9589593968 +16 04 18.163308072|140.5493936097923 -45.0329963775150|   4.456 -6.042   |10.92    |~                 |    ~     ~    |    1| 1224.590   pc  | -23.8440    +23.8440  |paral   |2020yCat.1350....0G
3141|TYC 1205-1222-1                                                                                                                                                                                                                                      |Star                              |01 43 02.1647343192 +16 07 36.885690336|140.5775156398522 -44.9696729283954|  21.276 -2.147   |10.87    |~                 |    ~     ~    |    1|  380.575   pc  |  -2.4188     +2.4188  |paral   |2020yCat.1350....0G
3142|TYC 1205-1546-1                                                                                                                                                                                                                                      |Star                              |01 43 55.2604759368 +15 21 32.116183524|141.1788473701301 -45.6451729781788|  17.318 -5.194   |10.37    |~                 |    ~     ~    |    1|  909.008   pc  | -16.6912    +16.6912  |paral   |2020yCat.1350....0G
3143|TYC 1208-844-1                                                                                                                                                                                                                                       |Star                              |01 44 16.7737351344 +17 39 25.390860588|140.3773123530604 -43.4175118190601| 30.421 -14.286   |10.37    |~                 |    ~     ~    |    1|  303.186   pc  |  -2.0223     +2.0223  |paral   |2020yCat.1350....0G
3144|TYC 1208-1036-1                                                                                                                                                                                                                                      |Star                              |01 44 56.0675408184 +17 39 10.884965580|140.5848986110763 -43.3774422235324|  14.674 -3.992   |10.91    |~                 |    ~     ~    |    1|  448.471   pc  | -18.4835    +18.4835  |paral   |2020yCat.1350....0G
3145|TYC 1208-1476-1                                                                                                                                                                                                                                      |Star                              |01 42 20.0257817592 +17 51 24.292668024|139.6888845888062 -43.3528121171271|-35.662 -13.512   |10.54    |~                 |    ~     ~    |    1|  210.593   pc  |  -0.9003     +0.9003  |paral   |2020yCat.1350....0G
3146|TYC 1208-1504-1                                                                                                                                                                                                                                      |Star                              |01 42 27.5977237344 +17 45 44.221518864|139.7637985545136 -43.4356523710993| -6.903 -19.849   |10.42    |~                 |    ~     ~    |    1|  747.161   pc  | -10.4951    +10.4951  |paral   |2020yCat.1350....0G
3147|BD+17 215                                                                                                                                                                                                                                            |Star                              |01 31 16.3959417096 +18 32 25.805503140|135.9569439163197 -43.3214969727413|  21.104 -4.617   |8.59     |K5                |    ~     ~    |    1|  560.632   pc  |  -8.7692     +8.7692  |paral   |2020yCat.1350....0G
3148|BD+17 219                                                                                                                                                                                                                                            |Star                              |01 33 00.9689477904 +18 29 46.357985112|136.5243753693656 -43.2754738403368| -1.663 -14.548   |9.12     |F8                |    ~     ~    |    1|  297.717   pc  |  -4.0152     +4.0152  |paral   |2020yCat.1350....0G
3149|HD 9640                                                                                                                                                                                                                                              |High Proper Motion Star           |01 34 49.0652038872 +18 27 37.841815476|137.1067885988526 -43.2140708372314| 29.643 -65.753   |5.903    |M2III             |    ~     ~    |    1|  167.442   pc  |  -1.7775     +1.7775  |paral   |2020yCat.1350....0G
3150|HD 9928                                                                                                                                                                                                                                              |Star                              |01 37 22.1067294720 +18 12 52.641734508|137.9942686787597 -43.3097465329096|  36.785 -0.579   |8.58     |K0                |    ~     ~    |    1|  266.688   pc  |  -2.0839     +2.0839  |paral   |2020yCat.1350....0G
3151|HD 10104                                                                                                                                                                                                                                             |High Proper Motion Star           |01 39 04.4614659600 +18 04 18.958271988|138.5826436282388 -43.3474617290894|-21.905 -46.378   |9.25     |G5                |    ~     ~    |    1|  144.488   pc  |  -0.6200     +0.6200  |paral   |2020yCat.1350....0G
3152|HD 9299                                                                                                                                                                                                                                              |Star                              |01 31 51.8114253336 +20 22 29.689134780|135.6193607822937 -41.4987744032687|  13.254 -7.853   |9.09     |A3                |    ~     ~    |    1|  187.448   pc  |  -0.6817     +0.6817  |paral   |2020yCat.1350....0G
3153|BD+19 249                                                                                                                                                                                                                                            |Spectroscopic Binary              |01 31 33.8727653544 +20 03 16.648288488|135.6168280909962 -41.8266481727470|   16.212 3.000   |10.55    |F5                |    ~     ~    |    1|  479.386   pc  |  -4.4124     +4.4124  |paral   |2020yCat.1350....0G
3154|BD+18 199                                                                                                                                                                                                                                            |Star                              |01 30 31.2687864096 +19 21 11.089504872|135.4880959346534 -42.5637882194920|-13.147 -37.716   |9.59     |F8                |    ~     ~    |    1|  174.401   pc  |  -0.6114     +0.6114  |paral   |2020yCat.1350....0G
3155|BD+18 200                                                                                                                                                                                                                                            |Star                              |01 31 00.7571399616 +19 40 30.169663896|135.5518393109896 -42.2248804480949|  30.520 -6.633   |9.17     |F8                |    ~     ~    |    1|  230.378   pc  |  -1.4542     +1.4542  |paral   |2020yCat.1350....0G
3156|BD+17 214                                                                                                                                                                                                                                            |Spectroscopic Binary              |01 31 15.9117761256 +18 41 15.933825636|135.9116606698050 -43.1779677119796| 23.286 -93.112   |9.46     |G0                |    ~     ~    |    1|   86.634   pc  |  -2.6419     +2.6419  |paral   |2020yCat.1350....0G
3157|BD+20 245                                                                                                                                                                                                                                            |Star                              |01 34 50.6019249240 +20 45 08.898298524|136.4171201680428 -40.9799369680120| -21.023 -4.497   |9.50     |G5                |    ~     ~    |    1|  185.470   pc  |  -0.6673     +0.6673  |paral   |2020yCat.1350....0G
3158|HD 9431                                                                                                                                                                                                                                              |Star                              |01 33 07.4591427840 +20 44 29.411193804|135.9003213637403 -41.0781574998162|  -27.596 8.873   |9.25     |F5                |    ~     ~    |    1|  143.332   pc  |  -0.3801     +0.3801  |paral   |2020yCat.1350....0G
3159|BD+19 267                                                                                                                                                                                                                                            |Star                              |01 36 30.2967986520 +20 24 48.708092088|137.0216670035605 -41.2219615559188|-14.654 -14.522   |10.07    |G5                |    ~     ~    |    1|  275.421   pc  |  -1.7295     +1.7295  |paral   |2020yCat.1350....0G
3160|BD+19 271                                                                                                                                                                                                                                            |Star                              |01 39 08.5725456768 +20 26 55.179398508|137.8076029088233 -41.0410484971998|  7.246 -28.146   |9.89     |K2                |    ~     ~    |    1|  831.463   pc  | -10.7847    +10.7847  |paral   |2020yCat.1350....0G
3161|BD+19 254                                                                                                                                                                                                                                            |Star                              |01 32 49.0368783840 +20 11 23.357950548|135.9637859969422 -41.6324631268548|  12.112 -3.964   |9.96     |F2                |    ~     ~    |    1|  232.304   pc  |  -1.2250     +1.2250  |paral   |2020yCat.1350....0G
