C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:04

dec >=0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5048

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
35  |IRAS 01312+4416                                                                                                                                                                                                                                      |Star                              |01 34 16.3597620648 +44 32 08.486338380|130.9225283925129 -17.6704472630409|  -4.427 -2.250   |10.17    |~                 |    ~     ~    |    1| 1455.604   pc  | -71.1911    +71.1911  |paral   |2020yCat.1350....0G
36  |TYC 2826-62-1                                                                                                                                                                                                                                        |Star                              |01 30 59.4453374952 +43 33 33.506492256|130.4826375354155 -18.7317914447273|   2.756 -4.983   |10.67    |~                 |    ~     ~    |    1|  415.870   pc  |  -3.5281     +3.5281  |paral   |2020yCat.1350....0G
37  |TYC 2826-105-1                                                                                                                                                                                                                                       |Star                              |01 31 35.1104444208 +44 20 51.180675360|130.4591521312756 -17.9366348283615| -0.928 -13.755   |10.85    |~                 |    ~     ~    |    1|  344.839   pc  |  -2.5091     +2.5091  |paral   |2020yCat.1350....0G
38  |TYC 2826-199-1                                                                                                                                                                                                                                       |Star                              |01 33 40.9669904160 +44 58 58.412368272|130.7336776048294 -17.2479545179560|  -4.690 -5.893   |10.32    |~                 |    ~     ~    |    1|  875.657   pc  | -13.1118    +13.1118  |paral   |2020yCat.1350....0G
39  |TYC 2826-263-1                                                                                                                                                                                                                                       |Star                              |01 32 35.6466313920 +44 45 51.592035420|130.5731238404454 -17.4959271860600|   0.747 -2.310   |10.65    |~                 |    ~     ~    |    1|  680.828   pc  |  -9.5023     +9.5023  |paral   |2020yCat.1350....0G
40  |TYC 2826-304-1                                                                                                                                                                                                                                       |Star                              |01 31 29.6600010576 +43 23 56.643922896|130.6053595084398 -18.8750601272068|-14.921 -24.140   |10.62    |~                 |    ~     ~    |    1|  343.678   pc  |  -2.0788     +2.0788  |paral   |2020yCat.1350....0G
41  |TYC 2826-321-1                                                                                                                                                                                                                                       |Star                              |01 33 51.2544158352 +44 42 46.743710040|130.8134882011922 -17.5086696340699| 14.407 -32.845   |10.47    |~                 |    ~     ~    |    1|  143.655   pc  |  -0.7429     +0.7429  |paral   |2020yCat.1350....0G
42  |TYC 2826-433-1                                                                                                                                                                                                                                       |Star                              |01 35 25.5587043600 +44 54 01.275853968|131.0668165809990 -17.2754625869901| 13.430 -11.555   |10.92    |~                 |    ~     ~    |    1|  911.494   pc  | -16.8657    +16.8657  |paral   |2020yCat.1350....0G
43  |TYC 2826-561-1                                                                                                                                                                                                                                       |Star                              |01 31 08.8132834320 +44 16 51.555774864|130.3891691231436 -18.0150315112155| -10.621 -7.163   |10.72    |~                 |    ~     ~    |    1|  320.287   pc  |  -1.8875     +1.8875  |paral   |2020yCat.1350....0G
44  |TYC 2826-922-1                                                                                                                                                                                                                                       |Star                              |01 30 34.9209367296 +43 19 42.109595400|130.4444686015015 -18.9716549483627|   1.073 -3.788   |10.95    |~                 |    ~     ~    |    1| 1328.198   pc  | -39.8689    +39.8689  |paral   |2020yCat.1350....0G
