C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:33:23

dec< 0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 8703

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
82  |TYC 4862-1389-1                                                                                          |Spectroscopic Binary              |08 36 07.7555353920 -00 12 42.191149500|225.7631622022624 +23.0085622927540|  9.747 -20.770   |10.7     |~              |    ~     ~    |    1|  279.979   pc  |  -4.1311     +4.1311    |paral   |2020yCat.1350....0G
83  |TYC 4862-1603-1                                                                                          |Star                              |08 37 28.5352253352 -00 41 42.037415340|226.4007575117724 +23.0591606048372|  -15.800 0.332   |9.88     |~              |    ~     ~    |    1|  221.705   pc  |  -2.0153     +2.0153    |paral   |2020yCat.1350....0G
84  |TYC 4862-1636-1                                                                                          |Star                              |08 36 49.4630202480 -01 13 32.136808332|226.8100818835542 +22.6520414668899| -5.496 -10.421   |10.71    |~              |    ~     ~    |    1|  708.567   pc  | -10.0413    +10.0413    |paral   |2020yCat.1350....0G
85  |TYC 4862-1649-1                                                                                          |Star                              |08 36 46.3775890536 -01 30 35.244042048|227.0689185388584 +22.4977370366972|   3.597 -4.692   |10.82    |~              |    ~     ~    |    1|  436.719   pc  |  -2.7655     +2.7655    |paral   |2020yCat.1350....0G
86  |TYC 4862-1992-1                                                                                          |Star                              |08 36 40.8861443256 -00 33 11.365743276|226.1594423966287 +22.9581716015972|   -3.201 1.850   |10.7     |~              |    ~     ~    |    1|  939.232   pc  | -15.3495    +15.3495    |paral   |2020yCat.1350....0G
87  |HD 72054B                                                                                                |Star                              |08 30 49.3558963800 -00 46 59.365518528|225.5875918982526 +21.5732762875773|   -8.550 1.763   |10.65    |~              |    ~     ~    |    1|  464.231   pc  |  -4.3533     +4.3533    |paral   |2020yCat.1350....0G
88  |TYC 4866-295-1                                                                                           |Star                              |08 33 15.0310250448 -02 09 30.217630644|227.1935724760824 +21.4105419050343|  -8.193 -7.981   |10.61    |~              |    ~     ~    |    1|  909.422   pc  | -14.3079    +14.3079    |paral   |2020yCat.1350....0G
89  |TYC 4866-382-1                                                                                           |Star                              |08 32 52.7114249664 -02 07 23.457414612|227.1105624013892 +21.3480801031578|  -24.533 0.500   |10.93    |~              |    ~     ~    |    1|  447.708   pc  |  -9.1803     +9.1803    |paral   |2020yCat.1350....0G
90  |TYC 4866-437-1                                                                                           |Star                              |08 34 31.0451813208 -02 05 40.135794432|227.3062408204038 +21.7159633885227|   0.854 -9.670   |10.85    |~              |    ~     ~    |    1|  484.520   pc  |  -5.7046     +5.7046    |paral   |2020yCat.1350....0G
91  |TYC 4866-468-1                                                                                           |Star                              |08 32 29.6479362144 -02 04 40.142701380|227.0165378790568 +21.2880117874526|  -6.455 -9.255   |10.61    |~              |    ~     ~    |    1|  250.313   pc  |  -0.8709     +0.8709    |paral   |2020yCat.1350....0G
92  |TYC 4866-503-1                                                                                           |Double or Multiple Star           |08 32 09.727848 -02 03 24.79212        |226.952310803 +21.226894544        |      -2.1 -0.1   |10.934   |~              |    ~     ~    |    0|                |                         |        |                   
93  |TYC 4866-2076-1                                                                                          |Star                              |08 34 23.8676482128 -02 08 16.010087316|227.3301723405741 +21.6682826660516|  -12.529 1.945   |10.59    |~              |    ~     ~    |    1|  411.709   pc  |  -3.9155     +3.9155    |paral   |2020yCat.1350....0G
94  |HD 72172                                                                                                 |Star                              |08 31 20.4902552640 -02 31 21.573203592|227.2724745391836 +20.8150072118296| -13.360 -3.542   |8.75     |F3V            |    ~     ~    |    1|  221.356   pc  |  -1.0143     +1.0143    |paral   |2020yCat.1350....0G
95  |HD 72430                                                                                                 |Spectroscopic Binary              |08 32 38.2918320792 -03 10 44.309392428|228.0531416991916 +20.7611177422954|  -43.794 2.265   |7.59     |A3mA4-F2       |    ~     ~    |    1|  232.385   pc  |  -5.5245     +5.5245    |paral   |2020yCat.1350....0G
96  |HD 72527                                                                                                 |Star                              |08 33 14.6319669144 -03 24 23.955865812|228.3450532353994 +20.7749372127196|  -15.928 0.858   |9.73     |A0V            |    ~     ~    |    1|  490.148   pc  |  -7.0392     +7.0392    |paral   |2020yCat.1350....0G
97  |HD 72565                                                                                                 |Star                              |08 33 31.7814475008 -02 58 38.261011296|227.9887057493512 +21.0553641444923| 13.097 -26.375   |7.73     |K4III          |    ~     ~    |    1|  476.281   pc  |  -4.5822     +4.5822    |paral   |2020yCat.1350....0G
98  |HD 72723                                                                                                 |Star                              |08 34 18.9948147816 -03 15 47.930806044|228.3597197606412 +21.0783100429641| -15.266 -5.017   |8.54     |A1/2V          |    ~     ~    |    1|  230.319   pc  |  -1.4694     +1.4694    |paral   |2020yCat.1350....0G
