C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:33:23

dec< 0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 8703

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
5230|CD-45 4266                                                                                               |Star                              |08 34 33.5344090272 -45 31 32.605227408|263.7498421205769 -03.1066191934506|   -8.593 5.121   |10.56    |A0             |    ~     ~    |    1|  633.673   pc  | -10.3196    +10.3196    |paral   |2020yCat.1350....0G
5231|CD-45 4267                                                                                               |Star                              |08 34 39.2202262464 -45 43 13.423176804|263.9162124303359 -03.2094613529315|   -5.512 4.122   |10.28    |A5             |    ~     ~    |    1|  715.871   pc  |  -7.2771     +7.2771    |paral   |2020yCat.1350....0G
5232|HD 73125                                                                                                 |Star                              |08 34 54.6411112776 -45 28 38.229503880|263.7477769619267 -03.0282521797148|   -8.458 5.197   |9.65     |B9V            |    ~     ~    |    1|  623.597   pc  | -10.4607    +10.4607    |paral   |2020yCat.1350....0G
5233|CD-45 4275                                                                                               |Star                              |08 35 07.7643147408 -45 46 01.550509032|264.0033748605536 -03.1707788918582|   -8.328 2.788   |9.83     |B5             |    ~     ~    |    0|                |                         |        |                   
5234|HD 73260                                                                                                 |Double or Multiple Star           |08 35 41.9045628720 -45 52 52.736231928|264.1544359954497 -03.1597095754732|  -13.948 8.868   |9.701    |A7/F0+F/G      |    ~     ~    |    0|                |                         |        |                   
5235|HD 73385                                                                                                 |Double or Multiple Star           |08 36 19.958280 -46 09 56.14632        |264.448401241 -03.242113605        |     39.3 -55.0   |9.87     |G5             |    ~     ~    |    0|                |                         |        |                   
5236|HD 73442                                                                                                 |Star                              |08 36 39.6638302152 -45 50 23.346537036|264.2219475131944 -03.0007534963446|   -5.176 5.384   |9.08     |G6/8III        |    ~     ~    |    1|  701.016   pc  |  -6.2902     +6.2902    |paral   |2020yCat.1350....0G
5237|CD-45 4304                                                                                               |Star                              |08 36 56.2441434696 -45 31 18.153670764|263.9966702855713 -02.7707493573461|   -5.891 5.329   |9.14     |B2III          |    ~     ~    |    1| 1774.623   pc  | -52.5931    +52.5931    |paral   |2020yCat.1350....0G
5238|CD-45 4313                                                                                               |Star                              |08 37 19.3230611976 -46 07 12.388590048|264.5152831964137 -03.0778537805067|   -5.868 5.196   |10.49    |B3III          |    ~     ~    |    1| 1746.115   pc  | -48.1729    +48.1729    |paral   |2020yCat.1350....0G
5239|CD-45 4326                                                                                               |Star                              |08 37 58.0712134632 -45 42 32.249059308|264.2550196395829 -02.7400688170096|  -10.253 2.280   |10.18    |F0             |    ~     ~    |    1|  408.898   pc  |  -4.9992     +4.9992    |paral   |2020yCat.1350....0G
5240|CD-45 4328                                                                                               |High Proper Motion Star           |08 38 03.5965588176 -45 41 38.863153824|264.2529316076609 -02.7182953228261| -73.969 16.569   |9.77     |G0             |    ~     ~    |    1|   87.559   pc  |  -0.0851     +0.0851    |paral   |2020yCat.1350....0G
5241|HD 73757                                                                                                 |Star                              |08 38 13.5365202264 -45 35 36.619211616|264.1902762135824 -02.6343530628371| -23.137 22.941   |7.77     |K0III          |    ~     ~    |    1|  254.933   pc  |  -0.8644     +0.8644    |paral   |2020yCat.1350....0G
5242|CD-45 4334                                                                                               |Star                              |08 38 21.4756151136 -45 52 34.897258200|264.4296436983804 -02.7872303006069|   -3.668 6.081   |8.98     |K0             |    ~     ~    |    1|  531.491   pc  |  -3.6440     +3.6440    |paral   |2020yCat.1350....0G
5243|CD-45 4335                                                                                               |Star                              |08 38 27.6867986424 -45 32 56.204938392|264.1798053232807 -02.5745233596742|   -3.995 7.622   |9.84     |G5             |    ~     ~    |    1|  633.593   pc  | -12.6454    +12.6454    |paral   |2020yCat.1350....0G
5244|HD 73831                                                                                                 |Star                              |08 38 34.2450335256 -45 55 40.318525488|264.4931277781181 -02.7889726361952|   -5.443 5.132   |8.04     |B2II           |    ~     ~    |    1| 1843.658   pc  | -73.0801    +73.0801    |paral   |2020yCat.1350....0G
5245|HD 73830                                                                                                 |Star                              |08 38 37.6724161608 -45 47 54.572649936|264.3961438719008 -02.7026465025169| -15.208 -1.699   |8.38     |A3V            |    ~     ~    |    1|  317.309   pc  |  -1.6110     +1.6110    |paral   |2020yCat.1350....0G
5246|CD-45 4354                                                                                               |Star                              |08 39 07.0606543416 -45 57 51.391695852|264.5798510384448 -02.7354814156193|  -0.212 10.571   |9.57     |~              |    ~     ~    |    1|  486.287   pc  |  -9.2698     +9.2698    |paral   |2020yCat.1350....0G
5247|CD-45 4357                                                                                               |Star                              |08 39 09.4492853928 -45 49 13.463980788|264.4696495080935 -02.6425912923955|   -4.230 7.562   |10.02    |A0             |    ~     ~    |    1|  496.376   pc  |  -3.2523     +3.2523    |paral   |2020yCat.1350....0G
5248|HD 73987                                                                                                 |Star                              |08 39 32.7524401008 -44 10 47.946999144|263.2085498864291 -01.5901957052274| -19.175 23.186   |9.47     |F2IV/V         |    ~     ~    |    1|  325.637   pc  |  -1.3149     +1.3149    |paral   |2020yCat.1350....0G
5249|CD-43 4539                                                                                               |Star                              |08 40 19.7944424928 -44 15 38.204077824|263.3581827361905 -01.5280694817383|  -15.816 3.727   |9.24     |K0             |    ~     ~    |    1|  700.280   pc  |  -8.3857     +8.3857    |paral   |2020yCat.1350....0G
5250|HD 74318                                                                                                 |Double or Multiple Star           |08 41 35.475 -44 15 02.34              |263.488666 -01.343424              |      -8.6 21.0   |9.0      |F8V            |    ~     ~    |    0|                |                         |        |                   
5251|CD-44 4649                                                                                               |Star                              |08 39 22.2564925344 -44 55 38.112172212|263.7827228898730 -02.0698249923826|   -8.333 9.467   |10.45    |A0             |    ~     ~    |    1|  931.185   pc  | -11.7059    +11.7059    |paral   |2020yCat.1350....0G
5252|HD 74042                                                                                                 |Star                              |08 39 49.3053999720 -44 46 00.727420260|263.7041223332961 -01.9087734568028|   -8.704 3.754   |8.95     |A0V            |    ~     ~    |    0|                |                         |        |                   
5253|HD 74069                                                                                                 |Star                              |08 39 55.1592942840 -45 08 10.460483772|264.0076368505912 -02.1202569264188|  -11.535 4.965   |9.80     |A0V            |    ~     ~    |    1|  496.179   pc  |  -3.7914     +3.7914    |paral   |2020yCat.1350....0G
5254|HD 74068                                                                                                 |Star                              |08 39 57.3991855416 -44 47 03.578703468|263.7325725283099 -01.9004428926397|   -6.482 4.385   |9.36     |A0V            |    ~     ~    |    1|  620.270   pc  |  -6.5020     +6.5020    |paral   |2020yCat.1350....0G
5255|HD 74086                                                                                                 |Star                              |08 40 03.5403015264 -44 42 54.493619400|263.6888078148850 -01.8438370257847|   -3.343 5.415   |8.00     |G6II/III       |    ~     ~    |    1|  403.145   pc  |  -2.6654     +2.6654    |paral   |2020yCat.1350....0G
5256|CD-44 4667                                                                                               |Star                              |08 40 05.6630470584 -44 39 01.232295552|263.6412870132626 -01.7993176913710|   -7.027 7.108   |10.41    |A0             |    ~     ~    |    1|  727.167   pc  |  -7.6143     +7.6143    |paral   |2020yCat.1350....0G
5257|HD 74167                                                                                                 |Variable Star                     |08 40 35.2586920584 -45 11 27.970734048|264.1230821621800 -02.0604370782952|    2.675 4.849   |5.648    |M0III          |    ~     ~    |    1|  285.780   pc  |  -4.3367     +4.3367    |paral   |2020yCat.1350....0G
5258|HD 74194                                                                                                 |High Mass X-ray Binary            |08 40 47.7915253032 -45 03 30.235569624|264.0405602497992 -01.9501356107455|   -7.465 6.100   |7.55     |O8.5Ib-II(f)p  |    ~     ~    |    1| 2257.336   pc  | -85.6055    +85.6055    |paral   |2020yCat.1350....0G
5259|HD 74209                                                                                                 |Star                              |08 40 51.5881493040 -44 44 57.551296308|263.8028315431578 -01.7521471255050|  -11.697 4.464   |9.27     |A0V            |    ~     ~    |    1|  366.744   pc  |  -3.4029     +3.4029    |paral   |2020yCat.1350....0G
5260|CD-44 4687                                                                                               |Star                              |08 41 02.1388485408 -45 01 41.269267056|264.0424779250988 -01.8982062368996|   -7.935 5.816   |10.10    |B9             |    ~     ~    |    1|  671.908   pc  | -10.5190    +10.5190    |paral   |2020yCat.1350....0G
5261|CD-44 4691                                                                                               |Star                              |08 41 13.5838343208 -45 16 38.008794540|264.2600996836037 -02.0242031114105|   -4.882 4.505   |9.02     |B2.5II         |    ~     ~    |    1| 2169.197   pc  | -76.6983    +76.6983    |paral   |2020yCat.1350....0G
5262|CD-44 4692                                                                                               |Star                              |08 41 21.7087405752 -44 46 09.665995764|263.8732906576166 -01.6939846910008|   1.843 30.990   |8.94     |K5             |    ~     ~    |    1|  288.342   pc  |  -1.0476     +1.0476    |paral   |2020yCat.1350....0G
5263|CD-44 4700                                                                                               |Star                              |08 41 42.0 -44 55 00                   |264.0265 -01.7370                  |            ~ ~   |10.0     |~              |    ~     ~    |    0|                |                         |        |                   
5264|HD 74371                                                                                                 |Blue Supergiant                   |08 41 56.9097314184 -45 24 38.562399648|264.4434702255380 -02.0059134788331|   -5.788 4.487   |5.227    |B6Iab/b        |    ~     ~    |    0|                |                         |        |                   
5265|CD-44 4719                                                                                               |Star                              |08 42 48.0 -44 58 00                   |264.1857 -01.6144                  |            ~ ~   |10.0     |~              |    ~     ~    |    0|                |                         |        |                   
5266|CD-44 4724                                                                                               |Star                              |08 43 01.9814180760 -45 02 31.937869572|264.2706118049887 -01.6285375550500|  -15.789 4.642   |9.64     |A3             |    ~     ~    |    1|  368.419   pc  |  -6.4202     +6.4202    |paral   |2020yCat.1350....0G
5267|HD 74694                                                                                                 |Star                              |08 43 41.8212485928 -45 08 10.161281076|264.4169548457685 -01.5944434489209| -24.350 31.455   |8.64     |G8III          |    ~     ~    |    1|  389.757   pc  |  -1.9141     +1.9141    |paral   |2020yCat.1350....0G
5268|CD-44 4743                                                                                               |Star                              |08 43 50.7048076080 -45 06 05.018369508|264.4058092227156 -01.5524140747062|   -4.572 3.667   |10.24    |B8             |    ~     ~    |    1| 1550.388   pc  | -25.9600    +25.9600    |paral   |2020yCat.1350....0G
5269|CD-44 4746                                                                                               |Star                              |08 43 58.8651958008 -45 07 00.223620240|264.4327193808575 -01.5430662474584|  -4.489 -5.248   |10.50    |A2             |    ~     ~    |    1|  641.149   pc  | -15.0863    +15.0863    |paral   |2020yCat.1350....0G
5270|HD 74752                                                                                                 |Star                              |08 44 03.6382825008 -44 38 01.818525336|264.0622827674200 -01.2328417697521| 21.874 -31.373   |8.30     |G6III/IV       |    ~     ~    |    1|  346.188   pc  |  -2.2891     +2.2891    |paral   |2020yCat.1350....0G
5271|CD-44 4755                                                                                               |Star                              |08 44 19.5016771824 -44 43 26.844983760|264.1622840449217 -01.2519405664862|   -4.700 7.616   |10.21    |A0             |    ~     ~    |    1|  535.705   pc  |  -5.1369     +5.1369    |paral   |2020yCat.1350....0G
5272|CD-44 4760                                                                                               |Star                              |08 44 27.6595967784 -44 57 45.509188248|264.3643529974052 -01.3810193267219|   -5.694 4.578   |10.27    |B4/5           |    ~     ~    |    1| 2258.356   pc  | -80.0727    +80.0727    |paral   |2020yCat.1350....0G
5273|CD-45 4363                                                                                               |Star                              |08 39 30.5968962048 -45 42 40.990049136|264.4204091539501 -02.5275080718361|   -9.200 7.136   |9.18     |K7             |    ~     ~    |    1|  859.623   pc  |  -8.9413     +8.9413    |paral   |2020yCat.1350....0G
5274|CD-45 4367                                                                                               |Star                              |08 39 37.1921154240 -45 43 03.861771564|264.4371430620680 -02.5161483715796|  -12.347 6.056   |10.34    |A0             |    ~     ~    |    1|  458.295   pc  |  -7.8343     +7.8343    |paral   |2020yCat.1350....0G
5275|HD 74106                                                                                                 |Star                              |08 40 10.3770967080 -45 36 56.808692496|264.4151603070911 -02.3774031532221| -15.820 15.237   |8.66     |A0IV           |    ~     ~    |    1|  468.647   pc  |  -5.2711     +5.2711    |paral   |2020yCat.1350....0G
5276|CD-45 4384                                                                                               |Star                              |08 40 15.3533138616 -45 44 47.820595812|264.5277617627323 -02.4457510262786|   -6.724 5.842   |10.19    |A0             |    ~     ~    |    1|  956.938   pc  | -20.5124    +20.5124    |paral   |2020yCat.1350....0G
5277|CD-45 4391                                                                                               |Spectroscopic Binary              |08 40 39.9561431976 -45 30 46.052598600|264.3862728213116 -02.2461836665844|  -30.761 5.474   |9.47     |K5             |    ~     ~    |    1|  418.480   pc  |  -6.8649     +6.8649    |paral   |2020yCat.1350....0G
5278|CD-45 4393                                                                                               |Eclipsing Binary                  |08 40 51.8068792968 -45 30 18.991281672|264.4014975273448 -02.2142070925917|   -4.924 4.278   |9.13     |B5V            |    ~     ~    |    1| 1459.428   pc  | -34.7179    +34.7179    |paral   |2020yCat.1350....0G
5279|HD 74210                                                                                                 |Star                              |08 40 53.6497355256 -45 45 47.797315344|264.6090432388970 -02.3677887623839|-29.212 -24.986   |7.96     |G8/K0(III)     |    ~     ~    |    1|  452.448   pc  |  -3.0911     +3.0911    |paral   |2020yCat.1350....0G
5280|CD-45 4401                                                                                               |Pulsating Variable                |08 41 16.2053287896 -45 45 15.285595320|264.6420692960196 -02.3104130272485|   -4.546 5.652   |8.84     |B5V            |    ~     ~    |    1| 1865.324   pc  |-107.1665   +107.1665    |paral   |2020yCat.1350....0G
5281|CD-45 4407                                                                                               |Star                              |08 41 28.8936531744 -45 34 59.507427180|264.5294728290554 -02.1763821095138| -15.606 11.063   |9.34     |~              |    ~     ~    |    1|  373.986   pc  |  -1.7483     +1.7483    |paral   |2020yCat.1350....0G
5282|CD-45 4415                                                                                               |Star                              |08 41 48.6751438128 -45 33 04.395781872|264.5396385101637 -02.1111996818633| -22.694 25.403   |9.38     |~              |    ~     ~    |    1|  294.638   pc  |  -1.0157     +1.0157    |paral   |2020yCat.1350....0G
5283|V* V461 Vel                                                                                              |Eclipsing Binary                  |08 42 43.6714809840 -45 33 18.088879428|264.6414056767566 -01.9870246917509|   -4.952 4.908   |8.43     |B1V            |    ~     ~    |    1| 1118.443   pc  | -92.9430    +92.9430    |paral   |2020yCat.1350....0G
5284|HD 74579                                                                                                 |Star                              |08 42 54.1660386120 -45 27 49.047157512|264.5882964877614 -01.9065525891528| -24.558 17.523   |8.21     |K1III          |    ~     ~    |    1|  394.073   pc  |  -3.0282     +3.0282    |paral   |2020yCat.1350....0G
5285|HD 74599                                                                                                 |Star                              |08 43 06.8805759168 -45 33 42.282900396|264.6884796636401 -01.9378662065300|   -8.493 5.478   |6.85     |K3III          |    ~     ~    |    1|  700.525   pc  |  -7.9008     +7.9008    |paral   |2020yCat.1350....0G
5286|HD 73386                                                                                                 |Star                              |08 36 18.9886689672 -46 15 43.149742236|264.5239293108372 -03.3022211159197| 15.819 -13.168   |8.83     |K0/2III        |    ~     ~    |    1|  403.470   pc  |  -2.5232     +2.5232    |paral   |2020yCat.1350....0G
5287|Cl Pismis 4                                                                                              |Open Cluster                      |08 35 09.6 -44 24 25                   |262.9154 -02.3529                  |   -8.236 5.337   |5.9      |~              |34.9  34.9     |    1|  695.0     pc  |                         |paral   |2021A&A...651A.104P
5288|TYC 8150-3435-1                                                                                          |Star                              |08 33 34.1117319648 -45 34 13.368871884|263.6823934120495 -03.2725230993670|   -6.188 4.668   |10.97    |~              |    ~     ~    |    1| 1545.595   pc  | -31.5330    +31.5330    |paral   |2020yCat.1350....0G
5289|IRAS 08385-4442                                                                                          |Long-Period Variable Candidate    |08 40 13.5976555536 -44 52 59.575355508|263.8401832641737 -01.9228605805419|   -3.750 3.709   |10.98    |M6             |    ~     ~    |    1| 1218.18    pc  | -50.0091    +50.0091    |paral   |2020yCat.1350....0G
5290|IRAS 08407-4517                                                                                          |Star                              |08 42 25.4215130616 -45 28 47.043724692|264.5492183989117 -01.9826341400675|   -5.255 3.764   |9.53     |~              |    ~     ~    |    1| 1721.467   pc  | -41.1919    +41.1919    |paral   |2020yCat.1350....0G
5291|HD 74319                                                                                                 |Star                              |08 41 34.9044234312 -44 59 30.890980968|264.0730483289624 -01.7997477773577|  -11.570 9.784   |6.685    |B3V            |    ~     ~    |    1|  546.568   pc  |  -9.2907     +9.2907    |paral   |2020yCat.1350....0G
5292|HD 72798                                                                                                 |Star                              |08 33 01.8593584728 -45 45 10.456626816|263.7737338038432 -03.4564304464891|   -9.241 9.311   |6.354    |B3III          |    ~     ~    |    1|  678.794   pc  | -16.2188    +16.2188    |paral   |2020yCat.1350....0G
5293|HD 72350                                                                                                 |Spectroscopic Binary              |08 30 39.2288732472 -44 44 14.346383532|262.7051308567008 -03.1948769941001|  -10.597 5.488   |6.29     |B3IV           |    ~     ~    |    1|  556.204   pc  |  -8.2909     +8.2909    |paral   |2020yCat.1350....0G
5294|[K77] 282                                                                                                |Star                              |08 34 38.0 -44 17 42                   |262.7692 -02.3613                  |            ~ ~   |9.294    |~              |    ~     ~    |    0|                |                         |        |                   
5295|[K77] 291                                                                                                |Star                              |08 41 30.0 -45 35 30                   |264.5381 -02.1790                  |            ~ ~   |9.297    |~              |    ~     ~    |    0|                |                         |        |                   
5296|[K77] 292                                                                                                |Star                              |08 41 48.0 -45 33 30                   |264.5440 -02.1171                  |            ~ ~   |9.407    |~              |    ~     ~    |    0|                |                         |        |                   
5297|CD-44 4475                                                                                               |Red Supergiant Candidate          |08 30 33.6234893208 -45 02 22.087782312|262.9403279072514 -03.3857520598374|   -4.323 6.720   |9.22     |M0I:           |    ~     ~    |    1| 1139.212   pc  | -21.9329    +21.9329    |paral   |2020yCat.1350....0G
5298|CD-44 4478                                                                                               |Star                              |08 30 43.4018630352 -44 48 12.542027580|262.7660148773884 -03.2237732757719|   -5.367 3.967   |10.52    |~              |    ~     ~    |    1| 1099.868   pc  | -17.1779    +17.1779    |paral   |2020yCat.1350....0G
5299|CD-44 4568                                                                                               |Star                              |08 35 45.8730109536 -45 22 06.491195112|263.7502708065507 -02.8430972868475|   -2.434 4.982   |10.03    |~              |    ~     ~    |    1|  909.670   pc  |  -9.5990     +9.5990    |paral   |2020yCat.1350....0G
5300|CD-44 4587                                                                                               |Star                              |08 36 33.3727367880 -44 38 41.909312688|263.2553983063768 -02.2966359239816|   -4.314 4.922   |10.21    |~              |    ~     ~    |    1| 2003.606   pc  | -57.4065    +57.4065    |paral   |2020yCat.1350....0G
5301|CD-43 4471                                                                                               |Star                              |08 36 58.7742904368 -43 59 05.705441448|262.7738752447968 -01.8385441700314|   -7.912 3.997   |9.99     |~              |    ~     ~    |    1|  592.101   pc  |  -3.8214     +3.8214    |paral   |2020yCat.1350....0G
5302|CD-44 4653                                                                                               |Star                              |08 39 31.8520378752 -45 14 08.710544580|264.0448889066289 -02.2351577880611|    0.769 3.945   |9.58     |~              |    ~     ~    |    1|  320.842   pc  |  -1.4103     +1.4103    |paral   |2020yCat.1350....0G
5303|CD-43 4540                                                                                               |Star                              |08 40 25.6887285144 -43 57 57.584760804|263.1356798018409 -01.3340768159562|  -11.662 8.988   |10.25    |~              |    ~     ~    |    1|  767.401   pc  |  -6.8902     +6.8902    |paral   |2020yCat.1350....0G
5304|CD-43 4561                                                                                               |Star                              |08 42 10.2001093152 -44 17 00.678348744|263.5782987102580 -01.2818949356984|  -12.567 9.340   |10.63    |~              |    ~     ~    |    1|  701.213   pc  |  -6.3429     +6.3429    |paral   |2020yCat.1350....0G
5305|CD-44 4723                                                                                               |Double or Multiple Star           |08 42 58.0438417920 -45 20 59.943532704|264.5057979526395 -01.8275340974529|  -7.510 17.302   |9.639    |~              |    ~     ~    |    1|  568.020   pc  |  -8.9051     +8.9051    |paral   |2020yCat.1350....0G
5306|HD 72321                                                                                                 |Star                              |08 30 23.4442906848 -44 02 40.957196100|262.1162353943155 -02.8259942157289| -15.591 17.073   |9.80     |F2V            |    ~     ~    |    1|  209.965   pc  |  -0.6172     +0.6172    |paral   |2020yCat.1350....0G
5307|HD 72552                                                                                                 |Star                              |08 31 48.0823945344 -43 51 34.329982572|262.1161785041158 -02.5117533315471| -10.894 -2.936   |8.22     |K1III          |    ~     ~    |    1|  457.771   pc  |  -4.6311     +4.6311    |paral   |2020yCat.1350....0G
5308|HD 72648                                                                                                 |Star                              |08 32 18.9890145000 -43 55 53.360572260|262.2291893752383 -02.4794823872072|   -5.621 5.084   |7.62     |B3III(II)      |    ~     ~    |    1| 1119.319   pc  | -35.0805    +35.0805    |paral   |2020yCat.1350....0G
5309|HD 72733                                                                                                 |Star                              |08 32 42.1994241576 -44 02 38.798291436|262.3612657033133 -02.4901528456613|   -3.277 3.111   |8.04     |B9V            |    ~     ~    |    1|  306.843   pc  |  -2.6269     +2.6269    |paral   |2020yCat.1350....0G
5310|CD-43 4403                                                                                               |Star                              |08 33 17.2141583544 -43 44 14.668841652|262.1767214462807 -02.2234656102772|   5.157 -7.732   |9.16     |~              |    ~     ~    |    1|  510.308   pc  |  -8.8281     +8.8281    |paral   |2020yCat.1350....0G
5311|CD-43 4411                                                                                               |Star                              |08 33 40.6253837304 -43 43 53.567773500|262.2139668364213 -02.1633244617063|   -8.267 4.983   |10.81    |A2             |    ~     ~    |    1|  687.947   pc  |  -7.8090     +7.8090    |paral   |2020yCat.1350....0G
5312|HD 73124                                                                                                 |Double or Multiple Star           |08 34 57.9288 -43 40 40.567            |262.3099995 -01.9445057            |      -35.3 7.6   |9.24     |F5V            |    ~     ~    |    0|                |                         |        |                   
5313|HD 73270                                                                                                 |Double or Multiple Star           |08 35 48.1861495 -43 45 19.508251      |262.4628256875 -01.8698001278      |   -42.64 33.57   |8.01     |A7/8V          |0.0033  0.0    |    0|                |                         |        |                   
5314|CD-43 4456                                                                                               |Star                              |08 36 01.8324941832 -43 40 14.796109380|262.4198181249305 -01.7861003574943|   -5.513 1.729   |10.44    |A2             |    ~     ~    |    1|  925.155   pc  | -11.6404    +11.6404    |paral   |2020yCat.1350....0G
5315|HD 73528                                                                                                 |Spectroscopic Binary              |08 37 07.1672598816 -43 31 59.084153760|262.4286202788517 -01.5457987861687| -29.246 41.847   |7.91     |A5/7III        |    ~     ~    |    1|  183.942   pc  |  -1.5259     +1.5259    |paral   |2020yCat.1350....0G
5316|CD-43 4408                                                                                               |Star                              |08 33 31.6825454400 -43 49 42.380706540|262.2758646218034 -02.2426103714962|   -5.733 4.109   |10.62    |~              |    ~     ~    |    1|  838.926   pc  | -10.5570    +10.5570    |paral   |2020yCat.1350....0G
5317|HD 72271                                                                                                 |Star                              |08 30 06.7612658208 -44 17 36.469924440|262.2885796056833 -03.0123779802270|   -6.176 5.340   |9.66     |B8/9III        |    ~     ~    |    1|  818.130   pc  | -11.9142    +11.9142    |paral   |2020yCat.1350....0G
5318|CPD-43 2689                                                                                              |Star                              |08 32 29.6330882496 -43 53 38.684881608|262.2179586117027 -02.4315825671482|   -7.257 8.802   |10.76    |~              |    ~     ~    |    1| 1142.596   pc  | -13.3164    +13.3164    |paral   |2020yCat.1350....0G
5319|TYC 7674-3325-1                                                                                          |Star                              |08 32 53.6360333736 -44 01 30.861852024|262.3663969208951 -02.4513781639761|   -2.235 0.902   |10.78    |~              |    ~     ~    |    1| 1448.436   pc  | -25.8050    +25.8050    |paral   |2020yCat.1350....0G
5320|HD 72675                                                                                                 |Pulsating Variable                |08 32 23.3947849992 -45 47 06.514863144|263.7334713211792 -03.5656215099183|  -19.769 4.507   |8.14     |A4/5V          |    ~     ~    |    1|  243.920   pc  |  -3.1533     +3.1533    |paral   |2020yCat.1350....0G
5321|HD 73203                                                                                                 |Double or Multiple Star           |08 35 18.064 -46 13 45.73              |264.392409 -03.423241              |       -3.1 5.0   |9.4      |B9.5V          |    ~     ~    |    0|                |                         |        |                   
5322|CD-45 4302                                                                                               |Star                              |08 36 52.8927682104 -45 56 17.329171812|264.3237115468254 -03.0292707048159|   -5.020 8.484   |9.28     |~              |    ~     ~    |    1|  747.831   pc  |  -7.1025     +7.1025    |paral   |2020yCat.1350....0G
5323|CD-43 4498                                                                                               |Star                              |08 38 19.7076169656 -43 50 12.448923684|262.8028176035027 -01.5554805632996|   -8.047 3.465   |10.65    |M2/3           |    ~     ~    |    1| 1394.506   pc  | -28.7808    +28.7808    |paral   |2020yCat.1350....0G
5324|CD-44 4656                                                                                               |Star                              |08 39 38.6447223120 -44 28 23.148760908|263.4518034249031 -01.7548196263320|   -7.640 4.702   |10.09    |~              |    ~     ~    |    1|  653.467   pc  |  -4.8253     +4.8253    |paral   |2020yCat.1350....0G
5325|CD-44 4737                                                                                               |Double or Multiple Star           |08 43 35.8738419360 -45 07 55.534902420|264.4029435615134 -01.6056662827878|  -6.209 11.778   |9.632    |~              |    ~     ~    |    1|  943.752   pc  | -10.3318    +10.3318    |paral   |2020yCat.1350....0G
5326|CD-44 4739                                                                                               |Star                              |08 43 42.6749158008 -44 57 43.034392692|264.2816059229286 -01.4846868080198|   -1.352 2.887   |9.89     |~              |    ~     ~    |    1| 1246.883   pc  | -23.7872    +23.7872    |paral   |2020yCat.1350....0G
5327|CD-44 4753                                                                                               |Star                              |08 44 12.0534302304 -45 06 40.060671012|264.4523586636424 -01.5091584025882|   -4.083 3.918   |9.81     |~              |    ~     ~    |    1| 1649.349   pc  | -34.0044    +34.0044    |paral   |2020yCat.1350....0G
5328|CD-44 4558                                                                                               |Star                              |08 35 18.0679293696 -44 45 21.544030764|263.2102652154973 -02.5416463907627| -23.840 38.412   |10.71    |OB             |    ~     ~    |    1|  266.297   pc  |  -0.7446     +0.7446    |paral   |2020yCat.1350....0G
5329|CD-44 4571                                                                                               |beta Cep Variable Candidate       |08 35 52.3939832736 -44 39 23.496359364|263.1915769755030 -02.4006634190417|   -5.434 5.031   |10.88    |B4             |    ~     ~    |    1| 1770.225   pc  | -38.8578    +38.8578    |paral   |2020yCat.1350....0G
5330|TYC 7674-761-1                                                                                           |Star                              |08 37 10.4531107992 -43 49 23.917352700|262.6660964803464 -01.7130800712729|   -5.419 5.521   |10.54    |B2/5           |    ~     ~    |    0|                |                         |        |                   
5331|CD-43 4512                                                                                               |Star                              |08 39 06.9301810512 -43 56 35.240906616|262.9734664723546 -01.5073838935737|   -6.478 3.196   |10.96    |B1/3           |    ~     ~    |    1|  765.755   pc  | -20.2888    +20.2888    |paral   |2020yCat.1350....0G
5332|CD-44 4764                                                                                               |Star                              |08 44 32.6178569880 -44 39 35.865051300|264.1360742908521 -01.1816596390442|   -6.758 5.799   |10.57    |B4/6           |    ~     ~    |    1| 1738.828   pc  | -32.3517    +32.3517    |paral   |2020yCat.1350....0G
5333|CD-44 4734                                                                                               |Star                              |08 43 23.6426501496 -44 34 43.207120092|263.9454911564199 -01.2918904324618| -12.192 16.403   |10.44    |B2/3           |    ~     ~    |    0|                |                         |        |                   
5334|CD-44 4619                                                                                               |Star                              |08 38 02.0 -44 57 18                   |263.6611 -02.2748                  |            ~ ~   |10.69    |~              |    ~     ~    |    0|                |                         |        |                   
5335|CD-45 4314                                                                                               |Pulsating Variable                |08 37 21.6393513554 -45 36 51.106334667|264.1152561808464 -02.7673918037746| -18.078 17.585   |9.442    |~              |    ~     ~    |    1|  343.454   pc  |  -6.6411     +6.6411    |paral   |2020yCat.1350....0G
5336|CPD-44 2690                                                                                              |Star                              |08 30 43.9122 -45 18 05.513            |263.1705998 -03.5152015            |     -11.4 18.6   |10.28    |~              |    ~     ~    |    0|                |                         |        |                   
5337|CPD-44 2696                                                                                              |Star                              |08 30 55.9140929712 -45 16 50.499822360|263.1744225036493 -03.4744913791715|  -8.719 12.720   |10.59    |~              |    ~     ~    |    1|  665.557   pc  | -26.6666    +26.6666    |paral   |2020yCat.1350....0G
