C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1761|BD-19 1094                                                                                                                                  |Star                               |05 05 52.3856637552 -19 45 08.819661636|220.3669001213607 -31.7641680328272|   14.317 8.757    |9.91     |~              |    ~     ~    |    1| 1073.077   pc  | -19.1148    +19.1148    |paral   |2020yCat.1350....0G
1762|BD-20 999                                                                                                                                   |Star                               |05 04 19.6584896928 -20 43 52.557553452|221.3060734545447 -32.4398613039859|-15.475 -17.427    |10.209   |~              |    ~     ~    |    1|  211.313   pc  |  -2.2960     +2.2960    |ST-L    |2020AJ....160...83S
1763|BD-20 1000                                                                                                                                  |Star                               |05 04 26.2584180216 -20 27 13.324210488|221.0071276341667 -32.3216753900930|   5.727 -2.596    |10.00    |~              |    ~     ~    |    1|  353.655   pc  | -12.3700    +12.3700    |ST-L    |2020AJ....160...83S
1764|BD-20 1001                                                                                                                                  |Star                               |05 04 34.7400537504 -20 04 11.830368216|220.5941541030035 -32.1593426113368| -3.802 -11.582    |10.035   |~              |    ~     ~    |    1|  257.529   pc  |  -3.4790     +3.4790    |ST-L    |2020AJ....160...83S
1765|BD-20 1004                                                                                                                                  |Star                               |05 04 52.9273078560 -20 35 18.490946100|221.1988812589964 -32.2695237435614|  2.598 -19.441    |10.371   |~              |    ~     ~    |    1|  428.194   pc  |  -9.6980     +9.6980    |ST-L    |2020AJ....160...83S
1766|BD-20 1006                                                                                                                                  |Star                               |05 05 53.2645962816 -19 48 29.885742000|220.4299161070601 -31.7803306817596|  -7.470 -4.223    |10.62    |~              |    ~     ~    |    1|  314.601   pc  |  -5.6910     +5.6910    |ST-L    |2020AJ....160...83S
1767|BD-21 1060                                                                                                                                  |Star                               |05 04 16.3520775288 -21 37 34.500032400|222.3027903557475 -32.7497241100997|  10.593 10.092    |10.658   |~              |    ~     ~    |    1|  870.242   pc  | -26.5700    +26.5700    |ST-L    |2020AJ....160...83S
1768|BD-20 1005                                                                                                                                  |Star                               |05 05 20.4650163696 -20 18 46.660767804|220.9360568166583 -32.0746625496497|   3.558 13.036    |9.998    |~              |    ~     ~    |    1|  594.427   pc  | -14.4400    +14.4400    |ST-L    |2020AJ....160...83S
1769|TYC 5909-317-1                                                                                                                              |Star                               |05 05 36.2652986040 -20 20 46.753055268|220.9979369534058 -32.0280462627910|    4.679 5.466    |10.705   |~              |    ~     ~    |    1| 1410.310   pc  | -89.1400    +89.1400    |ST-L    |2020AJ....160...83S
1770|HD 33095                                                                                                                                    |Double or Multiple Star            |05 07 09.7449466968 -19 23 30.852368412|220.0950574286480 -31.3535889969193|-28.022 282.031    |6.44     |G1V            |    ~     ~    |    1|   34.508   pc  |  -0.3627     +0.3627    |paral   |2020yCat.1350....0G
1771|HD 33887                                                                                                                                    |Star                               |05 12 36.9547859424 -19 22 11.575057692|220.5996190984891 -30.1425770665370|  -0.852 -4.565    |8.89     |G8III          |    ~     ~    |    1|  448.169   pc  |  -3.2739     +3.2739    |paral   |2020yCat.1350....0G
1772|V* AL Lep                                                                                                                                   |Eclipsing Binary                   |05 06 17.6584157256 -20 07 52.794717528|220.8253897851184 -31.8023139320808| -9.368 -22.035    |9.49     |G0             |    ~     ~    |    1|  198.570   pc  |  -0.5323     +0.5323    |paral   |2020yCat.1350....0G
1773|HD 33024                                                                                                                                    |Star                               |05 06 33.7549235448 -20 35 54.177154368|221.3674059142273 -31.9029551363934|  -16.360 1.747    |8.63     |F0V            |    ~     ~    |    1|  149.179   pc  |  -1.1260     +1.1260    |ST-L    |2020AJ....160...83S
1774|HD 33072                                                                                                                                    |Star                               |05 06 59.9579931480 -20 06 54.315553788|220.8744706527153 -31.6413556127271| 42.580 -19.426    |8.35     |F5V            |    ~     ~    |    1|   99.511   pc  |  -0.1664     +0.1664    |paral   |2020yCat.1350....0G
1775|HD 33239                                                                                                                                    |High Proper Motion Star            |05 08 00.3596391384 -20 07 16.540624812|220.9769166724632 -31.4216754375744| 26.743 -63.138    |7.31     |K0III          |    ~     ~    |    1|  188.363   pc  |  -0.6280     +0.6280    |paral   |2020yCat.1350....0G
1776|BD-20 1016                                                                                                                                  |Star                               |05 09 05.4870438216 -20 10 10.465124700|221.1329661216348 -31.1992725507121|  -1.075 11.339    |9.74     |G5             |    ~     ~    |    1|  214.412   pc  |  -6.8810     +6.8810    |ST-L    |2020AJ....160...83S
1777|HD 33386                                                                                                                                    |Star                               |05 09 09.9537071952 -20 13 33.521017044|221.2019041484628 -31.2023514004956|    2.712 8.354    |8.73     |A5IV           |    ~     ~    |    1|  292.398   pc  |  -6.7542     +6.7542    |paral   |2020yCat.1350....0G
1778|HD 33574                                                                                                                                    |Star                               |05 10 27.6846942648 -20 05 35.652042312|221.1793204917260 -30.8711652332354|    4.206 6.714    |8.82     |K2III          |    ~     ~    |    1|  841.751   pc  | -14.9503    +14.9503    |paral   |2020yCat.1350....0G
1779|HD 33612                                                                                                                                    |Star                               |05 10 37.2683885232 -20 19 19.339322520|221.4445919865547 -30.9151694342675|  -1.669 -7.864    |10.05    |A0V            |    ~     ~    |    1|  573.987   pc  | -22.9305    +22.9305    |paral   |2020yCat.1350....0G
1780|HD 33628                                                                                                                                    |Star                               |05 10 43.4860987368 -20 44 54.274028280|221.9214194531930 -31.0386494923698|   -6.659 0.531    |7.62     |B9V            |    ~     ~    |    1|  223.759   pc  |  -1.3919     +1.3919    |paral   |2020yCat.1350....0G
1781|HIP 120001                                                                                                                                  |Star                               |05 10 42.4270141176 -20 45 02.979178560|221.9224296012444 -31.0433534421322|   -6.847 0.507    |10.26    |~              |    ~     ~    |    1|  224.437   pc  |  -0.9873     +0.9873    |paral   |2020yCat.1350....0G
1782|HD 33757                                                                                                                                    |Star                               |05 11 37.0964957256 -20 09 50.374112796|221.3661989155252 -30.6410434777268| 21.587 -14.905    |9.16     |G8III          |    ~     ~    |    1|  498.082   pc  |  -3.3988     +3.3988    |paral   |2020yCat.1350....0G
1783|HD 33932                                                                                                                                    |Star                               |05 12 53.0570668056 -20 34 51.006365436|221.9396125061225 -30.5066653328607|   20.471 2.824    |8.87     |F2/3V          |    ~     ~    |    1|  193.166   pc  |  -0.6306     +0.6306    |paral   |2020yCat.1350....0G
1784|HD 33931                                                                                                                                    |Star                               |05 12 56.6382271104 -20 07 59.871096660|221.4583113889722 -30.3386351567857|-10.412 -26.126    |9.02     |F3V            |    ~     ~    |    1|  245.381   pc  |  -0.9694     +0.9694    |paral   |2020yCat.1350....0G
1785|HD 34013                                                                                                                                    |Star                               |05 13 27.6248491848 -20 31 46.345681452|221.9376488305097 -30.3623872353239|   3.450 20.841    |8.29     |K1/2III        |    ~     ~    |    1|  604.924   pc  |  -7.0991     +7.0991    |paral   |2020yCat.1350....0G
1786|HD 34102                                                                                                                                    |Star                               |05 14 09.5888870016 -20 11 07.044172620|221.6297212947239 -30.0892733706765|  16.739 25.857    |9.11     |F3V            |    ~     ~    |    1|  189.948   pc  |  -0.9273     +0.9273    |paral   |2020yCat.1350....0G
1787|HD 32945                                                                                                                                    |Star                               |05 05 56.6194199832 -21 09 13.193489808|221.9268473925888 -32.2261761207195|-12.249 -13.599    |8.77     |F3III/IV       |    ~     ~    |    1|  264.473   pc  |  -1.3220     +1.3220    |paral   |2020yCat.1350....0G
1788|HD 32967                                                                                                                                    |Star                               |05 06 08.7943353144 -20 53 10.677459048|221.6480837926617 -32.0918869986959|   -7.796 7.533    |8.68     |G8IV           |    ~     ~    |    1|  377.216   pc  |  -2.3194     +2.3194    |paral   |2020yCat.1350....0G
1789|HD 33258                                                                                                                                    |High Proper Motion Star            |05 08 07.0805667552 -21 28 17.328581652|222.4794325487691 -31.8546231946126|-19.181 -79.722    |8.55     |F5V            |    ~     ~    |    1|   99.256   pc  |  -0.1635     +0.1635    |paral   |2020yCat.1350....0G
1790|BD-21 1080                                                                                                                                  |Star                               |05 08 12.4881143496 -20 55 31.982685528|221.8828105979090 -31.6518749929165|  8.930 -12.402    |10.259   |M0             |    ~     ~    |    1|  736.886   pc  | -31.5800    +31.5800    |ST-L    |2020AJ....160...83S
1791|V* UZ Lep                                                                                                                                   |Long-Period Variable Candidate     |05 08 31.8623359848 -21 04 13.942331472|222.0729903115185 -31.6298120744574|    5.968 0.726    |9.59     |M1             |    ~     ~    |    1| 1544.163   pc  | -55.3190    +55.3190    |paral   |2020yCat.1350....0G
1792|HD 33373                                                                                                                                    |Spectroscopic Binary               |05 09 00.1857415464 -21 45 58.435265412|222.8868818532303 -31.7582129467659| -6.260 -24.158    |9.27     |F5V            |    ~     ~    |    1|  197.798   pc  |  -4.3170     +4.3170    |ST-L    |2020AJ....160...83S
1793|HD 33559                                                                                                                                    |Spectroscopic Binary               |05 10 18.5615836008 -21 46 24.820971996|223.0127897192119 -31.4744284851093|    3.298 2.602    |8.75     |K1III          |    ~     ~    |    1|  828.363   pc  | -11.0476    +11.0476    |paral   |2020yCat.1350....0G
1794|BD-21 1095                                                                                                                                  |Spectroscopic Binary               |05 11 05.3452039440 -21 29 54.170531628|222.7795554849420 -31.2119833560050| 21.416 -44.749    |9.42     |G0             |    ~     ~    |    1|  139.942   pc  |  -0.2487     +0.2487    |paral   |2020yCat.1350....0G
1795|BD-21 1096                                                                                                                                  |Star                               |05 11 11.5968149472 -20 53 21.082548588|222.1193653775578 -30.9836682132538|   7.063 39.872    |9.719    |K0             |    ~     ~    |    1|  176.469   pc  |  -1.5730     +1.5730    |ST-L    |2020AJ....160...83S
1796|HD 34122                                                                                                                                    |Star                               |05 14 04.5121635216 -21 38 59.821465452|223.2169027804810 -30.6085518179088|  23.945 17.471    |7.40     |A5/7V          |    ~     ~    |    1|  145.085   pc  |  -0.4484     +0.4484    |paral   |2020yCat.1350....0G
1797|BD-21 1108                                                                                                                                  |Red Giant Branch star Candidate    |05 14 08.5256414928 -21 38 43.539751104|223.2180060895873 -30.5923917130531|   13.008 5.739    |9.40     |G5             |    ~     ~    |    1|  502.740   pc  |  -3.4374     +3.4374    |paral   |2020yCat.1350....0G
1798|BD-22 1030                                                                                                                                  |Star                               |05 10 00.7768211664 -21 53 42.305737812|223.1206750702528 -31.5795135243707|   6.987 13.010    |10.28    |K5             |    ~     ~    |    1|  583.235   pc  | -16.9000    +16.9000    |ST-L    |2020AJ....160...83S
1799|BD-21 1074A                                                                                                                                 |Eruptive Variable                  |05 06 49.9162124448 -21 35 09.128916564|222.4897963654102 -32.1747179405230| 47.194 -15.376    |10.41    |M2             |    ~     ~    |    1|   19.828   pc  |  -0.0079     +0.0079    |paral   |2020yCat.1350....0G
1800|BD-22 1050                                                                                                                                  |High Proper Motion Star            |05 13 59.1734396472 -21 58 24.798654804|223.5635705617155 -30.7359964686056|  64.800 58.462    |10.48    |M              |    ~     ~    |    1|   31.569   pc  |  -0.2212     +0.2212    |paral   |2020yCat.1350....0G
1801|NGC 1780                           NGC 1780                                                                                                 |Galaxy towards a Group of Galaxies |05 06 20.7335550000 -19 27 59.827201776|220.0978201349708 -31.5601457163116|    0.698 0.766    |     ~   |~              |0.547 0.328    |    1|   65.06    Mpc |                         |redshift|2007ApJ...655..790C
1802|BD-19 1099                                                                                                                                  |Star                               |05 06 47.2288583832 -19 45 43.927207992|220.4655029999782 -31.5659175238110|   3.203 -5.163    |10.195   |~              |    ~     ~    |    1|  328.024   pc  |  -6.1220     +6.1220    |ST-L    |2020AJ....160...83S
1803|CPD-19 735                                                                                                                                  |Star                               |05 06 55.0794584616 -19 29 37.766934348|220.1831645718592 -31.4433233858732|    8.035 3.728    |10.729   |~              |    ~     ~    |    1|  461.434   pc  | -12.2900    +12.2900    |ST-L    |2020AJ....160...83S
1804|BD-19 1107                                                                                                                                  |Star                               |05 08 57.2546674824 -19 34 29.118718740|220.4685721112987 -31.0224130972196| 33.314 -12.163    |10.571   |~              |    ~     ~    |    1|  311.568   pc  |  -5.4140     +5.4140    |ST-L    |2020AJ....160...83S
1805|BD-19 1108                                                                                                                                  |Star                               |05 09 06.1936371672 -19 43 36.794180172|220.6492073370932 -31.0428382538505| 20.187 -11.232    |10.36    |~              |    ~     ~    |    1|  160.997   pc  |  -0.4199     +0.4199    |paral   |2020yCat.1350....0G
1806|BD-19 1109                                                                                                                                  |Star                               |05 09 29.6227923000 -19 24 59.136160896|220.3479200054353 -30.8477101144291| -6.030 -21.516    |9.63     |~              |    ~     ~    |    1|  394.755   pc  |  -8.0100     +8.0100    |ST-L    |2020AJ....160...83S
1807|BD-19 1121                                                                                                                                  |Star                               |05 12 44.2098773448 -19 30 30.464784504|220.7611739779844 -30.1650034532215|  12.432 -5.593    |10.10    |~              |    ~     ~    |    1|  615.499   pc  | -17.8500    +17.8500    |ST-L    |2020AJ....160...83S
1808|BD-19 1124                                                                                                                                  |Star                               |05 13 41.7870364488 -19 32 55.957059276|220.8972633908453 -29.9678111807458|   -1.674 1.479    |9.88     |~              |    ~     ~    |    1| 1102.171   pc  | -15.0633    +15.0633    |paral   |2020yCat.1350....0G
1809|BD-19 1125                                                                                                                                  |Star                               |05 13 46.4587214016 -19 37 54.429973680|220.9942779368838 -29.9799622924262| -0.284 -16.353    |10.42    |~              |    ~     ~    |    1|  399.138   pc  |  -2.4215     +2.4215    |paral   |2020yCat.1350....0G
1810|BD-20 1042                                                                                                                                  |Star                               |05 14 20.0261174112 -19 52 22.063683936|221.3081515354248 -29.9416548387745|  37.206 23.191    |10.32    |~              |    ~     ~    |    1|  230.974   pc  |  -0.7362     +0.7362    |paral   |2020yCat.1350....0G
1811|BD-21 1076                                                                                                                                  |Star                               |05 07 42.3535682280 -21 28 26.374289016|222.4446941948516 -31.9458874114332|    6.319 3.669    |10.16    |~              |    ~     ~    |    1|  459.538   pc  |  -5.3427     +5.3427    |paral   |2020yCat.1350....0G
1812|BD-21 1079                                                                                                                                  |Star                               |05 08 07.9738379808 -21 37 45.979774284|222.6562692074377 -31.9037549603634|    3.821 5.699    |9.75     |~              |    ~     ~    |    1| 1027.630   pc  | -52.1400    +52.1400    |ST-L    |2020AJ....160...83S
1813|BD-21 1085                                                                                                                                  |Star                               |05 09 13.5962068896 -21 02 04.874907048|222.0975587841524 -31.4649390714231|  7.776 -17.555    |10.77    |~              |    ~     ~    |    1|  503.484   pc  | -13.7500    +13.7500    |ST-L    |2020AJ....160...83S
1814|BD-20 1018                                                                                                                                  |Star                               |05 09 22.8698975616 -20 27 38.975035356|221.4800590265753 -31.2357450940689|   4.595 11.238    |10.97    |~              |    ~     ~    |    1|  974.009   pc  | -61.8200    +61.8200    |ST-L    |2020AJ....160...83S
1815|BD-21 1086                                                                                                                                  |High Proper Motion Star            |05 09 27.4931910594 -21 48 32.083680726|222.9752557679662 -31.6725822478392| 21.105 -48.174    |10.035   |~              |    ~     ~    |    1|  234.088   pc  |  -2.5699     +2.5699    |paral   |2020yCat.1350....0G
1816|BD-21 1091                                                                                                                                  |Star                               |05 10 26.9567405376 -21 32 53.849891904|222.7764696763212 -31.3689070550567|    5.766 0.011    |10.98    |~              |    ~     ~    |    1|  371.126   pc  |  -2.9062     +2.9062    |paral   |2020yCat.1350....0G
1817|BD-21 1093                                                                                                                                  |Star                               |05 10 32.0989844088 -21 05 42.369538560|222.2847718639750 -31.1980170666439|-15.062 -11.267    |9.71     |~              |    ~     ~    |    1|  511.954   pc  |  -2.9617     +2.9617    |paral   |2020yCat.1350....0G
1818|BD-21 1097                                                                                                                                  |Star                               |05 11 30.0073978824 -21 18 00.512672112|222.5988717221638 -31.0553537429721|   11.214 6.110    |10.34    |~              |    ~     ~    |    1|  435.920   pc  |  -2.9834     +2.9834    |paral   |2020yCat.1350....0G
1819|BD-21 1100                                                                                                                                  |Star                               |05 11 39.6548195856 -21 09 36.197988588|222.4597351779460 -30.9728375235428|   0.650 17.763    |10.35    |~              |    ~     ~    |    1|  186.988   pc  |  -1.7570     +1.7570    |ST-L    |2020AJ....160...83S
1820|BD-20 1029                                                                                                                                  |Star                               |05 11 53.3197950840 -20 08 02.466264372|221.3591458838585 -30.5711235006397|-18.763 -45.931    |10.117   |~              |    ~     ~    |    1|  185.772   pc  |  -1.7460     +1.7460    |ST-L    |2020AJ....160...83S
1821|BD-20 1030                                                                                                                                  |Star                               |05 12 07.7018796312 -20 38 24.486372528|221.9337091945847 -30.6931558770496|    7.420 4.964    |10.02    |~              |    ~     ~    |    1|  220.299   pc  |  -2.3570     +2.3570    |ST-L    |2020AJ....160...83S
1822|BD-20 1032                                                                                                                                  |Star                               |05 12 34.4410575600 -20 18 16.668017280|221.6096618635246 -30.4795221576640|  -2.097 16.095    |10.565   |~              |    ~     ~    |    1|  314.933   pc  |  -4.8550     +4.8550    |ST-L    |2020AJ....160...83S
1823|BD-20 1033                                                                                                                                  |Star                               |05 12 42.8974098504 -20 44 48.534644904|222.1048532937013 -30.6008441386202|  0.088 -16.320    |10.528   |~              |    ~     ~    |    1|  337.729   pc  |  -6.2640     +6.2640    |ST-L    |2020AJ....160...83S
1824|BD-21 1103                                                                                                                                  |Star                               |05 12 49.9220431056 -21 41 36.022245360|223.1520580738163 -30.8952509496735|  10.640 10.214    |9.66     |~              |    ~     ~    |    1|  858.590   pc  |  -8.9936     +8.9936    |paral   |2020yCat.1350....0G
1825|BD-20 1037                                                                                                                                  |Star                               |05 13 34.5574437624 -20 28 01.462889388|221.8805434586884 -30.3154271698207|  -7.076 -0.971    |10.100   |~              |    ~     ~    |    1|  199.936   pc  |  -1.2432     +1.2432    |paral   |2018yCat.1345....0G
1826|BD-21 1109                                                                                                                                  |Star                               |05 14 21.4785691512 -21 39 38.393310600|223.2542130020950 -30.5502421375909|  -8.340 -7.598    |10.652   |~              |    ~     ~    |    1|  320.309   pc  |  -5.4850     +5.4850    |ST-L    |2020AJ....160...83S
1827|BD-21 1111                                                                                                                                  |Star                               |05 14 26.9033651472 -21 48 40.733270640|223.4272467060390 -30.5808714528531|    1.282 3.557    |9.77     |~              |    ~     ~    |    1|  516.502   pc  |  -4.4018     +4.4018    |paral   |2020yCat.1350....0G
1828|BD-21 1110                                                                                                                                  |Star                               |05 14 28.7678908200 -20 51 46.041190200|222.3950273900433 -30.2531531052194|    3.371 4.420    |10.81    |~              |    ~     ~    |    1|  338.845   pc  |  -1.6878     +1.6878    |paral   |2020yCat.1350....0G
1829|BD-21 1112                                                                                                                                  |Star                               |05 14 44.4527318832 -21 36 09.180607500|223.2253510952044 -30.4469124719943|   17.383 0.003    |10.12    |~              |    ~     ~    |    1|  241.295   pc  |  -0.7802     +0.7802    |paral   |2020yCat.1350....0G
1830|BD-20 1012                                                                                                                                  |Star                               |05 06 56.3131389480 -19 54 37.028729700|220.6430150403488 -31.5839531726574|  20.492 -0.025    |10.762   |~              |    ~     ~    |    1|  304.674   pc  |  -4.8530     +4.8530    |ST-L    |2020AJ....160...83S
1831|BD-21 1102                                                                                                                                  |Star                               |05 12 27.2074603128 -21 22 49.323186156|222.7740875481506 -30.8733014187210|   3.390 13.868    |9.89     |~              |    ~     ~    |    1|  642.508   pc  |  -4.9538     +4.9538    |paral   |2020yCat.1350....0G
1832|CPD-19 737                                                                                                                                  |Star                               |05 06 58.1501605872 -19 34 36.466036500|220.2792188550320 -31.4610807375572|  -6.686 -5.705    |10.915   |~              |    ~     ~    |    1|  371.557   pc  |  -7.0200     +7.0200    |ST-L    |2020AJ....160...83S
1833|CPD-19 739                                                                                                                                  |Star                               |05 07 03.7089603192 -19 17 18.735096876|219.9719914884848 -31.3394098676064|  1.863 -10.127    |10.963   |~              |    ~     ~    |    1|  404.087   pc  |  -8.3760     +8.3760    |ST-L    |2020AJ....160...83S
1834|CPD-19 745                                                                                                                                  |Star                               |05 07 59.8605176232 -19 23 31.743854628|220.1763969897143 -31.1693003587431| -1.723 -14.779    |10.884   |~              |    ~     ~    |    1|  967.069   pc  | -47.8600    +47.8600    |ST-L    |2020AJ....160...83S
1835|BD-19 1104                                                                                                                                  |Star                               |05 08 29.9412731976 -19 47 01.181841180|220.6533764390738 -31.1958756290140|-21.034 -19.621    |10.66    |~              |    ~     ~    |    1|  145.306   pc  |  -1.0510     +1.0510    |ST-L    |2020AJ....160...83S
1836|BD-19 1105                                                                                                                                  |Star                               |05 08 32.0968062408 -19 37 31.459788480|220.4835422091188 -31.1326525599083|   5.027 -5.873    |10.403   |~              |    ~     ~    |    1|  287.298   pc  |  -4.1420     +4.1420    |ST-L    |2020AJ....160...83S
1837|BD-19 1110                                                                                                                                  |Star                               |05 09 32.8736281056 -19 20 01.128710940|220.2629804005693 -30.8065316332276|  28.461 -0.088    |10.558   |~              |    ~     ~    |    1|  600.449   pc  | -18.3500    +18.3500    |ST-L    |2020AJ....160...83S
1838|BD-19 1113                                                                                                                                  |Star                               |05 09 49.1668162608 -19 30 09.624762648|220.4734193817383 -30.8062388976732|  26.796 20.636    |10.415   |~              |    ~     ~    |    1|  754.848   pc  | -26.2600    +26.2600    |ST-L    |2020AJ....160...83S
1839|BD-20 1026                                                                                                                                  |S Star                             |05 10 59.2137357216 -19 50 29.745394980|220.9548441891066 -30.6677758402857|  11.277 -4.745    |10.14    |M3S            |    ~     ~    |    1| 1286.670   pc  | -30.9582    +30.9582    |paral   |2020yCat.1350....0G
1840|BD-19 1118                                                                                                                                  |Star                               |05 12 07.0487976456 -19 33 48.249351000|220.7610116161752 -30.3209273027730|  -8.976 -4.458    |10.631   |~              |    ~     ~    |    1|  238.007   pc  |  -3.2370     +3.2370    |ST-L    |2020AJ....160...83S
1841|BD-19 1123                                                                                                                                  |Star                               |05 13 30.8877116904 -19 36 48.436750224|220.9495530843031 -30.0306630303789|   3.613 -8.203    |10.67    |~              |    ~     ~    |    1| 1373.438   pc  | -26.4086    +26.4086    |paral   |2020yCat.1350....0G
1842|BD-19 1127                                                                                                                                  |Star                               |05 14 40.5740237208 -19 35 06.602881128|221.0306028289954 -29.7647955644285| -7.920 -34.902    |10.26    |~              |    ~     ~    |    1|  354.070   pc  |  -2.0058     +2.0058    |paral   |2020yCat.1350....0G
1843|CPD-19 782                                                                                                                                  |Star                               |05 14 57.1735489656 -19 24 14.189007780|220.8621909511666 -29.6395171282456|    6.728 3.868    |10.46    |~              |    ~     ~    |    1|  823.113   pc  | -10.5692    +10.5692    |paral   |2020yCat.1350....0G
1844|BD-20 1010                                                                                                                                  |Star                               |05 06 35.0792352984 -20 26 15.948864996|221.1916510033761 -31.8433876183799|  -7.758 -4.600    |10.928   |~              |    ~     ~    |    1|  231.174   pc  |  -2.7330     +2.7330    |ST-L    |2020AJ....160...83S
1845|BD-21 1073                                                                                                                                  |Star                               |05 06 48.7843191744 -21 16 28.359990984|222.1413105019617 -32.0755138445278|    5.394 0.066    |10.19    |~              |    ~     ~    |    1|  743.882   pc  |  -7.1937     +7.1937    |paral   |2020yCat.1350....0G
1846|CPD-20 757                                                                                                                                  |Star                               |05 08 29.3964610824 -20 39 11.526886692|221.6083038559900 -31.4975450161382|-11.188 -39.339    |10.84    |~              |    ~     ~    |    1|  442.904   pc  | -10.2500    +10.2500    |ST-L    |2020AJ....160...83S
1847|BD-20 1019                                                                                                                                  |Star                               |05 09 51.7791647016 -20 27 57.980986704|221.5311084822435 -31.1315504349704|  12.230 16.982    |10.557   |~              |    ~     ~    |    1|  806.478   pc  | -26.1000    +26.1000    |ST-L    |2020AJ....160...83S
1848|BD-21 1089                                                                                                                                  |Star                               |05 10 17.8769337888 -21 06 16.564872708|222.2733993727463 -31.2532632349288|   4.185 -8.225    |10.581   |~              |    ~     ~    |    1|  343.283   pc  |  -5.9030     +5.9030    |ST-L    |2020AJ....160...83S
1849|BD-21 1092                                                                                                                                  |Star                               |05 10 27.5625094824 -21 37 08.517365328|222.8555138818914 -31.3902576784078|  24.163 -7.794    |10.64    |~              |    ~     ~    |    1|  275.482   pc  |  -1.1611     +1.1611    |paral   |2020yCat.1350....0G
1850|BD-20 1021                                                                                                                                  |Star                               |05 10 27.9410333136 -20 18 45.010757952|221.4195000328942 -30.9460882990172|   1.558 -4.457    |9.80     |~              |    ~     ~    |    1|  650.068   pc  |  -5.2401     +5.2401    |paral   |2020yCat.1350....0G
1851|BD-21 1099                                                                                                                                  |Star                               |05 11 31.5270576024 -21 34 14.843435052|222.8989579159536 -31.1405397797135|  3.060 -20.855    |10.677   |~              |    ~     ~    |    1|  508.698   pc  | -13.3300    +13.3300    |ST-L    |2020AJ....160...83S
1852|BD-20 1031                                                                                                                                  |Star                               |05 12 24.5166854592 -20 00 19.705795164|221.2686502943040 -30.4119078657025|  3.113 -11.817    |10.18    |~              |    ~     ~    |    1|  763.942   pc  |  -8.4039     +8.4039    |paral   |2020yCat.1350....0G
1853|BD-21 1105                                                                                                                                  |Star                               |05 12 58.4981509248 -21 15 02.486287872|222.6796562304903 -30.7152243716541|    2.342 0.529    |10.26    |~              |    ~     ~    |    1| 1461.134   pc  | -29.2483    +29.2483    |paral   |2020yCat.1350....0G
1854|BD-21 1106                                                                                                                                  |Double or Multiple Star            |05 13 49.7277631560 -21 18 21.685013640|222.8183284754901 -30.5467398913265|  17.334 28.201    |10.865   |~              |    ~     ~    |    1|  304.935   pc  |  -4.7540     +4.7540    |ST-L    |2020AJ....160...83S
1855|BD-22 1048                                                                                                                                  |Star                               |05 13 53.7214914888 -21 52 16.317498396|223.4431207048994 -30.7218293332711|   3.154 -4.203    |10.665   |~              |    ~     ~    |    1|  913.633   pc  | -34.2500    +34.2500    |ST-L    |2020AJ....160...83S
1856|CPD-20 785                                                                                                                                  |Star                               |05 14 00.4422489480 -20 26 04.570421892|221.8857354968083 -30.2093779635794|    0.536 5.476    |10.91    |~              |    ~     ~    |    1|  989.805   pc  | -13.2261    +13.2261    |paral   |2020yCat.1350....0G
1857|BD-20 1039                                                                                                                                  |Spectroscopic Binary               |05 14 04.9111938168 -20 31 47.197099740|221.9960622876427 -30.2259160519610|    5.537 3.101    |10.700   |~              |    ~     ~    |    1| 1065.020   pc  | -60.2900    +60.2900    |ST-L    |2020AJ....160...83S
1858|BD-21 1113                                                                                                                                  |Star                               |05 14 51.2612571720 -20 54 19.491015600|222.4760852907944 -30.1854879062654|   -0.050 0.758    |10.748   |~              |    ~     ~    |    1| 1102.140   pc  | -63.7900    +63.7900    |ST-L    |2020AJ....160...83S
1859|TYC 5908-151-1                                                                                                                              |Star                               |05 03 50.9867134008 -19 46 19.233879744|220.1938464902378 -32.2174364577332|  10.934 22.236    |10.940   |~              |    ~     ~    |    1|  324.695   pc  |  -5.4470     +5.4470    |ST-L    |2020AJ....160...83S
1860|TYC 5908-810-1                                                                                                                              |Star                               |05 03 45.1511220168 -20 32 11.993955756|221.0350876970053 -32.5007462347884| -12.205 18.638    |10.584   |~              |    ~     ~    |    1|  726.150   pc  | -28.0400    +28.0400    |ST-L    |2020AJ....160...83S
1861|TYC 5909-394-1                                                                                                                              |Star                               |05 04 45.7795300584 -20 16 13.969284708|220.8342661093683 -32.1875490305646|   2.417 -5.490    |10.560   |~              |    ~     ~    |    1|  998.555   pc  | -49.1900    +49.1900    |ST-L    |2020AJ....160...83S
1862|TYC 5910-923-1                                                                                                                              |Star                               |05 12 01.1960460024 -19 24 26.604293436|220.5825592400106 -30.2872920728934|   18.361 4.792    |10.849   |~              |    ~     ~    |    1|  393.132   pc  |  -8.0940     +8.0940    |ST-L    |2020AJ....160...83S
