C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
32  |HD 289904                                                                                                                                   |Star                               |05 03 32.6642181624 -01 30 46.700219052|201.3087280710129 -24.5556173069522|   7.065 -6.342    |10.50    |G5             |    ~     ~    |    1|  839.137   pc  | -11.1960    +11.1960    |paral   |2020yCat.1350....0G
33  |TYC 4750-8-1                                                                                                                                |Star                               |05 00 01.7508762672 -01 17 59.463874320|200.6281802286013 -25.2160193963586|      -7.0 -9.0    |10.708   |~              |    ~     ~    |    0|                |                         |        |                   
34  |TYC 4750-12-1                                                                                                                               |Star                               |05 00 42.2829702768 -01 14 22.963789032|200.6624125790383 -25.0394865501554|  6.426 -16.354    |10.73    |~              |    ~     ~    |    1|  355.581   pc  |  -1.8333     +1.8333    |paral   |2020yCat.1350....0G
35  |TYC 4750-22-1                                                                                                                               |High Proper Motion Star            |05 02 51.1499022336 -01 36 03.470710644|201.3000418512853 -24.7494702027386|-20.266 -109.270   |10.84    |~              |    ~     ~    |    1|   84.759   pc  |  -0.1128     +0.1128    |paral   |2020yCat.1350....0G
36  |TYC 4750-348-1                                                                                                                              |Star                               |05 01 17.3281805256 -01 17 26.095456212|200.7906334515014 -24.9375406173972|   -4.052 2.435    |10.60    |~              |    ~     ~    |    1|  273.426   pc  |  -1.9289     +1.9289    |paral   |2020yCat.1350....0G
37  |TYC 4750-494-1                                                                                                                              |Star                               |05 01 39.4168664232 -01 49 59.970145296|201.3623843321069 -25.1237019652516|-13.705 -14.900    |10.59    |~              |    ~     ~    |    1|  237.377   pc  |  -1.4820     +1.4820    |paral   |2020yCat.1350....0G
38  |TYC 4750-530-1                                                                                                                              |Star                               |05 00 01.8912720384 -01 32 24.233020476|200.8596610053731 -25.3338655111227|   0.057 -1.829    |10.95    |~              |    ~     ~    |    1|  582.445   pc  |  -5.8689     +5.8689    |paral   |2020yCat.1350....0G
39  |TYC 4750-552-1                                                                                                                              |Star                               |05 01 42.2485962360 -01 33 39.849893676|201.1067328418221 -24.9800939345276|  17.319 -8.367    |10.47    |~              |    ~     ~    |    1|  357.743   pc  |  -1.9581     +1.9581    |paral   |2020yCat.1350....0G
40  |TYC 4750-610-1                                                                                                                              |Star                               |05 01 03.3575873544 -01 18 49.116307320|200.7811538138072 -24.9995464446457|    5.540 0.935    |10.82    |~              |    ~     ~    |    1|  300.752   pc  |  -1.4834     +1.4834    |paral   |2020yCat.1350....0G
41  |TYC 4750-739-1                                                                                                                              |Star                               |05 02 28.6700348736 -00 10 14.774906424|199.8832551345548 -24.1245620418607|  18.549 -5.454    |10.9     |~              |    ~     ~    |    1|  460.787   pc  |  -5.1595     +5.1595    |paral   |2020yCat.1350....0G
