C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:05:29

dec< 0&rah >=12.25&rah< 12.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5342

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |BD-01 2653                                                                                               |High Proper Motion Star             |12 20 58.7322493800 -02 25 34.824553572|287.7896678532146 +59.5469460841119|-27.110 -49.879   |10.61    |K0             |    ~     ~    |    1|  139.384   pc  |  -0.5926     +0.5926  |paral   |2020yCat.1350....0G
33  |HD 107571                                                                                                |Double or Multiple Star             |12 21 52.6757 -02 37 11.603            |288.3072828 +59.4099108            |    7.50 -38.40   |10.00    |G3V            |    ~     ~    |    0|                |                       |        |                   
34  |HD 107659                                                                                                |High Proper Motion Star             |12 22 20.6379589008 -02 46 34.277303424|288.5981070410619 +59.2834656811395|-120.837 -10.071  |8.88     |F7V            |    ~     ~    |    1|  109.726   pc  |  -0.2613     +0.2613  |paral   |2020yCat.1350....0G
35  |NGC 4202                           NGC 4202                                                              |Galaxy                              |12 18 08.5358745384 -01 03 50.836323024|285.7332328248509 +60.6909945553658|            ~ ~   |     ~   |~              |0.617 0.345    |    1|   78.34    Mpc |                       |        |2016AJ....152...50T
36  |TYC 4940-54-1                                                                                            |Star                                |12 15 41.1604838160 -01 18 21.222082368|284.6665562420656 +60.2918151320372|  -8.280 -8.640   |10.877   |~              |    ~     ~    |    1|  987.413   pc  | -48.4400    +48.4400  |ST-L    |2020AJ....160...83S
37  |TYC 4940-41-1                                                                                            |Star                                |12 16 11.0270723112 -01 18 42.875436492|284.9112311882929 +60.3205237173549| -10.645 -0.942   |10.97    |~              |    ~     ~    |    1| 1013.940   pc  | -38.4600    +38.4600  |ST-L    |2020AJ....160...83S
38  |BD-01 2642                                                                                               |Star                                |12 17 38.7470814624 -02 41 46.177658700|286.3363700184460 +59.0824444695828|  -25.578 1.335   |10.12    |~              |    ~     ~    |    1|  735.720   pc  | -33.3600    +33.3600  |ST-L    |2020AJ....160...83S
39  |BD-00 2560                                                                                               |High Proper Motion Star             |12 19 11.9739531360 -01 30 04.490294040|286.4808193482813 +60.3367144462691|-35.998 -87.972   |10.45    |G1V            |    ~     ~    |    1|  178.320   pc  |  -0.9476     +0.9476  |paral   |2020yCat.1350....0G
40  |BD-01 2647                                                                                               |Star                                |12 19 20.7159398328 -02 03 55.634152680|286.8336359298350 +59.7994388477223|   -3.821 4.045   |10.50    |~              |    ~     ~    |    1|  251.069   pc  |  -4.1170     +4.1170  |ST-L    |2020AJ....160...83S
41  |BD-01 2651                                                                                               |Horizontal Branch Star              |12 20 05.4324566640 -02 13 44.881178160|287.2711618214079 +59.6860640358249|   -5.377 0.463   |10.81    |~              |    ~     ~    |    1| 1021.346   pc  | -20.4457    +20.4457  |paral   |2020yCat.1350....0G
