C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:05:29

dec< 0&rah >=12.25&rah< 12.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5342

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
2023|TYC 7761-455-1                                                                                           |Star                                |12 23 41.1648719520 -41 04 51.263126688|297.3163047985025 +21.4880448714732| -17.434 28.410   |10.46    |~              |    ~     ~    |    1|  614.742   pc  |  -6.5000     +6.5000  |paral   |2020yCat.1350....0G
2024|TYC 7761-483-1                                                                                           |Star                                |12 25 55.0882822872 -40 06 05.950121364|297.6529356588109 +22.5083690768614| -8.561 -10.063   |10.919   |~              |    ~     ~    |    1|  274.150   pc  |  -4.8830     +4.8830  |ST-L    |2020AJ....160...83S
2025|TYC 7761-554-1                                                                                           |Star                                |12 23 21.5268605400 -40 21 53.013556080|297.1600634707820 +22.1921239721501| -13.692 -2.032   |10.53    |~              |    ~     ~    |    1|  354.509   pc  |  -1.8726     +1.8726  |paral   |2020yCat.1350....0G
2026|TYC 7761-902-1                                                                                           |Star                                |12 23 22.0099154328 -40 12 38.830795884|297.1421626025246 +22.3451773949972|  -9.622 -4.104   |9.93     |~              |    ~     ~    |    1|  679.530   pc  | -23.3500    +23.3500  |ST-L    |2020AJ....160...83S
2027|TYC 7761-1010-1                                                                                          |Star                                |12 27 30.4473463080 -39 59 15.391574268|297.9677652985240 +22.6533652781213|   -4.596 4.970   |10.565   |~              |    ~     ~    |    1|  642.127   pc  | -32.4700    +32.4700  |ST-L    |2020AJ....160...83S
2028|TYC 7761-1028-1                                                                                          |Star                                |12 29 37.7765010144 -39 40 44.367368340|298.3755309803687 +22.9997393609057|  -9.324 -2.475   |10.46    |~              |    ~     ~    |    1|  605.034   pc  |  -6.7356     +6.7356  |paral   |2020yCat.1350....0G
2029|TYC 7761-1082-1                                                                                          |Star                                |12 29 59.0079743256 -39 26 16.606264776|298.4254792454211 +23.2459998798003| -12.049 -6.424   |10.29    |~              |    ~     ~    |    1|  595.664   pc  |  -7.3447     +7.3447  |paral   |2020yCat.1350....0G
2030|TYC 7761-1337-1                                                                                          |Star                                |12 28 52.9012137912 -41 10 18.988387968|298.3722993119798 +21.5000232889822|    6.082 0.411   |10.875   |~              |    ~     ~    |    1|  229.748   pc  |  -5.5390     +5.5390  |ST-L    |2020AJ....160...83S
2031|TYC 7761-1401-1                                                                                          |Spectroscopic Binary                |12 27 05.4796713864 -41 11 59.229982068|298.0149917106711 +21.4394058402518|  -18.925 1.446   |10.93    |~              |    ~     ~    |    1|  623.908   pc  |  -5.8389     +5.8389  |paral   |2020yCat.1350....0G
2032|TYC 7761-1481-1                                                                                          |Star                                |12 29 53.1826352016 -40 55 07.912545708|298.5501787221157 +21.7694521927930| -20.511 -2.436   |10.29    |~              |    ~     ~    |    1|  696.718   pc  |  -7.8152     +7.8152  |paral   |2020yCat.1350....0G
2033|TYC 7761-1546-1                                                                                          |High Proper Motion Star             |12 28 02.4075250416 -39 59 30.562012860|298.0782307954449 +22.6593139302981|  -95.879 3.737   |10.72    |~              |    ~     ~    |    1|  180.115   pc  |  -0.5580     +0.5580  |paral   |2020yCat.1350....0G
2034|TYC 7761-1611-1                                                                                          |High Proper Motion Star             |12 29 22.7788956312 -40 33 59.807529432|298.4125194864585 +22.1114884747854|-72.572 -28.569   |10.50    |~              |    ~     ~    |    1|  118.230   pc  |  -0.2558     +0.2558  |paral   |2020yCat.1350....0G
2035|TYC 7761-1643-1                                                                                          |High Proper Motion Star             |12 29 06.0453795528 -40 34 50.604754476|298.3570214544470 +22.0925196385155| -85.243 16.857   |10.95    |~              |    ~     ~    |    1|  119.404   pc  |  -0.1996     +0.1996  |paral   |2020yCat.1350....0G
2036|TYC 7761-1782-1                                                                                          |Star                                |12 27 39.5209173000 -40 26 06.047071080|298.0472659095804 +22.2110936660087|   0.779 36.391   |10.81    |~              |    ~     ~    |    1|  166.583   pc  |  -0.4440     +0.4440  |paral   |2020yCat.1350....0G
2037|TYC 7765-861-1                                                                                           |Star                                |12 22 52.3384676784 -41 32 46.102193916|297.2118941981019 +21.0081261620923|  -8.433 -8.619   |10.92    |~              |    ~     ~    |    1|  457.352   pc  |  -3.3886     +3.3886  |paral   |2020yCat.1350....0G
2038|TYC 7765-904-1                                                                                           |Star                                |12 25 27.0916728984 -41 51 23.401728648|297.7614253425609 +20.7542098220135| 30.286 -14.896   |10.94    |~              |    ~     ~    |    1|  224.861   pc  |  -0.9405     +0.9405  |paral   |2020yCat.1350....0G
2039|TYC 7765-1113-1                                                                                          |Star                                |12 24 08.3996703768 -41 20 51.904283172|297.4401688428516 +21.2327289100453|  -13.923 8.143   |10.38    |~              |    ~     ~    |    1|  930.752   pc  | -16.1132    +16.1132  |paral   |2020yCat.1350....0G
2040|TYC 7765-1300-1                                                                                          |Star                                |12 27 46.9300003584 -41 33 35.305339572|298.1919273398094 +21.0941212906333|  25.778 10.062   |10.92    |~              |    ~     ~    |    1|  282.342   pc  |  -1.5067     +1.5067  |paral   |2020yCat.1350....0G
2041|TYC 7765-1744-1                                                                                          |Star                                |12 27 12.1164935880 -41 46 20.159555160|298.0990653318674 +20.8719418854283|  -4.008 -3.600   |10.95    |~              |    ~     ~    |    1| 1140.560   pc  |-101.6000   +101.6000  |ST-L    |2020AJ....160...83S
2042|HD 107770                                                                                                |Star                                |12 23 16.0300683696 -42 35 13.534648332|297.4199599289206 +19.9829572439060|-19.037 -17.091   |10.45    |F3/7           |    ~     ~    |    1|  315.467   pc  |  -1.8312     +1.8312  |paral   |2020yCat.1350....0G
2043|CD-41 7151                                                                                               |Star                                |12 23 53.0485173120 -42 24 01.306713096|297.5174040938875 +20.1815198392105|  -37.043 3.855   |9.97     |~              |    ~     ~    |    1|  246.713   pc  | -10.0918    +10.0918  |paral   |2020yCat.1350....0G
2044|HD 108063                                                                                                |High Proper Motion Star             |12 25 08.5181018328 -42 30 51.526472148|297.7764653780233 +20.0940532123612|-135.319 -22.538  |6.094    |G5III+F/G      |    ~     ~    |    1|   52.429   pc  |  -0.0635     +0.0635  |paral   |2020yCat.1350....0G
2045|HD 107870                                                                                                |Star                                |12 23 55.7038677168 -42 43 49.164916944|297.5658846697722 +19.8546170023320| -13.019 -6.542   |9.59     |F2IV/V         |    ~     ~    |    1|  359.170   pc  |  -2.5543     +2.5543  |paral   |2020yCat.1350....0G
2046|HD 108048                                                                                                |High Proper Motion Star             |12 24 59.0801757072 -43 02 25.688642928|297.8067269213034 +19.5678754222141|-110.956 -8.026   |9.929    |G8V            |    ~     ~    |    1|  174.190   pc  |  -1.7730     +1.7730  |ST-L    |2020AJ....160...83S
2047|HD 108014                                                                                                |Star                                |12 24 51.6071446968 -44 00 32.484508380|297.8944007610633 +18.6026072495247|  -19.936 2.131   |8.97     |K0III          |    ~     ~    |    1|  384.039   pc  |  -2.2860     +2.2860  |paral   |2020yCat.1350....0G
2048|HD 108064                                                                                                |Star                                |12 25 08.2765647672 -44 00 03.917841408|297.9459010328835 +18.6158961230231|   12.608 5.593   |10.07    |G2/3V          |    ~     ~    |    1|   99.160   pc  |  -0.8250     +0.8250  |paral   |2020yCat.1350....0G
2049|HD 107693                                                                                                |Star                                |12 22 45.1273436784 -44 22 50.808462132|297.5429428336834 +18.1906031370407|  -14.294 0.164   |8.85     |G8/K1II/III+G  |    ~     ~    |    1|  506.278   pc  |  -6.1004     +6.1004  |paral   |2020yCat.1350....0G
2050|HD 107801                                                                                                |Star                                |12 23 27.2711443512 -44 19 13.323063180|297.6669084004636 +18.2651202653909| -19.474 -2.148   |8.56     |K0III          |    ~     ~    |    1|  376.308   pc  |  -3.2570     +3.2570  |paral   |2020yCat.1350....0G
2051|HD 107881                                                                                                |Star                                |12 24 00.1970834304 -44 40 11.651185380|297.8107293956620 +17.9288718372333|  -7.851 -3.027   |8.99     |A5IV           |    ~     ~    |    1|  393.732   pc  |  -3.1315     +3.1315  |paral   |2020yCat.1350....0G
2052|HD 108049                                                                                                |Star                                |12 25 03.1393970352 -44 40 50.970652176|298.0068238816962 +17.9384523296913|    4.158 0.433   |8.82     |K3/4III        |    ~     ~    |    1|  911.660   pc  | -20.6950    +20.6950  |paral   |2020yCat.1350....0G
2053|HD 108065                                                                                                |Star                                |12 25 09.2447395488 -44 28 34.486446180|298.0026805655277 +18.1437943687053|   3.788 12.046   |10.34    |G2/3V          |    ~     ~    |    1|  316.296   pc  |  -4.5720     +4.5720  |paral   |2020yCat.1350....0G
2054|CD-41 7141                                                                                               |Star                                |12 22 39.1016969640 -42 21 57.381609168|297.2723037919287 +20.1892510935060| -14.697 -4.559   |10.791   |Gwl            |    ~     ~    |    1| 2055.940   pc  |-249.4000   +249.4000  |ST-L    |2020AJ....160...83S
2055|CD-42 7590                                                                                               |Star                                |12 22 47.2017649752 -42 50 58.515057852|297.3594308028703 +19.7119405853041|   -9.936 3.827   |10.367   |~              |    ~     ~    |    1|  822.854   pc  | -29.7100    +29.7100  |ST-L    |2020AJ....160...83S
2056|CD-42 7589                                                                                               |Star                                |12 22 47.4455518464 -43 05 46.657300812|297.3910568387647 +19.4670391323231| -19.430 -7.004   |10.86    |~              |    ~     ~    |    1|  307.059   pc  |  -5.5346     +5.5346  |paral   |2020yCat.1350....0G
2057|CD-41 7149                                                                                               |Star                                |12 23 49.9168289424 -42 28 32.994359760|297.5163614852507 +20.1054454170912| -10.193 -0.396   |10.132   |~              |    ~     ~    |    1| 1504.880   pc  |-130.0000   +130.0000  |ST-L    |2020AJ....160...83S
2058|CD-42 7609                                                                                               |Star                                |12 24 21.8556764064 -42 52 49.761334308|297.6682378303502 +19.7143852486377|  -6.580 -1.986   |10.461   |~              |    ~     ~    |    1|  909.728   pc  | -35.5400    +35.5400  |ST-L    |2020AJ....160...83S
2059|CD-42 7613                                                                                               |Star                                |12 24 46.2484694232 -43 13 34.123805328|297.7870867744399 +19.3790495509227|   -0.852 3.816   |10.488   |~              |    ~     ~    |    1|  779.735   pc  | -29.3400    +29.3400  |ST-L    |2020AJ....160...83S
2060|CD-43 7655                                                                                               |Star                                |12 24 57.6019923720 -43 42 32.515078464|297.8789196669657 +18.9027811880617|   8.184 -5.209   |10.769   |~              |    ~     ~    |    1|  965.586   pc  | -53.8700    +53.8700  |ST-L    |2020AJ....160...83S
2061|HD 108542                                                                                                |Star                                |12 28 24.7471317960 -42 11 49.020394452|298.3827816298990 +20.4713241258103| 10.555 -17.354   |9.10     |K0III          |    ~     ~    |    1|  544.506   pc  | -26.0300    +26.0300  |ST-L    |2020AJ....160...83S
2062|HD 108567                                                                                                |Star                                |12 28 32.7619200720 -42 11 59.228311488|298.4093571667165 +20.4708518523005|  -19.399 2.231   |9.74     |K3/5           |    ~     ~    |    1| 1410.835   pc  | -34.2358    +34.2358  |paral   |2020yCat.1350....0G
2063|CD-41 7208                                                                                               |Star                                |12 29 18.8625020784 -42 09 58.430223324|298.5573128872123 +20.5175209775596|    1.810 2.376   |10.40    |Gwl            |    ~     ~    |    1| 1701.259   pc  | -52.0971    +52.0971  |paral   |2020yCat.1350....0G
2064|HD 108444                                                                                                |Star                                |12 27 49.6793724144 -42 23 36.671664804|298.2882482394584 +20.2652490554975|  -7.556 -2.235   |10.68    |F3/5V          |    ~     ~    |    1|  435.654   pc  |  -2.7710     +2.7710  |paral   |2020yCat.1350....0G
2065|HD 108513                                                                                                |Star                                |12 28 10.1335401072 -42 28 51.943225944|298.3640015697350 +20.1841758926086|  -19.436 5.400   |10.63    |F5IV/V         |    ~     ~    |    1|  212.008   pc  |  -0.8810     +0.8810  |paral   |2020yCat.1350....0G
2066|HD 108636                                                                                                |Star                                |12 28 56.2289561040 -42 33 31.080569400|298.5219234038434 +20.1203632704186|-29.075 -26.870   |10.36    |G0V            |    ~     ~    |    1|  279.540   pc  |  -1.4378     +1.4378  |paral   |2020yCat.1350....0G
2067|HD 108084                                                                                                |Star                                |12 25 14.6545141512 -42 48 00.153653796|297.8292391619609 +19.8120348906289|  -8.289 -0.746   |9.98     |F2IV/V         |    ~     ~    |    1|  446.150   pc  |  -3.2047     +3.2047  |paral   |2020yCat.1350....0G
2068|HD 108145                                                                                                |Star                                |12 25 41.3674961664 -43 26 43.866521304|297.9880306857248 +19.1789214926703|  -35.918 0.832   |9.76     |F0V            |    ~     ~    |    1|  280.852   pc  |  -3.7230     +3.7230  |paral   |2020yCat.1350....0G
2069|HD 108166                                                                                                |Star                                |12 25 46.7857025208 -43 39 44.567331516|298.0294282268814 +18.9649921758562|  -2.205 -0.909   |9.17     |K4III          |    ~     ~    |    1| 1013.171   pc  | -18.8879    +18.8879  |paral   |2020yCat.1350....0G
2070|HD 108181                                                                                                |Star                                |12 25 49.7356684200 -42 49 37.817998212|297.9456321301689 +19.7964994934597|  -7.368 -0.879   |9.07     |G8III          |    ~     ~    |    1|  445.792   pc  |  -3.0604     +3.0604  |paral   |2020yCat.1350....0G
2071|HD 108194                                                                                                |Star                                |12 25 57.4683326112 -43 19 28.251034788|298.0259105240926 +19.3043810636657|  -6.972 -3.884   |10.75    |A2/3III/IV     |    ~     ~    |    1| 1113.586   pc  | -21.5773    +21.5773  |paral   |2020yCat.1350....0G
2072|HD 108242                                                                                                |Star                                |12 26 22.9331885064 -42 44 34.049901156|298.0436047340035 +19.8910139203504| -19.725 -6.464   |10.312   |F2V            |    ~     ~    |    1|  323.944   pc  |  -6.2020     +6.2020  |ST-L    |2020AJ....160...83S
2073|HD 108256                                                                                                |Double or Multiple Star             |12 26 26.4928923624 -43 15 38.446630812|298.1116842081286 +19.3769962866489| -14.464 -5.670   |8.74     |M2III          |0.0017  0.0    |    1|  575.606   pc  |  -7.9849     +7.9849  |paral   |2020yCat.1350....0G
2074|HD 108326                                                                                                |Star                                |12 27 00.8318976552 -43 22 24.768191820|298.2335697090443 +19.2752771909843| -11.480 -3.722   |8.87     |M2(III)        |    ~     ~    |    1|  852.297   pc  | -17.2159    +17.2159  |paral   |2020yCat.1350....0G
2075|HD 108404                                                                                                |Star                                |12 27 28.9325009256 -43 18 58.109628816|298.3173039138799 +19.3408578959898| -19.466 -4.019   |10.176   |G8/K0(III)     |    ~     ~    |    1|  676.016   pc  | -21.2000    +21.2000  |ST-L    |2020AJ....160...83S
2076|HD 108527                                                                                                |High Proper Motion Star             |12 28 16.8430610088 -43 23 09.651882552|298.4775635048894 +19.2853589655213|-35.218 -37.622   |9.63     |G0V            |    ~     ~    |    1|  107.716   pc  |  -0.1903     +0.1903  |paral   |2020yCat.1350....0G
2077|HD 108588                                                                                                |Star                                |12 28 39.8798845080 -43 20 10.052220300|298.5461943753455 +19.3416089526964| -13.437 -2.294   |10.247   |F5/6V          |    ~     ~    |    1|  332.127   pc  |  -7.0890     +7.0890  |ST-L    |2020AJ....160...83S
2078|HD 108587                                                                                                |Star                                |12 28 42.5903961984 -42 55 56.193811644|298.5147925149689 +19.7444571378534|   0.981 -2.894   |9.61     |G8/K0(III)     |    ~     ~    |    1|  582.382   pc  | -19.5800    +19.5800  |ST-L    |2020AJ....160...83S
2079|HD 108602                                                                                                |Star                                |12 28 45.6718608984 -43 37 59.424128292|298.5939971950543 +19.0474901483398| -19.306 -1.068   |9.53     |G0/1V          |    ~     ~    |    1|  131.765   pc  |  -1.1040     +1.1040  |ST-L    |2020AJ....160...83S
2080|HD 108622                                                                                                |Star                                |12 28 56.1404300880 -43 25 25.380142320|298.6067743689912 +19.2589767014827|   -3.959 4.143   |10.203   |G8/K1(III)     |    ~     ~    |    1|  665.480   pc  | -24.2300    +24.2300  |ST-L    |2020AJ....160...83S
2081|HD 108637                                                                                                |High Proper Motion Star             |12 29 00.4598874000 -43 14 02.842357596|298.6020394671455 +19.4489695007149| -76.423 -7.011   |8.29     |F6V            |    ~     ~    |    1|  121.649   pc  |  -1.3680     +1.3680  |ST-L    |2020AJ....160...83S
2082|HD 108647                                                                                                |Star                                |12 29 08.9583052992 -43 28 01.648968708|298.6518978527651 +19.2193187018166|    5.772 0.854   |9.95     |K2/3           |    ~     ~    |    1|  751.356   pc  | -36.8800    +36.8800  |ST-L    |2020AJ....160...83S
2083|HD 108744                                                                                                |Star                                |12 29 56.6760981264 -43 23 05.696261664|298.7964135218473 +19.3141784176433|  -32.548 9.056   |10.50    |F3V            |    ~     ~    |    1|  404.318   pc  |  -8.4189     +8.4189  |paral   |2020yCat.1350....0G
2084|HD 108206                                                                                                |Star                                |12 26 06.8851118784 -44 01 53.590016640|298.1335638881026 +18.6041364988000|  18.659 -1.316   |10.575   |F5V            |    ~     ~    |    1|  216.215   pc  |  -2.7340     +2.7340  |ST-L    |2020AJ....160...83S
2085|HD 108243                                                                                                |Star                                |12 26 20.5762742136 -44 15 49.134020256|298.2017071818893 +18.3774925750528| 17.371 -15.928   |10.14    |G6III          |    ~     ~    |    1|  549.783   pc  |  -4.8966     +4.8966  |paral   |2020yCat.1350....0G
2086|HD 108368                                                                                                |Star                                |12 27 16.0110468864 -44 02 47.091482376|298.3525004513268 +18.6103057545029|  -8.111 -1.719   |10.79    |A              |    ~     ~    |    1|  572.836   pc  |  -6.1362     +6.1362  |paral   |2020yCat.1350....0G
2087|HD 108514                                                                                                |Star                                |12 28 09.5097144552 -43 46 59.278506852|298.4942735030188 +18.8879377619146| -21.467 -1.727   |9.879    |G8III          |    ~     ~    |    1|  599.566   pc  | -19.4900    +19.4900  |ST-L    |2020AJ....160...83S
2088|HD 108551                                                                                                |Star                                |12 28 31.5834782400 -44 08 24.681656868|298.5994967164340 +18.5387388012509|  -22.208 1.410   |10.05    |G8(IV)         |    ~     ~    |    1|  540.015   pc  |  -4.4326     +4.4326  |paral   |2020yCat.1350....0G
2089|HD 108728                                                                                                |Star                                |12 29 47.4063336528 -43 56 39.164504316|298.8193216340587 +18.7546031136694|  -7.660 -8.929   |9.33     |G8III/IV       |    ~     ~    |    1|  483.068   pc  |  -3.9904     +3.9904  |paral   |2020yCat.1350....0G
2090|HD 108219                                                                                                |Star                                |12 26 08.4782246664 -44 39 24.004032444|298.2065544285263 +17.9828566558292|  -22.023 2.178   |9.39     |G8III          |    ~     ~    |    1|  498.405   pc  |  -4.1236     +4.1236  |paral   |2020yCat.1350....0G
2091|HD 108279                                                                                                |High Proper Motion Star             |12 26 37.7167594632 -44 33 35.815428540|298.2869046639200 +18.0879264479944|-177.397 10.703   |9.404    |G3/5V          |    ~     ~    |    1|  132.639   pc  |  -1.0750     +1.0750  |ST-L    |2020AJ....160...83S
2092|HD 108294                                                                                                |Star                                |12 26 49.3429008240 -44 29 13.078597668|298.3153212965469 +18.1640180528012| 19.357 -17.148   |8.26     |B8/9V          |    ~     ~    |    1|  317.864   pc  |  -3.2534     +3.2534  |paral   |2020yCat.1350....0G
2093|HD 108460                                                                                                |High Proper Motion Star             |12 27 49.6244546160 -44 35 32.494086492|298.5136833504353 +18.0767421534122| -74.967 20.466   |9.969    |G6/8(III)wF    |    ~     ~    |    1|  629.349   pc  | -26.6500    +26.6500  |ST-L    |2020AJ....160...83S
2094|HD 108624                                                                                                |Spectroscopic Binary                |12 28 56.5193281896 -44 37 17.344316352|298.7243743153274 +18.0664013201878|   -8.807 1.296   |9.553    |K0III          |    ~     ~    |    1|  997.438   pc  | -64.6700    +64.6700  |ST-L    |2020AJ....160...83S
2095|HD 108623                                                                                                |Star                                |12 28 56.3531337312 -44 17 47.874671520|298.6924480912222 +18.3898359475965|  -38.835 6.227   |9.92     |F3V            |    ~     ~    |    1|  305.157   pc  |  -7.8501     +7.8501  |paral   |2020yCat.1350....0G
2096|HD 108066                                                                                                |Star                                |12 25 12.3512525880 -44 47 42.597079908|298.0481772741006 +17.8276899943011|  -19.575 0.824   |10.65    |A3/7(V)        |    ~     ~    |    1|  718.133   pc  | -20.9380    +20.9380  |paral   |2020yCat.1350....0G
2097|HD 108267                                                                                                |Pulsating Variable                  |12 26 31.5012823080 -44 44 55.464472104|298.2877440264643 +17.8982399981425| -29.812 10.779   |7.60     |A3V            |    ~     ~    |    1|  213.447   pc  |  -1.1390     +1.1390  |paral   |2020yCat.1350....0G
2098|NGC 4444                           NGC 4444                                                              |Galaxy                              |12 28 36.4170373464 -43 15 42.159894012|298.5277196904624 +19.4147119862853|  -0.317 -0.213   |     ~   |~              |1.020 0.898    |    0|                |                       |        |                   
2099|IRAS 12234-4346                                                                                          |Long-Period Variable                |12 26 07.1802288072 -44 03 30.481214760|298.1374312452066 +18.5774584133336|  -3.836 -0.149   |10.97    |~              |    ~     ~    |    0|                |                       |        |                   
2100|CD-41 7170                                                                                               |Star                                |12 25 42.5601211992 -42 26 45.975845544|297.8794404633330 +20.1730980693249|   -1.888 1.530   |10.50    |~              |    ~     ~    |    1| 1554.968   pc  | -36.0271    +36.0271  |paral   |2020yCat.1350....0G
2101|CD-43 7670                                                                                               |Star                                |12 26 30.8487054216 -43 42 51.573250152|298.1747276647888 +18.9270833271059|   -4.024 4.095   |10.37    |~              |    ~     ~    |    1|  766.225   pc  |  -9.7459     +9.7459  |paral   |2020yCat.1350....0G
2102|CD-43 7685                                                                                               |Star                                |12 27 55.4758433976 -44 07 48.081602748|298.4851066077853 +18.5386112932994|  -1.639 -1.681   |10.828   |~              |    ~     ~    |    1| 1155.350   pc  |-135.3000   +135.3000  |ST-L    |2020AJ....160...83S
2103|TYC 7769-2355-1                                                                                          |Star                                |12 28 32.2657482504 -43 51 52.139196972|298.5743649565054 +18.8134227505282|  -3.914 -0.245   |10.980   |~              |    ~     ~    |    1| 1064.740   pc  | -47.3400    +47.3400  |ST-L    |2020AJ....160...83S
2104|CD-43 7690                                                                                               |Star                                |12 28 30.0555351960 -44 24 20.142474408|298.6209132787459 +18.2740728399267|  -18.156 2.866   |10.802   |~              |    ~     ~    |    1| 2769.830   pc  |-394.1000   +394.1000  |ST-L    |2020AJ....160...83S
2105|CD-41 7211                                                                                               |Star                                |12 29 27.2061917064 -42 22 55.219622628|298.6056518799985 +20.3049931886781|   2.829 -8.352   |10.58    |~              |    ~     ~    |    1|  883.314   pc  | -11.5476    +11.5476  |paral   |2020yCat.1350....0G
2106|CD-42 7683                                                                                               |Star                                |12 29 41.7947542080 -42 49 38.736102864|298.6959036425601 +19.8654285359005|  -0.476 -0.143   |10.938   |~              |    ~     ~    |    1| 1991.990   pc  |-246.4000   +246.4000  |ST-L    |2020AJ....160...83S
2107|CD-44 8042                                                                                               |Star                                |12 29 47.5497421056 -44 41 38.182716744|298.8896488641868 +18.0078520462661| -29.074 -0.776   |10.69    |~              |    ~     ~    |    1|  765.929   pc  | -37.8100    +37.8100  |ST-L    |2020AJ....160...83S
2108|CD-42 7686                                                                                               |Star                                |12 29 56.7182991360 -43 15 46.396556424|298.7851209234682 +19.4357402826535| -36.480 10.697   |10.69    |~              |    ~     ~    |    1|  801.732   pc  |  -9.4488     +9.4488  |paral   |2020yCat.1350....0G
2109|TYC 7765-54-1                                                                                            |Star                                |12 24 16.3044643680 -42 46 49.976467248|297.6384697995535 +19.8118068506079|  -15.063 0.905   |10.706   |~              |    ~     ~    |    1| 1019.640   pc  | -68.5300    +68.5300  |ST-L    |2020AJ....160...83S
2110|TYC 7765-447-1                                                                                           |Star                                |12 25 33.5122707288 -42 41 14.050970124|297.8773751904146 +19.9303805957547| -13.425 -3.237   |10.870   |~              |    ~     ~    |    1| 2153.060   pc  |-260.9000   +260.9000  |ST-L    |2020AJ....160...83S
2111|TYC 7765-618-1                                                                                           |Star                                |12 24 36.6471051744 -42 03 55.524014712|297.6198204597718 +20.5294509385456|  -40.445 1.975   |10.87    |~              |    ~     ~    |    1|  274.130   pc  |  -2.5926     +2.5926  |paral   |2020yCat.1350....0G
2112|TYC 7765-631-1                                                                                           |Star                                |12 24 23.2303449912 -42 44 02.656188996|297.6553373464669 +19.8603597909357|  -6.403 -9.690   |10.750   |~              |    ~     ~    |    1|  875.197   pc  | -37.7200    +37.7200  |ST-L    |2020AJ....160...83S
2113|TYC 7765-1291-1                                                                                          |Star                                |12 29 36.1459971792 -42 45 15.945498036|298.6706337159981 +19.9365788054987|   1.300 -6.750   |10.74    |~              |    ~     ~    |    1|  449.458   pc  |  -2.8686     +2.8686  |paral   |2020yCat.1350....0G
2114|TYC 7769-361-1                                                                                           |Star                                |12 24 01.1152244232 -43 34 48.600711372|297.6848947676527 +19.0120561066309|   3.727 -7.026   |10.838   |~              |    ~     ~    |    1|  947.763   pc  | -38.3700    +38.3700  |ST-L    |2020AJ....160...83S
2115|TYC 7769-785-1                                                                                           |Star                                |12 23 06.5274536424 -44 07 08.577028524|297.5776989512058 +18.4579866545743|  -4.074 -2.484   |10.887   |~              |    ~     ~    |    1| 1073.700   pc  | -56.9700    +56.9700  |ST-L    |2020AJ....160...83S
2116|TYC 7769-1007-1                                                                                          |Star                                |12 24 20.8858449192 -43 54 38.781969876|297.7863640403725 +18.6901543785636|  -6.614 -7.799   |10.92    |~              |    ~     ~    |    1|  796.217   pc  | -58.8100    +58.8100  |ST-L    |2020AJ....160...83S
2117|TYC 7769-1095-1                                                                                          |High Proper Motion Star             |12 24 26.2329676176 -44 04 02.895236580|297.8214561202913 +18.5361892809705|-81.480 -23.014   |10.97    |~              |    ~     ~    |    1|   76.253   pc  |  -0.3420     +0.3420  |ST-L    |2020AJ....160...83S
2118|TYC 7769-1167-1                                                                                          |Star                                |12 24 54.9484021128 -43 58 39.039348504|297.9012974819387 +18.6350208073723|   -4.984 0.195   |10.813   |~              |    ~     ~    |    1|  945.008   pc  | -53.1000    +53.1000  |ST-L    |2020AJ....160...83S
2119|TYC 7769-1473-1                                                                                          |Star                                |12 25 04.6883905536 -44 17 29.355722376|297.9675888289918 +18.3260275948666| -14.647 -7.084   |10.88    |~              |    ~     ~    |    1|  378.874   pc  |  -2.3111     +2.3111  |paral   |2020yCat.1350....0G
2120|TYC 7769-1476-1                                                                                          |Star                                |12 23 09.3541294128 -44 40 17.313250764|297.6536016176986 +17.9102220841983|  -9.849 -1.269   |10.87    |~              |    ~     ~    |    1|  564.334   pc  |  -7.0064     +7.0064  |paral   |2020yCat.1350....0G
2121|TYC 7769-1894-1                                                                                          |Star                                |12 24 50.4590673144 -44 22 34.557159972|297.9328349899793 +18.2371636166935|  -12.202 4.458   |10.795   |~              |    ~     ~    |    1| 1017.990   pc  | -55.0100    +55.0100  |ST-L    |2020AJ....160...83S
2122|TYC 7769-2292-1                                                                                          |High Proper Motion Star             |12 28 43.5374515056 -44 40 43.889396700|298.6896380371287 +18.0057252761611| -60.564 26.025   |10.91    |~              |    ~     ~    |    1|  222.777   pc  |  -1.1514     +1.1514  |paral   |2020yCat.1350....0G
2123|TYC 7769-2409-1                                                                                          |Star                                |12 29 33.3742010832 -43 35 58.017416388|298.7423522451436 +19.0942248083356| -28.306 -8.455   |10.94    |~              |    ~     ~    |    1|  398.391   pc  |  -2.6505     +2.6505  |paral   |2020yCat.1350....0G
2124|HD 106633                                                                                                |Star                                |12 16 01.6614559176 -55 05 36.136035384|297.8368536868529 +07.4276898928215|  -20.746 1.727   |8.34     |B9V            |    ~     ~    |    1|  405.236   pc  |  -4.3517     +4.3517  |paral   |2020yCat.1350....0G
2125|HD 106615                                                                                                |Star                                |12 15 56.6899623288 -55 42 31.383226980|297.9108087859849 +06.8166216807567|  -16.675 1.359   |8.17     |K0III          |    ~     ~    |    1|  296.007   pc  |  -1.6034     +1.6034  |paral   |2020yCat.1350....0G
