C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:42:36

dec >=0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3947

 #  |                                                                                  identifier                                                                                   |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
2391|HD 27730                                                                                                                                                                       |High Proper Motion Star            |04 23 59.5887805464 +33 50 43.309554432|165.5234516292424 -10.9208543080018| 29.083 -51.984   |8.30     |F0                |    ~     ~    |    1|  136.924   pc  |  -0.5062     +0.5062  |paral   |2020yCat.1350....0G
2392|* 56 Per                                                                                                                                                                       |Double or Multiple Star            |04 24 37.46369 +33 57 34.8791          |165.53072228 -10.74714340          |   56.28 -82.26   |5.792    |~                 |    ~     ~    |    0|                |                       |        |                   
2393|HD 27818                                                                                                                                                                       |Star                               |04 24 51.9353598840 +33 35 02.650513380|165.8437644316369 -10.9686927835390|  0.259 -14.342   |8.34     |K5                |    ~     ~    |    1|  227.983   pc  |  -1.2994     +1.2994  |paral   |2020yCat.1350....0G
2394|HD 282077                                                                                                                                                                      |Star                               |04 26 31.3294338576 +33 25 20.586384012|166.2044899754887 -10.8275344905119|   0.363 -2.536   |10.89    |B3                |    ~     ~    |    1| 2303.086   pc  |-113.5100   +113.5100  |paral   |2020yCat.1350....0G
2395|HD 28046                                                                                                                                                                       |Star                               |04 26 59.7817945728 +33 57 06.188313564|165.8793212658327 -10.3942033803715| 15.163 -11.790   |8.68     |K2                |    ~     ~    |    1|  264.529   pc  |  -1.4555     +1.4555  |paral   |2020yCat.1350....0G
2396|HD 282070                                                                                                                                                                      |Star                               |04 27 59.6089160640 +33 35 55.534217748|166.2856174100856 -10.4828449947660|   1.385 -6.368   |10.33    |B8                |    ~     ~    |    1| 1288.328   pc  | -33.8597    +33.8597  |paral   |2020yCat.1350....0G
2397|HD 282069                                                                                                                                                                      |Star                               |04 28 04.0832789928 +33 30 50.701328604|166.3595372837392 -10.5289847948309|  5.579 -19.671   |9.76     |A7                |    ~     ~    |    1|  284.779   pc  |  -1.5733     +1.5733  |paral   |2020yCat.1350....0G
2398|HD 281958                                                                                                                                                                      |Star                               |04 22 04.1225624736 +33 07 39.151586820|165.7710618650630 -11.7065492695326|  -2.170 -2.220   |9.82     |B8                |    ~     ~    |    1|  624.649   pc  | -10.5740    +10.5740  |paral   |2020yCat.1350....0G
2399|HD 27596                                                                                                                                                                       |Star                               |04 22 33.9352272120 +32 28 04.529449704|166.3325439481295 -12.0861988691968|   0.676 -6.574   |7.26     |K5III             |    ~     ~    |    1|  511.640   pc  |  -6.1255     +6.1255  |paral   |2020yCat.1350....0G
2400|HD 281962                                                                                                                                                                      |Star                               |04 23 35.8697066064 +33 07 56.131100508|165.9929574976722 -11.4714804604487|   4.515 -9.549   |10.4     |F0                |    ~     ~    |    0|                |                       |        |                   
2401|HD 281966                                                                                                                                                                      |Star                               |04 23 55.5467937096 +32 59 13.084898316|166.1488274525887 -11.5214872011452| 10.365 -10.478   |9.88     |K0                |    ~     ~    |    1|  493.170   pc  | -30.3777    +30.3777  |paral   |2020yCat.1350....0G
2402|HD 281952                                                                                                                                                                      |Star                               |04 24 33.5562814416 +33 19 04.492142004|165.9963356734019 -11.1978288267409|   1.929 -4.956   |9.37     |B8                |    ~     ~    |    1|  711.035   pc  |  -9.3025     +9.3025  |paral   |2020yCat.1350....0G
2403|HD 282102                                                                                                                                                                      |Star                               |04 25 31.5152484384 +32 52 26.660039016|166.4673788983711 -11.3544456023670|  6.846 -15.327   |9.83     |K5                |    ~     ~    |    1|  479.939   pc  |  -3.5012     +3.5012  |paral   |2020yCat.1350....0G
2404|HD 282101                                                                                                                                                                      |Star                               |04 25 47.9279847600 +32 52 19.383775140|166.5089080605446 -11.3138879050752|   1.086 -4.654   |10.61    |K0                |    ~     ~    |    1|  678.288   pc  |  -7.5912     +7.5912  |paral   |2020yCat.1350....0G
2405|HD 282106                                                                                                                                                                      |High Proper Motion Star            |04 26 46.9234497192 +32 23 06.824403348|167.0162793308008 -11.4941421357714|  5.474 -59.682   |9.18     |G0                |    ~     ~    |    1|   91.662   pc  |  -0.1647     +0.1647  |paral   |2020yCat.1350....0G
2406|HD 282093                                                                                                                                                                      |Star                               |04 26 55.9869143928 +33 00 35.127789516|166.5716600825886 -11.0459107592463|  -3.541 -0.507   |9.62     |K0                |    ~     ~    |    1|  355.063   pc  |  -1.7524     +1.7524  |paral   |2020yCat.1350....0G
2407|HD 28135                                                                                                                                                                       |Star                               |04 27 38.0291492112 +32 50 53.794877820|166.7941655419476 -11.0478996967697|  -9.010 -2.428   |9.26     |A2                |    ~     ~    |    1|  263.539   pc  |  -1.3196     +1.3196  |paral   |2020yCat.1350....0G
2408|HD 282113                                                                                                                                                                      |Star                               |04 28 27.3092234112 +32 35 38.245077096|167.1039966233592 -11.0933400570609|  -4.977 -8.882   |10.25    |F8                |    ~     ~    |    1|  185.031   pc  |  -4.1358     +4.1358  |paral   |2020yCat.1350....0G
2409|HD 282112                                                                                                                                                                      |Star                               |04 28 39.9795902520 +32 31 56.598743460|167.1808746971023 -11.1022353309266| -13.816 -5.622   |9.84     |F2                |    ~     ~    |    1|  255.271   pc  |  -1.0556     +1.0556  |paral   |2020yCat.1350....0G
2410|HD 282084                                                                                                                                                                      |Star                               |04 28 58.8124096920 +33 00 57.566833740|166.8635988914456 -10.7265099985834|  -1.771 -1.976   |9.79     |A0                |    ~     ~    |    1|  563.730   pc  | -10.6460    +10.6460  |paral   |2020yCat.1350....0G
2411|HD 282083                                                                                                                                                                      |Star                               |04 29 40.9998432816 +33 08 57.019970832|166.8650305606357 -10.5279453561412|  -18.991 6.949   |9.81     |K0                |    ~     ~    |    1|   46.724   pc  |  -0.0393     +0.0393  |paral   |2020yCat.1350....0G
2412|HD 281989                                                                                                                                                                      |High Proper Motion Star            |04 23 10.9157602824 +32 11 36.284027676|166.6279298133797 -12.1805956036510| 60.987 -71.173   |9.2      |F8                |    ~     ~    |    1|  126.793   pc  |  -0.4325     +0.4325  |paral   |2020yCat.1350....0G
2413|HD 27922                                                                                                                                                                       |Double or Multiple Star            |04 25 36.4470393798 +32 09 31.800567726|167.0129108896078 -11.8301351883901|   3.622 45.105   |9.203    |G5V               |    ~     ~    |    1|  111.199   pc  |  -0.6157     +0.6157  |paral   |2020yCat.1350....0G
2414|HD 282059                                                                                                                                                                      |Star                               |04 25 23.4503695584 +33 56 48.378047028|165.6513334339407 -10.6404536858004| 10.329 -10.915   |10.66    |K0                |    ~     ~    |    1|  526.454   pc  |  -9.5618     +9.5618  |paral   |2020yCat.1350....0G
2415|HD 282060                                                                                                                                                                      |Star                               |04 27 20.0376136464 +34 03 07.176378672|165.8532987478587 -10.2746408716055| -0.941 -14.730   |10.95    |A3                |    ~     ~    |    1|  555.401   pc  | -11.7219    +11.7219  |paral   |2020yCat.1350....0G
2416|HD 281948                                                                                                                                                                      |Star                               |04 23 23.0792556408 +33 37 27.797239920|165.5978268175346 -11.1647922964678|   8.659 -6.559   |10.80    |G5                |    ~     ~    |    1|  718.391   pc  |  -9.5476     +9.5476  |paral   |2020yCat.1350....0G
2417|HD 281949                                                                                                                                                                      |Star                               |04 24 40.1405243856 +33 33 42.655600368|165.8315938630340 -11.0137224619182|  -7.245 -3.988   |10.54    |K2                |    ~     ~    |    1|  912.659   pc  | -13.1605    +13.1605  |paral   |2020yCat.1350....0G
2418|HD 282074                                                                                                                                                                      |Star                               |04 25 23.4427522896 +33 28 05.231649216|166.0061723906572 -10.9685112926467|  -3.569 -2.099   |10.43    |K0                |    ~     ~    |    1|  493.486   pc  |  -3.6042     +3.6042  |paral   |2020yCat.1350....0G
2419|HD 282073                                                                                                                                                                      |High Proper Motion Star            |04 25 44.6920946760 +33 35 27.290617692|165.9664866785470 -10.8306450260464|  61.412 -8.731   |10.44    |G5                |    ~     ~    |    1|  706.814   pc  |  -7.3939     +7.3939  |paral   |2020yCat.1350....0G
2420|HD 282066                                                                                                                                                                      |Star                               |04 29 17.9369959152 +33 33 30.532554252|166.5032082513881 -10.3103603938674|   -9.812 2.156   |10.82    |F8                |    ~     ~    |    1|  425.369   pc  |  -4.3787     +4.3787  |paral   |2020yCat.1350....0G
2421|HD 282081                                                                                                                                                                      |Star                               |04 29 23.4169376640 +33 25 18.947195868|166.6185148816943 -10.3887339958226| 13.075 -37.672   |10.60    |G0                |    ~     ~    |    1|  174.602   pc  |  -0.4664     +0.4664  |paral   |2020yCat.1350....0G
2422|HD 281967                                                                                                                                                                      |Star                               |04 23 06.7832538000 +33 03 19.286850204|165.9785309094144 -11.5980623918993| -0.241 -20.580   |10.53    |K2                |    ~     ~    |    1|  713.980   pc  | -12.9991    +12.9991  |paral   |2020yCat.1350....0G
2423|HD 281968                                                                                                                                                                      |Star                               |04 22 57.0929051040 +32 53 06.727541532|166.0806334401990 -11.7398433121760|  -2.294 -8.155   |10.52    |F0                |    ~     ~    |    1|  682.780   pc  |  -8.1117     +8.1117  |paral   |2020yCat.1350....0G
2424|HD 281963                                                                                                                                                                      |Star                               |04 24 12.0193660080 +33 12 51.036166512|166.0206959458641 -11.3236085978850|  3.620 -31.690   |10.26    |K5                |    ~     ~    |    1|  548.186   pc  |  -4.9283     +4.9283  |paral   |2020yCat.1350....0G
2425|HD 281965                                                                                                                                                                      |Star                               |04 24 46.6614458856 +32 52 43.119684516|166.3544002052412 -11.4657669301967|   2.452 -0.778   |10.98    |K0                |    ~     ~    |    1|  894.775   pc  | -13.1302    +13.1302  |paral   |2020yCat.1350....0G
2426|HD 282090                                                                                                                                                                      |Star                               |04 25 51.1014036984 +33 04 46.730268804|166.3620569224764 -11.1639773114572|   -1.225 2.786   |10.44    |K0                |    ~     ~    |    1|  816.060   pc  | -10.5221    +10.5221  |paral   |2020yCat.1350....0G
2427|HD 282076                                                                                                                                                                      |Star                               |04 26 04.3215978048 +33 18 58.409782668|166.2181213825148 -10.9686840386068|-17.849 -37.287   |10.37    |G5                |    ~     ~    |    1|   95.793   pc  |  -0.1450     +0.1450  |paral   |2020yCat.1350....0G
2428|HD 282094                                                                                                                                                                      |Spectroscopic Binary               |04 27 12.0183724032 +33 02 59.823488940|166.5804898908797 -10.9775248131924|   2.138 -6.418   |10.68    |G5                |    ~     ~    |    1|  353.794   pc  |  -1.8275     +1.8275  |paral   |2020yCat.1350....0G
2429|HD 282098                                                                                                                                                                      |Star                               |04 28 36.0585151632 +32 50 15.346795776|166.9424700894578 -10.9058301373115| -6.150 -10.669   |10.88    |A5                |    ~     ~    |    1|  492.975   pc  |  -4.0342     +4.0342  |paral   |2020yCat.1350....0G
2430|HD 282082                                                                                                                                                                      |Star                               |04 29 25.1371260336 +33 13 06.111249132|166.7751340866439 -10.5219744668168|  3.503 -14.131   |10.41    |K2                |    ~     ~    |    1|  807.103   pc  | -13.2237    +13.2237  |paral   |2020yCat.1350....0G
2431|HD 282110                                                                                                                                                                      |Star                               |04 27 59.5612426704 +32 22 16.671175140|167.2036934657048 -11.3158819929468|   0.180 -3.737   |10.82    |B8                |    ~     ~    |    1|  870.398   pc  | -14.7730    +14.7730  |paral   |2020yCat.1350....0G
2432|HD 282114                                                                                                                                                                      |Star                               |04 29 01.3970597472 +32 38 17.580584364|167.1532183239032 -10.9752838611375| 15.953 -23.053   |10.88    |F8                |    ~     ~    |    1|  198.819   pc  |  -0.6957     +0.6957  |paral   |2020yCat.1350....0G
2433|HD 282116                                                                                                                                                                      |Spectroscopic Binary               |04 29 53.0860809144 +32 28 52.890467664|167.3958953882401 -10.9471501851991|  -1.504 -3.595   |10.51    |A3                |    ~     ~    |    1|  257.513   pc  |  -1.4257     +1.4257  |paral   |2020yCat.1350....0G
2434|HD 282115                                                                                                                                                                      |Star                               |04 29 48.0765421920 +32 34 56.308491840|167.3078566755582 -10.8921247477371|  5.515 -10.063   |10.45    |K0                |    ~     ~    |    1|  656.599   pc  | -12.0714    +12.0714  |paral   |2020yCat.1350....0G
2435|HD 281994                                                                                                                                                                      |Star                               |04 24 46.5377600712 +32 13 48.886829940|166.8367951730657 -11.9099137886651|   0.593 -2.579   |10.51    |K5                |    ~     ~    |    1| 1414.427   pc  | -67.2203    +67.2203  |paral   |2020yCat.1350....0G
2436|HD 282105                                                                                                                                                                      |Star                               |04 26 04.7852541768 +32 20 31.748874360|166.9454512871994 -11.6321072037254|  -3.051 -7.224   |10.44    |K0                |    ~     ~    |    1|  529.437   pc  |  -5.0455     +5.0455  |paral   |2020yCat.1350....0G
2437|HD 282109                                                                                                                                                                      |Star                               |04 27 57.8910850584 +32 18 14.240761416|167.2501550528622 -11.3658247856962| 18.209 -24.412   |10.13    |F0                |    ~     ~    |    1|  177.519   pc  |  -0.6114     +0.6114  |paral   |2020yCat.1350....0G
2438|HD 282108                                                                                                                                                                      |Star                               |04 27 35.3831948208 +32 14 18.829078224|167.2443874935318 -11.4684505985151|-11.293 -12.666   |10.26    |A3                |    ~     ~    |    1|  284.795   pc  |  -1.4356     +1.4356  |paral   |2020yCat.1350....0G
2439|HD 282117                                                                                                                                                                      |Star                               |04 28 37.0696380120 +32 09 40.148733384|167.4527078544310 -11.3607528751219| 26.782 -13.429   |10.00    |K7                |    ~     ~    |    1|  361.624   pc  |  -8.2910     +8.2910  |paral   |2020yCat.1350....0G
2440|HD 281975                                                                                                                                                                      |Star                               |04 22 23.7110757912 +32 44 40.017909156|166.1024657194604 -11.9215554274417|  -3.724 -8.935   |10.71    |K2                |    ~     ~    |    1|  669.748   pc  |  -8.7470     +8.7470  |paral   |2020yCat.1350....0G
2441|HD 281959                                                                                                                                                                      |Star                               |04 22 32.0603086416 +33 11 10.328037792|165.7964988146504 -11.5955649267754|-10.622 -39.053   |10.13    |F5                |    ~     ~    |    1|  207.637   pc  | -11.8949    +11.8949  |paral   |2020yCat.1350....0G
2442|HD 281961                                                                                                                                                                      |High Proper Motion Star            |04 23 11.1808007616 +33 14 45.816065268|165.8482683900150 -11.4555420606734| 39.683 -53.820   |10.21    |K0                |    ~     ~    |    1|  231.707   pc  |  -0.8859     +0.8859  |paral   |2020yCat.1350....0G
2443|HD 281978                                                                                                                                                                      |Star                               |04 24 57.1398915576 +32 49 16.464006624|166.4227134639060 -11.4783560157870|   1.351 -2.312   |10.47    |K5                |    ~     ~    |    1|  976.276   pc  | -29.7372    +29.7372  |paral   |2020yCat.1350....0G
2444|HD 281993                                                                                                                                                                      |Star                               |04 24 56.6392164216 +32 26 22.142416092|166.7056806896123 -11.7408691851423| -0.494 -25.173   |10.12    |G0                |    ~     ~    |    1|  793.840   pc  | -11.7214    +11.7214  |paral   |2020yCat.1350....0G
2445|HD 282089                                                                                                                                                                      |Star                               |04 25 35.0392814904 +33 07 43.351220748|166.2864946564956 -11.1713598292735|  -1.938 -2.599   |10.29    |A2                |    ~     ~    |    1|  557.693   pc  |  -7.6200     +7.6200  |paral   |2020yCat.1350....0G
2446|HD 282091                                                                                                                                                                      |Star                               |04 26 30.1215636120 +32 58 39.451672488|166.5328770786836 -11.1339715775197|  -1.938 -3.256   |10.42    |A2                |    ~     ~    |    1|  422.905   pc  |  -3.1120     +3.1120  |paral   |2020yCat.1350....0G
2447|HD 282092                                                                                                                                                                      |Star                               |04 26 48.2789693736 +32 55 11.166560184|166.6201237140058 -11.1269185496099|  27.589 38.502   |10.30    |K0                |    ~     ~    |    1|  161.611   pc  |  -0.3918     +0.3918  |paral   |2020yCat.1350....0G
2448|HD 282107                                                                                                                                                                      |Star                               |04 27 25.1217203448 +32 22 19.789509720|167.1192254933907 -11.4043778841730| 23.722 -28.302   |10.40    |F8                |    ~     ~    |    1|  156.206   pc  |  -0.4368     +0.4368  |paral   |2020yCat.1350....0G
2449|HD 282085                                                                                                                                                                      |Star                               |04 27 57.5295959976 +33 08 58.225779672|166.6160690623163 -10.7933339242900|   0.720 -3.076   |10.54    |A2                |    ~     ~    |    1| 1280.410   pc  | -31.3135    +31.3135  |paral   |2020yCat.1350....0G
2450|HD 282095                                                                                                                                                                      |Star                               |04 28 56.8572986448 +32 56 22.746521292|166.9161155469098 -10.7831878649273|  8.445 -14.497   |10.25    |A2                |    ~     ~    |    1|  408.247   pc  | -26.7498    +26.7498  |paral   |2020yCat.1350....0G
2451|HD 282097                                                                                                                                                                      |Star                               |04 29 19.8390402192 +32 46 23.427318180|167.0963729587193 -10.8364366453124|  -0.316 -4.303   |10.66    |A2                |    ~     ~    |    1|  542.829   pc  |  -4.9798     +4.9798  |paral   |2020yCat.1350....0G
2452|HD 282096                                                                                                                                                                      |Star                               |04 29 22.3649711088 +32 44 05.865736092|167.1311539528293 -10.8557131730517|  11.447 -6.430   |10.80    |K                 |    ~     ~    |    1|  627.628   pc  |  -6.3815     +6.3815  |paral   |2020yCat.1350....0G
2453|HD 281946                                                                                                                                                                      |Star                               |04 22 32.9869035072 +33 31 00.628243968|165.5547903996400 -11.3648617892718|  -2.176 -3.977   |10.15    |K7                |    ~     ~    |    1| 1283.862   pc  | -32.8012    +32.8012  |paral   |2020yCat.1350....0G
2454|HD 281938                                                                                                                                                                      |Star                               |04 24 49.3713530568 +33 53 07.770814296|165.6143886797721 -10.7682140639119|  -1.228 -4.341   |10.67    |A3                |    ~     ~    |    1|  755.744   pc  | -24.7878    +24.7878  |paral   |2020yCat.1350....0G
2455|HD 282075                                                                                                                                                                      |High Proper Motion Star            |04 25 52.5632612040 +33 29 01.502701188|166.0651130084450 -10.8840233969742| 81.420 -77.564   |10.42    |K0                |    ~     ~    |    1|   98.818   pc  |  -0.1904     +0.1904  |paral   |2020yCat.1350....0G
2456|HD 282071                                                                                                                                                                      |Star                               |04 27 02.9143147392 +33 40 00.372319248|166.0987623934518 -10.5806290484039| -0.170 -20.536   |10.54    |G0                |    ~     ~    |    1|  321.958   pc  |  -1.8762     +1.8762  |paral   |2020yCat.1350....0G
2457|HD 282068                                                                                                                                                                      |Star                               |04 28 14.7092799168 +33 38 51.042397092|166.2854405546347 -10.4112792427731|  -2.774 -9.628   |9.57     |M0                |    ~     ~    |    1|  799.169   pc  | -22.8644    +22.8644  |paral   |2020yCat.1350....0G
2458|HD 282000                                                                                                                                                                      |High Proper Motion Star            |04 22 23.7446088216 +32 04 13.773235512|166.6020795384644 -12.3859579113207| 2.802 -104.300   |8.81     |G0                |    ~     ~    |    1|   79.718   pc  |  -0.1493     +0.1493  |paral   |2020yCat.1350....0G
2459|HD 282008                                                                                                                                                                      |Star                               |04 23 52.4351362392 +31 33 47.159307324|167.2006620611539 -12.5059302711241| -4.700 -16.331   |9.66     |F0                |    ~     ~    |    1|  249.700   pc  |  -2.9118     +2.9118  |paral   |2020yCat.1350....0G
2460|HD 281999                                                                                                                                                                      |Star                               |04 24 04.3044020760 +31 51 18.224275788|167.0122298910587 -12.2754081945245|   7.964 -4.327   |9.06     |B8                |    ~     ~    |    1|  422.779   pc  |  -3.1637     +3.1637  |paral   |2020yCat.1350....0G
2461|HD 27982                                                                                                                                                                       |Double or Multiple Star            |04 26 17.3029142472 +31 57 32.963460120|167.2626955802525 -11.8604998488523| -2.168 -11.875   |8.66     |B9/A0             |0.0033  0.0    |    1|  329.478   pc  |  -7.2950     +7.2950  |paral   |2020yCat.1350....0G
2462|HD 282122                                                                                                                                                                      |Star                               |04 26 40.1568696264 +32 03 05.068503288|167.2496723528065 -11.7385635552648| 11.122 -45.067   |9.53     |F8                |    ~     ~    |    1|  145.558   pc  |  -3.0806     +3.0806  |paral   |2020yCat.1350....0G
2463|HD 282129                                                                                                                                                                      |Star                               |04 27 30.5449364856 +31 38 19.629505104|167.6830109261846 -11.8873999458275|   1.583 -7.519   |10.80    |A2                |    ~     ~    |    1|  328.655   pc  |  -1.9443     +1.9443  |paral   |2020yCat.1350....0G
2464|HD 282130                                                                                                                                                                      |Star                               |04 27 45.4149700296 +31 40 59.199289536|167.6861406108767 -11.8185775387418| -0.888 -15.568   |10.97    |G0                |    ~     ~    |    1|  237.074   pc  |  -0.8712     +0.8712  |paral   |2020yCat.1350....0G
2465|HD 282132                                                                                                                                                                      |Star                               |04 28 33.0078754896 +31 50 00.087689436|167.6894511659478 -11.5927592371766|  -1.610 -9.369   |10.91    |A2                |    ~     ~    |    1|  411.743   pc  |  -2.6786     +2.6786  |paral   |2020yCat.1350....0G
2466|HD 282125                                                                                                                                                                      |High Proper Motion Star            |04 25 35.7626692800 +31 56 42.413208540|167.1710052312296 -11.9776178902265| 25.446 -47.338   |10.83    |A7                |    ~     ~    |    1|  189.516   pc  |  -0.6501     +0.6501  |paral   |2020yCat.1350....0G
2467|HD 282126                                                                                                                                                                      |Star                               |04 25 53.7876529512 +31 59 26.993062608|167.1811730375663 -11.8998326805819|  -0.500 -0.735   |10.76    |K7                |    ~     ~    |    1| 1755.926   pc  | -49.6408    +49.6408  |paral   |2020yCat.1350....0G
2468|HD 282120                                                                                                                                                                      |Star                               |04 27 59.4850258920 +32 00 08.085716784|167.4805994905937 -11.5659603594062|   4.371 -9.151   |10.60    |G5                |    ~     ~    |    1|  579.106   pc  |  -6.0365     +6.0365  |paral   |2020yCat.1350....0G
2469|HD 282133                                                                                                                                                                      |Star                               |04 29 45.6095574960 +31 57 35.669762100|167.7707284867790 -11.3177486967347|   5.860 -8.029   |10.41    |K0                |    ~     ~    |    1|  737.246   pc  |  -8.6965     +8.6965  |paral   |2020yCat.1350....0G
2470|HD 282006                                                                                                                                                                      |Star                               |04 22 43.2241724376 +31 37 58.695360060|166.9759950175403 -12.6368107456610|   4.997 -5.135   |9.84     |K2                |    ~     ~    |    1|  569.833   pc  |  -6.8514     +6.8514  |paral   |2020yCat.1350....0G
2471|HD 282007                                                                                                                                                                      |Star                               |04 22 46.9583483496 +31 37 27.632617356|166.9917472489654 -12.6331093099903|  9.405 -10.737   |9.90     |K5                |    ~     ~    |    1|  570.386   pc  |  -6.8321     +6.8321  |paral   |2020yCat.1350....0G
2472|IRAS 04227+3323                                                                                                                                                                |Long-Period Variable Candidate     |04 25 58.3559435568 +33 30 42.346192932|166.0583166298123 -10.8501820405365|  -0.107 -5.710   |9.95     |~                 |    ~     ~    |    1| 1347.53    pc  | -68.2752    +68.2752  |paral   |2020yCat.1350....0G
2473|TYC 2376-1481-1                                                                                                                                                                |Star                               |04 27 37.2282778992 +32 03 39.245394600|167.3822002112027 -11.5840886925926|   3.935 -1.968   |10.76    |~                 |    ~     ~    |    1|  549.632   pc  |  -5.1054     +5.1054  |paral   |2020yCat.1350....0G
2474|HD 281951                                                                                                                                                                      |Double or Multiple Star            |04 24 24.966000 +33 26 18.19716        |165.886143127 -11.136834446        |      5.9 -18.5   |9.986    |G0                |    ~     ~    |    0|                |                       |        |                   
2475|* 55 Per                                                                                                                                                                       |Star                               |04 24 29.1553459416 +34 07 50.727850608|165.3842540561264 -10.6503247413366| 21.251 -34.168   |5.718    |B8V               |    ~     ~    |    1|  143.821   pc  |  -5.0759     +5.0759  |paral   |2018yCat.1345....0G
2476|HD 279847                                                                                                                                                                      |Star                               |04 25 17.4500369304 +34 08 50.088243876|165.4884949336843 -10.5179922344866|  -0.643 -5.197   |10.4     |A2                |    ~     ~    |    1| 1195.743   pc  | -42.4651    +42.4651  |paral   |2020yCat.1350....0G
2477|HD 279846                                                                                                                                                                      |Spectroscopic Binary               |04 26 09.6754722312 +34 09 34.300314432|165.6049084273440 -10.3784495005224|  -4.748 79.063   |10.5     |K2                |    ~     ~    |    1|   82.413   pc  |  -0.1440     +0.1440  |paral   |2020yCat.1350....0G
2478|HD 281880                                                                                                                                                                      |Spectroscopic Binary               |04 20 01.6070426904 +31 37 02.474997492|166.5819333349058 -13.0627557484938|   2.342 -4.552   |10.63    |G0                |    ~     ~    |    1|  531.519   pc  |  -3.9269     +3.9269  |paral   |2020yCat.1350....0G
2479|HD 281998                                                                                                                                                                      |Star                               |04 24 34.5588772992 +31 49 47.654766336|167.1059674880289 -12.2145034581131| 17.104 -23.019   |10.57    |K2                |    ~     ~    |    1|  356.659   pc  |  -8.9298     +8.9298  |paral   |2020yCat.1350....0G
2480|TYC 2376-185-1                                                                                                                                                                 |Star                               |04 28 01.6402900464 +33 40 24.377848392|166.2347865709213 -10.4269174931497|   2.180 -5.986   |10.56    |~                 |    ~     ~    |    1| 1338.509   pc  | -32.6072    +32.6072  |paral   |2020yCat.1350....0G
2481|HD 281953                                                                                                                                                                      |Star                               |04 23 14.0582161704 +33 22 47.291292156|165.7564566279101 -11.3561043204448|  -5.493 -4.663   |10.60    |K7                |    ~     ~    |    1|  666.400   pc  |  -8.4821     +8.4821  |paral   |2020yCat.1350....0G
2482|TYC 2376-1765-1                                                                                                                                                                |Star                               |04 29 26.1344605944 +32 28 41.326822920|167.3332550382933 -11.0192836974908|  -2.180 -0.275   |10.78    |~                 |    ~     ~    |    1|  719.166   pc  |  -8.0683     +8.0683  |paral   |2020yCat.1350....0G
2483|HD 282119                                                                                                                                                                      |Star                               |04 28 09.9548122248 +32 10 42.582854496|167.3737060011926 -11.4194778641938|  9.963 -23.047   |9.67     |K0                |    ~     ~    |    1|  419.886   pc  |  -3.4556     +3.4556  |paral   |2020yCat.1350....0G
2484|HD 281997                                                                                                                                                                      |Star                               |04 24 03.3831943248 +31 59 51.709134408|166.9035864630122 -12.1801120392570|   1.919 -8.191   |10.71    |A7                |    ~     ~    |    0|                |                       |        |                   
2485|TYC 2376-2551-1                                                                                                                                                                |Star                               |04 22 20.3706499992 +32 08 14.552028888|166.5440354517484 -12.3485336093668|-12.959 -10.878   |10.82    |~                 |    ~     ~    |    1|  551.907   pc  |  -4.6299     +4.6299  |paral   |2020yCat.1350....0G
2486|TYC 2380-63-1                                                                                                                                                                  |Star                               |04 24 25.4509459704 +34 03 58.435198524|165.4229575915841 -10.7039940063258|   8.012 -6.457   |9.98     |~                 |    ~     ~    |    1|  816.327   pc  | -11.9950    +11.9950  |paral   |2020yCat.1350....0G
2487|HD 281937                                                                                                                                                                      |Star                               |04 23 29.1105172944 +33 56 10.311615420|165.3824264118840 -10.9346432739920|  6.680 -29.927   |10.64    |F8                |    ~     ~    |    1|  265.745   pc  |  -1.2782     +1.2782  |paral   |2020yCat.1350....0G
2488|HD 27259                                                                                                                                                                       |Star                               |04 19 30.5464422840 +30 52 59.479608504|167.0477378855060 -13.6508439321372|-11.538 -26.470   |7.66     |K5III             |    ~     ~    |    1|  294.057   pc  |  -5.1449     +5.1449  |paral   |2020yCat.1350....0G
2489|HD 27334                                                                                                                                                                       |Star                               |04 20 09.4224913080 +30 53 09.762735156|167.1444944891628 -13.5484280349052|   1.688 -8.054   |8.70     |B9/A0             |    ~     ~    |    1|  487.995   pc  |  -5.0962     +5.0962  |paral   |2020yCat.1350....0G
2490|HD 281895                                                                                                                                                                      |Star                               |04 20 22.2838629744 +31 06 44.672287572|167.0088069944763 -13.3588598358369|  -1.602 -5.014   |9.42     |K7                |    ~     ~    |    1| 1023.541   pc  | -22.5242    +22.5242  |paral   |2020yCat.1350....0G
2491|HD 282018                                                                                                                                                                      |Star                               |04 21 07.6419230544 +30 56 56.087303496|167.2452842188219 -13.3543811746024| -4.958 -15.988   |8.82     |G5                |    ~     ~    |    1|  311.974   pc  |  -2.3748     +2.3748  |paral   |2020yCat.1350....0G
