C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:42:36

dec >=0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3947

 #  |                                                                                  identifier                                                                                   |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |BD+45 901                                                                                                                                                                      |Star                               |04 16 39.8332573680 +46 15 55.047762504|155.6427474177233 -03.1623952589882|  -2.811 -1.118   |10.0     |M2                |    ~     ~    |    1| 1203.080   pc  | -40.9615    +40.9615  |paral   |2020yCat.1350....0G
33  |TYC 2890-511-1                                                                                                                                                                 |High Proper Motion Star            |04 15 15.7164838272 +44 54 39.634253460|156.4083301554853 -04.3072166492090| 39.341 -79.143   |10.96    |~                 |    ~     ~    |    1|  222.212   pc  |  -0.7308     +0.7308  |paral   |2020yCat.1350....0G
34  |TYC 2890-565-1                                                                                                                                                                 |Star                               |04 18 39.8971044072 +44 57 20.165967828|156.8100583210201 -03.8553866290241| -3.898 -10.480   |10.34    |~                 |    ~     ~    |    1|  526.122   pc  |  -7.6952     +7.6952  |paral   |2020yCat.1350....0G
35  |TYC 3328-632-1                                                                                                                                                                 |Star                               |04 17 45.9655085736 +45 23 08.495001672|156.3949951258811 -03.6590740710181|   5.071 -8.916   |10.29    |~                 |    ~     ~    |    1|  646.789   pc  |  -7.4464     +7.4464  |paral   |2020yCat.1350....0G
36  |TYC 3328-896-1                                                                                                                                                                 |Star                               |04 15 43.0996651008 +45 16 48.066411576|156.2098889758894 -03.9855306370989|  -8.393 -4.486   |10.25    |~                 |    ~     ~    |    1|  252.385   pc  |  -1.1529     +1.1529  |paral   |2020yCat.1350....0G
37  |TYC 3328-1565-1                                                                                                                                                                |Star                               |04 15 21.5003406552 +46 43 19.121420892|155.1633291916471 -02.9895643438149|  3.319 -11.996   |10.55    |~                 |    ~     ~    |    1|  626.606   pc  |  -6.9496     +6.9496  |paral   |2020yCat.1350....0G
38  |TYC 3328-1719-1                                                                                                                                                                |Star                               |04 16 22.2572993136 +46 28 17.014711620|155.4628615476885 -03.0494015112502|  -4.245 -1.827   |10.76    |~                 |    ~     ~    |    1|  588.097   pc  |  -7.2630     +7.2630  |paral   |2020yCat.1350....0G
39  |TYC 3328-1726-1                                                                                                                                                                |Pulsating Variable                 |04 16 31.0994544408 +45 52 03.715107492|155.9016166317365 -03.4655916320143|   0.802 -4.006   |10.64    |~                 |    ~     ~    |    1|  559.003   pc  | -16.5617    +16.5617  |paral   |2020yCat.1350....0G
40  |TYC 3328-2241-1                                                                                                                                                                |Star                               |04 17 06.7287855816 +46 11 12.569248320|155.7531973834427 -03.1647406848635|   5.502 -9.720   |10.98    |~                 |    ~     ~    |    1|  684.229   pc  | -17.5095    +17.5095  |paral   |2020yCat.1350....0G
41  |TYC 3328-2549-1                                                                                                                                                                |Star                               |04 16 17.4550829736 +46 11 27.741855408|155.6480192647808 -03.2606111617108|  -0.338 -3.388   |10.76    |~                 |    ~     ~    |    1|  703.383   pc  |  -9.4497     +9.4497  |paral   |2020yCat.1350....0G
42  |TYC 3328-3240-1                                                                                                                                                                |Star                               |04 15 46.4637154488 +46 27 03.398677200|155.4030248215734 -03.1354393403149|   -0.286 1.226   |10.58    |~                 |    ~     ~    |    1|  696.524   pc  |  -8.9267     +8.9267  |paral   |2020yCat.1350....0G
43  |TYC 3328-3254-1                                                                                                                                                                |Star                               |04 17 40.6025676888 +45 58 20.198003592|155.9733452267739 -03.2501946172660| 11.483 -18.490   |10.52    |~                 |    ~     ~    |    1|  333.901   pc  |  -3.3781     +3.3781  |paral   |2020yCat.1350....0G
44  |TYC 3329-8-1                                                                                                                                                                   |Star                               |04 20 06.4765097136 +45 13 08.208615612|156.8062430837775 -03.4890441957327|   -8.689 2.564   |10.89    |~                 |    ~     ~    |    1|  410.543   pc  |  -3.6069     +3.6069  |paral   |2020yCat.1350....0G
45  |TYC 3329-240-1                                                                                                                                                                 |Star                               |04 19 54.2712407736 +45 26 15.383473800|156.6266060372348 -03.3589057593501|  -2.368 -0.714   |9.88     |~                 |    ~     ~    |    1|  583.158   pc  | -13.7050    +13.7050  |paral   |2020yCat.1350....0G
46  |BD+44 915                                                                                                                                                                      |Double or Multiple Star            |04 20 08.844216 +45 04 39.94320        |156.910819138 -03.584370151        |      -0.8 -3.0   |10.610   |~                 |    ~     ~    |    0|                |                       |        |                   
47  |TYC 3329-478-1                                                                                                                                                                 |Star                               |04 19 04.0013510520 +45 07 32.985257016|156.7410782745005 -03.6842840222250| 14.245 -11.314   |10.55    |~                 |    ~     ~    |    1|  427.497   pc  | -10.1428    +10.1428  |paral   |2020yCat.1350....0G
48  |TYC 3329-480-1                                                                                                                                                                 |Star                               |04 20 04.8729412248 +45 01 17.041757916|156.9422800002031 -03.6326134847511|  7.454 -12.218   |10.42    |~                 |    ~     ~    |    1|  454.256   pc  |  -3.9206     +3.9206  |paral   |2020yCat.1350....0G
49  |TYC 3329-667-1                                                                                                                                                                 |Star                               |04 19 39.4781715984 +45 37 18.415369308|156.4661099173358 -03.2583477712239|   3.266 -4.379   |10.22    |~                 |    ~     ~    |    1| 1158.212   pc  | -18.9145    +18.9145  |paral   |2020yCat.1350....0G
50  |HD 26859                                                                                                                                                                       |Star                               |04 16 45.5178116400 +43 31 50.590631460|157.5647959838132 -05.1126478067277| -3.601 -13.530   |10.10    |G5                |    ~     ~    |    1|  425.604   pc  |  -3.0794     +3.0794  |paral   |2020yCat.1350....0G
51  |HD 26707                                                                                                                                                                       |Star                               |04 15 24.3509560464 +43 19 03.411818220|157.5367053266859 -05.4366281191072|  -3.103 11.184   |10.08    |G5                |    ~     ~    |    1|  130.477   pc  |  -0.3388     +0.3388  |paral   |2020yCat.1350....0G
52  |HD 276110                                                                                                                                                                      |Star                               |04 15 23.6005762632 +43 09 07.600966740|157.6505741939016 -05.5572486080252|  5.584 -30.487   |9.30     |G5                |    ~     ~    |    1|  199.677   pc  |  -0.7336     +0.7336  |paral   |2020yCat.1350....0G
53  |HD 276161                                                                                                                                                                      |Star                               |04 16 31.6183593984 +42 56 13.177363056|157.9504318994853 -05.5674714876619|  -2.880 -2.512   |9.97     |A0                |    ~     ~    |    1|  331.829   pc  |  -3.0060     +3.0060  |paral   |2020yCat.1350....0G
54  |AG+42 451                                                                                                                                                                      |Long-Period Variable Candidate     |04 18 02.2431919728 +42 43 40.255715820|158.2962437809608 -05.5232761639141|   3.474 -0.778   |9.70     |K7                |    ~     ~    |    1| 1053.63    pc  | -49.5121    +49.5121  |paral   |2020yCat.1350....0G
55  |HD 27157                                                                                                                                                                       |High Proper Motion Star            |04 19 13.0902066744 +42 22 52.300229124|158.6964401464996 -05.6171143324418|-21.130 -56.513   |6.967    |F5                |    ~     ~    |    1|   93.366   pc  |  -0.1953     +0.1953  |paral   |2020yCat.1350....0G
56  |V* RW Per                                                                                                                                                                      |Eclipsing Binary                   |04 20 16.7635224696 +42 18 51.812958564|158.8834289973067 -05.5261512654440|  -3.965 -5.345   |9.72     |A2                |    ~     ~    |    1|  462.321   pc  |  -7.3313     +7.3313  |paral   |2020yCat.1350....0G
57  |HD 276165                                                                                                                                                                      |Star                               |04 18 26.2846620000 +42 49 22.897075404|158.2817908990913 -05.4038676672505|   5.420 -9.085   |10.76    |A3                |    ~     ~    |    1|  765.521   pc  | -11.6032    +11.6032  |paral   |2020yCat.1350....0G
58  |HD 276168                                                                                                                                                                      |Star                               |04 19 17.4786238824 +42 37 08.330059848|158.5378359265405 -05.4387828739904|   -7.023 0.865   |10.78    |G5                |    ~     ~    |    1|  359.092   pc  |  -2.7466     +2.7466  |paral   |2020yCat.1350....0G
59  |HD 276111                                                                                                                                                                      |Star                               |04 15 34.3598077800 +43 04 55.282619460|157.7231591667044 -05.5848951855049|   -6.817 3.419   |9.83     |K7                |    ~     ~    |    1|  671.908   pc  |  -8.2166     +8.2166  |paral   |2020yCat.1350....0G
60  |HD 276162                                                                                                                                                                      |Star                               |04 16 54.0320131752 +42 48 45.817963740|158.0868323451476 -05.6086728782423|   3.531 -5.479   |10.29    |K5                |    ~     ~    |    1|  638.366   pc  |  -7.0907     +7.0907  |paral   |2020yCat.1350....0G
61  |HD 276163                                                                                                                                                                      |Star                               |04 17 18.2275193712 +42 50 19.772983104|158.1216295167699 -05.5383250338727|   1.774 -0.793   |10.57    |F8                |    ~     ~    |    1|  975.324   pc  | -16.7421    +16.7421  |paral   |2020yCat.1350....0G
62  |HD 276167                                                                                                                                                                      |Star                               |04 19 08.6683130304 +42 44 13.841807136|158.4350073049479 -05.3738276112087|  8.021 -23.154   |10.70    |A7                |    ~     ~    |    1|  285.071   pc  |  -2.2023     +2.2023  |paral   |2020yCat.1350....0G
63  |HD 276169                                                                                                                                                                      |Star                               |04 17 48.3418909848 +42 38 18.355518636|158.3287108869820 -05.6168932969107|  -5.402 -1.579   |10.87    |G5                |    ~     ~    |    1|  448.350   pc  |  -7.9603     +7.9603  |paral   |2020yCat.1350....0G
64  |HD 276246                                                                                                                                                                      |Star                               |04 21 08.9359524840 +42 26 18.261689280|158.9092874604335 -05.3248911426003|  -0.896 -5.283   |10.66    |A3                |    ~     ~    |    1|  633.794   pc  |  -7.2707     +7.2707  |paral   |2020yCat.1350....0G
65  |HD 276248                                                                                                                                                                      |Star                               |04 19 46.7065942224 +42 13 18.424024248|158.8831914939456 -05.6571668119701| 39.544 -14.700   |9.85     |F8                |    ~     ~    |    1|  127.196   pc  |  -0.3252     +0.3252  |paral   |2020yCat.1350....0G
66  |HD 27025                                                                                                                                                                       |Star                               |04 18 18.9922366776 +44 41 07.405912176|156.9556764703695 -04.0914555077508|  -1.943 -1.009   |8.33     |B9                |    ~     ~    |    1|  582.208   pc  | -30.2358    +30.2358  |paral   |2020yCat.1350....0G
67  |HD 27061                                                                                                                                                                       |Star                               |04 18 36.9627079656 +44 40 44.808358044|156.9981629226213 -04.0586257864494|  8.141 -10.986   |10.01    |A0                |    ~     ~    |    1|  532.311   pc  |  -7.0839     +7.0839  |paral   |2020yCat.1350....0G
68  |HD 27073                                                                                                                                                                       |Double or Multiple Star            |04 18 38.8824 +44 25 35.358            |157.1798494 -04.2347354            |     10.9 -24.0   |10.38    |F5                |    ~     ~    |    0|                |                       |        |                   
69  |BD+44 919                                                                                                                                                                      |Star                               |04 20 57.7391080752 +44 52 59.331910764|157.1507171364242 -03.6206694841575| 18.710 -23.895   |9.57     |A5                |    ~     ~    |    1|  223.219   pc  |  -0.8122     +0.8122  |paral   |2020yCat.1350....0G
70  |BD+44 920                                                                                                                                                                      |Star                               |04 21 03.3189989424 +44 53 36.874589496|157.1550163278721 -03.6016519071833|   9.309 -5.377   |8.86     |G0                |    ~     ~    |    1|   99.215   pc  |  -0.3475     +0.3475  |paral   |2020yCat.1350....0G
71  |BD+44 921                                                                                                                                                                      |Star                               |04 21 05.3846107896 +44 33 24.455948004|157.3978583149082 -03.8356093080309|  -3.594 -0.706   |10.40    |A2                |    ~     ~    |    1|  390.579   pc  |  -2.8070     +2.8070  |paral   |2020yCat.1350....0G
72  |BD+43 944                                                                                                                                                                      |Star                               |04 19 46.3506301560 +44 12 25.842160332|157.4778802036697 -04.2494327072050| -1.857 -31.084   |9.39     |F8                |    ~     ~    |    1|  143.019   pc  |  -0.3477     +0.3477  |paral   |2020yCat.1350....0G
73  |BD+43 958                                                                                                                                                                      |High Proper Motion Star            |04 24 34.8652947624 +44 11 59.030793636|158.0919208893282 -03.6432563960195| 38.576 -55.220   |9.14     |K0                |    ~     ~    |    1|  215.193   pc  |  -0.8058     +0.8058  |paral   |2020yCat.1350....0G
74  |BD+43 930                                                                                                                                                                      |Star                               |04 15 45.2580867576 +44 01 16.283954028|157.0913576405230 -04.8868451770484|   0.815 -2.454   |10.68    |A0                |    ~     ~    |    1| 3083.565   pc  |-248.1685   +248.1685  |paral   |2020yCat.1350....0G
75  |HD 27004                                                                                                                                                                       |Star                               |04 18 01.1972756232 +43 41 03.391955160|157.6209410791694 -04.8432350683599|  -3.635 -1.685   |7.78     |B9                |    ~     ~    |    1|  405.088   pc  |  -4.6603     +4.6603  |paral   |2020yCat.1350....0G
76  |HD 27044                                                                                                                                                                       |Star                               |04 18 30.8970562200 +43 43 37.334945388|157.6548861164223 -04.7500303429283| 31.764 -24.103   |7.42     |A2                |    ~     ~    |    1|  158.386   pc  |  -0.7651     +0.7651  |paral   |2020yCat.1350....0G
77  |HD 27258                                                                                                                                                                       |Star                               |04 20 13.4552957304 +43 35 59.030336436|157.9651800021811 -04.6230291664366|  -2.394 -0.565   |8.47     |A0                |    ~     ~    |    1|  522.712   pc  |  -6.4755     +6.4755  |paral   |2020yCat.1350....0G
78  |BD+43 949                                                                                                                                                                      |Star                               |04 21 46.3579800360 +44 05 59.854899084|157.8084347022761 -04.0719143137068|    0.277 0.033   |9.75     |A0                |    ~     ~    |    1|  374.251   pc  |  -3.5156     +3.5156  |paral   |2020yCat.1350....0G
79  |HD 27523                                                                                                                                                                       |Star                               |04 22 37.3835647848 +43 26 57.377659416|158.3800084085984 -04.4212811591396|-11.640 -10.707   |7.91     |F5                |    ~     ~    |    1|  108.123   pc  |  -0.3308     +0.3308  |paral   |2020yCat.1350....0G
80  |HD 276315                                                                                                                                                                      |Star                               |04 24 27.4905070272 +43 35 55.821063408|158.5069724372722 -04.0792325192939| 23.128 -38.444   |9.53     |F5                |    ~     ~    |    1|  132.428   pc  |  -0.8417     +0.8417  |paral   |2018yCat.1345....0G
81  |HD 27847                                                                                                                                                                       |Star                               |04 25 36.1612516800 +43 49 00.922303488|158.4951170033741 -03.7788982428382| -11.661 -9.023   |8.75     |K2                |    ~     ~    |    1|  330.972   pc  |  -2.2018     +2.2018  |paral   |2020yCat.1350....0G
82  |HD 276316                                                                                                                                                                      |Star                               |04 25 58.6483922856 +43 35 59.635577580|158.6985138325536 -03.8813731973617| 34.008 -33.705   |8.80     |G0                |    ~     ~    |    1|   81.044   pc  |  -0.1550     +0.1550  |paral   |2020yCat.1350....0G
83  |HD 276318                                                                                                                                                                      |Star                               |04 26 12.5234821488 +43 29 30.385465368|158.8056021394531 -03.9264534503947| 10.068 -12.826   |9.94     |F2                |    ~     ~    |    1|  256.529   pc  |  -1.2372     +1.2372  |paral   |2020yCat.1350....0G
84  |HD 27960                                                                                                                                                                       |Star                               |04 26 39.1925123064 +43 28 37.492467744|158.8723300091566 -03.8786592133984|  6.880 -15.026   |8.40     |K0                |    ~     ~    |    1|  385.015   pc  |  -3.8393     +3.8393  |paral   |2020yCat.1350....0G
85  |BD+43 967C                                                                                                                                                                     |Star                               |04 26 42.0332896032 +43 28 31.160750520|158.8795742590560 -03.8736962849394|   2.363 -6.065   |10.54    |~                 |    ~     ~    |    1|  898.392   pc  | -15.1736    +15.1736  |paral   |2020yCat.1350....0G
86  |HD 28083                                                                                                                                                                       |Star                               |04 27 54.7445678952 +43 19 51.939665184|159.1366368571344 -03.8148095066326| -3.452 -16.667   |7.74     |A0                |    ~     ~    |    1|  234.050   pc  |  -1.8789     +1.8789  |paral   |2020yCat.1350....0G
87  |HD 276160                                                                                                                                                                      |Star                               |04 18 41.7360450984 +43 19 53.619132864|157.9568771884556 -05.0087488402936|   6.466 -9.628   |9.36     |K5                |    ~     ~    |    1|  392.526   pc  |  -2.7118     +2.7118  |paral   |2020yCat.1350....0G
88  |HD 27293                                                                                                                                                                       |Star                               |04 20 31.7934256656 +43 14 17.341833552|158.2607578332565 -04.8399361321288|   3.446 -6.148   |7.26     |K2                |    ~     ~    |    1|  536.538   pc  |  -5.5560     +5.5560  |paral   |2020yCat.1350....0G
