C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:30:39

dec< 0&rah >=8.25&rah< 8.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 9790

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
63  |BD-01 2032                                                            |Star                                  |08 24 38.6406086088 -01 55 46.175520900|225.8322916280219 +19.6637845830379| -9.823 -11.982   |9.42     |G0             |    ~     ~    |    1|  308.661   pc  |  -1.4100     +1.4100    |paral   |2020yCat.1350....0G
64  |BD-01 2034                                                            |Spectroscopic Binary                  |08 25 06.8616201504 -01 45 16.263613224|225.7328634656286 +19.8526569738632|    0.531 1.249   |9.56     |G5             |    ~     ~    |    1|  841.963   pc  | -20.5582    +20.5582    |paral   |2020yCat.1350....0G
65  |HD 71031                                                              |Star                                  |08 25 08.1803023584 -02 06 16.932057840|226.0586828811809 +19.6834079578777|  -10.041 1.050   |9.43     |A2V            |    ~     ~    |    1|  361.546   pc  |  -2.9150     +2.9150    |paral   |2020yCat.1350....0G
66  |HD 71116                                                              |Star                                  |08 25 31.4750099856 -02 06 48.443664132|226.1180542372025 +19.7631654443214|  -23.808 3.331   |9.18     |A3III          |    ~     ~    |    1|  238.658   pc  |  -1.3670     +1.3670    |paral   |2020yCat.1350....0G
67  |BD-01 2004                                                            |Star                                  |08 17 44.7627985968 -02 15 48.064115952|225.2382834933884 +18.0008677104921|  -5.512 16.114   |9.23     |K0             |    ~     ~    |    1|  492.465   pc  |  -3.7833     +3.7833    |paral   |2020yCat.1350....0G
68  |NGC 2590                           NGC 2590                           |Emission-line galaxy                  |08 25 02.0021287536 -00 35 29.142200148|224.6446366800144 +20.4087458099294|            ~ ~   |     ~   |~              |1.420 0.426    |    1|   57.81    Mpc |  -4.16       +4.16      |T-F     |2020ApJ...902..145K
69  |TYC 4848-1003-1                                                       |Star                                  |08 17 45.1962260952 -00 49 00.647318352|223.9102361495924 +18.7105248491136|-29.363 -23.213   |10.02    |~              |    ~     ~    |    1|  259.397   pc  |  -1.4668     +1.4668    |paral   |2020yCat.1350....0G
70  |TYC 4848-1366-1                                                       |Star                                  |08 17 52.2405988896 -00 43 27.951119652|223.8400184104025 +18.7810988681459|  -2.960 -4.637   |9.98     |~              |    ~     ~    |    1| 1791.152   pc  | -69.6185    +69.6185    |paral   |2020yCat.1350....0G
71  |BD+00 2269                                                            |Star                                  |08 19 44.521 -00 18 35.27              |223.696889 +19.391407              |       1.5 -9.0   |9.6      |~              |    ~     ~    |    0|                |                         |        |                   
72  |BD-00 1965                                                            |Star                                  |08 20 03.5006638320 -01 05 57.506284896|224.4678992330988 +19.0757592910576|  -9.002 -5.634   |9.37     |~              |    ~     ~    |    1|  528.849   pc  |  -4.2791     +4.2791    |paral   |2020yCat.1350....0G
