C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:30:39

dec< 0&rah >=8.25&rah< 8.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 9790

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
5291|TYC 7143-1522-1                                                       |Star                                  |08 28 26.0723640048 -35 16 52.532291928|254.7936787755305 +02.0065702778438|   -4.045 6.823   |10.98    |~              |    ~     ~    |    1|  603.682   pc  |  -4.8834     +4.8834    |paral   |2020yCat.1350....0G
5292|TYC 7147-1066-1                                                       |Star                                  |08 26 29.4821132064 -35 44 54.320588808|254.9436882331831 +01.4131798630806|  -3.086 -0.559   |10.50    |~              |    ~     ~    |    1| 1313.370   pc  | -31.2214    +31.2214    |paral   |2020yCat.1350....0G
5293|TYC 7147-1098-1                                                       |Star                                  |08 26 42.9391742016 -35 46 33.190870872|254.9924655325957 +01.4343142380656|   0.687 -6.192   |10.74    |~              |    ~     ~    |    1|  862.441   pc  |  -9.9670     +9.9670    |paral   |2020yCat.1350....0G
5294|TYC 7147-1350-1                                                       |Star                                  |08 28 40.4785496544 -35 43 07.900485708|255.1776403371962 +01.7906552226509|  -10.502 6.539   |10.38    |~              |    ~     ~    |    1|  535.820   pc  |  -6.7756     +6.7756    |paral   |2020yCat.1350....0G
5295|TYC 7147-1362-1                                                       |Star                                  |08 27 07.6570173936 -35 46 52.050373284|255.0452673223918 +01.4992962346563| 22.925 -33.538   |10.97    |~              |    ~     ~    |    1|  219.954   pc  |  -0.5370     +0.5370    |paral   |2020yCat.1350....0G
5296|TYC 7147-1672-1                                                       |Star                                  |08 27 58.8339770904 -35 43 31.337350860|255.1006707944453 +01.6724662048709|   -5.555 4.234   |10.82    |~              |    ~     ~    |    1| 1098.177   pc  | -12.0599    +12.0599    |paral   |2020yCat.1350....0G
5297|CD-35 4641                                                            |Star                                  |08 27 37.4581093080 -36 23 43.289371860|255.6033999335605 +01.2235873742664|  -18.446 0.395   |9.30     |F2             |    ~     ~    |    1|  321.275   pc  |  -3.1997     +3.1997    |paral   |2020yCat.1350....0G
5298|HD 71468                                                              |Star                                  |08 26 17.8662717624 -36 28 42.254599944|255.5159814444266 +00.9581805253621|   0.823 -6.055   |9.05     |A9IV           |    ~     ~    |    1|  413.942   pc  |  -8.3789     +8.3789    |paral   |2020yCat.1350....0G
5299|HD 71584                                                              |Star                                  |08 26 56.5686111672 -36 40 50.847601224|255.7559865520433 +00.9462142396452|   -2.963 5.422   |7.80     |K3III          |    ~     ~    |    1|  613.271   pc  |  -5.8672     +5.8672    |paral   |2020yCat.1350....0G
5300|HD 71605                                                              |Star                                  |08 27 03.8704162608 -36 40 16.521768804|255.7624065362568 +00.9716134221496| -16.380 10.443   |9.26     |Fm_dD          |    ~     ~    |    1|  313.706   pc  |  -1.1514     +1.1514    |paral   |2020yCat.1350....0G
5301|HD 71624                                                              |Star                                  |08 27 09.1262360472 -36 55 24.858792192|255.9779285792332 +00.8392024665791|   -4.145 9.385   |7.40     |K5III          |    ~     ~    |    1|  633.714   pc  |  -5.9034     +5.9034    |paral   |2020yCat.1350....0G
5302|HD 71649                                                              |Star                                  |08 27 12.1122637488 -36 39 13.823955828|255.7642511634884 +01.0041521118030|   -4.887 6.924   |9.22     |B2Ib           |    ~     ~    |    1| 2338.087   pc  | -85.8265    +85.8265    |paral   |2020yCat.1350....0G
5303|HD 71717                                                              |Emission-line Star                    |08 27 35.6225829408 -36 40 28.522935948|255.8268627422553 +01.0559801374143|   -6.154 3.527   |9.01     |B8III          |    ~     ~    |    1|  834.028   pc  | -16.6945    +16.6945    |paral   |2020yCat.1350....0G
5304|HD 71625                                                              |Star                                  |08 27 03.4515663168 -37 56 33.638844300|256.7962057357595 +00.2314065583029| -28.818 37.055   |7.82     |K1III          |    ~     ~    |    1|  227.920   pc  |  -0.8779     +0.8779    |paral   |2020yCat.1350....0G
5305|IRAS 08253-3741                                                       |Star                                  |08 27 12.6015859920 -37 50 58.386048648|256.7379394130692 +00.3100364379497|   -4.893 5.237   |10.46    |M2/3           |    ~     ~    |    1| 1512.173   pc  | -30.8700    +30.8700    |paral   |2020yCat.1350....0G
5306|CD-36 4651                                                            |High Proper Motion Star               |08 27 20.9707006560 -37 23 50.274331008|256.3861706956517 +00.5956280799603|-11.750 -53.917   |9.15     |~              |    ~     ~    |    1|  262.930   pc  |  -0.9678     +0.9678    |paral   |2020yCat.1350....0G
5307|CD-36 4652                                                            |Star                                  |08 27 21.6214782696 -37 16 44.269600476|256.2911868656450 +00.6662460931463| -16.882 28.831   |9.80     |~              |    ~     ~    |    1|  629.683   pc  |  -4.5598     +4.5598    |paral   |2020yCat.1350....0G
5308|CD-37 4726                                                            |Star                                  |08 27 40.4558017032 -37 30 58.292537544|256.5203633784774 +00.5787898364516|  -12.576 7.069   |9.50     |~              |    ~     ~    |    1|  395.867   pc  |  -2.9462     +2.9462    |paral   |2020yCat.1350....0G
5309|CPD-36 2524                                                           |High Proper Motion Star               |08 27 58.7180033352 -36 27 52.089492564|255.7011195998941 +01.2412334131724|-25.766 -56.856   |10.20    |~              |    ~     ~    |    1|  171.218   pc  |  -0.3107     +0.3107    |paral   |2020yCat.1350....0G
5310|CD-36 4641                                                            |Star                                  |08 26 54.4680333168 -36 50 46.600933056|255.8866276618470 +00.8443702687940|  -39.806 7.977   |9.91     |~              |    ~     ~    |    1|   87.689   pc  |  -0.0892     +0.0892    |paral   |2020yCat.1350....0G
5311|HD 71835                                                              |High Proper Motion Star               |08 28 11.9807107320 -36 43 22.750719384|255.9370183022671 +01.1264503247484| -85.152 55.981   |8.37     |G9V+           |    ~     ~    |    1|   40.148   pc  |  -0.0271     +0.0271    |paral   |2020yCat.1350....0G
5312|CD-36 4666                                                            |Star                                  |08 28 17.1450905472 -36 26 04.298039304|255.7128393742079 +01.3088613476929|  -8.194 38.863   |9.59     |G0             |    ~     ~    |    1|  136.735   pc  |  -0.2730     +0.2730    |paral   |2020yCat.1350....0G
5313|HD 71931                                                              |Star                                  |08 28 41.3151294336 -36 32 52.459025496|255.8521938102360 +01.3083327609293| -18.158 15.312   |8.47     |A7V            |    ~     ~    |    1|  213.840   pc  |  -0.8139     +0.8139    |paral   |2020yCat.1350....0G
5314|HD 71836                                                              |Star                                  |08 28 12.2052281856 -37 43 48.865325340|256.7553561023657 +00.5390561963752|  -13.938 7.726   |8.83     |B9.5V          |    ~     ~    |    1|  366.851   pc  |  -2.7185     +2.7185    |paral   |2020yCat.1350....0G
5315|CD-37 4740                                                            |Star                                  |08 28 19.4928843264 -38 03 40.091858748|257.0379669561254 +00.3652670883969|   -8.334 5.268   |9.12     |F2             |    ~     ~    |    1|  171.827   pc  |  -0.5403     +0.5403    |paral   |2020yCat.1350....0G
5316|HD 72123                                                              |Star                                  |08 29 51.1354519872 -37 32 13.910793144|256.7900556982498 +00.9167134786460|  -8.879 10.674   |9.26     |A8V            |    ~     ~    |    1|  517.197   pc  |  -4.1996     +4.1996    |paral   |2020yCat.1350....0G
5317|BM IV 81                                                              |Carbon Star                           |08 28 25.7059181328 -36 51 28.020704976|256.0732156932109 +01.0849178410989|   -4.249 2.530   |10.99    |C6-,4          |    ~     ~    |    1| 2299.908   pc  | -95.7413    +95.7413    |paral   |2020yCat.1350....0G
5318|CD-36 4665                                                            |Star                                  |08 28 11.0486509704 -37 19 15.873296772|256.4209019706300 +00.7748218690558|   -4.817 3.853   |10.34    |~              |    ~     ~    |    1| 1576.044   pc  | -51.6654    +51.6654    |paral   |2020yCat.1350....0G
5319|CD-36 4676                                                            |Star                                  |08 28 52.1910630408 -37 21 15.403430088|256.5275183666539 +00.8660062280907|   -3.862 3.062   |10.36    |~              |    ~     ~    |    1| 1733.403   pc  | -49.5773    +49.5773    |paral   |2020yCat.1350....0G
5320|CD-37 4737                                                            |Star                                  |08 28 13.1705637600 -37 51 37.461067020|256.8628907643207 +00.4656372461028|   4.544 -1.244   |9.99     |~              |    ~     ~    |    1|  585.583   pc  |  -3.7034     +3.7034    |paral   |2020yCat.1350....0G
5321|CD-37 4743                                                            |Eclipsing Binary                      |08 28 30.3465808728 -37 39 46.915948944|256.7357461961300 +00.6268612135635|   -6.011 6.804   |9.87     |~              |    ~     ~    |    0|                |                         |        |                   
5322|CD-36 4680                                                            |Star                                  |08 29 00.6673275024 -37 04 23.825282196|256.3161321190813 +01.0532950795516|  -9.634 -0.240   |9.50     |~              |    ~     ~    |    1|  771.307   pc  |  -7.4364     +7.4364    |paral   |2020yCat.1350....0G
5323|CD-35 4670                                                            |Star                                  |08 29 10.4019420528 -36 13 12.984493296|255.6435341217891 +01.5791668856668|   -1.911 2.717   |10.51    |~              |    ~     ~    |    1| 1332.800   pc  | -34.4613    +34.4613    |paral   |2020yCat.1350....0G
5324|CD-37 4761                                                            |Star                                  |08 29 17.7472292064 -37 52 02.128254204|256.9927354699171 +00.6338996650856|-18.303 -10.515   |9.66     |~              |    ~     ~    |    1|  244.135   pc  |  -0.7748     +0.7748    |paral   |2020yCat.1350....0G
5325|CD-36 4685                                                            |Star                                  |08 29 20.1018398232 -36 46 56.957725164|256.1183364221166 +01.2761088535657|  -9.417 25.689   |9.85     |~              |    ~     ~    |    1|  548.246   pc  |  -2.9156     +2.9156    |paral   |2020yCat.1350....0G
5326|CD-35 4679                                                            |Double or Multiple Star               |08 29 22.7988029208 -36 23 04.097920128|255.8010476347287 +01.5167047928144|  -12.505 5.603   |9.763    |~              |    ~     ~    |    0|                |                         |        |                   
5327|CD-36 4688                                                            |Spectroscopic Binary                  |08 29 29.1709265712 -36 55 11.304069816|256.2473359299703 +01.2200937467298|   -2.680 3.794   |10.02    |~              |    ~     ~    |    1|  811.425   pc  | -10.4029    +10.4029    |paral   |2020yCat.1350....0G
5328|CD-37 4776                                                            |Star                                  |08 29 57.0294054312 -37 35 22.936810092|256.8439888972068 +00.9016169835606|   -8.129 7.278   |9.17     |~              |    ~     ~    |    1|  796.749   pc  |  -7.8716     +7.8716    |paral   |2020yCat.1350....0G
5329|IRAS 08253-3559                                                       |Star                                  |08 27 17.1604821744 -36 09 07.864512012|255.3659093414792 +01.3096576023471|   -7.120 4.763   |10.98    |M2/3           |    ~     ~    |    1| 2023.472   pc  | -66.7394    +66.7394    |paral   |2020yCat.1350....0G
5330|CD-35 4643                                                            |High Proper Motion Star               |08 27 50.2662142440 -36 14 42.433735236|255.5063140911405 +01.3460591810057| 60.486 -15.404   |9.58     |~              |    ~     ~    |    1|   98.260   pc  |  -0.1149     +0.1149    |paral   |2020yCat.1350....0G
5331|CD-35 4659                                                            |Emission-line Star                    |08 28 35.8988763792 -35 57 41.205508056|255.3655435661241 +01.6363483769669|   -3.536 3.801   |10.18    |A2I            |    ~     ~    |    1| 2872.738   pc  |-134.5177   +134.5177    |paral   |2020yCat.1350....0G
5332|HD 71948                                                              |Star                                  |08 28 46.7215068984 -35 59 19.811614452|255.4091165762508 +01.6499489975984|   -7.505 1.814   |9.64     |A0V            |    ~     ~    |    1|  473.866   pc  |  -4.4012     +4.4012    |paral   |2020yCat.1350....0G
5333|CD-37 4708                                                            |Star                                  |08 26 49.2064285152 -37 25 05.416863492|256.3420316461024 +00.4979547009518|   0.076 -1.662   |10.14    |~              |    ~     ~    |    1|  622.084   pc  |  -5.6887     +5.6887    |paral   |2020yCat.1350....0G
5334|TYC 7147-219-1                                                        |Star                                  |08 27 24.7299937656 -37 18 00.547926048|256.3144157917139 +00.6622936308944|   -4.401 7.128   |10.88    |~              |    ~     ~    |    1|  954.290   pc  | -10.9280    +10.9280    |paral   |2020yCat.1350....0G
5335|TYC 7147-332-1                                                        |Star                                  |08 26 56.7788584728 -37 06 38.298429288|256.1062854051835 +00.6970446945307|   1.493 -6.402   |10.61    |~              |    ~     ~    |    1|  510.751   pc  |  -2.8956     +2.8956    |paral   |2020yCat.1350....0G
5336|TYC 7147-608-1                                                        |Star                                  |08 27 51.6214990200 -37 13 03.067806540|256.2992022067519 +00.7829166431251|     -0.20 4.20   |10.61    |~              |    ~     ~    |    0|                |                         |        |                   
5337|TYC 7147-613-1                                                        |Star                                  |08 26 46.5714313128 -37 14 02.255331768|256.1869897101342 +00.5978261962317|   -9.494 4.670   |10.80    |~              |    ~     ~    |    0|                |                         |        |                   
5338|TYC 7147-786-1                                                        |Star                                  |08 27 51.4875768288 -37 02 44.339705484|256.1592907975076 +00.8827568192086| -11.766 11.026   |10.06    |~              |    ~     ~    |    1|  291.231   pc  |  -5.7590     +5.7590    |paral   |2020yCat.1350....0G
5339|TYC 7147-870-1                                                        |Star                                  |08 27 06.1888016880 -37 00 10.034575236|256.0366996362006 +00.7851895977023|   -2.529 6.173   |10.51    |~              |    ~     ~    |    1|  699.007   pc  |  -5.2770     +5.2770    |paral   |2020yCat.1350....0G
5340|TYC 7147-1021-1                                                       |Star                                  |08 28 08.7877595064 -36 38 44.457037980|255.8680042434767 +01.1629011824272|   -4.611 5.084   |10.96    |~              |    ~     ~    |    1|  610.762   pc  |  -5.6327     +5.6327    |paral   |2020yCat.1350....0G
5341|TYC 7147-1062-1                                                       |Star                                  |08 29 27.0831026472 -36 01 22.629567432|255.5164661575511 +01.7402721426724|   -6.002 4.672   |10.97    |~              |    ~     ~    |    1| 1284.522   pc  | -24.9149    +24.9149    |paral   |2020yCat.1350....0G
5342|TYC 7147-1158-1                                                       |Pulsating Variable                    |08 28 37.8442490088 -35 54 12.433130604|255.3222990364263 +01.6755613723361|   -5.018 4.589   |10.96    |~              |    ~     ~    |    1| 1097.574   pc  | -34.3331    +34.3331    |paral   |2020yCat.1350....0G
5343|TYC 7147-1163-1                                                       |Star                                  |08 27 59.1679423392 -36 40 36.754779792|255.8745842950580 +01.1185884749068|  -11.159 5.795   |10.43    |~              |    ~     ~    |    1|  448.591   pc  |  -2.7569     +2.7569    |paral   |2020yCat.1350....0G
5344|TYC 7147-1168-1                                                       |Star                                  |08 29 35.9652221040 -35 59 56.958912456|255.5147389185184 +01.7784759963472|   -0.344 5.783   |10.96    |~              |    ~     ~    |    0|                |                         |        |                   
5345|TYC 7147-1182-1                                                       |Star                                  |08 29 47.5186088520 -35 57 46.304340768|255.5081969546669 +01.8313143697210|  -8.047 22.352   |10.49    |~              |    ~     ~    |    0|                |                         |        |                   
5346|TYC 7147-1186-1                                                       |Star                                  |08 26 22.0968052848 -36 03 29.261573784|255.1816636814481 +01.2133387360781|   -2.726 0.602   |10.98    |~              |    ~     ~    |    1| 1923.817   pc  | -38.1210    +38.1210    |paral   |2020yCat.1350....0G
5347|TYC 7147-1269-1                                                       |Spectroscopic Binary                  |08 29 31.9182087216 -37 06 50.765123520|256.4100916770843 +01.1135313612942|   -2.807 2.106   |10.76    |~              |    ~     ~    |    1| 1201.779   pc  | -53.0048    +53.0048    |paral   |2020yCat.1350....0G
5348|GSC 07147-01320                                                       |Double or Multiple Star               |08 29 42.7506766248 -35 50 44.458318248|255.4038114353097 +01.8870377971866|   -4.195 1.492   |10.803   |~              |    ~     ~    |    1|  826.993   pc  |  -9.5065     +9.5065    |paral   |2020yCat.1350....0G
5349|TYC 7147-1416-1                                                       |Star                                  |08 29 14.8582886616 -36 19 51.378614940|255.7420340051216 +01.5264817251685| -10.519 10.891   |9.96     |~              |    ~     ~    |    1|  533.333   pc  |  -3.4418     +3.4418    |paral   |2020yCat.1350....0G
5350|TYC 7147-1428-1                                                       |Star                                  |08 28 07.0347943104 -36 02 01.217389164|255.3673785079545 +01.5151846257872|  -5.649 -8.064   |10.70    |~              |    ~     ~    |    1|  394.586   pc  |  -1.8217     +1.8217    |paral   |2020yCat.1350....0G
5351|TYC 7147-1434-1                                                       |High Proper Motion Star               |08 29 40.6038863880 -36 18 56.694335400|255.7804128659913 +01.6054046319388|-22.082 -76.038   |10.96    |~              |    ~     ~    |    1|  125.109   pc  |  -1.0424     +1.0424    |paral   |2020yCat.1350....0G
5352|TYC 7147-1477-1                                                       |Star                                  |08 29 51.6469778928 -36 50 33.375995340|256.2287851911161 +01.3260540878228|   -3.800 5.512   |10.36    |~              |    ~     ~    |    1|  542.623   pc  | -12.7787    +12.7787    |paral   |2020yCat.1350....0G
5353|TYC 7147-1695-1                                                       |Star                                  |08 29 51.9651160992 -36 39 55.655949060|256.0859863998077 +01.4309425953726|   -7.490 7.048   |10.55    |~              |    ~     ~    |    1| 1187.931   pc  | -18.3453    +18.3453    |paral   |2020yCat.1350....0G
5354|TYC 7147-1711-1                                                       |Star                                  |08 29 53.6750629152 -37 03 55.608638040|256.4131519227396 +01.2006356633866|  -4.013 -0.814   |10.79    |~              |    ~     ~    |    1|  828.020   pc  |  -6.8562     +6.8562    |paral   |2020yCat.1350....0G
5355|TYC 7147-1729-1                                                       |Star                                  |08 29 14.8776849408 -36 44 06.369912600|256.0697083086758 +01.2897470924598| -14.163 14.247   |10.42    |~              |    ~     ~    |    1|  417.554   pc  |  -2.0399     +2.0399    |paral   |2020yCat.1350....0G
5356|TYC 7147-1750-1                                                       |Star                                  |08 26 39.8476829088 -36 19 35.208474780|255.4349208333782 +01.1063579576528|  -0.991 -0.254   |10.82    |~              |    ~     ~    |    1| 1013.582   pc  | -14.3829    +14.3829    |paral   |2020yCat.1350....0G
5357|TYC 7147-1796-1                                                       |Star                                  |08 26 30.6406175952 -36 23 23.082971964|255.4685621998394 +01.0444723399332|   -5.605 2.600   |10.79    |~              |    ~     ~    |    0|                |                         |        |                   
5358|TYC 7147-1809-1                                                       |Star                                  |08 26 45.5207433336 -36 51 13.720592880|255.8754342114602 +00.8157096028976|   -5.906 8.676   |10.58    |~              |    ~     ~    |    1|  836.470   pc  |  -7.9064     +7.9064    |paral   |2020yCat.1350....0G
5359|TYC 7147-1826-1                                                       |Star                                  |08 28 39.4292953296 -36 23 00.928884444|255.7151518966525 +01.3992668046205|   3.310 -5.197   |10.95    |~              |    ~     ~    |    1|  749.681   pc  |  -6.7443     +6.7443    |paral   |2020yCat.1350....0G
5360|TYC 7147-1836-1                                                       |Star                                  |08 26 33.8028317136 -36 15 06.868811808|255.3624170295546 +01.1330673972028| -12.547 18.342   |9.73     |~              |    ~     ~    |    1|  304.173   pc  |  -1.3231     +1.3231    |paral   |2020yCat.1350....0G
5361|TYC 7147-1856-1                                                       |Star                                  |08 27 16.9227633336 -36 05 38.467493700|255.3181130254091 +01.3428335111113|   -4.373 3.913   |10.38    |~              |    ~     ~    |    1| 1484.340   pc  | -24.0156    +24.0156    |paral   |2020yCat.1350....0G
5362|TYC 7147-1938-1                                                       |Star                                  |08 29 32.1070802736 -36 26 01.244403672|255.8592312498226 +01.5131417986090|   -3.038 2.255   |10.40    |~              |    ~     ~    |    1| 3089.280   pc  |-133.6111   +133.6111    |paral   |2020yCat.1350....0G
5363|TYC 7147-1955-1                                                       |Star                                  |08 28 05.0036602440 -36 13 29.976951756|255.5188431457756 +01.3980344401575|   -1.628 2.459   |10.32    |~              |    ~     ~    |    1|  811.425   pc  | -19.6865    +19.6865    |paral   |2020yCat.1350....0G
5364|TYC 7147-1973-1                                                       |Star                                  |08 28 31.1694721368 -36 14 50.613393192|255.5883854283546 +01.4563576265518|   -6.727 4.273   |10.52    |~              |    ~     ~    |    1|  977.422   pc  | -17.8651    +17.8651    |paral   |2020yCat.1350....0G
5365|TYC 7147-1995-1                                                       |Star                                  |08 26 40.0702111848 -36 21 29.702156832|255.4612603449984 +01.0885107129531|   -6.164 8.794   |10.37    |~              |    ~     ~    |    1|  746.826   pc  |  -8.8682     +8.8682    |paral   |2020yCat.1350....0G
5366|TYC 7147-2007-1                                                       |Star                                  |08 26 19.7209341264 -36 10 35.949313776|255.2736371488175 +01.1381295535442|   -7.076 7.471   |10.99    |~              |    ~     ~    |    1| 1205.691   pc  | -17.5897    +17.5897    |paral   |2020yCat.1350....0G
5367|TYC 7147-2018-1                                                       |Star                                  |08 26 21.2992689792 -36 27 47.971578780|255.5103599191056 +00.9762936966798|  -10.031 4.071   |10.96    |~              |    ~     ~    |    1|  533.476   pc  |  -4.0128     +4.0128    |paral   |2020yCat.1350....0G
5368|TYC 7147-2035-1                                                       |Star                                  |08 28 17.1068777376 -36 17 52.243305504|255.6017582708853 +01.3885468320788|   -9.259 6.674   |10.41    |~              |    ~     ~    |    1|  757.289   pc  | -10.3801    +10.3801    |paral   |2020yCat.1350....0G
5369|TYC 7147-2055-1                                                       |Star                                  |08 27 50.9374262160 -36 11 07.473336324|255.4590923497262 +01.3826910359601| -14.574 11.660   |10.77    |~              |    ~     ~    |    1|  285.608   pc  |  -0.8402     +0.8402    |paral   |2020yCat.1350....0G
5370|TYC 7661-674-1                                                        |Spectroscopic Binary                  |08 27 14.3346478608 -37 55 51.720488724|256.8075319915031 +00.2672724998756| -15.640 14.605   |9.86     |~              |    ~     ~    |    1|  371.485   pc  |  -1.5870     +1.5870    |paral   |2020yCat.1350....0G
5371|TYC 7661-740-1                                                        |Star                                  |08 27 19.9537870992 -38 07 57.963275112|256.9823321716095 +00.1648904397576|   -3.951 4.179   |10.86    |~              |    ~     ~    |    1| 1474.057   pc  | -22.8149    +22.8149    |paral   |2020yCat.1350....0G
5372|TYC 7661-786-1                                                        |Star                                  |08 28 30.6837925512 -37 52 54.434149284|256.9138983624860 +00.4998970652772|   -3.263 4.998   |10.10    |~              |    ~     ~    |    1|  649.899   pc  | -44.8134    +44.8134    |paral   |2020yCat.1350....0G
5373|TYC 7661-1354-1                                                       |Star                                  |08 27 11.1653116296 -37 42 05.339646612|256.6147411996116 +00.3923128770895|   -6.009 4.357   |10.51    |~              |    ~     ~    |    1|  509.762   pc  |  -4.0798     +4.0798    |paral   |2020yCat.1350....0G
5374|TYC 7661-1602-1                                                       |Spectroscopic Binary                  |08 28 23.7968648640 -37 47 42.776137896|256.8304013690925 +00.5321002016499|   -9.519 5.863   |10.91    |~              |    ~     ~    |    1|  878.117   pc  | -14.9591    +14.9591    |paral   |2020yCat.1350....0G
5375|TYC 7661-1912-1                                                       |Star                                  |08 29 51.4507034832 -37 34 10.827014628|256.8169536642834 +00.8984788066080| -27.758 13.535   |10.87    |~              |    ~     ~    |    1|  194.492   pc  |  -0.4274     +0.4274    |paral   |2020yCat.1350....0G
5376|TYC 7661-1988-1                                                       |Star                                  |08 27 25.2176010408 -38 04 49.156386816|256.9497306107574 +00.2094505893545|  -10.245 6.371   |10.94    |~              |    ~     ~    |    1|  472.634   pc  |  -3.1050     +3.1050    |paral   |2020yCat.1350....0G
5377|TYC 7661-2182-1                                                       |Star                                  |08 29 31.9207276728 -37 55 50.284333920|257.0714036825850 +00.6344728434304| -19.947 15.320   |10.44    |~              |    ~     ~    |    1|  405.252   pc  |  -5.1240     +5.1240    |paral   |2020yCat.1350....0G
5378|TYC 7661-2390-1                                                       |Star                                  |08 27 38.4358371648 -37 44 17.003338440|256.6968022586415 +00.4441052634457|  -12.185 3.720   |10.58    |~              |    ~     ~    |    1|  538.039   pc  |  -3.3870     +3.3870    |paral   |2020yCat.1350....0G
5379|TYC 7661-2432-1                                                       |Star                                  |08 29 15.8387918520 -38 06 57.705493320|257.1906127652507 +00.4829863515000|   -0.464 2.444   |10.89    |~              |    ~     ~    |    1| 1176.056   pc  | -15.9057    +15.9057    |paral   |2020yCat.1350....0G
5380|TYC 7661-2528-1                                                       |Star                                  |08 28 41.2465878024 -37 34 29.612459928|256.6852720351761 +00.7075796613644|   -5.112 3.470   |9.99     |~              |    ~     ~    |    1|  494.756   pc  |  -2.7416     +2.7416    |paral   |2020yCat.1350....0G
5381|TYC 7661-2613-1                                                       |Star                                  |08 28 56.6258792664 -38 24 39.378818808|257.3927892847896 +00.2592706035995|   -8.417 0.749   |10.76    |~              |    ~     ~    |    1|  518.780   pc  |  -6.2977     +6.2977    |paral   |2020yCat.1350....0G
5382|TYC 7661-2796-1                                                       |Star                                  |08 29 12.9825733200 -37 36 21.625310556|256.7718485505313 +00.7743092287183| -18.577 17.035   |10.87    |~              |    ~     ~    |    1|  371.554   pc  |  -1.7671     +1.7671    |paral   |2020yCat.1350....0G
5383|TYC 7661-3008-1                                                       |Spectroscopic Binary                  |08 28 33.6008855976 -37 30 48.105247104|256.6205827349044 +00.7230676222535|   -5.729 9.165   |10.81    |~              |    ~     ~    |    1| 1349.164   pc  | -32.0363    +32.0363    |paral   |2020yCat.1350....0G
5384|GSC 07661-03067                                                       |Double or Multiple Star               |08 29 51.8224625928 -38 24 34.214065452|257.4973303939430 +00.4060706171264|   2.321 -0.731   |10.824   |~              |    ~     ~    |    1|  701.262   pc  |  -6.7372     +6.7372    |paral   |2020yCat.1350....0G
5385|2MASS J08273571-3745018                                               |Young Stellar Object                  |08 27 35.7092607216 -37 45 01.824664932|256.7016883735649 +00.4295504574950|   -6.878 6.525   |9.82     |~              |    ~     ~    |    1|  475.240   pc  |  -4.1783     +4.1783    |paral   |2020yCat.1350....0G
5386|TYC 7661-3174-1                                                       |Spectroscopic Binary                  |08 27 43.8386263104 -37 52 04.294150788|256.8126575991860 +00.3829216408523|  -5.942 17.243   |10.10    |~              |    ~     ~    |    1|  447.267   pc  |  -2.0405     +2.0405    |paral   |2020yCat.1350....0G
5387|TYC 7661-3334-1                                                       |Star                                  |08 28 15.7211836944 -37 37 00.106030848|256.6699442203929 +00.6147681584733| -27.993 26.325   |10.10    |~              |    ~     ~    |    1|  379.809   pc  |  -1.6878     +1.6878    |paral   |2020yCat.1350....0G
5388|TYC 7661-3758-1                                                       |Star                                  |08 29 45.3463642800 -38 14 35.540737152|257.3503093678235 +00.4866268811585|    6.589 2.536   |10.67    |~              |    ~     ~    |    1|  861.326   pc  |  -7.6414     +7.6414    |paral   |2020yCat.1350....0G
5389|TYC 7661-4006-1                                                       |Star                                  |08 27 46.8542926584 -38 13 51.078522576|257.1133818188782 +00.1793756439134|   -4.261 6.876   |10.71    |~              |    ~     ~    |    1| 1215.805   pc  | -15.2253    +15.2253    |paral   |2020yCat.1350....0G
5390|TYC 7661-4073-1                                                       |Spectroscopic Binary                  |08 26 15.9642002208 -38 12 52.859663064|256.9272791946303 -00.0533132649663|   13.568 3.854   |10.80    |~              |    ~     ~    |    1|  303.693   pc  |  -1.0145     +1.0145    |paral   |2020yCat.1350....0G
5391|TYC 7661-4086-1                                                       |Star                                  |08 29 36.4673260488 -38 13 13.198558260|257.3147301753418 +00.4765318032862|   -8.935 7.170   |10.75    |~              |    ~     ~    |    1|  639.959   pc  |  -5.8975     +5.8975    |paral   |2020yCat.1350....0G
5392|HD 71914                                                              |Star                                  |08 28 28.1564874360 -38 45 19.043323848|257.6178235153334 -00.0173808953255|  -8.117 11.979   |9.53     |B9V            |    ~     ~    |    1|  573.592   pc  | -10.9889    +10.9889    |paral   |2020yCat.1350....0G
5393|HD 72087                                                              |Young Stellar Object                  |08 29 30.8196998280 -38 36 55.882498536|257.6238904667546 +00.2296740733219|   -6.828 9.812   |9.26     |A0V            |    ~     ~    |    1|  364.657   pc  |  -2.6329     +2.6329    |paral   |2020yCat.1350....0G
5394|V* AS Vel                                                             |Eclipsing Binary                      |08 28 18.1753393608 -38 58 19.319261808|257.7747991524535 -00.1703024434347|   -7.953 5.576   |8.67     |A6V            |    ~     ~    |    1|  172.488   pc  |  -0.4284     +0.4284    |paral   |2020yCat.1350....0G
