C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:21:03

dec >=0&rah >=1.0&rah< 1.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4690

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
2477|HD 7013                                                                                                  |Star                                |01 10 35.2537269912 +11 08 50.686508184|130.4809778317806 -51.4434294004983|  -9.856 -7.972    |8.55     |K2                  |    ~     ~    |    1|  416.077   pc  |  -4.8474     +4.8474  |paral   |2020yCat.1350....0G
2478|HD 7141                                                                                                  |Star                                |01 11 49.1646240240 +11 28 03.391936392|130.8972822287655 -51.0886488537985|    5.965 2.841    |8.70     |G5                  |    ~     ~    |    1|  690.417   pc  |  -9.6288     +9.6288  |paral   |2020yCat.1350....0G
2479|HD 7161                                                                                                  |Star                                |01 12 00.5779882128 +11 11 14.945093484|131.0278550311442 -51.3605991274319|  19.780 -0.583    |9.54     |F8                  |    ~     ~    |    1|  186.940   pc  |  -3.4597     +3.4597  |paral   |2020yCat.1350....0G
2480|BD+10 140                                                                                                |High Proper Motion Star             |01 12 02.6037468696 +11 27 57.746657376|130.9842609849248 -51.0832609223620| -0.432 -68.125    |10.64    |K0                  |    ~     ~    |    1|  242.919   pc  |  -1.0091     +1.0091  |paral   |2020yCat.1350....0G
2481|HD 7274                                                                                                  |Star                                |01 13 06.0358649904 +11 44 57.092563788|131.3331068699188 -50.7688527238656|   -8.140 3.266    |8.32     |K                   |    ~     ~    |    1|  987.459   pc  | -25.3520    +25.3520  |paral   |2020yCat.1350....0G
2482|HD 7275                                                                                                  |High Proper Motion Star             |01 13 08.8816432683 +11 40 57.834599336|131.3653049705143 -50.8331776401251|  67.426 -9.761    |7.87     |G0                  |    ~     ~    |    1|   62.5958  pc  |  -2.2612     +2.2612  |paral   |2018yCat.1345....0G
2483|BD+10 145                                                                                                |Star                                |01 13 13.3461950424 +11 00 53.912706660|131.5373163758550 -51.4924163004639| 27.855 -12.226    |10.49    |A2                  |    ~     ~    |    1|  417.781   pc  | -19.1820    +19.1820  |paral   |2020yCat.1350....0G
2484|HD 7353                                                                                                  |Star                                |01 13 49.5669152304 +10 59 59.591450220|131.7763100406598 -51.4869876195464| 22.583 -10.855    |9.40     |A5V                 |    ~     ~    |    1|  368.868   pc  | -10.8306    +10.8306  |paral   |2020yCat.1350....0G
2485|HD 7394                                                                                                  |High Proper Motion Star             |01 14 12.4206832080 +11 31 46.384756212|131.8057643585324 -50.9494692476439| 85.679 -29.967    |9.27     |F0                  |    ~     ~    |    1|  149.332   pc  |  -1.7372     +1.7372  |paral   |2020yCat.1350....0G
2486|BD+10 150                                                                                                |Star                                |01 14 10.3736894808 +11 13 31.228708368|131.8606312481241 -51.2518375528958|  -1.685 -4.539    |10.86    |A5                  |    ~     ~    |    1|  556.266   pc  |  -6.7147     +6.7147  |paral   |2020yCat.1350....0G
2487|TYC 615-1047-1                                                                                           |Star                                |01 10 38.3153393880 +12 06 09.570832020|130.3215107547122 -50.4933943292367|   3.439 -3.085    |10.35    |~                   |    ~     ~    |    1| 1226.693   pc  | -28.1393    +28.1393  |paral   |2020yCat.1350....0G
2488|TYC 615-1159-1                                                                                           |Star                                |01 08 39.4190305632 +12 06 56.120189544|129.5622317055759 -50.5343528673334|   7.586 -2.035    |10.57    |~                   |    ~     ~    |    1|  738.171   pc  | -10.4620    +10.4620  |paral   |2020yCat.1350....0G
2489|TYC 615-1195-1                                                                                           |Star                                |01 09 33.3119963712 +12 29 07.877084712|129.8417559629993 -50.1429990316981|  6.585 -23.435    |10.30    |~                   |    ~     ~    |    1|   97.116   pc  |  -0.1368     +0.1368  |paral   |2020yCat.1350....0G
2490|TYC 615-1220-1                                                                                           |Star                                |01 09 41.0302748256 +10 45 36.218742408|130.1989057654909 -51.8540532817911| 39.029 -26.282    |10.36    |~                   |    ~     ~    |    1|  342.959   pc  |  -2.8464     +2.8464  |paral   |2020yCat.1350....0G
2491|TYC 615-1373-1                                                                                           |Star                                |01 08 55.1185062600 +11 35 16.645620552|129.7518233315736 -51.0521671699391| 21.358 -12.605    |10.35    |~                   |    ~     ~    |    1|  171.327   pc  |  -0.6751     +0.6751  |paral   |2020yCat.1350....0G
2492|TYC 616-144-1                                                                                            |High Proper Motion Star             |01 13 16.6680878016 +11 05 44.035176516|131.5413622501764 -51.4107287396606|-29.438 -47.195    |10.23    |~                   |    ~     ~    |    1|  163.811   pc  |  -0.4803     +0.4803  |paral   |2020yCat.1350....0G
2493|TYC 616-160-1                                                                                            |Star                                |01 14 36.0973567848 +11 08 08.051479152|132.0474723687948 -51.3257372283511| -6.110 -21.298    |9.72     |~                   |    ~     ~    |    1|  591.646   pc  |  -7.5610     +7.5610  |paral   |2020yCat.1350....0G
2494|TYC 616-1035-1                                                                                           |High Proper Motion Star             |01 11 38.0037633600 +11 31 04.242799308|130.8153260764922 -51.0445137849107|-19.179 -55.473    |9.81     |~                   |    ~     ~    |    1|   73.099   pc  |  -0.1272     +0.1272  |paral   |2020yCat.1350....0G
2495|TYC 616-1065-1                                                                                           |Star                                |01 12 52.2894841752 +11 23 35.693839680|131.3197575900412 -51.1290944019978|  24.003 -6.424    |10.05    |~                   |    ~     ~    |    1|  314.495   pc  | -21.7991    +21.7991  |paral   |2020yCat.1350....0G
2496|TYC 616-1158-1                                                                                           |Star                                |01 12 33.7980074448 +10 47 19.027230648|131.3279157430704 -51.7384118370180|  1.710 -10.689    |10.80    |~                   |    ~     ~    |    1|  664.982   pc  |  -6.8099     +6.8099  |paral   |2020yCat.1350....0G
2497|TYC 618-82-1                                                                                             |Star                                |01 08 02.7340697808 +12 39 53.531685324|129.2416628768626 -50.0033025951146| 18.915 -27.235    |10.10    |~                   |    ~     ~    |    1|  527.232   pc  |  -4.9479     +4.9479  |paral   |2020yCat.1350....0G
2498|TYC 618-1081-1                                                                                           |Star                                |01 08 37.7966438760 +13 21 02.319428736|129.3531292016343 -49.3066381558590|  30.980 -9.280    |10.88    |~                   |    ~     ~    |    1|  425.985   pc  |  -2.8127     +2.8127  |paral   |2020yCat.1350....0G
2499|TYC 618-1252-1                                                                                           |Star                                |01 11 13.8111926208 +12 35 01.722948432|130.4568893550777 -49.9985324102775|-26.542 -29.004    |10.84    |~                   |    ~     ~    |    1|  315.110   pc  | -11.5777    +11.5777  |paral   |2020yCat.1350....0G
2500|TYC 619-570-1                                                                                            |Star                                |01 13 55.1945288040 +12 33 44.444591208|131.4731686197779 -49.9361908193170|   9.507 -5.904    |10.86    |~                   |    ~     ~    |    1|  448.129   pc  |  -3.6750     +3.6750  |paral   |2020yCat.1350....0G
2501|TYC 619-872-1                                                                                            |Star                                |01 14 25.6664137128 +13 19 53.283607248|131.5010712418342 -49.1573893134914| -5.096 -30.393    |10.72    |~                   |    ~     ~    |    1|  290.951   pc  |  -1.4984     +1.4984  |paral   |2020yCat.1350....0G
2502|HD 6601                                                                                                  |High Proper Motion Star             |01 06 54.6372057864 +13 35 24.548295300|128.6807609431570 -49.1088081479561|-48.735 -48.668    |9.59     |G5                  |    ~     ~    |    1|   70.941   pc  |  -0.5486     +0.5486  |paral   |2020yCat.1350....0G
2503|HD 6010                                                                                                  |Star                                |01 01 36.4653713688 +16 02 59.428680576|126.4991516977220 -46.7514546174870| 28.978 -13.175    |10.11    |A2                  |    ~     ~    |    1|  301.187   pc  |  -9.2074     +9.2074  |paral   |2020yCat.1350....0G
2504|BD+15 152                                                                                                |Star                                |01 01 39.7440076848 +15 52 20.250226740|126.5333414757731 -46.9279465425559|-10.747 -10.260    |10.25    |K0                  |    ~     ~    |    1|  784.314   pc  | -11.2572    +11.2572  |paral   |2020yCat.1350....0G
2505|HD 6185                                                                                                  |High Proper Motion Star             |01 03 01.7546929440 +16 08 06.189548208|126.9884101710966 -46.6453779751706|  4.597 -90.503    |8.560    |K0                  |    ~     ~    |    1|  437.752   pc  |  -6.0937     +6.0937  |paral   |2020yCat.1350....0G
2506|BD+15 162                                                                                                |Star                                |01 07 02.0174584104 +15 53 51.679808196|128.4146600243580 -46.8079661413652|    8.666 5.187    |10.27    |G5                  |    ~     ~    |    1|  215.137   pc  |  -1.0738     +1.0738  |paral   |2020yCat.1350....0G
2507|BD+15 163                                                                                                |Star                                |01 07 20.9756935104 +15 57 53.193966588|128.5163780571953 -46.7343673458712| -3.904 -14.798    |10.34    |K0                  |    ~     ~    |    1|  776.880   pc  | -10.9241    +10.9241  |paral   |2020yCat.1350....0G
2508|BD+14 151                                                                                                |Star                                |01 00 40.3340404704 +14 53 05.420480172|126.2625504294701 -47.9271820151549| -6.945 -17.229    |10.60    |K2                  |    ~     ~    |    1|  420.539   pc  |  -3.3956     +3.3956  |paral   |2020yCat.1350....0G
2509|TYC 1189-1432-1                                                                                          |Star                                |01 00 49.5457550496 +15 24 03.317495184|126.2763515489988 -47.4098548222331| 46.153 -19.430    |10.61    |G0                  |    ~     ~    |    1|  209.284   pc  |  -3.7668     +3.7668  |paral   |2020yCat.1350....0G
2510|BD+14 155                                                                                                |High Proper Motion Star             |01 01 18.2884971744 +15 36 27.442719180|126.4294758931856 -47.1971071517405| 77.158 -12.603    |10.20    |G0                  |    ~     ~    |    1|  166.055   pc  |  -1.9909     +1.9909  |paral   |2020yCat.1350....0G
2511|BD+14 157                                                                                                |Star                                |01 02 19.1178442728 +15 37 49.477301616|126.7859740397332 -47.1598980196560|    8.412 1.357    |10.20    |K0                  |    ~     ~    |    1|  724.323   pc  |  -8.2369     +8.2369  |paral   |2020yCat.1350....0G
2512|HD 6302                                                                                                  |High Proper Motion Star             |01 04 07.7040895104 +15 13 38.849257056|127.4683518431839 -47.5324784706816| 116.840 -0.167    |8.74     |G8V                 |    ~     ~    |    1|  110.870   pc  |  -0.2225     +0.2225  |paral   |2020yCat.1350....0G
2513|* 72 Psc                                                                                                 |Spectroscopic Binary                |01 05 05.3559353208 +14 56 46.085860824|127.8434534824894 -47.7953843457461|   8.735 53.512    |5.631    |F4V((Sr))           |    ~     ~    |    1|   52.795   pc  |  -0.1876     +0.1876  |paral   |2020yCat.1350....0G
2514|HD 6410                                                                                                  |Star                                |01 05 10.4937773448 +15 20 34.410831288|127.8276308586985 -47.3982329531868|-22.886 -12.018    |9.51     |F5III               |    ~     ~    |    1|  245.881   pc  |  -1.6082     +1.6082  |paral   |2020yCat.1350....0G
2515|HD 6440                                                                                                  |Double or Multiple Star             |01 05 29.91505 +15 23 24.2355          |127.93693318 -47.34499452          |   8.85 -195.16    |9.17     |K3.5V+K8V           |0.102  0.0     |    0|                |                       |        |                   
2516|HD 6463                                                                                                  |Star                                |01 05 48.8578619832 +14 58 55.081385904|128.0988275017046 -47.7454999265394| 23.744 -21.794    |9.03     |K2III               |    ~     ~    |    1|  566.251   pc  |  -8.7535     +8.7535  |paral   |2020yCat.1350....0G
2517|HD 6478                                                                                                  |High Proper Motion Star             |01 05 56.5748347488 +15 22 56.783266212|128.0953859842209 -47.3438334095203| 28.403 -76.982    |7.20     |F2V                 |    ~     ~    |    1|  114.551   pc  |  -5.0231     +5.0231  |paral   |2020yCat.1350....0G
2518|HD 6590                                                                                                  |Star                                |01 06 51.1687395168 +15 44 26.921982372|128.3714784541618 -46.9680629594554|    0.033 2.976    |10.03    |kA1hA7mA7SrCrEu     |    ~     ~    |    1|  643.211   pc  | -15.9282    +15.9282  |paral   |2020yCat.1350....0G
2519|HD 6176                                                                                                  |Star                                |01 02 56.1136778328 +14 38 58.036898292|127.1002725156680 -48.1292177328350| -15.544 -1.590    |9.47     |F5                  |    ~     ~    |    1|  224.502   pc  |  -1.0887     +1.0887  |paral   |2020yCat.1350....0G
2520|HD 6361                                                                                                  |Star                                |01 04 44.2074224664 +14 41 17.657658456|127.7467462972389 -48.0591430844975|  23.760 26.130    |9.59     |G5                  |    ~     ~    |    1|  245.224   pc  |  -1.1065     +1.1065  |paral   |2020yCat.1350....0G
2521|HD 5987                                                                                                  |High Proper Motion Star             |01 01 16.5465847008 +14 00 32.472579780|126.5555823364731 -48.7934970789804| 94.925 -46.176    |9.73     |G0                  |    ~     ~    |    1|   93.278   pc  |  -0.1740     +0.1740  |paral   |2020yCat.1350....0G
2522|HD 6100                                                                                                  |Star                                |01 02 21.1876326000 +14 10 04.463202756|126.9360101419014 -48.6189619665254| 10.069 -10.854    |9.60     |K5                  |    ~     ~    |    1|  661.026   pc  |  -9.2635     +9.2635  |paral   |2020yCat.1350....0G
2523|HD 6151                                                                                                  |Star                                |01 02 46.7166044520 +13 53 09.002294700|127.1202466947839 -48.8936661996378|   9.383 18.051    |9.37     |G5                  |    ~     ~    |    1|  496.179   pc  | -10.7094    +10.7094  |paral   |2020yCat.1350....0G
2524|HD 6276                                                                                                  |Star                                |01 03 51.1894082880 +13 56 13.886550960|127.5101409816195 -48.8241627524335|   5.739 -1.693    |8.72     |K0                  |    ~     ~    |    1|  379.032   pc  |  -3.7640     +3.7640  |paral   |2020yCat.1350....0G
2525|HD 6291                                                                                                  |Star                                |01 04 02.5677673704 +13 59 07.849642380|127.5743907667724 -48.7725796121228|   3.859 -6.238    |9.31     |K5                  |    ~     ~    |    1|  770.297   pc  | -12.2825    +12.2825  |paral   |2020yCat.1350....0G
2526|HD 6362                                                                                                  |Star                                |01 04 42.5676445248 +14 14 01.482166716|127.7897609438596 -48.5127823730992|-17.843 -10.424    |9.68     |G5                  |    ~     ~    |    1|  119.350   pc  |  -0.3219     +0.3219  |paral   |2020yCat.1350....0G
2527|HD 6441                                                                                                  |Star                                |01 05 23.4368910408 +14 06 29.176631352|128.0536346670656 -48.6248400667665|   14.918 2.822    |8.79     |K0                  |    ~     ~    |    1|  258.652   pc  |  -1.3313     +1.3313  |paral   |2020yCat.1350....0G
2528|HD 6566                                                                                                  |High Proper Motion Star             |01 06 36.5224605168 +13 53 04.589770416|128.5289207583958 -48.8222022061638| 51.663 -39.104    |7.22     |F6V                 |    ~     ~    |    1|   58.078   pc  |  -0.1039     +0.1039  |paral   |2020yCat.1350....0G
2529|HD 6119                                                                                                  |Star                                |01 02 34.1301538896 +14 15 07.181527284|127.0066375477496 -48.5316687089259|  -0.505 -8.893    |8.88     |G5                  |    ~     ~    |    1|  429.535   pc  |  -3.5609     +3.5609  |paral   |2020yCat.1350....0G
2530|TYC 611-125-1                                                                                            |High Proper Motion Star             |01 00 26.0160884352 +14 12 56.400619140|126.2293628960068 -48.5984775759959|  55.339 24.953    |10.64    |~                   |    ~     ~    |    1|  240.171   pc  |  -1.2517     +1.2517  |paral   |2020yCat.1350....0G
2531|TYC 611-1094-1                                                                                           |Star                                |01 00 04.6687383096 +13 39 37.088381016|126.1422289982514 -49.1575827095210|   15.564 1.357    |10.63    |~                   |    ~     ~    |    1|  303.232   pc  |  -1.4896     +1.4896  |paral   |2020yCat.1350....0G
2532|TYC 618-35-1                                                                                             |Star                                |01 04 26.2696133712 +14 24 56.920927104|127.6698247243809 -48.3363091475874|  8.500 -10.830    |10.49    |~                   |    ~     ~    |    1|  382.673   pc  |  -6.6483     +6.6483  |paral   |2020yCat.1350....0G
2533|TYC 618-55-1                                                                                             |Star                                |01 02 00.0756232008 +14 43 59.563945920|126.7547676192220 -48.0601120527683|  41.022 21.106    |10.71    |~                   |    ~     ~    |    1|  218.469   pc  |  -0.9307     +0.9307  |paral   |2020yCat.1350....0G
2534|TYC 618-213-1                                                                                            |High Proper Motion Star             |01 05 21.0751528032 +14 57 56.050195824|127.9350246814588 -47.7709743164920| 14.303 -47.613    |10.82    |~                   |    ~     ~    |    1|  292.963   pc  |  -1.5191     +1.5191  |paral   |2020yCat.1350....0G
2535|TYC 618-341-1                                                                                            |Star                                |01 05 10.2544781304 +14 31 38.104307112|127.9225851170020 -48.2113771687603| -4.532 -30.676    |10.61    |~                   |    ~     ~    |    1|  322.591   pc  |  -2.1021     +2.1021  |paral   |2020yCat.1350....0G
2536|TYC 618-385-1                                                                                            |Spectroscopic Binary                |01 03 40.5413303424 +14 41 57.952895856|127.3626093479180 -48.0670085686647|  12.253 -3.106    |10.36    |~                   |    ~     ~    |    1| 1982.554   pc  |-114.3781   +114.3781  |paral   |2020yCat.1350....0G
2537|TYC 618-452-1                                                                                            |High Proper Motion Star             |01 03 24.5544673104 +14 53 37.379733036|127.2462829950541 -47.8777221519502|117.348 -23.588    |10.97    |~                   |    ~     ~    |    1|  173.738   pc  |  -0.9901     +0.9901  |paral   |2020yCat.1350....0G
2538|TYC 618-540-1                                                                                            |Star                                |01 05 12.2986900824 +14 52 57.837579924|127.8924419005719 -47.8563720040638| -10.859 21.334    |10.66    |~                   |    ~     ~    |    1|  132.403   pc  |  -0.2998     +0.2998  |paral   |2020yCat.1350....0G
2539|TYC 618-565-1                                                                                            |Star                                |01 01 46.5398733744 +14 18 52.016613156|126.7112401726242 -48.4814242551679|  39.099 -5.259    |10.05    |~                   |    ~     ~    |    1|  490.340   pc  | -16.4457    +16.4457  |paral   |2020yCat.1350....0G
2540|TYC 618-591-1                                                                                            |Star                                |01 05 30.1118102448 +14 13 31.834136352|128.0796714541537 -48.5056167399952|   3.018 -3.876    |10.75    |~                   |    ~     ~    |    1|  138.408   pc  |  -0.3295     +0.3295  |paral   |2020yCat.1350....0G
2541|TYC 1189-511-1                                                                                           |Star                                |01 03 07.8565366128 +16 01 55.122995100|127.0338525529373 -46.7466184348470|  -4.479 -7.318    |10.21    |~                   |    ~     ~    |    1|  216.277   pc  |  -1.0150     +1.0150  |paral   |2020yCat.1350....0G
2542|TYC 1189-625-1                                                                                           |Star                                |01 03 54.6535626792 +16 10 05.493797580|127.2926686598192 -46.5979183646940|  3.927 -11.225    |10.31    |~                   |    ~     ~    |    1|  952.290   pc  | -18.2278    +18.2278  |paral   |2020yCat.1350....0G
2543|TYC 1196-342-1                                                                                           |Star                                |01 04 53.8690815168 +16 06 49.709277864|127.6425887430413 -46.6347918613635|-10.251 -28.415    |10.70    |~                   |    ~     ~    |    1|  115.164   pc  |  -0.3130     +0.3130  |paral   |2020yCat.1350....0G
2544|TYC 1196-395-1                                                                                           |Star                                |01 06 48.2333509080 +15 08 05.801036100|128.4327609852645 -47.5726162512539|   5.307 -8.212    |10.81    |~                   |    ~     ~    |    1|  234.373   pc  |  -1.0382     +1.0382  |paral   |2020yCat.1350....0G
2545|HD 6689                                                                                                  |Star                                |01 07 46.0692833040 +13 40 32.824820136|128.9848511199179 -49.0039478657699|-46.906 -13.793    |9.76     |G5                  |    ~     ~    |    1|  225.922   pc  |  -1.0157     +1.0157  |paral   |2020yCat.1350....0G
2546|HD 6739                                                                                                  |Star                                |01 08 11.1564194256 +13 41 30.575375700|129.1364978343082 -48.9780507363994|  14.392 -1.323    |9.18     |K5                  |    ~     ~    |    1|  774.413   pc  | -17.1519    +17.1519  |paral   |2020yCat.1350....0G
2547|BD+12 145                                                                                                |Star                                |01 12 25.6752660576 +13 27 02.588058972|130.7403655176079 -49.1025318470355|  10.911 -3.994    |9.85     |F0                  |    ~     ~    |    1|  214.661   pc  |  -0.9815     +0.9815  |paral   |2020yCat.1350....0G
2548|HD 6697                                                                                                  |High Proper Motion Star             |01 07 51.5778594744 +15 51 47.616054372|128.7082686663174 -46.8242576181158|-86.262 -37.221    |8.00     |G5III               |    ~     ~    |    1|   62.650   pc  |  -0.0962     +0.0962  |paral   |2020yCat.1350....0G
2549|HD 6774                                                                                                  |Star                                |01 08 33.7712377224 +15 47 24.776859264|128.9646321329174 -46.8808415712883|  3.566 -21.845    |8.54     |K0                  |    ~     ~    |    1|  297.681   pc  |  -2.2597     +2.2597  |paral   |2020yCat.1350....0G
2550|HD 6732                                                                                                  |Star                                |01 08 11.7054449640 +15 07 33.245874372|128.9294205977666 -47.5506130284803| 45.839 -10.115    |8.53     |K0                  |    ~     ~    |    1|  347.319   pc  |  -3.6792     +3.6792  |paral   |2020yCat.1350....0G
2551|BD+13 166                                                                                                |Star                                |01 07 39.5588179152 +14 29 45.637263996|128.8268108533983 -48.1899829635130|   13.195 0.765    |10.17    |G5                  |    ~     ~    |    1|  137.244   pc  |  -0.3485     +0.3485  |paral   |2020yCat.1350....0G
2552|HD 6786                                                                                                  |Star                                |01 08 39.5504055024 +14 40 57.194201280|129.1601027070356 -47.9808287218324| 19.249 -10.457    |9.96     |G5                  |    ~     ~    |    1|  306.523   pc  |  -3.0066     +3.0066  |paral   |2020yCat.1350....0G
2553|HD 6802                                                                                                  |Star                                |01 08 50.2253472312 +14 19 55.844789556|129.2771883581348 -48.3250890731623|-28.222 -29.746    |10.58    |G5                  |    ~     ~    |    1|  249.153   pc  |  -1.3719     +1.3719  |paral   |2020yCat.1350....0G
2554|HD 6704                                                                                                  |Star                                |01 07 55.4659351704 +13 48 06.552946368|129.0238823063020 -48.8748194832029|  -5.090 -4.062    |9.44     |G5                  |    ~     ~    |    0|                |                       |        |                   
2555|HD 6759                                                                                                  |Star                                |01 08 27.7068793917 +13 58 06.240448183|129.1959023361114 -48.6961856393772| 39.774 -10.825    |10.12    |F8                  |    ~     ~    |    0|                |                       |        |                   
2556|BD+15 178                                                                                                |Star                                |01 14 16.6705667112 +15 57 51.078008304|130.9275877309754 -46.5526682311353|  25.452 11.663    |10.70    |F8                  |    ~     ~    |    1|  403.226   pc  |  -3.3331     +3.3331  |paral   |2020yCat.1350....0G
2557|HD 6966                                                                                                  |Star                                |01 10 11.4416369160 +15 40 26.078129148|129.5524905182546 -46.9566304463944| 22.137 -21.947    |6.043    |M0III               |    ~     ~    |    1|  204.570   pc  |  -1.7074     +1.7074  |paral   |2020yCat.1350....0G
2558|HD 6990                                                                                                  |Star                                |01 10 29.6756082408 +15 40 04.922411376|129.6599657198166 -46.9546142482249| -22.916 -7.551    |9.28     |K5                  |    ~     ~    |    1|  512.059   pc  |  -6.8960     +6.8960  |paral   |2020yCat.1350....0G
2559|HD 7021                                                                                                  |Variable Star                       |01 10 48.8476342968 +15 24 47.364189480|129.8132625444966 -47.1995366941119| -16.964 -2.194    |9.23     |A2                  |    ~     ~    |    1|  181.726   pc  |  -0.8223     +0.8223  |paral   |2020yCat.1350....0G
2560|BD+14 179                                                                                                |Star                                |01 10 54.2415733992 +15 06 13.910511456|129.8958285928626 -47.5045007672703|  9.947 -10.466    |10.93    |G5                  |    ~     ~    |    1|  227.041   pc  |  -2.4021     +2.4021  |paral   |2020yCat.1350....0G
2561|BD+14 182                                                                                                |Star                                |01 11 02.2721191920 +15 20 38.757491664|129.9035133140465 -47.2621615013225| -2.263 -10.863    |9.94     |K0                  |    ~     ~    |    1|  718.597   pc  | -11.8768    +11.8768  |paral   |2020yCat.1350....0G
2562|HD 7183                                                                                                  |Star                                |01 12 15.9287885640 +15 15 26.828045172|130.3517656716066 -47.3140150737154| -1.706 -14.825    |9.70     |F5                  |    ~     ~    |    1|  258.826   pc  |  -1.9092     +1.9092  |paral   |2020yCat.1350....0G
2563|HD 7216                                                                                                  |Star                                |01 12 42.8007465672 +15 33 58.381837704|130.4548416729438 -46.9945253593505|  19.318 -4.866    |9.84     |F8                  |    ~     ~    |    1|  303.518   pc  |  -1.6398     +1.6398  |paral   |2020yCat.1350....0G
2564|BD+14 189                                                                                                |Star                                |01 13 30.6839737296 +15 22 58.861258788|130.7682052080045 -47.1525971691423|  10.216 -1.799    |10.11    |G5                  |    ~     ~    |    1|  292.509   pc  |  -1.6171     +1.6171  |paral   |2020yCat.1350....0G
2565|HD 7076                                                                                                  |Star                                |01 11 16.2385241952 +14 41 30.248837484|130.0959578837267 -47.9039464641283|-18.087 -19.563    |7.940    |K0                  |    ~     ~    |    1|  285.152   pc  |  -1.9027     +1.9027  |paral   |2020yCat.1350....0G
2566|HD 7131                                                                                                  |Star                                |01 11 47.3506090872 +14 31 29.157342420|130.3111181483490 -48.0551782754321|  19.071 13.061    |10.26    |G5                  |    ~     ~    |    1|  257.632   pc  |  -2.0111     +2.0111  |paral   |2020yCat.1350....0G
2567|HD 7288                                                                                                  |Star                                |01 13 14.2819727400 +14 32 21.950523276|130.8287813754741 -47.9977759525739| -1.681 -16.484    |9.59     |K0                  |    ~     ~    |    1|  981.740   pc  | -21.3003    +21.3003  |paral   |2020yCat.1350....0G
2568|HD 7462                                                                                                  |Star                                |01 14 51.0979776480 +14 38 30.908903712|131.3863210374311 -47.8451106893868| -0.395 -26.785    |9.29     |G0                  |    ~     ~    |    1|  226.321   pc  |  -1.3881     +1.3881  |paral   |2020yCat.1350....0G
2569|BD+13 174                                                                                                |High Proper Motion Star             |01 11 15.5012455392 +14 11 39.619953168|130.1774601995322 -48.3983712890550|-32.226 -42.615    |10.79    |F8                  |    ~     ~    |    1|  269.295   pc  |  -4.4237     +4.4237  |paral   |2020yCat.1350....0G
2570|HD 7132                                                                                                  |Star                                |01 11 45.6771575688 +13 52 36.171295284|130.4168719444640 -48.6994473954542|  -9.368 -2.354    |8.570    |F0                  |    ~     ~    |    1|  235.139   pc  |  -1.2606     +1.2606  |paral   |2020yCat.1350....0G
2571|HD 7192                                                                                                  |High Proper Motion Star             |01 12 22.9881646512 +14 14 06.427905252|130.5775043194220 -48.3254508015570|  94.554 30.473    |10.16    |K                   |    ~     ~    |    1|   80.285   pc  |  -2.6518     +2.6518  |paral   |2020yCat.1350....0G
2572|HD 7309                                                                                                  |Star                                |01 13 29.8472751072 +13 50 50.479124460|131.0557745137069 -48.6761225477635|   18.810 2.982    |8.47     |F0                  |    ~     ~    |    1|  208.290   pc  |  -1.9783     +1.9783  |paral   |2020yCat.1350....0G
2573|BD+13 185                                                                                                |Star                                |01 13 38.7826731528 +13 55 53.006257452|131.0934870697395 -48.5881055342556|   29.171 3.417    |9.54     |K0                  |    ~     ~    |    1|  570.386   pc  |  -6.1815     +6.1815  |paral   |2020yCat.1350....0G
2574|TYC 618-275-1                                                                                            |Star                                |01 07 48.9169760184 +14 46 19.021090368|128.8439430396982 -47.9117114153524| -0.846 -15.055    |10.45    |~                   |    ~     ~    |    1|  817.194   pc  | -13.2226    +13.2226  |paral   |2020yCat.1350....0G
2575|TYC 618-602-1                                                                                            |Star                                |01 07 57.3599170176 +13 45 13.996019736|129.0425871711856 -48.9217775793170|  -3.362 -3.565    |10.87    |~                   |    ~     ~    |    1|  831.463   pc  | -17.1450    +17.1450  |paral   |2020yCat.1350....0G
2576|TYC 618-832-1                                                                                            |Star                                |01 08 04.2657439128 +14 36 46.694044296|128.9586770654665 -48.0640425035405|  6.508 -10.009    |10.97    |~                   |    ~     ~    |    1|  289.343   pc  |  -1.6828     +1.6828  |paral   |2020yCat.1350....0G
2577|TYC 618-1066-1                                                                                           |High Proper Motion Star             |01 10 49.6255465584 +14 47 26.651416992|129.9204265939397 -47.8177414029253| 143.340 -4.067    |10.63    |~                   |    ~     ~    |    1|  128.687   pc  |  -0.2732     +0.2732  |paral   |2020yCat.1350....0G
2578|TYC 618-1384-1                                                                                           |Star                                |01 10 42.2594301696 +13 38 08.649037932|130.0723101805110 -48.9687157923766|  0.732 -14.076    |10.67    |~                   |    ~     ~    |    1|  280.230   pc  |  -7.9550     +7.9550  |paral   |2020yCat.1350....0G
2579|TYC 619-13-1                                                                                             |Star                                |01 13 57.6132514368 +14 52 56.799740172|131.0213387045839 -47.6352373549865|  11.947 -0.028    |10.83    |~                   |    ~     ~    |    1|  460.320   pc  |  -4.5557     +4.5557  |paral   |2020yCat.1350....0G
