C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:21:03

dec >=0&rah >=1.0&rah< 1.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4690

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
50  |BD+44 213                                                                                                |Star                                |01 00 33.5838811224 +45 15 13.391122464|124.6158183040274 -17.5882016079070|  -7.346 -0.926    |9.31     |F2                  |    ~     ~    |    1|  290.867   pc  |  -1.6751     +1.6751  |paral   |2020yCat.1350....0G
51  |IRAS 01002+4609                                                                                          |Long-Period Variable Candidate      |01 03 08.6394961272 +46 25 29.246721312|125.0342975314612 -16.3991661712829|  14.398 -4.250    |9.73     |~                   |    ~     ~    |    1| 1316.66    pc  | -51.314     +51.314   |paral   |2020yCat.1350....0G
52  |LSPM J0101+4635S                                                                                         |High Proper Motion Star             |01 01 46.4548212960 +46 35 14.915166036|124.7813945102903 -16.2471497358310|44.376 -164.030    |9.41     |~                   |    ~     ~    |    1|   55.218   pc  |  -0.0558     +0.0558  |paral   |2020yCat.1350....0G
53  |HD 5983                                                                                                  |Star                                |01 01 49.1553386496 +44 06 21.943290276|124.8993892956214 -18.7259904775298| 22.229 -10.114    |8.69     |A2                  |    ~     ~    |    1|  257.705   pc  |  -1.5673     +1.5673  |paral   |2020yCat.1350....0G
54  |HD 6337                                                                                                  |Star                                |01 05 04.8383750040 +44 00 50.289040296|125.5222092937769 -18.7891523420484|-13.866 -14.380    |8.72     |A2                  |    ~     ~    |    1|  181.442   pc  |  -0.8428     +0.8428  |paral   |2020yCat.1350....0G
55  |BD+43 217                                                                                                |Double or Multiple Star             |01 05 11.352 +43 53 59.30              |125.549596 -18.902038              |     16.2 -23.0    |9.55     |G5                  |    ~     ~    |    0|                |                       |        |                   
56  |BD+43 230                                                                                                |Spectroscopic Binary                |01 07 28.3925446968 +44 05 19.861058724|125.9705177211917 -18.6882700472411|  10.263 11.220    |9.41     |F8                  |    ~     ~    |    1|  316.847   pc  |  -4.8088     +4.8088  |paral   |2020yCat.1350....0G
57  |HD 6201                                                                                                  |Pulsating Variable                  |01 03 41.3346608928 +44 03 58.975716096|125.2554839082952 -18.7500874444074|  -2.892 -4.462    |8.60     |F5                  |    ~     ~    |    0|                |                       |        |                   
58  |TYC 2811-9-1                                                                                             |Star                                |01 03 48.5719690800 +44 04 43.240167372|125.2776783615293 -18.7367141512163|   1.061 -5.014    |10.25    |~                   |    ~     ~    |    1| 1739.736   pc  | -52.6642    +52.6642  |paral   |2020yCat.1350....0G
59  |TYC 2811-19-1                                                                                            |Star                                |01 04 27.8497764864 +44 11 56.202816192|125.3948815607230 -18.6104991355135|   2.560 -4.793    |10.52    |~                   |    ~     ~    |    1|  489.620   pc  |  -4.5309     +4.5309  |paral   |2020yCat.1350....0G
60  |TYC 2811-76-1                                                                                            |Star                                |01 02 35.6320456104 +44 59 59.165726820|125.0031474144319 -17.8271098571102|  -5.199 -0.970    |10.68    |~                   |    ~     ~    |    1| 1402.918   pc  | -39.3636    +39.3636  |paral   |2020yCat.1350....0G
61  |TYC 2811-80-1                                                                                            |Star                                |01 03 56.7410985840 +44 51 20.392746588|125.2615952884394 -17.9594976214359|  -5.565 -4.046    |9.78     |~                   |    ~     ~    |    1| 1265.022   pc  | -26.4046    +26.4046  |paral   |2020yCat.1350....0G
62  |TYC 2811-116-1                                                                                           |Star                                |01 00 57.3010390032 +44 39 16.323181380|124.7131878644650 -18.1842950319201|   -7.620 2.688    |10.13    |~                   |    ~     ~    |    1|  272.509   pc  |  -1.1511     +1.1511  |paral   |2020yCat.1350....0G
63  |TYC 2811-120-1                                                                                           |Star                                |01 08 18.2904119400 +44 39 19.317911832|126.0866247513227 -18.1130409969509|  13.816 -7.154    |9.68     |~                   |    ~     ~    |    1|  501.404   pc  | -15.6374    +15.6374  |paral   |2020yCat.1350....0G
64  |TYC 2811-157-1                                                                                           |Star                                |01 08 19.3740970320 +44 08 58.998022620|126.1267720732200 -18.6172581021379|  -0.078 -2.251    |9.92     |~                   |    ~     ~    |    1|  715.205   pc  |  -7.7751     +7.7751  |paral   |2020yCat.1350....0G
65  |TYC 2811-269-1                                                                                           |Star                                |01 06 04.2164849760 +44 15 42.145317504|125.6941614025940 -18.5315484390864|   -2.646 0.030    |9.95     |~                   |    ~     ~    |    1|  259.781   pc  |  -1.0798     +1.0798  |paral   |2020yCat.1350....0G
66  |TYC 2811-322-1                                                                                           |Star                                |01 04 02.8667675040 +44 56 12.647741676|125.2762016313836 -17.8774960101516|  36.735 -1.641    |10.65    |~                   |    ~     ~    |    1|  266.014   pc  |  -1.0615     +1.0615  |paral   |2020yCat.1350....0G
67  |TYC 2811-337-1                                                                                           |Star                                |01 06 51.8509219680 +43 51 09.498845304|125.8710889438240 -18.9310559582742|  -4.963 -8.834    |10.10    |~                   |    ~     ~    |    1|  663.570   pc  |  -7.4855     +7.4855  |paral   |2020yCat.1350....0G
68  |TYC 2811-374-1                                                                                           |Star                                |01 01 29.4162717480 +44 46 46.381744668|124.8078988108149 -18.0555783427795|  43.864 -9.356    |9.64     |~                   |    ~     ~    |    1|  135.969   pc  |  -0.3013     +0.3013  |paral   |2020yCat.1350....0G
69  |TYC 2811-428-1                                                                                           |Star                                |01 09 43.3793073696 +44 55 22.210122612|126.3303097022010 -17.8282234376215|  -24.315 8.898    |10.57    |~                   |    ~     ~    |    1|  202.630   pc  |  -1.2728     +1.2728  |paral   |2020yCat.1350....0G
70  |[DCO2008] T-And0-00745                                                                                   |Eclipsing Binary                    |01 03 45.0762692256 +44 50 41.163765144|125.2259980596614 -17.9721254967931|  -4.661 -4.424    |10.83    |~                   |    ~     ~    |    1|  876.117   pc  | -15.0446    +15.0446  |paral   |2020yCat.1350....0G
71  |TYC 2811-505-1                                                                                           |High Proper Motion Star             |01 03 59.1123367608 +44 08 06.710381124|125.3078823580407 -18.6786582626702|   68.095 8.884    |9.95     |~                   |    ~     ~    |    1|  216.319   pc  |  -0.7768     +0.7768  |paral   |2020yCat.1350....0G
72  |TYC 2811-728-1                                                                                           |Star                                |01 03 02.6422797936 +44 47 54.805613460|125.0966633733889 -18.0244023651344|   -2.458 0.025    |10.95    |~                   |    ~     ~    |    1| 1218.918   pc  | -20.5035    +20.5035  |paral   |2020yCat.1350....0G
73  |TYC 2811-738-1                                                                                           |Star                                |01 07 12.0191292912 +44 46 28.355764692|125.8723454075651 -18.0071934038693|  -0.832 -3.742    |10.22    |~                   |    ~     ~    |    1|  695.362   pc  |  -8.5101     +8.5101  |paral   |2020yCat.1350....0G
74  |TYC 2811-764-1                                                                                           |Star                                |01 06 39.2571308304 +44 32 31.908240132|125.7858411895598 -18.2452155449000|-16.148 -26.445    |10.63    |~                   |    ~     ~    |    1|  310.405   pc  |  -1.4742     +1.4742  |paral   |2020yCat.1350....0G
