C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:58

dec< 0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2350

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
51  |CD-43 414                                                                                                |Star                                |01 23 30.3649254576 -42 45 13.060759860|282.3434146162388 -73.0690616471319|  32.355 24.872   |10.51    |~                 |    ~     ~    |    1|  245.318   pc  | -10.5900    +10.5900  |ST-L    |2020AJ....160...83S
52  |CD-41 360                                                                                                |Star                                |01 23 39.1665713832 -40 42 29.069581428|278.9027494796880 -74.8817913585214|   -6.751 6.970   |10.699   |~                 |    ~     ~    |    1|  405.860   pc  | -13.3100    +13.3100  |ST-L    |2020AJ....160...83S
53  |CD-43 432                                                                                                |Star                                |01 25 31.4521266792 -42 35 35.491307820|280.9578457399871 -73.0502103794569|    3.430 9.242   |10.843   |~                 |    ~     ~    |    1|  269.385   pc  |  -4.1010     +4.1010  |ST-L    |2020AJ....160...83S
54  |CD-42 502                                                                                                |Eruptive Variable                   |01 26 25.3951483944 -41 27 48.940022700|278.5634785459293 -73.9679888211482|-27.969 -49.685   |10.30    |~                 |    ~     ~    |    1|  280.186   pc  | -13.5700    +13.5700  |ST-L    |2020AJ....160...83S
55  |CD-42 516                                                                                                |Star                                |01 28 20.4236 -41 27 38.080            |277.4382250 -73.7907815            |    24.80 18.70   |10.62    |~                 |    ~     ~    |    0|                |                       |        |                   
56  |CD-41 398                                                                                                |Star                                |01 29 54.8900747880 -40 32 48.364097388|274.7446761633740 -74.4063664726829|  0.867 -11.172   |10.163   |~                 |    ~     ~    |    1|  508.623   pc  | -13.5800    +13.5800  |ST-L    |2020AJ....160...83S
57  |CD-42 490                                                                                                |Star                                |01 24 09.9843207528 -41 23 00.283290864|279.7800816787105 -74.2407488035167|   10.465 0.644   |10.330   |~                 |    ~     ~    |    1|  650.816   pc  | -21.4900    +21.4900  |ST-L    |2020AJ....160...83S
58  |CD-41 365                                                                                                |Star                                |01 25 09.2468156760 -40 49 30.239841432|278.1731468352626 -74.6415315747671|   -2.765 1.694   |10.18    |~                 |    ~     ~    |    1|  751.089   pc  |  -6.9389     +6.9389  |paral   |2020yCat.1350....0G
59  |CD-42 510                                                                                                |Star                                |01 27 22.5315679392 -42 12 18.928474632|279.2908412610175 -73.2335660563154|  36.567 10.771   |10.52    |~                 |    ~     ~    |    1|  309.349   pc  |  -7.6079     +7.6079  |paral   |2020yCat.1350....0G
60  |HD 8807                                                                                                  |Star                                |01 26 02.5716769704 -42 52 04.279910772|281.0912277439154 -72.7621570542306|  23.158 -6.821   |9.61     |G8III/IV          |    ~     ~    |    0|                |                       |        |                   
61  |CD-43 409                                                                                                |High Proper Motion Star             |01 22 24.6775130664 -43 01 37.597578924|283.3561480667537 -72.9041340849029| 49.981 -37.592   |10.520   |~                 |    ~     ~    |    1|  216.714   pc  |  -2.4890     +2.4890  |ST-L    |2020AJ....160...83S
62  |TYC 7537-962-1                                                                                           |Star                                |01 19 19.7724355824 -40 49 45.729141816|281.9406824423595 -75.1418590740417|  11.052 -1.209   |10.82    |~                 |    ~     ~    |    1|  418.375   pc  |  -2.4680     +2.4680  |paral   |2020yCat.1350....0G
