C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:35:42

dec >=0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3354

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |TYC 4655-874-1                                                                                                                              |High Proper Motion Star             |16 25 38.7299755896 +87 32 26.074781304|120.6793620602996 +28.5713566223550|  19.170 46.568   |10.89    |~              |    ~     ~    |    1|  226.572   pc  |  -0.6212     +0.6212  |paral   |2020yCat.1350....0G
33  |HD 148386                                                                                                                                   |High Proper Motion Star             |16 18 32.7249459984 +77 32 55.296343068|111.0954167437023 +34.3319230649117| 26.587 -46.126   |7.48     |K0             |    ~     ~    |    1|  349.211   pc  |  -1.6463     +1.6463  |paral   |2020yCat.1350....0G
34  |BD+77 625                                                                                                                                   |Star                                |16 22 42.3081806040 +77 07 50.149884252|110.5194342111049 +34.3558444630329|  -2.368 43.668   |9.79     |F8             |    ~     ~    |    1|  149.330   pc  |  -0.2721     +0.2721  |paral   |2020yCat.1350....0G
35  |BD+76 609                                                                                                                                   |Star                                |16 26 19.5867034080 +76 29 18.090249432|109.7203439383347 +34.4996662702678|    9.850 8.589   |9.21     |F8             |    ~     ~    |    1|  187.227   pc  |  -0.4837     +0.4837  |paral   |2020yCat.1350....0G
36  |BD+76 609B                                                                                                                                  |Star                                |16 26 15.665016 +76 29 29.02020        |109.725830673 +34.501495015        |      10.5 12.3   |10.60    |~              |    ~     ~    |    0|                |                       |        |                   
37  |BD+76 611                                                                                                                                   |Star                                |16 27 27.0834326904 +76 41 20.001319404|109.8933604315589 +34.3444302308490|  -6.517 18.179   |8.50     |K0             |    ~     ~    |    1|  351.050   pc  |  -2.0087     +2.0087  |paral   |2020yCat.1350....0G
38  |BD+77 626                                                                                                                                   |Star                                |16 29 43.6498700424 +77 22 37.375889268|110.5436950201884 +33.8972134075818|    2.626 2.605   |10.48    |K0             |    ~     ~    |    1|  550.903   pc  |  -3.7937     +3.7937  |paral   |2020yCat.1350....0G
39  |TYC 4567-422-1                                                                                                                              |Star                                |16 26 19.1562501480 +76 40 23.391452712|109.9156005254266 +34.4089411236965|   4.019 -2.356   |10.33    |~              |    ~     ~    |    1|  379.881   pc  |  -1.6307     +1.6307  |paral   |2020yCat.1350....0G
40  |TYC 4567-822-1                                                                                                                              |Star                                |16 24 51.5013536832 +76 29 02.025098520|109.7671678848496 +34.5763993687766|  -11.938 9.195   |10.19    |~              |    ~     ~    |    1|  229.880   pc  |  -0.8085     +0.8085  |paral   |2020yCat.1350....0G
41  |HD 149444                                                                                                                                   |Star                                |16 22 17.4577003536 +80 43 31.526607468|114.1895409281075 +32.4740019737228|   4.694 -1.935   |8.89     |A0             |    ~     ~    |    1|  450.958   pc  |  -3.0911     +3.0911  |paral   |2020yCat.1350....0G
42  |BD+80 509                                                                                                                                   |Double or Multiple Star             |16 20 13.93762 +80 02 33.3557          |113.56484293 +32.91814351          |    22.36 24.31   |9.18     |F8             |    ~     ~    |    0|                |                       |        |                   
43  |HD 149502                                                                                                                                   |Spectroscopic Binary                |16 23 09.3733004232 +80 21 04.919513868|113.7933373931156 +32.6462615459802| -17.835 36.354   |7.73     |G5             |    ~     ~    |    1|  240.177   pc  |  -2.4862     +2.4862  |paral   |2020yCat.1350....0G
44  |BD+80 514                                                                                                                                   |Star                                |16 29 06.9939260136 +80 10 23.447388432|113.4563059416220 +32.5253569465082| -15.653 21.531   |9.14     |G5             |    ~     ~    |    1|  447.989   pc  |  -2.2478     +2.2478  |paral   |2020yCat.1350....0G
45  |BD+80 515                                                                                                                                   |Star                                |16 29 37.9203277776 +80 15 14.716536804|113.5253946880697 +32.4651055284896|   -2.426 3.210   |9.90     |F5             |    ~     ~    |    1|  213.192   pc  |  -1.3908     +1.3908  |paral   |2020yCat.1350....0G
46  |BD+80 508                                                                                                                                   |Star                                |16 19 30.7980482712 +79 42 36.772761672|113.2533500598041 +33.1261468461676|  20.118 28.197   |9.46     |F5             |    ~     ~    |    1|  133.729   pc  |  -0.2343     +0.2343  |paral   |2020yCat.1350....0G
47  |BD+79 493                                                                                                                                   |Star                                |16 17 34.8123230016 +79 13 36.318587556|112.8274340666315 +33.4649610063211|-31.162 -16.935   |9.07     |G5             |    ~     ~    |    1|  166.828   pc  |  -0.2755     +0.2755  |paral   |2020yCat.1350....0G
48  |BD+79 495                                                                                                                                   |Star                                |16 20 25.3542600744 +78 53 09.314084616|112.3963587821240 +33.5367089898409| -7.122 -13.052   |8.22     |K5             |    ~     ~    |    1|  625.313   pc  |  -6.6082     +6.6082  |paral   |2020yCat.1350....0G
49  |BD+79 496                                                                                                                                   |Star                                |16 20 08.8867771320 +79 12 11.585543904|112.7253844411303 +33.3770400322528|   -3.172 5.486   |8.82     |G0             |    ~     ~    |    1|  227.004   pc  |  -0.6029     +0.6029  |paral   |2020yCat.1350....0G
50  |BD+79 497                                                                                                                                   |Star                                |16 24 19.7426536152 +79 30 41.636443320|112.9142887368311 +33.0493902017842|   0.000 37.204   |9.43     |F8             |    ~     ~    |    1|  167.358   pc  |  -0.3053     +0.3053  |paral   |2020yCat.1350....0G
51  |BD+79 499                                                                                                                                   |Emission-line Star                  |16 25 23.8656421920 +79 15 52.966844712|112.6324291692813 +33.1365436096664|  -0.884 -4.157   |9.36     |B5             |    ~     ~    |    1| 2754.062   pc  |-218.4439   +218.4439  |paral   |2020yCat.1350....0G
52  |TYC 4571-353-1                                                                                                                              |Star                                |16 18 31.0518492984 +78 23 09.264582996|111.9501973275543 +33.8846639615100|    8.694 2.429   |10.86    |F0             |    ~     ~    |    1|  356.392   pc  |  -2.7943     +2.7943  |paral   |2020yCat.1350....0G
53  |BD+78 556                                                                                                                                   |Spectroscopic Binary                |16 26 06.3881427696 +78 07 14.047134924|111.4349470602811 +33.6944187382279| -24.498 35.157   |9.76     |F8             |    ~     ~    |    1|  234.055   pc  |  -3.2869     +3.2869  |paral   |2020yCat.1350....0G
54  |V* UW UMi                                                                                                                                   |Long-Period Variable                |16 25 59.6009452224 +78 27 49.708824804|111.7931911094141 +33.5246246188792|   6.654 -7.894   |8.89     |M2             |    ~     ~    |    1| 1325.030   pc  | -66.0145    +66.0145  |paral   |2020yCat.1350....0G
55  |BD+77 622                                                                                                                                   |High Proper Motion Star             |16 18 03.5895713496 +77 38 55.523994864|111.2147279145018 +34.3005944679976|-33.673 -44.966   |10.17    |~              |    ~     ~    |    1|  138.702   pc  |  -0.3040     +0.3040  |paral   |2020yCat.1350....0G
56  |TYC 4571-225-1                                                                                                                              |Star                                |16 16 20.8444596576 +78 12 29.171852100|111.8421276262712 +34.0735885156745| -15.878 -3.394   |9.58     |~              |    ~     ~    |    1|  888.573   pc  |  -9.1589     +9.1589  |paral   |2020yCat.1350....0G
57  |TYC 4571-233-1                                                                                                                              |Star                                |16 17 34.7449758888 +77 50 58.696584036|111.4363733391970 +34.2143173099623|    3.748 4.790   |10.54    |~              |    ~     ~    |    1| 1858.736   pc  | -52.1690    +52.1690  |paral   |2020yCat.1350....0G
58  |TYC 4571-356-1                                                                                                                              |Star                                |16 18 07.7105263008 +78 40 25.580501148|112.2541446425684 +33.7451344186647| -10.212 -5.115   |9.99     |~              |    ~     ~    |    1|  289.788   pc  |  -0.9070     +0.9070  |paral   |2020yCat.1350....0G
59  |TYC 4571-359-1                                                                                                                              |Star                                |16 18 42.1655921448 +78 07 18.411166632|111.6756395317575 +34.0187620337037|   -8.925 2.410   |10.36    |~              |    ~     ~    |    1| 1294.666   pc  | -25.6452    +25.6452  |paral   |2020yCat.1350....0G
60  |TYC 4571-462-1                                                                                                                              |High Proper Motion Star             |16 15 01.5983045664 +78 32 01.208645988|112.2142998148660 +33.9501010034598|-69.367 -16.814   |10.63    |~              |    ~     ~    |    1|   82.042   pc  |  -0.1319     +0.1319  |paral   |2020yCat.1350....0G
61  |TYC 4571-630-1                                                                                                                              |Star                                |16 22 42.7151229240 +78 31 56.618234004|111.9652351871626 +33.6291043235688|  -9.600 37.968   |10.58    |~              |    ~     ~    |    1|  108.476   pc  |  -0.1483     +0.1483  |paral   |2020yCat.1350....0G
62  |TYC 4571-636-1                                                                                                                              |Star                                |16 28 39.8655585816 +78 38 05.446084380|111.8895070072159 +33.3237135915321|  -8.530 19.926   |10.80    |~              |    ~     ~    |    1|  399.680   pc  |  -1.8051     +1.8051  |paral   |2020yCat.1350....0G
63  |GSC 04571-00724                                                                                                                             |Double or Multiple Star             |16 27 08.8340966496 +78 43 35.060272032|112.0290944129362 +33.3417203598286|      7.5 -13.9   |10.408   |~              |    ~     ~    |    0|                |                       |        |                   
64  |TYC 4571-1011-1                                                                                                                             |High Proper Motion Star             |16 23 23.2212340560 +77 54 33.466098348|111.3034705730244 +33.9238342761885| -42.558 48.957   |10.70    |~              |    ~     ~    |    1|   81.006   pc  |  -0.0774     +0.0774  |paral   |2020yCat.1350....0G
65  |TYC 4571-1038-1                                                                                                                             |Star                                |16 22 06.0968387664 +78 08 12.749478000|111.5794500498504 +33.8625239515437|   2.705 -3.322   |10.93    |~              |    ~     ~    |    1|  931.446   pc  |  -9.3700     +9.3700  |paral   |2020yCat.1350....0G
66  |TYC 4575-52-1                                                                                                                               |Star                                |16 16 45.3263520528 +78 48 38.996978940|112.4362113869666 +33.7263810764228|  3.911 -14.873   |10.09    |~              |    ~     ~    |    1| 1153.270   pc  | -12.6353    +12.6353  |paral   |2020yCat.1350....0G
67  |TYC 4575-69-1                                                                                                                               |Star                                |16 20 51.0119517312 +78 50 29.232545136|112.3380326892601 +33.5430550155753| -15.822 -9.606   |10.89    |~              |    ~     ~    |    1|  281.033   pc  |  -0.7345     +0.7345  |paral   |2020yCat.1350....0G
68  |TYC 4575-84-1                                                                                                                               |Star                                |16 19 20.9527153032 +78 54 50.528514312|112.4581549081288 +33.5651174620029|   -0.119 2.930   |10.24    |~              |    ~     ~    |    1|  541.829   pc  |  -3.6110     +3.6110  |paral   |2020yCat.1350....0G
69  |TYC 4575-117-1                                                                                                                              |Star                                |16 20 30.1496732784 +79 24 23.937355656|112.9196817393359 +33.2533809896006|  -2.457 -7.910   |10.82    |~              |    ~     ~    |    1| 1395.673   pc  | -26.1019    +26.1019  |paral   |2020yCat.1350....0G
70  |TYC 4575-150-1                                                                                                                              |Star                                |16 25 06.3802759200 +79 23 32.649584388|112.7709418054105 +33.0815400441781|   3.207 -5.553   |10.39    |~              |    ~     ~    |    1| 1331.026   pc  | -18.7793    +18.7793  |paral   |2020yCat.1350....0G
71  |TYC 4575-169-1                                                                                                                              |Star                                |16 21 17.4666533184 +79 58 19.042451652|113.4644649675451 +32.9180124258067|  -8.911 -6.242   |10.95    |~              |    ~     ~    |    1|  994.233   pc  | -12.4551    +12.4551  |paral   |2020yCat.1350....0G
72  |TYC 4575-176-1                                                                                                                              |Star                                |16 19 33.8947374912 +79 22 40.105938936|112.9186382163649 +33.3052741674512|   5.684 17.882   |10.94    |~              |    ~     ~    |    1|  878.812   pc  |  -9.6539     +9.6539  |paral   |2020yCat.1350....0G
73  |TYC 4575-206-1                                                                                                                              |Star                                |16 24 09.7955175096 +80 06 26.091428472|113.5210337412421 +32.7406194506356|  9.223 -10.002   |10.83    |~              |    ~     ~    |    1|  385.594   pc  |  -1.6206     +1.6206  |paral   |2020yCat.1350....0G
74  |TYC 4575-248-1                                                                                                                              |Star                                |16 24 41.0947704024 +79 52 30.061875648|113.2724194509197 +32.8443787697231|   9.919 -9.212   |10.79    |~              |    ~     ~    |    1|  923.361   pc  |  -8.8670     +8.8670  |paral   |2020yCat.1350....0G
75  |TYC 4575-323-1                                                                                                                              |Star                                |16 26 06.9430041408 +79 36 29.022447816|112.9618800748515 +32.9299364437817|    0.123 5.125   |10.61    |~              |    ~     ~    |    1|  318.786   pc  |  -1.2297     +1.2297  |paral   |2020yCat.1350....0G
76  |TYC 4575-349-1                                                                                                                              |Star                                |16 23 21.3741485304 +79 42 08.704189476|113.1351484608355 +32.9857244994734|   1.405 -4.696   |9.92     |~              |    ~     ~    |    1|  656.168   pc  |  -5.6833     +5.6833  |paral   |2020yCat.1350....0G
77  |TYC 4575-444-1                                                                                                                              |Star                                |16 22 09.6876701352 +80 26 20.795393580|113.9076534579640 +32.6338481664350|  5.603 -17.271   |10.93    |~              |    ~     ~    |    1|  423.872   pc  |  -2.3357     +2.3357  |paral   |2020yCat.1350....0G
78  |TYC 4575-758-1                                                                                                                              |Star                                |16 27 47.8804437000 +80 15 29.292820524|113.5769007777115 +32.5295318859394| -18.482 32.206   |10.83    |~              |    ~     ~    |    0|                |                       |        |                   
