C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:35:42

dec >=0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3354

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1647|BD+11 2992                                                                                                                                  |Star                                |16 28 31.2815050752 +11 15 25.993055340|026.6664215053710 +36.7788292216241| -10.412 -7.708   |10.17    |G5             |    ~     ~    |    1|  610.352   pc  |  -6.3702     +6.3702  |paral   |2020yCat.1350....0G
1648|BD+11 2994                                                                                                                                  |Star                                |16 28 59.7343212264 +10 49 32.935976040|026.2449626017655 +36.4868295101728| 13.027 -15.229   |8.58     |K0             |    ~     ~    |    1|  349.430   pc  |  -2.2955     +2.2955  |paral   |2020yCat.1350....0G
1649|BD+11 2995                                                                                                                                  |Star                                |16 29 04.6280922624 +10 54 13.990960800|026.3432301505844 +36.5028084853189| -0.978 -12.764   |10.01    |K2             |    ~     ~    |    1|  577.934   pc  |  -4.8431     +4.8431  |paral   |2020yCat.1350....0G
1650|BD+11 2996                                                                                                                                  |Star                                |16 29 13.8089737272 +11 33 03.880996488|027.0908224819577 +36.7483504170362|   7.393 10.581   |9.28     |A5             |    ~     ~    |    1|  285.739   pc  |  -1.4207     +1.4207  |paral   |2020yCat.1350....0G
1651|BD+10 2993                                                                                                                                  |High Proper Motion Star             |16 23 02.1018701232 +10 25 53.189375484|024.9941147161885 +37.6288273739643|-32.775 -118.535  |10.18    |K0             |    ~     ~    |    1|  227.873   pc  |  -0.7218     +0.7218  |paral   |2020yCat.1350....0G
1652|BD+10 2999                                                                                                                                  |High Proper Motion Star             |16 25 06.9113302224 +10 38 16.101673620|025.5117937704874 +37.2613162163915| -50.631 18.935   |9.06     |K0             |    ~     ~    |    1|  210.788   pc  |  -0.7864     +0.7864  |paral   |2020yCat.1350....0G
1653|BD+10 3002                                                                                                                                  |Star                                |16 26 17.2971652416 +10 29 14.070906312|025.5015635751336 +36.9361660434921|-16.033 -25.740   |8.54     |K0             |    ~     ~    |    1|  415.973   pc  |  -5.7620     +5.7620  |paral   |2020yCat.1350....0G
1654|BD+10 3003                                                                                                                                  |High Proper Motion Star             |16 26 38.6175026880 +10 30 19.165529772|025.5700087080056 +36.8657325559662|-43.945 -36.351   |9.84     |F8             |    ~     ~    |    1|  146.875   pc  |  -0.4142     +0.4142  |paral   |2020yCat.1350....0G
1655|AG+10 1930                                                                                                                                  |Star                                |16 29 25.3670098674 +10 35 44.476509002|026.0448224912925 +36.2918576162577| -1.191 -10.561   |9.35     |G5             |    ~     ~    |    1|  228.702   pc  |  -3.0964     +3.0964  |paral   |2020yCat.1350....0G
1656|HD 148683                                                                                                                                   |Star                                |16 29 25.0632933144 +10 35 31.324464348|026.0400719583085 +36.2913748978529|  -1.116 -8.856   |7.60     |G5III          |    ~     ~    |    1|  242.142   pc  |  -1.1785     +1.1785  |paral   |2020yCat.1350....0G
1657|NGC 6132                           NGC 6132                                                                                                 |Radio Galaxy                        |16 23 38.8442100048 +11 47 10.589536248|026.6214188795391 +38.0842367847055|            ~ ~   |     ~   |~              |0.793 0.270    |    1|   63.68    Mpc |  -3.73       +3.73    |T-F     |2020ApJ...902..145K
1658|TYC 950-85-1                                                                                                                                |Star                                |16 20 13.9276707888 +10 53 31.876857672|025.1326165700258 +38.4501650096670| 16.568 -21.695   |10.87    |~              |    ~     ~    |    1|  301.187   pc  |  -1.8506     +1.8506  |paral   |2020yCat.1350....0G
1659|TYC 950-313-1                                                                                                                               |Star                                |16 19 48.1882598112 +10 36 06.997516092|024.7407906154140 +38.4164315177913|   7.887 -0.055   |10.75    |~              |    ~     ~    |    1|  330.655   pc  |  -1.5088     +1.5088  |paral   |2020yCat.1350....0G
1660|TYC 950-477-1                                                                                                                               |Star                                |16 19 26.5595073624 +10 42 35.696257524|024.8142983401372 +38.5436735637564|  -6.458 -1.314   |10.85    |~              |    ~     ~    |    1| 1605.910   pc  | -41.0052    +41.0052  |paral   |2020yCat.1350....0G
1661|TYC 954-21-1                                                                                                                                |Star                                |16 20 20.2570637928 +12 36 51.094770012|027.1417238549356 +39.1678940931628|  -9.302 14.200   |10.95    |~              |    ~     ~    |    1|  532.141   pc  |  -4.2193     +4.2193  |paral   |2020yCat.1350....0G
1662|TYC 954-100-1                                                                                                                               |Star                                |16 18 58.1786427048 +11 37 51.844486728|025.8119242219991 +39.0510849150254|   -2.959 6.361   |10.93    |~              |    ~     ~    |    1|  509.710   pc  |  -3.6632     +3.6632  |paral   |2020yCat.1350....0G
1663|TYC 954-233-1                                                                                                                               |Star                                |16 19 40.2735094704 +12 33 13.907344140|026.9827299154129 +39.2899949680197| -16.941 -7.873   |10.49    |~              |    ~     ~    |    1|  791.828   pc  |  -9.9692     +9.9692  |paral   |2020yCat.1350....0G
1664|TYC 954-391-1                                                                                                                               |Star                                |16 18 51.4661979648 +12 12 41.628158820|026.4732507551580 +39.3249268997539|   9.252 -2.668   |10.67    |~              |    ~     ~    |    1|  901.957   pc  | -12.1216    +12.1216  |paral   |2020yCat.1350....0G
1665|TYC 954-394-1                                                                                                                               |Star                                |16 20 25.0440333912 +12 28 54.734178972|026.9975745816073 +39.0945099463176|-25.346 -20.794   |10.76    |~              |    ~     ~    |    1|  243.766   pc  |  -0.8438     +0.8438  |paral   |2020yCat.1350....0G
1666|TYC 963-68-1                                                                                                                                |Star                                |16 25 50.8897106496 +11 03 49.380310296|026.0920253144224 +37.2858612419538|   4.265 -7.989   |10.72    |~              |    ~     ~    |    1|  911.910   pc  |  -9.9789     +9.9789  |paral   |2020yCat.1350....0G
1667|TYC 963-154-1                                                                                                                               |Star                                |16 23 12.9636590496 +11 13 47.427983400|025.9264350392225 +37.9394707336062|-20.046 -21.892   |10.28    |~              |    ~     ~    |    1|  200.711   pc  |  -0.6325     +0.6325  |paral   |2020yCat.1350....0G
1668|TYC 963-302-1                                                                                                                               |Star                                |16 23 41.8879820664 +10 57 08.708913288|025.6756582396068 +37.7120654972848|  -6.527 -6.836   |10.08    |~              |    ~     ~    |    1|  700.035   pc  |  -6.8117     +6.8117  |paral   |2020yCat.1350....0G
1669|TYC 963-328-1                                                                                                                               |Star                                |16 21 44.8378352112 +11 03 09.898577712|025.5244852812204 +38.1864616122331| -4.317 -11.260   |10.69    |~              |    ~     ~    |    1| 1615.770   pc  | -55.3471    +55.3471  |paral   |2020yCat.1350....0G
1670|TYC 963-370-1                                                                                                                               |Star                                |16 27 11.6557488624 +10 59 43.347030792|026.1950978865379 +36.9587213943408|  -6.682 15.780   |10.58    |~              |    ~     ~    |    1|  119.835   pc  |  -0.2298     +0.2298  |paral   |2020yCat.1350....0G
1671|TYC 963-468-1                                                                                                                               |Star                                |16 22 36.6632818008 +10 55 15.696327432|025.4919890842296 +37.9382029422653| -17.767 -8.152   |10.08    |~              |    ~     ~    |    1|  160.406   pc  |  -0.4143     +0.4143  |paral   |2020yCat.1350....0G
1672|TYC 963-523-1                                                                                                                               |Star                                |16 26 42.0566120328 +10 33 23.761239876|025.6353112952452 +36.8756618403629|  -33.985 4.360   |10.99    |~              |    ~     ~    |    1|  174.171   pc  |  -0.6492     +0.6492  |paral   |2020yCat.1350....0G
1673|TYC 963-554-1                                                                                                                               |Star                                |16 20 52.4294732856 +10 54 41.815621764|025.2432648463787 +38.3172363549360|   7.065 -5.165   |10.40    |~              |    ~     ~    |    1|  240.038   pc  |  -0.7260     +0.7260  |paral   |2020yCat.1350....0G
1674|TYC 963-638-1                                                                                                                               |Star                                |16 22 54.7713925704 +10 51 40.130219700|025.4649857674453 +37.8453537764477|  18.875 -9.500   |10.93    |~              |    ~     ~    |    1|  363.055   pc  |  -2.5176     +2.5176  |paral   |2020yCat.1350....0G
1675|TYC 963-674-1                                                                                                                               |Star                                |16 22 44.3379963432 +10 39 18.127064916|025.2068991474848 +37.7929994049280|  6.513 -11.452   |10.65    |~              |    ~     ~    |    1|   69.283   pc  |  -0.0686     +0.0686  |paral   |2020yCat.1350....0G
1676|TYC 963-765-1                                                                                                                               |Star                                |16 22 22.9114644048 +10 17 44.778011136|024.7503814562731 +37.7124246266317| -23.165 26.134   |10.72    |~              |    ~     ~    |    1|  302.087   pc  |  -1.5970     +1.5970  |paral   |2020yCat.1350....0G
1677|TYC 963-930-1                                                                                                                               |Star                                |16 24 53.6633742816 +10 36 13.744329480|025.4434208556761 +37.2950630235255|   -2.088 4.058   |10.48    |~              |    ~     ~    |    1|  853.461   pc  | -12.2370    +12.2370  |paral   |2020yCat.1350....0G
1678|TYC 963-933-1                                                                                                                               |High Proper Motion Star             |16 27 25.7000984640 +10 36 01.577838888|025.7826333274719 +36.7343751741358|-10.342 -67.157   |9.91     |~              |    ~     ~    |    1|  151.039   pc  |  -0.9741     +0.9741  |paral   |2020yCat.1350....0G
1679|TYC 963-1119-1                                                                                                                              |Star                                |16 20 26.5682433600 +10 45 53.150293908|025.0157671207343 +38.3475642034606|  -7.698 -8.143   |10.30    |~              |    ~     ~    |    1|  786.287   pc  | -10.7575    +10.7575  |paral   |2020yCat.1350....0G
1680|TYC 963-1491-1                                                                                                                              |Star                                |16 22 10.1461932792 +10 40 39.711134892|025.1544012818694 +37.9286345661865|-35.376 -15.119   |10.82    |~              |    ~     ~    |    1|  214.827   pc  |  -1.4584     +1.4584  |paral   |2020yCat.1350....0G
1681|TYC 964-747-1                                                                                                                               |High Proper Motion Star             |16 29 51.2630236344 +10 58 18.199243056|026.5222167844001 +36.3604649141516|-52.926 -15.372   |10.76    |~              |    ~     ~    |    1|  235.117   pc  |  -1.0558     +1.0558  |paral   |2020yCat.1350....0G
1682|TYC 964-1220-1                                                                                                                              |Star                                |16 29 42.1077760224 +10 31 45.705751464|026.0081864464138 +36.2011489124520|  26.231 -3.782   |10.92    |~              |    ~     ~    |    1|  404.760   pc  |  -2.0315     +2.0315  |paral   |2020yCat.1350....0G
1683|TYC 964-1388-1                                                                                                                              |Star                                |16 29 16.4274030840 +10 25 22.576841904|025.8323699334670 +36.2489069888011|   6.159 -7.393   |9.82     |~              |    ~     ~    |    1|  379.680   pc  |  -2.4795     +2.4795  |paral   |2020yCat.1350....0G
1684|TYC 967-84-1                                                                                                                                |Star                                |16 26 55.0665642528 +11 29 40.882724808|026.7227656167144 +37.2358099596671|   -5.483 3.212   |10.16    |~              |    ~     ~    |    1|  716.846   pc  |  -9.5066     +9.5066  |paral   |2020yCat.1350....0G
1685|TYC 967-90-1                                                                                                                                |Star                                |16 20 54.0703867920 +12 06 33.515780472|026.6280471592137 +38.8295441939826|-14.193 -32.947   |10.69    |~              |    ~     ~    |    1|  341.752   pc  |  -1.9621     +1.9621  |paral   |2020yCat.1350....0G
1686|TYC 967-476-1                                                                                                                               |High Proper Motion Star             |16 28 03.7797764520 +11 42 31.391307000|027.1161847706126 +37.0741112242928|-23.195 -86.219   |10.91    |~              |    ~     ~    |    1|  129.498   pc  |  -0.2147     +0.2147  |paral   |2020yCat.1350....0G
1687|TYC 967-483-1                                                                                                                               |Star                                |16 21 48.0132065712 +12 33 24.867921276|027.2678694824528 +38.8200122022475|  -1.481 -2.173   |10.44    |~              |    ~     ~    |    1|  922.169   pc  | -13.4362    +13.4362  |paral   |2020yCat.1350....0G
1688|TYC 967-487-1                                                                                                                               |Star                                |16 27 18.7599635712 +12 57 38.903715648|028.4496978301433 +37.7667300369997| -18.431 -2.747   |10.71    |~              |    ~     ~    |    1|  655.867   pc  |  -7.0977     +7.0977  |paral   |2020yCat.1350....0G
1689|TYC 967-523-1                                                                                                                               |Star                                |16 25 59.7013564968 +12 26 57.503224896|027.6917040845918 +37.8457026459546|  11.951 -3.821   |10.95    |~              |    ~     ~    |    1|  393.159   pc  |  -2.7205     +2.7205  |paral   |2020yCat.1350....0G
1690|TYC 967-627-1                                                                                                                               |Star                                |16 27 35.4772330872 +12 28 20.875860588|027.9247263833544 +37.5016700387632|  -17.900 8.280   |10.99    |~              |    ~     ~    |    1| 1024.170   pc  | -12.7969    +12.7969  |paral   |2020yCat.1350....0G
1691|TYC 967-715-1                                                                                                                               |Spectroscopic Binary                |16 24 42.3445097112 +12 49 29.429228028|027.9580699996401 +38.2883848615988|  -6.936 -1.119   |10.30    |~              |    ~     ~    |    1|  519.859   pc  | -18.1610    +18.1610  |paral   |2020yCat.1350....0G
1692|TYC 967-786-1                                                                                                                               |Star                                |16 26 31.8717644064 +12 15 49.177897200|027.5483867949455 +37.6488092736140|   8.215 -5.027   |10.22    |~              |    ~     ~    |    1|  333.589   pc  |  -1.8695     +1.8695  |paral   |2020yCat.1350....0G
1693|TYC 967-837-1                                                                                                                               |Star                                |16 20 46.5435216144 +12 23 53.478876264|026.9474762125215 +38.9798764335601|-12.931 -14.262   |10.88    |~              |    ~     ~    |    1|  294.594   pc  |  -1.3191     +1.3191  |paral   |2020yCat.1350....0G
1694|TYC 967-889-1                                                                                                                               |Star                                |16 21 13.4535837120 +12 25 47.383334724|027.0438120898388 +38.8939863481218| -1.169 -16.639   |10.99    |~              |    ~     ~    |    1|  923.958   pc  | -12.8909    +12.8909  |paral   |2020yCat.1350....0G
1695|TYC 967-912-1                                                                                                                               |Star                                |16 23 13.3440058656 +11 22 06.184907688|026.0856242259200 +37.9981859778277|  -2.222 -2.876   |10.81    |~              |    ~     ~    |    1|  762.660   pc  | -13.6106    +13.6106  |paral   |2020yCat.1350....0G
1696|TYC 967-932-1                                                                                                                               |Red Giant Branch star Candidate     |16 26 27.2330501760 +11 24 55.783851552|026.5714602563868 +37.3043157825209|   -8.380 5.397   |9.95     |~              |    ~     ~    |    1|  909.422   pc  | -32.5030    +32.5030  |paral   |2020yCat.1350....0G
1697|TYC 967-1008-1                                                                                                                              |Star                                |16 27 12.3575222184 +11 56 17.322848880|027.2646461250361 +37.3615802814662|   -0.686 7.166   |10.78    |~              |    ~     ~    |    1|  387.417   pc  |  -2.0262     +2.0262  |paral   |2020yCat.1350....0G
1698|TYC 967-1035-1                                                                                                                              |Star                                |16 27 45.5376471456 +12 45 15.132135564|028.2691573166829 +37.5820747781984|-15.300 -15.444   |10.91    |~              |    ~     ~    |    1|  216.343   pc  |  -0.7769     +0.7769  |paral   |2020yCat.1350....0G
1699|IRAS 16216+1259                                                                                                                             |Star                                |16 23 58.3867004424 +12 52 59.618948520|027.9310633039100 +38.4750587309211| -12.530 -1.036   |9.48     |~              |    ~     ~    |    1| 1463.058   pc  | -40.0281    +40.0281  |paral   |2020yCat.1350....0G
1700|TYC 967-1059-1                                                                                                                              |Star                                |16 27 22.2858243456 +12 26 50.409405960|027.8675992957878 +37.5398667463778|   -4.900 2.271   |10.01    |~              |    ~     ~    |    1| 1071.926   pc  | -15.5118    +15.5118  |paral   |2020yCat.1350....0G
1701|TYC 967-1102-1                                                                                                                              |Star                                |16 25 10.2940018968 +11 53 41.439815556|026.9479390227960 +37.7934576628606|-18.865 -20.659   |10.15    |~              |    ~     ~    |    1|  228.781   pc  |  -0.8165     +0.8165  |paral   |2020yCat.1350....0G
1702|TYC 967-1238-1                                                                                                                              |Star                                |16 27 12.2975280696 +11 48 55.884006792|027.1249588041440 +37.3096113282534| 12.576 -13.481   |9.54     |~              |    ~     ~    |    1|  325.457   pc  |  -2.3938     +2.3938  |paral   |2020yCat.1350....0G
1703|TYC 967-1308-1                                                                                                                              |Star                                |16 20 43.2733048848 +12 01 47.197266132|026.5116138544566 +38.8354178014711| -19.966 -2.888   |9.76     |~              |    ~     ~    |    1|  196.641   pc  |  -0.8739     +0.8739  |paral   |2020yCat.1350....0G
1704|TYC 967-1341-1                                                                                                                              |Star                                |16 25 17.8383424416 +12 16 35.137391268|027.4021330258029 +37.9274876106953|   3.350 -5.194   |10.35    |~              |    ~     ~    |    1|  125.122   pc  |  -1.4575     +1.4575  |paral   |2020yCat.1350....0G
1705|TYC 967-1347-1                                                                                                                              |Star                                |16 27 01.8249839688 +12 26 51.735510168|027.8239710564876 +37.6155970649633| -15.512 -9.336   |9.73     |~              |    ~     ~    |    1| 1331.913   pc  | -26.4325    +26.4325  |paral   |2020yCat.1350....0G
1706|TYC 967-1378-1                                                                                                                              |Star                                |16 22 46.1591029632 +11 38 34.658026296|026.3394810160081 +38.2168464547023|  0.685 -22.360   |10.93    |~              |    ~     ~    |    1|  399.154   pc  | -38.4926    +38.4926  |paral   |2020yCat.1350....0G
1707|TYC 968-168-1                                                                                                                               |Star                                |16 29 18.1104505320 +11 48 39.741127056|027.3937580940741 +36.8434367205459|    4.047 5.381   |10.71    |~              |    ~     ~    |    1|  832.639   pc  | -10.6766    +10.6766  |paral   |2020yCat.1350....0G
1708|TYC 968-1354-1                                                                                                                              |Star                                |16 29 51.1533913800 +12 05 59.876872548|027.7920960453135 +36.8438716925649| -18.515 -0.424   |10.83    |~              |    ~     ~    |    1|  301.768   pc  |  -1.7393     +1.7393  |paral   |2020yCat.1350....0G
1709|BD+15 2970                                                                                                                                  |Star                                |16 15 36.6327997824 +14 40 34.264094052|028.9885503552432 +41.0589945366536|-16.462 -16.722   |9.03     |K2             |    ~     ~    |    1| 1159.824   pc  | -31.2084    +31.2084  |paral   |2020yCat.1350....0G
1710|HD 146642                                                                                                                                   |Double or Multiple Star             |16 16 46.0418915180 +14 47 25.471059084|029.2741025272143 +40.8474127084850|-53.159 -34.944   |9.30     |G5             |    ~     ~    |    1|  110.389   pc  |  -1.0333     +1.0333  |paral   |2018yCat.1345....0G
1711|BD+15 2973                                                                                                                                  |Star                                |16 17 54.2618241984 +14 40 04.294736508|029.2691651008211 +40.5464491167078|   17.184 0.493   |9.90     |K0             |    ~     ~    |    1|  214.450   pc  |  -0.6392     +0.6392  |paral   |2020yCat.1350....0G
1712|BD+14 3021                                                                                                                                  |Star                                |16 15 10.0141445496 +13 58 31.039907448|028.0812758803288 +40.8759857592940|-15.529 -15.132   |10.93    |G5             |    ~     ~    |    1|  470.677   pc  |  -5.6492     +5.6492  |paral   |2020yCat.1350....0G
1713|BD+14 3024                                                                                                                                  |Star                                |16 15 51.3295862568 +13 53 00.324063096|028.0601265346435 +40.6859849130131|   -0.625 3.141   |9.77     |K2             |    ~     ~    |    1|  544.484   pc  |  -5.4549     +5.4549  |paral   |2020yCat.1350....0G
1714|HD 146451                                                                                                                                   |Star                                |16 15 52.3801688688 +13 59 43.512690876|028.1974057840436 +40.7275988253215|-17.994 -13.355   |8.40     |A2             |    ~     ~    |    1|  187.252   pc  |  -0.9958     +0.9958  |paral   |2020yCat.1350....0G
1715|BD+14 3027                                                                                                                                  |Star                                |16 16 06.7690850688 +14 22 00.744532644|028.6772413619927 +40.8241517019085| -38.849 10.936   |9.25     |K0             |    ~     ~    |    1|  483.115   pc  |  -3.8744     +3.8744  |paral   |2020yCat.1350....0G
1716|BD+14 3029                                                                                                                                  |Star                                |16 16 33.6896037480 +14 18 05.531932404|028.6557706637030 +40.6983937122140| 14.076 -11.896   |9.29     |G5             |    ~     ~    |    1|  551.846   pc  |  -4.6898     +4.6898  |paral   |2020yCat.1350....0G
1717|BD+14 3033                                                                                                                                  |Star                                |16 18 43.0226075616 +13 58 25.796344980|028.5385628867296 +40.0880697052113|  3.649 -23.314   |10.68    |F5             |    ~     ~    |    1|  343.100   pc  |  -3.2255     +3.2255  |paral   |2020yCat.1350....0G
1718|BD+14 3032                                                                                                                                  |Star                                |16 17 43.2787551792 +13 41 54.547855764|028.0809238299858 +40.1969375363075| -25.012 13.852   |9.10     |F8             |    ~     ~    |    1|  124.948   pc  |  -0.7993     +0.7993  |paral   |2020yCat.1350....0G
1719|BD+13 3099                                                                                                                                  |Star                                |16 15 33.1884110280 +13 09 03.679875108|027.1415810462725 +40.4515432092926|-28.121 -11.603   |9.16     |F8             |    ~     ~    |    1|  136.733   pc  |  -0.3085     +0.3085  |paral   |2020yCat.1350....0G
1720|BD+13 3102                                                                                                                                  |Star                                |16 16 17.3109554184 +13 35 15.690045444|027.7613485992186 +40.4691463410628|  8.610 -11.070   |9.34     |K0             |    ~     ~    |    1|  459.686   pc  |  -4.3319     +4.3319  |paral   |2020yCat.1350....0G
1721|BD+13 3103                                                                                                                                  |Variable Star                       |16 16 27.6794910864 +13 28 20.495184456|027.6459230034913 +40.3834423428432|-13.638 -11.636   |9.57     |K0             |    ~     ~    |    1|  921.744   pc  | -14.3584    +14.3584  |paral   |2020yCat.1350....0G
1722|HD 146643                                                                                                                                   |Star                                |16 16 48.2646248376 +13 21 01.849828176|027.5454748066937 +40.2571805547204|  -17.045 2.100   |8.11     |K2             |    ~     ~    |    1|  288.475   pc  |  -1.8641     +1.8641  |paral   |2020yCat.1350....0G
1723|BD+13 3108                                                                                                                                  |Star                                |16 17 42.1092510768 +13 15 34.857017748|027.5553860556522 +40.0208308800504|  -8.758 -3.993   |9.19     |G5             |    ~     ~    |    1|  490.749   pc  |  -3.2031     +3.2031  |paral   |2020yCat.1350....0G
1724|HD 146874                                                                                                                                   |Star                                |16 18 04.8425322384 +13 03 08.283263976|027.3592410599919 +39.8508443428715|  -10.334 1.352   |8.40     |A3             |    ~     ~    |    1|  270.533   pc  |  -1.8297     +1.8297  |paral   |2020yCat.1350....0G
1725|BD+13 3111                                                                                                                                  |Star                                |16 18 06.6488952360 +13 10 25.375762920|027.5071106429738 +39.8946196254083|  -21.338 4.301   |8.48     |M0             |    ~     ~    |    1|  688.895   pc  |  -9.8237     +9.8237  |paral   |2020yCat.1350....0G
1726|BD+13 3112                                                                                                                                  |Star                                |16 18 09.3293839872 +13 09 25.289474112|027.4931975604966 +39.8778007666274| -12.455 -7.149   |9.77     |G5             |    ~     ~    |    1|  591.401   pc  |  -4.6168     +4.6168  |paral   |2020yCat.1350....0G
1727|BD+13 3114                                                                                                                                  |Double or Multiple Star             |16 18 34.3804 +12 47 10.430            |027.1100098 +39.6307173            |     -43.7 19.2   |9.46     |G0             |    ~     ~    |    0|                |                       |        |                   
1728|HD 146992                                                                                                                                   |Star                                |16 18 40.3047519816 +13 30 38.116076760|027.9805038743153 +39.9093073429419| -10.863 -4.195   |8.60     |~              |    ~     ~    |    1|  609.979   pc  |  -9.4879     +9.4879  |paral   |2020yCat.1350....0G
1729|BD+13 3116                                                                                                                                  |Star                                |16 18 43.6552183368 +12 54 39.427825032|027.2775846879604 +39.6486774559984|   4.570 -7.420   |9.31     |F8             |    ~     ~    |    1|  119.373   pc  |  -0.2451     +0.2451  |paral   |2020yCat.1350....0G
1730|TYC 954-624-1                                                                                                                               |Star                                |16 17 00.7194571584 +12 51 03.670195140|026.9789428447840 +40.0033622918471| -10.419 10.807   |10.55    |~              |    ~     ~    |    1|  338.604   pc  |  -1.9950     +1.9950  |paral   |2020yCat.1350....0G
1731|TYC 954-656-1                                                                                                                               |Star                                |16 15 00.4626006264 +12 57 14.387267736|026.8333392171126 +40.4899898979033|   1.146 -8.257   |9.96     |~              |    ~     ~    |    1|  925.754   pc  | -11.7412    +11.7412  |paral   |2020yCat.1350....0G
1732|TYC 954-1013-1                                                                                                                              |Star                                |16 15 28.2881682792 +12 42 26.161689348|026.6017723845489 +40.2837274190001| -4.612 -11.492   |10.66    |~              |    ~     ~    |    1|  907.606   pc  | -12.6033    +12.6033  |paral   |2020yCat.1350....0G
1733|TYC 954-1250-1                                                                                                                              |Star                                |16 17 34.0654216440 +12 44 08.073813948|026.9164616947059 +39.8319302825291|  -2.726 -2.612   |10.19    |~              |    ~     ~    |    1|  707.514   pc  |  -7.5587     +7.5587  |paral   |2020yCat.1350....0G
1734|TYC 954-1305-1                                                                                                                              |Star                                |16 17 54.8479471896 +12 57 20.885653116|027.2229571275980 +39.8475050114270|    0.905 5.034   |10.19    |~              |    ~     ~    |    1|  458.190   pc  |  -4.7866     +4.7866  |paral   |2020yCat.1350....0G
1735|TYC 954-1354-1                                                                                                                              |Star                                |16 17 40.3283937288 +12 55 15.169082916|027.1495304401552 +39.8864904631427| -2.531 -10.008   |10.65    |~              |    ~     ~    |    1|  834.307   pc  | -15.1743    +15.1743  |paral   |2020yCat.1350....0G
1736|TYC 958-350-1                                                                                                                               |Star                                |16 17 00.0735290304 +14 54 13.913962056|029.4413849016551 +40.8402281662987|   1.913 -6.641   |10.28    |~              |    ~     ~    |    1| 1105.583   pc  | -17.9680    +17.9680  |paral   |2020yCat.1350....0G
1737|TYC 958-756-1                                                                                                                               |Star                                |16 18 27.2822410080 +14 02 25.473922548|028.5845479157119 +40.1731915537109|  3.743 -35.968   |10.94    |~              |    ~     ~    |    1|  368.134   pc  |  -2.2361     +2.2361  |paral   |2020yCat.1350....0G
1738|TYC 958-1109-1                                                                                                                              |Star                                |16 17 32.3890037232 +13 29 00.550058712|027.8006091337752 +40.1490504461007|  -4.897 -2.017   |10.54    |~              |    ~     ~    |    1| 1885.014   pc  | -51.1672    +51.1672  |paral   |2020yCat.1350....0G
1739|TYC 958-1140-1                                                                                                                              |Star                                |16 17 21.5692126104 +13 28 52.715701164|027.7744194607206 +40.1881167160059|  10.101 -3.675   |10.93    |~              |    ~     ~    |    1|  684.322   pc  |  -7.2118     +7.2118  |paral   |2020yCat.1350....0G
1740|TYC 958-1324-1                                                                                                                              |Star                                |16 17 17.5359092880 +13 57 08.124141132|028.3292610906671 +40.3953613254806|   3.789 -8.348   |9.99     |~              |    ~     ~    |    1| 1449.906   pc  | -45.1979    +45.1979  |paral   |2020yCat.1350....0G
1741|TYC 958-1332-1                                                                                                                              |Star                                |16 15 29.6304710592 +13 50 15.824749056|027.9578965097452 +40.7475437152577| 13.072 -15.239   |10.37    |~              |    ~     ~    |    1|  190.082   pc  |  -0.7190     +0.7190  |paral   |2020yCat.1350....0G
1742|TYC 1505-112-1                                                                                                                              |Star                                |16 17 53.5334733960 +15 09 28.763660340|029.8615510877841 +40.7419011736850|  21.213 -8.810   |10.97    |~              |    ~     ~    |    1|  305.027   pc  |  -3.4425     +3.4425  |paral   |2020yCat.1350....0G
1743|BD+15 2978                                                                                                                                  |High Proper Motion Star             |16 19 19.0298343816 +15 11 23.584399872|030.0767079494560 +40.4377125041383| -115.038 7.201   |9.15     |G0             |    ~     ~    |    1|  137.261   pc  |  -0.2845     +0.2845  |paral   |2020yCat.1350....0G
1744|BD+15 2980                                                                                                                                  |Star                                |16 20 21.3579341016 +14 41 43.859343120|029.6100900541301 +40.0129363419659|   -1.698 6.598   |10.16    |K2             |    ~     ~    |    1| 1529.754   pc  | -46.5689    +46.5689  |paral   |2020yCat.1350....0G
1745|BD+14 3035                                                                                                                                  |Star                                |16 21 01.7294616240 +14 31 24.734223228|029.4883473745679 +39.7953336449100|  -5.900 -9.592   |10.24    |K0             |    ~     ~    |    1|  654.236   pc  |  -7.2336     +7.2336  |paral   |2020yCat.1350....0G
1746|BD+13 3117                                                                                                                                  |High Proper Motion Star             |16 18 52.1491210632 +13 00 07.867354536|027.4039652081516 +39.6553762257922| -3.375 -65.932   |9.76     |F8             |    ~     ~    |    1|  112.882   pc  |  -0.1950     +0.1950  |paral   |2020yCat.1350....0G
1747|BD+13 3120                                                                                                                                  |High Proper Motion Star             |16 19 24.3308445864 +13 21 54.557632008|027.9034289855265 +39.6868714763006| -63.594 -9.503   |9.26     |G0             |    ~     ~    |    1|   77.206   pc  |  -0.1001     +0.1001  |paral   |2020yCat.1350....0G
