C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:10:47

dec< 0&rah >=13.0&rah< 13.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5348

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
85  |BD-03 3389                                                                                               |Star                                |13 00 38.6224475640 -04 20 11.846399280|307.3217112649335 +58.4566371371324| -22.182 39.846   |10.419   |~                |    ~     ~    |    1|  252.646   pc  |  -3.9190     +3.9190  |ST-L    |2020AJ....160...83S
86  |BD-04 3396                                                                                               |Star                                |13 01 00.5138799576 -04 49 06.419539632|307.4306223900161 +57.9696751007030|  -27.004 4.122   |10.77    |~                |    ~     ~    |    1|  569.034   pc  | -32.1200    +32.1200  |ST-L    |2020AJ....160...83S
87  |BD-02 3611                                                                                               |High Proper Motion Star             |13 01 35.7799021464 -03 15 13.577198364|307.9352002881620 +59.5192556110552|-56.593 -29.030   |10.70    |~                |    ~     ~    |    1|  155.330   pc  |  -0.3860     +0.3860  |paral   |2020yCat.1350....0G
88  |BD-04 3398                                                                                               |Star                                |13 01 42.2413255632 -05 16 30.511206444|307.6925145107616 +57.5016815173176|-14.855 -17.941   |10.991   |~                |    ~     ~    |    1|  199.421   pc  |  -4.1570     +4.1570  |ST-L    |2020AJ....160...83S
89  |BD-03 3391                                                                                               |Star                                |13 01 47.7935662032 -04 28 21.877883868|307.8495498464253 +58.3000622493838|  16.239 -1.666   |10.90    |~                |    ~     ~    |    1|  136.388   pc  |  -0.4706     +0.4706  |paral   |2020yCat.1350....0G
90  |BD-03 3392                                                                                               |High Proper Motion Star             |13 02 01.5849377184 -04 13 45.622317648|307.9947154203135 +58.5382833637332| -63.876 10.064   |10.042   |~                |    ~     ~    |    1|  496.713   pc  | -17.8100    +17.8100  |ST-L    |2020AJ....160...83S
91  |BD-04 3399                                                                                               |Star                                |13 02 04.0736841552 -05 01 28.197464628|307.8966778629666 +57.7447415838162| -40.232 19.669   |10.04    |~                |    ~     ~    |    1|  244.979   pc  |  -4.4130     +4.4130  |ST-L    |2020AJ....160...83S
92  |BD-02 3616                                                                                               |Red Giant Branch star               |13 02 11.4937086816 -03 19 31.712190060|308.2154988447192 +59.4359077439759| -13.940 -4.099   |9.94     |~                |    ~     ~    |    1|  702.543   pc  |  -8.7855     +8.7855  |paral   |2020yCat.1350....0G
93  |BD-04 3401                                                                                               |Star                                |13 02 17.9415782184 -05 16 58.381723848|307.9662279302435 +57.4826600557475|  -11.464 8.277   |10.144   |~                |    ~     ~    |    1|  684.821   pc  | -47.2800    +47.2800  |ST-L    |2020AJ....160...83S
94  |BD-03 3394                                                                                               |Star                                |13 02 28.4800343256 -03 47 42.599862636|308.2772216713730 +58.9619871446238| -30.812 -1.652   |10.77    |~                |    ~     ~    |    1|  284.762   pc  |  -2.1164     +2.1164  |paral   |2020yCat.1350....0G
95  |BD-04 3403                                                                                               |Star                                |13 02 32.0169490128 -04 48 33.964002504|308.1459922079206 +57.9499382332065| 20.375 -17.761   |10.023   |~                |    ~     ~    |    1|  661.136   pc  | -28.1800    +28.1800  |ST-L    |2020AJ....160...83S
96  |BD-02 3618                                                                                               |Star                                |13 03 00.7262440896 -03 24 52.544295504|308.6012358219756 +59.3296867520285| -8.079 -14.982   |10.67    |~                |    ~     ~    |    1|  236.759   pc  |  -1.8386     +1.8386  |paral   |2020yCat.1350....0G
97  |BD-02 3623                                                                                               |Double or Multiple Star             |13 03 56.063808 -03 21 40.55904        |309.060362243 +59.361702099        |     -50.6 -5.8   |10.60    |~                |    ~     ~    |    1|  185.77    pc  | -62.134     +62.134   |ST-L    |2017AJ....153...75K
98  |BD-04 3409                                                                                               |Star                                |13 04 14.7661808880 -05 21 36.916851888|308.8508569932213 +57.3642223455507|   1.279 -2.383   |10.69    |~                |    ~     ~    |    1|  673.537   pc  | -10.3886    +10.3886  |paral   |2020yCat.1350....0G
