C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:10:47

dec< 0&rah >=13.0&rah< 13.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5348

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
2402|TYC 8993-214-1                                                                                           |Star                                |13 00 36.6050523576 -62 34 41.929246668|303.9877436906719 +00.2746291896200|  -7.186 -0.190   |10.17    |~                |    ~     ~    |    1| 1485.884   pc  | -44.8194    +44.8194  |paral   |2020yCat.1350....0G
2403|[W61c] R 63                                                                                              |Star                                |13 01 49.3201087128 -61 59 50.117266320|304.1506028052853 +00.8499190189179|  -11.461 0.168   |10.53    |M1               |    ~     ~    |    1| 1016.673   pc  | -18.1918    +18.1918  |paral   |2020yCat.1350....0G
2404|HD 312281                                                                                                |Star                                |13 05 23.7713133216 -62 50 10.946435604|304.5242497073704 -00.0077895946701|  -7.776 -3.474   |10.94    |B9               |    ~     ~    |    1|  735.781   pc  |  -6.2258     +6.2258  |paral   |2020yCat.1350....0G
2405|HD 312289                                                                                                |Star                                |13 05 31.7008907928 -63 06 38.406166416|304.5243117974630 -00.2824945170186|  -6.341 -1.772   |10.49    |A0               |    ~     ~    |    1|  711.642   pc  |  -6.0266     +6.0266  |paral   |2020yCat.1350....0G
2406|HD 312273                                                                                                |Emission-line Star                  |13 02 47.0232862920 -62 13 59.053010412|304.2530124906469 +00.6095708043425|-32.978 -15.120   |10.17    |K0IV             |    ~     ~    |    1|  117.334   pc  |  -0.1666     +0.1666  |paral   |2020yCat.1350....0G
2407|HD 312282                                                                                                |Star                                |13 05 45.5131282008 -62 55 11.206152408|304.5609098590278 -00.0933355925973| -43.281 -7.591   |10.94    |G0               |    ~     ~    |    1|  123.498   pc  |  -0.1815     +0.1815  |paral   |2020yCat.1350....0G
2408|TYC 8993-506-1                                                                                           |Star                                |13 03 47.6236601328 -62 27 27.585737244|304.3597570370999 +00.3798253667237| -11.830 -2.439   |10.71    |~                |    ~     ~    |    1|  844.523   pc  |  -7.7741     +7.7741  |paral   |2020yCat.1350....0G
2409|HD 312283                                                                                                |Star                                |13 06 30.7045664232 -62 57 11.035070676|304.6445435482127 -00.1314534421250|-46.123 -16.973   |10.36    |F8               |    ~     ~    |    1|  175.976   pc  |  -0.4800     +0.4800  |paral   |2020yCat.1350....0G
2410|TYC 8993-596-1                                                                                           |Star                                |13 04 07.1748594960 -62 23 52.161370440|304.4003279041315 +00.4377625592560| -20.514 -3.533   |10.97    |~                |    ~     ~    |    1|  514.907   pc  |  -2.8369     +2.8369  |paral   |2020yCat.1350....0G
2411|CPD-62 2994                                                                                              |Star                                |13 05 09.2854916280 -63 37 56.604695592|304.4543555936435 -00.8011971715232|  -4.879 -1.741   |10.83    |B7/9             |    ~     ~    |    1| 1325.030   pc  | -24.0531    +24.0531  |paral   |2020yCat.1350....0G
2412|TYC 8993-1367-1                                                                                          |High Proper Motion Star             |13 00 57.7182187440 -63 36 57.437215920|303.9898638117172 -00.7637726961708|-65.590 -10.727   |10.88    |~                |    ~     ~    |    1|  331.312   pc  |  -1.2404     +1.2404  |paral   |2020yCat.1350....0G
2413|CPD-62 3018                                                                                              |Star                                |13 08 25.1207548728 -63 37 51.610257084|304.8162377075286 -00.8213992300372|  -3.728 -3.256   |10.82    |B8               |    ~     ~    |    1|  695.701   pc  | -40.7527    +40.7527  |paral   |2020yCat.1350....0G
2414|TYC 8993-1477-1                                                                                          |Star                                |13 05 29.0618643264 -63 44 38.149576836|304.4848212048831 -00.9145433328772|  -4.875 -1.975   |10.57    |~                |    ~     ~    |    1|  645.328   pc  |  -4.7892     +4.7892  |paral   |2020yCat.1350....0G
2415|CPD-62 3012                                                                                              |Star                                |13 07 38.1818707824 -63 30 48.029597460|304.7369391474028 -00.6983787709477|  -3.351 -1.207   |10.55    |B7               |    ~     ~    |    1| 1332.268   pc  | -32.3038    +32.3038  |paral   |2020yCat.1350....0G
2416|HD 112953                                                                                                |Star                                |13 01 18.7282794888 -61 03 23.801411016|304.1268729684766 +01.7922241355236|  -5.292 -1.433   |9.13     |B0/1Ib/II        |    ~     ~    |    1| 1784.440   pc  | -46.8081    +46.8081  |paral   |2020yCat.1350....0G
2417|HD 113034                                                                                                |Star                                |13 01 52.6745604840 -61 49 55.842546036|304.1638524384738 +01.0145943960682|  -4.926 -0.841   |9.26     |B0/1(III)        |    ~     ~    |    1| 1950.078   pc  | -79.4786    +79.4786  |paral   |2020yCat.1350....0G
2418|HD 312266                                                                                                |Star                                |13 03 10.5516787104 -61 52 06.487702968|304.3152565615019 +00.9717472647421|  -8.625 -2.502   |10.85    |A0               |    ~     ~    |    1| 1057.977   pc  | -24.2891    +24.2891  |paral   |2020yCat.1350....0G
2419|HD 312277                                                                                                |Star                                |13 00 53.0223706680 -62 35 07.452080448|304.0189666590745 +00.2664057541480|  -6.846 -1.011   |9.58     |G0               |    ~     ~    |    1| 1890.717   pc  | -56.4820    +56.4820  |paral   |2020yCat.1350....0G
2420|HD 112911                                                                                                |Star                                |13 01 10.1333826192 -63 01 23.378612772|304.0352334794675 -00.1722610787037|  11.200 -0.631   |7.45     |K2III            |    ~     ~    |    1|  214.486   pc  |  -0.7637     +0.7637  |paral   |2020yCat.1350....0G
2421|HD 112795                                                                                                |Double or Multiple Star             |13 00 20.32800 -64 13 21.0665          |303.89970204 -01.36749768          |   -17.65 -2.71   |9.569    |F3/6IV/V+A       |    ~     ~    |    0|                |                       |        |                   
2422|HD 113164                                                                                                |Star                                |13 02 57.3276664200 -64 04 13.937231100|304.1908385433969 -01.2269472297867| -14.230 -9.177   |10.50    |A1/2V            |    ~     ~    |    1|  363.201   pc  |  -1.8468     +1.8468  |paral   |2020yCat.1350....0G
2423|HD 113200                                                                                                |Star                                |13 03 17.9664268488 -64 07 28.550550216|304.2259207324544 -01.2826557096596|   10.034 1.936   |9.75     |A2/3V            |    ~     ~    |    1|  249.700   pc  |  -0.8293     +0.8293  |paral   |2020yCat.1350....0G
2424|HD 113239                                                                                                |Star                                |13 03 31.1913112632 -63 58 01.518804768|304.2573387026866 -01.1264380303635|  -6.829 -3.776   |10.27    |B9/A0V           |    ~     ~    |    1|  733.460   pc  | -30.9867    +30.9867  |paral   |2020yCat.1350....0G
2425|V* V1152 Cen                                                                                             |Long-Period Variable                |13 03 51.0486014736 -64 05 59.557091640|304.2872171596229 -01.2607987425853|  -4.355 -8.082   |8.38     |M6III            |    ~     ~    |    1|  596.374   pc  | -12.7327    +12.7327  |paral   |2020yCat.1350....0G
2426|CPD-63 2511                                                                                              |Star                                |13 04 12.7404465600 -63 57 35.689645116|304.3336015714530 -01.1229380226689|  -4.265 -1.091   |10.35    |OB               |    ~     ~    |    1| 2211.411   pc  | -61.1292    +61.1292  |paral   |2020yCat.1350....0G
2427|CPD-63 2512                                                                                              |Star                                |13 04 28.4976913080 -63 55 57.636008580|304.3637722339199 -01.0971798201104|  -4.210 -1.152   |9.90     |B0.5IV           |    ~     ~    |    1| 2235.636   pc  | -66.9741    +66.9741  |paral   |2020yCat.1350....0G
2428|CPD-63 2513                                                                                              |Star                                |13 04 35.2780116312 -63 57 40.545357120|304.3747133507167 -01.1263594791669|  -4.378 -0.812   |9.84     |B0.5IV           |    ~     ~    |    1| 2225.684   pc  | -65.8838    +65.8838  |paral   |2020yCat.1350....0G
2429|HD 113511                                                                                                |Star                                |13 05 20.2755199704 -64 03 02.208755196|304.4520976497902 -01.2199013481515|  -4.048 -1.129   |9.29     |B0IV/V           |    ~     ~    |    1| 1914.242   pc  | -88.3102    +88.3102  |paral   |2020yCat.1350....0G
2430|CPD-63 2539                                                                                              |Star                                |13 07 17.1691500168 -64 03 10.833318144|304.6647678315211 -01.2345969216203|  -4.719 -2.119   |10.01    |B2V              |    ~     ~    |    1| 1856.321   pc  | -50.6551    +50.6551  |paral   |2020yCat.1350....0G
2431|HD 113795                                                                                                |Star                                |13 07 18.6619256520 -63 45 46.899795888|304.6853514821041 -00.9453336490756| -11.152 -2.803   |9.78     |A1V              |    ~     ~    |    1|  759.417   pc  | -11.4189    +11.4189  |paral   |2020yCat.1350....0G
2432|HD 113860                                                                                                |Double or Multiple Star             |13 07 44.1434368008 -64 00 42.731545536|304.7164624508885 -01.1966075234748|-38.937 -12.999   |9.12     |F0V              |0.0050  0.0    |    1|  172.221   pc  | -16.3901    +16.3901  |paral   |2020yCat.1350....0G
2433|CD-63 798                                                                                                |High Proper Motion Star             |13 01 34.7557704960 -64 03 15.372586584|304.0411376372903 -01.2043661730521|-49.610 -13.190   |9.95     |~                |    ~     ~    |    1|  403.959   pc  |  -2.0071     +2.0071  |paral   |2020yCat.1350....0G
2434|CPD-63 2516                                                                                              |Star                                |13 05 01.6889897376 -63 54 04.548707532|304.4261310833048 -01.0689511738204| -14.130 -7.093   |9.93     |~                |    ~     ~    |    1|  679.486   pc  |  -6.6023     +6.6023  |paral   |2020yCat.1350....0G
2435|HD 113466                                                                                                |Star                                |13 05 05.2865320992 -64 13 55.284308472|304.4151865895107 -01.3995950153052|-37.314 -17.084   |9.17     |G4V              |    ~     ~    |    1|  100.112   pc  |  -0.1333     +0.1333  |paral   |2020yCat.1350....0G
2436|HD 113606                                                                                                |Star                                |13 06 03.1668206448 -64 14 35.581288272|304.5192671422801 -01.4165225143548|  -4.190 -1.384   |9.10     |O9.5III          |    ~     ~    |    1| 2333.178   pc  |-113.7737   +113.7737  |paral   |2020yCat.1350....0G
2437|HD 113955                                                                                                |Double or Multiple Star             |13 08 20.710248 -64 04 57.39816        |304.778458401 -01.271497363        |      -7.9 -3.9   |10.032   |B9IV             |    ~     ~    |    0|                |                       |        |                   
2438|HD 113980                                                                                                |Star                                |13 08 37.4962358448 -64 05 24.125440020|304.8084733805769 -01.2809274012797|   10.095 2.138   |9.99     |A7/8II/III       |    ~     ~    |    1|  250.759   pc  |  -1.6160     +1.6160  |paral   |2020yCat.1350....0G
2439|HD 112751                                                                                                |Star                                |13 00 06.2707675176 -64 17 49.415176680|303.8717284798044 -01.4411278745248|  -3.646 -0.201   |9.52     |B2Ib/II          |    ~     ~    |    1| 1869.858   pc  | -51.3966    +51.3966  |paral   |2020yCat.1350....0G
2440|HD 112786                                                                                                |Star                                |13 00 20.1994288392 -64 37 02.987487156|303.8858132632958 -01.7622317145035|  -8.321 -2.680   |9.51     |B9V              |    ~     ~    |    1|  879.275   pc  | -13.7616    +13.7616  |paral   |2020yCat.1350....0G
2441|HD 113457                                                                                                |Star                                |13 05 02.0410828608 -64 26 29.702042952|304.3982488836375 -01.6085524384642|-36.798 -16.524   |6.628    |A0V              |    ~     ~    |    1|  103.880   pc  |  -0.3227     +0.3227  |paral   |2020yCat.1350....0G
2442|HD 113619                                                                                                |Long-Period Variable                |13 06 05.7462377400 -64 31 44.189548212|304.5076666979906 -01.7020494234673|  -7.759 -2.756   |8.36     |M4Ib/II          |    ~     ~    |    1| 1110.864   pc  | -34.1823    +34.1823  |paral   |2020yCat.1350....0G
2443|HD 113689                                                                                                |Eclipsing Binary                    |13 06 37.56039 -64 33 36.6731          |304.56276059 -01.73654323          |   -34.86 -6.57   |9.326    |A9V              |    ~     ~    |    0|                |                       |        |                   
2444|CPD-63 2565                                                                                              |Star                                |13 08 59.2725849504 -64 32 17.147961276|304.8175127528941 -01.7306209705531|  -3.944 -1.448   |10.13    |OB-              |    ~     ~    |    1| 2378.687   pc  |-110.3340   +110.3340  |paral   |2020yCat.1350....0G
2445|HD 114157                                                                                                |Star                                |13 10 00.9588514176 -64 33 38.388200040|304.9261618361558 -01.7608757396350| -19.807 -2.950   |9.20     |A7/8V            |    ~     ~    |    1|  478.103   pc  |  -4.2288     +4.2288  |paral   |2020yCat.1350....0G
2446|HD 114199                                                                                                |Star                                |13 10 19.4379201792 -64 27 23.573988684|304.9667980194173 -01.6594450253442|  -7.488 -1.023   |9.49     |B1Ia             |    ~     ~    |    1| 2729.258   pc  |-110.2429   +110.2429  |paral   |2020yCat.1350....0G
2447|HD 114263                                                                                                |Star                                |13 10 44.2972408176 -64 31 32.365279776|305.0061793600574 -01.7316687501694|  -9.679 -3.995   |8.38     |B8Vn             |    ~     ~    |    1|  457.226   pc  |  -5.8745     +5.8745  |paral   |2020yCat.1350....0G
2448|CPD-63 2589                                                                                              |Star                                |13 10 54.8620028808 -64 32 21.662749752|305.0240321609983 -01.7467477837269|  -5.106 -1.625   |10.05    |B2/4             |    ~     ~    |    1| 1914.242   pc  | -60.8277    +60.8277  |paral   |2020yCat.1350....0G
2449|HD 114321                                                                                                |Star                                |13 11 05.7575181192 -64 20 01.385107404|305.0591924107862 -01.5431960060044|-22.461 -11.762   |8.94     |A0V              |    ~     ~    |    1|  282.334   pc  |  -1.4986     +1.4986  |paral   |2020yCat.1350....0G
2450|CD-63 818                                                                                                |Double or Multiple Star             |13 11 07.8003274896 -64 20 37.018085892|305.0621131219325 -01.5533465560882|  -5.400 -1.207   |10.29    |OB               |    ~     ~    |    1| 1882.885   pc  | -54.2424    +54.2424  |paral   |2020yCat.1350....0G
2451|HD 114425                                                                                                |Star                                |13 11 43.6179422352 -64 34 07.336411356|305.1088328081007 -01.7827481588991| -10.931 -7.083   |9.60     |A5V              |    ~     ~    |    1|  535.303   pc  | -12.2930    +12.2930  |paral   |2020yCat.1350....0G
2452|HD 114442                                                                                                |Star                                |13 11 52.5245380704 -64 32 35.701796940|305.1267465420493 -01.7586334103998| -2.275 -14.000   |9.65     |F6/8IV/V         |    ~     ~    |    1|  151.474   pc  |  -0.3327     +0.3327  |paral   |2020yCat.1350....0G
2453|HD 112752                                                                                                |Star                                |13 00 08.0896166376 -65 04 15.393373788|303.8488575877524 -02.2146798123625|  -5.929 -0.831   |8.76     |K5               |    ~     ~    |    1| 2444.390   pc  |-106.9533   +106.9533  |paral   |2020yCat.1350....0G
2454|HD 113191                                                                                                |Pulsating Variable                  |13 03 02.3664802032 -64 47 04.207141860|304.1678348160136 -01.9405982327501|  -13.741 3.414   |8.91     |A9IV             |    ~     ~    |    1|  353.682   pc  |  -1.6262     +1.6262  |paral   |2020yCat.1350....0G
2455|HD 113262                                                                                                |Star                                |13 03 44.9010135120 -64 53 25.754935452|304.2382293833002 -02.0499684594968|  -7.398 -2.670   |9.23     |G8/K0III+A/F     |    ~     ~    |    1| 1607.200   pc  | -31.7720    +31.7720  |paral   |2020yCat.1350....0G
2456|HD 113375                                                                                                |Star                                |13 04 26.9008971144 -64 47 25.410984864|304.3175087676558 -01.9536522482888| -10.151 -7.078   |8.52     |K3III/V          |    ~     ~    |    1|  710.682   pc  |  -8.7377     +8.7377  |paral   |2020yCat.1350....0G
2457|HD 113587                                                                                                |Double or Multiple Star             |13 06 03.6422 -65 36 55.015            |304.4421587 -02.7864223            | -26.620 -9.934   |9.00     |A8V              |    ~     ~    |    0|                |                       |        |                   
2458|V* V340 Mus                                                                                              |Eclipsing Binary                    |13 06 32.3469119472 -65 04 49.533683556|304.5229178276450 -02.2553385444659|  -4.263 -1.350   |7.90     |O9IV             |    ~     ~    |    1| 2385.496   pc  |-149.6626   +149.6626  |paral   |2020yCat.1350....0G
2459|HD 113690                                                                                                |Star                                |13 06 42.3623849448 -64 58 01.260105816|304.5472131502561 -02.1431656017373| -10.360 -0.274   |9.19     |B8/9V            |    ~     ~    |    1|  766.812   pc  | -10.4664    +10.4664  |paral   |2020yCat.1350....0G
2460|HD 113708                                                                                                |Star                                |13 06 48.3355631328 -65 12 43.719050160|304.5430925492659 -02.3884825814976|  -4.031 -1.797   |8.17     |B1/2III(n)       |    ~     ~    |    1| 2373.606   pc  |-157.7521   +157.7521  |paral   |2020yCat.1350....0G
2461|* tet Mus B                                                                                              |Star                                |13 08 07.0496536968 -65 18 26.979989040|304.6742706917513 -02.4921894008638|  -3.977 -1.830   |7.555    |O9III            |    ~     ~    |    1| 2032.107   pc  |-138.7499   +138.7499  |paral   |2020yCat.1350....0G
2462|HD 113918                                                                                                |Star                                |13 08 13.3694492088 -65 32 23.074336032|304.6701021238064 -02.7246586081679|  11.157 -0.160   |8.67     |A8V              |    ~     ~    |    1|  184.148   pc  |  -0.9122     +0.9122  |paral   |2020yCat.1350....0G
2463|HD 113992                                                                                                |Star                                |13 08 45.5171410296 -64 47 04.615004868|304.7763351684382 -01.9749143514304|  -3.663 -3.196   |9.30     |B9III            |    ~     ~    |    1|  707.114   pc  | -11.0502    +11.0502  |paral   |2020yCat.1350....0G
2464|HD 114044                                                                                                |Star                                |13 09 09.7240546224 -64 54 46.439338680|304.8103986539504 -02.1058176338276|  -7.381 -1.500   |9.58     |B5V              |    ~     ~    |    1| 1785.077   pc  | -61.4994    +61.4994  |paral   |2020yCat.1350....0G
2465|HD 114091                                                                                                |Star                                |13 09 34.0743410784 -64 43 05.451846060|304.8670534334049 -01.9145754132926|  -5.827 -1.871   |9.19     |K5               |    ~     ~    |    1| 2154.708   pc  | -88.2126    +88.2126  |paral   |2020yCat.1350....0G
2466|HD 114169                                                                                                |Star                                |13 10 10.5731080920 -65 15 52.786192176|304.8920916221488 -02.4642564825087|  -4.022 -1.683   |9.61     |B1/2III          |    ~     ~    |    1| 2550.370   pc  |-153.5035   +153.5035  |paral   |2020yCat.1350....0G
2467|HD 114187                                                                                                |Star                                |13 10 15.9793518240 -64 47 51.142735140|304.9356687350021 -01.9990700649790|  -5.692 -1.478   |10.09    |B6/8(III)        |    ~     ~    |    1| 1452.222   pc  | -66.2210    +66.2210  |paral   |2020yCat.1350....0G
2468|CPD-64 2222                                                                                              |Star                                |13 10 52.0402683912 -65 16 39.752283324|304.9632705767402 -02.4826219565366|  -7.188 -2.112   |10.70    |B8               |    ~     ~    |    1| 1051.857   pc  | -14.8258    +14.8258  |paral   |2020yCat.1350....0G
2469|HD 114279                                                                                                |Star                                |13 10 50.7554803152 -64 44 02.820762384|305.0020174131758 -01.9404057593664| -10.675 -4.745   |10.33    |A0               |    ~     ~    |    1|  956.114   pc  | -17.0033    +17.0033  |paral   |2020yCat.1350....0G
2470|HD 114443                                                                                                |Star                                |13 11 55.0868605872 -65 17 44.608920360|305.0714740587637 -02.5090913584599| -26.898 12.285   |9.71     |K2               |    ~     ~    |    1|  576.435   pc  | -13.1914    +13.1914  |paral   |2020yCat.1350....0G
2471|CPD-64 2235                                                                                              |Star                                |13 11 56.5542750792 -65 24 45.966351924|305.0646977552976 -02.6259669745666|  -2.768 -4.350   |9.52     |K2               |    ~     ~    |    1|  749.963   pc  |  -6.6368     +6.6368  |paral   |2020yCat.1350....0G
2472|CPD-64 2238                                                                                              |Star                                |13 12 02.6717243832 -65 24 01.780548984|305.0762635261867 -02.6145788090982|-13.243 -20.282   |9.53     |K2               |    ~     ~    |    1|  557.849   pc  |  -4.5435     +4.5435  |paral   |2020yCat.1350....0G
2473|HD 114517                                                                                                |Star                                |13 12 24.6203149032 -65 17 37.517514648|305.1229465368614 -02.5112657737032|   1.782 -2.106   |9.29     |K0/1(III)        |    ~     ~    |    1|  669.389   pc  |  -5.9595     +5.9595  |paral   |2020yCat.1350....0G
2474|HD 114554                                                                                                |Star                                |13 12 43.1593872312 -65 39 22.079818692|305.1251839487820 -02.8750530491882|  -1.765 -7.046   |8.42     |K3III            |    ~     ~    |    1|  459.284   pc  |  -3.4805     +3.4805  |paral   |2020yCat.1350....0G
2475|HD 114553                                                                                                |Star                                |13 12 42.0465309576 -65 13 05.229567228|305.1594696601321 -02.4383758636250|  12.430 -0.538   |9.48     |K2               |    ~     ~    |    1|  499.376   pc  |  -4.5137     +4.5137  |paral   |2020yCat.1350....0G
2476|HD 114590                                                                                                |Double or Multiple Star             |13 12 55.7749 -65 37 48.395            |305.1489783 -02.8509194            |     -10.5 -1.1   |9.02     |A3mA8-A8         |    ~     ~    |    0|                |                       |        |                   
2477|HD 114654                                                                                                |Star                                |13 13 16.6112858904 -65 07 59.460794220|305.2268857292746 -02.3587949610795|   -8.995 0.657   |9.88     |A1V              |    ~     ~    |    1|  729.182   pc  |  -7.9756     +7.9756  |paral   |2020yCat.1350....0G
2478|HD 114672                                                                                                |Star                                |13 13 22.9237545288 -65 16 41.674676340|305.2255505876367 -02.5042669998527| -15.837 -5.466   |9.48     |K0/2(III)        |    ~     ~    |    1|  682.501   pc  |  -5.3568     +5.3568  |paral   |2020yCat.1350....0G
2479|CPD-64 2268                                                                                              |Star                                |13 13 25.3103523888 -65 08 10.407547068|305.2418256461851 -02.3631206760350|    7.724 2.507   |10.65    |F0               |    ~     ~    |    1|  468.099   pc  |  -2.5637     +2.5637  |paral   |2020yCat.1350....0G
2480|HD 114739                                                                                                |Star                                |13 13 53.4840846528 -65 02 00.614739768|305.2999989336815 -02.2650467529757|-21.848 -10.075   |8.49     |F0IV             |    ~     ~    |    1|  278.420   pc  |  -2.8371     +2.8371  |paral   |2020yCat.1350....0G
2481|HD 113047                                                                                                |Star                                |13 02 07.3584905616 -66 08 18.661580844|304.0139456933765 -03.2892196353306| -12.553 -6.728   |9.30     |B9.5V            |    ~     ~    |    1|  411.658   pc  |  -3.2876     +3.2876  |paral   |2020yCat.1350....0G
2482|HD 113071                                                                                                |High Proper Motion Star             |13 02 23.0979238080 -66 14 27.025229616|304.0361322320655 -03.3925658185731|  -56.678 7.570   |8.51     |K2III            |    ~     ~    |    1|  267.759   pc  |  -1.2045     +1.2045  |paral   |2020yCat.1350....0G
2483|HD 113091                                                                                                |Star                                |13 02 24.5866634712 -66 03 26.777152368|304.0464707711101 -03.2094370568513| -12.270 -4.730   |9.63     |B8/9III          |    ~     ~    |    1|  845.952   pc  | -12.7383    +12.7383  |paral   |2020yCat.1350....0G
2484|HD 113165                                                                                                |Star                                |13 02 58.4909287968 -66 05 41.670497472|304.1021519073332 -03.2493781878951| -15.584 -5.512   |9.01     |B9V              |    ~     ~    |    1|  385.847   pc  |  -3.0222     +3.0222  |paral   |2020yCat.1350....0G
2485|HD 113360                                                                                                |Star                                |13 04 22.5061182180 -65 43 32.773964181|304.2626621220618 -02.8874558304971|  -11.628 1.030   |9.46     |A2               |    ~     ~    |    0|                |                       |        |                   
2486|HD 113361                                                                                                |Star                                |13 04 27.1744862208 -66 13 33.838329396|304.2453106504458 -03.3875141078064|  -6.924 -2.348   |8.93     |B3V              |    ~     ~    |    1|  843.028   pc  | -13.0057    +13.0057  |paral   |2020yCat.1350....0G
2487|HD 113376                                                                                                |Spectroscopic Binary                |13 04 30.9673296408 -65 55 18.463914660|304.2671783601248 -03.0839600834382|-40.051 -14.699   |8.49     |G3V              |    ~     ~    |    1|  121.552   pc  |  -0.7181     +0.7181  |paral   |2020yCat.1350....0G
2488|HD 113807                                                                                                |Spectroscopic Binary                |13 07 38.1905906880 -65 52 39.814213008|304.5881687139681 -03.0580840234815| -41.242 -4.315   |7.56     |A1V              |    ~     ~    |    1|  196.847   pc  |  -0.9338     +0.9338  |paral   |2020yCat.1350....0G
2489|CD-65 1407                                                                                               |Star                                |13 08 14.1264931224 -66 00 44.381472840|304.6405252412941 -03.1963217316519|  -3.868 -2.074   |9.79     |OB               |    ~     ~    |    1| 2378.687   pc  | -95.0569    +95.0569  |paral   |2020yCat.1350....0G
2490|HD 114013                                                                                                |Star                                |13 08 56.0973898176 -66 10 48.425600928|304.7001459539087 -03.3684605392387|  -8.442 -0.223   |9.61     |B9.5Vn           |    ~     ~    |    1|  543.833   pc  |  -4.5842     +4.5842  |paral   |2020yCat.1350....0G
2491|HD 114027                                                                                                |Star                                |13 09 03.5586027312 -66 00 24.561758916|304.7245796053766 -03.1964285439000| -24.371 -6.393   |9.44     |A2/3V            |    ~     ~    |    1|  394.617   pc  |  -2.3670     +2.3670  |paral   |2020yCat.1350....0G
2492|HD 114238                                                                                                |Star                                |13 10 39.1199797968 -65 40 54.852228084|304.9106086617717 -02.8840009364081|   3.235 -3.714   |9.10     |A0V              |    ~     ~    |    1|  411.421   pc  |  -2.9283     +2.9283  |paral   |2020yCat.1350....0G
2493|HD 114264                                                                                                |Star                                |13 10 51.6396298944 -66 00 14.082690060|304.9077300296395 -03.2067034430124| -13.313 -2.347   |9.91     |B8V              |    ~     ~    |    1|  682.361   pc  |  -7.6361     +7.6361  |paral   |2020yCat.1350....0G
2494|HD 114570                                                                                                |Star                                |13 12 48.8027594808 -66 13 36.295702644|305.0874143308879 -03.4445016914822|   25.081 6.991   |5.897    |A0V(n)           |    ~     ~    |    1|   94.603   pc  |  -0.2792     +0.2792  |paral   |2020yCat.1350....0G
2495|HD 114699                                                                                                |Star                                |13 13 40.7878132296 -66 04 00.940420776|305.1884056108030 -03.2926753337182| -10.980 -4.710   |9.37     |B9IV             |    ~     ~    |    1|  640.410   pc  |  -7.5053     +7.5053  |paral   |2020yCat.1350....0G
2496|HD 114740                                                                                                |Star                                |13 13 55.2054021456 -65 57 26.602615440|305.2223021251984 -03.1856716967000|  -3.987 -1.177   |8.92     |B8III            |    ~     ~    |    1| 1057.418   pc  | -19.5673    +19.5673  |paral   |2020yCat.1350....0G
2497|V* BL Mus                                                                                                |Eclipsing Binary                    |13 09 15.8940602208 -65 17 18.454039296|304.7952655811221 -02.4812288082924|  -6.950 -1.267   |10.89    |B6/7             |    ~     ~    |    1| 3760.812   pc  |-220.6419   +220.6419  |paral   |2020yCat.1350....0G
2498|V* Y Mus                                                                                                 |R CrB Variable                      |13 05 48.1948797744 -65 30 46.624502484|304.4213138735784 -02.6827546550369|  -7.024 -2.658   |10.50    |Fp_Hd            |    ~     ~    |    1| 5249.344   pc  |-289.3339   +289.3339  |paral   |2020yCat.1350....0G
2499|V* RZ Cen                                                                                                |Eclipsing Binary                    |13 01 56.0252751144 -64 37 36.773347548|304.0565426652354 -01.7780551895803|  -4.755 -2.646   |9.15     |B1/2III/V        |    ~     ~    |    0|                |                       |        |                   
2500|V* V1146 Cen                                                                                             |Carbon Star                         |13 00 50.1506480688 -64 37 50.968296624|303.9388133428392 -01.7774516923432|  -4.698 -0.195   |10.80    |C                |    ~     ~    |    1| 2026.342   pc  | -91.5652    +91.5652  |paral   |2020yCat.1350....0G
2501|HD 112855                                                                                                |Star                                |13 00 53.4343941720 -66 28 53.820140736|303.8765982905549 -03.6272089549099|  -5.977 -3.889   |8.36     |K0III            |    ~     ~    |    1|  293.634   pc  |  -1.5089     +1.5089  |paral   |2020yCat.1350....0G
2502|HD 113542                                                                                                |High Proper Motion Star             |13 05 46.5166824576 -66 21 03.596820480|304.3716501777774 -03.5193388619176|-106.105 -21.225  |9.24     |F6/7V            |    ~     ~    |    1|  146.815   pc  |  -0.2802     +0.2802  |paral   |2020yCat.1350....0G
2503|HD 113756                                                                                                |Star                                |13 07 12.7515155664 -66 26 10.225301748|304.5105732531701 -03.6127899342492| -13.755 -3.606   |9.09     |M2(III)          |    ~     ~    |    1| 1059.771   pc  | -24.1470    +24.1470  |paral   |2020yCat.1350....0G
2504|HD 114491                                                                                                |Star                                |13 12 21.7482133464 -66 20 07.705110228|305.0331884685551 -03.5491329426486| 40.648 -11.171   |9.53     |F6V              |    ~     ~    |    1|  220.313   pc  |  -0.5582     +0.5582  |paral   |2020yCat.1350....0G
2505|HD 114810                                                                                                |Star                                |13 14 26.1652747464 -66 16 25.149957636|305.2464401022405 -03.5053116472929| -24.792 -4.055   |10.16    |A7/9             |    ~     ~    |    1|  304.562   pc  |  -1.0667     +1.0667  |paral   |2020yCat.1350....0G
