C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:53:05

Vmag< 11&dec >=0&rah >=2.25&rah< 2.5
------------------------------------

Number of objects : 4895

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
63  |TYC 2839-261-1                                                                                           |Star                          |02 23 55.0729780968 +41 23 33.977422356|140.9974419480196 -18.2121309067921|  -5.682 -8.889   |10.98    |~                 |    ~     ~    
64  |TYC 2839-289-1                                                                                           |Star                          |02 20 35.0705365560 +41 27 29.339902980|140.3589917937723 -18.3772444010854|   9.266 -5.163   |10.53    |~                 |    ~     ~    
65  |TYC 2839-665-1                                                                                           |Star                          |02 21 07.2120638160 +41 47 39.671586240|140.3313517178359 -18.0274381152046|    2.006 0.373   |10.74    |~                 |    ~     ~    
66  |TYC 2839-1034-1                                                                                          |Star                          |02 21 16.2275878704 +41 56 24.788643180|140.3040633359138 -17.8812002890493|  -6.798 -7.269   |10.93    |~                 |    ~     ~    
67  |TYC 2839-1336-1                                                                                          |Star                          |02 20 21.1977810888 +41 42 29.395795536|140.2229609455007 -18.1588617179038|  7.025 -29.480   |10.66    |~                 |    ~     ~    
68  |TYC 2839-1352-1                                                                                          |Star                          |02 20 25.5257575608 +41 34 31.250612640|140.2858087499482 -18.2782706779332|  -3.600 -8.404   |10.68    |~                 |    ~     ~    
69  |TYC 2839-1424-1                                                                                          |Star                          |02 21 52.6131716232 +41 48 43.462352736|140.4630976437595 -17.9603654326100|   0.567 -0.413   |10.79    |~                 |    ~     ~    
70  |TYC 2839-1475-1                                                                                          |Star                          |02 22 32.1874083528 +41 37 29.857558080|140.6548447447072 -18.0904162404755|   3.409 -1.305   |10.74    |~                 |    ~     ~    
71  |TYC 2839-1507-1                                                                                          |Star                          |02 21 23.3875877256 +41 32 33.956242152|140.4755218951971 -18.2443711367718|  6.269 -11.062   |9.65     |~                 |    ~     ~    
72  |IRAS 02191+4139                                                                                          |Star                          |02 22 17.1555797064 +41 53 02.949239148|140.5104769789401 -17.8656781045179|   -0.106 1.261   |9.83     |~                 |    ~     ~    
73  |TYC 2839-1590-1                                                                                          |Star                          |02 20 22.6127083944 +41 50 35.009973276|140.1770140885710 -18.0311591396582| 24.354 -19.372   |10.63    |~                 |    ~     ~    
74  |BD+40 498                                                                                                |Star                          |02 22 39.0024962640 +40 47 12.588229896|140.9970199703554 -18.8634602895297|  12.530 -3.137   |9.90     |K0                |    ~     ~    
75  |HD 14983                                                                                                 |Star                          |02 25 56.9361902568 +40 53 32.642400084|141.5676038422085 -18.5343111359294|  20.445 -3.270   |8.36     |F0                |    ~     ~    
76  |HD 14993                                                                                                 |Star                          |02 26 11.8988220864 +40 53 10.451119704|141.6160988632233 -18.5222687050128| 18.361 -23.435   |7.86     |A0                |    ~     ~    
77  |BD+40 518                                                                                                |Star                          |02 27 20.9141307648 +40 50 04.928720352|141.8489194884629 -18.4874736338667| -18.776 -8.436   |10.41    |F8                |    ~     ~    
78  |HD 15139                                                                                                 |Star                          |02 27 24.9478065480 +40 56 22.431951348|141.8191462458723 -18.3856910252661| -11.506 -6.664   |7.99     |K0                |    ~     ~    
79  |HD 15151                                                                                                 |Star                          |02 27 28.7278203696 +41 02 54.023410428|141.7870199887041 -18.2806033256889| 18.450 -26.473   |7.97     |A0                |    ~     ~    
80  |HD 15198                                                                                                 |Star                          |02 28 02.1877620984 +41 15 09.298599876|141.8069674824076 -18.0517443360851|    2.494 6.337   |8.16     |K0                |    ~     ~    
81  |BD+40 525                                                                                                |Double or Multiple Star       |02 28 10.2348 +41 09 16.691            |141.8709751 -18.1325407            |     16.4 -34.3   |9.38     |F8                |    ~     ~    
82  |BD+39 534                                                                                                |Star                          |02 22 42.7912741896 +40 33 48.656954268|141.0949594647806 -19.0670127446579|  -6.228 -9.725   |9.05     |K2                |    ~     ~    
83  |HD 15081                                                                                                 |Star                          |02 26 57.5061383544 +40 37 51.274894656|141.8587118287132 -18.7040551450568|  22.404 -6.841   |9.07     |G0                |    ~     ~    
84  |BD+39 547                                                                                                |Star                          |02 26 56.1412566096 +40 14 47.889360960|142.0091118021992 -19.0610343253702|  -2.934 -7.931   |9.34     |K2                |    ~     ~    
85  |BD+39 549                                                                                                |Star                          |02 28 09.2525260680 +40 20 55.096211436|142.1947127862354 -18.8777901219057|   7.601 -2.670   |10.01    |A2                |    ~     ~    
86  |BD+39 528                                                                                                |Star                          |02 20 45.0045300480 +40 12 52.916585580|140.8595351136195 -19.5274816184896| 24.094 -22.537   |9.71     |K0                |    ~     ~    
87  |BD+39 530                                                                                                |Star                          |02 21 36.7611517656 +40 10 31.515932820|141.0375772178434 -19.5047584486386|   5.465 -5.359   |10.81    |F0                |    ~     ~    
88  |BD+39 532                                                                                                |Star                          |02 22 21.6292583952 +39 51 12.649978260|141.3034794010337 -19.7525483979132|   8.954 30.241   |10.7     |G5                |    ~     ~    
89  |HD 14607                                                                                                 |Star                          |02 22 39.9857978856 +39 49 55.126799148|141.3699214178284 -19.7510967019996|   -6.758 3.575   |9.10     |F0                |    ~     ~    
90  |HD 14807                                                                                                 |Double or Multiple Star       |02 24 16.5812868696 +39 49 43.807779264|141.6762135806316 -19.6398182068648| -9.719 -36.707   |7.29     |F5                |0.0017  0.0    
91  |BD+39 543                                                                                                |Star                          |02 25 54.7921257144 +40 06 39.150237528|141.8723433495679 -19.2607442431747|-19.265 -16.102   |9.18     |K0                |    ~     ~    
92  |BD+39 544                                                                                                |Star                          |02 26 00.9267959208 +39 50 17.667659148|142.0008698044465 -19.5057208535427| 16.031 -12.047   |10.46    |G0                |    ~     ~    
93  |BD+39 550                                                                                                |Star                          |02 28 46.5824576592 +39 52 08.925671604|142.5070689914671 -19.2739204286913| 19.654 -11.571   |9.97     |K2                |    ~     ~    
94  |BD+39 552                                                                                                |Double or Multiple Star       |02 29 22.6291137216 +40 00 23.609382768|142.5627171557081 -19.1025093339953|   5.205 -4.357   |9.24     |K2                |    ~     ~    
95  |BD+38 490                                                                                                |Star                          |02 29 51.6903613344 +39 36 09.798449580|142.8209431136864 -19.4376499619390|  -4.514 -3.637   |9.81     |A0                |    ~     ~    
96  |IRAS 02212+4033                                                                                          |Long-Period Variable Candidate|02 24 21.0000110928 +40 47 05.075203236|141.3139605852975 -18.7471167500857|   4.481 -3.120   |9.39     |~                 |    ~     ~    
97  |IRAS 02256+3923                                                                                          |Star                          |02 28 47.4942449640 +39 36 40.777303968|142.6161963109358 -19.5103169092491|  -1.273 -2.583   |10.06    |~                 |    ~     ~    
98  |BD+40 484                                                                                                |Star                          |02 20 41.1537784920 +40 44 42.523217340|140.6462274063677 -19.0365805101396|   -8.003 0.420   |9.71     |A0                |    ~     ~    
99  |BD+40 486                                                                                                |Star                          |02 21 14.7667957128 +40 43 09.397030476|140.7608391922061 -19.0226845412884|-16.701 -19.506   |10.32    |G                 |    ~     ~    
100 |BD+40 490                                                                                                |Star                          |02 21 27.4949817984 +40 42 48.343878864|140.8027340617427 -19.0136728747889|  -7.881 -3.265   |10.91    |G                 |    ~     ~    
101 |BD+40 491                                                                                                |Star                          |02 21 38.5248690792 +40 43 44.049356688|140.8311913925099 -18.9866790811759|  -3.226 21.813   |9.87     |F8                |    ~     ~    
102 |BD+40 510                                                                                                |Star                          |02 25 30.9989775240 +41 21 46.176871644|141.3022815725709 -18.1287307771963|  -3.346 -5.072   |9.42     |K0                |    ~     ~    
103 |HD 14189                                                                                                 |Double or Multiple Star       |02 18 36.2497852248 +40 16 43.603583304|140.4290922202344 -19.6128315113779| -22.143 -9.142   |7.212    |F2                |    ~     ~    
104 |AG+40 248                                                                                                |Star                          |02 18 35.3622572040 +40 16 48.003981960|140.4258323678348 -19.6126762569761|-22.676 -10.849   |8.30     |~                 |    ~     ~    
105 |BD+39 518                                                                                                |Star                          |02 18 50.0077794096 +40 23 46.794482556|140.4287194373268 -19.4874205991687|    3.314 2.997   |10.11    |M                 |    ~     ~    
106 |HD 14408                                                                                                 |Star                          |02 20 39.8142385272 +40 27 56.602500624|140.7478459158832 -19.2990338780536|  10.567 -8.288   |8.62     |A0                |    ~     ~    
107 |BD+39 515                                                                                                |Star                          |02 18 14.1926205840 +40 00 41.345491392|140.4586745701711 -19.8877976122201|   20.972 1.555   |10.16    |F8                |    ~     ~    
108 |HD 13811                                                                                                 |Star                          |02 15 37.3989654600 +39 44 20.792648760|140.0578059731334 -20.3165756305253| 20.928 -18.964   |8.78     |A0                |    ~     ~    
109 |HD 13983                                                                                                 |Star                          |02 17 04.4134771728 +39 40 36.274155636|140.3599376517734 -20.2793139742009|-11.051 -12.095   |9.37     |A5                |    ~     ~    
110 |BD+38 445                                                                                                |Star                          |02 16 32.6246383968 +39 39 52.679520108|140.2623791979766 -20.3258892597450|   4.832 -9.472   |9.93     |F2                |    ~     ~    
111 |BD+38 449                                                                                                |Star                          |02 16 58.5880393632 +39 38 36.030769368|140.3535747849759 -20.3171185019577|  25.855 -1.209   |10.54    |F8                |    ~     ~    
112 |HD 14272                                                                                                 |Star                          |02 19 37.2796688448 +39 50 05.798899932|140.7891555283102 -19.9593609032948| 23.571 -15.157   |6.628    |B8V               |    ~     ~    
113 |BD+39 525                                                                                                |Star                          |02 20 15.0360213696 +39 46 44.743027800|140.9304707026999 -19.9684395027480|  -6.942 12.475   |9.54     |K0                |    ~     ~    
114 |BD+38 452                                                                                                |Star                          |02 18 12.1095525960 +39 40 03.379194840|140.5802365632078 -20.2122312611487|-14.751 -19.150   |9.98     |G5                |    ~     ~    
115 |HD 14273                                                                                                 |Star                          |02 19 36.9104233512 +39 28 31.721776968|140.9241832182357 -20.2957292343353|-25.110 -14.213   |8.23     |G5                |    ~     ~    
116 |BD+38 458                                                                                                |Star                          |02 19 41.9867283888 +39 30 21.321565020|140.9288799444125 -20.2614671232151|   -1.397 0.591   |9.35     |K5                |    ~     ~    
117 |BD+38 466                                                                                                |Star                          |02 21 52.0047372528 +39 36 18.912050208|141.3057805143769 -20.0183310500577|-20.367 -42.489   |9.64     |F8                |    ~     ~    
118 |HD 14799                                                                                                 |Star                          |02 24 10.8283369488 +39 20 45.906778284|141.8493238416573 -20.0946622389550|   3.097 -7.923   |7.79     |B9                |    ~     ~    
119 |BD+38 477                                                                                                |Star                          |02 25 45.1707739368 +39 11 01.757055084|142.2146277882422 -20.1305332234931|   2.463 -8.014   |10.28    |F2                |    ~     ~    
120 |HD 14960                                                                                                 |Double or Multiple Star       |02 25 46.6653900024 +39 17 23.532533736|142.1765758391185 -20.0305715282265|  -3.565 -2.541   |9.39     |A0                |0.0067  0.0    
121 |BD+38 479                                                                                                |Double or Multiple Star       |02 25 53.487 +39 12 49.45              |142.229001 -20.092667              |       7.1 -8.0   |10.19    |F0                |    ~     ~    
122 |TYC 2831-337-1                                                                                           |Star                          |02 25 46.2274255056 +39 03 52.516989396|142.2661834700502 -20.2395595296252|  -1.805 -6.321   |10.72    |~                 |    ~     ~    
123 |TYC 2831-467-1                                                                                           |Star                          |02 25 14.8402965744 +39 20 27.983401944|142.0548693255479 -20.0219168459972|  23.889 -3.715   |10.98    |~                 |    ~     ~    
124 |TYC 2831-537-1                                                                                           |High Proper Motion Star       |02 25 58.9250281512 +38 56 07.310323068|142.3590893073879 -20.3434633492890|-21.083 -53.147   |9.77     |~                 |    ~     ~    
125 |TYC 2831-927-1                                                                                           |Star                          |02 25 17.4797302896 +39 11 13.036297200|142.1251863496707 -20.1614673469310|  -45.577 0.495   |10.11    |~                 |    ~     ~    
126 |TYC 2831-929-1                                                                                           |Star                          |02 20 11.5498368864 +39 20 14.148101940|141.0879416998138 -20.3849655365971|   0.625 -8.804   |9.52     |~                 |    ~     ~    
127 |TYC 2831-1171-1                                                                                          |Star                          |02 23 26.6734819248 +39 09 24.005617380|141.7834856757028 -20.3234825172591|  -5.137 -4.641   |10.31    |~                 |    ~     ~    
128 |TYC 2831-1207-1                                                                                          |Star                          |02 23 17.2534 +39 21 38.281            |141.6728924 -20.1452756            | -9.056 -18.631   |10.89    |~                 |    ~     ~    
129 |TYC 2831-1599-1                                                                                          |Star                          |02 26 58.8985143408 +39 11 32.404746480|142.4455249545464 -20.0318575614978| -2.918 -18.742   |10.08    |~                 |    ~     ~    
130 |TYC 2831-2350-1                                                                                          |Star                          |02 26 13.0404319416 +38 55 20.300007072|142.4095110137065 -20.3381051237497|   2.379 -7.472   |10.71    |~                 |    ~     ~    
131 |TYC 2831-2409-1                                                                                          |High Proper Motion Star       |02 24 03.6600297744 +39 02 23.375031828|141.9482649195827 -20.3874296117443|-49.716 -20.071   |10.14    |~                 |    ~     ~    
132 |TYC 2834-83-1                                                                                            |Star                          |02 19 57.2663647392 +39 35 56.463248796|140.9423553482153 -20.1569854308639|  -2.593 -7.425   |9.84     |~                 |    ~     ~    
133 |TYC 2834-684-1                                                                                           |Star                          |02 18 33.6133885128 +40 19 29.823463488|140.4035807077927 -19.5725276176679| 18.174 -11.524   |10.34    |~                 |    ~     ~    
134 |TYC 2834-786-1                                                                                           |Star                          |02 19 53.4538191312 +40 34 20.911308132|140.5621906550440 -19.2516257855171|   -5.805 1.993   |9.97     |~                 |    ~     ~    
135 |TYC 2834-891-1                                                                                           |Star                          |02 19 30.8951236368 +40 17 34.947313260|140.5962743813893 -19.5382767247175|   8.972 -7.922   |9.45     |~                 |    ~     ~    
136 |TYC 2834-917-1                                                                                           |Star                          |02 17 02.2456966920 +40 01 53.964847272|140.2222717032044 -19.9487062190133| 18.178 -24.789   |10.19    |~                 |    ~     ~    
137 |TYC 2834-1489-1                                                                                          |Star                          |02 17 44.7968995656 +40 05 19.408981596|140.3365906185788 -19.8481299730094|  11.676 -2.134   |10.27    |~                 |    ~     ~    
138 |TYC 2834-1792-1                                                                                          |Star                          |02 19 08.7298287984 +39 42 46.421899236|140.7442387330582 -20.1059019207327|   9.968 -6.196   |10.23    |~                 |    ~     ~    
139 |TYC 2834-1940-1                                                                                          |Star                          |02 17 34.2575164704 +40 10 57.090621504|140.2684794834854 -19.7718450742532|   22.774 0.242   |10.54    |~                 |    ~     ~    
140 |TYC 2834-2096-1                                                                                          |Star                          |02 17 58.1285388120 +40 05 04.812975888|140.3804428045341 -19.8371246965161|  17.217 -5.889   |10.95    |~                 |    ~     ~    
141 |TYC 2834-2097-1                                                                                          |Star                          |02 16 41.8498540392 +39 37 54.409973556|140.3040861818083 -20.3465259599489| -0.885 -10.155   |10.73    |~                 |    ~     ~    
142 |TYC 2835-16-1                                                                                            |Star                          |02 23 17.0247753600 +40 52 12.588718800|141.0827074630754 -18.7420716523568|-10.445 -12.787   |10.31    |~                 |    ~     ~    
143 |TYC 2835-58-1                                                                                            |Star                          |02 23 27.2066422800 +41 07 22.288315152|141.0163644207609 -18.4952378176157|  10.910 -0.971   |10.72    |~                 |    ~     ~    
144 |TYC 2835-119-1                                                                                           |Star                          |02 23 29.3446030320 +41 12 43.641075672|140.9884319835457 -18.4097328861443|  -0.503 -2.508   |10.52    |~                 |    ~     ~    
145 |TYC 2835-122-1                                                                                           |Star                          |02 21 32.3021978472 +39 53 30.173856972|141.1325876216757 -19.7743587075051|  23.660 -8.310   |10.75    |~                 |    ~     ~    
146 |TYC 2835-236-1                                                                                           |Star                          |02 24 14.4858568776 +41 04 39.243620496|141.1794792315183 -18.4826847826068|-15.407 -39.147   |9.79     |~                 |    ~     ~    
