C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:53:05

Vmag< 11&dec >=0&rah >=2.25&rah< 2.5
------------------------------------

Number of objects : 4895

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
2905|BD+10 312                                                                                                |Star                          |02 18 22.9482385368 +11 10 24.859492608|154.6430789423710 -46.2759608785885|  22.013 -4.105   |10.48    |F0                |    ~     ~    
2906|BD+10 313                                                                                                |Star                          |02 18 46.3001420472 +11 33 01.739163240|154.5052142223210 -45.8991066208793|   11.336 8.869   |10.33    |F5                |    ~     ~    
2907|BD+10 314                                                                                                |Star                          |02 18 54.3802660680 +11 05 16.150033500|154.8657190981893 -46.2898093961995|  -11.340 9.795   |10.88    |K0                |    ~     ~    
2908|HD 14787                                                                                                 |Star                          |02 23 14.0539339056 +10 50 12.286273992|156.3798335504216 -45.9886257697377| -10.992 11.831   |7.64     |G5                |    ~     ~    
2909|HD 14920                                                                                                 |Star                          |02 24 41.9370724128 +11 20 19.637114928|156.4655226914806 -45.3741424325578|   5.856 -4.817   |7.92     |K5                |    ~     ~    
2910|BD+10 323A                                                                                               |Star                          |02 25 09.9614240448 +11 17 43.454389704|156.6374441546822 -45.3541111778009| -1.078 -15.551   |10.74    |~                 |    ~     ~    
2911|BD+10 323B                                                                                               |Star                          |02 25 09.7102959360 +11 17 40.574408640|156.6367560064758 -45.3553190818182| -1.266 -17.900   |9.99     |~                 |    ~     ~    
2912|HD 15094                                                                                                 |High Proper Motion Star       |02 26 11.2183254888 +11 10 45.720445224|157.0281773394358 -45.3274911734413|  109.003 2.607   |9.27     |G5                |    ~     ~    
2913|HD 14165                                                                                                 |High Proper Motion Star       |02 17 46.7945137536 +10 27 48.594366756|154.9484292026403 -46.9703097260456|-13.319 -68.676   |8.71     |G0                |    ~     ~    
2914|BD+09 304                                                                                                |Star                          |02 20 28.7912047440 +10 38 28.124458476|155.6695491457721 -46.4932424445809| 22.753 -21.143   |9.77     |G5                |    ~     ~    
2915|HD 14513                                                                                                 |High Proper Motion Star       |02 20 53.9071008096 +10 36 42.696785916|155.8205671996964 -46.4682887384495| 62.241 -55.293   |8.27     |G5                |    ~     ~    
2916|HD 14711                                                                                                 |Star                          |02 22 41.8003531368 +10 29 47.170029552|156.4601984978509 -46.3493961995222|  5.426 -37.276   |9.35     |F8                |    ~     ~    
2917|HD 14866                                                                                                 |Double or Multiple Star       |02 24 10.3754940960 +10 16 20.900499024|157.0780212785984 -46.3599586189750| 34.194 -19.312   |7.07     |K0                |    ~     ~    
2918|BD+09 314                                                                                                |Star                          |02 24 17.2264763976 +10 14 21.888306924|157.1374240900999 -46.3741620520832|    1.154 0.816   |10.24    |K2                |    ~     ~    
2919|HD 15042                                                                                                 |Star                          |02 25 41.4039648792 +10 30 21.755626956|157.3695049837212 -45.9688324822829|    5.318 1.064   |7.60     |B9                |    ~     ~    
2920|HD 14254                                                                                                 |High Proper Motion Star       |02 18 31.5653346864 +09 50 56.504532048|155.6224597865985 -47.4192226977397|   93.908 2.882   |8.68     |G5                |    ~     ~    
2921|HD 14514                                                                                                 |Star                          |02 20 52.7741448336 +10 00 24.111456588|156.2508869224679 -46.9967342313122|   3.252 -4.572   |8.40     |G5                |    ~     ~    
2922|HD 14554                                                                                                 |High Proper Motion Star       |02 21 20.8884674760 +09 44 07.870864200|156.5963484018666 -47.1742878049969| 20.719 -68.137   |8.79     |G0                |    ~     ~    
2923|HD 14903                                                                                                 |High Proper Motion Star       |02 24 30.5206882584 +09 42 47.567248308|157.5968997999920 -46.7986012508643| 53.693 -62.757   |6.93     |K0                |    ~     ~    
2924|HD 14561                                                                                                 |High Proper Motion Star       |02 21 28.2697104912 +09 39 56.431694412|156.6864660050703 -47.2195397451687| -6.770 -62.129   |9.69     |G0                |    ~     ~    
2925|BD+08 366                                                                                                |Star                          |02 21 55.8477647592 +09 35 46.833734940|156.8819806205875 -47.2225004628842|   4.854 -7.054   |9.83     |K5                |    ~     ~    
2926|BD+08 369                                                                                                |Spectroscopic Binary          |02 24 37.6498331664 +09 29 14.094546864|157.8038310374429 -46.9772562359679| -2.618 -10.360   |10.17    |K0                |    ~     ~    
2927|* ksi Ari                                                                                                |Spectroscopic Binary          |02 24 49.0576351080 +10 36 38.011140288|157.0273904235615 -45.9882095263414| 20.979 -15.022   |5.478    |B7IV              |    ~     ~    
2928|TYC 631-191-1                                                                                            |Star                          |02 21 57.8169365592 +09 46 14.819767752|156.7631353120129 -47.0677065831352| -0.644 -29.405   |10.65    |~                 |    ~     ~    
2929|TYC 631-885-1                                                                                            |Star                          |02 18 06.3352623504 +09 26 08.626785180|155.7879601084074 -47.8304595239577|  -0.373 -6.363   |10.57    |~                 |    ~     ~    
2930|TYC 632-1065-1                                                                                           |Star                          |02 24 58.3770265296 +09 37 21.529706988|157.8083380136746 -46.8173299555714| 18.317 -16.605   |10.23    |~                 |    ~     ~    
2931|TYC 632-1413-1                                                                                           |Star                          |02 24 54.8870017752 +09 54 36.743977836|157.5745504817067 -46.5781932928088|   38.939 7.177   |10.57    |~                 |    ~     ~    
2932|TYC 632-1447-1                                                                                           |Star                          |02 23 13.9703936808 +09 57 07.681956012|157.0242472147452 -46.7533814637084|   4.647 -8.909   |10.81    |~                 |    ~     ~    
2933|TYC 632-1483-1                                                                                           |Star                          |02 25 27.6382828152 +09 53 29.341036680|157.7561576495664 -46.5250474961833|  37.039 -4.385   |10.62    |~                 |    ~     ~    
2934|TYC 634-62-1                                                                                             |Star                          |02 19 56.6560303320 +10 30 59.142815676|155.5912710179574 -46.6663999602462| 34.016 -24.456   |10.95    |~                 |    ~     ~    
2935|TYC 634-96-1                                                                                             |Star                          |02 20 34.6454712024 +10 29 44.465349048|155.8036812685861 -46.6082418623351| -6.290 -24.116   |10.86    |~                 |    ~     ~    
2936|TYC 634-124-1                                                                                            |Star                          |02 22 25.4709105720 +10 30 16.476179256|156.3703167903738 -46.3757506681006|   13.616 0.608   |10.30    |~                 |    ~     ~    
2937|TYC 634-202-1                                                                                            |Star                          |02 21 42.8784674640 +10 16 57.400654008|156.3110793169009 -46.6551730026483|  -1.344 -4.791   |10.69    |~                 |    ~     ~    
2938|TYC 634-204-1                                                                                            |Star                          |02 22 02.6539876080 +10 28 27.306944904|156.2746584589425 -46.4486109294098|  9.716 -10.946   |9.93     |~                 |    ~     ~    
2939|TYC 634-254-1                                                                                            |Star                          |02 19 44.5591642368 +10 27 13.110421644|155.5729085901018 -46.7453937190498|   6.935 -0.852   |10.76    |~                 |    ~     ~    
2940|TYC 634-294-1                                                                                            |Star                          |02 22 42.5987975064 +10 34 20.708841828|156.4093305665711 -46.2819444493183|  7.270 -17.806   |10.25    |~                 |    ~     ~    
2941|TYC 634-616-1                                                                                            |Star                          |02 15 26.7844825584 +10 11 46.481048592|154.3924462781907 -47.4784855041486| -2.099 -12.167   |10.45    |~                 |    ~     ~    
2942|TYC 634-672-1                                                                                            |Star                          |02 15 34.7241450000 +10 27 45.996377796|154.2494462932660 -47.2280597318759|  -3.713 -2.516   |10.06    |~                 |    ~     ~    
2943|TYC 634-827-1                                                                                            |Star                          |02 16 17.4520993824 +11 15 14.414940252|153.9328547866843 -46.4472192574816|   7.317 -6.684   |10.59    |~                 |    ~     ~    
2944|TYC 634-848-1                                                                                            |Star                          |02 18 51.4808375160 +10 07 39.212149260|155.5275177389162 -47.1361880260851| 10.125 -12.094   |10.42    |~                 |    ~     ~    
2945|TYC 634-850-1                                                                                            |Star                          |02 15 52.2155068920 +10 42 43.609954716|154.1701521942601 -46.9743120603216|  -1.206 -3.317   |10.40    |~                 |    ~     ~    
2946|TYC 634-875-1                                                                                            |Star                          |02 17 18.8666877576 +11 23 47.272020756|154.1570010873361 -46.2037183594893|   24.640 2.603   |10.91    |~                 |    ~     ~    
2947|TYC 634-899-1                                                                                            |Star                          |02 15 29.7680676744 +11 30 15.497156412|153.5142286643765 -46.3161101152079| -7.722 -16.918   |10.23    |~                 |    ~     ~    
2948|TYC 634-1163-1                                                                                           |Star                          |02 18 31.9475561832 +10 17 43.742886360|155.3049228259075 -47.0283005824241|  -4.824 -7.161   |10.43    |~                 |    ~     ~    
2949|TYC 635-320-1                                                                                            |Star                          |02 23 32.3898199152 +11 09 56.980291320|156.2375575591962 -45.6659956622864|   0.540 -8.291   |10.79    |~                 |    ~     ~    
2950|TYC 635-708-1                                                                                            |Star                          |02 23 52.7387314104 +10 55 32.406924324|156.5128473384991 -45.8324294585449| -17.636 -9.644   |10.27    |~                 |    ~     ~    
2951|TYC 632-895-1                                                                                            |High Proper Motion Star       |02 27 56.7949662000 +09 18 59.061726108|158.9543227932526 -46.6945588522082|-10.193 -54.240   |10.67    |K0                |    ~     ~    
2952|HD 15466                                                                                                 |Star                          |02 29 35.2547607576 +09 00 22.851801396|159.6953591799300 -46.7399085250620|   9.378 11.202   |6.94     |A5                |    ~     ~    
2953|HD 15295                                                                                                 |Star                          |02 28 02.1806500896 +10 59 39.330372480|157.7167705225062 -45.2536836426863| -9.139 -29.668   |8.61     |K4                |    ~     ~    
2954|BD+09 324                                                                                                |Star                          |02 27 40.0822555824 +09 52 35.437132596|158.4405596916903 -46.2549578726260|   16.270 2.598   |9.53     |K0                |    ~     ~    
2955|HD 15165                                                                                                 |delta Sct Variable            |02 26 45.6478667280 +10 33 55.070566704|157.6500816289586 -45.7827914296100| 36.730 -13.294   |6.69     |F0IV              |    ~     ~    
2956|HD 15164                                                                                                 |Star                          |02 26 48.2857696080 +10 34 57.591052716|157.6505151265740 -45.7623401675128| 36.829 -13.807   |8.27     |F1VkA7mA6_(lB)?   |    ~     ~    
2957|BD+10 328                                                                                                |High Proper Motion Star       |02 28 57.6802404048 +10 50 27.813631848|158.1054785440623 -45.2665915765527|104.992 -85.178   |10.07    |G5                |    ~     ~    
2958|BD+09 327                                                                                                |Star                          |02 29 24.6544096776 +10 22 31.893318912|158.5876033909964 -45.6049294663836|  -5.394 -5.949   |9.27     |K0                |    ~     ~    
2959|TYC 632-793-1                                                                                            |High Proper Motion Star       |02 28 42.4858332408 +09 30 30.462400692|159.0374356651250 -46.4320811114535|  81.136 52.979   |10.64    |~                 |    ~     ~    
2960|TYC 632-1317-1                                                                                           |Star                          |02 26 17.0293558032 +09 28 19.150040604|158.3260614590044 -46.7782195843811|-22.914 -22.429   |10.39    |~                 |    ~     ~    
2961|TYC 632-1429-1                                                                                           |High Proper Motion Star       |02 28 40.5256768080 +09 56 04.634240316|158.7009532196156 -46.0749494571383| -9.195 -64.647   |10.55    |~                 |    ~     ~    
2962|TYC 635-230-1                                                                                            |Star                          |02 29 31.6655019384 +10 59 41.122588488|158.1597283530278 -45.0628947483882|   1.371 -4.144   |10.42    |~                 |    ~     ~    
2963|TYC 635-381-1                                                                                            |Star                          |02 28 11.0676551448 +11 13 19.781965596|157.5939407583556 -45.0397788999379|  -1.535 -2.848   |10.25    |~                 |    ~     ~    
2964|TYC 635-683-1                                                                                            |Star                          |02 28 21.8780891040 +10 55 12.703343988|157.8692096931281 -45.2752779779115| -27.107 -9.636   |10.99    |~                 |    ~     ~    
2965|TYC 635-771-1                                                                                            |Star                          |02 26 48.5662802184 +10 12 31.323235284|157.9299477167126 -46.0818169455939|   5.646 -7.690   |10.78    |~                 |    ~     ~    
2966|TYC 635-927-1                                                                                            |Star                          |02 28 35.6929727256 +10 11 38.304836952|158.4800843334965 -45.8649701263321|   4.693 16.577   |10.11    |~                 |    ~     ~    
2967|TYC 635-1005-1                                                                                           |Star                          |02 28 34.6583599512 +10 51 09.307957212|157.9826620273277 -45.3058587884681|   9.927 -4.148   |10.40    |~                 |    ~     ~    
2968|TYC 635-1070-1                                                                                           |Star                          |02 28 31.0572325992 +10 04 09.453782136|158.5511307185530 -45.9810061906791| -1.521 -12.990   |10.76    |~                 |    ~     ~    
2969|TYC 635-1127-1                                                                                           |Star                          |02 27 57.0063450552 +10 05 24.821850228|158.3641540551381 -46.0365628557842|  -7.470 -6.555   |9.97     |~                 |    ~     ~    
2970|TYC 635-1144-1                                                                                           |Star                          |02 27 47.4361408800 +11 14 27.620943288|157.4630200435300 -45.0733852630803|  3.556 -19.622   |10.95    |~                 |    ~     ~    
2971|BD+11 306                                                                                                |Star                          |02 15 10.2613391688 +11 46 58.002408696|153.2268539907339 -46.1055454640782|  0.060 -17.804   |9.35     |K5                |    ~     ~    
2972|BD+11 323                                                                                                |Star                          |02 21 15.7263871944 +11 43 33.100210020|155.1502884742823 -45.4524783735343|   4.737 -8.845   |9.07     |K0                |    ~     ~    
2973|HD 14726                                                                                                 |Star                          |02 22 48.2360707536 +11 34 23.756338740|155.7258804656707 -45.4012893270746|  27.045 -2.851   |8.89     |G0                |    ~     ~    
2974|BD+12 308                                                                                                |Star                          |02 15 02.5846116024 +12 42 35.651265732|152.5830192565857 -45.2941555766894|-20.127 -20.707   |9.53     |F5                |    ~     ~    
2975|BD+12 309                                                                                                |Star                          |02 15 26.6012185296 +13 19 41.790551340|152.3126059815126 -44.6980647936640| 11.545 -19.186   |10.58    |F8                |    ~     ~    
2976|HD 13873                                                                                                 |Star                          |02 15 25.6328475720 +12 24 11.209522032|152.9001182015559 -45.5251312063057|  36.478 -3.684   |8.95     |G0                |    ~     ~    
2977|BD+11 311                                                                                                |High Proper Motion Star       |02 16 39.0247004640 +12 10 00.408379332|153.4341693212738 -45.5980960248654| 49.249 -41.151   |10.29    |G5                |    ~     ~    
2978|V* V Ari                                                                                                 |Long-Period Variable Candidate|02 15 00.0771848760 +12 14 23.612094312|152.8738096692364 -45.7178090727511|  60.992 45.256   |9.80     |C-H3.5            |    ~     ~    
2979|HD 14243                                                                                                 |Star                          |02 18 34.0546036920 +13 57 00.953614692|152.8637194596310 -43.7996447287091|  9.904 -14.551   |8.44     |K0                |    ~     ~    
2980|BD+13 374                                                                                                |High Proper Motion Star       |02 20 39.3195310246 +13 40 12.429907043|153.6659519290547 -43.8133858285742|256.715 -30.064   |9.241    |K0                |    ~     ~    
2981|TYC 637-270-1                                                                                            |Star                          |02 20 36.0243031728 +13 39 22.039011108|153.6586906238809 -43.8319998115559| -3.320 -17.624   |10.45    |F5                |    ~     ~    
2982|HD 14203                                                                                                 |Star                          |02 18 05.9650270536 +13 25 47.003576340|153.0551147699911 -44.3144031447064|-11.665 -20.879   |7.82     |A5                |    ~     ~    
2983|BD+12 319                                                                                                |Star                          |02 20 34.0915774824 +12 47 47.005756368|154.2139149413937 -44.5941275485666|    0.826 0.168   |9.53     |K0                |    ~     ~    
2984|BD+12 320                                                                                                |Star                          |02 22 11.2425768168 +13 38 17.682783612|154.1410869330539 -43.6660773548628|    0.663 3.603   |10.21    |G5                |    ~     ~    
2985|BD+12 321                                                                                                |Star                          |02 22 11.6827215552 +13 10 52.790598336|154.4450346894303 -44.0670207460601| 17.312 -16.474   |9.28     |K5                |    ~     ~    
2986|BD+12 324                                                                                                |Star                          |02 23 46.1358742152 +13 10 22.210451760|154.9175798106441 -43.8901592488705|-27.152 -18.045   |10.36    |F2                |    ~     ~    
2987|HD 14895                                                                                                 |High Proper Motion Star       |02 24 32.9825121768 +13 01 02.414532972|155.2531433115195 -43.9335821605427| 87.715 -55.907   |9.07     |G0                |    ~     ~    
2988|BD+12 326                                                                                                |Star                          |02 24 55.9252003608 +13 38 14.745685236|154.9481594878984 -43.3466801486805| -8.108 -11.227   |9.19     |K0                |    ~     ~    
2989|HD 14970                                                                                                 |Star                          |02 25 09.1886083440 +13 24 08.676025560|155.1703496702357 -43.5258181659158|  38.728 31.604   |8.77     |A0                |    ~     ~    
2990|BD+12 328                                                                                                |Star                          |02 25 16.8948346896 +13 20 44.514035664|155.2461733107964 -43.5600424424456|  11.782 -7.759   |9.45     |K2                |    ~     ~    
2991|BD+12 329                                                                                                |Star                          |02 25 26.9718764664 +12 40 52.255442532|155.7485398884790 -44.1185785126565|   6.819 -4.475   |10.38    |G0                |    ~     ~    
2992|BD+11 314                                                                                                |High Proper Motion Star       |02 18 42.0968495472 +12 21 45.478914048|153.9357605075938 -45.1914081628994| -51.117 16.026   |9.93     |K0                |    ~     ~    
2993|BD+11 317                                                                                                |High Proper Motion Star       |02 19 13.7905675896 +12 36 52.105053708|153.9295334473675 -44.9085161145370| 96.471 -72.584   |10.92    |F8                |    ~     ~    
2994|HD 14611                                                                                                 |Star                          |02 21 52.5276623160 +12 15 33.686308116|154.9702755835745 -44.9130184129477|   5.032 -6.576   |8.87     |F0                |    ~     ~    
2995|BD+11 329                                                                                                |Star                          |02 22 41.1030194256 +12 33 33.761554920|155.0095383700237 -44.5548181368316|  30.794 -3.398   |10.12    |F8                |    ~     ~    
2996|BD+11 334                                                                                                |Star                          |02 25 03.9535123584 +12 15 54.919130616|155.9226869815349 -44.5263071736092|  15.556 12.228   |10.49    |K2                |    ~     ~    
2997|HD 15054                                                                                                 |High Proper Motion Star       |02 25 50.6598604656 +12 31 21.743142888|155.9746717105155 -44.2084577699073|   56.609 5.378   |8.83     |F2                |    ~     ~    
2998|HD 14306                                                                                                 |Star                          |02 18 58.1268678864 +12 11 40.869521232|154.1297989716466 -45.3089008760057|   19.606 9.651   |8.95     |G0                |    ~     ~    
2999|BD+11 318                                                                                                |High Proper Motion Star       |02 19 20.6719235328 +11 58 30.177714468|154.3930008416660 -45.4589155524675|  56.569 40.234   |9.32     |G0                |    ~     ~    
3000|BD+11 321                                                                                                |Star                          |02 20 24.0658791288 +12 10 22.238051520|154.5819920999639 -45.1619720614661|  1.531 -14.659   |10.02    |K2                |    ~     ~    
3001|HD 14849                                                                                                 |Star                          |02 24 00.9239581296 +11 54 41.939560800|155.8550709661130 -44.9606759189336|-19.368 -16.399   |9.01     |G5                |    ~     ~    
3002|HD 15072                                                                                                 |Star                          |02 25 58.9961672736 +11 55 47.597566728|156.4307864698672 -44.7050420095337|-27.708 -21.576   |9.01     |F5                |    ~     ~    
3003|TYC 634-129-1                                                                                            |Star                          |02 20 24.4636164816 +12 27 00.027624888|154.3970078451278 -44.9175612366012|  -4.822 -5.933   |10.79    |~                 |    ~     ~    
3004|TYC 634-151-1                                                                                            |High Proper Motion Star       |02 21 53.8967835672 +12 10 40.474292124|155.0328108265046 -44.9816180033207|   51.195 6.214   |10.83    |~                 |    ~     ~    
3005|TYC 634-342-1                                                                                            |Star                          |02 18 57.9832063824 +12 01 52.479659928|154.2389540524828 -45.4532454258754| -4.804 -24.985   |10.18    |~                 |    ~     ~    
3006|TYC 634-468-1                                                                                            |Star                          |02 22 22.5476421768 +11 42 07.625224800|155.5058532754935 -45.3404560794417|  4.056 -13.752   |10.21    |~                 |    ~     ~    
3007|TYC 634-565-1                                                                                            |Star                          |02 17 23.6314591920 +12 29 46.643068176|153.4464107194782 -45.2219690290247| -1.651 -17.522   |10.40    |~                 |    ~     ~    
3008|TYC 634-707-1                                                                                            |Star                          |02 18 05.3546215800 +12 11 47.039563356|153.8586440508937 -45.4083604866126| -37.093 16.665   |9.76     |~                 |    ~     ~    
3009|TYC 635-702-1                                                                                            |Star                          |02 23 59.7892755720 +11 58 26.600979108|155.8058333845208 -44.9087051090203| -4.735 -15.528   |10.24    |~                 |    ~     ~    
3010|TYC 637-38-1                                                                                             |High Proper Motion Star       |02 20 38.3773651416 +12 51 44.504699760|154.1915645644094 -44.5277810070537|-40.733 -15.606   |10.80    |~                 |    ~     ~    
3011|TYC 637-254-1                                                                                            |High Proper Motion Star       |02 22 44.8679057184 +13 38 42.076304052|154.3021009918772 -43.5953561168826|-29.222 -65.884   |9.92     |~                 |    ~     ~    
3012|TYC 637-362-1                                                                                            |Star                          |02 21 17.5887384864 +13 48 12.112272144|153.7687888845921 -43.6230644331057|    4.710 1.964   |10.34    |~                 |    ~     ~    
3013|TYC 637-492-1                                                                                            |Star                          |02 22 02.1045182880 +13 31 50.840772492|154.1665790586063 -43.7782252434902|  -2.687 -4.584   |10.81    |~                 |    ~     ~    
3014|TYC 637-650-1                                                                                            |Star                          |02 17 12.4181210784 +13 50 48.046033572|152.5209750145896 -44.0421506515359| 27.474 -23.724   |10.65    |~                 |    ~     ~    
3015|TYC 637-702-1                                                                                            |High Proper Motion Star       |02 17 57.2036117136 +12 56 02.552687520|153.3312126325188 -44.7707364412793|-36.005 -79.793   |10.63    |~                 |    ~     ~    
3016|TYC 637-980-1                                                                                            |Star                          |02 16 45.7453106424 +13 09 52.298708076|152.8195521274703 -44.6990049153677|  21.608 -7.656   |10.70    |~                 |    ~     ~    
3017|TYC 637-1069-1                                                                                           |Star                          |02 16 35.7989480568 +12 37 14.002942764|153.1200609584212 -45.2013060034878|  -2.381 -5.276   |10.35    |~                 |    ~     ~    
3018|TYC 637-1090-1                                                                                           |Star                          |02 15 27.5840763000 +13 29 16.322397756|152.2171044789796 -44.5536150922764|  -4.875 -6.815   |10.44    |~                 |    ~     ~    
3019|TYC 638-755-1                                                                                            |Star                          |02 23 30.6623478024 +13 40 56.898376788|154.5020213477903 -43.4738094702991|   4.551 -3.022   |10.37    |~                 |    ~     ~    
3020|TYC 638-892-1                                                                                            |Star                          |02 26 07.8929690952 +13 35 18.049831224|155.3305792279679 -43.2472775388082|  -8.729 -9.900   |10.58    |~                 |    ~     ~    
3021|BD+10 325                                                                                                |Star                          |02 26 26.5366265904 +11 33 38.796524784|156.8301136285966 -44.9671086661230|   3.456 -8.200   |9.66     |K0                |    ~     ~    
3022|BD+10 327                                                                                                |Star                          |02 28 12.9961456152 +11 21 01.844683452|157.5099249961583 -44.9257413300640|  -7.593 -4.650   |9.04     |K5                |    ~     ~    
3023|BD+12 331                                                                                                |Star                          |02 26 16.7639520456 +13 31 01.228456740|155.4216856877811 -43.2917719700941| 31.338 -21.159   |9.48     |K0                |    ~     ~    
3024|V* AG Ari                                                                                                |Eclipsing Binary              |02 26 26.9617695360 +12 53 55.800666132|155.8928302541518 -43.8087353748319|  13.954 -7.911   |8.18     |B9                |    ~     ~    
3025|HD 15272                                                                                                 |Star                          |02 27 50.4992920656 +12 57 26.887490496|156.2589132308225 -43.5885588131370| -6.727 -26.515   |8.30     |F8                |    ~     ~    
3026|BD+12 337                                                                                                |Star                          |02 27 59.5958335368 +13 04 11.068236300|156.2252940411384 -43.4729096067536|-10.989 -10.620   |9.96     |F0                |    ~     ~    
3027|HD 15352                                                                                                 |High Proper Motion Star       |02 28 33.0746319456 +12 45 08.481303072|156.6081157520545 -43.6785876442763| 37.477 -31.315   |8.61     |F0                |    ~     ~    
3028|HD 15273                                                                                                 |Star                          |02 27 49.7117178480 +12 27 16.012522224|156.6060670537038 -44.0247631243032|  6.335 -16.933   |8.66     |K0                |    ~     ~    
3029|BD+11 341                                                                                                |Star                          |02 28 26.3682893976 +12 22 24.548124720|156.8419548516017 -44.0189524163696| -13.888 -0.877   |10.43    |G5                |    ~     ~    
3030|BD+11 342                                                                                                |Star                          |02 28 28.8532013928 +12 20 53.890218024|156.8718764987360 -44.0354935604988|  14.376 -7.975   |10.64    |G5                |    ~     ~    
3031|BD+11 343                                                                                                |Star                          |02 28 28.7224914432 +12 22 12.414778356|156.8558109221117 -44.0169834069686|-18.022 -18.045   |10.72    |G0                |    ~     ~    
3032|BD+11 344                                                                                                |High Proper Motion Star       |02 28 54.3417668016 +12 17 08.428891020|157.0404525505060 -44.0364877044673| 71.568 -24.557   |10.47    |K0                |    ~     ~    
3033|BD+11 339                                                                                                |Star                          |02 27 06.1939953840 +12 03 35.963458812|156.6709312266279 -44.4546863980015| 25.121 -25.143   |9.48     |G5                |    ~     ~    
3034|HD 15387                                                                                                 |High Proper Motion Star       |02 28 57.1165586352 +12 00 12.634012548|157.2553112982848 -44.2730930285221|  85.324 -2.461   |8.00     |F5                |    ~     ~    
3035|BD+11 346                                                                                                |Star                          |02 29 20.7174737256 +12 15 43.100006616|157.1856206827355 -44.0019020742478|  24.624 14.830   |9.59     |F5                |    ~     ~    
3036|BD+11 348                                                                                                |Star                          |02 29 37.2345576288 +12 34 03.024896808|157.0487344418520 -43.7050432085033|   4.415 -2.231   |10.23    |F0                |    ~     ~    
3037|TYC 638-278-1                                                                                            |Star                          |02 28 43.8019110912 +13 05 45.990394944|156.4205347008104 -43.3599003824383|-28.511 -20.061   |10.31    |~                 |    ~     ~    
3038|TYC 638-350-1                                                                                            |High Proper Motion Star       |02 27 05.1224105304 +13 06 19.096281792|155.9367294854706 -43.5525627155687| 60.273 -29.834   |10.18    |~                 |    ~     ~    
3039|TYC 638-424-1                                                                                            |Star                          |02 26 32.8842126744 +12 57 22.159020276|155.8823051100420 -43.7470385162091|-12.323 -31.269   |10.75    |~                 |    ~     ~    
3040|TYC 638-902-1                                                                                            |Star                          |02 27 52.8753856872 +13 25 11.801881992|155.9521033811985 -43.1832670228531| 24.650 -13.823   |10.27    |~                 |    ~     ~    
3041|TYC 638-1123-1                                                                                           |Star                          |02 29 45.3458492400 +13 12 41.411518740|156.6361538984089 -43.1340658579175|  8.283 -11.644   |10.88    |~                 |    ~     ~    
3042|BD+13 365                                                                                                |High Proper Motion Star       |02 17 46.4447477304 +14 14 43.827482544|152.4408612851927 -43.6242499830485|-41.074 -52.747   |9.33     |K0                |    ~     ~    
3043|BD+13 378                                                                                                |Star                          |02 21 28.9137880752 +13 56 07.948506984|153.7389302494545 -43.4848574864378|   0.407 -3.393   |9.49     |F8                |    ~     ~    
3044|BD+13 387                                                                                                |Star                          |02 24 51.9336341592 +13 53 20.607368244|154.7614026104741 -43.1343870428558|  11.146 -5.889   |10.11    |G0                |    ~     ~    
3045|BD+15 320                                                                                                |Star                          |02 15 18.4371666096 +15 43 57.234932400|150.8085694803318 -42.5540138206096|  19.870 -2.228   |10.76    |K0                |    ~     ~    
3046|HD 13884                                                                                                 |High Proper Motion Star       |02 15 35.2842376200 +16 11 42.128504448|150.6209985399875 -42.1076889084087| 56.200 -22.138   |7.99     |K5                |    ~     ~    
3047|HD 13914                                                                                                 |High Proper Motion Star       |02 15 55.8261009864 +15 49 08.675387256|150.9409375340459 -42.4110786855696|-25.051 -57.179   |8.070    |F8                |    ~     ~    
3048|BD+14 361                                                                                                |Star                          |02 15 13.4317616616 +15 14 07.020883068|151.0777627648555 -43.0108063196621|-11.234 -20.884   |9.85     |K2                |    ~     ~    
3049|BD+14 362                                                                                                |Star                          |02 15 16.9156750416 +14 50 50.913491460|151.3272003324510 -43.3536028112600|  15.116 -2.137   |9.65     |F5                |    ~     ~    
3050|BD+14 368                                                                                                |Star                          |02 16 20.8976002152 +15 04 06.337864596|151.5114021811626 -43.0419557001842|  -4.356 -7.995   |9.88     |K2                |    ~     ~    
3051|BD+14 371                                                                                                |High Proper Motion Star       |02 17 08.1845123040 +15 24 59.412887604|151.5344773268445 -42.6457134394356|-18.691 -59.491   |10.22    |G5                |    ~     ~    
3052|HD 14108                                                                                                 |Star                          |02 17 17.1383352912 +14 27 57.322794132|152.1581205926013 -43.4807670794954| 12.663 -10.657   |8.62     |A0                |    ~     ~    
3053|HD 14410                                                                                                 |Star                          |02 19 57.0030103920 +16 14 09.214825920|151.8597324680322 -41.6107297383345| -4.279 -11.334   |8.990    |K                 |    ~     ~    
3054|BD+15 325                                                                                                |Star                          |02 18 24.5224441080 +15 52 23.141934084|151.6322524684549 -42.1006707500350| 10.625 -15.092   |10.64    |F2                |    ~     ~    
3055|HD 14596                                                                                                 |Star                          |02 21 50.3127785256 +16 09 45.303711912|152.4442381502526 -41.4709861182260|  45.208 -2.651   |7.92     |K0                |    ~     ~    
