C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:37:09

dec< 0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6662

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
43  |IRAS 16166-4016                                                                                          |Star                                  |16 20 04.7091176112 -40 23 38.331715560|340.2229356647947 +06.9104434200516|  -1.670 -5.375   |10.93    |~              |    ~     ~    |    1| 1443.835   pc  |-106.7345   +106.7345    |paral   |2020yCat.1350....0G
44  |CD-40 10321                                                                                              |Star                                  |16 20 22.0 -40 39 30                   |340.0733 +06.6850                  |            ~ ~   |9.3      |~              |    ~     ~    |    0|                |                         |        |                   
45  |CD-39 10407                                                                                              |Star                                  |16 20 03.7992924984 -39 34 41.678833692|340.8033477755506 +07.4882416367806|-15.026 -11.895   |10.6     |~              |    ~     ~    |    1|  769.349   pc  | -12.6666    +12.6666    |paral   |2020yCat.1350....0G
46  |CD-39 10419                                                                                              |Double or Multiple Star               |16 21 48.73 -39 53 57.1                |340.81191 +07.02352                |            ~ ~   |10.2     |~              |    ~     ~    |    0|                |                         |        |                   
47  |HD 325482                                                                                                |Spectroscopic Binary                  |16 19 00.3842028312 -41 54 17.147119824|339.0056282754719 +05.9830475837593|  -2.308 -3.898   |10.75    |K7             |    ~     ~    |    1|  421.212   pc  |  -9.4565     +9.4565    |paral   |2020yCat.1350....0G
48  |CD-41 10608                                                                                              |Star                                  |16 19 19.7796185040 -41 45 23.635604844|339.1535882958661 +06.0457907808812|  -6.363 -6.177   |10.65    |~              |    ~     ~    |    1|  377.074   pc  |  -6.8391     +6.8391    |paral   |2020yCat.1350....0G
49  |CD-39 10397                                                                                              |Star                                  |16 19 22.1579360184 -40 05 14.156965428|340.3451664557114 +07.2229750909838|-18.066 -22.937   |10.50    |~              |    ~     ~    |    1|  842.815   pc  | -17.7584    +17.7584    |paral   |2020yCat.1350....0G
50  |CD-40 10318                                                                                              |Star                                  |16 20 01.8042622752 -40 58 03.839088864|339.8075928242997 +06.5115416782480|-17.580 -43.622   |10.71    |~              |    ~     ~    |    1|  416.875   pc  |  -3.4409     +3.4409    |paral   |2020yCat.1350....0G
51  |HD 147402                                                                                                |T Tauri Star                          |16 23 29.5554512712 -39 58 00.847339680|340.9903631971839 +06.7460881178524|-11.035 -26.239   |10.64    |G3IV           |    ~     ~    |    1|  155.722   pc  |  -1.2561     +1.2561    |paral   |2020yCat.1350....0G
52  |HD 147755                                                                                                |Star                                  |16 25 22.0725375432 -39 57 22.758668280|341.2498509607424 +06.4954928745636|  -0.523 -1.832   |10.47    |A0             |    ~     ~    |    1|  628.575   pc  |  -7.1909     +7.1909    |paral   |2020yCat.1350....0G
