C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:37:09

dec< 0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6662

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
3800|HD 145830                                                                                                |Star                                  |16 15 51.0650094624 -55 15 54.994088520|329.3009528235632 -03.2281782048621|-10.981 -15.843   |10.09    |A3             |    ~     ~    |    1|  339.870   pc  |  -1.7442     +1.7442    |paral   |2020yCat.1350....0G
3801|HD 145866                                                                                                |Star                                  |16 15 57.5559501336 -54 28 35.406385140|329.8600875208660 -02.6708580100099|   8.926 -0.551   |9.11     |K2(III)        |    ~     ~    |    1|  466.287   pc  |  -4.6311     +4.6311    |paral   |2020yCat.1350....0G
3802|HD 145908                                                                                                |Star                                  |16 16 11.0232994440 -54 28 30.943192728|329.8844505406063 -02.6925916346458|-15.678 -21.744   |8.53     |F0IV/V         |    ~     ~    |    1|  174.850   pc  |  -3.4516     +3.4516    |paral   |2020yCat.1350....0G
3803|HD 145949                                                                                                |Star                                  |16 16 21.0213158520 -54 23 40.917943068|329.9579099981214 -02.6514475238959|  -7.313 -5.471   |9.35     |F0IV           |    ~     ~    |    1|  353.457   pc  |  -1.9989     +1.9989    |paral   |2020yCat.1350....0G
3804|CD-54 6639                                                                                               |Star                                  |16 16 41.4069407064 -55 02 40.355336364|329.5408798038163 -03.1526822444733| -7.244 -13.676   |10.71    |A6             |    ~     ~    |    1|  621.659   pc  |  -5.9901     +5.9901    |paral   |2020yCat.1350....0G
3805|HD 146004                                                                                                |Star                                  |16 16 39.3133887648 -54 42 25.838661132|329.7722799707463 -02.9068276837574| -6.264 -11.748   |9.97     |A3/5IV         |    ~     ~    |    1|  590.423   pc  |  -6.1702     +6.1702    |paral   |2020yCat.1350....0G
3806|HD 146019                                                                                                |Star                                  |16 16 48.9705026128 -54 45 54.102991126|329.7486876537890 -02.9645451764497|  -0.099 -0.374   |9.97     |B9II/III       |    ~     ~    |    0|                |                         |        |                   
3807|HD 146075                                                                                                |Star                                  |16 17 07.0791577272 -54 46 53.509599768|329.7684612976765 -03.0066943259176|  -0.419 -6.202   |8.31     |G6III          |    ~     ~    |    1|  591.751   pc  | -11.3105    +11.3105    |paral   |2020yCat.1350....0G
3808|HD 146106                                                                                                |Star                                  |16 17 17.9905082808 -54 47 09.711652452|329.7841481695444 -03.0281934354019| -7.875 -18.564   |9.25     |A2III/IV       |    ~     ~    |    1|  523.560   pc  |  -8.2509     +8.2509    |paral   |2020yCat.1350....0G
3809|HD 146107                                                                                                |Star                                  |16 17 22.2779516568 -54 58 28.557785388|329.6598470781970 -03.1705242568265| -2.650 -10.291   |10.02    |B9IV           |    ~     ~    |    1|  699.839   pc  | -10.6771    +10.6771    |paral   |2020yCat.1350....0G
3810|HD 146268                                                                                                |Star                                  |16 18 07.8778408080 -54 38 35.757795228|329.9700433838810 -03.0098095704415| -5.524 -19.219   |8.71     |A2V            |    ~     ~    |    1|  220.951   pc  |  -2.0602     +2.0602    |paral   |2020yCat.1350....0G
3811|CD-54 6662                                                                                               |High Proper Motion Star               |16 18 37.9917611808 -54 26 42.159245640|330.1609979683570 -02.9191268574487|-35.334 -44.320   |9.72     |F5IV           |    ~     ~    |    1|  146.062   pc  |  -0.3392     +0.3392    |paral   |2020yCat.1350....0G
3812|HD 146377                                                                                                |Star                                  |16 18 44.9816742432 -54 38 20.622585336|330.0369791530351 -03.0694251887676|   0.849 -2.475   |9.64     |B7II/III       |    ~     ~    |    1| 1013.890   pc  | -19.9427    +19.9427    |paral   |2020yCat.1350....0G
3813|HD 146376                                                                                                |Star                                  |16 18 47.1085280784 -54 28 33.843522144|330.1550160372602 -02.9567339908348|  -0.939 -7.092   |10.47    |A0             |    ~     ~    |    1|  598.946   pc  |  -6.7442     +6.7442    |paral   |2020yCat.1350....0G
3814|CPD-54 7431B                                                                                             |Star                                  |16 18 47.4372623160 -54 28 44.081087664|330.1535893175696 -02.9593205471540|  -0.818 -7.204   |10.96    |~              |    ~     ~    |    1|  590.458   pc  |  -7.8444     +7.8444    |paral   |2020yCat.1350....0G
3815|CD-53 6589                                                                                               |Long-Period Variable Candidate        |16 19 56.2858801224 -53 45 57.473860320|330.7745107194565 -02.5695644498134|  -2.592 -7.917   |9.69     |M5             |    ~     ~    |    1| 1323.63    pc  | -67.8019    +67.8019    |paral   |2020yCat.1350....0G
3816|CD-53 6539                                                                                               |Star                                  |16 17 17.2142006088 -53 27 04.403473056|330.7138934748947 -02.0695386154747|  -1.651 -3.327   |10.88    |B5             |    ~     ~    |    1| 2173.441   pc  | -80.7777    +80.7777    |paral   |2020yCat.1350....0G
3817|CD-53 6524                                                                                               |Star                                  |16 16 11.7400618032 -53 57 18.532462608|330.2470918623184 -02.3194095419764|  -6.538 -6.775   |10.28    |M3:            |    ~     ~    |    1| 1374.948   pc  | -26.2777    +26.2777    |paral   |2020yCat.1350....0G
3818|CD-53 6566                                                                                               |Star                                  |16 18 42.9340068384 -53 40 58.552714956|330.7038730912257 -02.3835136222767|    1.607 0.616   |10.06    |~              |    ~     ~    |    1|  893.815   pc  | -12.7825    +12.7825    |paral   |2020yCat.1350....0G
3819|CD-53 6535                                                                                               |Star                                  |16 16 49.2964660848 -53 55 55.121377908|330.3294980508190 -02.3667444669304|  -0.573 -4.800   |10.34    |B9             |    ~     ~    |    1|  998.403   pc  | -33.4927    +33.4927    |paral   |2020yCat.1350....0G
3820|CPD-53 7561                                                                                              |Star                                  |16 16 01.8510672816 -54 03 31.594630932|330.1576739511489 -02.3772288689958|  -3.551 -4.619   |10.66    |B8             |    ~     ~    |    1| 1680.672   pc  | -53.6685    +53.6685    |paral   |2020yCat.1350....0G
3821|CPD-54 7460                                                                                              |Star                                  |16 19 26.1973705680 -54 22 11.870374440|330.2971665282712 -02.9475831107053|  -0.105 -5.407   |10.83    |A2             |    ~     ~    |    1|  668.360   pc  |  -8.0854     +8.0854    |paral   |2020yCat.1350....0G
3822|CD-54 6657                                                                                               |Star                                  |16 18 23.1306357192 -54 21 33.509654244|330.1953129732374 -02.8326672173044|   0.288 -2.594   |10.26    |G7:            |    ~     ~    |    1|  694.927   pc  |  -6.7126     +6.7126    |paral   |2020yCat.1350....0G
3823|TYC 8711-258-1                                                                                           |Star                                  |16 18 44.6885583048 -54 04 33.951612936|330.4313478241370 -02.6671906894322|  -1.773 -2.601   |10.53    |~              |    ~     ~    |    1| 2127.207   pc  | -64.2551    +64.2551    |paral   |2020yCat.1350....0G
3824|CD-53 6545                                                                                               |Star                                  |16 17 32.8358377032 -54 11 27.444163056|330.2254005336914 -02.6267270950871|  -1.712 -5.305   |10.70    |B8:            |    ~     ~    |    1| 1065.190   pc  | -23.7137    +23.7137    |paral   |2020yCat.1350....0G
3825|TYC 8711-780-1                                                                                           |Star                                  |16 19 46.4240481576 -54 14 24.800204364|330.4234805595429 -02.8898157102586|-15.120 -22.252   |10.63    |~              |    ~     ~    |    1|  365.631   pc  |  -2.0855     +2.0855    |paral   |2020yCat.1350....0G
3826|CD-53 6553                                                                                               |Star                                  |16 18 13.7399047800 -54 01 21.901341972|330.4145791668648 -02.5761039027380|  -3.489 -8.455   |10.21    |G5:            |    ~     ~    |    1|  728.810   pc  |  -7.9675     +7.9675    |paral   |2020yCat.1350....0G
3827|CPD-54 7464                                                                                              |Star                                  |16 19 29.2508388216 -54 18 57.349733580|330.3404504082033 -02.9143260929768|-11.634 -19.066   |10.88    |A0:            |    ~     ~    |    1|  572.246   pc  |  -5.0430     +5.0430    |paral   |2020yCat.1350....0G
3828|CD-53 6527                                                                                               |Star                                  |16 16 19.1710515885 -54 17 20.078479439|330.0282262915607 -02.5722178432780|-18.445 -10.656   |10.71    |F8             |    ~     ~    |    0|                |                         |        |                   
3829|CD-54 6633                                                                                               |Star                                  |16 16 18.6713918976 -54 19 22.904404752|330.0036322702807 -02.5959222393132|  -4.051 -3.798   |9.90     |F5V            |    ~     ~    |    1| 1128.668   pc  | -21.1466    +21.1466    |paral   |2020yCat.1350....0G
3830|CD-53 6513                                                                                               |Star                                  |16 15 14.8786448328 -53 25 03.413663868|330.5184952822685 -01.8345754475929|  -2.280 -3.125   |10.73    |A1             |    ~     ~    |    0|                |                         |        |                   
3831|CD-53 6551                                                                                               |Star                                  |16 18 03.5642200704 -53 40 19.488774396|330.6419615038488 -02.3078010824877|  -4.241 -7.689   |10.69    |A4             |    ~     ~    |    1|  458.905   pc  |  -3.7696     +3.7696    |paral   |2020yCat.1350....0G
3832|CD-53 6541                                                                                               |Star                                  |16 17 24.2424425184 -53 41 47.906913912|330.5552493553329 -02.2576877795854|  -2.755 -3.739   |10.8     |A4             |    ~     ~    |    1| 1474.926   pc  | -63.7394    +63.7394    |paral   |2020yCat.1350....0G
3833|CD-53 6515                                                                                               |Star                                  |16 15 24.9845638920 -53 54 17.129528280|330.1992962348292 -02.2035875595137|   0.039 -2.019   |10.73    |A1             |    ~     ~    |    1|  816.660   pc  | -13.7388    +13.7388    |paral   |2020yCat.1350....0G
3834|TYC 8711-3302-1                                                                                          |Star                                  |16 19 30.3835779504 -53 51 38.068944660|330.6625774542718 -02.5920988392809| -9.871 -24.129   |10.66    |~              |    ~     ~    |    1|  119.776   pc  |  -0.2181     +0.2181    |paral   |2020yCat.1350....0G
3835|TYC 8711-3348-1                                                                                          |Star                                  |16 19 12.3639968808 -53 37 16.242474144|330.7990778076235 -02.3903928155186|    4.912 1.132   |10.69    |~              |    ~     ~    |    1|  658.501   pc  |  -7.0247     +7.0247    |paral   |2020yCat.1350....0G
3836|CD-53 6534                                                                                               |Star                                  |16 16 43.7493828840 -53 51 39.798886716|330.3690709264889 -02.3063116024723|  -2.682 -2.300   |10.47    |B9             |    ~     ~    |    1| 1026.273   pc  | -18.7476    +18.7476    |paral   |2020yCat.1350....0G
3837|CD-54 6630                                                                                               |Star                                  |16 16 13.1113388904 -54 53 22.869346884|329.5999567699598 -02.9943119516083|  -1.446 -5.532   |10.58    |G5:            |    ~     ~    |    1|  782.534   pc  |  -8.8180     +8.8180    |paral   |2020yCat.1350....0G
3838|CD-54 6618                                                                                               |Star                                  |16 15 18.1511335800 -54 53 09.522073356|329.5074908180384 -02.9003139960142|   0.437 -1.869   |10.99    |A8             |    ~     ~    |    1|  856.311   pc  | -18.4784    +18.4784    |paral   |2020yCat.1350....0G
3839|CD-54 6627                                                                                               |Star                                  |16 15 52.2340896024 -54 24 00.653929416|329.9037751989293 -02.6069322281009|  -5.472 -7.290   |10.32    |A1             |    ~     ~    |    1|  406.405   pc  |  -2.9895     +2.9895    |paral   |2020yCat.1350....0G
3840|CD-54 6643                                                                                               |Star                                  |16 16 54.8380807776 -54 36 29.743183908|329.8681026049127 -02.8618203172862|    4.393 3.275   |10.46    |A8             |    ~     ~    |    1|  577.934   pc  |  -5.8117     +5.8117    |paral   |2020yCat.1350....0G
3841|CD-54 6629                                                                                               |Star                                  |16 16 11.9096703792 -55 08 48.382718532|329.4190726344355 -03.1772812419914|  -0.304 -1.425   |10.97    |A2:            |    ~     ~    |    1| 1140.121   pc  | -17.4183    +17.4183    |paral   |2020yCat.1350....0G
3842|TYC 8715-1581-1                                                                                          |Star                                  |16 17 00.5884905384 -54 43 05.159640144|329.8014889614883 -02.9503100883666|  -5.146 -4.192   |9.77     |~              |    ~     ~    |    1|  658.588   pc  | -24.5062    +24.5062    |paral   |2020yCat.1350....0G
3843|CD-54 6621                                                                                               |Star                                  |16 15 32.4947227992 -54 59 08.977109136|329.4630525679581 -02.9961214611862|  -2.278 -3.249   |10.46    |OB             |    ~     ~    |    1| 1835.873   pc  | -59.9936    +59.9936    |paral   |2020yCat.1350....0G
3844|CPD-54 7302                                                                                              |Emission-line Star                    |16 15 18.6607529520 -54 29 08.355532164|329.7857758579826 -02.6122210912553|  -2.076 -2.061   |10.27    |B8:            |    ~     ~    |    1| 1618.647   pc  | -44.0163    +44.0163    |paral   |2020yCat.1350....0G
3845|CD-53 6706                                                                                               |Star                                  |16 28 44.9116277880 -54 16 33.104050032|331.3172880092269 -03.8504141228563|-12.933 -21.936   |9.36     |~              |    ~     ~    |    1|  478.606   pc  |  -3.5734     +3.5734    |paral   |2020yCat.1350....0G
3846|CD-53 6612                                                                                               |Star                                  |16 21 40.5670027440 -53 58 26.379812280|330.8094056748479 -02.8977340183146|    1.906 1.343   |10.79    |F2V            |    ~     ~    |    1|  753.636   pc  | -11.3594    +11.3594    |paral   |2020yCat.1350....0G
3847|HD 147017                                                                                                |Star                                  |16 22 00.0595877400 -53 50 03.558575220|330.9422430216283 -02.8329551378173|   0.600 -6.108   |9.57     |K2             |    ~     ~    |    1|  698.617   pc  |  -7.4186     +7.4186    |paral   |2020yCat.1350....0G
3848|HD 147127                                                                                                |Spectroscopic Binary                  |16 22 34.2875390957 -53 54 15.342134932|330.9519733403805 -02.9418973718879|-336.736 -93.194  |8.32     |G8VFe-1.6CH-1  |    ~     ~    |    1|   39.9147  pc  |  -0.1696     +0.1696    |paral   |2020yCat.1350....0G
3849|CD-53 6632                                                                                               |Star                                  |16 23 16.2796451952 -53 56 25.184546160|330.9989119354747 -03.0404865043335|  -5.978 -9.645   |10.34    |G9:III:        |    ~     ~    |    1|  902.527   pc  | -14.1733    +14.1733    |paral   |2020yCat.1350....0G
3850|TYC 8715-409-1                                                                                           |Pulsating Variable                    |16 20 21.1873979880 -54 53 51.021814704|330.0198648464195 -03.4158013744242|  -0.870 -4.597   |10.51    |~              |    ~     ~    |    1| 1300.052   pc  | -23.9999    +23.9999    |paral   |2020yCat.1350....0G
3851|HD 146782                                                                                                |Star                                  |16 20 43.3928385448 -54 17 00.462562729|330.4915607797593 -03.0181475022667|  8.314 -32.743   |9.83     |A9/F0IV        |    ~     ~    |    0|                |                         |        |                   
3852|HD 147109                                                                                                |Star                                  |16 22 35.2874622240 -54 11 07.385853228|330.7538856753122 -03.1416674258876|  -0.101 -4.467   |10.42    |B9III/IV       |    ~     ~    |    1|  825.355   pc  | -17.5071    +17.5071    |paral   |2020yCat.1350....0G
3853|HD 147346                                                                                                |alpha2 CVn Variable                   |16 24 09.4360048392 -54 16 13.342308240|330.8546302215622 -03.3645836288706|  -0.910 -6.231   |9.86     |ApSi           |    ~     ~    |    1|  604.814   pc  | -13.9736    +13.9736    |paral   |2020yCat.1350....0G
3854|HD 146147                                                                                                |Star                                  |16 17 30.4677681432 -55 01 09.119482104|329.6427320620841 -03.2161350346694|   1.768 -1.195   |8.27     |K3/4III        |    ~     ~    |    1|  602.446   pc  |  -8.4928     +8.4928    |paral   |2020yCat.1350....0G
3855|HD 146202                                                                                                |Star                                  |16 17 49.0999833168 -54 53 40.886044728|329.7617560685679 -03.1581114390431| -7.760 -24.713   |9.04     |F2V            |    ~     ~    |    1|  184.532   pc  |  -0.7287     +0.7287    |paral   |2020yCat.1350....0G
3856|HD 146203                                                                                                |Variable Star                         |16 17 52.2044149008 -55 12 41.362152876|329.5453776265943 -03.3899510417857|-12.842 -31.980   |7.71     |M1III          |    ~     ~    |    1|  451.712   pc  |  -3.6932     +3.6932    |paral   |2020yCat.1350....0G
3857|HD 146245                                                                                                |Star                                  |16 17 57.8235309264 -54 52 54.536663892|329.7857452260095 -03.1635068915433| -2.163 -10.705   |9.49     |B9V            |    ~     ~    |    1|  699.447   pc  | -10.9587    +10.9587    |paral   |2020yCat.1350....0G
3858|HD 146322                                                                                                |Star                                  |16 18 32.1660043272 -55 02 25.949235156|329.7333198758241 -03.3343975017753| -2.070 -10.235   |9.642    |B9III/IV       |    ~     ~    |    1|  692.473   pc  | -15.2966    +15.2966    |paral   |2020yCat.1350....0G
3859|HD 146321                                                                                                |Star                                  |16 18 31.2549942120 -54 57 39.758612112|329.7875283428251 -03.2761241234106| -1.965 -10.700   |10.05    |A0             |    ~     ~    |    1|  662.998   pc  |  -9.4067     +9.4067    |paral   |2020yCat.1350....0G
3860|HD 146320                                                                                                |Star                                  |16 18 33.1273677792 -54 54 57.318828552|329.8223828272402 -03.2470519365889| -0.299 -13.058   |9.709    |B8             |    ~     ~    |    0|                |                         |        |                   
3861|HD 146345                                                                                                |Star                                  |16 18 35.4915636480 -54 54 53.721454824|329.8271318125460 -03.2503042435286| -2.067 -10.452   |9.49     |B9/A0(IV)      |    ~     ~    |    1|  700.280   pc  | -23.2936    +23.2936    |paral   |2020yCat.1350....0G
3862|HD 146358                                                                                                |Star                                  |16 18 44.5887517920 -54 57 20.899794888|329.8140054877415 -03.2947326329347| -1.920 -10.593   |9.31     |B9II/III       |    ~     ~    |    1|  684.556   pc  |  -9.1380     +9.1380    |paral   |2020yCat.1350....0G
3863|HD 146378                                                                                                |Star                                  |16 18 53.3637351864 -55 16 17.497244028|329.6072051965545 -03.5345300300918|  6.008 -14.254   |8.63     |K1III          |    ~     ~    |    1|  316.456   pc  |  -2.7339     +2.7339    |paral   |2020yCat.1350....0G
3864|CPD-54 7437                                                                                              |Star                                  |16 18 54.0 -54 39 00                   |330.0448 -03.0925                  |            ~ ~   |10.3     |~              |    ~     ~    |    0|                |                         |        |                   
3865|HD 146403                                                                                                |Star                                  |16 18 56.8029511992 -54 44 01.708783692|329.9908061849187 -03.1569571226001| -2.084 -10.603   |9.35     |B8IV           |    ~     ~    |    1|  698.861   pc  | -11.1357    +11.1357    |paral   |2020yCat.1350....0G
3866|HD 146426                                                                                                |Eclipsing Binary                      |16 19 01.3419910440 -54 58 40.320491376|329.8271299153083 -03.3385591886654| -2.618 -10.120   |9.86     |A0IV/V         |    ~     ~    |    1|  621.891   pc  | -14.3870    +14.3870    |paral   |2020yCat.1350....0G
3867|HD 146446                                                                                                |Star                                  |16 19 04.6994754816 -54 55 30.562268556|329.8699069518841 -03.3066339278804| -2.001 -10.503   |9.81     |B9III/IV       |    ~     ~    |    1|  675.356   pc  |  -9.6694     +9.6694    |paral   |2020yCat.1350....0G
3868|HD 146463                                                                                                |Be Star                               |16 19 14.2356751968 -54 57 42.121533060|329.8605006823952 -03.3486836307182| -1.866 -10.681   |8.08     |B3Vnne         |    ~     ~    |    1|  717.309   pc  | -15.3330    +15.3330    |paral   |2020yCat.1350....0G
3869|HD 146481                                                                                                |High Proper Motion Star               |16 19 20.8615591392 -54 30 48.937072788|330.1869582323971 -03.0407705677801|144.863 -97.633   |7.10     |G3V(w)         |    ~     ~    |    1|   44.613   pc  |  -0.0372     +0.0372    |paral   |2020yCat.1350....0G
3870|HD 146503                                                                                                |Star                                  |16 19 27.8599494576 -54 57 53.943802812|329.8814301550343 -03.3739102645193| -1.078 -11.879   |9.49     |A0V            |    ~     ~    |    0|                |                         |        |                   
3871|HD 146528                                                                                                |Star                                  |16 19 33.7700916024 -54 52 51.622691196|329.9506285928590 -03.3241055583130| -2.092 -10.587   |8.28     |B9II/III       |    ~     ~    |    1|  727.590   pc  | -16.3581    +16.3581    |paral   |2020yCat.1350....0G
3872|HD 146554                                                                                                |Star                                  |16 19 40.5811805328 -55 11 05.925731784|329.7481316726273 -03.5517163222695| -3.338 -10.926   |9.48     |A0V            |    ~     ~    |    1|  591.017   pc  | -23.1237    +23.1237    |paral   |2020yCat.1350....0G
3873|HD 146598                                                                                                |Spectroscopic Binary                  |16 19 51.5715961632 -55 05 01.974322248|329.8380238797016 -03.4982752436337|   1.142 -1.897   |9.16     |B8Ib           |    ~     ~    |    1| 1249.531   pc  | -27.7917    +27.7917    |paral   |2020yCat.1350....0G
3874|HD 146616                                                                                                |Star                                  |16 19 56.8248380568 -55 00 44.437623408|329.8973854372358 -03.4562741314721| -2.112 -10.749   |9.75     |B8/9(III)      |    ~     ~    |    1|  813.935   pc  | -47.4342    +47.4342    |paral   |2020yCat.1350....0G
3875|HD 146669                                                                                                |Star                                  |16 20 12.5653559784 -54 35 00.952933992|330.2266364766310 -03.1784086225085| -2.703 -27.160   |8.35     |F2V            |    ~     ~    |    1|  126.347   pc  |  -0.3592     +0.3592    |paral   |2020yCat.1350....0G
3876|HD 146689                                                                                                |Star                                  |16 20 20.9863893480 -54 55 08.210033292|330.0043848346216 -03.4306734726007| -2.024 -10.640   |9.28     |B8/9II/III     |    ~     ~    |    1|  677.507   pc  |  -8.9508     +8.9508    |paral   |2020yCat.1350....0G
3877|HD 146690                                                                                                |Star                                  |16 20 25.2515100000 -55 08 22.943713488|329.8557161951075 -03.5944387254308| 20.624 -14.270   |5.744    |K0III          |    ~     ~    |    1|  114.351   pc  |  -0.4681     +0.4681    |paral   |2020yCat.1350....0G
3878|CD-54 6697                                                                                               |Star                                  |16 20 30.0356943240 -54 57 50.494359132|329.9879376352911 -03.4779140879034|  -5.014 -6.426   |10.07    |F0V            |    ~     ~    |    1|  238.504   pc  |  -0.9898     +0.9898    |paral   |2020yCat.1350....0G
3879|CPD-54 7517                                                                                              |Star                                  |16 20 50.3064349680 -54 36 18.740104344|330.2760926574424 -03.2579647611684|-11.372 -10.400   |10.74    |K0:III:        |    ~     ~    |    1|  926.698   pc  | -78.2339    +78.2339    |paral   |2020yCat.1350....0G
3880|HD 146807                                                                                                |Double or Multiple Star               |16 20 58.6239 -54 54 51.176            |330.0717245 -03.4909142            | -8.383 -32.754   |7.77     |A7V            |    ~     ~    |    0|                |                         |        |                   
3881|HD 146843                                                                                                |Star                                  |16 21 03.9728466240 -54 35 23.588312424|330.3103254725585 -03.2704081057437|  -2.906 -6.437   |8.90     |B8III          |    ~     ~    |    1|  885.504   pc  | -17.2506    +17.2506    |paral   |2020yCat.1350....0G
3882|HD 146889                                                                                                |Star                                  |16 21 18.1232479440 -54 36 09.795864816|330.3254494063309 -03.3036271230503|  -0.658 -9.283   |9.76     |A0/1IV         |    ~     ~    |    1|  504.898   pc  |  -4.6141     +4.6141    |paral   |2020yCat.1350....0G
3883|HD 146984                                                                                                |Star                                  |16 21 53.6868385392 -54 29 40.392083832|330.4629481214176 -03.2880153246016| -1.799 -10.482   |10.23    |A0             |    ~     ~    |    1|  687.900   pc  | -10.5052    +10.5052    |paral   |2020yCat.1350....0G
3884|HD 146985                                                                                                |Star                                  |16 21 56.5767848928 -54 44 23.229747528|330.2938424757438 -03.4660327849375|  -2.780 -2.789   |8.85     |G8III          |    ~     ~    |    1|  561.545   pc  |  -5.6760     +5.6760    |paral   |2020yCat.1350....0G
3885|CD-54 6715                                                                                               |Star                                  |16 21 56.5587627720 -54 21 25.831676808|330.5653366650174 -03.1959758525387|  -0.814 -2.921   |9.99     |G7:III:        |    ~     ~    |    1| 1670.565   pc  | -49.3969    +49.3969    |paral   |2020yCat.1350....0G
3886|HD 147074                                                                                                |Star                                  |16 22 20.2015410888 -54 19 21.223394940|330.6304831734530 -03.2122690963233|    0.638 0.015   |8.08     |K2III          |    ~     ~    |    1|  234.621   pc  |  -1.1395     +1.1395    |paral   |2020yCat.1350....0G
3887|HD 147075                                                                                                |Star                                  |16 22 28.1850417432 -54 38 04.534603836|330.4223495671316 -03.4458570801594|-18.588 -36.131   |7.90     |K1III          |    ~     ~    |    1|  215.768   pc  |  -1.1034     +1.1034    |paral   |2020yCat.1350....0G
3888|CPD-54 7576                                                                                              |Star                                  |16 22 48.0 -54 19 00                   |330.6823 -03.2561                  |            ~ ~   |10.3     |~              |    ~     ~    |    0|                |                         |        |                   
3889|HD 145665                                                                                                |Double or Multiple Star               |16 15 01.1060386320 -55 40 47.857151640|328.9279387145707 -03.4454691411847|-59.056 -57.307   |8.90     |F8V            |    ~     ~    |    1|   99.842   pc  |  -0.3160     +0.3160    |paral   |2020yCat.1350....0G
3890|HD 145687                                                                                                |Star                                  |16 15 07.2739716936 -55 56 42.978162948|328.7544144316325 -03.6469715490941|  -2.138 12.908   |8.62     |A1/2III        |    ~     ~    |    1|  308.909   pc  |  -5.5346     +5.5346    |paral   |2020yCat.1350....0G
3891|HD 145831                                                                                                |Star                                  |16 15 58.2388164936 -56 03 47.092911912|328.7582911285397 -03.8141893806663|  -2.904 -7.407   |10.00    |A7III          |    ~     ~    |    1|  574.251   pc  |  -6.5953     +6.5953    |paral   |2020yCat.1350....0G
3892|CD-55 6618                                                                                               |Star                                  |16 16 05.7604095144 -55 27 23.573512224|329.1930621086891 -03.3900259500042|  -2.761 -4.415   |9.96     |G9:III:        |    ~     ~    |    1|  579.039   pc  |  -5.0963     +5.0963    |paral   |2020yCat.1350....0G
3893|HD 145928                                                                                                |High Proper Motion Star               |16 16 22.6855233552 -55 25 12.067935960|329.2473102585279 -03.3915515048660|  36.752 70.270   |9.94     |G6V            |    ~     ~    |    1|   74.421   pc  |  -0.0759     +0.0759    |paral   |2020yCat.1350....0G
3894|HD 146076                                                                                                |Star                                  |16 17 13.9576187736 -55 43 08.028871104|329.1256620419705 -03.6901753984232|  -0.214 -2.031   |10.26    |B8Ib/II        |    ~     ~    |    1| 1082.603   pc  | -22.0341    +22.0341    |paral   |2020yCat.1350....0G
3895|CD-55 6632                                                                                               |High Proper Motion Star               |16 17 18.9491164656 -55 26 23.705548548|329.3290711530001 -03.4984602167254|-129.806 21.730   |10.39    |G5:V:          |    ~     ~    |    1|  184.997   pc  |  -0.5134     +0.5134    |paral   |2020yCat.1350....0G
3896|HD 146246                                                                                                |alpha2 CVn Variable                   |16 18 06.7852589088 -55 31 10.310626128|329.3543345870162 -03.6343302361768|  -0.122 -1.680   |9.88     |ApSi           |    ~     ~    |    1| 1031.566   pc  | -17.3453    +17.3453    |paral   |2020yCat.1350....0G
3897|HD 146269                                                                                                |alpha2 CVn Variable                   |16 18 17.4594857904 -55 30 18.741171168|329.3824056212586 -03.6417195249217|  -1.607 -1.932   |9.90     |ApSi           |    ~     ~    |    1|  945.269   pc  | -18.7642    +18.7642    |paral   |2020yCat.1350....0G
3898|CD-54 6665                                                                                               |Star                                  |16 18 50.0869029504 -55 18 39.923675496|329.5738543377904 -03.5572816933428| -8.491 -18.684   |9.72     |G5III          |    ~     ~    |    1|  536.423   pc  |  -4.5177     +4.5177    |paral   |2020yCat.1350....0G
3899|HD 146464                                                                                                |Rotating Variable                     |16 19 15.8535160704 -55 30 17.043819372|329.4811842976304 -03.7380034041770|   5.584 18.394   |9.267    |K3Ve           |    ~     ~    |    1|   28.081   pc  |  -0.0131     +0.0131    |paral   |2020yCat.1350....0G
3900|HD 146529                                                                                                |Star                                  |16 19 32.9105582784 -55 19 07.356273528|329.6409389184320 -03.6339999170186| -1.978 -10.345   |9.63     |B9III          |    ~     ~    |    1|  640.943   pc  | -20.5815    +20.5815    |paral   |2020yCat.1350....0G
3901|CD-54 6723                                                                                               |Star                                  |16 22 42.2879096184 -54 41 17.657644380|330.4081620051268 -03.5077640770766|  -3.784 -7.896   |9.090    |K7III          |    ~     ~    |    1|  932.314   pc  | -20.7741    +20.7741    |paral   |2020yCat.1350....0G
3902|CD-55 6617                                                                                               |Star                                  |16 16 09.4115923224 -56 01 43.544482500|328.8009296680307 -03.8075676376951|  -2.662 -2.233   |10.18    |G6:            |    ~     ~    |    1| 1322.576   pc  | -35.3340    +35.3340    |paral   |2020yCat.1350....0G
3903|CD-53 6676                                                                                               |Star                                  |16 27 01.9963072080 -54 05 20.752619712|331.2786718392688 -03.5399816022530|   9.881 -1.326   |10.82    |F0V            |    ~     ~    |    1|  517.304   pc  |  -8.6168     +8.6168    |paral   |2020yCat.1350....0G
