C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:13:43

dec >=0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3219

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
65  |BD+79 428                                                                                                |Star                                |13 42 13.5462058344 +78 52 21.745369740|119.8483610554577 +37.9497266294584| -33.334 30.960   |8.86     |F8              |    ~     ~    |    1|  161.799   pc  |  -0.4032     +0.4032  |paral   |2020yCat.1350....0G
66  |BD+79 429                                                                                                |Spectroscopic Binary                |13 44 54.4478982936 +79 05 18.267165492|119.7608300399624 +37.7085489331260|-63.737 -35.782   |9.34     |F8              |    ~     ~    |    1|   87.982   pc  |  -0.2508     +0.2508  |paral   |2020yCat.1350....0G
67  |HD 119272                                                                                                |Star                                |13 37 56.8297817568 +77 53 26.808098532|119.8153091980270 +38.9546307500789| -5.685 -11.270   |8.00     |F4V             |    ~     ~    |    1|  155.569   pc  |  -0.5445     +0.5445  |paral   |2020yCat.1350....0G
68  |HD 120084                                                                                                |High Proper Motion Star             |13 42 39.2016156192 +78 03 51.979994712|119.5639089014460 +38.7268856578757| -64.900 46.164   |5.899    |G7III           |    ~     ~    |    1|  103.867   pc  |  -0.2783     +0.2783  |paral   |2020yCat.1350....0G
69  |BD+78 465                                                                                                |Star                                |13 42 47.3537466000 +77 39 45.785790576|119.4239629928746 +39.1136356127747|  -47.126 9.749   |9.87     |K2              |    ~     ~    |    1|  201.666   pc  |  -0.4555     +0.4555  |paral   |2020yCat.1350....0G
70  |NGC 5295                           NGC 5295                                                              |Galaxy                              |13 38 39.3818297760 +79 27 32.007301056|120.2309631168031 +37.4205304727761|   -0.640 0.477   |     ~   |~               |0.513 0.452    |    0|                |                       |        |                   
71  |TYC 4561-147-1                                                                                           |High Proper Motion Star             |13 37 26.0939112192 +79 45 44.039647656|120.3845045613319 +37.1374712000544|-103.931 12.256   |9.79     |~               |    ~     ~    |    1|  109.319   pc  |  -0.1255     +0.1255  |paral   |2020yCat.1350....0G
72  |TYC 4561-381-1                                                                                           |Star                                |13 40 36.1823368776 +79 18 25.661395584|120.0763342499112 +37.5470831919354|  -6.289 -1.492   |10.21    |~               |    ~     ~    |    1| 1339.405   pc  | -26.5513    +26.5513  |paral   |2020yCat.1350....0G
73  |TYC 4561-811-1                                                                                           |Star                                |13 39 04.8575 +79 36 09.948            |120.2489844 +37.2760797            | 26.096 -25.241   |9.81     |~               |    ~     ~    |    0|                |                       |        |                   
74  |TYC 4561-839-1                                                                                           |Star                                |13 33 15.9251969424 +79 46 00.565080672|120.6128094901886 +37.1723731267569|   5.400 -0.198   |10.16    |~               |    ~     ~    |    1|  857.192   pc  |  -8.3030     +8.3030  |paral   |2020yCat.1350....0G
75  |TYC 4561-982-1                                                                                           |Star                                |13 33 26.8560432816 +78 24 51.411592980|120.2510786490574 +38.4944301351402|    3.810 1.724   |9.88     |~               |    ~     ~    |    1|  650.237   pc  |  -9.1327     +9.1327  |paral   |2020yCat.1350....0G
76  |TYC 4561-1289-1                                                                                          |High Proper Motion Star             |13 41 39.6424062600 +79 33 23.589362124|120.0927860323253 +37.2933248298637| 98.901 -57.449   |9.37     |~               |    ~     ~    |    1|   85.002   pc  |  -0.0751     +0.0751  |paral   |2020yCat.1350....0G
77  |TYC 4561-1521-1                                                                                          |High Proper Motion Star             |13 44 32.2774494648 +78 48 33.853518468|119.6907343630988 +37.9825795038949| -64.228 23.212   |10.77    |~               |    ~     ~    |    1|  303.859   pc  |  -0.9141     +0.9141  |paral   |2020yCat.1350....0G
78  |TYC 4561-1674-1                                                                                          |High Proper Motion Star             |13 36 56.6724921936 +78 03 28.653976368|119.9295850327648 +38.8037592574397| -6.209 -53.873   |10.28    |~               |    ~     ~    |    1|  797.067   pc  |  -7.1791     +7.1791  |paral   |2020yCat.1350....0G
79  |TYC 4561-1812-1                                                                                          |Star                                |13 34 39.1856358000 +77 48 20.845567728|120.0084411643213 +39.0761022024108| -16.735 10.109   |10.53    |~               |    ~     ~    |    1|  843.597   pc  |  -8.3975     +8.3975  |paral   |2020yCat.1350....0G
80  |TYC 4561-1896-1                                                                                          |Star                                |13 36 58.2043722960 +79 08 34.792555128|120.2372095220868 +37.7459347801059|  -6.239 32.196   |10.22    |~               |    ~     ~    |    1|  140.031   pc  |  -0.2137     +0.2137  |paral   |2020yCat.1350....0G
81  |TYC 4561-2027-1                                                                                          |Star                                |13 35 04.6699950336 +78 32 48.631163244|120.1852396421028 +38.3476797714100|  -12.195 8.245   |9.85     |~               |    ~     ~    |    1|  927.816   pc  |  -9.4693     +9.4693  |paral   |2020yCat.1350....0G
82  |TYC 4561-2028-1                                                                                          |Star                                |13 32 31.4881447416 +78 45 07.203986928|120.3961403207428 +38.1731946785935| -14.927 -4.505   |10.97    |~               |    ~     ~    |    1| 1331.913   pc  | -19.5139    +19.5139  |paral   |2020yCat.1350....0G
83  |TYC 4564-96-1                                                                                            |High Proper Motion Star             |13 34 10.4137025160 +80 03 03.653838360|120.6368331126333 +36.8860533851970| 33.130 -42.563   |10.29    |~               |    ~     ~    |    1|  184.980   pc  |  -0.4517     +0.4517  |paral   |2020yCat.1350....0G
84  |TYC 4564-782-1                                                                                           |Star                                |13 30 40.4766034680 +80 39 46.265131764|120.9660783043263 +36.3151524274842|  -2.094 10.197   |10.64    |~               |    ~     ~    |    1|  307.796   pc  |  -1.2979     +1.2979  |paral   |2020yCat.1350....0G
85  |TYC 4564-796-1                                                                                           |Star                                |13 36 00.6945219054 +80 11 00.586265870|120.5753583802648 +36.7399420820737|-26.900 -37.245   |9.84     |~               |    ~     ~    |    0|                |                       |        |                   
86  |TYC 4564-892-1                                                                                           |Star                                |13 39 32.7352643136 +80 06 19.543778928|120.3696160958547 +36.7823016041373|  25.592 -3.386   |10.71    |~               |    ~     ~    |    1|  277.339   pc  |  -0.9538     +0.9538  |paral   |2020yCat.1350....0G
87  |BD+77 517                                                                                                |High Proper Motion Star             |13 36 38.3115184464 +76 18 24.993585036|119.4340196840518 +40.5128010337122| 15.603 -63.921   |9.69     |G5              |    ~     ~    |    1|  176.523   pc  |  -5.3222     +5.3222  |paral   |2020yCat.1350....0G
88  |BD+77 518                                                                                                |Star                                |13 40 32.0145079536 +76 51 09.848181888|119.3167115081347 +39.9289162494842| -3.988 -11.900   |9.11     |G               |    ~     ~    |    1|  145.406   pc  |  -0.2812     +0.2812  |paral   |2020yCat.1350....0G
89  |HD 119702                                                                                                |Star                                |13 40 40.8201302448 +76 50 37.605003036|119.3032760277069 +39.9355321302040|  -41.376 2.196   |6.68     |A5              |    ~     ~    |    1|  108.193   pc  |  -0.2552     +0.2552  |paral   |2020yCat.1350....0G
90  |TYC 4558-640-1                                                                                           |Star                                |13 40 33.4303161984 +76 50 42.593326728|119.3125786268851 +39.9359216152192| -34.694 16.801   |10.2     |~               |    ~     ~    |    1|  289.469   pc  |  -5.6308     +5.6308  |paral   |2020yCat.1350....0G
91  |HD 118555                                                                                                |Star                                |13 34 10.0358871864 +75 47 51.401338620|119.4749704429584 +41.0425417033383|  14.509 -2.441   |7.850    |A0              |    ~     ~    |    1|  220.172   pc  |  -1.1295     +1.1295  |paral   |2020yCat.1350....0G
92  |BD+77 520                                                                                                |High Proper Motion Star             |13 43 43.3620286344 +76 58 24.249309564|119.1292722576097 +39.7663108883982|-134.856 47.066   |9.87     |K0              |    ~     ~    |    1|   68.981   pc  |  -0.0661     +0.0661  |paral   |2020yCat.1350....0G
93  |BD+76 495                                                                                                |Star                                |13 41 40.9407312288 +75 48 05.625609480|118.8831536698005 +40.9292445573198|   -9.937 8.859   |9.81     |F5              |    ~     ~    |    1|  197.550   pc  |  -0.6830     +0.6830  |paral   |2020yCat.1350....0G
94  |BD+76 499                                                                                                |Star                                |13 44 04.8201739176 +75 21 41.787018540|118.5383783984917 +41.3144497933988| -25.807 12.505   |9.62     |F8              |    ~     ~    |    1|  203.306   pc  |  -5.8652     +5.8652  |paral   |2020yCat.1350....0G
