C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:13:43

dec >=0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3219

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1928|NGC 5272 1164                      NGC 5272 1164                                                         |RR Lyrae Variable                   |13 42 17.5722576240 +28 25 03.242427996|042.4154056979423 +78.6826488008704|  -0.293 -2.680   |15.730   |~               |    ~     ~    |    0|                |                       |        |                   
1929|NGC 5272 1057                      NGC 5272 1057                                                         |RR Lyrae Variable                   |13 42 15.1455013488 +28 25 21.300825036|042.4437390662646 +78.6912134095240|  -0.334 -2.452   |15.686   |~               |    ~     ~    |    0|                |                       |        |                   
1930|NGC 5272 1400                      NGC 5272 1400                                                         |RR Lyrae Variable                   |13 42 43.0251850536 +28 27 27.750824280|042.5889912041132 +78.5870554617005|  -0.153 -2.735   |15.63    |~               |    ~     ~    |    1|    9.86    kpc |                       |RRLyr   |2013ApJ...763...32D
1931|NGC 5272 1105                      NGC 5272 1105                                                         |RR Lyrae Variable                   |13 42 16.3119230496 +28 25 27.139890936|042.4506339226134 +78.6868463708031|  -0.085 -2.510   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1932|NGC 5272 1373                      NGC 5272 1373                                                         |RR Lyrae Variable                   |13 42 34.6501453992 +28 26 29.035194792|042.5164568545506 +78.6187089531725|  -0.086 -2.621   |15.521   |~               |    ~     ~    |    0|                |                       |        |                   
1933|NGC 5272 1122                      NGC 5272 1122                                                         |RR Lyrae Variable                   |13 42 16.7550443592 +28 24 19.772759700|042.3549155858430 +78.6863775680466|  -0.363 -2.951   |15.729   |~               |    ~     ~    |    0|                |                       |        |                   
1934|NGC 5272 1048                      NGC 5272 1048                                                         |RR Lyrae Variable                   |13 42 14.9849950752 +28 24 05.688862128|042.3370095203066 +78.6930901478961|  -0.087 -2.531   |15.768   |~               |    ~     ~    |    0|                |                       |        |                   
1935|NGC 5272 679                       NGC 5272 679                                                          |RR Lyrae Variable                   |13 42 09.8471057664 +28 25 53.197646988|042.4950964825124 +78.7100330027659|   0.083 -2.815   |15.581   |~               |    ~     ~    |    0|                |                       |        |                   
1936|NGC 5272 264                       NGC 5272 264                                                          |RR Lyrae Variable                   |13 41 54.7771719360 +28 27 51.948923256|042.6820570655426 +78.7629732280944|  -0.055 -2.747   |15.61    |~               |    ~     ~    |    1|    9.78    kpc |                       |RRLyr   |2013ApJ...763...32D
1937|NGC 5272 873                       NGC 5272 873                                                          |RR Lyrae Variable                   |13 42 12.2163708456 +28 33 03.652606044|043.1009405700245 +78.6931859126949|  -0.077 -2.551   |15.66    |~               |    ~     ~    |    1|   10.02    kpc |                       |RRLyr   |2013ApJ...763...32D
1938|NGC 5272 223                       NGC 5272 223                                                          |RR Lyrae Variable                   |13 41 48.9919063584 +28 26 32.084434176|042.5755654965454 +78.7855904119597|  -0.043 -2.747   |15.53    |~               |    ~     ~    |    1|    9.51    kpc |                       |RRLyr   |2013ApJ...763...32D
1939|NGC 5272 1231                      NGC 5272 1231                                                         |RR Lyrae Variable                   |13 42 20.1214748880 +28 24 53.544514860|042.3987808692341 +78.6734903736800|  -0.485 -2.613   |15.657   |~               |    ~     ~    |    0|                |                       |        |                   
1940|NGC 5272 708                       NGC 5272 708                                                          |RR Lyrae Variable                   |13 42 10.2882342696 +28 24 30.701574288|042.3777593969868 +78.7098486529350|   0.092 -2.505   |15.515   |~               |    ~     ~    |    0|                |                       |        |                   
1941|NGC 5272 837                       2MASS J13421204+2826265                                               |Red Giant Branch star               |13 42 12.0532321224 +28 26 26.474013996|042.5395679171711 +78.7013773620483|  -0.182 -2.618   |12.67    |~               |    ~     ~    |    0|                |                       |        |                   
1942|NGC 5272 194                       2MASS J13414426+2826048                                               |Asymptotic Giant Branch Star        |13 41 44.2596298800 +28 26 04.785362340|042.5424498264762 +78.8033868047064|  -0.160 -2.785   |13.85    |~               |    ~     ~    |    0|                |                       |        |                   
1943|NGC 5272 281                       NGC 5272 281                                                          |Red Giant Branch star               |13 41 56.3230575816 +28 25 56.581737852|042.5160780193253 +78.7594255817808|  -0.002 -2.845   |13.698   |~               |    ~     ~    |    0|                |                       |        |                   
1944|NGC 5272 1147                      NGC 5272 1147                                                         |Star                                |13 42 17.439 +28 26 57.24              |042.576591 +78.681137              |            ~ ~   |16.37    |~               |    ~     ~    |    0|                |                       |        |                   
1945|NGC 5272 1345                      2MASS J13422879+2824167                                               |Red Giant Branch star               |13 42 28.8046364064 +28 24 16.678697796|042.3369857579158 +78.6423479393822|  -0.229 -2.547   |13.75    |~               |    ~     ~    |    0|                |                       |        |                   
1946|NGC 5272 253                       NGC 5272 253                                                          |RR Lyrae Variable                   |13 41 53.5552722312 +28 25 25.632876432|042.4753706984204 +78.7700959695790|  -0.149 -2.663   |15.664   |~               |    ~     ~    |    0|                |                       |        |                   
1947|NGC 5272 616                       NGC 5272 616                                                          |RR Lyrae Variable                   |13 42 08.9816783688 +28 24 28.430816652|042.3760439904061 +78.7146667540023|  -0.370 -2.550   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1948|NGC 5272 650                       NGC 5272 650                                                          |RR Lyrae Variable                   |13 42 09.5016856512 +28 25 07.320370584|042.4305316898134 +78.7120968560769|  -0.044 -2.775   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1949|NGC 5272 1353                      NGC 5272 1353                                                         |RR Lyrae Variable                   |13 42 30.6697917792 +28 24 28.806959880|042.3519709148700 +78.6353220261812|  -0.504 -2.669   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1950|NGC 5272 338                       NGC 5272 338                                                          |RR Lyrae Variable                   |13 42 00.6731572800 +28 28 39.822570984|042.7426035660832 +78.7405293847345|  -0.259 -2.633   |15.657   |~               |    ~     ~    |    0|                |                       |        |                   
1951|NGC 5272 141                       NGC 5272 141                                                          |Star                                |13 41 17.2981365720 +28 49 30.410314320|044.5945473069082 +78.8692330169789|-23.993 -30.903   |     ~   |~               |    ~     ~    |    1|  329.870   pc  |  -1.7737     +1.7737  |paral   |2020yCat.1350....0G
1952|NGC 5272 143                       NGC 5272 143                                                          |High Proper Motion Star             |13 41 18.0369617136 +28 36 40.220252856|043.4888524263809 +78.8861376798226| -64.715 10.376   |     ~   |~               |    ~     ~    |    1|  298.240   pc  |  -1.6722     +1.6722  |paral   |2020yCat.1350....0G
1953|NGC 5272 144                       NGC 5272 144                                                          |Star                                |13 41 18.4816672152 +28 58 46.579799316|045.3870210953227 +78.8482952820031| -11.581 -9.834   |     ~   |~               |    ~     ~    |    1| 1279.263   pc  | -45.3314    +45.3314  |paral   |2020yCat.1350....0G
1954|NGC 5272 146                       NGC 5272 146                                                          |Star                                |13 41 19.5272320896 +28 46 17.067650556|044.3135802837040 +78.8664279363197| -24.334 26.934   |     ~   |~               |    ~     ~    |    1|  302.471   pc  |  -1.6011     +1.6011  |paral   |2020yCat.1350....0G
1955|NGC 5272 153                       2MASS J13412358+2829403                                               |Red Giant Branch star               |13 41 23.5873334184 +28 29 40.171756524|042.8775344475947 +78.8748469481162|  -0.156 -2.703   |14.13    |~               |    ~     ~    |    0|                |                       |        |                   
1956|NGC 5272 165                       NGC 5272 165                                                          |Star                                |13 41 29.9791131648 +28 36 18.445024584|043.4392019316722 +78.8430918493744|  -0.232 -2.742   |15.41    |~               |    ~     ~    |    0|                |                       |        |                   
1957|NGC 5272 172                       NGC 5272 172                                                          |Chemically Peculiar Star            |13 41 34.1361257568 +28 32 43.690306848|043.1258525829708 +78.8325877475431|  -4.124 -3.558   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1958|NGC 5272 178                       NGC 5272 178                                                          |Star                                |13 41 35.8210877712 +28 51 30.886052868|044.7309022961213 +78.7985707362867| -1.199 -15.834   |     ~   |~               |    ~     ~    |    1|  423.460   pc  |  -2.6539     +2.6539  |paral   |2020yCat.1350....0G
1959|NGC 5272 193                       2MASS J13414359+2829513                                               |Red Giant Branch star               |13 41 43.5956490888 +28 29 51.298319724|042.8665637743073 +78.8015445867567|  -0.223 -2.781   |14.75    |G8III           |    ~     ~    |    0|                |                       |        |                   
1960|NGC 5272 200                       2MASS J13414464+2826206                                               |Red Giant Branch star               |13 41 44.6453906880 +28 26 20.553751824|042.5644825727315 +78.8016906375404|  -0.150 -2.857   |15.14    |~               |    ~     ~    |    0|                |                       |        |                   
1961|NGC 5272 203                       NGC 5272 203                                                          |Star                                |13 41 45.0879371376 +28 26 38.693659560|042.5898225231466 +78.7997420214898|  -0.270 -2.642   |15.69    |~               |    ~     ~    |    0|                |                       |        |                   
1962|NGC 5272 213                       NGC 5272 213                                                          |Star                                |13 41 47.1714152232 +28 27 06.758181180|042.6272572979784 +78.7916103079038|  -0.381 -2.545   |15.76    |~               |    ~     ~    |    0|                |                       |        |                   
1963|NGC 5272 216                       2MASS J13414721+2829488                                               |Asymptotic Giant Branch Star        |13 41 47.2233793392 +28 29 48.792714108|042.8581722679993 +78.7883425436933|  -0.135 -2.652   |14.01    |~               |    ~     ~    |    0|                |                       |        |                   
1964|NGC 5272 229                       NGC 5272 229                                                          |Chemically Peculiar Star            |13 41 49.6970790648 +28 25 47.429813460|042.5110624517868 +78.7838171903050|  -0.167 -2.568   |14.84    |~               |    ~     ~    |    0|                |                       |        |                   
1965|NGC 5272 230                       NGC 5272 230                                                          |Star                                |13 41 49.7236780392 +28 30 24.558865092|042.9057911464736 +78.7785076092563|  -0.269 -2.655   |15.61    |~               |    ~     ~    |    0|                |                       |        |                   
1966|NGC 5272 239                       NGC 5272 239                                                          |Star                                |13 41 50.8933659504 +28 52 45.501196404|044.8076533502205 +78.7417305626116| -11.040 -2.743   |     ~   |~               |    ~     ~    |    1| 2766.252   pc  |-172.9386   +172.9386  |paral   |2020yCat.1350....0G
1967|NGC 5272 241                       NGC 5272 241                                                          |Horizontal Branch Star              |13 41 51.6800372016 +28 25 57.947685564|042.5236414376945 +78.7763782947084|  -0.013 -2.703   |15.36    |~               |    ~     ~    |    0|                |                       |        |                   
1968|NGC 5272 246                       NGC 5272 246                                                          |Star                                |13 41 52.2927867528 +28 35 18.695520780|043.3205913863850 +78.7630372642973| -1.434 -17.002   |     ~   |~               |    ~     ~    |    1| 1624.959   pc  | -40.9276    +40.9276  |paral   |2020yCat.1350....0G
1969|NGC 5272 255                       NGC 5272 255                                                          |Star                                |13 41 53.8189678728 +28 26 38.071822308|042.5781495032001 +78.7678345400488|  -0.096 -2.798   |14.39    |~               |    ~     ~    |    0|                |                       |        |                   
1970|NGC 5272 290                       NGC 5272 290                                                          |Star                                |13 41 57.3708485928 +28 29 56.182376220|042.8553011956397 +78.7511319825864|  -0.060 -2.506   |15.68    |~               |    ~     ~    |    0|                |                       |        |                   
1971|NGC 5272 294                       NGC 5272 294                                                          |Star                                |13 41 57.3253766808 +28 43 47.279060976|044.0341157904657 +78.7328245463958|-27.330 -30.033   |     ~   |~               |    ~     ~    |    1| 2103.934   pc  |-165.5526   +165.5526  |paral   |2020yCat.1350....0G
1972|NGC 5272 331                       NGC 5272 331                                                          |Star                                |13 42 00.2511951384 +28 28 15.186666792|042.7081675687794 +78.7425341359336|  -0.080 -2.638   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1973|NGC 5272 332                       NGC 5272 332                                                          |Horizontal Branch Star              |13 42 00.3898494936 +28 25 35.755565700|042.4816031588458 +78.7449237707263|  -0.279 -2.834   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1974|NGC 5272 344                       NGC 5272 344                                                          |Star                                |13 42 00.7840568376 +28 39 55.261775052|043.6999748496859 +78.7258490102163|  -21.410 4.031   |11.97    |~               |    ~     ~    |    1|  306.007   pc  |  -1.5451     +1.5451  |paral   |2020yCat.1350....0G
1975|NGC 5272 342                       NGC 5272 342                                                          |Star                                |13 42 01.1233555896 +28 27 30.590718084|042.6437670791025 +78.7401737819557|  -0.219 -2.782   |15.61    |~               |    ~     ~    |    0|                |                       |        |                   
1976|NGC 5272 358                       NGC 5272 358                                                          |Star                                |13 42 01.4138984760 +28 46 38.441599248|044.2691949974242 +78.7135786887420|  -1.518 -8.503   |     ~   |~               |    ~     ~    |    1|  546.627   pc  |  -5.1394     +5.1394  |paral   |2020yCat.1350....0G
1977|NGC 5272 363                       NGC 5272 363                                                          |Star                                |13 42 01.5662778480 +28 53 50.512506252|044.8788051801821 +78.7011284360167|   8.945 -8.578   |     ~   |~               |    ~     ~    |    1|  683.434   pc  |  -7.7536     +7.7536  |paral   |2020yCat.1350....0G
1978|NGC 5272 371                       NGC 5272 371                                                          |Star                                |13 42 02.5271003976 +28 28 47.753976036|042.7514951755662 +78.7336053428619|-12.429 -16.212   |     ~   |~               |    ~     ~    |    1| 1398.406   pc  | -49.0840    +49.0840  |paral   |2020yCat.1350....0G
1979|NGC 5272 398                       2MASS J13420388+2825088                                               |Red Giant Branch star               |13 42 03.8844934224 +28 25 08.832083016|042.4392481151691 +78.7326149231846|  -0.001 -2.635   |13.22    |~               |    ~     ~    |    0|                |                       |        |                   
1980|NGC 5272 412                       NGC 5272 412                                                          |Star                                |13 42 04.5949138296 +28 25 14.588188752|042.4465794161718 +78.7299164878235|  -0.047 -2.791   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1981|NGC 5272 419                       NGC 5272 419                                                          |Star                                |13 42 05.0103885504 +28 24 45.557004168|042.4049126499147 +78.7288997747892|   0.240 -2.719   |15.52    |~               |    ~     ~    |    0|                |                       |        |                   
1982|NGC 5272 451                       NGC 5272 451                                                          |RR Lyrae Variable                   |13 42 05.6225269680 +28 25 13.297631808|042.4435414834292 +78.7261806820629|   0.097 -2.705   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1983|NGC 5272 475                       NGC 5272 475                                                          |Star                                |13 42 05.9719062840 +28 41 30.473589084|043.8263771379301 +78.7046993566978|   2.075 -5.088   |     ~   |~               |    ~     ~    |    1|  979.432   pc  | -20.3369    +20.3369  |paral   |2020yCat.1350....0G
1984|NGC 5272 463                       NGC 5272 463                                                          |Star                                |13 42 06.0887065632 +28 24 38.312331696|042.3933869631920 +78.7250800558450|  -0.206 -2.706   |13.15    |~               |    ~     ~    |    0|                |                       |        |                   
1985|NGC 5272 465                       NGC 5272 465                                                          |Star                                |13 42 06.1603356816 +28 24 45.731753172|042.4038245971694 +78.7246905813942|  -0.154 -2.545   |13.92    |~               |    ~     ~    |    0|                |                       |        |                   
1986|NGC 5272 505                       NGC 5272 505                                                          |Horizontal Branch Star              |13 42 06.7207229352 +28 37 26.165175132|043.4798921013328 +78.7076212043674|  -0.142 -2.576   |16.11    |~               |    ~     ~    |    1|   10.3     kpc |                       |kin     |2011ApJ...738...79X
1987|NGC 5272 513                       NGC 5272 513                                                          |Star                                |13 42 07.1995394659 +28 24 37.124263470|042.3904176922338 +78.7210371600666|  -0.368 -2.663   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1988|NGC 5272 541                       NGC 5272 541                                                          |RR Lyrae Variable                   |13 42 07.8030317472 +28 25 29.879926572|042.4644829899683 +78.7179169991371|  -0.193 -2.833   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1989|NGC 5272 573                       2MASS J13420837+2825541                                               |Asymptotic Giant Branch Star        |13 42 08.3872507080 +28 25 54.203050884|042.4982537431438 +78.7153535900293|  -0.205 -2.742   |14.79    |~               |    ~     ~    |    0|                |                       |        |                   
1990|NGC 5272 588                       NGC 5272 588                                                          |Star                                |13 42 08.4101787816 +28 34 35.542100928|043.2361509950111 +78.7051650870769|    0.481 3.789   |     ~   |~               |    ~     ~    |    1| 1050.862   pc  | -15.7916    +15.7916  |paral   |2020yCat.1350....0G
1991|NGC 5272 594                       2MASS J13420853+2833029                                               |Red Giant Branch star               |13 42 08.5522005600 +28 33 03.032440560|043.1051100441114 +78.7065728623923|  -0.201 -2.573   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
1992|NGC 5272 595                       NGC 5272 595                                                          |Star                                |13 42 08.6138925360 +28 30 26.409507300|042.8834145710555 +78.7094773664683|  -0.166 -2.580   |15.76    |~               |    ~     ~    |    0|                |                       |        |                   
1993|NGC 5272 609                       NGC 5272 609                                                          |Star                                |13 42 08.8920965208 +28 26 39.324751224|042.5615615172549 +78.7127054391857|  -0.126 -2.515   |15.98    |~               |    ~     ~    |    0|                |                       |        |                   
1994|NGC 5272 621                       NGC 5272 621                                                          |Chemically Peculiar Star            |13 42 09.1622022456 +28 25 40.210464936|042.4775147405768 +78.7127657003134|  -0.363 -2.672   |14.14    |~               |    ~     ~    |    0|                |                       |        |                   
1995|NGC 5272 659                       NGC 5272 659                                                          |Star                                |13 42 09.5815584600 +28 26 33.268852608|042.5521541443762 +78.7102931197395|  -0.235 -2.733   |15.63    |~               |    ~     ~    |    0|                |                       |        |                   
1996|NGC 5272 709                       NGC 5272 709                                                          |Star                                |13 42 10.1115110592 +28 34 05.149578864|043.1907761823772 +78.6995960839899|  -1.292 -1.103   |13.89    |~               |    ~     ~    |    1|  861.178   pc  | -11.7177    +11.7177  |paral   |2020yCat.1350....0G
1997|NGC 5272 784                       NGC 5272 784                                                          |Star                                |13 42 10.6383677592 +28 55 51.383444124|045.0311655292194 +78.6646840761645|   0.766 -6.639   |     ~   |~               |    ~     ~    |    1| 1459.002   pc  | -64.9250    +64.9250  |paral   |2020yCat.1350....0G
1998|NGC 5272 739                       NGC 5272 739                                                          |Star                                |13 42 10.6504250424 +28 27 30.055628700|042.6312410010208 +78.7053601691901|  -0.301 -2.535   |15.73    |~               |    ~     ~    |    0|                |                       |        |                   
1999|NGC 5272 767                       NGC 5272 767                                                          |Star                                |13 42 11.0728007592 +28 24 32.496444612|042.3793999786999 +78.7069481245509|  -0.085 -2.591   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2000|NGC 5272 793                       NGC 5272 793                                                          |Star                                |13 42 11.0302602288 +28 40 46.697440512|043.7564990693866 +78.6873176476922|-10.760 -10.672   |     ~   |~               |    ~     ~    |    1|  960.984   pc  | -15.2376    +15.2376  |paral   |2020yCat.1350....0G
2001|NGC 5272 805                       NGC 5272 805                                                          |Star                                |13 42 11.5939864776 +28 24 18.451826964|042.3589200743353 +78.7052802095581|  -0.762 -3.206   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2002|NGC 5272 832                       2MASS J13421196+2825210                                               |Red Giant Branch star               |13 42 11.9696704920 +28 25 21.041799492|042.4470773564448 +78.7028328098128|  -0.226 -2.825   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2003|NGC 5272 872                       2MASS J13421236+2825570                                               |Asymptotic Giant Branch Star        |13 42 12.3773666640 +28 25 56.984043000|042.4974572709770 +78.7007138775899|  -0.216 -2.625   |14.68    |~               |    ~     ~    |    0|                |                       |        |                   
2004|NGC 5272 883                       NGC 5272 883                                                          |Star                                |13 42 12.5066285352 +28 26 16.439260452|042.5248287955147 +78.6998977581688|  -0.381 -2.703   |15.59    |~               |    ~     ~    |    0|                |                       |        |                   
2005|NGC 5272 902                       NGC 5272 902                                                          |Star                                |13 42 12.8466113736 +28 24 59.703925248|042.4158629873075 +78.6999940989479|  -0.342 -2.760   |15.52    |~               |    ~     ~    |    0|                |                       |        |                   
2006|NGC 5272 922                       NGC 5272 922                                                          |RR Lyrae Variable                   |13 42 13.0977418800 +28 25 37.064476956|042.4684266140613 +78.6984284907946|  -0.324 -2.805   |15.653   |~               |    ~     ~    |    0|                |                       |        |                   
2007|NGC 5272 1000                      2MASS J13421428+2825316                                               |Red Giant Branch star               |13 42 14.2886095920 +28 25 31.561359384|042.4592471925308 +78.6941692370429|  -0.181 -2.619   |13.01    |~               |    ~     ~    |    0|                |                       |        |                   
2008|NGC 5272 1003                      NGC 5272 1003                                                         |RR Lyrae Variable                   |13 42 14.3327297304 +28 25 14.366159976|042.4348791604990 +78.6943059065569|  -0.113 -2.697   |15.398   |~               |    ~     ~    |    0|                |                       |        |                   
2009|NGC 5272 1012                      NGC 5272 1012                                                         |Star                                |13 42 14.597 +28 24 13.02              |042.347817 +78.694386              |       -1.5 5.0   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2010|NGC 5272 1028                      NGC 5272 1028                                                         |Star                                |13 42 14.755 +28 24 49.72              |042.399538 +78.693185              |       -0.3 1.7   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2011|NGC 5272 1039                      NGC 5272 1039                                                         |Star                                |13 42 14.7837502824 +28 24 31.990652640|042.3744333384672 +78.6933820289149|  -0.244 -2.663   |14.01    |~               |    ~     ~    |    0|                |                       |        |                   
2012|NGC 5272 1128                      NAME vZ 1128                       NAME vZ 1128                       |Post-AGB Star                       |13 42 16.7509672392 +28 26 00.616904988|042.4974244397139 +78.6846570006333|  -0.241 -2.716   |15.04    |O8p             |    ~     ~    |    0|                |                       |        |                   
2013|NGC 5272 1131                      NGC 5272 1131                                                         |Star                                |13 42 16.7977111344 +28 26 24.689033412|042.5313790079700 +78.6840617379639|  -0.185 -2.698   |15.61    |~               |    ~     ~    |    0|                |                       |        |                   
2014|NGC 5272 1130                      NGC 5272 1130                                                         |Star                                |13 42 16.8069567312 +28 25 33.707553852|042.4593373288837 +78.6849220070741|  -0.117 -2.630   |15.82    |~               |    ~     ~    |    0|                |                       |        |                   
2015|NGC 5272 1143                      NGC 5272 1143                                                         |Star                                |13 42 17.2472391768 +28 24 23.023949472|042.3589515143897 +78.6845221332725|   0.088 -2.502   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2016|NGC 5272 1148                      NGC 5272 1148                                                         |Star                                |13 42 17.3225282160 +28 24 53.424688032|042.4018220900726 +78.6837303052463|  -0.046 -2.476   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2017|NGC 5272 1166                      NGC 5272 1166                                                         |Star                                |13 42 17.3882443920 +28 37 11.915576040|043.4439034404838 +78.6690450443195|   4.230 -0.858   |     ~   |~               |    ~     ~    |    1|  762.137   pc  |  -7.8415     +7.8415  |paral   |2020yCat.1350....0G
2018|NGC 5272 1154                      NGC 5272 1154                                                         |Star                                |13 42 17.4671904480 +28 24 43.708738176|042.3879283684110 +78.6833668607604|  -0.417 -2.433   |15.61    |~               |    ~     ~    |    0|                |                       |        |                   
2019|NGC 5272 1187                      NGC 5272 1187                                                         |RR Lyrae Variable                   |13 42 18.2209473696 +28 29 39.151611996|042.8042101465061 +78.6752918584335|  -0.080 -2.620   |15.38    |~               |    ~     ~    |    1|    8.92    kpc |                       |RRLyr   |2013ApJ...765..154D
2020|NGC 5272 1199                      NGC 5272 1199                                                         |Star                                |13 42 18.7448150808 +28 24 55.593138384|042.4032518706674 +78.6784909012608|  -0.297 -2.632   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2021|NGC 5272 1203                      2MASS J13421881+2824441                                               |Red Giant Branch star               |13 42 18.8117621064 +28 24 44.070930720|042.3869024243272 +78.6784423888784|  -0.110 -2.489   |13.18    |~               |    ~     ~    |    0|                |                       |        |                   
2022|NGC 5272 1208                      2MASS J13421917+2823487                                               |Red Giant Branch star               |13 42 19.1725930872 +28 23 48.654285000|042.3082274887582 +78.6780541859321|  -0.289 -2.432   |13.29    |~               |    ~     ~    |    0|                |                       |        |                   
2023|NGC 5272 1248                      NGC 5272 1248                                                         |Star                                |13 42 20.3473193856 +28 42 21.157891020|043.8747032729225 +78.6511400243166| -25.590 -7.987   |12.58    |~               |    ~     ~    |    1|  266.752   pc  |  -0.9891     +0.9891  |paral   |2020yCat.1350....0G
2024|NGC 5272 1246                      2MASS J13422091+2824011                                               |Asymptotic Giant Branch Star        |13 42 20.9212454256 +28 24 01.109565000|042.3238569240487 +78.6714490194161|  -0.283 -2.523   |14.02    |~               |    ~     ~    |    0|                |                       |        |                   
2025|NGC 5272 1255                      NGC 5272 1255                                                         |Star                                |13 42 21.2917888608 +28 23 44.907455940|042.3005739054185 +78.6703627060910|  -0.205 -2.729   |15.62    |~               |    ~     ~    |    0|                |                       |        |                   
2026|NGC 5272 1263                      NGC 5272 1263                                                         |Star                                |13 42 21.5090651976 +28 29 32.080248312|042.7900570285083 +78.6634128071526|  -0.134 -2.546   |15.59    |~               |    ~     ~    |    0|                |                       |        |                   
2027|NGC 5272 1270                      2MASS J13422197+2828408                                               |Red Giant Branch star               |13 42 21.9826235688 +28 28 40.922388624|042.7173377555666 +78.6626398902932|  -0.241 -2.787   |14.13    |~               |    ~     ~    |    0|                |                       |        |                   
2028|NGC 5272 1273                      2MASS J13422214+2824057                                               |Red Giant Branch star               |13 42 22.1452835952 +28 24 05.723749620|042.3289967497372 +78.6668938051593|  -0.069 -2.499   |13.43    |~               |    ~     ~    |    0|                |                       |        |                   
2029|NGC 5272 1288                      NGC 5272 1288                                                         |Star                                |13 42 22.1783879664 +28 58 02.581168908|045.1921159797390 +78.6189267226353| -0.251 -12.487   |     ~   |~               |    ~     ~    |    1| 1031.566   pc  | -16.0683    +16.0683  |paral   |2020yCat.1350....0G
2030|NGC 5272 1274                      NGC 5272 1274                                                         |Variable Star                       |13 42 22.1979265104 +28 23 43.530334800|042.2976227831617 +78.6670701005226|  -0.181 -2.623   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
2031|NGC 5272 1294                      NGC 5272 1294                                                         |Star                                |13 42 23.399 +28 26 08.38              |042.500558 +78.660211              |        1 -33.1   |15.44    |~               |    ~     ~    |    0|                |                       |        |                   
2032|NGC 5272 1299                      NGC 5272 1299                                                         |Star                                |13 42 23.6086072080 +28 25 33.517736724|042.4511601707252 +78.6600504515908|   0.140 -2.336   |15.53    |~               |    ~     ~    |    0|                |                       |        |                   
2033|NGC 5272 1301                      2MASS J13422387+2824418                                               |Red Giant Branch star               |13 42 23.8753214352 +28 24 41.813055324|042.3779501265003 +78.6599584097409|  -0.006 -2.498   |14.65    |~               |    ~     ~    |    0|                |                       |        |                   
2034|NGC 5272 1305                      2MASS J13422416+2826168                                               |Red Giant Branch star               |13 42 24.1650621936 +28 26 16.805396832|042.5115352985208 +78.6572622245550|  -0.050 -2.592   |14.58    |~               |    ~     ~    |    0|                |                       |        |                   
2035|NGC 5272 1311                      NGC 5272 1311                                                         |Horizontal Branch Star              |13 42 24.3876487968 +28 51 30.259508544|044.6385306147999 +78.6222651932695|  1.378 -14.222   |     ~   |~               |    ~     ~    |    1| 3443.4382  pc  |                       |ST-L    |2016AJ....151...85T
2036|NGC 5272 1312                      NGC 5272 1312                                                         |Star                                |13 42 25.0083299400 +28 25 25.845464460|042.4387275340182 +78.6550634261460|  -0.084 -2.689   |15.71    |~               |    ~     ~    |    0|                |                       |        |                   
2037|NGC 5272 1318                      NGC 5272 1318                                                         |Star                                |13 42 25.6115326656 +28 29 55.947928164|042.8184768207426 +78.6479729687392|  -0.071 -2.762   |15.99    |~               |    ~     ~    |    0|                |                       |        |                   
2038|NGC 5272 1324                      NGC 5272 1324                                                         |Star                                |13 42 26.0154252000 +28 27 00.682669296|042.5711669372095 +78.6497212601912|  -0.329 -2.578   |15.99    |~               |    ~     ~    |    0|                |                       |        |                   
2039|NGC 5272 1323                      NGC 5272 1323                                                         |Star                                |13 42 26.0625926640 +28 23 49.706581344|042.3020430266300 +78.6528278009156|  -0.187 -2.735   |     ~   |~               |    ~     ~    |    0|                |                       |        |                   
