C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:53:16

dec >=0&rah >=5.5&rah< 5.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6861

 #  |                                                                                  identifier                                                                                   |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
51  |BD+47 1165                                                                                                                                                                     |Star                            |05 31 39.2145396480 +47 29 31.630334784|162.7745233279551 +07.5273614750586|    1.338 0.748   |10.51    |A0                |    ~     ~          |    1|  803.600   pc  | -11.9468    +11.9468  |paral   |2020yCat.1350....0G
52  |HD 36157                                                                                                                                                                       |Star                            |05 32 10.0705574664 +47 11 33.722068704|163.0765526179799 +07.4403720276334|  3.810 -17.688   |7.77     |B9                |    ~     ~          |    1|  297.548   pc  |  -6.9411     +6.9411  |paral   |2020yCat.1350....0G
53  |HD 36172                                                                                                                                                                       |Star                            |05 32 16.6021071648 +47 21 15.474015252|162.9488709424965 +07.5424960366641|   2.676 -1.727   |9.06     |B9                |    ~     ~          |    1|  505.306   pc  |  -4.5960     +4.5960  |paral   |2020yCat.1350....0G
54  |HD 36279                                                                                                                                                                       |Star                            |05 33 00.6809033472 +47 34 33.277199844|162.8267349662690 +07.7658244027658|  5.159 -22.174   |8.99     |A0                |    ~     ~          |    1|  338.226   pc  |  -2.4138     +2.4138  |paral   |2020yCat.1350....0G
55  |BD+47 1173                                                                                                                                                                     |High Proper Motion Star         |05 34 41.1895963152 +47 12 15.230945736|163.2965731472351 +07.8086311973308| -4.814 -83.561   |9.57     |F8                |    ~     ~          |    1|  157.990   pc  |  -0.4917     +0.4917  |paral   |2020yCat.1350....0G
56  |HD 36180                                                                                                                                                                       |Pulsating Variable              |05 32 17.0658737664 +46 08 28.246173288|163.9817937595788 +06.8932008041042|  -3.268 -3.336   |9.18     |A2                |    ~     ~          |    1|  612.970   pc  |  -9.2430     +9.2430  |paral   |2020yCat.1350....0G
57  |HD 36304                                                                                                                                                                       |Star                            |05 33 08.2992551592 +46 52 53.195814048|163.4309625696846 +07.4136478640102| 20.533 -37.433   |7.80     |A0                |    ~     ~          |    1|  148.854   pc  |  -0.9062     +0.9062  |paral   |2020yCat.1350....0G
58  |BD+46 1024                                                                                                                                                                     |Star                            |05 33 07.8016134960 +46 30 56.288551500|163.7419986065103 +07.2170711745099|  -2.880 -4.041   |9.95     |A2                |    ~     ~          |    1|  439.947   pc  |  -7.4325     +7.4325  |paral   |2020yCat.1350....0G
59  |HD 36438                                                                                                                                                                       |Double or Multiple Star         |05 34 03.3923020416 +46 11 12.761127816|164.1082419966528 +07.1769062479085|  0.473 -18.347   |7.79     |K2                |0.0017  0.0          |    1|  423.998   pc  |  -3.9191     +3.9191  |paral   |2020yCat.1350....0G
60  |HD 36571                                                                                                                                                                       |Star                            |05 35 02.1797942616 +46 09 52.983783036|164.2180218845678 +07.3088145380734| 28.261 -29.356   |8.96     |F5                |    ~     ~          |    1|  168.925   pc  |  -0.4908     +0.4908  |paral   |2020yCat.1350....0G
61  |HD 35896                                                                                                                                                                       |Star                            |05 30 09.6218678664 +45 49 46.995178620|164.0451497709517 +06.4144681553644|  -4.691 -6.457   |8.21     |K0                |    ~     ~          |    1|  287.869   pc  |  -1.9723     +1.9723  |paral   |2020yCat.1350....0G
