C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:53:16

dec >=0&rah >=5.5&rah< 5.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6861

 #  |                                                                                  identifier                                                                                   |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
3316|HD 244407                                                                                                                                                                      |Star                            |05 30 32.0259975528 +03 43 43.780491840|199.9890097353862 -16.1041827412686|    1.441 0.539   |9.91     |A2                |    ~     ~          |    1|  433.163   pc  |  -4.7846     +4.7846  |paral   |2020yCat.1350....0G
3317|HD 36268                                                                                                                                                                       |High Proper Motion Star         |05 30 47.0501078208 +03 31 38.781782940|200.2034114905132 -16.1493370190848|35.463 -116.608   |8.82     |K0III             |    ~     ~          |    1|   98.892   pc  |  -0.1721     +0.1721  |paral   |2020yCat.1350....0G
3318|HD 36340                                                                                                                                                                       |Star                            |05 31 05.0175624144 +03 21 11.767373136|200.3995352319142 -16.1701903532436|   0.873 -3.206   |7.95     |B3V               |    ~     ~          |    1|  695.991   pc  | -22.2826    +22.2826  |paral   |2020yCat.1350....0G
3319|* n01 Ori                                                                                                                                                                      |Double or Multiple Star         |05 31 14.53183 +03 17 31.6729          |200.47522826 -16.16584791          |    -0.22 -1.50   |5.46     |B3II/III          |    ~     ~          |    0|                |                       |        |                   
3320|HD 36472                                                                                                                                                                       |Star                            |05 31 58.9501160400 +03 08 39.573915900|200.7037733296199 -16.0776082539102|   -1.205 3.453   |9.32     |A0/1V             |    ~     ~          |    1|  347.705   pc  |  -6.9517     +6.9517  |paral   |2020yCat.1350....0G
3321|HD 36537                                                                                                                                                                       |Star                            |05 32 32.5502254224 +03 26 17.947057452|200.5089238504533 -15.8114017114466| 21.503 -28.442   |9.46     |A9V               |    ~     ~          |    1|  206.877   pc  |  -0.7104     +0.7104  |paral   |2020yCat.1350....0G
3322|HD 36627                                                                                                                                                                       |Star                            |05 33 08.9076650496 +03 07 51.934537956|200.8642876478370 -15.8304875874102|   1.757 -0.355   |7.56     |B5V               |    ~     ~          |    1|  313.883   pc  |  -7.5074     +7.5074  |paral   |2020yCat.1350....0G
3323|HD 245044                                                                                                                                                                      |Star                            |05 34 13.8431243904 +03 42 06.520680180|200.4857162531742 -15.3150480772383|   2.663 -8.378   |9.14     |K5                |    ~     ~          |    1|  394.042   pc  |  -2.3756     +2.3756  |paral   |2020yCat.1350....0G
3324|* 38 Ori                                                                                                                                                                       |Double or Multiple Star         |05 34 16.7734419624 +03 46 00.862561380|200.4331573451750 -15.2724387862099|-24.785 -17.721   |5.326    |A1V               |    ~     ~          |    1|  166.867   pc  |  -6.8748     +6.8748  |paral   |2020yCat.1350....0G
3325|HD 36809                                                                                                                                                                       |Star                            |05 34 24.5822275680 +03 33 40.950434772|200.6353019001151 -15.3451254012688|   4.007 -7.960   |8.72     |A1V               |    ~     ~          |    1|  203.753   pc  |  -6.4556     +6.4556  |paral   |2020yCat.1350....0G
3326|HD 245173                                                                                                                                                                      |Star                            |05 34 46.8605110992 +03 28 43.422553344|200.7571020288688 -15.3049299049503|    7.010 2.444   |9.94     |K7                |    ~     ~          |    1| 1469.508   pc  | -43.8369    +43.8369  |paral   |2020yCat.1350....0G
3327|BD+03 968                                                                                                                                                                      |Star                            |05 34 49.3758966936 +03 47 13.537656744|200.4839797352717 -15.1444709362222|   2.282 -9.581   |10.03    |K                 |    ~     ~          |    1|  831.463   pc  | -29.5198    +29.5198  |paral   |2020yCat.1350....0G
3328|HD 245172                                                                                                                                                                      |Star                            |05 34 50.3633828808 +03 44 30.586427736|200.5269155656705 -15.1631309805046|   0.278 -5.101   |8.78     |K7                |    ~     ~          |    1|  354.937   pc  |  -2.5070     +2.5070  |paral   |2020yCat.1350....0G
3329|HD 245374                                                                                                                                                                      |Star                            |05 35 59.3821238880 +03 48 58.007361492|200.6057453780529 -14.8766642626007| -2.302 -17.208   |9.54     |K5                |    ~     ~          |    1|  492.344   pc  |  -3.4906     +3.4906  |paral   |2020yCat.1350....0G
3330|HD 245388                                                                                                                                                                      |Star                            |05 35 59.5541631432 +03 07 46.535198016|201.2260653864581 -15.2119856036977|  -4.241 -1.049   |9.93     |M0                |    ~     ~          |    1|  452.550   pc  |  -2.6829     +2.6829  |paral   |2020yCat.1350....0G
3331|HD 245519                                                                                                                                                                      |Star                            |05 36 29.3571830784 +03 18 29.701092456|201.1272696089059 -15.0165546580380|  -0.208 -0.956   |9.57     |A0                |    ~     ~          |    1|  432.040   pc  |  -4.7785     +4.7785  |paral   |2020yCat.1350....0G
3332|HD 245574                                                                                                                                                                      |Star                            |05 36 54.3482049360 +04 00 55.701103320|200.5420204135940 -14.5797573602402|   1.646 -9.537   |9.42     |A7                |    ~     ~          |    1|  231.075   pc  |  -9.3015     +9.3015  |paral   |2020yCat.1350....0G
3333|HD 245680                                                                                                                                                                      |Star                            |05 37 22.7622706632 +03 32 22.294873248|201.0307403952815 -14.7097601817299|   1.062 -7.539   |9.59     |B9                |    ~     ~          |    1|  483.395   pc  |  -7.5709     +7.5709  |paral   |2020yCat.1350....0G
3334|HD 36378                                                                                                                                                                       |Spectroscopic Binary            |05 31 24.0223862268 +03 04 12.453072449|200.6967536169072 -16.2406346521490| 11.822 -19.733   |8.968    |F3V               |    ~     ~          |    1|  260.457   pc  | -23.3838    +23.3838  |paral   |2020yCat.1350....0G
3335|HD 36429                                                                                                                                                                       |Star                            |05 31 41.2246402248 +02 49 58.188570312|200.9487305961599 -16.2946988856417|    1.889 0.409   |7.56     |B7II              |    ~     ~          |    1|  338.043   pc  |  -5.6451     +5.6451  |paral   |2020yCat.1350....0G
3336|HD 287931                                                                                                                                                                      |Star                            |05 31 40.6902791808 +02 51 04.611891600|200.9308397625979 -16.2875934524176|   -0.819 0.906   |8.91     |A                 |    ~     ~          |    1|  352.572   pc  |  -3.7043     +3.7043  |paral   |2020yCat.1350....0G
3337|HD 36759                                                                                                                                                                       |Star                            |05 34 03.9185914872 +03 03 26.877143844|201.0474404218566 -15.6669872089059|  3.886 -10.214   |7.83     |A2V               |    ~     ~          |    1|  170.555   pc  |  -2.4231     +2.4231  |paral   |2020yCat.1350....0G
3338|HD 288057                                                                                                                                                                      |Star                            |05 34 28.7420236128 +02 55 12.853210728|201.2242050409142 -15.6439604781851|   0.515 -6.658   |10.14    |K7                |    ~     ~          |    1| 1257.703   pc  | -28.1564    +28.1564  |paral   |2020yCat.1350....0G
3339|HD 288108                                                                                                                                                                      |Star                            |05 37 28.3928936184 +02 54 44.028957924|201.6092140422586 -14.9950762814537|   11.291 1.180   |8.37     |K2                |    ~     ~          |    1|  301.614   pc  |  -2.2106     +2.2106  |paral   |2020yCat.1350....0G
3340|HD 287927                                                                                                                                                                      |Variable Star                   |05 30 48.0178638648 +02 59 34.619407332|200.6901005736336 -16.4090332148978|    1.401 1.853   |10.72    |F2                |    ~     ~          |    1|  334.213   pc  |  -4.9594     +4.9594  |paral   |2020yCat.1350....0G
3341|HD 287932                                                                                                                                                                      |Rotating Variable               |05 31 29.1519102264 +02 50 31.180900380|200.9147457878639 -16.3339971557093|   2.696 -0.554   |10.524   |F5                |    ~     ~          |    1|  349.969   pc  |  -2.6578     +2.6578  |paral   |2020yCat.1350....0G
3342|HD 287930                                                                                                                                                                      |Star                            |05 31 35.6017476840 +02 55 39.766628748|200.8506291378116 -16.2685681141213|  -4.279 -5.190   |10.91    |G0                |    ~     ~          |    1|  422.744   pc  |  -7.1664     +7.1664  |paral   |2020yCat.1350....0G
3343|HD 288001                                                                                                                                                                      |Star                            |05 31 50.7506964624 +02 58 46.261300332|200.8358195198899 -16.1882244701343|  -3.862 -7.521   |10.62    |K2                |    ~     ~          |    1|  710.429   pc  | -10.6494    +10.6494  |paral   |2020yCat.1350....0G
3344|HD 288055                                                                                                                                                                      |Star                            |05 34 46.2499044168 +03 02 55.831272504|201.1446621287210 -15.5175649064037|    2.271 3.258   |10.70    |K0                |    ~     ~          |    1|  327.697   pc  |  -1.5463     +1.5463  |paral   |2020yCat.1350....0G
3345|HD 288058                                                                                                                                                                      |Double or Multiple Star         |05 34 12.085200 +02 52 06.23820        |201.236023497 -15.729763839        |      -0.9 -4.4   |9.97     |G5                |    ~     ~          |    0|                |                       |        |                   
3346|HD 288054                                                                                                                                                                      |Star                            |05 35 07.7526534408 +03 00 04.828464684|201.2330238525229 -15.4626985968624|  1.652 -11.909   |10.53    |G0                |    ~     ~          |    1|  323.887   pc  |  -1.7204     +1.7204  |paral   |2020yCat.1350....0G
3347|TYC 118-1045-1                                                                                                                                                                 |Spectroscopic Binary            |05 30 20.9960026104 +03 06 18.294700464|200.5306626078930 -16.4517855605824|  7.472 -33.199   |10.61    |~                 |    ~     ~          |    1|  219.322   pc  |  -1.2795     +1.2795  |paral   |2020yCat.1350....0G
3348|CCDM J05315+0437A                                                                                                                                                              |Star                            |05 31 31.7354620968 +04 37 15.365062344|199.3117056977519 -15.4464648352148|  15.318 -7.570   |10.8     |~                 |    ~     ~          |    1|  310.463   pc  |  -2.0049     +2.0049  |paral   |2020yCat.1350....0G
3349|2MASS J05313286+0437084                                                                                                                                                        |Star                            |05 31 32.8690925400 +04 37 08.541531300|199.3158394376330 -15.4433211023454|   2.872 -3.444   |10.9     |~                 |    ~     ~          |    1|  585.069   pc  |  -7.3253     +7.3253  |paral   |2020yCat.1350....0G
3350|TYC 118-940-1                                                                                                                                                                  |Star                            |05 32 15.6697611888 +02 50 28.444155828|201.0142425236416 -16.1656175005910|   -8.931 3.200   |10.80    |~                 |    ~     ~          |    1|  330.284   pc  |  -1.6690     +1.6690  |paral   |2020yCat.1350....0G
3351|TYC 118-1047-1                                                                                                                                                                 |Star                            |05 31 56.4724958352 +03 06 28.316532960|200.7315624125550 -16.1044914383883|   7.465 -1.856   |10.69    |~                 |    ~     ~          |    1| 1273.074   pc  | -27.5522    +27.5522  |paral   |2020yCat.1350....0G
3352|TYC 118-1067-1                                                                                                                                                                 |Star                            |05 31 27.1928641560 +03 10 24.542208156|200.6097608005575 -16.1783541802371|    6.738 3.833   |10.42    |~                 |    ~     ~          |    1| 1475.361   pc  | -51.3699    +51.3699  |paral   |2020yCat.1350....0G
3353|TYC 118-1070-1                                                                                                                                                                 |Star                            |05 31 24.7465774464 +03 07 49.091493396|200.6437094939580 -16.2084420526110|   2.407 -5.154   |10.65    |~                 |    ~     ~          |    1| 1184.975   pc  | -23.5900    +23.5900  |paral   |2020yCat.1350....0G
3354|TYC 118-1076-1                                                                                                                                                                 |Star                            |05 30 56.3065942680 +03 07 59.191252752|200.5805678082265 -16.3100976401260|  4.410 -18.282   |10.67    |~                 |    ~     ~          |    1|  184.846   pc  |  -0.4886     +0.4886  |paral   |2020yCat.1350....0G
3355|TYC 118-1078-1                                                                                                                                                                 |Star                            |05 31 10.4620974456 +03 08 28.208197608|200.6034274523473 -16.2548540575168|  8.209 -12.010   |10.11    |~                 |    ~     ~          |    1|  227.770   pc  |  -1.9818     +1.9818  |paral   |2020yCat.1350....0G
3356|TYC 118-1830-1                                                                                                                                                                 |Star                            |05 35 10.0153373520 +03 13 12.056377728|201.0398959987288 -15.3476300181506|   9.119 22.110   |9.72     |~                 |    ~     ~          |    1|  440.354   pc  |  -2.9087     +2.9087  |paral   |2020yCat.1350....0G
3357|TYC 118-1879-1                                                                                                                                                                 |Star                            |05 36 09.8563844208 +03 30 11.867621472|200.9100620720339 -14.9919602619817|   12.416 3.351   |9.92     |~                 |    ~     ~          |    1|  225.367   pc  |  -0.9345     +0.9345  |paral   |2020yCat.1350....0G
3358|TYC 118-1884-1                                                                                                                                                                 |Star                            |05 32 10.4297532672 +03 24 57.644802000|200.4820680717334 -15.9024779319087|  0.569 -16.857   |9.73     |~                 |    ~     ~          |    1|  903.261   pc  | -14.6858    +14.6858  |paral   |2020yCat.1350....0G
3359|TYC 118-1929-1                                                                                                                                                                 |Star                            |05 33 06.5109788136 +03 43 07.503681252|200.3275409275107 -15.5504590123420| -0.056 -35.515   |10.81    |~                 |    ~     ~          |    1|  234.159   pc  |  -1.1734     +1.1734  |paral   |2020yCat.1350....0G
3360|TYC 118-2003-1                                                                                                                                                                 |Star                            |05 35 04.1839476672 +03 19 57.098065404|200.9258442097425 -15.3137367503187|  5.046 -10.869   |10.15    |~                 |    ~     ~          |    1|  279.392   pc  |  -2.0061     +2.0061  |paral   |2020yCat.1350....0G
3361|TYC 118-2027-1                                                                                                                                                                 |Star                            |05 37 06.3797443032 +03 37 37.993836288|200.9172101769023 -14.7263256623463|  19.067 -0.063   |10.57    |~                 |    ~     ~          |    1|  583.226   pc  |  -5.2043     +5.2043  |paral   |2020yCat.1350....0G
3362|TYC 118-2045-1                                                                                                                                                                 |Star                            |05 31 47.5082539272 +03 33 36.272705724|200.3028768300266 -15.9145135916353| -0.486 -30.744   |10.57    |~                 |    ~     ~          |    1|  263.130   pc  |  -1.0178     +1.0178  |paral   |2020yCat.1350....0G
3363|TYC 118-2046-1                                                                                                                                                                 |Star                            |05 34 30.6443110824 +03 41 56.099525316|200.5239152456241 -15.2556266455147| 22.699 -37.040   |10.78    |~                 |    ~     ~          |    1|  171.798   pc  |  -0.8766     +0.8766  |paral   |2020yCat.1350....0G
3364|TYC 118-2082-1                                                                                                                                                                 |Star                            |05 32 02.7709485648 +03 16 39.748621512|200.5910219665601 -15.9982303912383|   5.139 -1.139   |10.20    |~                 |    ~     ~          |    1| 1074.576   pc  | -18.9373    +18.9373  |paral   |2020yCat.1350....0G
3365|TYC 118-2083-1                                                                                                                                                                 |Star                            |05 31 19.0366737936 +03 36 17.037082296|200.2017498957950 -15.9955000587706|    1.832 0.277   |10.43    |~                 |    ~     ~          |    1|  456.184   pc  | -19.3744    +19.3744  |paral   |2020yCat.1350....0G
3366|TYC 118-2094-1                                                                                                                                                                 |Star                            |05 37 11.4252590976 +03 35 06.327809952|200.9658158545632 -14.7286239228463|  -4.186 -9.124   |10.16    |~                 |    ~     ~          |    1|  591.086   pc  |  -6.0094     +6.0094  |paral   |2020yCat.1350....0G
3367|TYC 118-2101-1                                                                                                                                                                 |Star                            |05 36 08.9045954448 +03 09 04.168898280|201.2262375670854 -15.1675069040777|  -26.756 8.698   |10.58    |~                 |    ~     ~          |    1|  172.396   pc  |  -1.4830     +1.4830  |paral   |2020yCat.1350....0G
3368|TYC 118-2119-1                                                                                                                                                                 |Star                            |05 36 32.8061068824 +03 22 53.752434780|201.0682693933204 -14.9682058602072|   -8.078 5.775   |10.27    |~                 |    ~     ~          |    1|  375.756   pc  |  -2.3579     +2.3579  |paral   |2020yCat.1350....0G
3369|TYC 118-2140-1                                                                                                                                                                 |Spectroscopic Binary            |05 32 57.1806790896 +03 19 45.800087304|200.6598355376041 -15.7757086206037| 46.608 -73.466   |9.45     |~                 |    ~     ~          |    1|   96.761   pc  |  -1.4606     +1.4606  |paral   |2020yCat.1350....0G
3370|TYC 118-2153-1                                                                                                                                                                 |Star                            |05 36 13.9389178464 +03 18 21.434336172|201.0969027959987 -15.0736393693472|   2.402 -5.057   |10.76    |~                 |    ~     ~          |    1|  731.689   pc  | -11.3498    +11.3498  |paral   |2020yCat.1350....0G
3371|TYC 118-2286-1                                                                                                                                                                 |Star                            |05 36 27.3338360952 +03 28 45.939032544|200.9684171074837 -14.9402397765684|   -0.719 0.285   |10.29    |~                 |    ~     ~          |    1|  426.749   pc  |  -4.4618     +4.4618  |paral   |2020yCat.1350....0G
3372|TYC 118-2293-1                                                                                                                                                                 |High Proper Motion Star         |05 36 10.9593792840 +03 14 15.614125152|201.1523442761788 -15.1178091068696|-13.011 -81.524   |9.50     |~                 |    ~     ~          |    1|  141.311   pc  |  -0.2776     +0.2776  |paral   |2020yCat.1350....0G
3373|TYC 118-2308-1                                                                                                                                                                 |Star                            |05 33 18.3291270456 +03 06 05.660536572|200.9109993514150 -15.8107862409046|   2.627 -4.385   |10.16    |~                 |    ~     ~          |    1| 1432.460   pc  | -35.0882    +35.0882  |paral   |2020yCat.1350....0G
3374|TYC 118-2429-1                                                                                                                                                                 |Star                            |05 30 47.7757035768 +03 13 19.982495496|200.4815478128479 -16.2971478669999|  -6.749 -4.965   |10.90    |~                 |    ~     ~          |    1|  587.475   pc  |  -8.0415     +8.0415  |paral   |2020yCat.1350....0G
3375|IRAS 05284+0331                                                                                                                                                                |Star                            |05 31 00.4786835664 +03 34 05.982865140|200.1950771093007 -16.0805874921413|    0.355 1.032   |9.54     |~                 |    ~     ~          |    1| 1639.882   pc  | -52.7086    +52.7086  |paral   |2020yCat.1350....0G
3376|TYC 118-2478-1                                                                                                                                                                 |Star                            |05 30 46.2176100288 +03 13 22.710053244|200.4775361268990 -16.3024168086745|  -6.696 -5.043   |10.35    |~                 |    ~     ~          |    1|  560.947   pc  |  -6.2303     +6.2303  |paral   |2020yCat.1350....0G
3377|TYC 122-46-1                                                                                                                                                                   |Star                            |05 37 06.5919915384 +05 24 16.289234640|199.3210404022399 -13.8509335619717|   5.770 -2.066   |10.51    |G6V               |    ~     ~          |    1|  138.311   pc  |  -0.5146     +0.5146  |paral   |2020yCat.1350....0G
3378|TYC 122-48-1                                                                                                                                                                   |Star                            |05 31 52.9196262288 +05 28 53.385024072|198.5839917208957 -14.9413822179985| -5.906 -42.446   |10.56    |~                 |    ~     ~          |    1|  224.593   pc  |  -0.7415     +0.7415  |paral   |2020yCat.1350....0G
3379|TYC 122-62-1                                                                                                                                                                   |Star                            |05 37 15.2542567848 +05 22 44.772172284|199.3621075404966 -13.8322935068798|  -5.105 -5.140   |10.39    |~                 |    ~     ~          |    1|  369.317   pc  |  -2.9461     +2.9461  |paral   |2020yCat.1350....0G
3380|TYC 122-96-1                                                                                                                                                                   |Star                            |05 33 58.9742472168 +05 28 59.811108672|198.8520311448510 -14.4873562042815| 12.684 -24.938   |9.60     |~                 |    ~     ~          |    1|  414.336   pc  |  -2.6266     +2.6266  |paral   |2020yCat.1350....0G
3381|TYC 122-105-1                                                                                                                                                                  |Star                            |05 32 38.7501923928 +05 00 35.346404736|199.1053847257192 -15.0117025749000|    5.023 6.700   |10.27    |~                 |    ~     ~          |    1|  851.281   pc  | -10.5803    +10.5803  |paral   |2020yCat.1350....0G
3382|TYC 122-202-1                                                                                                                                                                  |Star                            |05 34 52.7566766184 +05 29 51.934975800|198.9536501214583 -14.2866601710433| -14.054 -6.680   |10.86    |F8V               |    ~     ~          |    1|  184.155   pc  |  -0.4951     +0.4951  |paral   |2020yCat.1350....0G
3383|TYC 122-207-1                                                                                                                                                                  |High Proper Motion Star         |05 34 43.0019086776 +04 42 08.278725888|199.6463870714075 -14.7163159743611|-63.401 -76.550   |10.15    |~                 |    ~     ~          |    1|  104.508   pc  |  -0.3277     +0.3277  |paral   |2020yCat.1350....0G
3384|TYC 122-262-1                                                                                                                                                                  |Star                            |05 35 40.8692652456 +05 22 29.920924056|199.1658491502829 -14.1744322049762|   -6.236 3.997   |10.67    |~                 |    ~     ~          |    1|  941.797   pc  | -21.9084    +21.9084  |paral   |2020yCat.1350....0G
3385|TYC 122-292-1                                                                                                                                                                  |Star                            |05 32 09.1397322768 +05 32 29.929279164|198.5648617936918 -14.8530542596414|   1.812 -1.841   |10.80    |~                 |    ~     ~          |    1|  614.062   pc  |  -6.2594     +6.2594  |paral   |2020yCat.1350....0G
3386|TYC 122-298-1                                                                                                                                                                  |Star                            |05 31 16.0706213592 +05 29 36.562039368|198.4941235632634 -15.0677431593424|   7.298 -8.278   |9.86     |~                 |    ~     ~          |    1|  389.529   pc  |  -4.5823     +4.5823  |paral   |2020yCat.1350....0G
3387|TYC 122-304-1                                                                                                                                                                  |Star                            |05 34 48.7157303616 +05 31 20.980160472|198.9229053125095 -14.2889000742166|   2.116 -2.842   |9.46     |~                 |    ~     ~          |    1|  585.926   pc  |  -6.6945     +6.6945  |paral   |2020yCat.1350....0G
3388|TYC 122-325-1                                                                                                                                                                  |Star                            |05 35 58.8110359464 +04 20 43.204112844|200.1279492956214 -14.6186219693586|   2.981 -6.103   |10.70    |~                 |    ~     ~          |    0|                |                       |        |                   
3389|TYC 122-361-1                                                                                                                                                                  |Star                            |05 36 47.1508720368 +04 32 23.696249064|200.0551699240497 -14.3480277126952|   2.860 -8.754   |10.13    |~                 |    ~     ~          |    1|  425.749   pc  |  -9.3350     +9.3350  |paral   |2020yCat.1350....0G
3390|TYC 122-367-1                                                                                                                                                                  |Star                            |05 34 01.2889495848 +04 29 46.243880556|199.7430808591776 -14.9688297424492| -3.568 -11.392   |10.40    |~                 |    ~     ~          |    1|  261.260   pc  |  -1.2150     +1.2150  |paral   |2020yCat.1350....0G
3391|TYC 122-425-1                                                                                                                                                                  |Star                            |05 33 45.0605188968 +04 11 48.060034116|199.9782496781647 -15.1754182734216|  -9.709 -9.243   |10.48    |~                 |    ~     ~          |    1|  376.832   pc  |  -2.8827     +2.8827  |paral   |2020yCat.1350....0G
3392|TYC 122-429-1                                                                                                                                                                  |Star                            |05 33 46.3950319584 +05 06 50.333225472|199.1562782631636 -14.7163161129935|  15.367 -4.358   |10.95    |~                 |    ~     ~          |    1|  716.076   pc  |  -7.5376     +7.5376  |paral   |2020yCat.1350....0G
3393|TYC 122-430-1                                                                                                                                                                  |Star                            |05 34 10.4183989848 +04 26 14.847470016|199.8153233437197 -14.9648902032306|   -6.210 2.521   |10.71    |~                 |    ~     ~          |    1|  732.332   pc  |  -7.6692     +7.6692  |paral   |2020yCat.1350....0G
3394|TYC 122-434-1                                                                                                                                                                  |Star                            |05 36 51.5175064584 +05 08 16.864740672|199.5277971522833 -14.0371370378034|   8.166 -7.332   |10.84    |~                 |    ~     ~          |    1|  354.359   pc  |  -2.2603     +2.2603  |paral   |2020yCat.1350....0G
3395|TYC 122-441-1                                                                                                                                                                  |Star                            |05 31 11.1560703552 +04 17 03.021239796|199.5711060336191 -15.6878666738330|  9.656 -11.276   |10.37    |~                 |    ~     ~          |    1|  176.875   pc  |  -0.5350     +0.5350  |paral   |2020yCat.1350....0G
3396|TYC 122-451-1                                                                                                                                                                  |Star                            |05 34 58.6957800384 +04 46 39.794455092|199.6119542406764 -14.6223715832785|   -0.792 5.036   |10.62    |~                 |    ~     ~          |    1| 1098.780   pc  |-102.1391   +102.1391  |paral   |2020yCat.1350....0G
3397|TYC 122-461-1                                                                                                                                                                  |Star                            |05 33 11.7280368072 +04 09 38.727586440|199.9397377123539 -15.3136092401297|   6.757 -1.845   |10.77    |~                 |    ~     ~          |    1|  221.961   pc  |  -1.0445     +1.0445  |paral   |2020yCat.1350....0G
3398|TYC 122-538-1                                                                                                                                                                  |Star                            |05 36 17.4463187904 +04 24 27.788927796|200.1112365251425 -14.5205191938932|  6.618 -20.899   |9.23     |~                 |    ~     ~          |    1|  430.256   pc  |  -3.5543     +3.5543  |paral   |2020yCat.1350....0G
3399|TYC 122-560-1                                                                                                                                                                  |Star                            |05 35 30.0745291848 +04 08 38.148868176|200.2484383829614 -14.8217018297020|  -1.092 -2.038   |10.07    |~                 |    ~     ~          |    1|  379.694   pc  |  -2.5950     +2.5950  |paral   |2020yCat.1350....0G
3400|TYC 122-632-1                                                                                                                                                                  |Star                            |05 36 18.6986093328 +04 33 00.602090748|199.9858503048571 -14.4458186025517|   4.478 -5.705   |10.08    |~                 |    ~     ~          |    1|  596.766   pc  |  -5.4132     +5.4132  |paral   |2020yCat.1350....0G
3401|TYC 122-640-1                                                                                                                                                                  |Star                            |05 31 55.2744147024 +04 15 20.848864320|199.6910423708996 -15.5427189475630|   1.396 -3.504   |10.78    |~                 |    ~     ~          |    1|  442.870   pc  |  -4.5111     +4.5111  |paral   |2020yCat.1350....0G
3402|TYC 122-655-1                                                                                                                                                                  |Star                            |05 31 53.7270662760 +04 47 10.393631700|199.2100504342462 -15.2850614123991| -0.406 -28.811   |10.00    |~                 |    ~     ~          |    1|  208.160   pc  |  -0.6976     +0.6976  |paral   |2020yCat.1350....0G
3403|TYC 122-730-1                                                                                                                                                                  |Star                            |05 37 14.8195567224 +03 59 59.233460532|200.5992539169114 -14.5132961288473|  -1.356 -7.009   |10.83    |~                 |    ~     ~          |    1|  521.241   pc  |  -4.7546     +4.7546  |paral   |2020yCat.1350....0G
3404|TYC 122-748-1                                                                                                                                                                  |Star                            |05 33 08.1182546040 +04 30 10.028776500|199.6239533361531 -15.1574847158231| -1.455 -11.893   |10.05    |~                 |    ~     ~          |    1|  361.572   pc  |  -2.3009     +2.3009  |paral   |2020yCat.1350....0G
3405|TYC 122-753-1                                                                                                                                                                  |Star                            |05 36 29.7264510312 +04 42 40.859868600|199.8643957843545 -14.3265003345120|   2.112 -8.596   |10.35    |~                 |    ~     ~          |    1|  296.481   pc  |  -1.3361     +1.3361  |paral   |2020yCat.1350....0G
3406|TYC 122-766-1                                                                                                                                                                  |Star                            |05 34 30.9257890296 +04 04 41.082310920|200.1824961267229 -15.0680841452561|  3.143 -29.396   |9.62     |~                 |    ~     ~          |    1|  278.272   pc  |  -1.2932     +1.2932  |paral   |2020yCat.1350....0G
3407|TYC 122-802-1                                                                                                                                                                  |Star                            |05 31 59.0894419680 +04 23 29.644986696|199.5768055835137 -15.4616710578078|   3.809 -7.899   |10.48    |~                 |    ~     ~          |    1|  252.207   pc  |  -1.2531     +1.2531  |paral   |2020yCat.1350....0G
3408|TYC 122-817-1                                                                                                                                                                  |Star                            |05 33 51.8538912456 +04 04 55.086710520|200.0960765811581 -15.2074600103778|  11.546 -7.451   |10.23    |~                 |    ~     ~          |    1|  351.580   pc  |  -2.2620     +2.2620  |paral   |2020yCat.1350....0G
3409|TYC 122-820-1                                                                                                                                                                  |Star                            |05 36 31.0999421928 +04 58 44.115000852|199.6272173509781 -14.1894407272672|  -2.331 -3.044   |10.80    |~                 |    ~     ~          |    1|  352.970   pc  |  -2.1554     +2.1554  |paral   |2020yCat.1350....0G
3410|TYC 122-826-1                                                                                                                                                                  |Star                            |05 37 29.6176908024 +03 53 35.073071520|200.7264770608543 -14.5119612113840|  32.555 -9.825   |10.65    |~                 |    ~     ~          |    1|  223.804   pc  |  -0.8966     +0.8966  |paral   |2020yCat.1350....0G
3411|TYC 122-832-1                                                                                                                                                                  |Star                            |05 32 59.7588582192 +04 43 32.493225900|199.4055908271543 -15.0771498663067|   3.825 -4.777   |10.66    |~                 |    ~     ~          |    1| 1012.351   pc  | -16.6026    +16.6026  |paral   |2020yCat.1350....0G
3412|TYC 122-851-1                                                                                                                                                                  |Star                            |05 32 24.5072999544 +04 12 50.684801112|199.7910540899208 -15.4578239718538|   8.503 11.900   |10.45    |~                 |    ~     ~          |    1|  218.355   pc  |  -0.9631     +0.9631  |paral   |2020yCat.1350....0G
3413|TYC 122-896-1                                                                                                                                                                  |Star                            |05 32 58.1500079328 +04 14 51.902262240|199.8324144047577 -15.3196701978173|   1.263 -1.393   |10.07    |~                 |    ~     ~          |    1|  803.019   pc  | -14.5734    +14.5734  |paral   |2020yCat.1350....0G
3414|TYC 122-909-1                                                                                                                                                                  |Star                            |05 36 06.2989903248 +04 03 18.449427312|200.4049698568872 -14.7342747282230|   -0.927 0.161   |9.88     |~                 |    ~     ~          |    1|  429.904   pc  |  -5.8033     +5.8033  |paral   |2020yCat.1350....0G
3415|TYC 122-931-1                                                                                                                                                                  |Star                            |05 32 28.3163117160 +04 23 13.343114364|199.6432981217748 -15.3584499181451|  -2.823 -4.959   |10.79    |~                 |    ~     ~          |    1|  753.296   pc  |  -8.7388     +8.7388  |paral   |2020yCat.1350....0G
