C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:26:25

dec >=0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9715

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
36  |NGC 6910 10                        HD 229201                                                             |Star                              |20 23 21.4653912648 +40 44 08.923975548|078.6647756768110 +01.9646578708975|   1.556 -2.934  |10.64    |A0:                   |    ~     ~    |    1|  627.274   pc  |  -5.0758     +5.0758  |paral   |2020yCat.1350....0G
37  |NGC 6910 8                         HD 229220                                                             |Star                              |20 23 38.1462945936 +40 41 03.943452948|078.6528385919991 +01.8920379216063|    1.946 4.313  |10.20    |A0                    |    ~     ~    |    1|  526.843   pc  |  -4.5243     +4.5243  |paral   |2020yCat.1350....0G
38  |NGC 6910 141                       HD 229219                                                             |Star                              |20 23 39.3121829784 +40 57 00.015921288|078.8726898198192 +02.0412570553730|   -1.443 6.558  |9.36     |K0                    |    ~     ~    |    1|  506.663   pc  |  -2.8494     +2.8494  |paral   |2020yCat.1350....0G
39  |NGC 6910 11                        HD 229224                                                             |Star                              |20 23 42.1344220680 +40 44 15.133845444|078.7036017702182 +01.9121651252898|    4.788 0.458  |10.30    |A4                    |    ~     ~    |    1|  747.831   pc  |  -7.8295     +7.8295  |paral   |2020yCat.1350....0G
40  |NGC 6910 125                       LS III +40 15                                                         |Star                              |20 24 05.1543170208 +40 46 03.511736040|078.7699863906737 +01.8699317577883|  -3.144 -5.454  |11.24    |B0.5V                 |    ~     ~    |    1| 1727.116   pc  | -31.9173    +31.9173  |paral   |2020yCat.1350....0G
41  |NGC 6910 104                       HD 229252                                                             |High Proper Motion Star           |20 24 16.0618001688 +40 29 26.510573400|078.5630213710928 +01.6825957452542|-25.250 -43.510  |10.08    |~                     |    ~     ~    |    1|  206.915   pc  |  -0.5138     +0.5138  |paral   |2020yCat.1350....0G
42  |NGC 6910 114                       HD 229251                                                             |Star                              |20 24 18.4137803880 +40 38 51.943658532|078.6958886802302 +01.7667802048894|    9.666 1.296  |9.917    |A3                    |    ~     ~    |    1|  530.195   pc  |  -3.3452     +3.3452  |paral   |2020yCat.1350....0G
43  |NGC 6910 138                       HD 229256                                                             |Star                              |20 24 18.1110598512 +41 01 23.371321476|079.0027129006708 +01.9833057098683| -6.247 -14.169  |8.26     |K0                    |    ~     ~    |    1|  558.503   pc  |  -5.1156     +5.1156  |paral   |2020yCat.1350....0G
44  |NGC 6910 133                       HD 229268                                                             |Spectroscopic Binary              |20 24 27.6232634040 +40 50 02.146985448|078.8650113909196 +01.8500247882173|   0.269 -3.023  |9.364    |A0                    |    ~     ~    |    1|  558.722   pc  |  -5.4630     +5.4630  |paral   |2020yCat.1350....0G
45  |NGC 6910 134                       HD 229267                                                             |Star                              |20 24 29.2610236704 +40 54 33.325664544|078.9296381790837 +01.8891229963089|   2.281 -2.268  |10.50    |A2                    |    ~     ~    |    1|  559.284   pc  |  -5.4740     +5.4740  |paral   |2020yCat.1350....0G
46  |BD+40 4159                                                                                               |Star                              |20 25 06.5226288288 +40 35 49.793778276|078.7421304621649 +01.6132469203596|  -3.016 -5.649  |10.44    |O9III                 |    ~     ~    |    1| 1682.086   pc  | -28.8600    +28.8600  |paral   |2020yCat.1350....0G
47  |HD 229285                                                                                                |Star                              |20 25 15.6564993432 +40 59 55.115055024|079.0868814825908 +01.8212573104374| -12.431 -0.692  |8.53     |A2                    |    ~     ~    |    1|  258.311   pc  |  -4.1036     +4.1036  |paral   |2020yCat.1350....0G
48  |HD 229287                                                                                                |Star                              |20 25 23.6946393480 +40 40 46.426168200|078.8407958995202 +01.6164386736830|   0.728 -2.305  |9.807    |A0                    |    ~     ~    |    1|  563.000   pc  |  -5.2617     +5.2617  |paral   |2020yCat.1350....0G
49  |HD 229289                                                                                                |Star                              |20 25 28.4742067728 +40 21 07.572983688|078.5820884018979 +01.4150036235259|   2.849 -0.202  |10.52    |~                     |    ~     ~    |    1|  789.079   pc  | -13.3869    +13.3869  |paral   |2020yCat.1350....0G
50  |HD 229290                                                                                                |Star                              |20 25 37.2919449600 +40 11 22.364984688|078.4655664272460 +01.2982084133297|  -0.543 -3.327  |10.61    |~                     |    ~     ~    |    1|  844.666   pc  | -25.6132    +25.6132  |paral   |2020yCat.1350....0G
51  |HD 229295                                                                                                |Star                              |20 25 49.0577967456 +40 51 34.815823092|079.0341241350137 +01.6551598056193|   5.225 -1.828  |10.49    |~                     |    ~     ~    |    1|  688.610   pc  |  -5.8325     +5.8325  |paral   |2020yCat.1350....0G
52  |BD+40 4163                                                                                               |Star                              |20 25 51.1432273896 +40 35 54.232035792|078.8246884501264 +01.4987084644351|   0.268 -1.887  |8.73     |B8                    |    ~     ~    |    1|  822.571   pc  | -12.8558    +12.8558  |paral   |2020yCat.1350....0G
53  |HD 194779                                                                                                |Emission-line Star                |20 25 55.0769169552 +41 20 11.723232408|079.4343653550947 +01.9154891915008|  -0.320 -3.618  |7.80     |B3II                  |    ~     ~    |    1| 1310.616   pc  | -51.1879    +51.1879  |paral   |2020yCat.1350....0G
54  |HD 229299                                                                                                |Star                              |20 25 59.6006366664 +41 01 20.487807804|079.1861008547250 +01.7221761461544|   4.805 -0.087  |10.33    |~                     |    ~     ~    |    1|  399.600   pc  |  -2.3792     +2.3792  |paral   |2020yCat.1350....0G
55  |HD 194839                                                                                                |Emission-line Star                |20 26 21.5475791160 +41 22 45.646427280|079.5171896140064 +01.8727181533562|  -5.702 -4.065  |7.49     |B0.5Iae               |    ~     ~    |    1| 1551.109   pc  | -49.8029    +49.8029  |paral   |2020yCat.1350....0G
56  |BD+40 4166                                                                                               |Double or Multiple Star           |20 26 24.6849 +41 25 01.883            |079.5537371 +01.8866466            |      -7.0 -4.1  |9.15     |G0                    |    ~     ~    |    0|                |                       |        |                   
57  |BD+40 4171                                                                                               |Star                              |20 26 50.8216080720 +40 59 47.287788396|079.2583568366179 +01.5759230566537| -5.355 -27.388  |8.87     |K0                    |    ~     ~    |    1|  226.050   pc  |  -0.6285     +0.6285  |paral   |2020yCat.1350....0G
58  |BD+40 4176                                                                                               |Star                              |20 27 33.0705974736 +40 46 22.878935256|079.1538732747942 +01.3377394439189|  -0.652 -6.443  |9.13     |A2                    |    ~     ~    |    1|  434.311   pc  |  -3.0369     +3.0369  |paral   |2020yCat.1350....0G
59  |LS II +40 33                                                                                             |Star                              |20 27 34.9016609376 +40 32 21.785524332|078.9672409473844 +01.1970084700561|  -2.049 -3.278  |10.31    |OB-                   |    ~     ~    |    1| 1997.603   pc  | -50.6783    +50.6783  |paral   |2020yCat.1350....0G
60  |BD+40 4179                                                                                               |Star                              |20 27 43.6151708592 +40 35 43.510878960|079.0288674317442 +01.2072257228608|  -2.003 -4.716  |9.71     |O8Vz                  |    ~     ~    |    1| 1986.492   pc  | -49.3269    +49.3269  |paral   |2020yCat.1350....0G
61  |BD+40 4181                                                                                               |Star                              |20 27 57.5054110056 +40 43 45.699699540|079.1633257437357 +01.2496165877727|-10.002 -18.915  |9.10     |A2                    |    ~     ~    |    1|  400.160   pc  |  -2.4500     +2.4500  |paral   |2020yCat.1350....0G
62  |HD 195150                                                                                                |Star                              |20 28 05.7499324536 +40 36 37.384185852|079.0818610507269 +01.1590586959176|    7.628 7.750  |7.99     |~                     |    ~     ~    |    1|  427.954   pc  |  -4.3588     +4.3588  |paral   |2020yCat.1350....0G
63  |BD+40 4184                                                                                               |Star                              |20 28 13.0323234888 +40 45 31.879829592|079.2158878003723 +01.2270123721682|  -1.520 -6.395  |9.65     |B8                    |    ~     ~    |    1| 1080.264   pc  | -18.0880    +18.0880  |paral   |2020yCat.1350....0G
64  |BD+40 4185                                                                                               |Double or Multiple Star           |20 28 15.4710987120 +40 38 19.815512676|079.1229160922263 +01.1506997074190|  -1.695 -4.859  |9.741    |B0V:                  |    ~     ~    |    1| 1835.199   pc  | -49.5090    +49.5090  |paral   |2020yCat.1350....0G
65  |BD+40 4186                                                                                               |Star                              |20 28 20.3363920680 +41 19 36.754476924|079.6906296606135 +01.5399445013788|   6.880 -0.397  |9.04     |A2                    |    ~     ~    |    1|  294.916   pc  | -12.6723    +12.6723  |paral   |2020yCat.1350....0G
