C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:26:25

dec >=0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9715

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
5283|HD 352149                                                                                                |Star                              |20 23 38.3143787424 +18 41 34.346629320|060.4637235912514 -10.5994080263150| 10.325 -20.244  |9.67     |F8                    |    ~     ~    |    1|  200.928   pc  |  -0.6419     +0.6419  |paral   |2020yCat.1350....0G
5284|HD 352150                                                                                                |Star                              |20 24 23.0285388216 +18 42 48.369415536|060.5805668083883 -10.7349811619547|  -1.078 -6.283  |10.03    |A5                    |    ~     ~    |    1|  640.123   pc  |  -9.2195     +9.2195  |paral   |2020yCat.1350....0G
5285|V* WW Sge                                                                                                |Mira Variable                     |20 20 31.5122571096 +18 58 09.460196868|060.2856705893408 -09.8323359884007|   3.108 -3.872  |10.57    |M6                    |    ~     ~    |    1| 1335.47    pc  | -68.664     +68.664   |paral   |2020yCat.1350....0G
5286|HD 352270                                                                                                |Star                              |20 25 42.9841861176 +18 31 14.696625144|060.5957892681933 -11.1045501390473|  -4.082 -1.307  |10.14    |K0                    |    ~     ~    |    1|  753.920   pc  |  -7.4460     +7.4460  |paral   |2020yCat.1350....0G
5287|HD 352265                                                                                                |Star                              |20 26 09.5237993712 +18 40 56.139078288|060.7919776437944 -11.1017813698532|  5.512 -12.943  |10.25    |K0                    |    ~     ~    |    1|  808.669   pc  |  -8.4359     +8.4359  |paral   |2020yCat.1350....0G
5288|HD 352153                                                                                                |Star                              |20 24 03.6565045440 +18 32 03.794626104|060.3856994294305 -10.7704440295524|   1.170 -2.851  |10.62    |G5                    |    ~     ~    |    1|  989.609   pc  | -13.5147    +13.5147  |paral   |2020yCat.1350....0G
5289|HD 352148                                                                                                |Star                              |20 23 02.8466081856 +18 45 03.150546444|060.4342129743933 -10.4507072700174|   -1.558 2.152  |10.64    |K7                    |    ~     ~    |    1| 1221.449   pc  | -26.8549    +26.8549  |paral   |2020yCat.1350....0G
5290|HD 352147                                                                                                |Star                              |20 22 18.0345086376 +18 43 04.564635600|060.3071062685246 -10.3213979207528|  -3.424 -6.732  |10.47    |K5                    |    ~     ~    |    1|  818.934   pc  |  -9.7915     +9.7915  |paral   |2020yCat.1350....0G
5291|HD 351997                                                                                                |Star                              |20 20 10.9757975904 +18 52 27.497589780|060.1600026127161 -09.8167662290110|  -3.814 -3.017  |10.79    |F2                    |    ~     ~    |    1|  479.386   pc  |  -3.0795     +3.0795  |paral   |2020yCat.1350....0G
5292|HD 351879                                                                                                |Star                              |20 18 43.3899903168 +19 03 51.615522936|060.1297327529798 -09.4239167185155|   1.237 -1.898  |10.92    |F0                    |    ~     ~    |    1|  873.668   pc  | -11.0678    +11.0678  |paral   |2020yCat.1350....0G
5293|HD 352146                                                                                                |Star                              |20 21 43.8113363928 +18 49 48.941178276|060.3268160515587 -10.1468450444888|  -0.012 -2.565  |9.67     |K5                    |    ~     ~    |    1|  985.999   pc  | -15.2634    +15.2634  |paral   |2020yCat.1350....0G
5294|HD 352145                                                                                                |Star                              |20 22 30.1586644248 +18 50 39.894803556|060.4411578256577 -10.2915615505127|   8.524 -4.999  |9.86     |K7                    |    ~     ~    |    1|  666.889   pc  |  -6.2708     +6.2708  |paral   |2020yCat.1350....0G
5295|TYC 1626-618-1                                                                                           |Star                              |20 15 01.5848173968 +19 58 46.477533972|060.4266147559269 -08.1949674248906| -3.810 -14.380  |9.34     |~                     |    ~     ~    |    1|  782.289   pc  | -18.6041    +18.6041  |paral   |2020yCat.1350....0G
5296|TYC 1626-1897-1                                                                                          |Star                              |20 15 44.6444660424 +18 59 47.494101660|059.6840837519817 -08.8700877017650| 17.606 -41.972  |10.65    |~                     |    ~     ~    |    1|  120.882   pc  |  -0.2689     +0.2689  |paral   |2020yCat.1350....0G
5297|TYC 1639-206-1                                                                                           |Star                              |20 17 25.0256848752 +20 33 59.085381312|061.2325528937922 -08.3452967783209|  1.547 -11.234  |10.75    |~                     |    ~     ~    |    1|  177.1479  pc  | -13.4783    +13.4783  |paral   |2018yCat.1345....0G
5298|TYC 1639-342-1                                                                                           |Star                              |20 16 37.5257976360 +20 18 16.598594448|060.9085255870561 -08.3330278792153|   0.387 -6.539  |10.68    |~                     |    ~     ~    |    1|  848.824   pc  | -11.0237    +11.0237  |paral   |2020yCat.1350....0G
5299|TYC 1639-460-1                                                                                           |Star                              |20 17 36.9755739216 +19 30 36.494518140|060.3636014170534 -08.9616812839884|   0.217 -4.355  |10.30    |~                     |    ~     ~    |    1| 1065.303   pc  | -14.9803    +14.9803  |paral   |2020yCat.1350....0G
5300|IRAS 20157+1938                                                                                          |Star                              |20 18 01.9194384912 +19 48 25.006724748|060.6693820681443 -08.8815436971924|  -2.938 -7.067  |10.63    |~                     |    ~     ~    |    1| 1455.604   pc  | -50.4270    +50.4270  |paral   |2020yCat.1350....0G
5301|TYC 1639-546-1                                                                                           |Star                              |20 16 18.3103218936 +19 52 26.727029436|060.5021916871970 -08.5045894280401|  15.079 -0.501  |9.95     |~                     |    ~     ~    |    1|  210.571   pc  |  -0.7050     +0.7050  |paral   |2020yCat.1350....0G
5302|HD 352101                                                                                                |Spectroscopic Binary              |20 22 06.1409720448 +19 56 05.981077140|061.3110872803332 -09.6103087548500|-25.451 -21.690  |10.68    |G5                    |    ~     ~    |    1|  220.648   pc  |  -0.6670     +0.6670  |paral   |2020yCat.1350....0G
5303|IRAS 20182+1936                                                                                          |Star                              |20 20 27.3690073272 +19 46 29.427942828|060.9590744323850 -09.3759117075542|  -5.277 -7.376  |10.00    |~                     |    ~     ~    |    1| 1623.904   pc  | -58.8065    +58.8065  |paral   |2020yCat.1350....0G
5304|TYC 1639-1087-1                                                                                          |Star                              |20 20 59.0485151640 +20 09 52.655629392|061.3579380886346 -09.2645364674955|   2.051 -3.975  |10.56    |~                     |    ~     ~    |    1| 1435.750   pc  | -28.0347    +28.0347  |paral   |2020yCat.1350....0G
5305|TYC 1639-1599-1                                                                                          |Star                              |20 22 11.2257399624 +20 19 33.910919724|061.6524311055044 -09.4102745824369|  -2.062 -2.852  |10.66    |~                     |    ~     ~    |    1| 2446.184   pc  |-107.7087   +107.7087  |paral   |2020yCat.1350....0G
5306|TYC 1639-2042-1                                                                                          |Star                              |20 21 53.9663997480 +20 17 36.483049068|061.5870340885354 -09.3722002750228|  -0.384 -3.058  |10.96    |~                     |    ~     ~    |    1| 1056.524   pc  | -17.0785    +17.0785  |paral   |2020yCat.1350....0G
5307|TYC 1639-2365-1                                                                                          |Star                              |20 23 18.8732916600 +19 45 16.730566200|061.3190299093084 -09.9475327427424|   1.223 -0.860  |9.94     |~                     |    ~     ~    |    1| 1128.413   pc  | -15.7891    +15.7891  |paral   |2020yCat.1350....0G
5308|TYC 1639-2412-1                                                                                          |Star                              |20 20 07.3499435712 +19 17 46.357777644|060.5099147663221 -09.5733689443228|   -4.003 0.398  |10.48    |~                     |    ~     ~    |    1| 1537.279   pc  | -30.4856    +30.4856  |paral   |2020yCat.1350....0G
5309|TYC 1640-707-1                                                                                           |Spectroscopic Binary              |20 24 19.3525528464 +20 29 46.918144428|062.0781382302613 -09.7313995750855|  -1.993 -4.350  |10.89    |~                     |    ~     ~    |    1| 1335.470   pc  | -48.3323    +48.3323  |paral   |2020yCat.1350....0G
5310|TYC 1640-1767-1                                                                                          |Star                              |20 26 12.6120238104 +18 59 46.622832180|061.0645298816380 -10.9368928585021|    4.217 0.113  |10.78    |~                     |    ~     ~    |    1| 2634.352   pc  |-108.9550   +108.9550  |paral   |2020yCat.1350....0G
5311|TYC 1643-1473-1                                                                                          |Star                              |20 19 51.3600946536 +20 54 21.212897112|061.8361391307655 -08.6351793597617|  -4.353 -6.151  |10.81    |~                     |    ~     ~    |    1| 1390.821   pc  | -25.5338    +25.5338  |paral   |2020yCat.1350....0G
5312|TYC 1643-2016-1                                                                                          |Star                              |20 20 29.8444313880 +20 56 05.606231100|061.9442729713867 -08.7440329392180|    9.126 7.878  |10.83    |~                     |    ~     ~    |    1|  488.687   pc  | -36.8253    +36.8253  |paral   |2020yCat.1350....0G
5313|TYC 1643-2491-1                                                                                          |Star                              |20 21 26.0166674160 +20 48 46.849710636|061.9640256686541 -08.9936287870050|  22.892 10.984  |10.55    |~                     |    ~     ~    |    1|  424.484   pc  |  -2.4505     +2.4505  |paral   |2020yCat.1350....0G
5314|HD 346333                                                                                                |Star                              |20 17 53.7486883560 +21 17 53.350149120|061.9127237611485 -08.0375645910475|   1.413 -5.130  |9.99     |A3                    |    ~     ~    |    1|  334.863   pc  |  -1.9511     +1.9511  |paral   |2020yCat.1350....0G
5315|TYC 1639-598-1                                                                                           |Star                              |20 18 17.0025777792 +20 01 42.983905584|060.8898650604027 -08.8097012519504|   1.154 -2.286  |10.47    |~                     |    ~     ~    |    1| 2174.859   pc  |-104.5332   +104.5332  |paral   |2020yCat.1350....0G
5316|HD 352191                                                                                                |Star                              |20 27 11.5828433496 +20 34 07.190094648|062.5213388567435 -10.2474869707566| -6.236 -29.564  |9.02     |G5                    |    ~     ~    |    1|  440.878   pc  |  -3.1100     +3.1100  |paral   |2020yCat.1350....0G
5317|HD 194841                                                                                                |Star                              |20 27 14.1901385952 +20 28 35.352118164|062.4497154281285 -10.3077658229277|   1.096 -7.550  |6.43     |K0                    |    ~     ~    |    1|  442.988   pc  |  -4.0817     +4.0817  |paral   |2020yCat.1350....0G
5318|HD 195052                                                                                                |Spectroscopic Binary              |20 28 23.9186745312 +20 30 44.901833652|062.6358906220866 -10.5122875332274|  12.276 -3.519  |7.92     |F8                    |    ~     ~    |    1|  200.759   pc  |  -0.9391     +0.9391  |paral   |2020yCat.1350....0G
5319|HD 352208                                                                                                |Star                              |20 26 55.2929329248 +20 16 46.217651700|062.2419436690380 -10.3574599593790|  -0.190 -5.106  |9.55     |A5                    |    ~     ~    |    1|  473.082   pc  |  -4.9237     +4.9237  |paral   |2020yCat.1350....0G
5320|HD 352207                                                                                                |Spectroscopic Binary              |20 27 19.5625862280 +20 18 55.982167704|062.3264501775637 -10.4156448534773| -8.993 -13.300  |9.26     |F0                    |    ~     ~    |    1|  601.395   pc  |  -8.1739     +8.1739  |paral   |2020yCat.1350....0G
5321|HD 352316                                                                                                |Star                              |20 28 18.2037532008 +20 16 20.072388936|062.4213191578725 -10.6294088459054| -2.063 -38.737  |10.12    |G5                    |    ~     ~    |    1|  778.695   pc  |  -8.4891     +8.4891  |paral   |2020yCat.1350....0G
5322|HD 352205                                                                                                |Star                              |20 26 41.3824326024 +20 24 11.025472140|062.3148231953061 -10.2430991971785|   -5.029 2.980  |10.66    |F0                    |    ~     ~    |    1|  407.947   pc  |  -3.3950     +3.3950  |paral   |2020yCat.1350....0G
5323|HD 352203                                                                                                |Star                              |20 26 26.1267303168 +20 16 25.529551644|062.1720728541234 -10.2663426066811|-11.913 -16.996  |10.6     |K0                    |    ~     ~    |    1|  819.739   pc  |  -9.4076     +9.4076  |paral   |2020yCat.1350....0G
5324|HD 352193                                                                                                |Star                              |20 26 38.6846827296 +20 40 13.495860192|062.5335053751720 -10.0841791161172|  -0.661 -4.384  |10.9     |A0                    |    ~     ~    |    1| 1080.614   pc  | -23.0042    +23.0042  |paral   |2020yCat.1350....0G
5325|HD 352190                                                                                                |Star                              |20 27 25.5686075040 +20 32 08.231139096|062.5247985866316 -10.3111868358235|   2.670 -1.178  |10.89    |A2                    |    ~     ~    |    1|  947.957   pc  | -18.6914    +18.6914  |paral   |2020yCat.1350....0G
5326|HD 352189                                                                                                |Star                              |20 27 39.1810095672 +20 34 54.446928348|062.5939814847407 -10.3290575405326|-13.479 -27.113  |10.98    |K0                    |    ~     ~    |    1|  742.170   pc  |  -8.6478     +8.6478  |paral   |2020yCat.1350....0G
5327|HD 352206                                                                                                |Star                              |20 26 45.0585130560 +20 24 21.368821464|062.3254326617357 -10.2533632057211|  -0.709 -0.770  |9.64     |K7                    |    ~     ~    |    1| 1388.889   pc  | -45.3318    +45.3318  |paral   |2020yCat.1350....0G
5328|HD 352195                                                                                                |Star                              |20 26 26.9101942248 +20 38 15.442570356|062.4797550478050 -10.0646310979807| -2.909 -10.438  |10.16    |A7                    |    ~     ~    |    1|  475.919   pc  |  -3.7599     +3.7599  |paral   |2020yCat.1350....0G
5329|HD 352194                                                                                                |Star                              |20 26 34.1225352168 +20 39 21.125058948|062.5111312346412 -10.0776438291311|  -7.811 -8.283  |9.97     |G0                    |    ~     ~    |    1|  745.823   pc  |  -7.6207     +7.6207  |paral   |2020yCat.1350....0G
5330|HD 194864                                                                                                |Star                              |20 27 24.9332197896 +20 04 48.852973596|062.1405526248763 -10.5653155266069|   0.137 -3.709  |8.05     |A0                    |    ~     ~    |    1|  417.032   pc  |  -5.4262     +5.4262  |paral   |2020yCat.1350....0G
5331|HD 194913                                                                                                |Star                              |20 27 34.0158921768 +19 37 05.496415608|061.7718397417412 -10.8542745701930| -11.897 16.195  |7.95     |K0                    |    ~     ~    |    1|   79.091   pc  |  -0.1401     +0.1401  |paral   |2020yCat.1350....0G
5332|HD 195018                                                                                                |Star                              |20 28 07.6541539080 +19 45 46.148502852|061.9691630509875 -10.8821806606240|    5.454 4.336  |7.91     |F0                    |    ~     ~    |    1|  482.789   pc  |  -5.9204     +5.9204  |paral   |2020yCat.1350....0G
5333|HD 195053                                                                                                |Star                              |20 28 20.8539015216 +20 06 46.330703532|062.2933125583426 -10.7278161269629|  17.496 17.124  |6.87     |A0                    |    ~     ~    |    1|  137.504   pc  |  -0.7109     +0.7109  |paral   |2020yCat.1350....0G
5334|HD 194806                                                                                                |Star                              |20 27 05.3253935064 +19 08 15.406597284|061.3020564858719 -11.0301462261051|-18.585 -23.265  |8.32     |K0                    |    ~     ~    |    1|  325.277   pc  |  -2.3066     +2.3066  |paral   |2020yCat.1350....0G
5335|HD 194821                                                                                                |Star                              |20 27 12.7343021064 +18 49 52.510821600|061.0598247925603 -11.2256405601567| -2.444 -17.510  |7.94     |K0                    |    ~     ~    |    1|  243.007   pc  |  -1.3405     +1.3405  |paral   |2020yCat.1350....0G
5336|HD 194865                                                                                                |High Proper Motion Star           |20 27 25.5966012120 +18 58 05.382248664|061.2044390153110 -11.1911190038165|   49.546 8.946  |7.72     |K5                    |    ~     ~    |    1|  311.468   pc  |  -2.0955     +2.0955  |paral   |2020yCat.1350....0G
5337|HD 352253                                                                                                |Star                              |20 27 36.1367916456 +19 01 11.898438132|061.2718994336253 -11.1965327277300|  18.372 41.059  |9.20     |F8                    |    ~     ~    |    1|  176.769   pc  |  -0.5031     +0.5031  |paral   |2020yCat.1350....0G
5338|HD 352349                                                                                                |Star                              |20 27 46.4030387424 +18 56 44.622691404|061.2322778405850 -11.2716190259568|    8.448 7.896  |9.72     |F0                    |    ~     ~    |    1|  280.560   pc  |  -1.6451     +1.6451  |paral   |2020yCat.1350....0G
5339|HD 195035                                                                                                |Star                              |20 28 19.1568403728 +19 26 06.909711684|061.7190707315922 -11.1036903188004|   4.468 -7.008  |8.54     |K2                    |    ~     ~    |    1|  647.459   pc  | -30.9372    +30.9372  |paral   |2020yCat.1350....0G
5340|HD 352348                                                                                                |Star                              |20 28 08.3949722112 +19 11 37.157736876|061.4910971056025 -11.2043539362061|-17.561 -25.549  |10.72    |G0                    |    ~     ~    |    1|  298.793   pc  |  -2.1962     +2.1962  |paral   |2020yCat.1350....0G
5341|HD 352337                                                                                                |Star                              |20 28 24.0141729144 +19 20 03.088521204|061.6448053021945 -11.1762742793592|   3.034 -3.913  |10.79    |G0                    |    ~     ~    |    1|  621.234   pc  |  -6.6380     +6.6380  |paral   |2020yCat.1350....0G
5342|HD 352257                                                                                                |Star                              |20 26 55.8354276528 +18 54 51.322301388|061.0920475577260 -11.1240072909782|   7.046 -0.400  |10.97    |A2                    |    ~     ~    |    1|  863.632   pc  | -25.0609    +25.0609  |paral   |2020yCat.1350....0G
5343|HD 352256                                                                                                |Star                              |20 26 59.4385879584 +18 54 57.736183680|061.1016400238926 -11.1347913926622|  -3.007 -7.594  |10.97    |F8                    |    ~     ~    |    1|  596.837   pc  |  -7.2311     +7.2311  |paral   |2020yCat.1350....0G
5344|HD 352255                                                                                                |Star                              |20 27 21.8738690016 +18 50 57.604669620|061.0956510003711 -11.2454174121776| -5.552 -13.990  |10.67    |F8                    |    ~     ~    |    1|  428.596   pc  |  -3.5086     +3.5086  |paral   |2020yCat.1350....0G
5345|HD 352254                                                                                                |Star                              |20 27 17.4420663648 +18 58 58.108463724|061.1984914695242 -11.1562929266679|  -6.248 -9.761  |10.19    |K2                    |    ~     ~    |    1| 1105.461   pc  | -18.3307    +18.3307  |paral   |2020yCat.1350....0G
5346|HD 352252                                                                                                |Star                              |20 26 59.4779240496 +19 02 52.813842324|061.2132474575220 -11.0611683228152|  -4.588 -7.658  |10.34    |K7                    |    ~     ~    |    1| 1012.966   pc  | -17.1359    +17.1359  |paral   |2020yCat.1350....0G
5347|HD 352250                                                                                                |Star                              |20 26 38.9299583040 +19 00 33.151641768|061.1343923200201 -11.0157166654144|  -16.232 1.476  |10.63    |K5                    |    ~     ~    |    1|  739.864   pc  | -13.3565    +13.3565  |paral   |2020yCat.1350....0G
5348|HD 352241                                                                                                |Star                              |20 26 18.4570577736 +19 18 24.494217408|061.3399588279042 -10.7826734087145|    9.852 2.905  |10.69    |G0                    |    ~     ~    |    1|  491.232   pc  |  -3.2335     +3.2335  |paral   |2020yCat.1350....0G
5349|HD 352226                                                                                                |Star                              |20 27 25.1434141104 +19 31 08.698462356|061.6683983146173 -10.8810421037177|   1.852 10.065  |10.30    |G5                    |    ~     ~    |    1|  833.472   pc  | -10.8369    +10.8369  |paral   |2020yCat.1350....0G
5350|HD 352225                                                                                                |High Proper Motion Star           |20 27 09.2085808320 +19 35 27.274562232|061.6932389542403 -10.7889646143866| 20.038 -66.018  |10.59    |G5                    |    ~     ~    |    1|  224.205   pc  |  -0.7239     +0.7239  |paral   |2020yCat.1350....0G
5351|HD 352224                                                                                                |Star                              |20 27 16.579704 +19 37 26.71032        |061.737718456 -10.794320489        |    -11.0 -26.2  |10.818   |F2                    |    ~     ~    |    0|                |                       |        |                   
5352|HD 352223                                                                                                |Star                              |20 27 28.4498366088 +19 47 40.608918672|061.9079910318817 -10.7371679155427| -33.774 11.529  |10.25    |K0                    |    ~     ~    |    1|  153.967   pc  |  -0.3864     +0.3864  |paral   |2020yCat.1350....0G
5353|HD 352222                                                                                                |Star                              |20 27 05.6843050080 +19 53 44.550935052|061.9421660243422 -10.6065804076374|-12.367 -47.015  |10.60    |G0                    |    ~     ~    |    1|  148.513   pc  |  -0.3353     +0.3353  |paral   |2020yCat.1350....0G
5354|HD 352258                                                                                                |Star                              |20 26 21.5282537784 +18 55 02.100433656|061.0176680645806 -11.0101353171816|   -1.606 1.175  |10.02    |K7                    |    ~     ~    |    1|  813.339   pc  |  -9.6582     +9.6582  |paral   |2020yCat.1350....0G
5355|HD 352229                                                                                                |Star                              |20 26 46.5728438256 +19 24 15.418976256|061.4851442489950 -10.8198224902423|  -2.244 -1.939  |10.90    |K5                    |    ~     ~    |    1|  531.237   pc  | -35.0226    +35.0226  |paral   |2020yCat.1350....0G
5356|HD 352242                                                                                                |Star                              |20 26 54.5560661640 +19 11 32.393629752|061.3241145915783 -10.9644059550231| -8.742 -33.334  |10.06    |K0                    |    ~     ~    |    1|  930.925   pc  | -11.0928    +11.0928  |paral   |2020yCat.1350....0G
5357|HD 352351                                                                                                |Star                              |20 28 20.0629149984 +18 58 10.307264952|061.3281965634789 -11.3681308670366|   -3.196 4.661  |9.94     |K0                    |    ~     ~    |    1|  565.867   pc  |  -4.7390     +4.7390  |paral   |2020yCat.1350....0G
5358|HD 352209                                                                                                |Star                              |20 26 19.3537758096 +20 06 25.676139600|062.0167432991821 -10.3378278298703|  -5.237 -9.426  |10.41    |F8                    |    ~     ~    |    1|  491.449   pc  | -12.1969    +12.1969  |paral   |2020yCat.1350....0G
5359|HD 352228                                                                                                |Star                              |20 27 16.3709041680 +19 28 47.146122084|061.6155726294955 -10.8745543471876|  -1.879 -2.115  |10.37    |K7                    |    ~     ~    |    1| 1841.960   pc  | -45.8030    +45.8030  |paral   |2020yCat.1350....0G
5360|HD 352336                                                                                                |Star                              |20 28 07.3650760584 +19 31 01.582340412|061.7615363263551 -11.0193772789933|   3.906 -4.775  |10.05    |K0                    |    ~     ~    |    1|  749.569   pc  |  -6.6861     +6.6861  |paral   |2020yCat.1350....0G
5361|HD 352364                                                                                                |Star                              |20 28 18.3546691584 +18 30 13.331241000|060.9306170383911 -11.6235700131605|  -12.600 8.308  |10.76    |F8                    |    ~     ~    |    1|  248.936   pc  |  -1.0287     +1.0287  |paral   |2020yCat.1350....0G
5362|HD 352266                                                                                                |Star                              |20 26 41.2637558376 +18 36 02.041142076|060.7940002524204 -11.2513573159767| -6.803 -10.131  |10.90    |K0                    |    ~     ~    |    1| 1071.467   pc  | -14.9245    +14.9245  |paral   |2020yCat.1350....0G
5363|HD 352269                                                                                                |Star                              |20 26 54.4585769160 +18 27 03.689013132|060.6970286828807 -11.3780019307955|  11.857 -6.583  |10.29    |F8                    |    ~     ~    |    1|  394.462   pc  |  -2.6452     +2.6452  |paral   |2020yCat.1350....0G
5364|HD 352320                                                                                                |Star                              |20 29 21.9364051512 +20 18 54.586706220|062.6005413470813 -10.8107052249738|  -4.762 -3.209  |10.77    |G0                    |    ~     ~    |    1|  267.637   pc  |  -0.8882     +0.8882  |paral   |2020yCat.1350....0G
5365|HD 352312                                                                                                |Star                              |20 28 52.5802946568 +20 34 00.169359492|062.7456853726068 -10.5739082582285|   0.989 -5.319  |10.98    |A7                    |    ~     ~    |    1|  681.663   pc  |  -9.2468     +9.2468  |paral   |2020yCat.1350....0G
5366|HD 352310                                                                                                |Star                              |20 29 43.4105562144 +20 27 42.126572592|062.7718530575506 -10.7968740554644| 15.237 -12.145  |10.09    |G5                    |    ~     ~    |    1|  382.365   pc  |  -1.9445     +1.9445  |paral   |2020yCat.1350....0G
5367|HD 352311                                                                                                |Star                              |20 29 02.1018386232 +20 28 51.105185616|062.6950254635130 -10.6531013452532|   1.385 -7.173  |10.03    |A0                    |    ~     ~    |    1|  657.895   pc  |  -9.6520     +9.6520  |paral   |2020yCat.1350....0G
5368|HD 352330                                                                                                |Star                              |20 29 12.3694014792 +19 39 18.947930976|062.0242713817231 -11.1525177183754|   13.308 7.025  |9.61     |A7                    |    ~     ~    |    1|  299.895   pc  |  -2.4373     +2.4373  |paral   |2020yCat.1350....0G
5369|HD 195217                                                                                                |Star                              |20 29 21.1435683960 +20 05 15.716576184|062.4077160150818 -10.9367648971932| -18.075 -6.191  |6.561    |kA3hA7mA7             |    ~     ~    |    1|   69.512   pc  |  -0.1324     +0.1324  |paral   |2020yCat.1350....0G
5370|HD 352339                                                                                                |Star                              |20 29 38.6275303896 +19 20 05.475280452|061.8137510805672 -11.4183704038996|-11.391 -37.108  |8.63     |K0                    |    ~     ~    |    1|  327.375   pc  |  -5.7017     +5.7017  |paral   |2020yCat.1350....0G
5371|TYC 1640-1346-1                                                                                          |High Proper Motion Star           |20 29 42.2126654928 +19 20 31.309190628|061.8279062265040 -11.4259639567779| 50.464 -12.364  |10.02    |F8                    |    ~     ~    |    1|  177.699   pc  |  -0.4547     +0.4547  |paral   |2020yCat.1350....0G
5372|HD 352361                                                                                                |Star                              |20 28 57.3590879016 +18 33 35.059961340|061.0661737268891 -11.7198021689032|  -6.314 -4.357  |9.95     |K2                    |    ~     ~    |    1| 1178.967   pc  | -22.2394    +22.2394  |paral   |2020yCat.1350....0G
5373|HD 352359                                                                                                |High Proper Motion Star           |20 29 30.2575131051 +18 40 42.416758491|061.2409995134152 -11.7606447215752| -75.939 10.653  |10.71    |G0                    |    ~     ~    |    1|  196.1938  pc  |  -3.3565     +3.3565  |paral   |2018yCat.1345....0G
5374|HD 352357                                                                                                |Star                              |20 29 55.0737582168 +18 47 35.386111968|061.3941449221111 -11.7770790226927|    5.167 6.293  |10.64    |F8                    |    ~     ~    |    1|  462.022   pc  |  -6.0837     +6.0837  |paral   |2020yCat.1350....0G
5375|HD 352352                                                                                                |Star                              |20 28 44.1093165288 +19 00 31.261079196|061.4154993012627 -11.4245637338097|  -1.394 -7.259  |10.96    |A2                    |    ~     ~    |    1|  721.397   pc  | -11.7613    +11.7613  |paral   |2020yCat.1350....0G
5376|HD 352345                                                                                                |Star                              |20 29 50.1525717432 +19 12 40.221383004|061.7356051701319 -11.5255464925331|   9.494 -6.990  |10.42    |K5                    |    ~     ~    |    1| 1843.998   pc  | -57.4655    +57.4655  |paral   |2020yCat.1350....0G
5377|HD 352335                                                                                                |Spectroscopic Binary              |20 28 31.4749512384 +19 31 04.510111260|061.8164618169088 -11.0972244073815|-18.059 -78.226  |10.44    |G5                    |    ~     ~    |    1|  113.341   pc  |  -0.2338     +0.2338  |paral   |2020yCat.1350....0G
5378|HD 352327                                                                                                |Star                              |20 29 47.1278008632 +19 53 34.850703912|062.3026956506900 -11.1307465901561|   19.640 5.090  |10.60    |K2                    |    ~     ~    |    1|  849.113   pc  | -10.2381    +10.2381  |paral   |2020yCat.1350....0G
5379|HD 352338                                                                                                |Star                              |20 28 51.4969019232 +19 22 51.598758792|061.7461973171712 -11.2392920468667|  5.123 -12.882  |9.83     |K2                    |    ~     ~    |    1|  806.712   pc  |  -8.9157     +8.9157  |paral   |2020yCat.1350....0G
5380|HD 352353                                                                                                |Star                              |20 28 55.6972071000 +18 58 45.171588540|061.4167919292428 -11.4788879826913| -1.441 -10.038  |9.46     |K0                    |    ~     ~    |    1|  643.666   pc  |  -8.1204     +8.1204  |paral   |2020yCat.1350....0G
5381|HD 352346                                                                                                |Star                              |20 29 03.3355013784 +19 14 24.381412548|061.6541398639597 -11.3570581729344|    6.852 0.989  |9.295    |M0                    |    ~     ~    |    1| 1056.971   pc  | -22.0086    +22.0086  |paral   |2020yCat.1350....0G
5382|HD 352358                                                                                                |Star                              |20 29 39.4263463224 +18 49 32.238629688|061.3860722961066 -11.7077973058381|  -2.373 -8.830  |10.13    |K7                    |    ~     ~    |    1| 1979.414   pc  | -70.5254    +70.5254  |paral   |2020yCat.1350....0G
5383|HD 352325                                                                                                |Star                              |20 29 59.6126949600 +20 00 14.303135556|062.4241355261129 -11.1082988255004|   1.509 -0.401  |10.82    |K7                    |    ~     ~    |    1| 1697.505   pc  | -40.6295    +40.6295  |paral   |2020yCat.1350....0G
5384|IRAS 20273+1831                                                                                          |Long-Period Variable Candidate    |20 29 37.8590766408 +18 41 27.185598312|061.2687341916463 -11.7784681115686|   5.757 -5.006  |10.20    |~                     |    ~     ~    |    1| 1666.94    pc  | -70.5791    +70.5791  |paral   |2020yCat.1350....0G
5385|TYC 1636-245-1                                                                                           |Star                              |20 28 41.0094599256 +18 22 43.641213528|060.8761222879637 -11.7677040221286|   -3.531 1.884  |10.03    |G5                    |    ~     ~    |    1|  912.492   pc  | -11.4072    +11.4072  |paral   |2020yCat.1350....0G
5386|HD 352365                                                                                                |Star                              |20 28 40.8279831648 +18 23 54.666620988|060.8924073373985 -11.7560602937792| -1.776 -14.552  |9.08     |A3                    |    ~     ~    |    1|  317.803   pc  |  -1.8584     +1.8584  |paral   |2020yCat.1350....0G
