C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:20:07

dec< 0&rah >=0.75&rah< 1.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2467

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1485|BD-02 120                                                                                                                                                                      |Star                                |00 53 52.9775626920 -02 05 02.778978084|124.3747095121796 -64.9490031165719|   8.803 -4.530   |10.051   |~                   |    ~     ~    |    1|  231.179   pc  |  -3.5250     +3.5250    |ST-L    |2020AJ....160...83S
1486|BD-02 121                                                                                                                                                                      |Star                                |00 54 11.1787815480 -02 03 00.731839608|124.5516261952081 -64.9133070894773|  7.422 -15.564   |10.494   |~                   |    ~     ~    |    1|  683.883   pc  | -57.4800    +57.4800    |ST-L    |2020AJ....160...83S
1487|BD-03 111                                                                                                                                                                      |Star                                |00 51 14.2690687344 -02 15 49.144558140|122.8130494393987 -65.1353526661698|  24.385 -3.076   |10.18    |~                   |    ~     ~    |    1|  672.043   pc  |  -7.3618     +7.3618    |paral   |2020yCat.1350....0G
1488|TYC 4673-743-1                                                                                                                                                                 |Star                                |00 47 36.9464666592 -01 10 07.454507016|120.7503182696413 -64.0242935090668|  19.092 31.805   |10.46    |~                   |    ~     ~    |    1|  315.318   pc  |  -4.2256     +4.2256    |paral   |2020yCat.1350....0G
1489|BD-02 108                                                                                                                                                                      |Star                                |00 47 49.8387472704 -01 26 32.921319048|120.8526876533631 -64.2996616784501|  3.895 -20.849   |10.50    |~                   |    ~     ~    |    1|  322.768   pc  |  -2.0002     +2.0002    |paral   |2020yCat.1350....0G
1490|BD-01 103                                                                                                                                                                      |Star                                |00 48 35.1983510928 -01 01 56.337823524|121.3120321085778 -63.8950952718927|  24.379 -9.953   |10.50    |~                   |    ~     ~    |    1|  313.568   pc  |  -2.8318     +2.8318    |paral   |2020yCat.1350....0G
1491|TYC 4674-171-1                                                                                                                                                                 |Star                                |00 50 26.0412515160 -01 38 41.856518760|122.3488605790415 -64.5155712091737|   34.770 0.136   |10.96    |~                   |    ~     ~    |    1|  299.760   pc  |  -2.0307     +2.0307    |paral   |2020yCat.1350....0G
1492|BD-00 124                                                                                                                                                                      |Star                                |00 50 42.1515499296 -00 11 33.115736544|122.5260824823353 -63.0637002442142|  17.592 -5.393   |10.2     |~                   |    ~     ~    |    1|  694.444   pc  | -11.4294    +11.4294    |paral   |2020yCat.1350....0G
1493|BD-02 113                                                                                                                                                                      |Star                                |00 51 23.4619351536 -01 23 11.493506580|122.9049485347197 -64.2582711033219|  -6.604 12.949   |9.81     |~                   |    ~     ~    |    1|  111.022   pc  |  -0.2293     +0.2293    |paral   |2020yCat.1350....0G
1494|TYC 4674-54-1                                                                                                                                                                  |Star                                |00 51 46.7682024384 -01 23 06.070148772|123.1284639631253 -64.2566367283797|   16.928 0.853   |10.93    |~                   |    ~     ~    |    1|  268.219   pc  |  -1.3885     +1.3885    |paral   |2020yCat.1350....0G
1495|BD-02 116                                                                                                                                                                      |Star                                |00 51 56.0756548368 -01 20 50.822735856|123.2173405713929 -64.2189230940785|   25.081 3.724   |10.05    |~                   |    ~     ~    |    1|  426.058   pc  |  -3.6124     +3.6124    |paral   |2020yCat.1350....0G
1496|UCAC4 448-001140                                                                                                                                                               |Star                                |00 55 19.4015795760 -00 29 14.352415296|125.0973235890743 -63.3427303790237|   3.871 -3.967   |10.982   |~                   |    ~     ~    |    1|  564.717   pc  |  -6.7289     +6.7289    |paral   |2020yCat.1350....0G
1497|NGC 271                            NGC 271                                                                                                                                     |Galaxy towards a Group of Galaxies  |00 50 41.8642853736 -01 54 37.040416740|122.4978633290453 -64.7814127712528|            ~ ~   |     ~   |~                   |1.377 1.156    |    1|   55.46    Mpc |  -9.73       +9.73      |T-F     |2020ApJ...902..145K
1498|BD-02 126                                                                                                                                                                      |Star                                |00 55 36.0850391112 -01 15 10.973593260|125.3153341263618 -64.1055264829409| -10.754 -7.321   |10.77    |~                   |    ~     ~    |    1| 1074.229   pc  | -24.4641    +24.4641    |paral   |2020yCat.1350....0G
1499|TYC 4673-221-1                                                                                                                                                                 |Star                                |00 45 24.6822175008 -01 25 40.565264592|119.4621906934874 -64.2590740762116|    1.644 3.508   |10.98    |~                   |    ~     ~    |    1|  370.055   pc  |  -2.3554     +2.3554    |paral   |2020yCat.1350....0G
1500|TYC 4673-283-1                                                                                                                                                                 |Star                                |00 46 05.8097088648 -00 55 44.484574656|119.9101148014812 -63.7694290142368|  10.335 -6.884   |10.8     |~                   |    ~     ~    |    1|  500.225   pc  |  -4.0787     +4.0787    |paral   |2020yCat.1350....0G
1501|TYC 4673-726-1                                                                                                                                                                 |Star                                |00 46 43.0373214168 -01 24 27.203541192|120.2150207033558 -64.2543987179004|   29.990 4.964   |10.73    |~                   |    ~     ~    |    1|  332.447   pc  |  -2.4757     +2.4757    |paral   |2020yCat.1350....0G
1502|TYC 4674-258-1                                                                                                                                                                 |Star                                |00 50 23.4779019384 -01 05 55.847202936|122.3358031751077 -63.9693826084606|  28.549 -9.469   |10.73    |~                   |    ~     ~    |    1|  450.187   pc  |  -4.3574     +4.3574    |paral   |2020yCat.1350....0G
1503|TYC 4674-1103-1                                                                                                                                                                |Star                                |00 54 14.7335883528 -01 48 28.522026720|124.5719641594313 -64.6707293692218|-13.538 -35.922   |10.504   |~                   |    ~     ~    |    1|  314.153   pc  |  -6.5620     +6.5620    |ST-L    |2020AJ....160...83S
1504|HD 5656                                                                                                                                                                        |Star                                |00 58 12.5181573960 -02 34 26.577506460|126.9956556461694 -65.3923599645700|  22.507 10.537   |8.60     |G8IV                |    ~     ~    |    1|  590.633   pc  |  -9.3840     +9.3840    |paral   |2020yCat.1350....0G
1505|HD 5521                                                                                                                                                                        |Star                                |00 57 00.4816560096 -00 28 19.720132716|126.0333411561759 -63.3103447256773|  27.310 -0.581   |9.13     |F5IV                |    ~     ~    |    1|  158.582   pc  |  -0.6438     +0.6438    |paral   |2020yCat.1350....0G
1506|BD-01 122                                                                                                                                                                      |Star                                |00 58 00.2983545456 -00 44 52.488199356|126.6224907699851 -63.5725931609745|  -9.574 -9.303   |9.24     |K2                  |    ~     ~    |    1|  723.589   pc  | -12.3042    +12.3042    |paral   |2020yCat.1350....0G
1507|HD 5682                                                                                                                                                                        |High Proper Motion Star             |00 58 27.9516045024 -01 39 49.536920556|127.0111684277633 -64.4798291380223|88.874 -118.789   |7.77     |G8V                 |    ~     ~    |    1|  133.919   pc  |  -0.4125     +0.4125    |paral   |2020yCat.1350....0G
1508|BD-02 129                                                                                                                                                                      |High Proper Motion Star             |00 57 20.2207970842 -01 48 57.615614006|126.3762294385507 -64.6482937376637|-246.805 -180.993 |9.46     |K1                  |    ~     ~    |    1|   45.203   pc  |  -0.2633     +0.2633    |ST-L    |2020AJ....160...83S
1509|HD 5615                                                                                                                                                                        |High Proper Motion Star             |00 57 46.4287027896 -02 00 19.085126400|126.6562846952803 -64.8312218348087|   50.659 6.870   |9.32     |F3V                 |    ~     ~    |    1|  186.449   pc  |  -0.7335     +0.7335    |paral   |2020yCat.1350....0G
1510|HD 5624                                                                                                                                                                        |Star                                |00 57 50.2198297608 -01 45 57.476247084|126.6607544629666 -64.5913734787557|  26.363 -5.353   |6.548    |K0III               |    ~     ~    |    1|  141.000   pc  |  -0.9702     +0.9702    |paral   |2020yCat.1350....0G
1511|NGC 307                            NGC 307                                                                                                                                     |Galaxy towards a Group of Galaxies  |00 56 32.5609001952 -01 46 19.166370780|125.9084092955932 -64.6142322904238|   1.224 -0.052   |     ~   |~                   |1.127 0.428    |    1|   43.05    Mpc |                         |        |2016AJ....152...50T
1512|BD-03 133                                                                                                                                                                      |High Proper Motion Star             |00 56 52.6918665408 -02 22 29.251897716|126.1745661654589 -65.2122817817449|-21.804 -70.030   |9.882    |~                   |    ~     ~    |    1|  179.082   pc  |  -1.9340     +1.9340    |ST-L    |2020AJ....160...83S
1513|BD-00 143                                                                                                                                                                      |Star                                |00 56 49.8572926032 -00 11 07.926533304|125.9054316348517 -63.0261418160712| 12.178 -12.589   |10.1     |~                   |    ~     ~    |    1|  756.029   pc  | -10.4599    +10.4599    |paral   |2020yCat.1350....0G
1514|BD-01 120                                                                                                                                                                      |Spectroscopic Binary                |00 56 58.5925696944 -00 14 21.065270100|125.9912018514057 -63.0780280418605|  -9.881 -7.415   |10.6     |~                   |    ~     ~    |    1|  337.382   pc  |  -7.5353     +7.5353    |paral   |2020yCat.1350....0G
1515|TYC 4674-779-1                                                                                                                                                                 |High Proper Motion Star             |00 57 02.7401877864 -00 42 02.722654152|126.0791383803431 -63.5382309411607|72.832 -113.498   |10.7     |~                   |    ~     ~    |    1|   75.608   pc  |  -0.1058     +0.1058    |paral   |2020yCat.1350....0G
1516|HD 5752                                                                                                                                                                        |Star                                |00 59 07.0957244016 -00 08 42.100426464|127.1576182092613 -62.9537428182970|  1.905 -11.322   |8.70     |K0IV/VCNIII(p)      |    ~     ~    |    1|  341.845   pc  |  -3.2253     +3.2253    |paral   |2020yCat.1350....0G
1517|HD 5781                                                                                                                                                                        |Double or Multiple Star             |00 59 20.4854423 -00 40 28.605440      |127.3600569219 -63.4783867334      |   26.10 -34.46   |7.68     |F7V                 |0.0067  0.0    |    0|                |                         |        |                   
1518|HD 5805                                                                                                                                                                        |Double or Multiple Star             |00 59 35.11500 -01 11 29.7782          |127.57971402 -63.98980399          |    79.35 80.28   |8.70     |G5V                 |0.0067  0.0    |    0|                |                         |        |                   
1519|BD-01 126                                                                                                                                                                      |Star                                |00 59 44.1316322904 -00 34 03.937874916|127.5629210574061 -63.3648738469779|  5.877 -14.699   |9.87     |K0                  |    ~     ~    |    1|  573.197   pc  |  -5.5526     +5.5526    |paral   |2020yCat.1350....0G
1520|HD 5806                                                                                                                                                                        |High Proper Motion Star             |00 59 36.3454612344 -01 19 34.984739748|127.6137037447754 -64.1238588222075|  109.395 2.838   |8.41     |G1/2V               |    ~     ~    |    1|   70.455   pc  |  -0.1380     +0.1380    |paral   |2020yCat.1350....0G
1521|HD 5753                                                                                                                                                                        |High Proper Motion Star             |00 59 08.7019948680 -02 05 57.967549044|127.4754744539523 -64.9031694595056| 25.196 -62.663   |9.31     |G3V                 |    ~     ~    |    1|  115.055   pc  |  -0.2356     +0.2356    |paral   |2020yCat.1350....0G
1522|HD 5754                                                                                                                                                                        |Star                                |00 59 03.0567634344 -02 27 12.337895340|127.4791350153791 -65.2579372563870|  11.162 -7.079   |7.54     |M1III               |    ~     ~    |    1|  577.901   pc  |  -7.7815     +7.7815    |paral   |2020yCat.1350....0G
1523|HD 5760                                                                                                                                                                        |Star                                |00 59 11.0269926576 -02 24 20.223111456|127.5500122009790 -65.2078874001906|  5.513 -23.885   |8.69     |K3/4(III)           |    ~     ~    |    1|  699.203   pc  | -14.1288    +14.1288    |paral   |2020yCat.1350....0G
1524|TYC 4674-583-1                                                                                                                                                                 |Star                                |00 59 30.7180924656 -00 12 25.989846876|127.3830080631578 -63.0091667595526|  4.057 -19.018   |10.17    |~                   |    ~     ~    |    1|  428.706   pc  |  -5.8445     +5.8445    |paral   |2020yCat.1350....0G
1525|BD-02 128                                                                                                                                                                      |Star                                |00 56 17.6786863320 -01 18 41.687315388|125.7175103231687 -64.1570560063957|-21.335 -28.343   |10.28    |~                   |    ~     ~    |    1|  171.330   pc  |  -1.9550     +1.9550    |paral   |2020yCat.1350....0G
1526|TYC 4674-657-1                                                                                                                                                                 |Star                                |00 59 47.9936992656 -00 51 37.821578868|127.6464901729924 -63.6556821001806|  16.220 -3.321   |10.6     |~                   |    ~     ~    |    1|  440.276   pc  |  -6.3193     +6.3193    |paral   |2020yCat.1350....0G
1527|TYC 4674-719-1                                                                                                                                                                 |Star                                |00 56 35.2473312624 -01 18 11.609764560|125.8843433535017 -64.1454485167950| -10.122 -0.054   |10.94    |~                   |    ~     ~    |    1|  263.609   pc  |  -1.5983     +1.5983    |paral   |2020yCat.1350....0G
1528|TYC 4674-1118-1                                                                                                                                                                |Star                                |00 58 30.8446561512 -01 03 32.260370148|126.9514911657388 -63.8754687441910|   -8.461 4.828   |10.45    |~                   |    ~     ~    |    1|  349.077   pc  |  -2.4980     +2.4980    |paral   |2020yCat.1350....0G
1529|TYC 4674-1162-1                                                                                                                                                                |Star                                |00 59 52.7959566000 -00 41 36.638316708|127.6638232002812 -63.4876694940030|   5.695 -8.116   |10.19    |~                   |    ~     ~    |    1|  729.661   pc  |  -8.1990     +8.1990    |paral   |2020yCat.1350....0G
1530|NGC 308                            UCAC2 31096253                                                                                                                              |Star                                |00 56 34.3260609072 -01 47 03.572072844|125.9268767866162 -64.6262129873777| -5.078 -15.071   |15.69    |~                   |    ~     ~    |    1| 2326.122   pc  |-198.5780   +198.5780    |paral   |2020yCat.1350....0G
1531|HD 5699                                                                                                                                                                        |Star                                |00 58 05.7963064536 -44 08 00.226250376|298.8560399920387 -72.9421212708484|   15.294 0.929   |8.45     |F5V                 |    ~     ~    |    1|  106.029   pc  |  -0.2271     +0.2271    |paral   |2020yCat.1350....0G
1532|HD 5792                                                                                                                                                                        |Double or Multiple Star             |00 58 54.577200 -45 01 42.75912        |298.647921597 -72.037506423        |    -52.3 -19.5   |10.04    |G3V                 |    ~     ~    |    1|  134.82    pc  | +22.679      +1         |ST-L    |2017AJ....153...75K
1533|CD-45 303                                                                                                                                                                      |Star                                |00 58 18.7760356752 -44 58 24.736204236|298.9729710767783 -72.1018293735843|  11.868 12.558   |10.31    |~                   |    ~     ~    |    1|  288.517   pc  |  -1.0988     +1.0988    |paral   |2020yCat.1350....0G
1534|CD-45 310                                                                                                                                                                      |Star                                |00 59 32.8655367648 -44 45 43.220572056|298.1947695899689 -72.2915778235632|   -7.722 1.730   |10.638   |~                   |    ~     ~    |    1|  584.476   pc  | -19.6800    +19.6800    |ST-L    |2020AJ....160...83S
1535|HD 5894                                                                                                                                                                        |Spectroscopic Binary                |00 59 48.9902021784 -44 12 31.816299744|297.8384183055576 -72.8364571792653|-24.391 -38.120   |9.62     |G3V                 |    ~     ~    |    1|  180.603   pc  |  -2.3320     +2.3320    |ST-L    |2020AJ....160...83S
1536|HD 5350                                                                                                                                                                        |High Proper Motion Star             |00 54 43.5159517320 -49 54 17.176944060|301.5650902475761 -67.2147557662578| 12.181 -51.570   |9.36     |F7V                 |    ~     ~    |    1|  124.432   pc  |  -0.1765     +0.1765    |paral   |2020yCat.1350....0G
1537|HD 5783                                                                                                                                                                        |Star                                |00 58 44.2642961136 -51 15 54.810246744|300.1430957939421 -65.8234810962953|   23.302 3.571   |7.51     |K3III               |    ~     ~    |    1|  422.119   pc  |  -3.1004     +3.1004    |paral   |2020yCat.1350....0G
1538|HD 5924                                                                                                                                                                        |High Proper Motion Star             |00 59 59.9169223320 -51 20 35.760064776|299.6783977997876 -65.7308719640442|-59.291 -21.799   |9.32     |K0V                 |    ~     ~    |    1|   48.952   pc  |  -0.0297     +0.0297    |paral   |2020yCat.1350....0G
1539|CD-50 245                                                                                                                                                                      |RS CVn Variable                     |00 55 25.2979838664 -49 56 57.345546804|301.2803637596875 -67.1662129927515|  41.787 27.589   |10.110   |G9V                 |    ~     ~    |    1|   77.106   pc  |  -0.3069     +0.3069    |ST-L    |2020AJ....160...83S
1540|CD-51 236                                                                                                                                                                      |Star                                |00 58 14.5557911712 -50 34 02.727406668|300.2187856326972 -66.5249661430386|   3.637 12.595   |10.40    |~                   |    ~     ~    |    1|  298.864   pc  |  -1.2505     +1.2505    |paral   |2020yCat.1350....0G
1541|CD-52 195                                                                                                                                                                      |Star                                |00 59 10.9537840800 -51 52 01.411213728|300.0790361695943 -65.2182724595266| 19.344 -35.311   |10.76    |~                   |    ~     ~    |    1|  208.745   pc  |  -2.6150     +2.6150    |ST-L    |2020AJ....160...83S
1542|CD-50 259                                                                                                                                                                      |Star                                |00 57 30.8327195880 -50 15 48.007675728|300.4629448606781 -66.8357793459843|  17.666 -1.859   |10.444   |~                   |    ~     ~    |    1|  606.911   pc  | -23.0500    +23.0500    |ST-L    |2020AJ....160...83S
1543|CD-51 235                                                                                                                                                                      |Star                                |00 57 45.6704749680 -50 25 11.448507036|300.3873396023221 -66.6771527670679|  32.096 29.335   |10.30    |~                   |    ~     ~    |    1|  345.925   pc  |  -1.5796     +1.5796    |paral   |2020yCat.1350....0G
1544|HD 5727                                                                                                                                                                        |Star                                |00 58 10.3665820680 -50 01 01.629519816|300.1538161677863 -67.0747887759974|  43.330 15.587   |9.80     |A8/9V               |    ~     ~    |    1|  360.295   pc  |  -2.0900     +2.0900    |paral   |2020yCat.1350....0G
1545|V* BX Phe                                                                                                                                                                      |Long-Period Variable                |00 59 51.5955724296 -49 45 02.281501944|299.4023565526404 -67.3198612766549|    2.205 5.068   |7.44     |M3III               |    ~     ~    |    1|  529.942   pc  |  -5.8133     +5.8133    |paral   |2020yCat.1350....0G
1546|TYC 8037-119-1                                                                                                                                                                 |Star                                |00 55 37.5356391240 -50 16 17.897343960|301.2302356082868 -66.8427755245360|  -10.521 2.669   |10.884   |~                   |    ~     ~    |    1|  364.292   pc  |  -6.9570     +6.9570    |ST-L    |2020AJ....160...83S
1547|TYC 8037-173-1                                                                                                                                                                 |Spectroscopic Binary                |00 55 38.4575567856 -50 10 08.581562868|301.2131259037667 -66.9451727765611|   7.740 -3.295   |10.526   |~                   |    ~     ~    |    1|  843.067   pc  | -30.0000    +30.0000    |ST-L    |2020AJ....160...83S
1548|TYC 8037-686-1                                                                                                                                                                 |Star                                |00 59 00.8548051128 -50 42 37.264223736|299.9383208524414 -66.3738407801068|   25.613 7.495   |10.98    |~                   |    ~     ~    |    1|  164.475   pc  |  -1.8020     +1.8020    |ST-L    |2020AJ....160...83S
1549|TYC 8037-712-1                                                                                                                                                                 |Star                                |00 58 01.3297475280 -51 30 50.757784740|300.4534512275639 -65.5824557910101|  -19.185 3.108   |10.77    |~                   |    ~     ~    |    1|  168.785   pc  |  -0.3333     +0.3333    |paral   |2020yCat.1350....0G
1550|CD-50 236                                                                                                                                                                      |Star                                |00 54 14.1745787736 -49 38 37.225620960|301.7491940971665 -67.4781519017612| -4.818 -16.065   |10.87    |~                   |    ~     ~    |    1|  356.888   pc  |  -1.9105     +1.9105    |paral   |2020yCat.1350....0G
1551|CD-50 244                                                                                                                                                                      |Star                                |00 55 17.3015710608 -49 41 40.661129616|301.3100160169331 -67.4214967999406|-19.909 -28.925   |10.679   |~                   |    ~     ~    |    1|  182.974   pc  |  -1.7740     +1.7740    |ST-L    |2020AJ....160...83S
1552|CD-50 250                                                                                                                                                                      |Spectroscopic Binary                |00 55 59.1442865520 -49 36 06.042969360|301.0054078430564 -67.5095586305556| 23.641 -29.155   |10.744   |~                   |    ~     ~    |    1|  325.292   pc  |  -8.5420     +8.5420    |ST-L    |2020AJ....160...83S
1553|HD 5603                                                                                                                                                                        |High Proper Motion Star             |00 57 09.2946236568 -49 35 52.158425064|300.5103817052309 -67.5035418363714| 44.003 -19.226   |9.375    |G8IV                |    ~     ~    |    1|  355.944   pc  | -91.6600    +91.6600    |ST-L    |2020AJ....160...83S
1554|HD 4850                                                                                                                                                                        |High Proper Motion Star             |00 50 00.1733287728 -47 17 31.916444640|303.6377738329363 -69.8340866370942|  74.782 17.879   |9.64     |A0V                 |    ~     ~    |    1|  597.015   pc  | -11.9759    +11.9759    |paral   |2020yCat.1350....0G
1555|HD 4910                                                                                                                                                                        |Star                                |00 50 35.0504273880 -47 08 35.069780832|303.3560660451014 -69.9844743876491|  39.098 -0.911   |8.45     |F5V                 |    ~     ~    |    1|  103.246   pc  |  -0.8784     +0.8784    |paral   |2020yCat.1350....0G
1556|CD-47 252                                                                                                                                                                      |Star                                |00 52 13.7580813072 -47 15 20.173802940|302.5416938825737 -69.8720489454002|   27.436 6.604   |10.48    |F0                  |    ~     ~    |    1|  591.086   pc  | -11.5995    +11.5995    |paral   |2020yCat.1350....0G
1557|HD 5101                                                                                                                                                                        |High Proper Motion Star             |00 52 16.0067837736 -47 18 14.800285548|302.5245297910345 -69.8234855676648| -3.925 -67.414   |9.73     |G5/6(IV)            |    ~     ~    |    1|  170.445   pc  |  -0.4242     +0.4242    |paral   |2020yCat.1350....0G
1558|HD 5011                                                                                                                                                                        |High Proper Motion Star             |00 51 30.2557426056 -47 49 09.051596148|302.9004015071307 -69.3090673550747| 30.970 -65.119   |9.79     |F5V                 |    ~     ~    |    1|  160.097   pc  |  -0.3460     +0.3460    |paral   |2020yCat.1350....0G
1559|HD 5146                                                                                                                                                                        |Spectroscopic Binary                |00 52 41.6823317136 -47 55 34.067104680|302.3390055107536 -69.2006757611981|-11.793 -81.233   |9.83     |G2V                 |    ~     ~    |    1|  191.755   pc  | -12.2370    +12.2370    |paral   |2020yCat.1350....0G
1560|HD 5206                                                                                                                                                                        |Star                                |00 53 13.1643062424 -47 50 34.620320076|302.0869321431525 -69.2823793538966|   13.774 8.514   |9.06     |K2III               |    ~     ~    |    1|  394.089   pc  |  -2.1588     +2.1588    |paral   |2020yCat.1350....0G
1561|CD-48 210                                                                                                                                                                      |High Proper Motion Star             |00 53 49.3839493440 -48 17 41.112618684|301.8334516455433 -68.8284114060353| 81.311 -56.409   |9.75     |~                   |    ~     ~    |    1|   94.005   pc  |  -0.4765     +0.4765    |ST-L    |2020AJ....160...83S
1562|CD-49 239                                                                                                                                                                      |High Proper Motion Star             |00 53 29.2599687624 -49 02 30.262060572|302.0319795191835 -68.0829310945822| 12.583 -94.747   |10.91    |~                   |    ~     ~    |    1|  124.606   pc  |  -0.2034     +0.2034    |paral   |2020yCat.1350....0G
1563|HD 5275                                                                                                                                                                        |High Proper Motion Star             |00 53 59.1242101176 -48 47 28.911232932|301.7955559848942 -68.3312669262879|   80.820 8.061   |6.82     |G8III               |    ~     ~    |    1|  173.659   pc  |  -0.8414     +0.8414    |paral   |2020yCat.1350....0G
1564|HD 5311                                                                                                                                                                        |High Proper Motion Star             |00 54 23.7343481520 -48 56 54.130560180|301.6258165250798 -68.1723814781836| 40.744 -46.215   |7.91     |F7V                 |    ~     ~    |    1|   84.187   pc  |  -0.1219     +0.1219    |paral   |2020yCat.1350....0G
1565|HD 5340                                                                                                                                                                        |Double or Multiple Star             |00 54 40.3131 -49 27 39.057            |301.5494031 -67.6587211            |   16.989 3.748   |9.58     |A6V                 |    ~     ~    |    0|                |                         |        |                   
1566|CD-48 195                                                                                                                                                                      |Star                                |00 50 06.0805351920 -47 22 16.869162612|303.5859098137631 -69.7552026435987|  -0.640 -3.977   |10.72    |~                   |    ~     ~    |    1|  475.489   pc  |  -4.6348     +4.6348    |paral   |2020yCat.1350....0G
1567|CD-49 249                                                                                                                                                                      |Star                                |00 54 34.5584271240 -48 51 08.021027952|301.5376883621712 -68.2675283539979|  -9.996 -0.842   |10.16    |~                   |    ~     ~    |    1|  315.826   pc  |  -1.6857     +1.6857    |paral   |2020yCat.1350....0G
1568|CD-48 200                                                                                                                                                                      |Star                                |00 52 28.4540774568 -47 36 30.918356640|302.4327239017076 -69.5186594875075|  37.142 -5.436   |10.48    |~                   |    ~     ~    |    1|  361.886   pc  |  -1.7811     +1.7811    |paral   |2020yCat.1350....0G
1569|CD-47 256                                                                                                                                                                      |Double or Multiple Star             |00 52 29.8880927376 -47 16 22.050995232|302.4097396289170 -69.8543854938138|   4.168 24.822   |10.571   |~                   |    ~     ~    |    1|  144.329   pc  |  -0.3500     +0.3500    |paral   |2020yCat.1350....0G
1570|CD-49 246                                                                                                                                                                      |Star                                |00 54 01.1890094664 -48 39 25.824854304|301.7702848462885 -68.4652549386122| 23.348 -12.743   |10.51    |~                   |    ~     ~    |    1|  514.403   pc  |  -3.5193     +3.5193    |paral   |2020yCat.1350....0G
1571|CD-47 260                                                                                                                                                                      |High Proper Motion Star             |00 52 47.7792206952 -47 17 23.233031304|302.2636487529072 -69.8367028049190|  87.367 22.305   |9.96     |K0                  |    ~     ~    |    1|  104.398   pc  |  -0.7161     +0.7161    |paral   |2020yCat.1350....0G
1572|CD-47 286                                                                                                                                                                      |Star                                |00 58 29.7012238296 -47 10 12.480975768|299.4385376323113 -69.9102219542511|  -15.018 2.395   |10.59    |~                   |    ~     ~    |    1|  406.719   pc  |  -3.7220     +3.7220    |paral   |2020yCat.1350....0G
1573|CD-47 293                                                                                                                                                                      |Spectroscopic Binary                |00 59 18.7731699600 -46 51 38.551721976|298.9541324308080 -70.2066743124999|   15.018 0.289   |10.371   |F2                  |    ~     ~    |    1|  275.436   pc  |  -5.6300     +5.6300    |ST-L    |2020AJ....160...83S
1574|CD-48 207                                                                                                                                                                      |High Proper Motion Star             |00 53 37.0340179080 -47 26 04.861181472|301.8701562566204 -69.6890756396248|134.830 -53.655   |9.91     |K0                  |    ~     ~    |    1|   80.258   pc  |  -0.0928     +0.0928    |paral   |2020yCat.1350....0G
1575|HD 5388                                                                                                                                                                        |High Proper Motion Star             |00 55 11.8899595488 -47 24 21.477151800|301.0970559575957 -69.7088877119537|-80.390 -178.083  |6.72     |F6V                 |    ~     ~    |    1|   53.070   pc  |  -0.0560     +0.0560    |paral   |2020yCat.1350....0G
1576|CD-48 219                                                                                                                                                                      |Star                                |00 56 19.3885282944 -47 43 28.960269852|300.5984278327005 -69.3814009332845|    2.860 1.319   |9.49     |K2                  |    ~     ~    |    1|  574.713   pc  |  -4.2938     +4.2938    |paral   |2020yCat.1350....0G
1577|HD 5647                                                                                                                                                                        |Star                                |00 57 34.3736767440 -47 33 52.713653328|299.9719212485214 -69.5283346341290|  25.404 22.720   |8.60     |K0III               |    ~     ~    |    1|  264.382   pc  |  -1.1463     +1.1463    |paral   |2020yCat.1350....0G
1578|CD-48 227                                                                                                                                                                      |High Proper Motion Star             |00 57 45.6289626312 -47 26 18.977888184|299.8562247660769 -69.6518715728992|  15.930 56.069   |9.74     |G5                  |    ~     ~    |    1|  265.379   pc  |  -0.8874     +0.8874    |paral   |2020yCat.1350....0G
1579|HD 5793                                                                                                                                                                        |Star                                |00 58 59.6122730352 -47 48 14.505670188|299.3456620930860 -69.2715768013451| -19.276 -9.884   |8.58     |K0III               |    ~     ~    |    1|  559.222   pc  |  -5.5353     +5.5353    |paral   |2020yCat.1350....0G
1580|HD 5632                                                                                                                                                                        |Star                                |00 57 27.2073118344 -48 44 33.682777872|300.2426875270332 -68.3541402127576|   -1.744 9.855   |8.24     |F5/6IV/V            |    ~     ~    |    1|   92.889   pc  |  -0.5028     +0.5028    |ST-L    |2020AJ....160...83S
1581|CD-49 265                                                                                                                                                                      |Star                                |00 57 51.8867832816 -48 19 44.638710996|299.9820326494020 -68.7623585369764|-32.314 -10.676   |9.74     |~                   |    ~     ~    |    1|  106.998   pc  |  -0.1317     +0.1317    |paral   |2020yCat.1350....0G
1582|HD 5738                                                                                                                                                                        |Star                                |00 58 19.4585681808 -48 34 24.238654320|299.8209653023035 -68.5132350699621|  -0.494 -7.297   |8.87     |A0/1V               |    ~     ~    |    1|  438.135   pc  |  -6.1044     +6.1044    |paral   |2020yCat.1350....0G
1583|CD-49 276                                                                                                                                                                      |Star                                |00 59 58.8242023008 -48 39 37.285414128|299.0973120501258 -68.4042431191135|   4.159 -5.022   |10.580   |~                   |    ~     ~    |    1|  368.302   pc  |  -6.4530     +6.4530    |ST-L    |2020AJ....160...83S
