C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:20:07

dec< 0&rah >=0.75&rah< 1.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2467

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
32  |HD 5386                                                                                                                                                                        |Star                                |00 55 14.0542700976 -43 02 54.821681988|300.4056091906064 -74.0610639944688|    0.479 6.555   |8.92     |K0III               |    ~     ~    |    1|  431.760   pc  |  -7.1398     +7.1398    |paral   |2020yCat.1350....0G
33  |V* AZ Phe                                                                                                                                                                      |delta Sct Variable                  |00 50 03.7685557584 -43 23 41.882368596|303.8236221328895 -73.7309042050713|   8.708 22.436   |6.476    |A9/F0III            |    ~     ~    |    1|   97.165   pc  |  -0.9847     +0.9847    |paral   |2020yCat.1350....0G
34  |HD 4989                                                                                                                                                                        |High Proper Motion Star             |00 51 26.7714172152 -43 35 26.143046304|302.9266355069884 -73.5376570395465|  63.841 25.519   |9.75     |K1V                 |    ~     ~    |    1|   47.768   pc  |  -0.1326     +0.1326    |ST-L    |2020AJ....160...83S
35  |HD 5042                                                                                                                                                                        |Double or Multiple Star             |00 51 52.1692322400 -43 42 32.500234080|302.6586236490869 -73.4189955531316|   30.874 6.010   |6.94     |F2/3V               |    ~     ~    |    1|   90.403   pc  |  -0.4855     +0.4855    |paral   |2020yCat.1350....0G
36  |HD 4662                                                                                                                                                                        |Double or Multiple Star             |00 48 11.6883473736 -43 46 22.128236760|304.9746934244339 -73.3425734175491| 83.303 -14.549   |9.00     |G0V                 |0.0100  0.0    |    1|  132.172   pc  |  -0.8735     +0.8735    |paral   |2020yCat.1350....0G
37  |HD 4824                                                                                                                                                                        |Star                                |00 49 53.7997455384 -43 59 24.670425372|303.8875043399930 -73.1352064343692|-13.672 -22.166   |9.08     |G8III               |    ~     ~    |    1|  482.346   pc  |  -3.3037     +3.3037    |paral   |2020yCat.1350....0G
38  |CD-44 222                                                                                                                                                                      |Star                                |00 51 11.4894179208 -43 49 03.818653788|303.0867070024994 -73.3104509537286|  1.724 -25.816   |9.903    |K0                  |    ~     ~    |    1|  238.937   pc  |  -2.8470     +2.8470    |ST-L    |2020AJ....160...83S
39  |HD 5002                                                                                                                                                                        |Star                                |00 51 33.9411307056 -43 46 04.090986588|302.8513666723525 -73.3604293773913|   3.659 -4.045   |9.59     |F3V                 |    ~     ~    |    1|  150.635   pc  |  -1.1650     +1.1650    |ST-L    |2020AJ....160...83S
40  |HD 5157                                                                                                                                                                        |Star                                |00 52 54.6667927344 -43 54 39.314828052|302.0131133208382 -73.2147033214457|   32.326 2.701   |8.40     |G8III               |    ~     ~    |    1|  333.500   pc  |  -2.1577     +2.1577    |paral   |2020yCat.1350....0G
41  |HD 5175                                                                                                                                                                        |High Proper Motion Star             |00 53 11.3596581426 -43 46 20.691020967|301.8282626312260 -73.3520848841427|412.832 -131.484  |9.64     |A5(Ibw)             |    ~     ~    |    1|  135.131   pc  |  -0.3414     +0.3414    |paral   |2020yCat.1350....0G
42  |CD-42 268                                                                                                                                                                      |Star                                |00 48 10.8710063016 -41 47 26.302036848|305.3283307519793 -75.3224559542012|  0.849 -26.506   |10.763   |~                   |    ~     ~    |    1|  225.716   pc  |  -3.2040     +3.2040    |ST-L    |2020AJ....160...83S
43  |CD-43 224                                                                                                                                                                      |High Proper Motion Star             |00 48 21.3762420336 -43 08 03.738425676|304.9696899935190 -73.9816855788336|   69.352 7.870   |10.86    |~                   |    ~     ~    |    1|  150.227   pc  |  -0.3385     +0.3385    |paral   |2020yCat.1350....0G
44  |CD-42 274                                                                                                                                                                      |Star                                |00 48 52.7638479504 -41 34 41.758455936|304.8484675458805 -75.5404638900619|  9.888 -34.627   |10.81    |~                   |    ~     ~    |    1|  272.294   pc  |  -1.5941     +1.5941    |paral   |2020yCat.1350....0G
45  |CD-43 230                                                                                                                                                                      |High Proper Motion Star             |00 49 33.2417360232 -42 57 10.890751032|304.1957318601346 -74.1706040877071|  54.898 -3.361   |10.75    |~                   |    ~     ~    |    1|  230.118   pc  |  -0.6884     +0.6884    |paral   |2020yCat.1350....0G
46  |CD-43 231                                                                                                                                                                      |Star                                |00 49 37.8609180864 -42 26 17.417314356|304.1942507107023 -74.6856519505816|    3.783 5.456   |10.73    |~                   |    ~     ~    |    1|  307.161   pc  |  -4.9070     +4.9070    |ST-L    |2020AJ....160...83S
47  |CD-44 220                                                                                                                                                                      |Star                                |00 50 47.3465468448 -43 22 32.729353536|303.3532996097208 -73.7519634314857|  -4.772 15.004   |10.612   |~                   |    ~     ~    |    1|  622.726   pc  | -19.7300    +19.7300    |ST-L    |2020AJ....160...83S
48  |CD-42 286                                                                                                                                                                      |Star                                |00 51 27.3850775112 -41 29 16.970685936|302.9179510138279 -75.6402045003200|  10.687 -7.793   |9.81     |~                   |    ~     ~    |    1|  725.479   pc  |  -7.6843     +7.6843    |paral   |2020yCat.1350....0G
49  |CD-43 248                                                                                                                                                                      |Double or Multiple Star             |00 53 06.9366286560 -43 11 00.631136724|301.8262887647610 -73.9411419597880|  18.598 -8.733   |10.761   |~                   |    ~     ~    |    1|  368.467   pc  |  -7.2200     +7.2200    |ST-L    |2020AJ....160...83S
50  |CD-44 230                                                                                                                                                                      |High Proper Motion Star             |00 53 17.2397998536 -43 24 58.277911680|301.7346977654037 -73.7077646858377| 86.099 -45.804   |10.50    |~                   |    ~     ~    |    1|  180.349   pc  |  -0.7513     +0.7513    |paral   |2020yCat.1350....0G
51  |CD-43 253                                                                                                                                                                      |Star                                |00 53 47.9053194840 -43 03 09.455777604|301.3607574909683 -74.0684239435373| 22.262 -11.619   |9.94     |~                   |    ~     ~    |    1|  601.323   pc  |  -4.4837     +4.4837    |paral   |2020yCat.1350....0G
52  |CD-43 254                                                                                                                                                                      |Star                                |00 53 49.3403967480 -42 57 00.463304844|301.3321728685434 -74.1707165014277| 26.200 -16.659   |10.44    |~                   |    ~     ~    |    1|  350.447   pc  |  -1.9896     +1.9896    |paral   |2020yCat.1350....0G
53  |CD-43 257                                                                                                                                                                      |Star                                |00 54 33.6893965704 -43 19 19.438929912|300.8960210374611 -73.7938363087006| -11.565 -6.893   |10.77    |~                   |    ~     ~    |    1|  910.498   pc  | -11.3574    +11.3574    |paral   |2020yCat.1350....0G
54  |CD-44 237                                                                                                                                                                      |Star                                |00 54 34.7201034360 -43 51 52.785512640|300.9671162746117 -73.2516058545890| 22.012 -16.920   |10.87    |~                   |    ~     ~    |    1|  611.284   pc  |  -5.5303     +5.5303    |paral   |2020yCat.1350....0G
55  |CD-42 270                                                                                                                                                                      |Star                                |00 48 33.5158948512 -41 34 57.935581212|305.0876927016815 -75.5334382103888|  1.270 -16.096   |10.75    |~                   |    ~     ~    |    1|  963.020   pc  | -14.2821    +14.2821    |paral   |2020yCat.1350....0G
56  |CD-42 295                                                                                                                                                                      |Star                                |00 52 43.9674739032 -41 58 35.782670496|301.9929188263325 -75.1492851775997|   12.504 6.219   |10.20    |~                   |    ~     ~    |    1| 1275.836   pc  | -25.7186    +25.7186    |paral   |2020yCat.1350....0G
57  |HD 4909                                                                                                                                                                        |Star                                |00 50 39.0239302896 -44 08 20.144323464|303.4148709796374 -72.9885849680829|  -14.736 2.129   |9.865    |F3/5V               |    ~     ~    |    1|  185.116   pc  |  -1.7520     +1.7520    |ST-L    |2020AJ....160...83S
58  |TYC 7535-832-1                                                                                                                                                                 |Star                                |00 50 11.8541494560 -42 00 17.349928740|303.8293266988306 -75.1212716955030|  15.328 -5.979   |10.721   |~                   |    ~     ~    |    1| 1025.290   pc  | -43.3900    +43.3900    |ST-L    |2020AJ....160...83S
59  |TYC 7535-853-1                                                                                                                                                                 |High Proper Motion Star             |00 53 13.3324226832 -42 02 57.987073248|301.6457882101136 -75.0743554642185|  0.342 -52.850   |10.96    |~                   |    ~     ~    |    1|  269.527   pc  |  -1.1986     +1.1986    |paral   |2020yCat.1350....0G
