C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:50

dec >=0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2206

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |BD+82 377                                                                                                                                                                      |High Proper Motion Star             |12 48 31.1714754840 +81 33 44.444715444|123.0635284501104 +35.5651609193013| -82.741 20.307   |9.85     |G0               |    ~     ~    |    1|   99.669   pc  |  -0.1152     +0.1152  |paral   |2020yCat.1350....0G
33  |BD+82 379                                                                                                                                                                      |Star                                |12 55 12.3276998400 +81 22 38.948407068|122.7579369589099 +35.7494939376340|  -29.273 0.768   |9.75     |F2               |    ~     ~    |    1|  327.557   pc  |  -1.2553     +1.2553  |paral   |2020yCat.1350....0G
34  |BD+82 380                                                                                                                                                                      |Star                                |12 58 57.9673393320 +81 39 48.353871024|122.5969715140805 +35.4599241467740| 19.534 -11.626   |10.66    |K2               |    ~     ~    |    1|  381.986   pc  |  -1.5467     +1.5467  |paral   |2020yCat.1350....0G
35  |HD 112028                                                                                                                                                                      |Star                                |12 49 13.7347330152 +83 24 46.432131660|123.0080840847499 +33.7150279442374| -31.517 20.774   |5.350    |A1IV_sh          |    ~     ~    |    1|  128.770   pc  |  -1.9301     +1.9301  |paral   |2020yCat.1350....0G
36  |BD+79 408                                                                                                                                                                      |Star                                |12 57 51.4112981232 +78 49 52.208065776|122.5359313840502 +38.2921476429868|  6.509 -17.893   |9.96     |K2               |    ~     ~    |    1|  543.419   pc  |  -3.6027     +3.6027  |paral   |2020yCat.1350....0G
37  |BD+79 409                                                                                                                                                                      |Star                                |12 59 38.1136968216 +78 26 24.280756728|122.4059682450023 +38.6798018504924| -39.764 -0.034   |9.64     |F8               |    ~     ~    |    1|  231.401   pc  |  -0.6318     +0.6318  |paral   |2020yCat.1350....0G
38  |BD+82 375                                                                                                                                                                      |Star                                |12 47 30.9904474104 +81 15 59.550705612|123.1155861829956 +35.8603121132400|   2.272 12.254   |9.76     |A5               |    ~     ~    |    1|  389.818   pc  |  -4.4524     +4.4524  |paral   |2020yCat.1350....0G
39  |BD+81 405                                                                                                                                                                      |Star                                |12 47 00.5535793944 +81 08 11.696203716|123.1427493857013 +35.9898571930997|  35.230 32.728   |10.40    |F8               |    ~     ~    |    1|  215.364   pc  |  -0.6169     +0.6169  |paral   |2020yCat.1350....0G
40  |BD+81 403                                                                                                                                                                      |Star                                |12 45 07.4418837408 +80 29 07.523952108|123.2570535048428 +36.6388428961340|  -7.808 -6.709   |10.47    |G5               |    ~     ~    |    1|  193.315   pc  |  -0.5606     +0.5606  |paral   |2020yCat.1350....0G
41  |BD+81 404                                                                                                                                                                      |Star                                |12 45 54.8900721720 +80 25 14.261263212|123.2185033179752 +36.7045508553105|  -1.415 -4.302   |10.66    |K                |    ~     ~    |    1| 1274.860   pc  | -23.8914    +23.8914  |paral   |2020yCat.1350....0G
42  |BD+81 406                                                                                                                                                                      |Star                                |12 47 41.1953600760 +80 51 12.848562936|123.1168282148895 +36.2733365408660|   11.681 5.323   |10.77    |G5               |    ~     ~    |    1|  642.343   pc  |  -4.7037     +4.7037  |paral   |2020yCat.1350....0G
43  |HD 111781                                                                                                                                                                      |Star                                |12 48 55.2872934024 +80 24 22.518369540|123.0627299190073 +36.7213581813256| 15.558 -11.459   |7.54     |G5               |    ~     ~    |    1|  114.747   pc  |  -0.2423     +0.2423  |paral   |2020yCat.1350....0G
44  |BD+81 408                                                                                                                                                                      |Star                                |12 49 26.9386557456 +80 29 49.595462304|123.0342196044608 +36.6307475190167|  -0.452 -8.004   |10.11    |F5               |    ~     ~    |    1|  261.506   pc  |  -0.8001     +0.8001  |paral   |2020yCat.1350....0G
45  |BD+81 409                                                                                                                                                                      |High Proper Motion Star             |12 50 55.6614057432 +81 03 14.881478796|122.9564657408591 +36.0740943594977| -76.340 32.155   |9.78     |F8               |    ~     ~    |    1|  207.641   pc  |  -0.6295     +0.6295  |paral   |2020yCat.1350....0G
46  |BD+81 410                                                                                                                                                                      |Star                                |12 53 35.3567524800 +80 59 36.548789568|122.8276751420651 +36.1343311616688|   5.186 -9.087   |10.58    |G5               |    ~     ~    |    1|  673.945   pc  |  -4.9508     +4.9508  |paral   |2020yCat.1350....0G
47  |BD+81 411                                                                                                                                                                      |High Proper Motion Star             |12 57 10.2919286472 +80 21 53.668154412|122.6324943731107 +36.7600108891509| -47.440 10.113   |9.98     |G5               |    ~     ~    |    1|  134.169   pc  |  -1.6885     +1.6885  |paral   |2020yCat.1350....0G
48  |HD 111178                                                                                                                                                                      |Star                                |12 45 00.0635971848 +79 55 25.026878208|123.2853518793679 +37.2002162741401|  3.527 -16.021   |7.55     |G5               |    ~     ~    |    1|  282.223   pc  |  -1.2107     +1.2107  |paral   |2020yCat.1350....0G
49  |TYC 4557-1069-1                                                                                                                                                                |Star                                |12 53 53.3593052616 +80 11 53.094657516|122.8014087187265 +36.9295493270300|  -7.680 -4.545   |10.03    |F8               |    ~     ~    |    1|  270.775   pc  |  -5.1837     +5.1837  |paral   |2020yCat.1350....0G
50  |HD 112986                                                                                                                                                                      |High Proper Motion Star             |12 57 24.0187840704 +79 54 46.105632396|122.6041460398686 +37.2116503347589| -90.935 34.749   |8.09     |F5               |    ~     ~    |    1|   80.223   pc  |  -0.1139     +0.1139  |paral   |2020yCat.1350....0G
51  |BD+79 404                                                                                                                                                                      |Star                                |12 45 19.4723479944 +78 52 04.117208016|123.3076634532272 +38.2559816803704|    6.401 7.201   |9.51     |F0               |    ~     ~    |    1|  247.225   pc  |  -1.1368     +1.1368  |paral   |2020yCat.1350....0G
52  |HD 112599                                                                                                                                                                      |Star                                |12 55 15.0402244248 +78 29 59.227461204|122.6886796557722 +38.6266661903496| -8.215 -24.105   |7.66     |K0               |    ~     ~    |    1|  329.489   pc  |  -1.7587     +1.7587  |paral   |2020yCat.1350....0G
53  |TYC 4554-239-1                                                                                                                                                                 |Star                                |12 53 15.9856862544 +78 30 02.025048564|122.8152728476886 +38.6272757424243|   16.325 2.221   |10.37    |~                |    ~     ~    |    1|  282.813   pc  |  -1.4557     +1.4557  |paral   |2020yCat.1350....0G
54  |TYC 4554-1015-1                                                                                                                                                                |Star                                |12 45 10.6545041088 +78 38 18.279944880|123.3257646275943 +38.4850536254135|   13.826 0.581   |10.08    |~                |    ~     ~    |    1|  755.515   pc  |  -6.8496     +6.8496  |paral   |2020yCat.1350....0G
55  |TYC 4554-1046-1                                                                                                                                                                |Star                                |12 55 57.1681666680 +78 58 03.056643264|122.6572416838393 +38.1583285999659| -15.857 -1.705   |10.84    |~                |    ~     ~    |    1|  852.660   pc  |  -8.0700     +8.0700  |paral   |2020yCat.1350....0G
56  |TYC 4554-1054-1                                                                                                                                                                |Star                                |12 46 52.2239748240 +79 02 04.812633780|123.2078850239520 +38.0911347712878|  11.281 -9.395   |10.32    |~                |    ~     ~    |    1|  401.107   pc  |  -2.0272     +2.0272  |paral   |2020yCat.1350....0G
57  |TYC 4554-1185-1                                                                                                                                                                |Star                                |12 48 51.9772471920 +79 11 32.643583836|123.0847701426356 +37.9350882233846| 15.296 -20.600   |10.44    |~                |    ~     ~    |    1|  289.352   pc  |  -3.8430     +3.8430  |paral   |2020yCat.1350....0G
58  |TYC 4554-1195-1                                                                                                                                                                |Star                                |12 48 07.1931753000 +79 13 13.581795324|123.1285481419988 +37.9065462633697|   16.152 6.279   |9.99     |~                |    ~     ~    |    1|  517.706   pc  |  -2.7874     +2.7874  |paral   |2020yCat.1350....0G
59  |TYC 4554-1269-1                                                                                                                                                                |Star                                |12 56 21.3790811424 +79 14 25.995323940|122.6410997703888 +37.8849206754055| -16.177 -7.332   |10.98    |~                |    ~     ~    |    1|  352.622   pc  |  -1.3553     +1.3553  |paral   |2020yCat.1350....0G
60  |TYC 4554-1286-1                                                                                                                                                                |High Proper Motion Star             |12 57 38.7888617352 +79 39 11.686161636|122.5807183494077 +37.4707721476372| -76.873 13.160   |10.54    |~                |    ~     ~    |    1|  236.390   pc  |  -0.6091     +0.6091  |paral   |2020yCat.1350....0G
61  |TYC 4554-1362-1                                                                                                                                                                |Star                                |12 58 35.2992462696 +79 33 28.264304304|122.5232533588357 +37.5647267493188|  6.525 -16.654   |9.21     |~                |    ~     ~    |    1|  482.952   pc  |  -2.9155     +2.9155  |paral   |2020yCat.1350....0G
62  |TYC 4554-1473-1                                                                                                                                                                |High Proper Motion Star             |12 49 25.7542242144 +79 27 27.230655420|123.0479994883228 +37.6702356335622|   61.515 2.652   |10.36    |~                |    ~     ~    |    1|  254.356   pc  |  -0.8281     +0.8281  |paral   |2020yCat.1350....0G
63  |TYC 4554-1499-1                                                                                                                                                                |Star                                |12 52 59.2716274944 +79 28 22.341860832|122.8425055370136 +37.6551105694005| 15.029 -35.505   |10.99    |~                |    ~     ~    |    1|  222.479   pc  |  -0.6385     +0.6385  |paral   |2020yCat.1350....0G
