C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:50

dec >=0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2206

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1350|FAUST 3491                                                                                                                                                                     |Star                                |12 48 41.6 +12 10 07                   |300.3351 +75.0265                  |            ~ ~   |9.7      |A0               |    ~     ~    |    0|                |                       |        |                   
1351|NGC 4746                           NGC 4746                                                                                                                                    |Galaxy towards a Group of Galaxies  |12 51 55.371 +12 04 58.90              |303.388609 +74.954345              |            ~ ~   |     ~   |~                |1.507 0.362    |    1|   32.06    Mpc |  -1.88       +1.88    |T-F     |2020ApJ...902..145K
1352|TYC 881-330-1                                                                                                                                                                  |High Proper Motion Star             |12 45 08.7298601760 +12 54 08.007313464|296.7133104880983 +75.6979411919227| 80.350 -38.941   |10.21    |~                |    ~     ~    |    1|  183.399   pc  |  -0.6323     +0.6323  |paral   |2020yCat.1350....0G
1353|TYC 881-338-1                                                                                                                                                                  |Star                                |12 45 53.4176727912 +12 49 38.939524752|297.4715662128143 +75.6403823405054|  -0.483 -5.507   |10.62    |~                |    ~     ~    |    1|  328.580   pc  |  -2.4724     +2.4724  |paral   |2020yCat.1350....0G
1354|TYC 885-524-1                                                                                                                                                                  |Star                                |12 49 47.0069038872 +12 06 09.798700248|301.3722798325259 +74.9694590330107|-18.032 -13.708   |10.76    |~                |    ~     ~    |    1|  388.440   pc  |  -2.7612     +2.7612  |paral   |2020yCat.1350....0G
1355|TYC 885-537-1                                                                                                                                                                  |High Proper Motion Star             |12 50 13.0444322952 +12 18 40.652618040|301.7663527457443 +75.1802777422985|  -77.601 2.156   |10.60    |~                |    ~     ~    |    1|  255.056   pc  |  -1.2035     +1.2035  |paral   |2020yCat.1350....0G
1356|TYC 885-771-1                                                                                                                                                                  |Star                                |12 54 07.0583145816 +11 51 09.509216328|305.4191762781563 +74.7114461885517|-32.085 -10.118   |10.81    |~                |    ~     ~    |    1|  326.222   pc  | -10.2589    +10.2589  |paral   |2020yCat.1350....0G
1357|TYC 885-780-1                                                                                                                                                                  |Star                                |12 55 57.9080926344 +11 34 52.198381416|307.0625424213187 +74.4165934405998| -19.468 -6.235   |10.90    |~                |    ~     ~    |    1|  128.498   pc  |  -0.2956     +0.2956  |paral   |2020yCat.1350....0G
1358|TYC 885-837-1                                                                                                                                                                  |High Proper Motion Star             |12 48 12.6964676040 +11 58 03.327895704|299.9172256471318 +74.8204504236124| 54.826 -32.708   |10.34    |~                |    ~     ~    |    1|  210.939   pc  |  -1.0768     +1.0768  |paral   |2020yCat.1350....0G
1359|TYC 885-857-1                                                                                                                                                                  |High Proper Motion Star             |12 47 12.8946252648 +11 43 12.250256232|299.0462850154475 +74.5599478214372|-57.429 -52.786   |10.38    |~                |    ~     ~    |    1|  164.287   pc  |  -0.7584     +0.7584  |paral   |2020yCat.1350....0G
1360|TYC 885-892-1                                                                                                                                                                  |Star                                |12 51 55.3177289832 +11 16 32.280987972|303.3663712276456 +74.1469728736142|  -17.236 3.981   |10.79    |~                |    ~     ~    |    1|  241.435   pc  |  -0.9735     +0.9735  |paral   |2020yCat.1350....0G
1361|TYC 885-1023-1                                                                                                                                                                 |Star                                |12 51 13.4635449240 +12 02 16.250760132|302.7313981593347 +74.9095118835555|-22.583 -13.608   |10.32    |~                |    ~     ~    |    1|  170.239   pc  |  -2.1127     +2.1127  |paral   |2020yCat.1350....0G
1362|TYC 888-238-1                                                                                                                                                                  |Star                                |12 49 04.1482847808 +12 40 20.792520120|300.6185380469576 +75.5335488731911|-27.862 -27.301   |10.00    |~                |    ~     ~    |    1|  376.265   pc  |  -2.4209     +2.4209  |paral   |2020yCat.1350....0G
1363|TYC 888-320-1                                                                                                                                                                  |Star                                |12 50 16.0781137800 +12 33 13.775837724|301.7975107492098 +75.4229971840990|  -18.133 3.954   |10.41    |~                |    ~     ~    |    1|  276.403   pc  |  -1.9253     +1.9253  |paral   |2020yCat.1350....0G
1364|TYC 888-382-1                                                                                                                                                                  |High Proper Motion Star             |12 54 26.2305339240 +13 12 54.438915600|305.9652822303648 +76.0692016794292| 37.309 -47.700   |10.66    |~                |    ~     ~    |    1|  232.083   pc  |  -0.8672     +0.8672  |paral   |2020yCat.1350....0G
1365|TYC 888-407-1                                                                                                                                                                  |Star                                |12 51 56.8674796464 +13 30 06.634547244|303.4580253277514 +76.3730696678852|  -0.558 -1.780   |10.26    |~                |    ~     ~    |    1|  403.861   pc  | -10.5039    +10.5039  |paral   |2020yCat.1350....0G
1366|TYC 888-749-1                                                                                                                                                                  |Star                                |12 46 17.3095872864 +13 32 18.048897204|297.6185723160847 +76.3569418620298|-15.273 -37.411   |10.70    |~                |    ~     ~    |    1|  298.721   pc  |  -1.5081     +1.5081  |paral   |2020yCat.1350....0G
1367|TYC 888-786-1                                                                                                                                                                  |Star                                |12 46 03.6174228624 +13 26 17.584175580|297.4216334461671 +76.2523976444312|  -12.801 6.997   |10.46    |~                |    ~     ~    |    1|  275.391   pc  |  -1.6078     +1.6078  |paral   |2020yCat.1350....0G
1368|TYC 888-787-1                                                                                                                                                                  |Star                                |12 50 25.1495185512 +13 32 05.514857052|301.8784813538200 +76.4045290001983|  -8.621 20.868   |10.86    |~                |    ~     ~    |    1|  446.887   pc  | -11.4033    +11.4033  |paral   |2020yCat.1350....0G
1369|TYC 888-843-1                                                                                                                                                                  |High Proper Motion Star             |12 52 34.0561278240 +13 32 34.370217708|304.1006950389576 +76.4120644784185| -40.685 41.254   |10.51    |~                |    ~     ~    |    1|   66.908   pc  |  -0.0904     +0.0904  |paral   |2020yCat.1350....0G
1370|BD+11 2493                                                                                                                                                                     |Star                                |12 46 14.2628027670 +10 47 01.898430522|298.4017376800064 +73.6098506080378| -38.903 29.552   |10.70    |G5               |    ~     ~    |    1|  174.3953  pc  | -13.2847    +13.2847  |paral   |2018yCat.1345....0G
1371|HD 110934                                                                                                                                                                      |High Proper Motion Star             |12 45 31.6848375600 +10 34 31.515082860|297.8454203290204 +73.3887752670768|-85.244 -53.047   |9.38     |K0               |    ~     ~    |    1|  136.990   pc  |  -0.3284     +0.3284  |paral   |2020yCat.1350....0G
1372|BD+11 2490                                                                                                                                                                     |Star                                |12 46 01.4217835152 +10 33 56.360556000|298.2728449005574 +73.3884060454352|   4.054 -2.382   |9.21     |K2               |    ~     ~    |    1|  664.319   pc  |  -7.3259     +7.3259  |paral   |2020yCat.1350....0G
1373|BD+11 2497                                                                                                                                                                     |High Proper Motion Star             |12 47 08.5747223016 +10 30 22.732428240|299.2455063822841 +73.3473123542217| -70.755 29.582   |9.53     |G5               |    ~     ~    |    1|  149.118   pc  |  -0.3847     +0.3847  |paral   |2020yCat.1350....0G
1374|BD+10 2466                                                                                                                                                                     |Spectroscopic Binary                |12 45 53.9160748368 +10 08 50.559551088|298.2730413335632 +72.9689981700448|-11.260 -23.820   |10.01    |K0               |    ~     ~    |    1|  538.184   pc  | -28.1532    +28.1532  |paral   |2020yCat.1350....0G
1375|BD+10 2466B                                                                                                                                                                    |High Proper Motion Star             |12 45 54.8933731536 +10 09 20.341728216|298.2846210612325 +72.9775427106978| -89.766 17.215   |10.41    |K0               |    ~     ~    |    1|  108.644   pc  |  -0.2042     +0.2042  |paral   |2020yCat.1350....0G
1376|BD+10 2467                                                                                                                                                                     |Spectroscopic Binary                |12 46 18.0393799272 +09 30 13.823542692|298.7545569948829 +72.3339067449703|-105.077 -25.616  |8.69     |F5               |    ~     ~    |    1|  120.256   pc  |  -2.2560     +2.2560  |paral   |2020yCat.1350....0G
1377|HD 111043                                                                                                                                                                      |Star                                |12 46 26.8167866568 +09 17 07.599538392|298.9186033196397 +72.1182892389967|-14.053 -24.821   |7.80     |F0               |    ~     ~    |    1|  150.877   pc  |  -0.5964     +0.5964  |paral   |2020yCat.1350....0G
1378|BD+10 2471                                                                                                                                                                     |Star                                |12 47 04.4599112040 +09 32 37.587408936|299.3748344203802 +72.3853776810686|-20.183 -13.499   |9.17     |K0               |    ~     ~    |    1|  435.730   pc  |  -3.5884     +3.5884  |paral   |2020yCat.1350....0G
1379|BD+10 2472                                                                                                                                                                     |High Proper Motion Star             |12 47 03.5442403032 +09 43 19.440838632|299.3289893781193 +72.5631748125205|-135.334 41.289   |9.50     |F8               |    ~     ~    |    1|   98.229   pc  |  -0.1756     +0.1756  |paral   |2020yCat.1350....0G
1380|HD 111029                                                                                                                                                                      |High Proper Motion Star             |12 46 18.8967692568 +08 47 09.914517492|298.9153341286771 +71.6178709478598|  -75.450 0.680   |9.01     |F8               |    ~     ~    |    1|  125.753   pc  |  -0.8049     +0.8049  |paral   |2020yCat.1350....0G
1381|CSI+09 2666 2                                                                                                                                                                  |Star                                |12 46 17.6 +08 47 09                   |298.8985 +71.6173                  |            ~ ~   |8.6      |K0               |    ~     ~    |    0|                |                       |        |                   
1382|BD+09 2668                                                                                                                                                                     |Star                                |12 46 53.0779257264 +08 22 42.907654596|299.4319624138364 +71.2193839063527|  -9.677 -3.622   |10.67    |K5               |    ~     ~    |    1| 1248.284   pc  | -40.0460    +40.0460  |paral   |2020yCat.1350....0G
1383|HD 111132                                                                                                                                                                      |Star                                |12 47 02.1884509320 +09 03 50.267119644|299.4312899209348 +71.9057877980439| -6.270 -14.316   |6.89     |K0               |    ~     ~    |    1|  254.764   pc  |  -1.6096     +1.6096  |paral   |2020yCat.1350....0G
1384|BD+09 2670                                                                                                                                                                     |Spectroscopic Binary                |12 47 17.0376299808 +08 46 37.240017204|299.6750284807870 +71.6224853923866|  -0.343 24.417   |10.19    |F5               |    ~     ~    |    1|  288.043   pc  |  -1.8087     +1.8087  |paral   |2020yCat.1350....0G
1385|BD+09 2671                                                                                                                                                                     |Star                                |12 47 18.9590979648 +09 00 51.700634856|299.6613894309675 +71.8599288786125| -28.350 12.091   |9.22     |K5               |    ~     ~    |    1|  613.987   pc  |  -7.4642     +7.4642  |paral   |2020yCat.1350....0G
1386|BD+11 2500                                                                                                                                                                     |Star                                |12 49 23.7855163920 +10 59 21.945457824|301.1300017503397 +73.8540339027191|   1.696 -6.115   |10.01    |K2               |    ~     ~    |    1|  860.215   pc  | -14.4294    +14.4294  |paral   |2020yCat.1350....0G
1387|HD 112279                                                                                                                                                                      |Star                                |12 55 29.0886699240 +10 42 58.565098044|306.4465419069998 +73.5603929882342|  -31.633 3.238   |9.04     |K0               |    ~     ~    |    1|  340.356   pc  |  -2.4095     +2.4095  |paral   |2020yCat.1350....0G
1388|NGC 4733                           NGC 4733                                                                                                                                    |Galaxy in Pair of Galaxies          |12 51 06.7716245736 +10 54 43.486587972|302.6461976532876 +73.7836468591761|  -0.083 -0.027   |     ~   |~                |1.153 1.084    |    1|   13.49    Mpc |                       |        |2016AJ....152...50T
1389|NGC 4694                           NGC 4694                                                                                                                                    |Active Galaxy Nucleus               |12 48 15.091 +10 59 01.05              |300.121498 +73.837982              |            ~ ~   |13.36    |~                |1.490 0.715    |    1|   16.5     Mpc |                       |redshift|2011MNRAS.413..813C
1390|BD+11 2499                                                                                                                                                                     |Star                                |12 49 01.5006556032 +10 15 00.572070528|300.8881374162057 +73.1123306222827|-26.644 -22.106   |10.5     |K0               |    ~     ~    |    1|  357.322   pc  |  -2.0939     +2.0939  |paral   |2020yCat.1350....0G
1391|BD+11 2502                                                                                                                                                                     |Star                                |12 51 03.8014348608 +10 38 32.612669844|302.6076335770576 +73.5139041500734|  -12.808 7.290   |10.22    |F8               |    ~     ~    |    1|  345.614   pc  |  -1.8395     +1.8395  |paral   |2020yCat.1350....0G
1392|BD+11 2503                                                                                                                                                                     |Star                                |12 51 27.3133571400 +10 22 50.924741988|302.9466983630096 +73.2525595165600|-20.906 -21.614   |9.89     |F5               |    ~     ~    |    1|  196.344   pc  |  -0.7517     +0.7517  |paral   |2020yCat.1350....0G
1393|BD+11 2504                                                                                                                                                                     |Star                                |12 52 26.8751100480 +10 29 28.110542028|303.7990467204084 +73.3611888828059|  -25.079 7.845   |10.16    |F5               |    ~     ~    |    1|  311.197   pc  |  -5.0843     +5.0843  |paral   |2020yCat.1350....0G
1394|BD+10 2473                                                                                                                                                                     |Star                                |12 47 54.9663504840 +10 07 34.348657368|299.9699898244688 +72.9776983884846|   7.202 -7.784   |8.91     |K5               |    ~     ~    |    1| 1094.691   pc  | -28.1612    +28.1612  |paral   |2020yCat.1350....0G
1395|BD+10 2475                                                                                                                                                                     |High Proper Motion Star             |12 49 59.2779604368 +10 04 57.237100428|301.7145877820793 +72.9508861991529| -50.488 25.016   |9.58     |F8               |    ~     ~    |    1|  110.450   pc  |  -0.2208     +0.2208  |paral   |2020yCat.1350....0G
1396|HD 111606                                                                                                                                                                      |High Proper Motion Star             |12 50 23.5469090280 +09 49 45.106698792|302.0659261984636 +72.6991859530379|11.737 -105.429   |8.92     |G0               |    ~     ~    |    1|   85.738   pc  |  -0.2338     +0.2338  |paral   |2020yCat.1350....0G
1397|BD+10 2479                                                                                                                                                                     |Star                                |12 51 00.1638260016 +10 05 06.310730868|302.5664665836442 +72.9565250963402| 20.212 -21.401   |9.49     |K0               |    ~     ~    |    1|  842.176   pc  | -19.4337    +19.4337  |paral   |2020yCat.1350....0G
1398|BD+10 2481                                                                                                                                                                     |Star                                |12 53 51.4895755128 +10 05 30.618468420|304.9644587497226 +72.9540339191599| -38.943 18.727   |10.22    |G0               |    ~     ~    |    1|  183.436   pc  |  -1.3224     +1.3224  |paral   |2020yCat.1350....0G
1399|BD+10 2485                                                                                                                                                                     |Star                                |12 54 57.6392650080 +09 57 00.273264732|305.8668124152080 +72.8017460465581|  5.370 -19.771   |9.57     |K2               |    ~     ~    |    1|  885.583   pc  | -12.3913    +12.3913  |paral   |2020yCat.1350....0G
1400|BD+10 2486                                                                                                                                                                     |Star                                |12 55 20.1989165400 +10 10 46.224590304|306.2197561629774 +73.0263608958508|-28.431 -33.243   |9.84     |~                |    ~     ~    |    1|  447.327   pc  |  -3.6218     +3.6218  |paral   |2020yCat.1350....0G
1401|HD 111498                                                                                                                                                                      |Star                                |12 49 34.9126895616 +09 22 23.655065772|301.4309283892685 +72.2395756438397|  10.357 11.172   |7.69     |K0               |    ~     ~    |    1|  287.464   pc  |  -2.4212     +2.4212  |paral   |2020yCat.1350....0G
1402|BD+10 2478                                                                                                                                                                     |Star                                |12 50 44.3379949104 +09 35 03.344705376|302.3603566730056 +72.4552343180270|  3.353 -15.731   |10.73    |G0               |    ~     ~    |    1|  264.243   pc  |  -2.5556     +2.5556  |paral   |2020yCat.1350....0G
1403|BD+10 2480                                                                                                                                                                     |Star                                |12 53 12.0942662616 +09 27 57.567057444|304.3651068590611 +72.3328304539446|  -4.810 -3.258   |9.86     |K2               |    ~     ~    |    1| 1041.233   pc  | -19.0813    +19.0813  |paral   |2020yCat.1350....0G
1404|BD+10 2484                                                                                                                                                                     |Double or Multiple Star             |12 54 51.0715 +09 19 18.592            |305.6837378 +72.1753390            | 11.132 -45.365   |9.55     |G0               |    ~     ~    |    0|                |                       |        |                   
1405|HD 111257                                                                                                                                                                      |Spectroscopic Binary                |12 47 57.3632885712 +08 31 00.613014996|300.2361960715240 +71.3703576754865|-41.393 -30.589   |8.12     |G5               |    ~     ~    |    1|   80.026   pc  |  -0.4906     +0.4906  |paral   |2020yCat.1350....0G
1406|HD 111309                                                                                                                                                                      |High Proper Motion Star             |12 48 19.3968047184 +09 06 41.817433320|300.4474528052169 +71.9683370334252|  -76.864 6.633   |7.93     |F5               |    ~     ~    |    1|  122.818   pc  |  -1.2686     +1.2686  |paral   |2020yCat.1350....0G
1407|HD 111369                                                                                                                                                                      |Spectroscopic Binary                |12 48 44.1484996272 +09 11 24.670645332|300.7675944785366 +72.0505777083049|  -19.791 1.987   |8.88     |K0               |    ~     ~    |    1|  468.516   pc  | -15.4094    +15.4094  |paral   |2020yCat.1350....0G
1408|HD 111562                                                                                                                                                                      |Star                                |12 50 01.5669767208 +08 34 08.735133180|301.8355026547712 +71.4378350850551|  -1.216 -4.551   |9.46     |F8               |    ~     ~    |    1|  203.202   pc  |  -0.8093     +0.8093  |paral   |2020yCat.1350....0G
1409|HD 111645                                                                                                                                                                      |Star                                |12 50 42.4583017608 +08 52 30.165093516|302.3560388736040 +71.7459768688962|   4.579 -9.420   |9.06     |F7III            |    ~     ~    |    1|  227.025   pc  |  -4.7314     +4.7314  |paral   |2020yCat.1350....0G
1410|BD+09 2686                                                                                                                                                                     |Star                                |12 52 40.0054451016 +08 18 14.538496068|303.8739769344714 +71.1735382947901| -29.876 -4.815   |9.96     |G5               |    ~     ~    |    1|  179.762   pc  |  -0.5817     +0.5817  |paral   |2020yCat.1350....0G
1411|BD+09 2687                                                                                                                                                                     |Star                                |12 52 45.1081064016 +09 04 10.841341152|303.9782061581292 +71.9387564988827|   1.830 -5.225   |10.88    |K0               |    ~     ~    |    1|  854.628   pc  | -14.8999    +14.8999  |paral   |2020yCat.1350....0G
1412|BD+09 2688                                                                                                                                                                     |Star                                |12 53 13.1460951672 +08 45 49.214907972|304.3285569334474 +71.6305880490726| 12.288 -25.265   |9.05     |K2               |    ~     ~    |    1|  806.907   pc  | -14.0637    +14.0637  |paral   |2020yCat.1350....0G
1413|BD+09 2690                                                                                                                                                                     |Star                                |12 54 29.0741434176 +08 30 13.079978604|305.2895223462523 +71.3614331229679| -21.973 -7.912   |9.24     |K0               |    ~     ~    |    1|  554.785   pc  |  -5.1400     +5.1400  |paral   |2020yCat.1350....0G
1414|BD+09 2691                                                                                                                                                                     |Star                                |12 54 52.6393658736 +08 39 29.493159156|305.6134691244283 +71.5120302264309|  -2.432 -7.498   |10.15    |K0               |    ~     ~    |    1|  918.611   pc  | -14.4298    +14.4298  |paral   |2020yCat.1350....0G
1415|BD+09 2692                                                                                                                                                                     |High Proper Motion Star             |12 55 35.3169882888 +08 13 49.409368752|306.1001154762560 +71.0766016207023|-143.348 20.983   |9.82     |G5               |    ~     ~    |    1|  104.156   pc  |  -0.3721     +0.3721  |paral   |2020yCat.1350....0G
1416|BD+09 2678                                                                                                                                                                     |Star                                |12 49 09.1112890296 +08 57 41.565307248|301.1217515082842 +71.8252581874736|  -5.076 -6.295   |9.65     |~                |    ~     ~    |    1|  868.206   pc  | -12.2866    +12.2866  |paral   |2020yCat.1350....0G
1417|BD+09 2689                                                                                                                                                                     |Star                                |12 53 38.8096860960 +08 19 08.561776836|304.6262677122770 +71.1835252249062| -20.138 13.727   |10.6     |~                |    ~     ~    |    1|  472.010   pc  |  -3.9880     +3.9880  |paral   |2020yCat.1350....0G
1418|BD+10 2483                                                                                                                                                                     |Star                                |12 54 11.7763389240 +09 23 24.310896036|305.1640696360676 +72.2498780559634|  9.395 -17.387   |10.01    |~                |    ~     ~    |    1|  622.432   pc  |  -6.4312     +6.4312  |paral   |2020yCat.1350....0G
1419|NGC 4803                           NGC 4803                                                                                                                                    |Galaxy towards a Group of Galaxies  |12 55 33.6771493944 +08 14 25.467440172|306.0808148630438 +71.0869405055572|            ~ ~   |     ~   |~                |0.520 0.322    |    1|   39.4     Mpc |                       |redshift|2011MNRAS.413..813C
1420|NGC 4779                           NGC 4779                                                                                                                                    |HII Galaxy                          |12 53 50.863 +09 42 35.71              |304.914987 +72.572388              |            ~ ~   |     ~   |~                |1.037 0.498    |    1|   38.9045  Mpc |                       |redshift|2019A&A...631A..38L
1421|FAUST 3480                                                                                                                                                                     |Star                                |12 48 12.6 +09 05 00                   |300.3609 +71.9390                  |            ~ ~   |7.9      |F5               |    ~     ~    |    0|                |                       |        |                   
1422|TYC 875-296-1                                                                                                                                                                  |Star                                |12 45 11.7679625418 +09 58 52.646266103|297.7312560493499 +72.7899799755093|  -29.210 1.504   |10.75    |~                |    ~     ~    |    0|                |                       |        |                   
1423|TYC 878-128-1                                                                                                                                                                  |Star                                |12 45 32.1576367848 +10 22 17.893242552|297.9086457209591 +73.1857948798544|   1.528 -6.328   |10.92    |~                |    ~     ~    |    1|  298.989   pc  |  -1.7879     +1.7879  |paral   |2020yCat.1350....0G
1424|TYC 882-256-1                                                                                                                                                                  |Star                                |12 49 21.6158664528 +09 01 38.710044840|301.2812149190078 +71.8925076538257|  -8.381 -3.871   |9.90     |~                |    ~     ~    |    1|  735.024   pc  |  -9.5626     +9.5626  |paral   |2020yCat.1350....0G
1425|TYC 882-404-1                                                                                                                                                                  |Star                                |12 48 50.6108919576 +08 51 39.299771700|300.8881243055491 +71.7223679815274| -31.741 30.699   |10.82    |~                |    ~     ~    |    1|  204.981   pc  |  -0.8445     +0.8445  |paral   |2020yCat.1350....0G
1426|TYC 882-482-1                                                                                                                                                                  |Star                                |12 46 42.2580286080 +09 09 57.485575512|299.1481769362595 +72.0029307902318|-27.828 -11.571   |10.41    |~                |    ~     ~    |    1|  844.381   pc  | -13.4040    +13.4040  |paral   |2020yCat.1350....0G
1427|TYC 882-567-1                                                                                                                                                                  |High Proper Motion Star             |12 49 18.7021006080 +08 41 11.121332244|301.2712749290810 +71.5513140935099|-73.922 -43.822   |10.10    |~                |    ~     ~    |    1|  205.812   pc  |  -0.8175     +0.8175  |paral   |2020yCat.1350....0G
1428|TYC 882-628-1                                                                                                                                                                  |Star                                |12 48 04.6231309248 +09 17 43.192117860|300.2260075418497 +72.1494187280865|  21.493 -7.601   |10.92    |~                |    ~     ~    |    1|  268.926   pc  |  -1.6489     +1.6489  |paral   |2020yCat.1350....0G
1429|TYC 882-748-1                                                                                                                                                                  |High Proper Motion Star             |12 55 08.8161163176 +08 20 23.701942068|305.7785576728680 +71.1911615945561|-101.687 -31.941  |10.50    |~                |    ~     ~    |    1|  125.113   pc  |  -0.2411     +0.2411  |paral   |2020yCat.1350....0G
1430|TYC 882-803-1                                                                                                                                                                  |Star                                |12 49 13.5715299816 +08 27 40.757851764|301.2236014991914 +71.3257326401301|  -4.315 -2.944   |10.54    |~                |    ~     ~    |    1| 1091.941   pc  | -23.3698    +23.3698  |paral   |2020yCat.1350....0G
1431|TYC 882-868-1                                                                                                                                                                  |Star                                |12 48 21.4002753144 +08 26 39.656531040|300.5545155834091 +71.3018719446956|  -5.063 29.157   |10.71    |~                |    ~     ~    |    1|  255.957   pc  |  -1.1399     +1.1399  |paral   |2020yCat.1350....0G
1432|TYC 885-110-1                                                                                                                                                                  |Star                                |12 51 15.6691137672 +10 21 07.003741824|302.7813184305898 +73.2236413794486|  -21.359 4.730   |10.79    |~                |    ~     ~    |    1| 1035.304   pc  | -23.0449    +23.0449  |paral   |2020yCat.1350....0G
1433|TYC 885-119-1                                                                                                                                                                  |Star                                |12 55 11.2817038584 +10 20 33.750496752|306.1227966421298 +73.1912178559845|  -3.251 -5.398   |10.23    |~                |    ~     ~    |    1|  269.426   pc  |  -4.7038     +4.7038  |paral   |2020yCat.1350....0G
1434|TYC 885-142-1                                                                                                                                                                  |High Proper Motion Star             |12 53 55.8791180688 +10 23 09.615416460|305.0595609307773 +73.2474504683024|-94.255 -59.783   |10.58    |~                |    ~     ~    |    1|  108.978   pc  |  -0.8016     +0.8016  |paral   |2020yCat.1350....0G
1435|TYC 885-146-1                                                                                                                                                                  |Star                                |12 52 54.5481789624 +10 35 55.323564072|304.2024655896190 +73.4668190373681|  -26.528 3.230   |10.25    |~                |    ~     ~    |    1|  814.133   pc  | -11.3341    +11.3341  |paral   |2020yCat.1350....0G
1436|TYC 885-160-1                                                                                                                                                                  |Star                                |12 51 46.5099421824 +10 40 22.368509004|303.2244193606285 +73.5444361918558|  6.271 -13.628   |10.7     |~                |    ~     ~    |    1|  848.969   pc  | -12.9735    +12.9735  |paral   |2020yCat.1350....0G
1437|TYC 885-222-1                                                                                                                                                                  |Star                                |12 46 08.8265581152 +10 17 03.532498332|298.4482602664301 +73.1099858519407|   -3.025 5.433   |10.75    |~                |    ~     ~    |    1|  705.567   pc  |  -9.8569     +9.8569  |paral   |2020yCat.1350....0G
1438|TYC 885-315-1                                                                                                                                                                  |High Proper Motion Star             |12 54 06.5637536856 +10 10 10.644989700|305.1847053570463 +73.0296847815881|-51.989 -10.898   |9.94     |~                |    ~     ~    |    1|  140.201   pc  |  -0.3047     +0.3047  |paral   |2020yCat.1350....0G
1439|TYC 885-334-1                                                                                                                                                                  |High Proper Motion Star             |12 46 23.6620682112 +10 11 08.225783808|298.6799090107857 +73.0157136260165| 25.512 -46.468   |10.35    |~                |    ~     ~    |    1|  143.029   pc  |  -0.3703     +0.3703  |paral   |2020yCat.1350....0G
1440|TYC 885-418-1                                                                                                                                                                  |Star                                |12 52 01.4842726728 +10 48 51.595725888|303.4449117938491 +73.6854952246871| -11.365 -5.476   |10.92    |~                |    ~     ~    |    1|  912.326   pc  | -16.2306    +16.2306  |paral   |2020yCat.1350....0G
1441|NGC 4698                           NGC 4698                                                                                                                                    |Seyfert 2 Galaxy                    |12 48 22.9082830584 +08 29 14.667552276|300.5689064189098 +71.3451320083503|            ~ ~   |12.27    |~                |3.113 2.055    |    1|   17.78    Mpc |  -1.12       +1.12    |T-F     |2020ApJ...902..145K
1442|V* V415 Vir                                                                                                                                                                    |Spectroscopic Binary                |12 45 01.5842276688 +07 57 05.060068776|298.1086895334471 +70.7630858147025|-58.322 -10.419   |10.234   |G0               |    ~     ~    |    1|  181.222   pc  |  -0.6174     +0.6174  |paral   |2020yCat.1350....0G
1443|* d02 Vir                                                                                                                                                                      |delta Sct Variable                  |12 45 37.0584841 +07 40 23.969587      |298.6091198744 +70.4962055588      |   -107.95 4.10   |5.207    |F0IIIm           |    ~     ~    |    1|   78.0793  pc  |  -1.8667     +1.8667  |paral   |2018yCat.1345....0G
1444|BD+07 2574                                                                                                                                                                     |High Proper Motion Star             |12 47 12.8814496008 +06 36 40.816850364|299.9417666373343 +69.4585626425292| -71.886 10.248   |9.52     |K0               |    ~     ~    |    1|  246.700   pc  |  -0.9677     +0.9677  |paral   |2020yCat.1350....0G
1445|HD 111165                                                                                                                                                                      |Star                                |12 47 14.8299941328 +07 00 28.570804524|299.9113190738501 +69.8551016557649| -14.502 -8.573   |8.44     |K0               |    ~     ~    |    1|  318.939   pc  |  -2.3498     +2.3498  |paral   |2020yCat.1350....0G
1446|HD 111181                                                                                                                                                                      |Star                                |12 47 19.8515616192 +06 51 39.943272384|299.9911632552606 +69.7093886048345| -9.097 -23.267   |8.40     |G5               |    ~     ~    |    1|  318.908   pc  |  -2.4103     +2.4103  |paral   |2020yCat.1350....0G
1447|BD+06 2652                                                                                                                                                                     |Star                                |12 45 21.6213904296 +06 07 14.962557576|298.7239747298583 +68.9429003837769| 21.818 -29.242   |9.78     |F2               |    ~     ~    |    1|  161.324   pc  |  -0.5023     +0.5023  |paral   |2020yCat.1350....0G
1448|BD+06 2655                                                                                                                                                                     |Star                                |12 46 26.7369066504 +06 08 53.950430976|299.4695874584902 +68.9864991439154| -42.161 -8.433   |9.82     |G0               |    ~     ~    |    1|  102.817   pc  |  -0.1966     +0.1966  |paral   |2020yCat.1350....0G
1449|V* EP Vir                                                                                                                                                                      |alpha2 CVn Variable                 |12 47 02.3094265104 +05 57 01.397945376|299.9061689042557 +68.7962856299307| 32.131 -57.863   |6.34     |A0VspSrCrEu      |    ~     ~    |    1|  192.430   pc  |  -1.7848     +1.7848  |paral   |2020yCat.1350....0G
