C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:26:23

dec< 0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6182

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
3576|HD 134643                                                                                                |Star                                  |15 13 05.1927656280 -52 47 20.521273092|323.5066616023260 +04.3300260558113|  -8.896 -8.063     |9.38     |B9.5V           |    ~     ~    |    1|  381.534   pc  |  -3.4936     +3.4936    |paral   |2020yCat.1350....0G
3577|HD 134706                                                                                                |Star                                  |15 13 29.7169689144 -53 08 03.747426828|323.3801959978044 +04.0027044452943|  -5.810 -2.433     |8.57     |G8/K0III        |    ~     ~    |    1|  673.083   pc  |  -8.7890     +8.7890    |paral   |2020yCat.1350....0G
3578|HD 134763                                                                                                |Star                                  |15 13 44.7313690872 -52 47 37.012448256|323.5897256208301 +04.2744821014409|  -5.676 -5.397     |9.63     |B8/9II          |    ~     ~    |    1|  659.544   pc  | -10.6139    +10.6139    |paral   |2020yCat.1350....0G
3579|HD 134914                                                                                                |Star                                  |15 14 31.1042552928 -52 38 08.929756284|323.7723204215578 +04.3483011152636|   -5.408 6.045     |8.82     |K0III           |    ~     ~    |    1|  372.787   pc  |  -2.7794     +2.7794    |paral   |2020yCat.1350....0G
3580|HD 134936                                                                                                |Star                                  |15 14 41.4248115648 -52 35 42.436866696|323.8159581945533 +04.3693799994941|  -2.766 -4.316     |9.64     |A0V             |    ~     ~    |    1|  805.672   pc  | -12.7874    +12.7874    |paral   |2020yCat.1350....0G
3581|HD 134956                                                                                                |Star                                  |15 14 47.6324599128 -52 57 56.714497812|323.6352150462168 +04.0451560354477|   -7.405 0.644     |9.35     |K2III           |    ~     ~    |    1|  367.823   pc  |  -2.5841     +2.5841    |paral   |2020yCat.1350....0G
3582|HD 134998                                                                                                |Star                                  |15 14 54.9687795336 -52 34 05.590883388|323.8593789466562 +04.3743931694063|    -4.50 -7.00     |9.65     |F3/5IV/V        |    ~     ~    |    0|                |                         |        |                   
3583|HD 133756                                                                                                |Star                                  |15 08 20.4286323600 -53 37 54.736456368|322.4630924997409 +03.9668540855578|-29.565 -22.173     |8.71     |K0III           |    ~     ~    |    1|  312.334   pc  |  -3.0632     +3.0632    |paral   |2020yCat.1350....0G
3584|HD 134079                                                                                                |Star                                  |15 10 09.5086845216 -53 33 13.230644760|322.7360800501867 +03.8982212566044|-24.332 -36.875     |9.03     |K0/2(III)       |    ~     ~    |    1|  366.502   pc  |  -2.2432     +2.2432    |paral   |2020yCat.1350....0G
3585|HD 134098                                                                                                |Star                                  |15 10 12.5003269056 -53 34 35.473919340|322.7308490114428 +03.8747802830262| -11.344 -5.089     |8.85     |A0V             |    ~     ~    |    1|  313.273   pc  |  -2.0904     +2.0904    |paral   |2020yCat.1350....0G
3586|HD 134484                                                                                                |Be Star                               |15 12 19.5137668104 -53 39 28.920531708|322.9595210192885 +03.6442917025418| -7.556 -10.341     |8.29     |B9III           |    ~     ~    |    1|  453.638   pc  |  -5.1858     +5.1858    |paral   |2020yCat.1350....0G
3587|HD 134525                                                                                                |Star                                  |15 12 36.6885617184 -54 05 36.316600368|322.7712658341382 +03.2492846622033| -18.183 -6.847     |8.88     |K3/4III         |    ~     ~    |    1|  677.920   pc  |  -9.1915     +9.1915    |paral   |2020yCat.1350....0G
3588|HD 134783                                                                                                |Star                                  |15 13 58.8391425384 -54 08 00.412846332|322.9225287622771 +03.1112588129113|  -2.962 -3.631     |9.54     |B3II/III        |    ~     ~    |    1| 1557.632   pc  | -39.7900    +39.7900    |paral   |2020yCat.1350....0G
3589|HD 134803                                                                                                |Double or Multiple Star               |15 14 03.6072 -54 00 40.662            |322.9960539 +03.2095835            | -11.357 -9.525     |10.28    |A3V             |    ~     ~    |    0|                |                         |        |                   
3590|HD 134818                                                                                                |Star                                  |15 14 06.8003430336 -53 41 11.092140096|323.1719172927249 +03.4830545767163| -10.453 -7.550     |10.69    |A2/3V           |    ~     ~    |    1|  452.080   pc  |  -3.2291     +3.2291    |paral   |2020yCat.1350....0G
3591|TYC 8694-2138-1                                                                                          |Star                                  |15 07 10.5729239616 -53 00 05.027741316|322.6282839125377 +04.5997797766320|  -7.029 -1.859     |10.50    |~               |    ~     ~    |    1| 1068.262   pc  | -26.8178    +26.8178    |paral   |2020yCat.1350....0G
3592|HD 133535                                                                                                |Star                                  |15 07 07.4160314184 -52 54 43.166926296|322.6660962144159 +04.6812400290422|  -5.541 -3.400     |7.84     |K2/3III         |    ~     ~    |    1|  797.321   pc  | -14.2401    +14.2401    |paral   |2020yCat.1350....0G
3593|CD-52 6485                                                                                               |Star                                  |15 10 32.8300398000 -53 18 35.160358500|322.9103268570338 +04.0788531825951| -15.147 -9.428     |10.28    |~               |    ~     ~    |    1|  410.998   pc  |  -2.2297     +2.2297    |paral   |2020yCat.1350....0G
3594|CD-52 6447                                                                                               |Star                                  |15 06 41.3604865656 -53 20 15.536330736|322.3969818300505 +04.3444093793729|-10.081 -24.909     |10.26    |~               |    ~     ~    |    1|  519.967   pc  |  -4.1096     +4.1096    |paral   |2020yCat.1350....0G
3595|CD-52 6455                                                                                               |Star                                  |15 07 17.5686291936 -53 21 25.626441456|322.4656053652548 +04.2827030329984| -9.824 -10.507     |10.11    |~               |    ~     ~    |    1|  719.476   pc  |  -7.7647     +7.7647    |paral   |2020yCat.1350....0G
3596|CD-52 6500                                                                                               |Spectroscopic Binary                  |15 12 03.2996752920 -53 01 07.814768196|323.2542103399250 +04.2132954575586|    3.088 2.782     |9.49     |~               |    ~     ~    |    1|  597.265   pc  | -12.1286    +12.1286    |paral   |2020yCat.1350....0G
3597|CD-52 6501                                                                                               |High Proper Motion Star               |15 12 09.5885121096 -53 22 51.419829000|323.0811564486784 +03.8945887671464| -49.972 -4.248     |9.72     |~               |    ~     ~    |    1|  459.284   pc  |  -2.6368     +2.6368    |paral   |2020yCat.1350....0G
3598|CD-52 6502                                                                                               |Star                                  |15 12 10.4941181376 -53 21 39.870932904|323.0933311524134 +03.9104801161168|  -2.178 -3.246     |10.45    |~               |    ~     ~    |    1| 1375.705   pc  | -25.7389    +25.7389    |paral   |2020yCat.1350....0G
3599|CD-51 8871                                                                                               |Star                                  |15 14 08.2603895712 -52 03 59.389728480|324.0203010502864 +04.8644446663873|  -9.701 -9.476     |9.85     |~               |    ~     ~    |    1|  911.328   pc  | -11.2120    +11.2120    |paral   |2020yCat.1350....0G
3600|CD-53 5948                                                                                               |Star                                  |15 14 58.3808842320 -53 42 10.614921984|323.2720762997259 +03.4026150897996|   -7.031 1.385     |9.25     |~               |    ~     ~    |    1|  868.885   pc  | -11.5509    +11.5509    |paral   |2020yCat.1350....0G
3601|HD 132983                                                                                                |Star                                  |15 04 08.7695612448 -53 15 37.305454428|322.1034985756301 +04.5988603962762|  -0.148 -9.712     |8.44     |K1III           |    ~     ~    |    1|  422.119   pc  |  -3.9022     +3.9022    |paral   |2020yCat.1350....0G
3602|V* OR Lup                                                                                                |Eclipsing Binary                      |15 04 50.4026098008 -53 21 35.966613312|322.1452116117744 +04.4612410087270|-60.747 -41.155     |9.34     |G0IV/V          |    ~     ~    |    1|  226.819   pc  |  -2.6547     +2.6547    |paral   |2020yCat.1350....0G
3603|HD 133246                                                                                                |Pulsating Variable                    |15 05 30.5104155576 -53 31 53.409195516|322.1475344580417 +04.2629548368758|  -8.126 -6.188     |9.02     |ApSi            |    ~     ~    |    1|  576.668   pc  |  -7.6153     +7.6153    |paral   |2020yCat.1350....0G
3604|HD 133833                                                                                                |Star                                  |15 08 43.2448848192 -53 48 10.021448088|322.4257960356441 +03.7908103754796|  -7.499 -8.368     |8.23     |B9II/III        |    ~     ~    |    0|                |                         |        |                   
3605|HD 134007                                                                                                |Star                                  |15 09 42.0 -53 56 00                   |322.4847 +03.6053                  |            ~ ~     |10.3     |A1/2IV/V        |    ~     ~    |    0|                |                         |        |                   
3606|HD 134256                                                                                                |Star                                  |15 11 07.0073470080 -54 08 36.273784056|322.5572456655870 +03.3186479295850|  -3.459 -3.754     |9.18     |F5III/IV        |    ~     ~    |    1|  804.441   pc  |  -9.9010     +9.9010    |paral   |2020yCat.1350....0G
3607|HD 134445                                                                                                |Star                                  |15 12 08.8632580752 -54 04 56.493194016|322.7185492361782 +03.2937459412825|-15.573 -14.568     |9.43     |A3V             |    ~     ~    |    1|  411.845   pc  |  -2.6460     +2.6460    |paral   |2020yCat.1350....0G
3608|HD 134599                                                                                                |Star                                  |15 13 01.7742032448 -54 22 09.066558936|322.6812887709359 +02.9815041890425|  -2.987 -2.787     |9.54     |G5/8(III)       |    ~     ~    |    1|  599.269   pc  |  -5.3868     +5.3868    |paral   |2020yCat.1350....0G
3609|HD 134618                                                                                                |Star                                  |15 13 07.6221320352 -54 13 25.828011120|322.7686457286848 +03.0986251776782|  -6.007 -8.075     |10.86    |B9/A0V          |    ~     ~    |    1|  641.643   pc  |  -7.6989     +7.6989    |paral   |2020yCat.1350....0G
3610|IRAS 15030-5319                                                                                          |Asymptotic Giant Branch Star Candidate|15 06 43.1055969768 -53 30 34.864493328|322.3150673391551 +04.1929424926037|   -2.299 0.084     |10.769   |~               |    ~     ~    |    1| 1099.38    pc  | -79.1663    +79.1663    |paral   |2020yCat.1350....0G
3611|CD-51 8874                                                                                               |Star                                  |15 14 20.4588820320 -51 49 15.333461076|324.1756373955203 +05.0576750030118|  -9.455 -9.952     |10.20    |~               |    ~     ~    |    0|                |                         |        |                   
3612|TYC 8305-7-1                                                                                             |Star                                  |15 10 36.6279745584 -52 18 48.774598920|323.4275533011270 +04.9313053291930|  -5.545 -4.127     |10.81    |~               |    ~     ~    |    0|                |                         |        |                   
3613|TYC 8305-22-1                                                                                            |Star                                  |15 09 40.3106549040 -52 06 14.823461736|323.4101136617402 +05.1847533639617|   2.614 -1.138     |10.54    |~               |    ~     ~    |    1|  704.722   pc  |  -7.9461     +7.9461    |paral   |2020yCat.1350....0G
3614|TYC 8305-32-1                                                                                            |Star                                  |15 08 12.2836814760 -52 03 33.858183996|323.2373524825222 +05.3370962369188| -13.369 -7.227     |10.41    |~               |    ~     ~    |    0|                |                         |        |                   
3615|TYC 8305-75-1                                                                                            |Star                                  |15 07 25.3563576600 -52 22 41.317419108|322.9728983683186 +05.1212511112648|  -5.937 -3.153     |10.65    |~               |    ~     ~    |    1|  788.022   pc  | -16.6422    +16.6422    |paral   |2020yCat.1350....0G
3616|TYC 8305-108-1                                                                                           |Star                                  |15 07 26.1245789688 -52 06 15.641355996|323.1120042094045 +05.3574303500633|  -5.687 -1.268     |10.97    |~               |    ~     ~    |    1|  581.531   pc  |  -6.2563     +6.2563    |paral   |2020yCat.1350....0G
3617|TYC 8305-164-1                                                                                           |Star                                  |15 06 12.4674708072 -52 28 14.757389544|322.7653358592502 +05.1330801209326|  3.335 -12.061     |10.68    |~               |    ~     ~    |    1|  325.288   pc  |  -1.6401     +1.6401    |paral   |2020yCat.1350....0G
3618|TYC 8305-200-1                                                                                           |Star                                  |15 04 48.1579077216 -52 29 07.482183504|322.5712210797456 +05.2259192270901|  -2.117 -0.608     |10.32    |~               |    ~     ~    |    1|  840.195   pc  | -13.2714    +13.2714    |paral   |2020yCat.1350....0G
3619|TYC 8305-1539-1                                                                                          |Star                                  |15 09 38.1166752000 -51 54 11.796292044|323.5074870306107 +05.3607284655794|  -6.067 -1.621     |10.57    |~               |    ~     ~    |    1|  678.841   pc  | -13.3639    +13.3639    |paral   |2020yCat.1350....0G
3620|TYC 8306-36-1                                                                                            |Star                                  |15 12 26.1035483784 -52 29 47.039797104|323.5732990278127 +04.6316680417842|  -7.112 -5.740     |10.32    |~               |    ~     ~    |    1|  699.203   pc  | -10.0710    +10.0710    |paral   |2020yCat.1350....0G
3621|TYC 8306-474-1                                                                                           |Star                                  |15 11 27.2224766760 -51 57 21.109262580|323.7227519139997 +05.1725838043925|-14.918 -16.018     |9.99     |~               |    ~     ~    |    1|  434.518   pc  |  -2.7566     +2.7566    |paral   |2020yCat.1350....0G
3622|TYC 8306-480-1                                                                                           |Star                                  |15 11 18.1733200104 -52 07 30.355056444|323.6157072479881 +05.0391276269424|  -8.368 -3.067     |9.97     |~               |    ~     ~    |    1|  547.465   pc  |  -7.7327     +7.7327    |paral   |2020yCat.1350....0G
3623|TYC 8306-566-1                                                                                           |Star                                  |15 13 33.8696337120 -52 18 27.428979312|323.8191887583435 +04.7041544429310|-11.867 -23.134     |10.76    |~               |    ~     ~    |    1|  533.191   pc  | -11.4570    +11.4570    |paral   |2020yCat.1350....0G
3624|TYC 8306-1011-1                                                                                          |Star                                  |15 14 21.0339307368 -51 39 25.629116292|324.2627214936267 +05.1966418557817|  -7.537 -9.308     |10.40    |~               |    ~     ~    |    1|  624.610   pc  | -17.1270    +17.1270    |paral   |2020yCat.1350....0G
3625|TYC 8306-2594-1                                                                                          |Star                                  |15 11 51.5325397392 -51 48 03.119742360|323.8565321655686 +05.2735063157093|  -3.998 -1.882     |10.41    |~               |    ~     ~    |    1|  662.383   pc  |  -8.4240     +8.4240    |paral   |2020yCat.1350....0G
3626|TYC 8306-2737-1                                                                                          |Star                                  |15 13 00.1068771696 -51 17 14.976415788|324.2755211016465 +05.6215835121609| -12.272 -9.037     |10.59    |~               |    ~     ~    |    1|  277.731   pc  |  -1.6275     +1.6275    |paral   |2020yCat.1350....0G
3627|TYC 8306-2923-1                                                                                          |Star                                  |15 13 11.2233745344 -51 25 14.061503136|324.2310950636948 +05.4927749749869| -0.947 -10.006     |10.64    |~               |    ~     ~    |    1|  843.028   pc  | -11.0869    +11.0869    |paral   |2020yCat.1350....0G
3628|TYC 8306-3158-1                                                                                          |Spectroscopic Binary                  |15 12 49.5179153400 -51 32 40.032621312|324.1182557829779 +05.4159576100099|  -27.300 0.155     |10.80    |~               |    ~     ~    |    1|  369.276   pc  |  -2.2227     +2.2227    |paral   |2020yCat.1350....0G
3629|TYC 8306-3265-1                                                                                          |Star                                  |15 12 08.3951872320 -51 27 55.678110588|324.0674451246563 +05.5386590582476| -12.691 -5.284     |10.59    |~               |    ~     ~    |    1|  604.851   pc  |  -6.5852     +6.5852    |paral   |2020yCat.1350....0G
3630|TYC 8681-48-1                                                                                            |Star                                  |15 02 13.2091143336 -52 59 35.822623488|321.9801841070868 +04.9726326842455|  -6.212 -4.334     |10.72    |~               |    ~     ~    |    1|  690.369   pc  |  -8.7220     +8.7220    |paral   |2020yCat.1350....0G
3631|TYC 8681-84-1                                                                                            |Star                                  |15 04 50.8461361992 -52 54 41.049975924|322.3671279626698 +04.8515104700616| -17.084 -6.165     |10.73    |~               |    ~     ~    |    1|  805.218   pc  | -11.7356    +11.7356    |paral   |2020yCat.1350....0G
3632|TYC 8681-118-1                                                                                           |Star                                  |15 03 37.1460566304 -52 35 32.396942832|322.3610843170901 +05.2207202827426| 13.137 -30.491     |10.67    |~               |    ~     ~    |    1|  258.672   pc  |  -0.8832     +0.8832    |paral   |2020yCat.1350....0G
3633|TYC 8681-384-1                                                                                           |Star                                  |15 02 48.9782116824 -52 37 49.555203312|322.2355376740138 +05.2466553094513|  -8.742 -9.743     |10.40    |~               |    ~     ~    |    1|  436.091   pc  |  -2.6625     +2.6625    |paral   |2020yCat.1350....0G
3634|TYC 8681-438-1                                                                                           |Star                                  |15 01 56.0754018696 -52 59 26.791839780|321.9436070453756 +04.9955473968018|  -7.391 -4.869     |10.37    |~               |    ~     ~    |    1|  703.977   pc  |  -6.8391     +6.8391    |paral   |2020yCat.1350....0G
3635|TYC 8681-538-1                                                                                           |Star                                  |15 06 21.5818950720 -52 37 21.765759492|322.7098257308545 +04.9896793830038|  -7.516 -9.618     |10.19    |~               |    ~     ~    |    1|  681.199   pc  |  -6.5429     +6.5429    |paral   |2020yCat.1350....0G
3636|TYC 8681-664-1                                                                                           |Star                                  |15 04 09.9866210496 -52 33 54.010088640|322.4473516226469 +05.2039752457736|  -7.497 -4.322     |10.80    |~               |    ~     ~    |    1|  865.276   pc  | -10.4070    +10.4070    |paral   |2020yCat.1350....0G
3637|TYC 8681-680-1                                                                                           |Star                                  |15 03 46.3865234232 -52 59 08.922320880|322.1889463792537 +04.8658038338117| -16.429 -4.361     |10.97    |~               |    ~     ~    |    1|  874.967   pc  | -11.1773    +11.1773    |paral   |2020yCat.1350....0G
3638|TYC 8681-762-1                                                                                           |Star                                  |15 01 59.7151578288 -52 53 34.271207196|321.9990061347766 +05.0769532555262| -11.559 -8.287     |10.38    |~               |    ~     ~    |    1|  518.861   pc  | -17.6606    +17.6606    |paral   |2020yCat.1350....0G
3639|TYC 8681-892-1                                                                                           |Star                                  |15 03 44.8568092296 -52 52 29.440340364|322.2398829879850 +04.9645610820718|  -1.779 -7.510     |10.04    |~               |    ~     ~    |    1|  830.634   pc  | -10.9012    +10.9012    |paral   |2020yCat.1350....0G
3640|TYC 8681-894-1                                                                                           |Star                                  |15 03 25.5928821216 -53 08 34.675755216|322.0665135050021 +04.7538954613293|  -4.892 -4.788     |10.95    |~               |    ~     ~    |    1|  538.010   pc  |  -5.0365     +5.0365    |paral   |2020yCat.1350....0G
3641|TYC 8681-1062-1                                                                                          |Star                                  |15 05 03.6696456528 -52 31 21.044145936|322.5873085201358 +05.1742707157239|  -8.063 -6.350     |10.98    |~               |    ~     ~    |    1|  485.296   pc  |  -4.5454     +4.5454    |paral   |2020yCat.1350....0G
3642|TYC 8681-1931-1                                                                                          |Star                                  |15 03 56.1875914776 -52 33 10.916441064|322.4226044654944 +05.2315023075166|  -9.693 -4.882     |10.56    |~               |    ~     ~    |    1|  761.557   pc  |  -7.7716     +7.7716    |paral   |2020yCat.1350....0G
3643|TYC 8681-1971-1                                                                                          |Star                                  |15 05 04.8466897824 -53 03 50.733607068|322.3225280080270 +04.7012704733085|  -7.124 -5.706     |10.79    |~               |    ~     ~    |    1|  679.810   pc  |  -9.3353     +9.3353    |paral   |2020yCat.1350....0G
3644|TYC 8681-2300-1                                                                                          |Star                                  |15 04 21.5500995072 -53 25 04.304548056|322.0540806444112 +04.4459218880743|-14.152 -20.754     |10.48    |~               |    ~     ~    |    1|  362.450   pc  |  -1.6421     +1.6421    |paral   |2020yCat.1350....0G
3645|TYC 8681-2324-1                                                                                          |Star                                  |15 03 25.1847543168 -53 09 28.299462516|322.0583500872265 +04.7413762620325| -13.867 -8.441     |10.66    |~               |    ~     ~    |    1|  413.856   pc  |  -2.6205     +2.6205    |paral   |2020yCat.1350....0G
3646|TYC 8694-28-1                                                                                            |Star                                  |15 12 23.4873425016 -52 37 00.077659104|323.5054269614249 +04.5319886699835|  -8.663 -7.365     |10.44    |~               |    ~     ~    |    1|  807.298   pc  |  -9.8411     +9.8411    |paral   |2020yCat.1350....0G
3647|TYC 8694-313-1                                                                                           |Star                                  |15 13 31.9067894208 -52 49 22.603510236|323.5467745959718 +04.2661697668065|  -9.849 -7.314     |10.66    |~               |    ~     ~    |    1|  829.394   pc  | -12.0381    +12.0381    |paral   |2020yCat.1350....0G
3648|TYC 8694-352-1                                                                                           |Star                                  |15 14 47.9700987120 -52 50 25.914215688|323.7015294718834 +04.1514866730380|  -2.497 -1.951     |10.60    |~               |    ~     ~    |    1|  912.575   pc  | -21.4861    +21.4861    |paral   |2020yCat.1350....0G
3649|TYC 8694-362-1                                                                                           |Star                                  |15 09 59.5056256080 -53 45 39.030554844|322.6094265328283 +03.7322151947858|  -2.282 -3.971     |10.53    |~               |    ~     ~    |    1| 1223.391   pc  | -25.5933    +25.5933    |paral   |2020yCat.1350....0G
3650|TYC 8694-373-1                                                                                           |Star                                  |15 09 36.8400917016 -52 43 12.739128708|323.0892019862012 +04.6580502116370|  -10.691 4.655     |10.69    |~               |    ~     ~    |    1|  233.449   pc  |  -0.6594     +0.6594    |paral   |2020yCat.1350....0G
3651|TYC 8694-406-1                                                                                           |Star                                  |15 11 47.3702567232 -52 32 32.720563500|323.4650548022946 +04.6427053056668| -2.179 -28.839     |10.69    |~               |    ~     ~    |    1|  134.315   pc  |  -0.2724     +0.2724    |paral   |2020yCat.1350....0G
3652|TYC 8694-492-1                                                                                           |Star                                  |15 14 50.1861852408 -54 11 13.593471900|323.0016575314108 +03.0002253646684|   -8.470 4.981     |10.27    |~               |    ~     ~    |    1|  354.145   pc  | -10.0210    +10.0210    |paral   |2020yCat.1350....0G
3653|TYC 8694-532-1                                                                                           |Star                                  |15 07 26.5187254512 -52 46 08.645653884|322.7794508952109 +04.7811223491817| -12.678 -9.175     |10.82    |~               |    ~     ~    |    1|  433.426   pc  |  -2.6300     +2.6300    |paral   |2020yCat.1350....0G
3654|TYC 8694-580-1                                                                                           |Star                                  |15 10 32.3473388616 -52 50 23.548101864|323.1491513485783 +04.4839225811287|  -4.485 -1.755     |10.27    |~               |    ~     ~    |    1|  756.888   pc  |  -7.9057     +7.9057    |paral   |2020yCat.1350....0G
3655|TYC 8694-581-1                                                                                           |Star                                  |15 09 43.5208773744 -53 39 40.756274316|322.6258860714190 +03.8379909874713|-11.786 -18.105     |10.90    |~               |    ~     ~    |    1|  486.926   pc  | -13.5145    +13.5145    |paral   |2020yCat.1350....0G
3656|TYC 8694-617-1                                                                                           |Star                                  |15 12 50.0691694200 -53 50 59.298411192|322.9251974921747 +03.4411438364824|  -4.459 -3.099     |10.49    |~               |    ~     ~    |    1| 1504.438   pc  | -41.6453    +41.6453    |paral   |2020yCat.1350....0G
3657|TYC 8694-647-1                                                                                           |Star                                  |15 10 12.4089742992 -53 47 34.599991776|322.6205446689903 +03.6884331681818|  -13.881 0.663     |10.27    |~               |    ~     ~    |    1|  625.117   pc  |  -6.2523     +6.2523    |paral   |2020yCat.1350....0G
3658|TYC 8694-754-1                                                                                           |Star                                  |15 11 38.8831261176 -52 33 36.273514536|323.4374502190552 +04.6385841091163|   0.641 -0.823     |10.53    |~               |    ~     ~    |    1|  724.375   pc  |  -7.6609     +7.6609    |paral   |2020yCat.1350....0G
3659|TYC 8694-788-1                                                                                           |Star                                  |15 13 43.5216526680 -53 33 07.435731960|323.1925645815121 +03.6277436372910|   12.086 7.795     |10.26    |~               |    ~     ~    |    1|  302.188   pc  |  -1.2328     +1.2328    |paral   |2020yCat.1350....0G
3660|TYC 8694-830-1                                                                                           |Star                                  |15 12 44.3986769760 -53 18 51.192245916|323.1899919858327 +03.9072128058599| -25.863 -5.256     |10.65    |~               |    ~     ~    |    1|  293.393   pc  |  -1.0330     +1.0330    |paral   |2020yCat.1350....0G
3661|TYC 8694-847-1                                                                                           |Star                                  |15 14 14.1315932928 -52 37 02.463529260|323.7452333706138 +04.3864346603937|  -8.778 -5.786     |10.96    |~               |    ~     ~    |    1|  921.489   pc  | -19.6152    +19.6152    |paral   |2020yCat.1350....0G
3662|TYC 8694-966-1                                                                                           |Star                                  |15 14 37.2361832040 -54 11 59.586549540|322.9680137181531 +03.0057914377021|-27.591 -22.264     |10.53    |~               |    ~     ~    |    1|  392.357   pc  |  -2.3399     +2.3399    |paral   |2020yCat.1350....0G
3663|TYC 8694-984-1                                                                                           |Star                                  |15 09 29.7029659920 -53 59 14.976291516|322.4312139612724 +03.5737858020911|-24.732 -37.359     |10.24    |~               |    ~     ~    |    1|  226.984   pc  |  -0.9068     +0.9068    |paral   |2020yCat.1350....0G
3664|TYC 8694-994-1                                                                                           |Star                                  |15 06 46.8327357600 -52 52 47.396588376|322.6371341380074 +04.7348857113706|-14.182 -13.056     |10.94    |~               |    ~     ~    |    1|  682.454   pc  |  -8.2437     +8.2437    |paral   |2020yCat.1350....0G
3665|TYC 8694-1025-1                                                                                          |Star                                  |15 09 28.2347874288 -53 37 13.251810072|322.6140074590314 +03.8924349474452| -12.424 -6.121     |10.96    |~               |    ~     ~    |    1|  927.042   pc  | -16.3287    +16.3287    |paral   |2020yCat.1350....0G
3666|TYC 8694-1041-1                                                                                          |Star                                  |15 11 30.7084811616 -54 09 19.331933760|322.6009259256147 +03.2788151651774| -10.728 -2.957     |10.77    |~               |    ~     ~    |    1|  306.974   pc  |  -1.2816     +1.2816    |paral   |2020yCat.1350....0G
3667|TYC 8694-1157-1                                                                                          |Star                                  |15 12 49.4760693984 -53 15 11.863725156|323.2323605945461 +03.9528758341833|  -3.594 -3.161     |10.26    |~               |    ~     ~    |    1|  754.603   pc  |  -7.6303     +7.6303    |paral   |2020yCat.1350....0G
3668|TYC 8694-1214-1                                                                                          |Star                                  |15 14 43.8163830600 -53 51 18.816425784|323.1617911249305 +03.2914703355695| -12.367 -9.135     |10.49    |~               |    ~     ~    |    1|  770.297   pc  |  -7.2983     +7.2983    |paral   |2020yCat.1350....0G
3669|TYC 8694-1235-1                                                                                          |Star                                  |15 12 42.0633069504 -53 34 47.368735968|323.0477479553886 +03.6826361535975|  -6.693 -4.103     |10.50    |~               |    ~     ~    |    1|  977.899   pc  | -16.2569    +16.2569    |paral   |2020yCat.1350....0G
3670|TYC 8694-1237-1                                                                                          |Star                                  |15 10 18.7837198656 -52 52 24.590078652|323.1025244763603 +04.4723400707931|  -9.428 -4.620     |10.01    |~               |    ~     ~    |    1| 1049.869   pc  | -22.0445    +22.0445    |paral   |2020yCat.1350....0G
3671|TYC 8694-1258-1                                                                                          |Star                                  |15 08 06.9665188440 -52 35 40.395806592|322.9558811007173 +04.8810581764806|  -5.093 -5.432     |10.84    |~               |    ~     ~    |    1|  740.850   pc  | -12.1298    +12.1298    |paral   |2020yCat.1350....0G
3672|TYC 8694-1445-1                                                                                          |Star                                  |15 09 45.1746798552 -53 53 00.706377336|322.5166977246082 +03.6442855038545|  -8.639 -9.442     |10.61    |~               |    ~     ~    |    1|  743.660   pc  | -15.1530    +15.1530    |paral   |2020yCat.1350....0G
3673|TYC 8694-1459-1                                                                                          |Star                                  |15 12 10.4667896664 -52 41 23.924808132|323.4392792657419 +04.4860949052347|   9.919 -2.413     |10.55    |~               |    ~     ~    |    1|  278.979   pc  |  -1.3309     +1.3309    |paral   |2020yCat.1350....0G
3674|TYC 8694-1469-1                                                                                          |Star                                  |15 12 34.8658287072 -53 27 49.494484584|323.0923887857856 +03.7912972042874|-11.132 -13.357     |10.75    |~               |    ~     ~    |    1|  609.830   pc  |  -6.0619     +6.0619    |paral   |2020yCat.1350....0G
3675|TYC 8694-1480-1                                                                                          |Star                                  |15 09 18.4003712520 -52 54 27.891366048|322.9538515793641 +04.5197530663395|  -4.337 -5.124     |10.72    |~               |    ~     ~    |    1| 1042.101   pc  | -22.6969    +22.6969    |paral   |2020yCat.1350....0G
3676|TYC 8694-1505-1                                                                                          |Star                                  |15 06 56.6385014976 -53 06 40.138565832|322.5430930969380 +04.5219860829637|  -1.994 -2.263     |10.69    |~               |    ~     ~    |    1|  572.475   pc  | -35.7224    +35.7224    |paral   |2020yCat.1350....0G
3677|TYC 8694-1591-1                                                                                          |Star                                  |15 11 55.1385408600 -52 36 13.156658208|323.4504474950819 +04.5800605644025|  -2.065 -1.827     |10.03    |~               |    ~     ~    |    1|  534.759   pc  | -23.9355    +23.9355    |paral   |2020yCat.1350....0G
3678|TYC 8694-1592-1                                                                                          |Star                                  |15 13 13.7833164336 -53 06 31.153610664|323.3593806185357 +04.0453399944436|  -4.001 -6.116     |10.99    |~               |    ~     ~    |    1|  854.555   pc  | -20.6665    +20.6665    |paral   |2020yCat.1350....0G
