C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:00

dec< 0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6873

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |BD-00 2357                                                                                               |Star                                |10 33 32.8833292824 -01 10 08.029144848|247.7786045275665 +46.4064963380763| -17.182 -2.378   |9.69     |K2                   |    ~     ~    |    1|  512.190   pc  |  -4.3024     +4.3024  |paral   |2020yCat.1350....0G
33  |BD-00 2358                                                                                               |Star                                |10 33 58.9792554600 -01 21 08.708688684|248.0804393671804 +46.3601910149726|-35.994 -11.752   |10.51    |G0                   |    ~     ~    |    1|  316.756   pc  | -10.5953    +10.5953  |paral   |2020yCat.1350....0G
34  |BD-00 2359                                                                                               |Star                                |10 35 09.2467307568 -01 31 51.877991640|248.5604786431974 +46.4497180582564|   1.584 -9.699   |10.52    |K2                   |    ~     ~    |    1|  800.000   pc  | -15.8720    +15.8720  |paral   |2020yCat.1350....0G
35  |HD 91878                                                                                                 |Star                                |10 36 28.2914111544 -01 43 46.645282488|249.0998000187058 +46.5496318073067| -20.629 -4.628   |9.72     |F6V                  |    ~     ~    |    1|  205.668   pc  |  -0.8079     +0.8079  |paral   |2020yCat.1350....0G
36  |BD-00 2361                                                                                               |Star                                |10 37 59.0493189816 -00 49 24.660354468|248.5254450840660 +47.4499299090484| -17.141 -5.224   |10.35    |G0                   |    ~     ~    |    1|  339.720   pc  |  -2.5159     +2.5159  |paral   |2020yCat.1350....0G
37  |HD 92414                                                                                                 |Star                                |10 40 14.2766209224 -00 53 42.072451836|249.1813522961996 +47.8064651920373| 32.889 -11.781   |9.30     |G0                   |    ~     ~    |    1|  230.856   pc  |  -1.1139     +1.1139  |paral   |2020yCat.1350....0G
38  |HD 92495                                                                                                 |Star                                |10 40 48.9484745520 -00 52 21.211798944|249.3073776719510 +47.9257210437284| -13.840 -4.618   |9.82     |F5                   |    ~     ~    |    1|  325.521   pc  |  -2.4584     +2.4584  |paral   |2020yCat.1350....0G
39  |BD-01 2409                                                                                               |Star                                |10 35 53.2009928712 -02 10 27.980998644|249.4146297105694 +46.1349312303198| -45.782 -6.464   |9.54     |K0                   |    ~     ~    |    1|  257.063   pc  |  -1.5199     +1.5199  |paral   |2020yCat.1350....0G
40  |HD 91786                                                                                                 |Star                                |10 35 52.2267850032 -02 03 10.535480496|249.2847809226940 +46.2167686119815|   -2.897 4.556   |9.51     |A1V                  |    ~     ~    |    1|  559.284   pc  | -10.3849    +10.3849  |paral   |2020yCat.1350....0G
41  |HD 91857                                                                                                 |Star                                |10 36 22.8538477968 -01 46 26.156772552|249.1231990326713 +46.5025476016638| -36.335 17.152   |8.77     |F5V                  |    ~     ~    |    1|  121.290   pc  |  -0.2957     +0.2957  |paral   |2020yCat.1350....0G
42  |HD 92111                                                                                                 |High Proper Motion Star             |10 38 05.3596723152 -02 14 07.850085000|250.0360494917681 +46.4845817698631|-82.763 -131.159  |9.37     |G3V                  |    ~     ~    |    1|   89.335   pc  |  -0.1612     +0.1612  |paral   |2020yCat.1350....0G
43  |HD 92130                                                                                                 |Star                                |10 38 11.0129337864 -01 58 29.136031536|249.7902024742471 +46.6845747043187|  9.591 -20.627   |8.86     |A8V                  |    ~     ~    |    1|  294.213   pc  |  -5.6265     +5.6265  |paral   |2020yCat.1350....0G
44  |BD-01 2416                                                                                               |Star                                |10 38 15.9230317368 -01 49 26.912140248|249.6543770216101 +46.8047452398070|  -5.416 -0.255   |10.100   |K0                   |    ~     ~    |    1|  731.916   pc  | -24.7300    +24.7300  |ST-L    |2020AJ....160...83S
45  |HD 92185                                                                                                 |Star                                |10 38 32.1025813032 -02 03 02.284843212|249.9588590782340 +46.6937834550304|  -36.639 3.216   |7.81     |A3III                |    ~     ~    |    1|  223.499   pc  |  -1.6634     +1.6634  |paral   |2020yCat.1350....0G
