C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:00

dec< 0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6873

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
4478|HD 303047                                                                                                |Double or Multiple Star             |10 37 37.3945399032 -57 44 18.771544032|285.8180424516531 +00.6170286687589|  -1.250 -3.050   |10.189   |A2                   |    ~     ~    |    0|                |                       |        |                   
4479|HD 303051                                                                                                |Star                                |10 37 43.6169375016 -57 52 56.936507880|285.9006786473318 +00.4983700348058|   -7.619 3.301   |10.76    |B8                   |    ~     ~    |    1| 2631.579   pc  |-157.2022   +157.2022  |paral   |2020yCat.1350....0G
4480|HD 303053                                                                                                |Star                                |10 37 47.7324279576 -57 57 04.596681420|285.9423409373162 +00.4428721966329|   -7.372 1.984   |10.16    |B5                   |    ~     ~    |    1| 1545.834   pc  | -62.6076    +62.6076  |paral   |2020yCat.1350....0G
4481|HD 303062                                                                                                |Star                                |10 36 40.2906390576 -58 05 54.564356544|285.8851915236929 +00.2415033495548|   -7.849 3.225   |10.96    |B8                   |    ~     ~    |    1| 2311.070   pc  | -99.8775    +99.8775  |paral   |2020yCat.1350....0G
4482|HD 303081                                                                                                |Star                                |10 36 42.5883562848 -58 33 45.779375772|286.1187220580301 -00.1597386584088|   -4.374 3.566   |9.97     |K                    |    ~     ~    |    1|  671.501   pc  |  -4.8699     +4.8699  |paral   |2020yCat.1350....0G
4483|HD 303093                                                                                                |Double or Multiple Star             |10 36 19.318176 -58 48 55.00620        |286.199736548 -00.404205030        |      -6.1 -1.0   |10.420   |A0                   |    ~     ~    |    0|                |                       |        |                   
4484|HD 303098                                                                                                |Star                                |10 37 22.5116656920 -58 53 10.188109068|286.3531832973622 -00.3987052528514|  -5.206 10.999   |10.06    |K0                   |    ~     ~    |    1|  409.567   pc  |  -5.8040     +5.8040  |paral   |2020yCat.1350....0G
4485|HD 303099                                                                                                |Spectroscopic Binary                |10 37 02.7964354632 -58 53 11.606313516|286.3164200370543 -00.4199312937588|  -14.077 0.965   |10.52    |A0                   |    ~     ~    |    1|  441.345   pc  |  -2.8439     +2.8439  |paral   |2020yCat.1350....0G
4486|HD 303100                                                                                                |Star                                |10 37 00.0975234528 -58 55 14.522229012|286.3281837906743 -00.4525061483498|  -14.328 1.978   |10.55    |A                    |    ~     ~    |    1|  441.657   pc  |  -7.2953     +7.2953  |paral   |2020yCat.1350....0G
4487|HD 303122                                                                                                |Double or Multiple Star             |10 36 01.047120 -59 07 46.04304        |286.321278034 -00.696567831        |       5.4 -0.1   |10.124   |B0/2n                |    ~     ~    |    0|                |                       |        |                   
4488|HD 303129                                                                                                |Star                                |10 36 00.1226482512 -59 24 31.457620692|286.4580740052921 -00.9400692093725|  -14.246 1.140   |10.89    |A                    |    ~     ~    |    1|  447.808   pc  |  -3.4291     +3.4291  |paral   |2020yCat.1350....0G
4489|HD 303133                                                                                                |Star                                |10 35 19.0660181184 -59 38 17.601155916|286.4968577812722 -01.1823237165551|  -13.512 2.611   |10.17    |A0                   |    ~     ~    |    1|  484.097   pc  |  -3.5153     +3.5153  |paral   |2020yCat.1350....0G
4490|HD 303134                                                                                                |Star                                |10 35 39.9441585312 -59 42 27.358877520|286.5694975657621 -01.2206436464928| -12.623 -3.117   |9.86     |A2                   |    ~     ~    |    1|  281.468   pc  |  -1.1884     +1.1884  |paral   |2020yCat.1350....0G
4491|HD 303145                                                                                                |Star                                |10 38 48.5610871416 -57 45 33.177848328|285.9662041563049 +00.6763306884292|   -7.656 3.833   |10.42    |B9                   |    ~     ~    |    1| 1447.807   pc  | -49.6786    +49.6786  |paral   |2020yCat.1350....0G
4492|HD 303161                                                                                                |Double or Multiple Star             |10 41 26.0491779504 -58 18 18.851645160|286.5339862805961 +00.3657165144565|   -9.702 3.362   |10.76    |A2                   |    ~     ~    |    1| 1211.681   pc  | -25.5462    +25.5462  |paral   |2020yCat.1350....0G
4493|HD 303174                                                                                                |Star                                |10 39 20.5535431896 -58 33 42.468911172|286.4176598981936 +00.0090392664397|  -13.487 8.222   |10.82    |A2                   |    ~     ~    |    1|  721.033   pc  |  -6.8105     +6.8105  |paral   |2020yCat.1350....0G
4494|HD 303192                                                                                                |Star                                |10 40 12.3231736848 -58 59 42.042257844|286.7250418927690 -00.3160662100007|  -10.350 6.879   |10.22    |A0                   |    ~     ~    |    1|  746.882   pc  | -15.8982    +15.8982  |paral   |2020yCat.1350....0G
4495|HD 303257                                                                                                |Star                                |10 42 55.5527847864 -58 04 59.298585744|286.6011994370919 +00.6545797258532|  -4.464 -3.687   |10.73    |A0                   |    ~     ~    |    1|  658.285   pc  |  -6.5001     +6.5001  |paral   |2020yCat.1350....0G
4496|HD 303259                                                                                                |Eclipsing Binary                    |10 42 58.3192878384 -58 16 08.754422268|286.6945652024543 +00.4936394711389|  -18.117 4.001   |10.35    |A0                   |    ~     ~    |    1|  697.642   pc  |  -9.0527     +9.0527  |paral   |2020yCat.1350....0G
4497|HD 305281                                                                                                |Star                                |10 31 06.4147417776 -59 52 14.155840488|286.1564109525341 -01.6506525256166|   -6.658 2.987   |9.67     |B5                   |    ~     ~    |    1| 2330.459   pc  |-132.5174   +132.5174  |paral   |2020yCat.1350....0G
4498|HD 305354                                                                                                |Star                                |10 38 48.6389660784 -59 59 50.565137028|287.0559468855310 -01.2786585877328|   -6.446 2.877   |10.90    |A0                   |    ~     ~    |    1| 2795.639   pc  |-149.2779   +149.2779  |paral   |2020yCat.1350....0G
4499|HD 305366                                                                                                |Star                                |10 35 33.0969483384 -60 07 36.127034256|286.7655591312480 -01.5913650395028|   -6.357 3.711   |9.97     |G0                   |    ~     ~    |    1| 1770.852   pc  | -40.4533    +40.4533  |paral   |2020yCat.1350....0G
4500|HD 305369                                                                                                |High Proper Motion Star             |10 36 21.5317317216 -60 07 10.231719924|286.8493025123852 -01.5352375948324| -43.712 23.828   |10.35    |F5                   |    ~     ~    |    1|  219.327   pc  |  -1.2700     +1.2700  |paral   |2020yCat.1350....0G
4501|HD 305444                                                                                                |Star                                |10 39 17.1643969056 -59 58 46.560915264|287.0992669614032 -01.2342231717264|   -7.862 2.295   |10.92    |A0                   |    ~     ~    |    0|                |                       |        |                   
4502|HD 303072                                                                                                |Star                                |10 34 32.7171311424 -58 08 52.918807488|285.6662532130515 +00.0589674082216| -22.373 11.862   |9.61     |G5                   |    ~     ~    |    1|  483.629   pc  |  -2.5963     +2.5963  |paral   |2020yCat.1350....0G
4503|HD 92205                                                                                                 |Double or Multiple Star             |10 37 25.5307260432 -58 00 19.217242944|285.9261264623562 +00.3716983093964|  -22.955 6.029   |9.12     |K2III+A/F            |    ~     ~    |    1|  514.721   pc  |  -4.0006     +4.0006  |paral   |2020yCat.1350....0G
4504|NGC 3324 10                        CD-57 3381                                                            |Star                                |10 37 23.5312407648 -58 35 28.404328560|286.2101685194101 -00.1407484951528|   -7.196 3.196   |10.94    |~                    |    ~     ~    |    1| 2303.086   pc  | -71.6068    +71.6068  |paral   |2020yCat.1350....0G
4505|HD 305368                                                                                                |Star                                |10 35 51.4982736000 -60 08 13.087188960|286.8038097804321 -01.5812966888832|   -9.595 4.434   |9.77     |A0                   |    ~     ~    |    1|  821.693   pc  | -11.6131    +11.6131  |paral   |2020yCat.1350....0G
4506|NGC 3324 4                         CD-57 3378                                                            |Star                                |10 37 18.6300239328 -58 37 41.778723684|286.2191143576249 -00.1782412215334|   -7.538 2.206   |8.966    |O8Vz+O9.7V           |    ~     ~    |    0|                |                       |        |                   
4507|NGC 3324 1                         HD 92207                                                              |Evolved Supergiant                  |10 37 27.0681291600 -58 44 00.016141092|286.2866617599638 -00.2607655868863|   -7.371 3.426   |5.45     |A0Ia                 |    ~     ~    |    0|                |                       |        |                   
4508|HD 303075                                                                                                |Be Star                             |10 35 32.2824035520 -58 15 22.246168032|285.8335478843467 +00.0304954728900|   -7.654 3.454   |9.97     |Be                   |    ~     ~    |    1| 2482.005   pc  |-109.0382   +109.0382  |paral   |2020yCat.1350....0G
4509|NGC 3293 3                         HD 91943                                                              |Pulsating Variable                  |10 35 42.0066727392 -58 11 34.378362924|285.8205971347298 +00.0960239273990|   -7.564 3.656   |6.70     |B0.7Ib               |    ~     ~    |    1| 2446.782   pc  |-134.1031   +134.1031  |paral   |2020yCat.1350....0G
4510|HD 92024                                                                                                 |Pulsating Variable                  |10 36 08.3339354160 -58 13 04.358647920|285.8831796624880 +00.1029967269796|   -7.665 3.465   |9.00     |B1III                |    ~     ~    |    1| 2375.861   pc  |-148.4560   +148.4560  |paral   |2020yCat.1350....0G
4511|HD 303074                                                                                                |Star                                |10 34 45.6377497944 -58 13 09.191195400|285.7264372511937 +00.0115228150429|   -9.493 4.768   |9.74     |A0                   |    ~     ~    |    1|  831.670   pc  | -13.9027    +13.9027  |paral   |2020yCat.1350....0G
4512|CPD-57 3531                                                                                              |Be Star                             |10 36 05.9415846216 -58 14 27.174407892|285.8900190255782 +00.0804142001137|   -7.587 3.308   |10.28    |Be                   |    ~     ~    |    1| 2455.193   pc  |-127.1902   +127.1902  |paral   |2020yCat.1350....0G
4513|CPD-57 3532                                                                                              |Star                                |10 36 07.6370066544 -58 15 20.416406148|285.9005762393775 +00.0694099815874|   -7.846 3.355   |10.97    |B2V                  |    ~     ~    |    1| 2797.985   pc  |-166.7518   +166.7518  |paral   |2020yCat.1350....0G
4514|V* V440 Car                                                                                              |beta Cep Variable                   |10 35 54.9163713600 -58 12 59.142397788|285.8568888631343 +00.0896563987456|   -7.759 3.353   |9.11     |B1V                  |    ~     ~    |    1| 2361.275   pc  |-125.4515   +125.4515  |paral   |2020yCat.1350....0G
4515|CD-59 3181                                                                                               |Emission-line Star                  |10 37 04.6296880752 -59 59 08.737589688|286.8612315656004 -01.3746682582677|   -6.365 3.155   |9.70     |~                    |    ~     ~    |    1| 2360.718   pc  | -85.8240    +85.8240  |paral   |2020yCat.1350....0G
4516|CD-58 3459                                                                                               |Emission-line Star                  |10 39 35.9731346928 -58 52 59.919767760|286.6026492019142 -00.2560327006139| -22.103 10.005   |10.02    |~                    |    ~     ~    |    1|  473.552   pc  |  -4.3056     +4.3056  |paral   |2020yCat.1350....0G
4517|TYC 8622-209-1                                                                                           |Emission-line Star                  |10 42 43.8403577280 -57 48 42.642615420|286.4498728519615 +00.8812407484133| -17.448 13.604   |10.83    |~                    |    ~     ~    |    1|  859.180   pc  |  -9.5227     +9.5227  |paral   |2020yCat.1350....0G
4518|CPD-57 3518                                                                                              |Be Star                             |10 35 54.6651969288 -58 13 48.828154908|285.8632579439191 +00.0773998584650|   -7.847 3.454   |10.62    |Be                   |    ~     ~    |    1| 2370.792   pc  |-102.8580   +102.8580  |paral   |2020yCat.1350....0G
4519|NGC 3324 31                        NSV 18462                                                             |Variable Star                       |10 37 14.4802107600 -58 36 20.713876884|286.2002007422601 -00.1630617186840|   -7.394 2.595   |12.41    |~                    |    ~     ~    |    1| 2489.420   pc  | -70.6482    +70.6482  |paral   |2020yCat.1350....0G
4520|HD 305218                                                                                                |Be Star                             |10 30 23.8539419736 -60 04 40.418419188|286.1865699370866 -01.8741179782023|   -5.491 2.973   |10.37    |B5                   |    ~     ~    |    1| 2418.965   pc  |-120.5386   +120.5386  |paral   |2020yCat.1350....0G
4521|HD 305291                                                                                                |Star                                |10 32 41.6209720872 -60 10 51.206693304|286.4851417009470 -01.8167702871177|   -6.320 2.287   |10.66    |B2                   |    ~     ~    |    1| 3059.039   pc  |-117.9073   +117.9073  |paral   |2020yCat.1350....0G
4522|HD 91573                                                                                                 |Star                                |10 32 57.6526515480 -60 06 48.350120112|286.4796586665793 -01.7417606739879|  -29.969 6.390   |7.24     |A8/9IV/V             |    ~     ~    |    1|  150.816   pc  |  -0.3776     +0.3776  |paral   |2020yCat.1350....0G
4523|HD 91651                                                                                                 |beta Cep Variable                   |10 33 30.2993151816 -60 07 40.044178344|286.5454306003428 -01.7199343480654|   -6.617 2.074   |9.52     |ON9.5IIIn            |    ~     ~    |    1| 1870.208   pc  | -86.0428    +86.0428  |paral   |2020yCat.1350....0G
4524|CD-59 3165                                                                                               |Double or Multiple Star             |10 34 48.547704 -60 13 03.86724        |286.730920513 -01.716319288        |     -34.7 -0.6   |9.72     |OB                   |    ~     ~    |    0|                |                       |        |                   
4525|HD 91837                                                                                                 |Star                                |10 34 49.5067682424 -60 11 14.042526936|286.7173842683108 -01.6889049839133|   -9.041 2.104   |9.31     |O8.5Vn               |    ~     ~    |    1| 2327.205   pc  |-139.7298   +139.7298  |paral   |2020yCat.1350....0G
4526|HD 91826                                                                                                 |Star                                |10 34 42.3778963704 -60 16 19.391006532|286.7470406773301 -01.7697324894151|   -6.473 2.768   |8.07     |B2III                |    ~     ~    |    1| 2510.040   pc  |-202.8697   +202.8697  |paral   |2020yCat.1350....0G
4527|HD 305374                                                                                                |Star                                |10 35 12.6115185936 -60 15 09.373290948|286.7914820918176 -01.7216737763309|  -11.783 5.662   |10.80    |A0                   |    ~     ~    |    1| 1031.247   pc  | -14.8886    +14.8886  |paral   |2020yCat.1350....0G
4528|HD 305295                                                                                                |Star                                |10 30 51.3940196112 -60 10 25.781221128|286.2849215665640 -01.9271069779286|   -5.201 3.794   |9.99     |B5                   |    ~     ~    |    1| 3404.835   pc  |-289.8225   +289.8225  |paral   |2020yCat.1350....0G
4529|HD 91229                                                                                                 |Star                                |10 30 22.3116628272 -60 21 55.378706832|286.3317287929026 -02.1223409648695| -36.297 -0.445   |9.17     |F6V                  |    ~     ~    |    1|  176.554   pc  |  -0.3647     +0.3647  |paral   |2020yCat.1350....0G
4530|HD 305296                                                                                                |Be Star                             |10 31 39.8614421016 -60 17 10.920150924|286.4287204314330 -01.9725483485978|   -6.928 2.738   |9.26     |B2Ve                 |    ~     ~    |    1| 2516.356   pc  |-101.9460   +101.9460  |paral   |2020yCat.1350....0G
4531|HD 91269                                                                                                 |Be Star                             |10 30 33.7083278280 -61 20 11.362714152|286.8512941111468 -02.9434175367216|   -8.862 3.636   |7.56     |B3/5(V)ne            |    ~     ~    |    1|  852.224   pc  | -19.6097    +19.6097  |paral   |2020yCat.1350....0G
4532|HD 91270                                                                                                 |Star                                |10 30 39.2446636320 -61 21 23.315827032|286.8710792277280 -02.9548813621740|   1.379 12.578   |6.401    |M2III                |    ~     ~    |    1|  227.511   pc  |  -1.7547     +1.7547  |paral   |2020yCat.1350....0G
4533|HD 91307                                                                                                 |Be Star                             |10 30 58.2202794552 -61 36 48.440428992|287.0355886765897 -03.1560689394942|  -14.292 4.505   |8.04     |B5V                  |    ~     ~    |    1|  539.957   pc  |  -8.4842     +8.4842  |paral   |2020yCat.1350....0G
4534|HD 91342                                                                                                 |Double or Multiple Star             |10 31 07.17171 -61 34 34.7976          |287.03179312 -03.11509879          |     -5.42 3.67   |8.611    |B9III                |    ~     ~    |    0|                |                       |        |                   
4535|HD 91390                                                                                                 |Star                                |10 31 38.3844844392 -60 42 24.537501468|286.6407587786480 -02.3357152255414|  -6.350 -1.668   |9.69     |A2/3III              |    ~     ~    |    1|  507.434   pc  |  -5.3558     +5.3558  |paral   |2020yCat.1350....0G
4536|HD 91200                                                                                                 |Star                                |10 30 05.0110733424 -62 08 25.730414124|287.2173252078349 -03.6618005171459| -30.870 15.048   |8.82     |K3III                |    ~     ~    |    1|  582.581   pc  |  -5.8716     +5.8716  |paral   |2020yCat.1350....0G
4537|HD 305252                                                                                                |Star                                |10 30 02.0708080680 -60 52 39.394873128|286.5601633054565 -02.5827687570826|   -4.498 0.825   |10.93    |A3                   |    ~     ~    |    1| 1539.409   pc  | -32.7030    +32.7030  |paral   |2020yCat.1350....0G
4538|CD-59 3139                                                                                               |Star                                |10 32 09.386 -60 25 56.16              |286.555463 -02.067124              |       -2.7 3.3   |10.86    |OB-                  |    ~     ~    |    0|                |                       |        |                   
4539|HD 305299                                                                                                |Double or Multiple Star             |10 32 42.25 -60 21 31.9                |286.57650 -01.96954                |            ~ ~   |10.0     |F0                   |    ~     ~    |    0|                |                       |        |                   
4540|HD 305301                                                                                                |Be Star                             |10 32 49.2635284056 -60 27 08.515392912|286.6363416511989 -02.0428492051171|   -5.708 2.660   |10.82    |OB+                  |    ~     ~    |    1| 4725.898   pc  |-321.6112   +321.6112  |paral   |2020yCat.1350....0G
4541|HD 305298                                                                                                |Herbig Ae/Be Star Candidate         |10 33 04.9846274616 -60 19 51.305307780|286.6027909152245 -01.9217189532685|   -4.574 2.101   |10.78    |O8                   |    ~     ~    |    1| 4651.163   pc  |-274.7431   +274.7431  |paral   |2020yCat.1350....0G
4542|HD 92064                                                                                                 |Be Star                             |10 36 19.6873516272 -60 37 29.890316136|287.0963156999578 -01.9763124631629|   -7.945 2.516   |10.18    |B3/6(V)              |    ~     ~    |    0|                |                       |        |                   
4543|HD 91450                                                                                                 |Star                                |10 32 02.4380249904 -60 44 42.680046804|286.7025321320920 -02.3437559003669|   -6.605 3.690   |10.03    |B8II/III             |    ~     ~    |    1| 1402.131   pc  | -42.0718    +42.0718  |paral   |2020yCat.1350....0G
4544|HD 91508                                                                                                 |Star                                |10 32 25.9757443536 -60 44 42.230992524|286.7437762113799 -02.3192840380395|   -4.506 6.374   |9.76     |A8/F0IV/V            |    ~     ~    |    1|  432.882   pc  | -30.8813    +30.8813  |paral   |2020yCat.1350....0G
4545|HD 91525                                                                                                 |Star                                |10 32 27.5361413376 -61 18 58.004544168|287.0367472529792 -02.8096372783136|   -5.453 0.969   |9.17     |B8II                 |    ~     ~    |    0|                |                       |        |                   
4546|HD 91598                                                                                                 |Emission-line Star                  |10 32 57.1172135304 -61 31 53.763350880|287.1970346935304 -02.9654712150135|   -6.293 2.448   |9.15     |B2/3IV               |    ~     ~    |    1| 2153.316   pc  | -97.8359    +97.8359  |paral   |2020yCat.1350....0G
4547|HD 91597                                                                                                 |Be Star                             |10 33 01.1348834904 -60 50 41.730469044|286.8561004669507 -02.3691446532608|   -4.989 2.537   |9.92     |B7/8IV/V             |    ~     ~    |    1| 4035.513   pc  |-245.9090   +245.9090  |paral   |2020yCat.1350....0G
4548|HD 305330                                                                                                |Be Star                             |10 33 14.7671638368 -61 25 40.948948488|287.1749126062385 -02.8583758047970|   -5.972 2.802   |9.97     |OB+e                 |    ~     ~    |    1| 3154.574   pc  |-187.0852   +187.0852  |paral   |2020yCat.1350....0G
4549|HD 91630                                                                                                 |Star                                |10 33 18.8959808496 -60 55 09.307641324|286.9247988753093 -02.4150800508807|   -9.556 5.963   |10.16    |A0/3IV/V             |    ~     ~    |    1|  886.839   pc  | -13.1343    +13.1343  |paral   |2020yCat.1350....0G
4550|HD 91652                                                                                                 |Star                                |10 33 26.2000348008 -61 08 15.868752792|287.0479302015941 -02.5962498538649|   -5.578 2.568   |8.66     |K0/1II/III           |    ~     ~    |    1| 2785.5153  pc  |-248.2911   +248.2911  |paral   |2018yCat.1345....0G
4551|HD 305331                                                                                                |Star                                |10 33 27.0763167216 -61 23 40.333924284|287.1791812245905 -02.8170638276842|   -6.243 2.825   |10.10    |B3                   |    ~     ~    |    1| 2203.128   pc  |-113.5783   +113.5783  |paral   |2020yCat.1350....0G
4552|HD 91697                                                                                                 |Star                                |10 33 40.8310045728 -61 14 30.460627572|287.1258505491588 -02.6712926202918|   -7.038 2.165   |9.57     |B9II/III             |    ~     ~    |    1| 1489.425   pc  | -46.3643    +46.3643  |paral   |2020yCat.1350....0G
4553|HD 91767                                                                                                 |Variable Star                       |10 34 12.7114539072 -60 59 15.465719112|287.0534032247223 -02.4193421164836|   -9.121 0.034   |6.238    |K2/3III              |    ~     ~    |    1|  215.531   pc  |  -1.1010     +1.1010  |paral   |2020yCat.1350....0G
4554|HD 91779                                                                                                 |Star                                |10 34 19.0522454040 -61 00 35.102284596|287.0756047022819 -02.4320465623253|  -16.734 6.807   |9.62     |A3V                  |    ~     ~    |    1|  406.785   pc  |  -9.0680     +9.0680  |paral   |2020yCat.1350....0G
4555|HD 91778                                                                                                 |Star                                |10 34 24.0308137896 -60 55 58.164035736|287.0457014464632 -02.3604470450083|   -6.920 3.438   |9.46     |B8IV/V               |    ~     ~    |    1| 1126.253   pc  | -28.1595    +28.1595  |paral   |2020yCat.1350....0G
4556|HD 92008                                                                                                 |Star                                |10 36 01.2988930272 -60 53 38.433097356|287.1972228934744 -02.2285316249663|   -7.360 2.370   |9.75     |B9/9.5V              |    ~     ~    |    1| 1159.555   pc  | -25.1434    +25.1434  |paral   |2020yCat.1350....0G
4557|HD 92026                                                                                                 |Star                                |10 36 07.3074195528 -60 46 10.663454496|287.1460899152903 -02.1144765872703|  -21.917 5.833   |9.74     |A8/F2(IV)            |    ~     ~    |    1|  244.343   pc  |  -0.7284     +0.7284  |paral   |2020yCat.1350....0G
4558|HD 92146                                                                                                 |Star                                |10 36 50.2680143016 -60 43 08.879177172|287.1971747058800 -02.0273200935044|   -7.981 2.395   |9.78     |B5/7(V)              |    ~     ~    |    1| 2467.308   pc  |-129.0573   +129.0573  |paral   |2020yCat.1350....0G
4559|V* UY Car                                                                                                |Classical Cepheid Variable          |10 32 04.4208946632 -61 46 57.459716400|287.2347601699127 -03.2346570441056|   -5.501 2.609   |9.347    |G                    |    ~     ~    |    1| 2265.006   pc  | -69.2584    +69.2584  |paral   |2020yCat.1350....0G
4560|HD 305329                                                                                                |Star                                |10 33 05.1575524272 -61 23 43.409621580|287.1418338598548 -02.8398933108336|  -14.967 7.691   |10.63    |A                    |    ~     ~    |    1|  982.704   pc  | -11.3954    +11.3954  |paral   |2020yCat.1350....0G
4561|* p Car                                                                                                  |Be Star                             |10 32 01.4629679 -61 41 07.196308      |287.1800977801 -03.1538996326      |   -17.01 11.50   |3.27     |B4Vne                |    ~     ~    |    1|  115.1848  pc  |  -6.1880     +6.1880  |paral   |2018yCat.1345....0G
4562|TYC 8956-12-1                                                                                            |Star                                |10 32 21.4209791424 -61 29 15.786208536|287.1135207048284 -02.9636442963412|  -16.433 7.497   |10.13    |~                    |    ~     ~    |    1|  569.217   pc  |  -3.6613     +3.6613  |paral   |2020yCat.1350....0G
4563|HD 305339                                                                                                |Star                                |10 31 48.7268385144 -61 47 51.996107112|287.2158566064484 -03.2634455072414|   -4.216 1.749   |10.63    |A0                   |    ~     ~    |    0|                |                       |        |                   
4564|TYC 8956-54-1                                                                                            |Star                                |10 32 20.7660346536 -61 27 32.230704024|287.0977576759695 -02.9395334384372| -14.663 13.927   |9.79     |~                    |    ~     ~    |    1|  859.328   pc  |  -9.5259     +9.5259  |paral   |2020yCat.1350....0G
4565|TYC 8956-313-1                                                                                           |Star                                |10 31 25.9026775128 -60 59 58.576237620|286.7686080072414 -02.6003879412479|   -6.179 3.034   |10.36    |~                    |    ~     ~    |    1| 3431.709   pc  |-126.0099   +126.0099  |paral   |2020yCat.1350....0G
4566|TYC 8956-334-1                                                                                           |Star                                |10 31 28.8149710704 -61 45 27.076302432|287.1614794206797 -03.2488684747053| -24.893 -5.509   |10.55    |~                    |    ~     ~    |    1|  174.395   pc  |  -0.3589     +0.3589  |paral   |2020yCat.1350....0G
4567|HD 305278                                                                                                |Star                                |10 30 07.7420706672 -61 47 12.943335588|287.0392572631509 -03.3561237908357|   -7.960 3.112   |10.87    |B9                   |    ~     ~    |    1| 1238.543   pc  | -20.8623    +20.8623  |paral   |2020yCat.1350....0G
4568|HD 305263                                                                                                |Star                                |10 30 18.1286572176 -61 01 07.041272016|286.6607480447818 -02.6869049835876|  -17.304 8.116   |9.80     |G0                   |    ~     ~    |    1|   97.283   pc  |  -0.1079     +0.1079  |paral   |2020yCat.1350....0G
4569|HD 305264                                                                                                |Star                                |10 30 27.2287775640 -61 13 39.956032344|286.7841872881157 -02.8568299278855|   -6.493 3.229   |10.71    |A3                   |    ~     ~    |    1| 1416.029   pc  | -39.1002    +39.1002  |paral   |2020yCat.1350....0G
4570|HD 305250                                                                                                |Star                                |10 30 24.9909493560 -60 44 05.399319228|286.5265614487885 -02.4363854365029|   -6.726 7.972   |9.43     |K7                   |    ~     ~    |    1|  756.830   pc  |  -7.3317     +7.3317  |paral   |2020yCat.1350....0G
4571|TYC 8956-802-1                                                                                           |Star                                |10 30 12.7799706240 -61 51 57.083015520|287.0885157248345 -03.4186528345224|  -9.142 -0.842   |10.81    |~                    |    ~     ~    |    1| 1112.718   pc  | -12.6291    +12.6291  |paral   |2020yCat.1350....0G
4572|HD 305322                                                                                                |Star                                |10 31 18.0413975160 -61 04 31.493080704|286.7937605138443 -02.6736509199842|  -12.647 6.396   |10.49    |A2                   |    ~     ~    |    1| 1011.327   pc  | -13.0916    +13.0916  |paral   |2020yCat.1350....0G
4573|HD 305335                                                                                                |Star                                |10 33 41.8710284256 -61 34 46.328269404|287.2980374784554 -02.9619756237502|  21.524 -7.191   |10.42    |F5                   |    ~     ~    |    1|  192.689   pc  |  -0.4641     +0.4641  |paral   |2020yCat.1350....0G
4574|TYC 8956-870-1                                                                                           |Star                                |10 31 33.3135450888 -61 22 05.039082660|286.9698790894235 -02.9095308214890| -12.112 -2.381   |10.5     |~                    |    ~     ~    |    1| 1143.511   pc  | -13.8607    +13.8607  |paral   |2020yCat.1350....0G
4575|TYC 8956-974-1                                                                                           |Star                                |10 32 39.9929452224 -61 27 25.369928028|287.1298087464263 -02.9184566021928|  -20.858 7.722   |10.9     |~                    |    ~     ~    |    1|  455.021   pc  | -12.6504    +12.6504  |paral   |2020yCat.1350....0G
4576|TYC 8956-1312-1                                                                                          |Star                                |10 31 42.0088234512 -61 13 37.259477436|286.9127644106263 -02.7793625512568|   -9.686 3.114   |10.47    |~                    |    ~     ~    |    1|  661.901   pc  |  -5.1259     +5.1259  |paral   |2020yCat.1350....0G
4577|HD 305309                                                                                                |Star                                |10 32 07.0403367720 -60 47 58.225948728|286.7382638722858 -02.3857507618435|   -9.961 4.574   |10.84    |A5                   |    ~     ~    |    1| 1000.400   pc  | -15.7126    +15.7126  |paral   |2020yCat.1350....0G
4578|HD 305324                                                                                                |Star                                |10 32 14.2136987496 -61 12 48.394484676|286.9615009214247 -02.7347743456628|  -0.532 -2.290   |10.09    |A0                   |    ~     ~    |    1|  492.781   pc  |  -6.5079     +6.5079  |paral   |2020yCat.1350....0G
4579|HD 305321                                                                                                |Star                                |10 31 33.9869703288 -61 03 30.860350884|286.8128023600886 -02.6427476816532|   -9.076 2.677   |10.05    |G5                   |    ~     ~    |    1| 1205.400   pc  | -15.1111    +15.1111  |paral   |2020yCat.1350....0G
4580|HD 305306                                                                                                |Star                                |10 33 24.2154096144 -60 34 21.543926376|286.7590761769890 -02.1104024299222|   -6.075 2.841   |9.86     |K5                   |    ~     ~    |    1| 3909.304   pc  |-220.0703   +220.0703  |paral   |2020yCat.1350....0G
4581|HD 305251                                                                                                |Star                                |10 30 28.1138101320 -60 48 51.268733820|286.5728784988536 -02.5012293278457|   -3.138 3.283   |10.10    |G0                   |    ~     ~    |    1|  697.739   pc  |  -5.4039     +5.4039  |paral   |2020yCat.1350....0G
4582|HD 305327                                                                                                |Star                                |10 30 56.2518907128 -61 14 39.260707656|286.8426529478441 -02.8410863431925|   -6.148 3.453   |10.64    |A0                   |    ~     ~    |    1| 1431.844   pc  | -48.7942    +48.7942  |paral   |2020yCat.1350....0G
